Play_ID,Metric_ID,Peer_or_Archetype,Play_Name,Metric_Moved,Delta,Enablers,Reference_Pattern,Domain
PLAY-0137,MET-0145,Cross-industry leader,Cross-industry leader consolidated schedule reliability %,Schedule Reliability % (Corporate),+2.6 %,predictive maintenance|loyalty personalization engine|fuel-burn optimization,Real-time Decisioning,Operations
PLAY-0138,MET-0102,LCC archetype,LCC archetype deployed AI for cyber mean-time-to-detect,Cyber Mean-Time-to-Detect (Customer),-3.6 hours,rebooking automation|dynamic pricing engine|fuel-burn optimization|network optimization solver,Generative Assist,Risk
PLAY-0139,MET-0066,Best-in-class operator,Best-in-class operator optimized days sales outstanding,Days Sales Outstanding (Maintenance),-1.2 days,digital twin of operations|real-time ops data|crew-ops AI|predictive maintenance,Process Redesign,Finance
PLAY-0140,MET-0138,LCC archetype,LCC archetype optimized ancillary revenue per pax,Ancillary Revenue per Pax (Corporate),+4.0 $,digital twin of operations|cargo capacity optimizer|network optimization solver|automated revenue accounting,Process Redesign,Commercial
PLAY-0141,MET-0029,Digital-native peer,Digital-native peer consolidated technical dispatch reliability,Technical Dispatch Reliability,+2.4 %,generative customer assistant|loyalty personalization engine|rebooking automation|predictive maintenance,Automation,Maintenance
PLAY-0142,MET-0164,Flag-carrier peer,Flag-carrier peer re-engineered load factor %,Load Factor % (Finance),+1.5 %,real-time ops data|demand-sensing ML|rebooking automation,Process Redesign,Commercial
PLAY-0143,MET-0080,Flag-carrier peer,Flag-carrier peer consolidated aircraft utilization,Aircraft Utilization (Maintenance),+2.4 hours,self-service rebooking|real-time ops data|fuel-burn optimization,AI Optimization,Operations
PLAY-0144,MET-0123,Cross-industry leader,Cross-industry leader automated employee attrition rate,Employee Attrition Rate (Corporate),-3.7 %,generative customer assistant|demand-sensing ML|cargo capacity optimizer,AI Optimization,Workforce
PLAY-0145,MET-0046,Cross-industry leader,Cross-industry leader re-engineered rasm,RASM (Operations),+2.5 cents,network optimization solver|real-time ops data|rebooking automation|digital twin of operations,Process Redesign,Commercial
PLAY-0146,MET-0134,LCC archetype,LCC archetype re-engineered load factor %,Load Factor % (Corporate),+2.4 %,crew-ops AI|network optimization solver|dynamic pricing engine|rebooking automation,Process Redesign,Commercial
PLAY-0147,MET-0060,Best-in-class operator,Best-in-class operator digitized disruption recovery time,Disruption Recovery Time (Operations),-1.5 hours,generative customer assistant|network optimization solver|cargo capacity optimizer,Predictive Analytics,Operations
PLAY-0148,MET-0176,Cross-industry leader,Cross-industry leader consolidated loyalty member growth,Loyalty Member Growth (Finance),+3.9 %,network optimization solver|rebooking automation|loyalty personalization engine|self-service rebooking,Automation,Loyalty
PLAY-0149,MET-0105,Cross-industry leader,Cross-industry leader consolidated casm,CASM (Customer),-2.1 cents,cargo capacity optimizer|real-time ops data|network optimization solver|digital twin of operations,Generative Assist,Finance
PLAY-0150,MET-0179,Best-in-class operator,Best-in-class operator re-engineered technical dispatch reliability,Technical Dispatch Reliability (Finance),+2.5 %,real-time ops data|generative customer assistant|predictive maintenance|computer-vision bag tracking,Self-Service Shift,Maintenance
PLAY-0151,MET-0112,Top-quartile carrier,Top-quartile carrier re-engineered turnaround time,Turnaround Time (Customer),-3.5 minutes,fuel-burn optimization|computer-vision bag tracking,Automation,Operations
PLAY-0152,MET-0009,Flag-carrier peer,Flag-carrier peer re-engineered first contact resolution,First Contact Resolution,+2.1 %,rebooking automation|self-service rebooking|crew-ops AI,Platform Consolidation,Customer
PLAY-0153,MET-0156,Cross-industry leader,Cross-industry leader automated days sales outstanding,Days Sales Outstanding (Finance),-2.3 days,demand-sensing ML|real-time ops data,Real-time Decisioning,Finance
PLAY-0154,MET-0167,LCC archetype,LCC archetype re-engineered completion factor %,Completion Factor % (Finance),+0.9 %,self-service rebooking|predictive maintenance,Process Redesign,Operations
PLAY-0155,MET-0151,LCC archetype,LCC archetype consolidated cost-to-income ratio,Cost-to-Income Ratio (Finance),-2.6 %,cargo capacity optimizer|dynamic pricing engine,AI Optimization,Corporate
PLAY-0156,MET-0074,LCC archetype,LCC archetype deployed AI for load factor %,Load Factor % (Maintenance),+3.1 %,rebooking automation|digital twin of operations,Self-Service Shift,Commercial
PLAY-0157,MET-0081,Flag-carrier peer,Flag-carrier peer automated fuel burn per asm,Fuel Burn per ASM (Maintenance),-2.2 kg,digital twin of operations|rebooking automation,Predictive Analytics,Operations
PLAY-0158,MET-0148,Flag-carrier peer,Flag-carrier peer deployed AI for maintenance cost per flight hour,Maintenance Cost per Flight Hour (Corporate),-1.9 $,predictive maintenance|cargo capacity optimizer|digital twin of operations,Self-Service Shift,Maintenance
PLAY-0159,MET-0009,Flag-carrier peer,Flag-carrier peer deployed AI for first contact resolution,First Contact Resolution,+2.6 %,cargo capacity optimizer|predictive maintenance|automated revenue accounting,Self-Service Shift,Customer
PLAY-0160,MET-0074,Flag-carrier peer,Flag-carrier peer optimized load factor %,Load Factor % (Maintenance),+1.7 %,network optimization solver|fuel-burn optimization,Automation,Commercial
PLAY-0161,MET-0149,Cross-industry leader,Cross-industry leader consolidated technical dispatch reliability,Technical Dispatch Reliability (Corporate),+1.0 %,cargo capacity optimizer|rebooking automation,Process Redesign,Maintenance
PLAY-0162,MET-0117,Digital-native peer,Digital-native peer digitized net promoter score,Net Promoter Score (Pax) (Customer),+1.1 score,self-service rebooking|real-time ops data|automated revenue accounting|digital twin of operations,Generative Assist,Customer
PLAY-0163,MET-0031,Best-in-class operator,Best-in-class operator consolidated cost-to-income ratio,Cost-to-Income Ratio (Operations),-4.2 %,fuel-burn optimization|cargo capacity optimizer|automated revenue accounting|network optimization solver,Real-time Decisioning,Corporate
PLAY-0164,MET-0040,Flag-carrier peer,Flag-carrier peer optimized procurement cost savings,Procurement Cost Savings (Operations),+3.3 %,crew-ops AI|real-time ops data|self-service rebooking|demand-sensing ML,Predictive Analytics,Corporate
PLAY-0165,MET-0040,Cross-industry leader,Cross-industry leader deployed AI for procurement cost savings,Procurement Cost Savings (Operations),+3.7 %,automated revenue accounting|computer-vision bag tracking|predictive maintenance,Process Redesign,Corporate
PLAY-0166,MET-0120,Cross-industry leader,Cross-industry leader deployed AI for disruption recovery time,Disruption Recovery Time (Customer),-3.2 hours,network optimization solver|predictive maintenance,Platform Consolidation,Operations
PLAY-0167,MET-0110,Cross-industry leader,Cross-industry leader optimized aircraft utilization,Aircraft Utilization (Customer),+3.5 hours,computer-vision bag tracking|fuel-burn optimization,Process Redesign,Operations
PLAY-0168,MET-0089,Top-quartile carrier,Top-quartile carrier automated technical dispatch reliability,Technical Dispatch Reliability (Maintenance),+1.9 %,automated revenue accounting|generative customer assistant|self-service rebooking,Generative Assist,Maintenance
PLAY-0169,MET-0072,Flag-carrier peer,Flag-carrier peer digitized cyber mean-time-to-detect,Cyber Mean-Time-to-Detect (Maintenance),-3.0 hours,digital twin of operations|fuel-burn optimization|crew-ops AI,Predictive Analytics,Risk
PLAY-0170,MET-0089,Digital-native peer,Digital-native peer re-engineered technical dispatch reliability,Technical Dispatch Reliability (Maintenance),+4.1 %,dynamic pricing engine|loyalty personalization engine|real-time ops data,Self-Service Shift,Maintenance
PLAY-0171,MET-0020,Top-quartile carrier,Top-quartile carrier optimized aircraft utilization,Aircraft Utilization,+1.5 hours,computer-vision bag tracking|automated revenue accounting|generative customer assistant,Process Redesign,Operations
PLAY-0172,MET-0134,Digital-native peer,Digital-native peer consolidated load factor %,Load Factor % (Corporate),+1.9 %,self-service rebooking|automated revenue accounting,AI Optimization,Commercial
PLAY-0173,MET-0156,Cross-industry leader,Cross-industry leader consolidated days sales outstanding,Days Sales Outstanding (Finance),-1.5 days,digital twin of operations|demand-sensing ML|generative customer assistant,Process Redesign,Finance
PLAY-0174,MET-0101,LCC archetype,LCC archetype automated safety incident rate,Safety Incident Rate (Customer),-1.6 rate,demand-sensing ML|rebooking automation|predictive maintenance|network optimization solver,Predictive Analytics,Operations
PLAY-0175,MET-0093,Digital-native peer,Digital-native peer digitized employee attrition rate,Employee Attrition Rate (Customer),-3.9 %,predictive maintenance|automated revenue accounting,AI Optimization,Workforce
PLAY-0176,MET-0033,Flag-carrier peer,Flag-carrier peer automated employee attrition rate,Employee Attrition Rate (Operations),-2.0 %,crew-ops AI|cargo capacity optimizer|fuel-burn optimization,AI Optimization,Workforce
PLAY-0177,MET-0012,Top-quartile carrier,Top-quartile carrier consolidated cyber mean-time-to-detect,Cyber Mean-Time-to-Detect,-2.1 hours,generative customer assistant|predictive maintenance|crew-ops AI|automated revenue accounting,Self-Service Shift,Risk
PLAY-0178,MET-0027,Best-in-class operator,Best-in-class operator automated net promoter score,Net Promoter Score (Pax),+1.5 score,loyalty personalization engine|fuel-burn optimization|rebooking automation,Predictive Analytics,Customer
PLAY-0179,MET-0155,LCC archetype,LCC archetype deployed AI for ebit margin,EBIT Margin (Finance),+2.0 %,crew-ops AI|real-time ops data,Generative Assist,Finance
PLAY-0180,MET-0111,Best-in-class operator,Best-in-class operator optimized fuel burn per asm,Fuel Burn per ASM (Customer),-4.0 kg,crew-ops AI|generative customer assistant|automated revenue accounting,Real-time Decisioning,Operations
PLAY-0181,MET-0012,Top-quartile carrier,Top-quartile carrier re-engineered cyber mean-time-to-detect,Cyber Mean-Time-to-Detect,-1.2 hours,dynamic pricing engine|network optimization solver|computer-vision bag tracking|crew-ops AI,Self-Service Shift,Risk
PLAY-0182,MET-0141,Best-in-class operator,Best-in-class operator digitized fuel burn per asm,Fuel Burn per ASM (Corporate),-3.6 kg,network optimization solver|crew-ops AI|computer-vision bag tracking,Process Redesign,Operations
PLAY-0183,MET-0173,Digital-native peer,Digital-native peer re-engineered cargo yield,Cargo Yield (Finance),+2.4 $,automated revenue accounting|dynamic pricing engine,Predictive Analytics,Cargo
PLAY-0184,MET-0033,Cross-industry leader,Cross-industry leader re-engineered employee attrition rate,Employee Attrition Rate (Operations),-1.0 %,predictive maintenance|digital twin of operations|dynamic pricing engine,Generative Assist,Workforce
PLAY-0185,MET-0063,Digital-native peer,Digital-native peer consolidated employee attrition rate,Employee Attrition Rate (Maintenance),-2.7 %,self-service rebooking|computer-vision bag tracking|automated revenue accounting,Process Redesign,Workforce
PLAY-0186,MET-0141,Top-quartile carrier,Top-quartile carrier deployed AI for fuel burn per asm,Fuel Burn per ASM (Corporate),-1.8 kg,real-time ops data|rebooking automation,Platform Consolidation,Operations
PLAY-0187,MET-0095,Top-quartile carrier,Top-quartile carrier re-engineered ebit margin,EBIT Margin (Customer),+2.5 %,dynamic pricing engine|automated revenue accounting,Generative Assist,Finance
PLAY-0188,MET-0043,Digital-native peer,Digital-native peer digitized on-time performance %,On-Time Performance % (Operations),+3.1 %,dynamic pricing engine|computer-vision bag tracking,Self-Service Shift,Operations
PLAY-0189,MET-0054,LCC archetype,LCC archetype optimized crew utilization %,Crew Utilization % (Operations),+1.3 %,demand-sensing ML|dynamic pricing engine|fuel-burn optimization|rebooking automation,Automation,Operations
PLAY-0190,MET-0044,Digital-native peer,Digital-native peer deployed AI for load factor %,Load Factor % (Operations),+4.2 %,crew-ops AI|predictive maintenance|dynamic pricing engine,Platform Consolidation,Commercial
PLAY-0191,MET-0128,Top-quartile carrier,Top-quartile carrier re-engineered it spend as % of revenue,IT Spend as % of Revenue (Corporate),-2.8 %,generative customer assistant|automated revenue accounting|real-time ops data,Self-Service Shift,Technology
PLAY-0192,MET-0173,Digital-native peer,Digital-native peer deployed AI for cargo yield,Cargo Yield (Finance),+1.7 $,self-service rebooking|real-time ops data|network optimization solver|loyalty personalization engine,Real-time Decisioning,Cargo
PLAY-0193,MET-0087,Digital-native peer,Digital-native peer consolidated net promoter score,Net Promoter Score (Pax) (Maintenance),+3.2 score,self-service rebooking|automated revenue accounting,AI Optimization,Customer
PLAY-0194,MET-0003,Cross-industry leader,Cross-industry leader deployed AI for employee attrition rate,Employee Attrition Rate,-1.0 %,automated revenue accounting|fuel-burn optimization|self-service rebooking,Real-time Decisioning,Workforce
PLAY-0195,MET-0146,Digital-native peer,Digital-native peer optimized loyalty member growth,Loyalty Member Growth (Corporate),+3.2 %,dynamic pricing engine|loyalty personalization engine,Generative Assist,Loyalty
PLAY-0196,MET-0039,LCC archetype,LCC archetype deployed AI for first contact resolution,First Contact Resolution (Operations),+1.4 %,demand-sensing ML|predictive maintenance|digital twin of operations,Real-time Decisioning,Customer
PLAY-0197,MET-0050,Flag-carrier peer,Flag-carrier peer consolidated aircraft utilization,Aircraft Utilization (Operations),+1.6 hours,network optimization solver|computer-vision bag tracking|rebooking automation,Platform Consolidation,Operations
PLAY-0198,MET-0068,Cross-industry leader,Cross-industry leader automated it spend as % of revenue,IT Spend as % of Revenue (Maintenance),-2.7 %,digital twin of operations|demand-sensing ML,Generative Assist,Technology
PLAY-0199,MET-0100,Flag-carrier peer,Flag-carrier peer deployed AI for procurement cost savings,Procurement Cost Savings (Customer),+3.6 %,dynamic pricing engine|demand-sensing ML|computer-vision bag tracking,Self-Service Shift,Corporate
PLAY-0200,MET-0140,Digital-native peer,Digital-native peer digitized aircraft utilization,Aircraft Utilization (Corporate),+1.5 hours,automated revenue accounting|real-time ops data|crew-ops AI,Predictive Analytics,Operations
PLAY-0201,MET-0031,Best-in-class operator,Best-in-class operator automated cost-to-income ratio,Cost-to-Income Ratio (Operations),-0.9 %,digital twin of operations|network optimization solver|predictive maintenance,Real-time Decisioning,Corporate
PLAY-0202,MET-0028,LCC archetype,LCC archetype consolidated maintenance cost per flight hour,Maintenance Cost per Flight Hour,-2.7 $,dynamic pricing engine|cargo capacity optimizer|demand-sensing ML|generative customer assistant,Automation,Maintenance
PLAY-0203,MET-0025,LCC archetype,LCC archetype re-engineered schedule reliability %,Schedule Reliability %,+1.0 %,dynamic pricing engine|predictive maintenance|demand-sensing ML,Real-time Decisioning,Operations
PLAY-0204,MET-0133,Cross-industry leader,Cross-industry leader deployed AI for on-time performance %,On-Time Performance % (Corporate),+4.5 %,digital twin of operations|fuel-burn optimization|self-service rebooking,Automation,Operations
PLAY-0205,MET-0028,Digital-native peer,Digital-native peer automated maintenance cost per flight hour,Maintenance Cost per Flight Hour,-2.6 $,fuel-burn optimization|network optimization solver|computer-vision bag tracking|real-time ops data,Platform Consolidation,Maintenance
PLAY-0206,MET-0141,Flag-carrier peer,Flag-carrier peer consolidated fuel burn per asm,Fuel Burn per ASM (Corporate),-2.3 kg,generative customer assistant|rebooking automation|cargo capacity optimizer|real-time ops data,Real-time Decisioning,Operations
PLAY-0207,MET-0028,LCC archetype,LCC archetype consolidated maintenance cost per flight hour,Maintenance Cost per Flight Hour,-1.9 $,real-time ops data|rebooking automation|demand-sensing ML|crew-ops AI,Real-time Decisioning,Maintenance
PLAY-0208,MET-0067,LCC archetype,LCC archetype automated digital self-service rate,Digital Self-Service Rate (Maintenance),+2.8 %,real-time ops data|crew-ops AI|digital twin of operations,AI Optimization,Customer
PLAY-0209,MET-0074,Digital-native peer,Digital-native peer deployed AI for load factor %,Load Factor % (Maintenance),+4.1 %,network optimization solver|rebooking automation|crew-ops AI|dynamic pricing engine,Automation,Commercial
PLAY-0210,MET-0041,LCC archetype,LCC archetype automated safety incident rate,Safety Incident Rate (Operations),-3.0 rate,digital twin of operations|predictive maintenance,Real-time Decisioning,Operations
PLAY-0211,MET-0065,Top-quartile carrier,Top-quartile carrier optimized ebit margin,EBIT Margin (Maintenance),+4.3 %,generative customer assistant|demand-sensing ML|real-time ops data,Automation,Finance
PLAY-0212,MET-0043,Best-in-class operator,Best-in-class operator consolidated on-time performance %,On-Time Performance % (Operations),+1.9 %,cargo capacity optimizer|real-time ops data|computer-vision bag tracking|crew-ops AI,Generative Assist,Operations
PLAY-0213,MET-0037,LCC archetype,LCC archetype digitized digital self-service rate,Digital Self-Service Rate (Operations),+3.0 %,crew-ops AI|self-service rebooking|demand-sensing ML|dynamic pricing engine,Predictive Analytics,Customer
PLAY-0214,MET-0135,Best-in-class operator,Best-in-class operator digitized casm,CASM (Corporate),-4.4 cents,predictive maintenance|generative customer assistant|fuel-burn optimization,Generative Assist,Finance
PLAY-0215,MET-0089,Cross-industry leader,Cross-industry leader re-engineered technical dispatch reliability,Technical Dispatch Reliability (Maintenance),+3.0 %,predictive maintenance|demand-sensing ML,Generative Assist,Maintenance
PLAY-0216,MET-0016,Digital-native peer,Digital-native peer deployed AI for rasm,RASM,+2.1 cents,rebooking automation|loyalty personalization engine,Platform Consolidation,Commercial
PLAY-0217,MET-0163,Flag-carrier peer,Flag-carrier peer consolidated on-time performance %,On-Time Performance % (Finance),+1.4 %,network optimization solver|crew-ops AI|fuel-burn optimization,Platform Consolidation,Operations
PLAY-0218,MET-0071,Best-in-class operator,Best-in-class operator optimized safety incident rate,Safety Incident Rate (Maintenance),-1.3 rate,generative customer assistant|loyalty personalization engine|computer-vision bag tracking,AI Optimization,Operations
PLAY-0219,MET-0170,Cross-industry leader,Cross-industry leader deployed AI for aircraft utilization,Aircraft Utilization (Finance),+1.1 hours,demand-sensing ML|self-service rebooking,Predictive Analytics,Operations
PLAY-0220,MET-0157,Digital-native peer,Digital-native peer automated digital self-service rate,Digital Self-Service Rate (Finance),+1.4 %,self-service rebooking|crew-ops AI,Automation,Customer
PLAY-0221,MET-0147,Digital-native peer,Digital-native peer optimized net promoter score,Net Promoter Score (Pax) (Corporate),+3.9 score,rebooking automation|crew-ops AI|automated revenue accounting,Real-time Decisioning,Customer
PLAY-0222,MET-0128,Flag-carrier peer,Flag-carrier peer digitized it spend as % of revenue,IT Spend as % of Revenue (Corporate),-3.4 %,dynamic pricing engine|crew-ops AI|cargo capacity optimizer,Platform Consolidation,Technology
PLAY-0223,MET-0022,Cross-industry leader,Cross-industry leader deployed AI for turnaround time,Turnaround Time,-4.3 minutes,digital twin of operations|network optimization solver|demand-sensing ML,Predictive Analytics,Operations
PLAY-0224,MET-0043,Cross-industry leader,Cross-industry leader re-engineered on-time performance %,On-Time Performance % (Operations),+2.4 %,digital twin of operations|demand-sensing ML|automated revenue accounting|network optimization solver,AI Optimization,Operations
PLAY-0225,MET-0071,Digital-native peer,Digital-native peer re-engineered safety incident rate,Safety Incident Rate (Maintenance),-4.4 rate,real-time ops data|crew-ops AI,AI Optimization,Operations
PLAY-0226,MET-0057,Top-quartile carrier,Top-quartile carrier digitized net promoter score,Net Promoter Score (Pax) (Operations),+1.0 score,automated revenue accounting|cargo capacity optimizer,AI Optimization,Customer
PLAY-0227,MET-0071,Flag-carrier peer,Flag-carrier peer re-engineered safety incident rate,Safety Incident Rate (Maintenance),-3.0 rate,self-service rebooking|demand-sensing ML|digital twin of operations,Platform Consolidation,Operations
PLAY-0228,MET-0010,LCC archetype,LCC archetype re-engineered procurement cost savings,Procurement Cost Savings,+2.6 %,dynamic pricing engine|automated revenue accounting|self-service rebooking|rebooking automation,Generative Assist,Corporate
PLAY-0229,MET-0179,Best-in-class operator,Best-in-class operator digitized technical dispatch reliability,Technical Dispatch Reliability (Finance),+1.0 %,real-time ops data|fuel-burn optimization,Self-Service Shift,Maintenance
PLAY-0230,MET-0105,Top-quartile carrier,Top-quartile carrier automated casm,CASM (Customer),-2.5 cents,automated revenue accounting|computer-vision bag tracking,Process Redesign,Finance
PLAY-0231,MET-0036,Flag-carrier peer,Flag-carrier peer optimized days sales outstanding,Days Sales Outstanding (Operations),-3.7 days,fuel-burn optimization|digital twin of operations|dynamic pricing engine|automated revenue accounting,Generative Assist,Finance
PLAY-0232,MET-0113,Cross-industry leader,Cross-industry leader re-engineered cargo yield,Cargo Yield (Customer),+3.3 $,crew-ops AI|network optimization solver,Real-time Decisioning,Cargo
PLAY-0233,MET-0039,Digital-native peer,Digital-native peer deployed AI for first contact resolution,First Contact Resolution (Operations),+2.9 %,automated revenue accounting|self-service rebooking|digital twin of operations,Process Redesign,Customer
PLAY-0234,MET-0060,Flag-carrier peer,Flag-carrier peer consolidated disruption recovery time,Disruption Recovery Time (Operations),-2.6 hours,fuel-burn optimization|cargo capacity optimizer,Predictive Analytics,Operations
PLAY-0235,MET-0013,Digital-native peer,Digital-native peer digitized on-time performance %,On-Time Performance %,+3.8 %,crew-ops AI|automated revenue accounting|computer-vision bag tracking,Real-time Decisioning,Operations
PLAY-0236,MET-0121,Best-in-class operator,Best-in-class operator optimized cost-to-income ratio,Cost-to-Income Ratio (Corporate),-1.5 %,crew-ops AI|computer-vision bag tracking,Self-Service Shift,Corporate
PLAY-0237,MET-0078,Best-in-class operator,Best-in-class operator digitized ancillary revenue per pax,Ancillary Revenue per Pax (Maintenance),+2.8 $,loyalty personalization engine|crew-ops AI,Predictive Analytics,Commercial
PLAY-0238,MET-0179,Cross-industry leader,Cross-industry leader digitized technical dispatch reliability,Technical Dispatch Reliability (Finance),+2.0 %,network optimization solver|generative customer assistant|dynamic pricing engine|self-service rebooking,Real-time Decisioning,Maintenance
PLAY-0239,MET-0129,Best-in-class operator,Best-in-class operator digitized first contact resolution,First Contact Resolution (Corporate),+2.2 %,digital twin of operations|generative customer assistant|real-time ops data|demand-sensing ML,Generative Assist,Customer
PLAY-0240,MET-0136,LCC archetype,LCC archetype deployed AI for rasm,RASM (Corporate),+2.3 cents,computer-vision bag tracking|loyalty personalization engine,Generative Assist,Commercial
PLAY-0241,MET-0121,LCC archetype,LCC archetype deployed AI for cost-to-income ratio,Cost-to-Income Ratio (Corporate),-2.1 %,rebooking automation|automated revenue accounting|predictive maintenance|crew-ops AI,Self-Service Shift,Corporate
PLAY-0242,MET-0036,Cross-industry leader,Cross-industry leader deployed AI for days sales outstanding,Days Sales Outstanding (Operations),-1.9 days,loyalty personalization engine|automated revenue accounting|computer-vision bag tracking|generative customer assistant,AI Optimization,Finance
PLAY-0243,MET-0044,LCC archetype,LCC archetype optimized load factor %,Load Factor % (Operations),+2.4 %,dynamic pricing engine|network optimization solver,Predictive Analytics,Commercial
PLAY-0244,MET-0130,Digital-native peer,Digital-native peer deployed AI for procurement cost savings,Procurement Cost Savings (Corporate),+1.8 %,self-service rebooking|dynamic pricing engine|crew-ops AI|digital twin of operations,Automation,Corporate
PLAY-0245,MET-0028,Digital-native peer,Digital-native peer digitized maintenance cost per flight hour,Maintenance Cost per Flight Hour,-0.9 $,rebooking automation|automated revenue accounting|real-time ops data,Generative Assist,Maintenance
PLAY-0246,MET-0150,Top-quartile carrier,Top-quartile carrier optimized disruption recovery time,Disruption Recovery Time (Corporate),-1.3 hours,fuel-burn optimization|generative customer assistant,Automation,Operations
PLAY-0247,MET-0147,Flag-carrier peer,Flag-carrier peer consolidated net promoter score,Net Promoter Score (Pax) (Corporate),+1.3 score,rebooking automation|self-service rebooking|computer-vision bag tracking|fuel-burn optimization,Self-Service Shift,Customer
PLAY-0248,MET-0020,LCC archetype,LCC archetype digitized aircraft utilization,Aircraft Utilization,+2.5 hours,dynamic pricing engine|predictive maintenance|automated revenue accounting,Real-time Decisioning,Operations
PLAY-0249,MET-0138,Flag-carrier peer,Flag-carrier peer optimized ancillary revenue per pax,Ancillary Revenue per Pax (Corporate),+1.0 $,fuel-burn optimization|generative customer assistant|computer-vision bag tracking,Predictive Analytics,Commercial
PLAY-0250,MET-0058,Digital-native peer,Digital-native peer optimized maintenance cost per flight hour,Maintenance Cost per Flight Hour (Operations),-4.0 $,computer-vision bag tracking|crew-ops AI|fuel-burn optimization,Automation,Maintenance
PLAY-0251,MET-0107,Digital-native peer,Digital-native peer re-engineered completion factor %,Completion Factor % (Customer),+4.2 %,loyalty personalization engine|fuel-burn optimization|dynamic pricing engine|real-time ops data,Real-time Decisioning,Operations
PLAY-0252,MET-0143,Flag-carrier peer,Flag-carrier peer deployed AI for cargo yield,Cargo Yield (Corporate),+3.0 $,automated revenue accounting|predictive maintenance|cargo capacity optimizer,Automation,Cargo
PLAY-0253,MET-0068,LCC archetype,LCC archetype optimized it spend as % of revenue,IT Spend as % of Revenue (Maintenance),-1.1 %,crew-ops AI|rebooking automation|network optimization solver,AI Optimization,Technology
PLAY-0254,MET-0104,Flag-carrier peer,Flag-carrier peer digitized load factor %,Load Factor % (Customer),+1.8 %,rebooking automation|predictive maintenance,Platform Consolidation,Commercial
PLAY-0255,MET-0092,Best-in-class operator,Best-in-class operator consolidated net promoter score,Net Promoter Score (Customer),+3.6 score,automated revenue accounting|self-service rebooking|predictive maintenance|cargo capacity optimizer,Self-Service Shift,Customer
PLAY-0256,MET-0176,Digital-native peer,Digital-native peer automated loyalty member growth,Loyalty Member Growth (Finance),+2.2 %,fuel-burn optimization|real-time ops data,Self-Service Shift,Loyalty
PLAY-0257,MET-0049,Cross-industry leader,Cross-industry leader automated mishandled bags per 1000,Mishandled Bags per 1000 (Operations),-3.5 rate,loyalty personalization engine|cargo capacity optimizer|rebooking automation|computer-vision bag tracking,Platform Consolidation,Customer
PLAY-0258,MET-0041,Best-in-class operator,Best-in-class operator re-engineered safety incident rate,Safety Incident Rate (Operations),-1.9 rate,demand-sensing ML|computer-vision bag tracking,Self-Service Shift,Operations
PLAY-0259,MET-0178,Flag-carrier peer,Flag-carrier peer digitized maintenance cost per flight hour,Maintenance Cost per Flight Hour (Finance),-3.2 $,generative customer assistant|fuel-burn optimization|real-time ops data|automated revenue accounting,Predictive Analytics,Maintenance
PLAY-0260,MET-0152,Top-quartile carrier,Top-quartile carrier optimized net promoter score,Net Promoter Score (Finance),+2.2 score,network optimization solver|demand-sensing ML,AI Optimization,Customer
PLAY-0261,MET-0165,Digital-native peer,Digital-native peer deployed AI for casm,CASM (Finance),-4.4 cents,digital twin of operations|generative customer assistant|rebooking automation,Self-Service Shift,Finance
PLAY-0262,MET-0016,LCC archetype,LCC archetype automated rasm,RASM,+3.3 cents,self-service rebooking|rebooking automation|dynamic pricing engine,Real-time Decisioning,Commercial
PLAY-0263,MET-0109,Cross-industry leader,Cross-industry leader re-engineered mishandled bags per 1000,Mishandled Bags per 1000 (Customer),-3.8 rate,fuel-burn optimization|rebooking automation|dynamic pricing engine,Real-time Decisioning,Customer
PLAY-0264,MET-0009,Digital-native peer,Digital-native peer digitized first contact resolution,First Contact Resolution,+3.0 %,demand-sensing ML|digital twin of operations,Platform Consolidation,Customer
PLAY-0265,MET-0082,Digital-native peer,Digital-native peer consolidated turnaround time,Turnaround Time (Maintenance),-3.0 minutes,self-service rebooking|predictive maintenance|dynamic pricing engine,Process Redesign,Operations
PLAY-0266,MET-0007,Best-in-class operator,Best-in-class operator re-engineered digital self-service rate,Digital Self-Service Rate,+3.0 %,crew-ops AI|computer-vision bag tracking|automated revenue accounting|generative customer assistant,Process Redesign,Customer
PLAY-0267,MET-0070,Best-in-class operator,Best-in-class operator optimized procurement cost savings,Procurement Cost Savings (Maintenance),+2.6 %,fuel-burn optimization|dynamic pricing engine|predictive maintenance,Platform Consolidation,Corporate
PLAY-0268,MET-0161,Top-quartile carrier,Top-quartile carrier deployed AI for safety incident rate,Safety Incident Rate (Finance),-2.9 rate,fuel-burn optimization|computer-vision bag tracking|crew-ops AI|cargo capacity optimizer,Platform Consolidation,Operations
PLAY-0269,MET-0138,Best-in-class operator,Best-in-class operator re-engineered ancillary revenue per pax,Ancillary Revenue per Pax (Corporate),+1.5 $,automated revenue accounting|self-service rebooking|loyalty personalization engine|cargo capacity optimizer,Generative Assist,Commercial
PLAY-0270,MET-0093,Top-quartile carrier,Top-quartile carrier deployed AI for employee attrition rate,Employee Attrition Rate (Customer),-3.2 %,digital twin of operations|rebooking automation|crew-ops AI|automated revenue accounting,Automation,Workforce
PLAY-0271,MET-0017,LCC archetype,LCC archetype optimized completion factor %,Completion Factor %,+4.3 %,computer-vision bag tracking|fuel-burn optimization|demand-sensing ML,Real-time Decisioning,Operations
