ui_mode,component,business_purpose,required_object,required_fields,required_grain,required_relationships,required_evidence,required_authority_review_state,required_availability_freshness_state,required_current_target_semantics,required_metric_cube_semantics,required_access_control_behavior,existing_canonical_source,existing_projection_api,current_support_status,missing_table_field_relationship_or_projection,data_quality_reconciliation_dependency,render_gate,safe_empty_state_behavior
Explore,"Per-inventory facets/filters (Lifecycle, Readiness, Certification, Pattern, Model, Category, Stage, Severity, Disclosure)",Slice any inventory table by 1-2 controlled-vocabulary dimensions,Enum-valued fields on whichever base inventory object the facet belongs to,"Facet option lists must be closed, governed enums, not free text",Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Varies by parent inventory row above,Varies by parent inventory row above,DATA_MODEL_EXTENSION_REQUIRED,"Facets inherit the parent inventory's readiness, but additionally require every facet value to come from a ratified enum (e.g. hosting_model already has one; 'Readiness' facet used across almost every table does not exist as a declared enum anywhere)",Inherits parent row's dependency,Inherits parent row's gate; facet options list must not be hardcoded client-side as in the prototype,"Hide facets whose underlying field is not populated, rather than offering a filter that always returns nothing"
Explore,Chart toggle (client-side sum-by-facet1 bar aggregation of a numeric column),Quick visual rollup of $ or count by facet category,Same object as the parent inventory table,Numeric field being summed must itself be governed (e.g. Run cost $K),Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Should be a real Cube measure with a sum aggregation, not a client-side reduce over raw rows",Not applicable,Varies by parent row,Varies by parent row,DATA_MODEL_EXTENSION_REQUIRED,"No separate object gap beyond the parent table, but the aggregation itself should be a governed Cube measure (for audit-ability and reconciliation) rather than an ad hoc client-side sum as in the prototype",Inherits parent row's dependency,Inherits parent row's gate,Disable the chart toggle when the underlying numeric field is not governed/populated
Explore,Row detail drawer (Attributes: all columns; Evidence: state / source / last reviewed),Per-row provenance drill-through from any inventory table,"Provenance fields per row (source, last-reviewed date/reviewer)","source_ref, last_reviewed_at, last_reviewed_by, authority_state -- a specific reviewer+date pairing, not just baseline_metadata's generic freshness_state",One provenance record per row per object,Row -> evidence.evidence_fragment,This drawer IS the evidence surfacing point for every inventory table,"Per-row authority_state must be shown, not assumed 'Accepted' by default",Per-row freshness_state,Not applicable,Not applicable,Not applicable,"ProvenanceSchema exists at the governance-policy layer (source_file, ingestion_run_id, parse_method, committed_at, indexed_at)",Not confirmed wired to application/vendor/risk row level in the field contract,DATA_MODEL_EXTENSION_REQUIRED,"ProvenanceSchema shape exists in context-corpus-policy.ts conceptually, but the specific 'reviewed by X on date Y' pairing the drawer needs per inventory row is not confirmed present in CONSUMPTION_OBJECT_AND_FIELD_CONTRACT.xlsx's sampled fields for application/vendor/risk objects",Inherits parent table's dependency for the Attributes half; Evidence half needs its own field extension regardless of parent readiness,Row's provenance fields present and resolve to a real source_ref,Show Attributes tab from real row data even if Evidence tab must say 'Provenance not yet captured at row level'
Explore,Save view / Export actions,Persist filter/column/sort state as a shareable view; export rows with snapshot and evidence state carried,"An operational UI table: saved_view (owner, filters, columns, sort, share scope) -- legitimately UI state, not canonical knowledge","view_id, owner_user_id, tenant_key, inventory_type, filter_state, column_state, sort_state, share_scope, created_at",One row per saved view per user (or per business-problem if shared),"View references the inventory type and the knowledge_baseline_ref it was captured against, so exports carry snapshot lineage as the prototype promises ('Export carries the snapshot, filters and evidence state with the rows')",Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Personal-by-default vs shared-at-business-problem-level is an explicit open design decision in the prototype's own notes,Not applicable,Not applicable,DESIGN_ONLY_NOT_YET_IMPLEMENTABLE,"No saved-view or export-audit table exists anywhere in the reviewed packages. This is correctly an operational UI table per the ground rules (not canonical knowledge, not a projection) and should be built as such -- it does not belong in CONSUMPTION_PROJECTION_REGISTRY.json.",Not applicable,Save/Export buttons may render immediately once the operational table exists; they do not depend on any tenant data being reconciled,"Disable Export until the view's underlying inventory table itself has real data, so an export never silently carries an empty or gap-laden dataset without saying so"
Relationships,Preset question picker (6 presets mapping to named focal graphs),Jump straight to a pre-scoped one/two-hop graph answering a named question,A saved-query/preset object mapping a question to a focal node + hop depth,"preset_id, question_text, focal_node_type, focal_node_ref, default_hops",One preset per named question per lens,Preset -> relationship_node_v1 (focal entity),Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,DESIGN_ONLY_NOT_YET_IMPLEMENTABLE,Presets are hardcoded in prototype JS (PRESETS array); no governed preset/saved-query object exists. Legitimately an operational UI table once the underlying graph is real.,Not applicable,Focal node resolves in relationship_node_v1,"Hide a preset whose focal node does not resolve, rather than opening an empty graph"
Relationships,"Graph canvas nodes (Goal, Measure, Programme, System, Data product, Risk, Vendor, AI opportunity, Domain, Current, Target, Aggregate, Workflow, Control, Contradiction, Open gap types)",Visual one/two-hop dependency map around a focal entity,consumption.relationship_node_v1,"node_id, label, node_type (from canonical relationship-type dictionary), focal flag, gap flag, conflict flag, proposed flag",One node per accepted graph entity per baseline,"Node type must map to a real canonical object (Application/Vendor/Metric/Risk/Program/etc per Enterprise IA Sec 4) -- 'Goal', 'Aggregate', 'Workflow', 'Open gap' are prototype-only pseudo-types with no canonical backing",node click drawer requires 'Known dependencies' derived from edges,authority_state=accepted for solid nodes; candidate for dashed,Not applicable,Current/Target/Proposed target/Approved target node types require a state_scope dimension not present in relationship_node_v1's field contract,Not applicable,Restricted nodes must show existence/state/owner only,knowledge.relationship_assertion,"consumption.relationship_node_v1 (registered, populated -- 34,534 nodes, in the audit's registered+populated+plausible list)",MODEL_SUPPORTED_DATA_NOT_READY,"Populated and best-corroborated overall, but the prototype's own node-type vocabulary (Goal/Aggregate/Workflow/Open gap/Current/Target) does not map cleanly onto the Enterprise IA's 15 canonical object types -- needs a mapping or a ratified extension. Some node instances are unbacked (see next row).","SD-08: 3,000 of 60,000 source relationship rows originate from a free-text 'capability' field with no backing catalog -- if these reached the accepted graph, they are exactly the meaningless-nodes failure mode. SD-14: service_tower endpoints (9,000 rows) are label-only, not ID-backed.",Node's source object_type resolves to a real canonical ID (not a bare label) before it may render as clickable with an evidence drawer,"Render capability/service_tower-origin nodes, if shown at all, visually distinct as 'unverified label, no catalog entry' rather than as an ordinary accepted node"
Relationships,"Graph canvas edges (labeled relationship types, gap/candidate/conflict/stale visual states)","Typed, evidenced connections between nodes with a business-phrase label",consumption.relationship_edge_v1,"from_node_id (required, must resolve in relationship_node_v1), to_node_id (required, same), relationship_type_ref (canonical dictionary), authority_state, evidence_ref",One edge per accepted relationship per baseline,"Relationship verbs come from a canonical dictionary per Enterprise IA Sec 4 -- prototype verbs like 'supplies crew state', 'reads', 'grounds', 'blocks start' are not in the example dictionary and would need ratification",relationship_evidence_v1 backs every edge,"Accepted (solid) vs candidate (dashed, excluded by default) vs gap/contradiction (red)",stale flag needs its own freshness signal distinct from authority_state,"target-state overlay needs edges taggable current vs target, not present today",Cube RelationshipGraph.accepted_relationship_count,Not applicable,knowledge.relationship_assertion,"consumption.relationship_edge_v1 (registered, populated -- 16,605 edges)",MODEL_SUPPORTED_DATA_NOT_READY,"accepted_relationship_count is one of only 4 Cube measures with confirmed-passed Postgres parity -- the best-corroborated measure in the entire audit. But relationship_type_ref values used by the prototype are not confirmed to exist in a ratified canonical dictionary, and edges inherit the same SD-08/SD-14 unbacked-endpoint caveat as nodes for the capability/service_tower subset.","SD-08, SD-14 as above; positive counterweight -- this is also cited as 'the best-corroborated relationship-layer result in this audit' for the 60,000->16,605 consolidation as a whole","relationship_type_ref resolves to a ratified canonical verb AND both endpoints resolve to real, catalog-backed nodes","An edge whose type does not resolve renders as 'relationship not typed' exactly as the prototype's own onClick tooltip already models, never invented as a plausible-sounding verb"
Relationships,One-hop / two-hop expansion control with candidate-link exclusion by default,Bound graph complexity by default; let a reviewer opt into unreviewed links,A server-side graph traversal capability over relationship_edge_v1/relationship_node_v1,Not applicable,Not applicable,"Traversal must default-exclude authority_state=candidate edges and only include them behind an explicit, logged toggle",Not applicable,"Candidate exclusion is itself an authority-state rule that must be enforced server-side, not just hidden in the client",Not applicable,Not applicable,Not applicable,Prototype's own open design decision: 'Whether proposed relationships may be included in a two-hop expansion for users holding a review role' -- unresolved,knowledge.relationship_assertion,"21-phase3c2e-executable-data-layer's README states 'recursive SQL traversal helpers' as a stated deliverable of the Graph Path, but the reviewed file list (sql/001_shared_knowledge_publication_consumption.sql, cube/, jobs/, validation/) does not confirm a shipped recursive traversal function -- needs direct verification against the SQL file itself",DATA_MODEL_EXTENSION_REQUIRED,"Base edge/node tables exist, but the hop-depth traversal API/stored-procedure and the server-side candidate-exclusion enforcement are not confirmed to exist as shipped code in what was reviewed",Not applicable,"A verified recursive traversal function exists and is proven to exclude candidate edges by default at the query layer, not just in client rendering","Default to one hop, accepted-only, until two-hop traversal is verified server-side"
Relationships,Current-vs-target overlay toggle (graph nodes typed Current / Proposed target / Approved target simultaneously),Show what changes between current and target state directly on the dependency graph,relationship_node_v1 extended with a state_scope dimension,"state_scope (current|target), target_approval_state (proposed|approved) per node",Same node may need two rows (current + target) or one row with a scope flag,'replaced by' edge type connecting a current node to its target replacement,Target nodes still need evidence (e.g. approved target vs merely proposed),Approved target requires a higher authority bar than proposed target,Not applicable,This is the canonical home for current/target semantics on the graph specifically,Not applicable,Not applicable,None -- Enterprise IA's object/relationship model has no explicit current/target state distinction,None,DATA_MODEL_EXTENSION_REQUIRED,"No state_scope or target_approval_state field exists anywhere in the registry, field contract, or Enterprise IA object model",Not applicable,state_scope field ratified and populated for both current and target rows of the same underlying entity,Disable the toggle; show current-state graph only until target-state fields exist
Relationships,Node click evidence drawer (What this is: type/scope/state; Known dependencies list),Per-node drill-through explaining what a graph node is and what it connects to,relationship_node_v1 + relationship_edge_v1 aggregation,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,knowledge.relationship_assertion,"consumption.relationship_node_v1, consumption.relationship_edge_v1",MODEL_SUPPORTED_DATA_NOT_READY,Inherits node/edge readiness from the two rows above,SD-08/SD-14,Inherits node row's gate,Inherits node row's empty state
Relationships,Edge click evidence drawer (meaning/criticality/state/current-or-target; source/citation/confidence/review/authority/in-effect dates),Full provenance and trust detail for one relationship,consumption.relationship_evidence_v1,"evidence_id, edge_id, source_citation, confidence, review_state, authority_state, effective_from, effective_to -- the aVa packet mapping only confirms 'evidence_refs required, displayable source refs, not hidden truth'; confidence/review/authority/effective-date are not itemized in the sampled field contract",One evidence record per edge (or per assertion) per baseline,Evidence -> supports -> Metric/Relationship per Enterprise IA Sec 4,Self-referential -- this IS the evidence surface,'Authoritative' vs 'Not authoritative' distinction shown in the drawer needs a real field,'In effect: From X - no end date' needs effective-date fields,'Current or target: Current state / Target state' shown per edge needs the same state_scope extension as the node/target-overlay rows,Not applicable,Not applicable,evidence.evidence_fragment,"consumption.relationship_evidence_v1 (registered, populated per audit's registered+populated+plausible list)",MODEL_SUPPORTED_DATA_NOT_READY,"Base object populated for basic evidence display, but confidence/review-state/authority/effective-date fields the drawer needs are not confirmed present in the field contract -- likely needs extension even on this populated object",Not applicable,relationship_evidence_v1 row present AND confidence/review/authority/effective-date fields confirmed populated,Show source citation only; omit confidence/review/authority sub-fields with 'Not yet captured' rather than a default like High/Reviewed
Relationships,"Relationship list view (from / predicate / to / state, mirrors the graph as a table)",Accessible/searchable list form of the same graph,consumption.relationship_edge_v1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,knowledge.relationship_assertion,consumption.relationship_edge_v1,MODEL_SUPPORTED_DATA_NOT_READY,Inherits the graph-edges row's status exactly,"SD-08, SD-14",Inherits graph-edges row's gate,Inherits graph-edges row's empty state
Relationships,Graph legend (Accepted solid / Candidate dashed-excluded / Gap-or-contradiction red-dashed),Explain the visual encoding of authority/evidence state on the graph,Derived purely from authority_state/availability_state on nodes and edges,Not applicable,Not applicable,Not applicable,Not applicable,Legend correctness depends entirely on nodes/edges actually carrying correct authority_state,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,MODEL_SUPPORTED_DATA_NOT_READY,"No separate gap; purely a rendering concern once nodes/edges carry correct state, but is only as trustworthy as the SD-08/SD-14 caveats above allow","SD-08, SD-14",Inherits graph nodes/edges gate,Not applicable
Evidence & gaps,Decision-readiness summary tiles (Decision-ready / Directional / Blocked-missing-input / Blocked-sources-disagree / Not assessed counts),Roll up trust across the whole tenant into 5 named readiness buckets,A readiness classification derived from domain_summary_v1 + evidence_gap_v1 + a conflict count,"readiness_state enum (5 values), per-domain or per-decision rollup count",One rollup per tenant per baseline,Aggregates every domain/decision's readiness_state,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,DATA_MODEL_EXTENSION_REQUIRED,Same 5-value readiness taxonomy gap as the Brief Goals row -- not a declared enum anywhere in the registry's baseline_metadata (authority_state/freshness_state/availability_state do not map 1:1 to it),"Even once the taxonomy exists, its inputs (evidence_gap_v1, metric_observation_v1) are confirmed broken (SD-05, SD-06)",Readiness taxonomy ratified in the canonical model AND its input data resolves cleanly,Omit the summary tiles; do not compute readiness client-side from partial data
Evidence & gaps,"Decisions-and-what-closes-them list (title, readiness state, closing dependency)",Name every pending executive decision and exactly what evidence would unblock it,A trackable 'Decision' object -- does not exist in the canonical model,"decision_id, title, readiness_state, blocking_gap_ids[]",One row per named decision per tenant,Decision -> blocked by -> evidence_gap_v1 rows,"Each decision's 'closes' text must resolve to a real open gap, not a hand-written sentence",Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,governance.evidence_gap (partial),Not applicable,DATA_MODEL_EXTENSION_REQUIRED,"Enterprise IA Sec 4's object table (Organization/BusinessFunction/.../Evidence/Interview) has no 'Decision' object. This is a structural gap, not just a data-readiness gap.","Even with the object defined, its blocking_gap_ids would resolve against evidence_gap_v1, confirmed 0 rows (SD-05)",Decision object ratified in canonical model AND evidence_gap_v1 populated,Omit the list entirely rather than hand-author decision text disconnected from real gaps
Evidence & gaps,"Coverage-by-domain table (coverage %, freshness, readiness, gap count, conflict count, source list per domain)","Domain-by-domain trust scorecard, including explicit 'Not assessed' for unpublished domains",consumption.domain_summary_v1 rollup + consumption.evidence_gap_v1 count + conflict count,"domain_key, coverage_pct, freshness_state, readiness_state, gap_count, conflict_count, source_list_text",One row per domain per tenant per baseline,Rolls up all inventory rows and gaps within a domain,Not applicable,Not applicable,"Must be able to say 'Not assessed' distinctly from a 0% coverage bar, exactly as the prototype models for Customer and loyalty",Not applicable,Cube KnowledgeCoverage.evidence_coverage_pct,Not applicable,"publication.domain_publication_v1, governance.evidence_gap","consumption.domain_summary_v1 (registered, reportedly populated)",MODEL_SUPPORTED_DATA_NOT_READY,"domain_summary_v1 populated but gap_count/conflict_count columns depend on evidence_gap_v1 (SD-05, 0 rows)",SD-05 directly,evidence_gap_v1 independently re-verified non-zero before gap_count column renders a real number,Show coverage/freshness columns from real domain_summary_v1 data; show gap_count as 'Withheld' not '0' until SD-05 is resolved
Evidence & gaps,Sources / 'where it came from' list,Full evidentiary source register underneath the tenant's knowledge,Same consumption-safe source registry projection needed by the Brief 'what it stands on' component,Same as Brief sources row,Same as Brief sources row,Same as Brief sources row,Same as Brief sources row,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"source_registry.source (Layer 1/2, 25/25 rows, raw-verified 2026-07-28)",None,PROJECTION_MISSING,Identical gap to the Brief sources row -- no consumption-layer projection exposes source_registry.source to any product surface,"Same ironic finding: best-verified table in the pipeline, zero product-facing exposure",Same governed projection needed as the Brief sources row,Same as Brief sources row
Evidence & gaps,"Contradictions list (title, source A vs source B, owner, days open, downstream effect)",Name every unresolved disagreement between two accepted sources and what it blocks,"A 'Contradiction' tracking object -- closest existing concept is availability_state='conflicting' on individual facts, but no object records owner/days-open/downstream-effect","contradiction_id, statement_a, statement_a_source, statement_b, statement_b_source, owner, opened_date, downstream_effect_text, linked_decision_ids[]",One row per named contradiction per tenant,Contradiction -> blocks -> Decision/Goal,Both sides must cite real accepted sources,"Both conflicting statements must independently be authority_state=accepted for this to be a true contradiction, not just a stale vs current mismatch",Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,DATA_MODEL_EXTENSION_REQUIRED,"The availability_state enum includes 'conflicting' as a valid state per PARTIAL_DATA_AND_EMPTY_STATE_CONTRACT.md, but there is no dedicated object tracking a contradiction's two sides, owner, and downstream effect the way this component needs",SD-02 is a concrete real example of exactly this failure mode already found in the corpus (service_tower disagrees between an application row and its own linked contract row),Contradiction object ratified AND both conflicting sources independently confirmed accepted,Omit the list; never infer a contradiction client-side by diffing two tables without a recorded owner and effect
Evidence & gaps,"Open gaps list (title, owner, affects, due date, kind)",Every acknowledged missing-evidence item with an owner and a due date,consumption.evidence_gap_v1,"gap_id (required), severity (required), title, owner, affects_text, due_date, kind",One row per open gap per tenant per baseline,Gap -> blocks -> Decision/Goal/Initiative,"Gap must name what evidence is missing, in business language (business_impact field, per field contract)",'Never coerce missing into accepted' per governance rule,Gap must never silently disappear when unresolved,Not applicable,Cube EnterpriseKnowledge.open_critical_gap_count,Not applicable,governance.evidence_gap,"consumption.evidence_gap_v1 (registered, confirmed mapping from 650 risk rows)",MODEL_SUPPORTED_DATA_NOT_READY,"Confirmed mapping, confirmed pipeline failure -- 0 rows against 650 source risks",SD-05 directly -- audit's own Sec 11 fix-before-demo priority #3: 'the single most demo-visible defect',evidence_gap_v1 re-run and independently re-verified against 650-row risk-register source,'Gap data withheld pending pipeline re-run' -- never an empty gaps list on a tenant that documented 650 risks
Evidence & gaps,Withheld / not-measured / not-loaded / not-assessed explanation panel,"Explain, in plain language, exactly which categories of missing data exist and why",availability_state enum applied consistently across every object (PARTIAL_DATA_AND_EMPTY_STATE_CONTRACT.md),"availability_state per field/row, human-readable explanation text",Not applicable,Not applicable,Not applicable,Not applicable,This panel IS the availability_state contract made visible,Not applicable,Not applicable,Not applicable,Not applicable,"PARTIAL_DATA_AND_EMPTY_STATE_CONTRACT.md defines the exact allowed states and conversion rules (missing must not become 0, withheld must not become 0, not_measured must not become 0, candidate must not become accepted, target_state must not become current_state)",MODEL_SUPPORTED_DATA_NOT_READY,"The CONTRACT itself is correctly specified and is exactly the right design. What is missing is a renderer that actually enforces it end-to-end -- product-readiness-defects.md's own closing note states no renderer exists yet to verify the empty-vs-zero distinction is honored, and evidence_gap_v1=0 and metric_catalog_v1=0 currently look identical to 'no gaps, all is well' at the data layer.",Directly the closing finding of product-readiness-defects.md: 'that renderer does not exist yet to verify',"A renderer/component library exists that maps every availability_state value to its own distinct visual treatment, tested against at least one real broken-pipeline case (e.g. evidence_gap_v1)",This panel's whole job is to BE the safe empty-state explanation for every other component -- it must ship before or alongside every other MODEL_SUPPORTED_DATA_NOT_READY row above
Evidence & gaps,"Completion workbench (left-nav link only, no data shape defined in the prototype itself)",Presumably a guided flow to close a specific evidence gap,Unknown -- not established in reviewed artifacts; do not infer,Unknown -- not established in reviewed artifacts; do not infer,Unknown -- not established in reviewed artifacts; do not infer,Unknown -- not established in reviewed artifacts; do not infer,Unknown -- not established in reviewed artifacts; do not infer,Unknown -- not established in reviewed artifacts; do not infer,Unknown -- not established in reviewed artifacts; do not infer,Not applicable,Not applicable,Unknown -- not established in reviewed artifacts; do not infer,Not applicable,Not applicable,DESIGN_ONLY_NOT_YET_IMPLEMENTABLE,"The prototype itself only names this as a left-nav label ('Completion workbench') with no defined content, fields, or behavior anywhere in xdc-script.js. Its data requirements cannot be specified until its UX is designed.",Not applicable,Not applicable,Not applicable
aVa,aVa scope banner + 'Knowledge used' expandable (entities/facts/relationships/measures/sources/gaps/publication versions/permission boundary),Show exactly what governed context aVa is grounded in before showing any answer,consumption.module_knowledge_packet_v1 header fields,"knowledge_baseline_ref (required), domain_publication_versions (required), consumption_projection_versions (required), cube_semantic_model_version (required when metrics queried) per AVA_KNOWLEDGE_PACKET_MAPPING.xlsx",One packet per active question-context per tenant per baseline,Packet references every domain publication and projection version actually queried,"accepted_fact_refs (required, only accepted/published, never working candidates)",Packet content must be accepted only,Packet must be pinned to one active baseline,Not applicable,metric_query_hashes required when metrics used,blocked_sources required when any source withheld -- records exclusion without leaking restricted content,"publication.active_knowledge_baseline, consumption.*",consumption.module_knowledge_packet_v1 (registered),PROJECTION_MISSING,"Registered and well-specified in AVA_KNOWLEDGE_PACKET_MAPPING.xlsx, but reported absent from the actual populated-object breakdown for airline-demo-new -- effectively unbuilt",Audit Sec 2/Sec 8: module_knowledge_packet_v1 among the objects 'absent from the reported breakdown entirely',module_knowledge_packet_v1 row exists for the active question context with all required header fields populated,"aVa dock shows 'Knowledge packet not yet available for this tenant' and refuses to answer, rather than answering ungrounded"
aVa,aVa suggested questions (curated per-lens question bank),"Give the user a running start with pre-vetted, answerable questions","An operational UI table of question templates tagged by lens -- legitimately UI content, not canonical knowledge","question_id, question_text, lens_tags[], target_answer_mode",One row per curated question per lens,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,DESIGN_ONLY_NOT_YET_IMPLEMENTABLE,Hardcoded in prototype JS (SUGGEST array); no such template table exists. Correctly an operational UI table once real answer packets exist to back the suggestions -- suggesting a question that then hits the PROJECTION_MISSING scope-banner gate above is worse than not suggesting it.,Not applicable,"Suggested question must resolve to a real, gate-passing answer before being offered, not just be topically relevant",Suppress a suggestion whose underlying packet/evidence would fail to gate
aVa,"aVa answer card (6-part contract: Answer, Why, Evidence and authority, Limits, What would change this, Next best actions) -- ephemeral until promoted",Every substantive model answer must be fully grounded and explicit about its own limits,"module_knowledge_packet_v1 (fully populated) feeding a Claude prompt through buildValidatedAgentContextBundle, plus a 'promoted answer' object for the review-and-promote workflow","answer_id, question_text, mode, blocks[] (k/v pairs for the 6 parts), badge_text, promoted_state","One answer per question per session, promotable to a durable candidate insight on review",Every claim in 'Answer'/'Why' must cite packet facts; 'Evidence and authority' block must name real sources,This is the single most evidence-dense component in the whole surface,Explicitly 'ephemeral until promoted through a recorded review' -- no such promotion object exists,Badge must say 'ephemeral' vs promoted distinctly,Not applicable,Any metric cited in the answer must resolve through metric_query_hashes to a real metric_observation_v1 value,"Must never surface content from a blocked_sources-listed restricted item, even paraphrased","publication.active_knowledge_baseline, consumption.*","consumption.module_knowledge_packet_v1 (registered, contract well-specified)",MODEL_SUPPORTED_DATA_NOT_READY,Packet contract shape correct; packet not populated for this tenant (PROJECTION_MISSING at the data layer); additionally no 'promoted answer' object exists for the review/promotion workflow the prototype explicitly promises (DATA_MODEL_EXTENSION_REQUIRED),Depends on module_knowledge_packet_v1 population plus every upstream family it would cite -- most acutely evidence_gap_v1 (SD-05) and metric_observation_v1 (SD-06) for the exact irops/crew/baggage examples the prototype itself uses,"module_knowledge_packet_v1 populated AND every cited fact/metric/gap resolves to a real, non-broken-pipeline row","aVa declines exactly as the prototype's own 'insufficient' answer already models -- names what is present, what is missing, and what it will not do (apply an external figure and present it as this tenant's own number)"
aVa,"aVa refusal case ('Not answerable yet' -- explicit missing-inputs enumeration, 'what we will not do' guardrail statement)",Decline rather than borrow an industry average and present it as this tenant's own number,Same module_knowledge_packet_v1 plus its known_gaps field,known_gaps (required per AVA_KNOWLEDGE_PACKET_MAPPING -- 'missing/withheld/conflicting data surfaced plainly'),Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,consumption.module_knowledge_packet_v1.known_gaps,MODEL_SUPPORTED_DATA_NOT_READY,"This is the single MOST supportable aVa behavior in the whole surface once the packet exists -- the contract for it (known_gaps, blocked_sources) is already well-specified. It only requires the packet to correctly report real gaps, which depends on evidence_gap_v1/metric_observation_v1 being real.","SD-05, SD-06 -- ironically, refusal is EASIER to get right once these are fixed, because a correctly-broken pipeline should produce more refusals, not fewer",Same as the aVa answer card row,This row largely IS the safe-empty-state pattern for the whole aVa surface
aVa,aVa free-text question input with NL routing to a grounded answer,"Let the user ask an open question, not just pick a preset","A real grounding/retrieval pipeline: intent classification -> packet assembly -> Claude call with citation verification, built on buildValidatedAgentContextBundle",Not applicable,Not applicable,Routes through consumption.search_document_v1 for retrieval and consumption.module_knowledge_packet_v1 for grounding,Same evidence bar as the answer card,Not applicable,Not applicable,Not applicable,Not applicable,"Must apply the same governance-policy filtering (evaluateGovernedObject, block-decision objects never reach the model) as any other agent context bundle",Not applicable,"consumption.search_document_v1 (registered, populated per audit's registered+populated+plausible list) provides a deterministic search foundation, but NL-question routing itself is an application-layer capability represented by no projection",PROJECTION_MISSING,The prototype's own onAvaKey handler is a literal keyword-match stub (looks for 'erp'/'retire'/'cost'/'risk'/'access'/'program'/'gate' substrings) -- production needs a real intent-classification-to-packet-assembly pipeline that does not exist in any reviewed package,Not applicable,"A real NL routing layer exists and is proven to only ever produce grounded, packet-backed answers (never a hallucinated response for an unmatched question)","Route any unmatched/low-confidence question to the same refusal pattern as row above, never to a best-guess preset"
aVa,"aVa docking controls (left/right/bottom/float, lock)",Let the user reposition the aVa panel without losing context,Ephemeral client-side UI state; optionally a persisted user preference,"dock_position, locked (bool) -- if persisted: user_id, tenant_key",One preference row per user if persisted,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,DESIGN_ONLY_NOT_YET_IMPLEMENTABLE,No canonical/projection gap at all -- this is pure UI chrome. Classified DESIGN_ONLY only because no persisted-preference table exists yet if the product wants docking to survive a session; ephemeral in-session docking needs no backend at all and could ship independently of every other row in this matrix.,Not applicable,Not applicable,Not applicable
aVa,Global search (Systems / Measures / Perspectives / Open gaps result groups),"Deterministic, no-model search across accepted knowledge",consumption.search_document_v1,"search_doc_id, content_hash, doc_type, doc_title, matched_field_text",One searchable document per accepted entity/fact/relationship/gap per baseline,Indexes across every other consumption object,"Deterministic result, explicitly 'no model was called' per the prototype's own toast copy",candidate/working content excluded (per registry's partial_data_behavior for this object),Not applicable,Not applicable,Not applicable,Not applicable,publication.active_knowledge_baseline,"consumption.search_document_v1 (registered, populated per audit's registered+populated+plausible list)",MODEL_SUPPORTED_DATA_NOT_READY,"Search foundation is real for applications/vendors/relationships-backed content, but results in the Measures and Open gaps groups specifically would be empty or misleading because their source objects (metric_observation_v1, evidence_gap_v1) are confirmed broken","SD-05 (Open gaps group), SD-06 (Measures group)",Each result group independently gates on its own source object's readiness,"Show 'No indexed results' for the Measures/Open gaps groups distinctly from 'No matches' for a real, populated, simply-unmatched search"
