ui_mode,component,business_concept,required_canonical_object,required_fields,required_grain,required_projection,required_cube_dimension_measure,required_lineage,required_evidence,current_implementation,current_data_state,exact_defect,first_broken_layer,required_codex_fix,migration_reprocessing_requirement,reconciliation_test,live_proof_required,ui_render_gate,safe_unavailable_state,acceptance_criteria
Evidence & gaps; aVa,Withheld/absent/not-measured/not-loaded/not-assessed explanation panel; Condition/demo selector,"A component whose entire job is to correctly distinguish 'no data because none exists' from 'data withheld' from 'zero, confirmed' -- and prove it does so end to end",availability_state applied consistently across every consumption object (already specified),availability_state per field/row (already specified in PARTIAL_DATA_AND_EMPTY_STATE_CONTRACT.md),Not applicable,"No new projection -- this is a renderer/verification gap, not a data gap",Not applicable,Not applicable,Not applicable,"PARTIAL_DATA_AND_EMPTY_STATE_CONTRACT.md correctly specifies the exact allowed states and non-negotiable conversions (missing must not become 0, withheld must not become 0, etc.)","product-readiness-defects.md's own closing note states plainly: 'that renderer does not exist yet to verify' the contract is honored end to end. evidence_gap_v1=0 and metric_catalog_v1=0 currently look IDENTICAL at the data layer to 'no gaps, all is well.'","Not a Codex data-plane defect per se -- the contract is correct and the data-plane fixes above (rows 1, 2) are the actual remediation. This row exists to flag that a UI-layer test/proof is ALSO required: even after GAP-01/GAP-02 close, someone must prove the renderer correctly shows 'Withheld' vs '0' for at least one deliberately-broken case.",Renderer/verification layer -- no code exists yet to test against,"Not primarily a Codex fix -- flag to the UI implementation team that a specific test case (e.g. deliberately querying evidence_gap_v1 before GAP-01 closes) must be used to prove the renderer shows 'Withheld,' not '0'. Codex's role is limited to ensuring availability_state is correctly set to not_loaded/withheld (never silently defaulted) on every object it builds or fixes above.",None from Codex directly,"Render the UI against a known-broken table (e.g. evidence_gap_v1 pre-fix) and confirm it shows 'Withheld', not '0' or a blank count",A screenshot/proof of the renderer correctly distinguishing withheld from zero for at least one real broken-pipeline case,N/A -- this row IS itself a render-gate proof requirement for every other row in this document,This row's job is to define what 'safe unavailable state' means for every other row -- see PARTIAL_DATA_AND_EMPTY_STATE_CONTRACT.md's non-negotiable conversions,"At least one deliberately-broken-data test case is rendered and confirmed to show the correct availability_state-driven message, not a 0 or blank"
Cross-cutting; Brief,Uncertified-gap-view notice; Condition strip (secondary dependency),A flag distinguishing 'this rollup has not passed its own publication checks' from 'this rollup is certified and clean' -- the safety valve SD-05's failure mode needs and currently lacks,Extension to domain_summary_v1 / evidence_gap_v1 rollup,"certification_state: enum(certified, not_certified)",One certification flag per rollup per baseline,consumption.domain_summary_v1 (extend),Not applicable,Not applicable,Not applicable,No certification_state field distinct from authority_state exists anywhere in the registry or field contract,Not applicable,"Directly related to GAP-01/SD-05 -- this field is the mechanism that would have let evidence_gap_v1's 0-row state render as 'not certified, withheld' instead of silently passing as '0 open gaps.' Its absence is what makes SD-05's misleading signal possible in the first place.",Field contract / canonical model,"Add certification_state to domain_summary_v1 (and any rollup that could otherwise present an unverified 0 as a clean result); set it explicitly based on whether the rollup's publication checks actually passed, not merely whether the query returned a result",Additive field extension; backfill based on actual publication-check history where available,"For evidence_gap_v1 specifically: verify certification_state=not_certified is set correctly for the pre-GAP-01-fix period, and certification_state=certified only after independent re-verification",certification_state populated and correctly distinguishing the pre-fix (not_certified) from post-fix (certified) state for evidence_gap_v1,certification_state field ratified and populated before any gap-count rollup renders a bare number,'Withheld -- gap view not certified' exactly as the prototype already models for this condition,"certification_state field exists on domain_summary_v1, is populated, and correctly shows not_certified for evidence_gap_v1 until GAP-01's independent re-verification passes"
Cross-cutting,Stale-baseline notice,A human-readable summary of what changed between two knowledge baselines,New: a baseline-diff/changelog object comparing two knowledge_baseline_ref values,"from_baseline_ref, to_baseline_ref, new_fact_count, new_contradiction_count, changed_domains[]",One diff per baseline transition per tenant,New projection needed,Not applicable,publication.active_knowledge_baseline (pointer only) -> proposed diff object,Not applicable,"Baseline pointer-swap mechanics are real and well-specified in LAST_KNOWN_GOOD_AND_ROLLBACK_CONTRACT.md (rollback is a pointer change, not a destructive rewrite)","No derived, human-readable changelog between two baseline versions exists","Structural/feature gap -- the underlying versioning is sound, but nothing computes or stores a diff summary",Projection layer -- no diff computation exists,Build a baseline-diff computation comparing two consecutive knowledge_baseline_ref publications and producing new_fact_count/new_contradiction_count/changed_domains -- low priority relative to rows 1-3 above,"New computation, run at each baseline transition going forward; historical diffs may not be reconstructable if prior baseline snapshots were not retained in full",Compute a diff between two known baseline versions and manually verify the new_fact_count matches an independent count of newly-accepted facts,One real baseline-transition diff computed and independently spot-checked,A baseline-diff computation exists and resolves between the currently-read baseline and the latest published one,Suppress the notice entirely -- never show a fabricated 'X new facts' count -- until a real diff mechanism exists,A baseline-diff projection exists and at least one real transition's diff is computed and spot-verified against an independent count
Cross-cutting,Restricted evidence access,"A recorded workflow for requesting access to board-only/restricted evidence: who asked, why, what was released",New: an access-request tracking object,"access_request_id, requester, reason, requested_object_ref, routed_to_owner, status, resolved_at",One row per access request,"New operational/governance table -- likely governance schema, not consumption",Not applicable,Not applicable,Not applicable,"Classification-based gating (pii/phi/restricted -> SENSITIVE_CLASSIFICATIONS) IS genuinely implemented today in src/lib/governance/context-corpus-policy.ts -- this is one of the few components in this whole handoff where the underlying enforcement mechanism already exists in real, shipped code",The gating logic exists; the request-and-approval workflow it would feed into does not,"The UI's 'request access' flow (routing, approval recording) is not modeled anywhere -- a workflow gap layered on top of correctly-implemented access control, not an access-control gap itself",Application/workflow layer -- the governance-policy enforcement layer is not broken,Build a lightweight access-request tracking table and routing mechanism (e.g. to a 'strategy office' role per the prototype's own copy); this can be built independently of the other data-plane fixes since it does not depend on any of the broken pipelines above,New table only,Submit a test access request and verify it records requester/reason/routing correctly and that the underlying restricted content remains withheld until approved,One real (test) access request recorded end to end,Access-request object exists before the 'Request access' button does anything beyond a client-side toast,"Show 'This evidence is classified board-only' plus owner, exactly as the prototype already models, never a silent 404","An access-request tracking table exists and a test request is recorded, routed, and resolved correctly"
aVa,aVa free-text question input with NL routing to a grounded answer,"A real intent-classification-to-grounded-answer pipeline, replacing the prototype's keyword-match stub",No new canonical object -- an application/agent-layer capability built on existing consumption.search_document_v1 and consumption.module_knowledge_packet_v1,Not applicable,Not applicable,"consumption.search_document_v1 (already registered, populated) provides the retrieval foundation",Not applicable,Question text -> intent classification -> search_document_v1 retrieval -> module_knowledge_packet_v1 assembly -> buildValidatedAgentContextBundle -> Claude,Every claim in the resulting answer must resolve back to a source_basis in the assembled packet,The prototype's own onAvaKey handler is a literal keyword-match stub (checks for substrings like erp/retire/cost/risk/access/program/gate) -- explicitly not a design to build against,Not applicable,"No real NL routing/retrieval/citation-verification pipeline exists anywhere in the reviewed packages; this is genuinely new application-layer work, only partly a data-plane concern","Application/agent layer -- not a broken pipeline stage, a not-yet-built capability","Build intent classification scoped by active lens/mode; wire retrieval against search_document_v1; restrict packet assembly to what retrieval surfaced (never the full knowledge base unfiltered); pass through buildValidatedAgentContextBundle/evaluateGovernedObject (already real, shipped code); add a citation-verification step before rendering. Sequence AFTER GAP-03 (module_knowledge_packet_v1 population) closes.","New capability build, not a reprocessing task","For a sample set of test questions, verify each routed answer's claims resolve back to real source_basis refs in the assembled packet, and that an unclassifiable/low-confidence question routes to refusal rather than a best-guess canned answer","A working NL routing pipeline demonstrated against a representative question set, with citation verification passing for every answer produced","A submitted question that cannot be classified with reasonable confidence, or whose retrieval returns no packet-eligible facts, routes to the refusal pattern -- never to a best-guess canned answer",Route to the same refusal pattern as the aVa answer-card row (row 3) when grounding is insufficient,"A real intent-classification-to-grounded-answer pipeline exists, is proven against a representative test question set, and every produced answer's claims independently verify against the assembled packet's cited facts"
Module handoffs,Receiving-module confirmation,"Tower's own outcome-tracking must re-read Knowledge, not snapshot it once, and must never calculate spend/value/ROI/risk itself per AGENTS.md's Tower invariant",No new canonical object -- a Cube semantic-model implementation gap,Not applicable,Not applicable,"TowerOutcomes, SourceEvent, KnowledgeCoverage Cube domains",All measures under these three domains -- none exist in the shipped model,Not applicable,Not applicable,CUBE_SEMANTIC_MODEL_CONTRACT.md's 'Initial domains' list names 10 domains including these three; the shipped knowledge_consumption_model.yml implements only 7 (folding two others into ProgramRiskControl),"TowerOutcomes, SourceEvent, KnowledgeCoverage do not exist in the shipped YAML at all",Design/implementation drift independent of any airline-demo-new-specific data issue -- the contract document promises more than the shipped Cube model delivers,Cube semantic-model implementation layer,"Implement the three missing Cube domains per CUBE_SEMANTIC_MODEL_CONTRACT.md's original specification, or formally amend that contract document to remove them if they are no longer planned -- do not leave the contract document overstating what is shipped",New Cube YAML models; depends on module_knowledge_packet_v1 (row 3) being populated for TowerOutcomes/SourceEvent specifically to have anything meaningful to measure,Once implemented: verify at least one measure under each new domain resolves against real tenant data,"Cube YAML amended with the three domains, at least one measure per domain proven against real data",These Cube domains implemented AND module_knowledge_packet_v1 populated before the Module Handoffs receiving-module confirmation can claim a real re-read relationship rather than a one-time copy,"Do not show a receiving-module confirmation as complete until the receiving object is proven to re-read, not just once-copy, the source packet","TowerOutcomes, SourceEvent, and KnowledgeCoverage Cube domains are implemented in knowledge_consumption_model.yml, or CUBE_SEMANTIC_MODEL_CONTRACT.md is formally amended to remove them"
Brief,Module switcher (Knowledge/Intelligence/Moves/Source/Tower nav bar),"airline-demo-new must be a registered, resolvable tenant before any product surface can serve it",src/config/tenants/CANONICAL_TENANTS.ts entry,Standard tenant registration fields matching the existing 10 registered tenants' shape,One tenant registration row,Not applicable,Not applicable,Not applicable,Not applicable,"CANONICAL_TENANTS.ts confirmed to have 10 registered tenants; airline-demo-new is absent on every branch checked, including the most complete data-plane worktree",Correctly and deliberately absent -- matches the freeze manifest's own disallowed_actions_until_baseline_publication rule (wire_home_intelligence_source_moves_or_tower_to_new_tenant_baseline),"SD-15: this is explicitly a POSITIVE finding, not a defect to fix yet. Listed here only so this handoff is complete against every non-SUPPORTED_AND_RECONCILED matrix row, and to make explicit that registration must be the LAST step, after every other row in this document closes for the components being wired.",Not applicable,"Do NOT register airline-demo-new in CANONICAL_TENANTS.ts until rows 1-5 above (GAP-01, GAP-02, GAP-03, GAP-04a, GAP-04b) close, per the lineage audit's own explicit recommendation (Sec 13: 'do not wire until SD-04, SD-05, SD-06, SD-07, SD-10 are resolved')","None -- this is a registration action, gated behind everything else",Confirm rows 1-5's acceptance criteria all pass before this registration is performed,"A release record explicitly stating which of rows 1-5's acceptance criteria have closed, before registration",This IS the top-level render gate for the entire tenant -- nothing else in this document matters if this gate is jumped prematurely,Continue to correctly resolve as 'tenant not found' until deliberately registered,"airline-demo-new is registered in CANONICAL_TENANTS.ts ONLY after rows 1, 2, 3, 4, and 5's acceptance criteria (GAP-01, GAP-02, GAP-03, GAP-04a, GAP-04b) are independently confirmed closed"
Explore; Saved views and export,Save view / Export actions; Shareable saved-view link,Persist filter/column/sort state as a shareable view; export rows with snapshot and evidence state carried,"None (operational UI state, not canonical knowledge)","view_id, owner_user_id, tenant_key, inventory_type, filter_state, column_state, sort_state, share_scope, created_at",One row per saved view per user (or per business-problem if shared),An application-layer saved_view table -- must NOT be added to CONSUMPTION_PROJECTION_REGISTRY.json,Not applicable,View references knowledge_baseline_ref so exports carry snapshot lineage,Not applicable,Hardcoded client-side only in the prototype,Not applicable,"No data-plane defect -- an unresolved open product decision (personal-by-default vs shared-at-business-problem-level, named explicitly in the prototype's own design notes) blocks schema design more than any data issue does",Not applicable,"None -- application-layer/operational UI table, not canonical knowledge; no data-plane work required; the product decision on default sharing scope must be resolved by the product owner before an application engineer builds this table",Not applicable,Not applicable,Not applicable,Save/Export buttons may render once the operational table exists; do not depend on any tenant data being reconciled first,"Disable Export until the underlying inventory table itself has real data, so an export never silently carries an empty or gap-laden dataset without saying so","Sharing-scope product decision is resolved and documented, then the saved_view table is built as an application-layer table, never added to the governed registry"
aVa,aVa suggested questions,"Curated, per-lens question templates that give the user a running start",None (operational UI content),"question_id, question_text, lens_tags[], target_answer_mode",One row per curated question per lens,An application-layer ava_suggested_question table -- must NOT be added to CONSUMPTION_PROJECTION_REGISTRY.json,Not applicable,Not applicable,Not applicable,Hardcoded in prototype JS (SUGGEST array),Not applicable,"No data-plane defect for the template table itself, BUT each suggestion must gate against whether its target answer would actually pass the aVa answer-card render gate (row 3) -- suggesting a question that then fails to ground is worse than not suggesting it",Not applicable,"None -- application-layer/operational UI table, not canonical knowledge; no data-plane work required for the template table; Codex's only role is ensuring row 3's (module_knowledge_packet_v1) readiness is queryable so the suggestion layer can check it before offering a question",Not applicable,Not applicable,Not applicable,"Suggested question must resolve to a real, gate-passing answer before being offered, not just be topically relevant",Suppress a suggestion whose underlying packet/evidence would fail to gate,"ava_suggested_question table built as application-layer, and each suggestion is confirmed to check row 3's packet readiness before rendering"
aVa,aVa docking controls,Let the user reposition the aVa panel without losing context,None (pure UI chrome; optional persisted preference),"dock_position, locked (bool), user_id, tenant_key (only if persisted across sessions)",One preference row per user if persisted,An optional application-layer ava_dock_preference table -- must NOT be added to CONSUMPTION_PROJECTION_REGISTRY.json,Not applicable,Not applicable,Not applicable,Ephemeral React state in the prototype,Not applicable,No defect at all -- ephemeral in-session docking needs no backend and could ship independently of every other row in this document,Not applicable,"None -- application-layer/operational UI table, not canonical knowledge; no data-plane work required",Not applicable,Not applicable,Not applicable,None -- may ship immediately as ephemeral client state,Not applicable,"N/A unless persistence across sessions is explicitly requested, in which case a minimal preference table suffices"
Relationships,Preset question picker,Jump straight to a pre-scoped graph answering a named question,"None directly, but each preset's focal_node_ref must resolve in relationship_node_v1","preset_id, question_text, focal_node_type, focal_node_ref, default_hops",One preset per named question per lens,An application-layer relationship_preset_query table -- must NOT be added to CONSUMPTION_PROJECTION_REGISTRY.json,Not applicable,Preset -> relationship_node_v1 (focal entity),Not applicable,Hardcoded in prototype JS (PRESETS array),Not applicable,"No defect in the template table itself; each preset's focal node must resolve correctly, which depends on rows 10/21/22 (graph field extensions and SD-08/SD-14 data quality) above",Not applicable,"None -- application-layer/operational UI table, not canonical knowledge; no data-plane work required for the template table; Codex's role is limited to ensuring each preset's focal_node_ref resolves per rows 10/21/22 above",Not applicable,Not applicable,Not applicable,Focal node resolves in relationship_node_v1,"Hide a preset whose focal node does not resolve, rather than opening an empty graph","relationship_preset_query table built as application-layer, each preset's focal node confirmed to resolve"
Brief,'Design notes' tab,The prototype's own meta-commentary about its design intent,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Static content in the prototype,Not applicable,Not a defect -- this mode is explicitly the prototype's own authoring notes and should not ship as a fifth product mode at all,Not applicable,None -- do not implement; this package (KNOWLEDGE_*.md/csv/json under reports/airline-knowledge-ui-binding-2026-07-29/) supersedes its content as internal documentation,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,This tab does not ship in production
Cross-cutting,Models-disabled zero-model baseline banner,"Prove that with every model provider disabled, exactly one capability (aVa's reasoning) is lost and nothing else",None (application-layer flag),"model_provider_status, deterministic_fallback_ref per answer type",Not applicable,An application-layer model-availability flag plus a fallback-routing table,Not applicable,Not applicable,Not applicable,Hardcoded demo-condition toggle in the prototype,Not applicable,"A strong design principle worth keeping, but it presumes every other component in Explore/Relationships/Evidence&Gaps is already fully deterministic and model-free -- true of the design intent, not yet proven against real, reconciled data for this tenant given rows 1-27 above are still open",Not applicable,"None directly from Codex; this banner's truth depends on every other row in this document actually closing first, since the claim it makes ('everything else still works') is only as true as the deterministic surfaces underneath it",Not applicable,Not applicable,Not applicable,Do not ship this banner's specific claim until the deterministic surfaces it references are proven reconciled,Not applicable,"Banner's claim is re-validated against the actual state of every other row in this document before shipping, not assumed true because the design intended it"
Evidence & gaps,Completion workbench,Unknown -- presumably a guided flow to close a specific evidence gap,"Unknown -- not established, do not infer",Unknown,Unknown,Unknown,Not applicable,Unknown,Unknown,"Left-nav label only in the prototype, no defined content",Not applicable,Cannot be specified -- the prototype itself only names this as a left-nav label ('Completion workbench') with no defined fields or behavior anywhere in xdc-script.js,Not applicable,"None yet -- blocked on UX design, not a data-plane defect. Flag back to the design/product owner before any data requirement can be written.",Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,UX design for this component is produced before any data-layer requirement can be specified
