application_id,application_name,family,business_function,application_type,hosting_model,technology_stack,environment,criticality,service_tower,vendor_id,contract_id,rto_rpo,evidence_gap,roadmap_disposition
APP-AIRDN-0244,Maintenance engineering MRO supply chain 029,Maintenance engineering MRO supply chain,Procurement,acquired-carrier inherited system,owned data center,Oracle/SQL Server,production,critical,Airline Operations AMS,VEND-AIRDN-245,CONT-AIRDN-0245,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0245,Maintenance engineering MRO supply chain 030,Maintenance engineering MRO supply chain,Corporate Finance,end-of-life application,private cloud,AIX/UNIX middleware,pre-production,critical,Airline Operations AMS,VEND-AIRDN-246,CONT-AIRDN-0246,RTO 0-4 hrs / RPO under 1 hr,interface evidence needed,modernize
APP-AIRDN-0246,Maintenance engineering MRO supply chain 031,Maintenance engineering MRO supply chain,Technical Operations,shadow IT,SaaS,SAP S/4HANA,production,critical,Airline Operations AMS,VEND-AIRDN-247,CONT-AIRDN-0247,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0247,Maintenance engineering MRO supply chain 032,Maintenance engineering MRO supply chain,Maintenance,custom Java/.NET,legacy UNIX/AIX,legacy SAP ECC,production,critical,Airline Operations AMS,VEND-AIRDN-248,CONT-AIRDN-0248,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0248,Maintenance engineering MRO supply chain 033,Maintenance engineering MRO supply chain,Supply Chain,mainframe workload,owned data center,Oracle/SQL Server,production,critical,Airline Operations AMS,VEND-AIRDN-249,CONT-AIRDN-0249,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0249,Maintenance engineering MRO supply chain 034,Maintenance engineering MRO supply chain,Procurement,SAP module,private cloud,SAP S/4HANA,production,critical,Airline Operations AMS,VEND-AIRDN-250,CONT-AIRDN-0250,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0250,Maintenance engineering MRO supply chain 035,Maintenance engineering MRO supply chain,Corporate Finance,SaaS product,SaaS,legacy SAP ECC,DR,critical,Airline Operations AMS,VEND-AIRDN-251,CONT-AIRDN-0251,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0251,Maintenance engineering MRO supply chain 036,Maintenance engineering MRO supply chain,Technical Operations,operationally critical airline product,legacy UNIX/AIX,Oracle/SQL Server,production,critical,Airline Operations AMS,VEND-AIRDN-252,CONT-AIRDN-0252,RTO/RPO to confirm,interface evidence needed,current
APP-AIRDN-0252,Maintenance engineering MRO supply chain 037,Maintenance engineering MRO supply chain,Maintenance,low-use high-risk legacy,owned data center,AIX/UNIX middleware,production,critical,Airline Operations AMS,VEND-AIRDN-253,CONT-AIRDN-0253,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0253,Maintenance engineering MRO supply chain 038,Maintenance engineering MRO supply chain,Supply Chain,strategic platform,private cloud,SAP S/4HANA,production,critical,Airline Operations AMS,VEND-AIRDN-254,CONT-AIRDN-0254,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0254,Maintenance engineering MRO supply chain 039,Maintenance engineering MRO supply chain,Procurement,regional duplicate,SaaS,legacy SAP ECC,production,high,Airline Operations AMS,VEND-AIRDN-255,CONT-AIRDN-0255,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,sunset candidate
APP-AIRDN-0255,Maintenance engineering MRO supply chain 040,Maintenance engineering MRO supply chain,Corporate Finance,acquired-carrier inherited system,legacy UNIX/AIX,Oracle/SQL Server,pre-production,critical,Airline Operations AMS,VEND-AIRDN-256,CONT-AIRDN-0256,RTO 4-12 hrs / RPO same day,owner attestation needed,modernize
APP-AIRDN-0256,Maintenance engineering MRO supply chain 041,Maintenance engineering MRO supply chain,Technical Operations,end-of-life application,owned data center,AIX/UNIX middleware,production,critical,Airline Operations AMS,VEND-AIRDN-257,CONT-AIRDN-0257,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0257,Maintenance engineering MRO supply chain 042,Maintenance engineering MRO supply chain,Maintenance,shadow IT,private cloud,SAP S/4HANA,DR,critical,Airline Operations AMS,VEND-AIRDN-258,CONT-AIRDN-0258,RTO 0-4 hrs / RPO under 1 hr,interface evidence needed,current
APP-AIRDN-0258,Maintenance engineering MRO supply chain 043,Maintenance engineering MRO supply chain,Supply Chain,custom Java/.NET,SaaS,legacy SAP ECC,production,critical,Airline Operations AMS,VEND-AIRDN-259,CONT-AIRDN-0259,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0259,Maintenance engineering MRO supply chain 044,Maintenance engineering MRO supply chain,Procurement,mainframe workload,legacy UNIX/AIX,Oracle/SQL Server,production,critical,Airline Operations AMS,VEND-AIRDN-260,CONT-AIRDN-0260,RTO 4-12 hrs / RPO same day,source-backed candidate,current
APP-AIRDN-0260,Maintenance engineering MRO supply chain 045,Maintenance engineering MRO supply chain,Corporate Finance,SAP module,owned data center,AIX/UNIX middleware,pre-production,critical,Airline Operations AMS,VEND-AIRDN-261,CONT-AIRDN-0261,RTO/RPO to confirm,source-backed candidate,modernize
APP-AIRDN-0261,Maintenance engineering MRO supply chain 046,Maintenance engineering MRO supply chain,Technical Operations,SaaS product,private cloud,SAP S/4HANA,production,critical,Airline Operations AMS,VEND-AIRDN-262,CONT-AIRDN-0262,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0262,Maintenance engineering MRO supply chain 047,Maintenance engineering MRO supply chain,Maintenance,operationally critical airline product,SaaS,legacy SAP ECC,production,critical,Airline Operations AMS,VEND-AIRDN-263,CONT-AIRDN-0263,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0263,Maintenance engineering MRO supply chain 048,Maintenance engineering MRO supply chain,Supply Chain,low-use high-risk legacy,legacy UNIX/AIX,Oracle/SQL Server,production,critical,Airline Operations AMS,VEND-AIRDN-264,CONT-AIRDN-0264,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0264,Maintenance engineering MRO supply chain 049,Maintenance engineering MRO supply chain,Procurement,strategic platform,owned data center,AIX/UNIX middleware,DR,critical,Airline Operations AMS,VEND-AIRDN-265,CONT-AIRDN-0265,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0265,Maintenance engineering MRO supply chain 050,Maintenance engineering MRO supply chain,Corporate Finance,regional duplicate,private cloud,SAP S/4HANA,pre-production,critical,Airline Operations AMS,VEND-AIRDN-266,CONT-AIRDN-0266,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0266,Maintenance engineering MRO supply chain 051,Maintenance engineering MRO supply chain,Technical Operations,acquired-carrier inherited system,SaaS,Oracle/SQL Server,production,critical,Airline Operations AMS,VEND-AIRDN-267,CONT-AIRDN-0267,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0267,Maintenance engineering MRO supply chain 052,Maintenance engineering MRO supply chain,Maintenance,end-of-life application,legacy UNIX/AIX,AIX/UNIX middleware,production,high,Airline Operations AMS,VEND-AIRDN-268,CONT-AIRDN-0268,RTO 4-12 hrs / RPO same day,source-backed candidate,sunset candidate
APP-AIRDN-0268,Maintenance engineering MRO supply chain 053,Maintenance engineering MRO supply chain,Supply Chain,shadow IT,owned data center,SAP S/4HANA,production,critical,Airline Operations AMS,VEND-AIRDN-269,CONT-AIRDN-0269,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0269,Maintenance engineering MRO supply chain 054,Maintenance engineering MRO supply chain,Procurement,custom Java/.NET,private cloud,legacy SAP ECC,production,critical,Airline Operations AMS,VEND-AIRDN-270,CONT-AIRDN-0270,RTO/RPO to confirm,interface evidence needed,current
APP-AIRDN-0270,Maintenance engineering MRO supply chain 055,Maintenance engineering MRO supply chain,Corporate Finance,mainframe workload,SaaS,Oracle/SQL Server,pre-production,critical,Airline Operations AMS,VEND-AIRDN-271,CONT-AIRDN-0271,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0271,Maintenance engineering MRO supply chain 056,Maintenance engineering MRO supply chain,Technical Operations,SAP module,legacy UNIX/AIX,AIX/UNIX middleware,DR,critical,Airline Operations AMS,VEND-AIRDN-272,CONT-AIRDN-0272,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0272,Maintenance engineering MRO supply chain 057,Maintenance engineering MRO supply chain,Maintenance,SaaS product,owned data center,SAP S/4HANA,production,critical,Airline Operations AMS,VEND-AIRDN-273,CONT-AIRDN-0273,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0273,Maintenance engineering MRO supply chain 058,Maintenance engineering MRO supply chain,Supply Chain,operationally critical airline product,private cloud,legacy SAP ECC,production,critical,Airline Operations AMS,VEND-AIRDN-274,CONT-AIRDN-0274,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0274,Maintenance engineering MRO supply chain 059,Maintenance engineering MRO supply chain,Procurement,low-use high-risk legacy,SaaS,Oracle/SQL Server,production,critical,Airline Operations AMS,VEND-AIRDN-275,CONT-AIRDN-0275,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0275,Maintenance engineering MRO supply chain 060,Maintenance engineering MRO supply chain,Corporate Finance,strategic platform,legacy UNIX/AIX,AIX/UNIX middleware,pre-production,critical,Airline Operations AMS,VEND-AIRDN-276,CONT-AIRDN-0276,RTO 4-12 hrs / RPO same day,interface evidence needed,modernize
APP-AIRDN-0276,Maintenance engineering MRO supply chain 061,Maintenance engineering MRO supply chain,Technical Operations,regional duplicate,owned data center,SAP S/4HANA,production,critical,Airline Operations AMS,VEND-AIRDN-277,CONT-AIRDN-0277,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0277,Maintenance engineering MRO supply chain 062,Maintenance engineering MRO supply chain,Maintenance,acquired-carrier inherited system,private cloud,legacy SAP ECC,production,critical,Airline Operations AMS,VEND-AIRDN-278,CONT-AIRDN-0278,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0278,Maintenance engineering MRO supply chain 063,Maintenance engineering MRO supply chain,Supply Chain,end-of-life application,SaaS,Oracle/SQL Server,DR,critical,Airline Operations AMS,VEND-AIRDN-279,CONT-AIRDN-0279,RTO/RPO to confirm,source-backed candidate,current
APP-AIRDN-0279,Maintenance engineering MRO supply chain 064,Maintenance engineering MRO supply chain,Procurement,shadow IT,legacy UNIX/AIX,AIX/UNIX middleware,production,critical,Airline Operations AMS,VEND-AIRDN-280,CONT-AIRDN-0280,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0280,Maintenance engineering MRO supply chain 065,Maintenance engineering MRO supply chain,Corporate Finance,custom Java/.NET,owned data center,SAP S/4HANA,pre-production,high,Airline Operations AMS,VEND-AIRDN-281,CONT-AIRDN-0281,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0281,Maintenance engineering MRO supply chain 066,Maintenance engineering MRO supply chain,Technical Operations,mainframe workload,private cloud,legacy SAP ECC,production,critical,Airline Operations AMS,VEND-AIRDN-282,CONT-AIRDN-0282,RTO 0-4 hrs / RPO under 1 hr,interface evidence needed,current
APP-AIRDN-0282,Maintenance engineering MRO supply chain 067,Maintenance engineering MRO supply chain,Maintenance,SAP module,SaaS,Oracle/SQL Server,production,critical,Airline Operations AMS,VEND-AIRDN-283,CONT-AIRDN-0283,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0283,Maintenance engineering MRO supply chain 068,Maintenance engineering MRO supply chain,Supply Chain,SaaS product,legacy UNIX/AIX,SAP S/4HANA,production,critical,Airline Operations AMS,VEND-AIRDN-284,CONT-AIRDN-0284,RTO 4-12 hrs / RPO same day,source-backed candidate,current
APP-AIRDN-0284,Maintenance engineering MRO supply chain 069,Maintenance engineering MRO supply chain,Procurement,operationally critical airline product,owned data center,legacy SAP ECC,production,critical,Airline Operations AMS,VEND-AIRDN-285,CONT-AIRDN-0285,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0285,Maintenance engineering MRO supply chain 070,Maintenance engineering MRO supply chain,Corporate Finance,low-use high-risk legacy,private cloud,Oracle/SQL Server,DR,critical,Airline Operations AMS,VEND-AIRDN-286,CONT-AIRDN-0286,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0286,Maintenance engineering MRO supply chain 071,Maintenance engineering MRO supply chain,Technical Operations,strategic platform,SaaS,AIX/UNIX middleware,production,critical,Airline Operations AMS,VEND-AIRDN-287,CONT-AIRDN-0287,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0287,Maintenance engineering MRO supply chain 072,Maintenance engineering MRO supply chain,Maintenance,regional duplicate,legacy UNIX/AIX,SAP S/4HANA,production,critical,Airline Operations AMS,VEND-AIRDN-288,CONT-AIRDN-0288,RTO/RPO to confirm,owner attestation needed,retain with controls
APP-AIRDN-0288,Maintenance engineering MRO supply chain 073,Maintenance engineering MRO supply chain,Supply Chain,acquired-carrier inherited system,owned data center,legacy SAP ECC,production,critical,Airline Operations AMS,VEND-AIRDN-289,CONT-AIRDN-0289,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0289,Maintenance engineering MRO supply chain 074,Maintenance engineering MRO supply chain,Procurement,end-of-life application,private cloud,Oracle/SQL Server,production,critical,Airline Operations AMS,VEND-AIRDN-290,CONT-AIRDN-0290,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0290,Maintenance engineering MRO supply chain 075,Maintenance engineering MRO supply chain,Corporate Finance,shadow IT,SaaS,AIX/UNIX middleware,pre-production,critical,Airline Operations AMS,VEND-AIRDN-291,CONT-AIRDN-0291,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0291,Maintenance engineering MRO supply chain 076,Maintenance engineering MRO supply chain,Technical Operations,custom Java/.NET,legacy UNIX/AIX,SAP S/4HANA,production,critical,Airline Operations AMS,VEND-AIRDN-292,CONT-AIRDN-0292,RTO 4-12 hrs / RPO same day,source-backed candidate,current
APP-AIRDN-0292,Maintenance engineering MRO supply chain 077,Maintenance engineering MRO supply chain,Maintenance,mainframe workload,owned data center,legacy SAP ECC,DR,critical,Airline Operations AMS,VEND-AIRDN-293,CONT-AIRDN-0293,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0293,Maintenance engineering MRO supply chain 078,Maintenance engineering MRO supply chain,Supply Chain,SAP module,private cloud,Oracle/SQL Server,production,high,Airline Operations AMS,VEND-AIRDN-294,CONT-AIRDN-0294,RTO 0-4 hrs / RPO under 1 hr,interface evidence needed,sunset candidate
APP-AIRDN-0294,Maintenance engineering MRO supply chain 079,Maintenance engineering MRO supply chain,Procurement,SaaS product,SaaS,AIX/UNIX middleware,production,critical,Airline Operations AMS,VEND-AIRDN-295,CONT-AIRDN-0295,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0295,Maintenance engineering MRO supply chain 080,Maintenance engineering MRO supply chain,Corporate Finance,operationally critical airline product,legacy UNIX/AIX,SAP S/4HANA,pre-production,critical,Airline Operations AMS,VEND-AIRDN-296,CONT-AIRDN-0296,RTO 4-12 hrs / RPO same day,owner attestation needed,modernize
APP-AIRDN-0296,Maintenance engineering MRO supply chain 081,Maintenance engineering MRO supply chain,Technical Operations,low-use high-risk legacy,owned data center,legacy SAP ECC,production,critical,Airline Operations AMS,VEND-AIRDN-297,CONT-AIRDN-0297,RTO/RPO to confirm,source-backed candidate,current
APP-AIRDN-0297,Maintenance engineering MRO supply chain 082,Maintenance engineering MRO supply chain,Maintenance,strategic platform,private cloud,Oracle/SQL Server,production,critical,Airline Operations AMS,VEND-AIRDN-298,CONT-AIRDN-0298,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0298,Maintenance engineering MRO supply chain 083,Maintenance engineering MRO supply chain,Supply Chain,regional duplicate,SaaS,AIX/UNIX middleware,production,critical,Airline Operations AMS,VEND-AIRDN-299,CONT-AIRDN-0299,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0299,Maintenance engineering MRO supply chain 084,Maintenance engineering MRO supply chain,Procurement,acquired-carrier inherited system,legacy UNIX/AIX,SAP S/4HANA,DR,critical,Airline Operations AMS,VEND-AIRDN-300,CONT-AIRDN-0300,RTO 4-12 hrs / RPO same day,interface evidence needed,current
APP-AIRDN-0300,Maintenance engineering MRO supply chain 085,Maintenance engineering MRO supply chain,Corporate Finance,end-of-life application,owned data center,Oracle/SQL Server,pre-production,critical,Airline Operations AMS,VEND-AIRDN-301,CONT-AIRDN-0301,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0301,Maintenance engineering MRO supply chain 086,Maintenance engineering MRO supply chain,Technical Operations,shadow IT,private cloud,AIX/UNIX middleware,production,critical,Airline Operations AMS,VEND-AIRDN-302,CONT-AIRDN-0302,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0302,Maintenance engineering MRO supply chain 087,Maintenance engineering MRO supply chain,Maintenance,custom Java/.NET,SaaS,SAP S/4HANA,production,critical,Airline Operations AMS,VEND-AIRDN-303,CONT-AIRDN-0303,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0303,Maintenance engineering MRO supply chain 088,Maintenance engineering MRO supply chain,Supply Chain,mainframe workload,legacy UNIX/AIX,legacy SAP ECC,production,critical,Airline Operations AMS,VEND-AIRDN-304,CONT-AIRDN-0304,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0304,Maintenance engineering MRO supply chain 089,Maintenance engineering MRO supply chain,Procurement,SAP module,owned data center,Oracle/SQL Server,production,critical,Airline Operations AMS,VEND-AIRDN-305,CONT-AIRDN-0305,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0305,Maintenance engineering MRO supply chain 090,Maintenance engineering MRO supply chain,Corporate Finance,SaaS product,private cloud,AIX/UNIX middleware,pre-production,critical,Airline Operations AMS,VEND-AIRDN-306,CONT-AIRDN-0306,RTO/RPO to confirm,interface evidence needed,modernize
APP-AIRDN-0306,Maintenance engineering MRO supply chain 091,Maintenance engineering MRO supply chain,Technical Operations,operationally critical airline product,SaaS,SAP S/4HANA,DR,high,Airline Operations AMS,VEND-AIRDN-307,CONT-AIRDN-0307,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,sunset candidate
APP-AIRDN-0307,Maintenance engineering MRO supply chain 092,Maintenance engineering MRO supply chain,Maintenance,low-use high-risk legacy,legacy UNIX/AIX,legacy SAP ECC,production,critical,Airline Operations AMS,VEND-AIRDN-308,CONT-AIRDN-0308,RTO 4-12 hrs / RPO same day,source-backed candidate,current
APP-AIRDN-0308,Maintenance engineering MRO supply chain 093,Maintenance engineering MRO supply chain,Supply Chain,strategic platform,owned data center,Oracle/SQL Server,production,critical,Airline Operations AMS,VEND-AIRDN-309,CONT-AIRDN-0309,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0309,Maintenance engineering MRO supply chain 094,Maintenance engineering MRO supply chain,Procurement,regional duplicate,private cloud,AIX/UNIX middleware,production,critical,Airline Operations AMS,VEND-AIRDN-310,CONT-AIRDN-0310,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0310,Maintenance engineering MRO supply chain 095,Maintenance engineering MRO supply chain,Corporate Finance,acquired-carrier inherited system,SaaS,SAP S/4HANA,pre-production,critical,Airline Operations AMS,VEND-AIRDN-311,CONT-AIRDN-0311,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0311,Maintenance engineering MRO supply chain 096,Maintenance engineering MRO supply chain,Technical Operations,end-of-life application,legacy UNIX/AIX,legacy SAP ECC,production,critical,Airline Operations AMS,VEND-AIRDN-312,CONT-AIRDN-0312,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0312,Maintenance engineering MRO supply chain 097,Maintenance engineering MRO supply chain,Maintenance,shadow IT,owned data center,Oracle/SQL Server,production,critical,Airline Operations AMS,VEND-AIRDN-313,CONT-AIRDN-0313,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0313,Maintenance engineering MRO supply chain 098,Maintenance engineering MRO supply chain,Supply Chain,custom Java/.NET,private cloud,AIX/UNIX middleware,DR,critical,Airline Operations AMS,VEND-AIRDN-314,CONT-AIRDN-0314,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0314,Maintenance engineering MRO supply chain 099,Maintenance engineering MRO supply chain,Procurement,mainframe workload,SaaS,SAP S/4HANA,production,critical,Airline Operations AMS,VEND-AIRDN-315,CONT-AIRDN-0315,RTO/RPO to confirm,source-backed candidate,current
APP-AIRDN-0315,Maintenance engineering MRO supply chain 100,Maintenance engineering MRO supply chain,Corporate Finance,SAP module,legacy UNIX/AIX,legacy SAP ECC,pre-production,critical,Airline Operations AMS,VEND-AIRDN-316,CONT-AIRDN-0316,RTO 4-12 hrs / RPO same day,source-backed candidate,modernize
APP-AIRDN-0316,Maintenance engineering MRO supply chain 101,Maintenance engineering MRO supply chain,Technical Operations,SaaS product,owned data center,Oracle/SQL Server,production,critical,Airline Operations AMS,VEND-AIRDN-317,CONT-AIRDN-0317,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0317,Maintenance engineering MRO supply chain 102,Maintenance engineering MRO supply chain,Maintenance,operationally critical airline product,private cloud,SAP S/4HANA,production,critical,Airline Operations AMS,VEND-AIRDN-318,CONT-AIRDN-0318,RTO 0-4 hrs / RPO under 1 hr,interface evidence needed,current
APP-AIRDN-0318,Maintenance engineering MRO supply chain 103,Maintenance engineering MRO supply chain,Supply Chain,low-use high-risk legacy,SaaS,legacy SAP ECC,production,critical,Airline Operations AMS,VEND-AIRDN-319,CONT-AIRDN-0319,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0319,Maintenance engineering MRO supply chain 104,Maintenance engineering MRO supply chain,Procurement,strategic platform,legacy UNIX/AIX,Oracle/SQL Server,production,high,Airline Operations AMS,VEND-AIRDN-320,CONT-AIRDN-0320,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0320,Maintenance engineering MRO supply chain 105,Maintenance engineering MRO supply chain,Corporate Finance,regional duplicate,owned data center,AIX/UNIX middleware,DR,critical,Airline Operations AMS,VEND-AIRDN-321,CONT-AIRDN-0321,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0321,Maintenance engineering MRO supply chain 106,Maintenance engineering MRO supply chain,Technical Operations,acquired-carrier inherited system,private cloud,SAP S/4HANA,production,critical,Airline Operations AMS,VEND-AIRDN-322,CONT-AIRDN-0322,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0322,Maintenance engineering MRO supply chain 107,Maintenance engineering MRO supply chain,Maintenance,end-of-life application,SaaS,legacy SAP ECC,production,critical,Airline Operations AMS,VEND-AIRDN-323,CONT-AIRDN-0323,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0323,Maintenance engineering MRO supply chain 108,Maintenance engineering MRO supply chain,Supply Chain,shadow IT,legacy UNIX/AIX,Oracle/SQL Server,production,critical,Airline Operations AMS,VEND-AIRDN-324,CONT-AIRDN-0324,RTO/RPO to confirm,interface evidence needed,current
APP-AIRDN-0324,Maintenance engineering MRO supply chain 109,Maintenance engineering MRO supply chain,Procurement,custom Java/.NET,owned data center,AIX/UNIX middleware,production,critical,Airline Operations AMS,VEND-AIRDN-325,CONT-AIRDN-0325,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0325,Maintenance engineering MRO supply chain 110,Maintenance engineering MRO supply chain,Corporate Finance,mainframe workload,private cloud,SAP S/4HANA,pre-production,critical,Airline Operations AMS,VEND-AIRDN-326,CONT-AIRDN-0326,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0326,Maintenance engineering MRO supply chain 111,Maintenance engineering MRO supply chain,Technical Operations,SAP module,SaaS,legacy SAP ECC,production,critical,Airline Operations AMS,VEND-AIRDN-327,CONT-AIRDN-0327,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0327,Maintenance engineering MRO supply chain 112,Maintenance engineering MRO supply chain,Maintenance,SaaS product,legacy UNIX/AIX,Oracle/SQL Server,DR,critical,Airline Operations AMS,VEND-AIRDN-328,CONT-AIRDN-0328,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0328,Maintenance engineering MRO supply chain 113,Maintenance engineering MRO supply chain,Supply Chain,operationally critical airline product,owned data center,AIX/UNIX middleware,production,critical,Airline Operations AMS,VEND-AIRDN-329,CONT-AIRDN-0329,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0329,Maintenance engineering MRO supply chain 114,Maintenance engineering MRO supply chain,Procurement,low-use high-risk legacy,private cloud,SAP S/4HANA,production,critical,Airline Operations AMS,VEND-AIRDN-330,CONT-AIRDN-0330,RTO 0-4 hrs / RPO under 1 hr,interface evidence needed,current
APP-AIRDN-0330,Maintenance engineering MRO supply chain 115,Maintenance engineering MRO supply chain,Corporate Finance,strategic platform,SaaS,legacy SAP ECC,pre-production,critical,Airline Operations AMS,VEND-AIRDN-331,CONT-AIRDN-0331,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0331,Maintenance engineering MRO supply chain 116,Maintenance engineering MRO supply chain,Technical Operations,regional duplicate,legacy UNIX/AIX,Oracle/SQL Server,production,critical,Airline Operations AMS,VEND-AIRDN-332,CONT-AIRDN-0332,RTO 4-12 hrs / RPO same day,source-backed candidate,current
APP-AIRDN-0332,Maintenance engineering MRO supply chain 117,Maintenance engineering MRO supply chain,Maintenance,acquired-carrier inherited system,owned data center,AIX/UNIX middleware,production,high,Airline Operations AMS,VEND-AIRDN-333,CONT-AIRDN-0333,RTO/RPO to confirm,source-backed candidate,sunset candidate
APP-AIRDN-0333,Maintenance engineering MRO supply chain 118,Maintenance engineering MRO supply chain,Supply Chain,end-of-life application,private cloud,SAP S/4HANA,production,critical,Airline Operations AMS,VEND-AIRDN-334,CONT-AIRDN-0334,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0334,Maintenance engineering MRO supply chain 119,Maintenance engineering MRO supply chain,Procurement,shadow IT,SaaS,Oracle/SQL Server,DR,critical,Airline Operations AMS,VEND-AIRDN-335,CONT-AIRDN-0335,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0335,Maintenance engineering MRO supply chain 120,Maintenance engineering MRO supply chain,Corporate Finance,custom Java/.NET,legacy UNIX/AIX,AIX/UNIX middleware,pre-production,critical,Airline Operations AMS,VEND-AIRDN-336,CONT-AIRDN-0336,RTO 4-12 hrs / RPO same day,owner attestation needed,modernize
APP-AIRDN-0336,Maintenance engineering MRO supply chain 121,Maintenance engineering MRO supply chain,Technical Operations,mainframe workload,owned data center,SAP S/4HANA,production,critical,Airline Operations AMS,VEND-AIRDN-337,CONT-AIRDN-0337,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
