workforce_id,worker_type,business_function,service_tower,skill_family,delivery_location,transition_note
WORK-AIRDN-01239,employee,Procurement,Airline Operations AMS,data,hybrid,standard
WORK-AIRDN-01240,contractor,Technology,Corporate and SAP AMS,procurement,onsite,critical knowledge holder
WORK-AIRDN-01241,managed-service role,Data and AI,Digital Customer and Loyalty AMS,finance,nearshore,standard
WORK-AIRDN-01242,employee,Cybersecurity,Data Analytics and Integration,architecture,offshore,standard
WORK-AIRDN-01243,contractor,Workplace,Cloud Infrastructure and Mainframe,operations,hybrid,transition sensitive
WORK-AIRDN-01244,managed-service role,Service Management,Workplace Service Desk and Field Support,engineering,onsite,standard
WORK-AIRDN-01245,employee,Flight Operations,SIAM Observability and Service Governance,support,nearshore,standard
WORK-AIRDN-01246,contractor,Operations Control,Airline Operations AMS,service management,offshore,standard
WORK-AIRDN-01247,managed-service role,Crew Operations,Corporate and SAP AMS,security,hybrid,standard
WORK-AIRDN-01248,employee,Technical Operations,Digital Customer and Loyalty AMS,data,onsite,critical knowledge holder
WORK-AIRDN-01249,contractor,Airport Operations,Data Analytics and Integration,procurement,nearshore,standard
WORK-AIRDN-01250,managed-service role,Passenger Service,Cloud Infrastructure and Mainframe,finance,offshore,standard
WORK-AIRDN-01251,employee,Commercial,Workplace Service Desk and Field Support,architecture,hybrid,standard
WORK-AIRDN-01252,contractor,Cargo,SIAM Observability and Service Governance,operations,onsite,standard
WORK-AIRDN-01253,managed-service role,Corporate Finance,Airline Operations AMS,engineering,nearshore,standard
WORK-AIRDN-01254,employee,Procurement,Corporate and SAP AMS,support,offshore,transition sensitive
WORK-AIRDN-01255,contractor,Technology,Digital Customer and Loyalty AMS,service management,hybrid,standard
WORK-AIRDN-01256,managed-service role,Data and AI,Data Analytics and Integration,security,onsite,critical knowledge holder
WORK-AIRDN-01257,employee,Cybersecurity,Cloud Infrastructure and Mainframe,data,nearshore,standard
WORK-AIRDN-01258,contractor,Workplace,Workplace Service Desk and Field Support,procurement,offshore,standard
WORK-AIRDN-01259,managed-service role,Service Management,SIAM Observability and Service Governance,finance,hybrid,standard
WORK-AIRDN-01260,employee,Flight Operations,Airline Operations AMS,architecture,onsite,standard
WORK-AIRDN-01261,contractor,Operations Control,Corporate and SAP AMS,operations,nearshore,standard
WORK-AIRDN-01262,managed-service role,Crew Operations,Digital Customer and Loyalty AMS,engineering,offshore,standard
WORK-AIRDN-01263,employee,Technical Operations,Data Analytics and Integration,support,hybrid,standard
WORK-AIRDN-01264,contractor,Airport Operations,Cloud Infrastructure and Mainframe,service management,onsite,critical knowledge holder
WORK-AIRDN-01265,managed-service role,Passenger Service,Workplace Service Desk and Field Support,security,nearshore,transition sensitive
WORK-AIRDN-01266,employee,Commercial,SIAM Observability and Service Governance,data,offshore,standard
WORK-AIRDN-01267,contractor,Cargo,Airline Operations AMS,procurement,hybrid,standard
WORK-AIRDN-01268,managed-service role,Corporate Finance,Corporate and SAP AMS,finance,onsite,standard
WORK-AIRDN-01269,employee,Procurement,Digital Customer and Loyalty AMS,architecture,nearshore,standard
WORK-AIRDN-01270,contractor,Technology,Data Analytics and Integration,operations,offshore,standard
WORK-AIRDN-01271,managed-service role,Data and AI,Cloud Infrastructure and Mainframe,engineering,hybrid,standard
WORK-AIRDN-01272,employee,Cybersecurity,Workplace Service Desk and Field Support,support,onsite,critical knowledge holder
WORK-AIRDN-01273,contractor,Workplace,SIAM Observability and Service Governance,service management,nearshore,standard
WORK-AIRDN-01274,managed-service role,Service Management,Airline Operations AMS,security,offshore,standard
WORK-AIRDN-01275,employee,Flight Operations,Corporate and SAP AMS,data,hybrid,standard
WORK-AIRDN-01276,contractor,Operations Control,Digital Customer and Loyalty AMS,procurement,onsite,transition sensitive
WORK-AIRDN-01277,managed-service role,Crew Operations,Data Analytics and Integration,finance,nearshore,standard
WORK-AIRDN-01278,employee,Technical Operations,Cloud Infrastructure and Mainframe,architecture,offshore,standard
WORK-AIRDN-01279,contractor,Airport Operations,Workplace Service Desk and Field Support,operations,hybrid,standard
WORK-AIRDN-01280,managed-service role,Passenger Service,SIAM Observability and Service Governance,engineering,onsite,critical knowledge holder
WORK-AIRDN-01281,employee,Commercial,Airline Operations AMS,support,nearshore,standard
WORK-AIRDN-01282,contractor,Cargo,Corporate and SAP AMS,service management,offshore,standard
WORK-AIRDN-01283,managed-service role,Corporate Finance,Digital Customer and Loyalty AMS,security,hybrid,standard
WORK-AIRDN-01284,employee,Procurement,Data Analytics and Integration,data,onsite,standard
WORK-AIRDN-01285,contractor,Technology,Cloud Infrastructure and Mainframe,procurement,nearshore,standard
WORK-AIRDN-01286,managed-service role,Data and AI,Workplace Service Desk and Field Support,finance,offshore,standard
WORK-AIRDN-01287,employee,Cybersecurity,SIAM Observability and Service Governance,architecture,hybrid,transition sensitive
WORK-AIRDN-01288,contractor,Workplace,Airline Operations AMS,operations,onsite,critical knowledge holder
WORK-AIRDN-01289,managed-service role,Service Management,Corporate and SAP AMS,engineering,nearshore,standard
WORK-AIRDN-01290,employee,Flight Operations,Digital Customer and Loyalty AMS,support,offshore,standard
WORK-AIRDN-01291,contractor,Operations Control,Data Analytics and Integration,service management,hybrid,standard
WORK-AIRDN-01292,managed-service role,Crew Operations,Cloud Infrastructure and Mainframe,security,onsite,standard
WORK-AIRDN-01293,employee,Technical Operations,Workplace Service Desk and Field Support,data,nearshore,standard
WORK-AIRDN-01294,contractor,Airport Operations,SIAM Observability and Service Governance,procurement,offshore,standard
WORK-AIRDN-01295,managed-service role,Passenger Service,Airline Operations AMS,finance,hybrid,standard
WORK-AIRDN-01296,employee,Commercial,Corporate and SAP AMS,architecture,onsite,critical knowledge holder
WORK-AIRDN-01297,contractor,Cargo,Digital Customer and Loyalty AMS,operations,nearshore,standard
WORK-AIRDN-01298,managed-service role,Corporate Finance,Data Analytics and Integration,engineering,offshore,transition sensitive
WORK-AIRDN-01299,employee,Procurement,Cloud Infrastructure and Mainframe,support,hybrid,standard
WORK-AIRDN-01300,contractor,Technology,Workplace Service Desk and Field Support,service management,onsite,standard
WORK-AIRDN-01301,managed-service role,Data and AI,SIAM Observability and Service Governance,security,nearshore,standard
WORK-AIRDN-01302,employee,Cybersecurity,Airline Operations AMS,data,offshore,standard
WORK-AIRDN-01303,contractor,Workplace,Corporate and SAP AMS,procurement,hybrid,standard
WORK-AIRDN-01304,managed-service role,Service Management,Digital Customer and Loyalty AMS,finance,onsite,critical knowledge holder
WORK-AIRDN-01305,employee,Flight Operations,Data Analytics and Integration,architecture,nearshore,standard
WORK-AIRDN-01306,contractor,Operations Control,Cloud Infrastructure and Mainframe,operations,offshore,standard
WORK-AIRDN-01307,managed-service role,Crew Operations,Workplace Service Desk and Field Support,engineering,hybrid,standard
WORK-AIRDN-01308,employee,Technical Operations,SIAM Observability and Service Governance,support,onsite,standard
WORK-AIRDN-01309,contractor,Airport Operations,Airline Operations AMS,service management,nearshore,transition sensitive
WORK-AIRDN-01310,managed-service role,Passenger Service,Corporate and SAP AMS,security,offshore,standard
WORK-AIRDN-01311,employee,Commercial,Digital Customer and Loyalty AMS,data,hybrid,standard
WORK-AIRDN-01312,contractor,Cargo,Data Analytics and Integration,procurement,onsite,critical knowledge holder
WORK-AIRDN-01313,managed-service role,Corporate Finance,Cloud Infrastructure and Mainframe,finance,nearshore,standard
WORK-AIRDN-01314,employee,Procurement,Workplace Service Desk and Field Support,architecture,offshore,standard
WORK-AIRDN-01315,contractor,Technology,SIAM Observability and Service Governance,operations,hybrid,standard
WORK-AIRDN-01316,managed-service role,Data and AI,Airline Operations AMS,engineering,onsite,standard
WORK-AIRDN-01317,employee,Cybersecurity,Corporate and SAP AMS,support,nearshore,standard
WORK-AIRDN-01318,contractor,Workplace,Digital Customer and Loyalty AMS,service management,offshore,standard
WORK-AIRDN-01319,managed-service role,Service Management,Data Analytics and Integration,security,hybrid,standard
WORK-AIRDN-01320,employee,Flight Operations,Cloud Infrastructure and Mainframe,data,onsite,critical knowledge holder
WORK-AIRDN-01321,contractor,Operations Control,Workplace Service Desk and Field Support,procurement,nearshore,standard
WORK-AIRDN-01322,managed-service role,Crew Operations,SIAM Observability and Service Governance,finance,offshore,standard
WORK-AIRDN-01323,employee,Technical Operations,Airline Operations AMS,architecture,hybrid,standard
WORK-AIRDN-01324,contractor,Airport Operations,Corporate and SAP AMS,operations,onsite,standard
WORK-AIRDN-01325,managed-service role,Passenger Service,Digital Customer and Loyalty AMS,engineering,nearshore,standard
WORK-AIRDN-01326,employee,Commercial,Data Analytics and Integration,support,offshore,standard
WORK-AIRDN-01327,contractor,Cargo,Cloud Infrastructure and Mainframe,service management,hybrid,standard
WORK-AIRDN-01328,managed-service role,Corporate Finance,Workplace Service Desk and Field Support,security,onsite,critical knowledge holder
WORK-AIRDN-01329,employee,Procurement,SIAM Observability and Service Governance,data,nearshore,standard
WORK-AIRDN-01330,contractor,Technology,Airline Operations AMS,procurement,offshore,standard
WORK-AIRDN-01331,managed-service role,Data and AI,Corporate and SAP AMS,finance,hybrid,transition sensitive
WORK-AIRDN-01332,employee,Cybersecurity,Digital Customer and Loyalty AMS,architecture,onsite,standard
WORK-AIRDN-01333,contractor,Workplace,Data Analytics and Integration,operations,nearshore,standard
WORK-AIRDN-01334,managed-service role,Service Management,Cloud Infrastructure and Mainframe,engineering,offshore,standard
WORK-AIRDN-01335,employee,Flight Operations,Workplace Service Desk and Field Support,support,hybrid,standard
WORK-AIRDN-01336,contractor,Operations Control,SIAM Observability and Service Governance,service management,onsite,critical knowledge holder
WORK-AIRDN-01337,managed-service role,Crew Operations,Airline Operations AMS,security,nearshore,standard
WORK-AIRDN-01338,employee,Technical Operations,Corporate and SAP AMS,data,offshore,standard
WORK-AIRDN-01339,contractor,Airport Operations,Digital Customer and Loyalty AMS,procurement,hybrid,standard
WORK-AIRDN-01340,managed-service role,Passenger Service,Data Analytics and Integration,finance,onsite,standard
WORK-AIRDN-01341,employee,Commercial,Cloud Infrastructure and Mainframe,architecture,nearshore,standard
WORK-AIRDN-01342,contractor,Cargo,Workplace Service Desk and Field Support,operations,offshore,transition sensitive
WORK-AIRDN-01343,managed-service role,Corporate Finance,SIAM Observability and Service Governance,engineering,hybrid,standard
WORK-AIRDN-01344,employee,Procurement,Airline Operations AMS,support,onsite,critical knowledge holder
WORK-AIRDN-01345,contractor,Technology,Corporate and SAP AMS,service management,nearshore,standard
WORK-AIRDN-01346,managed-service role,Data and AI,Digital Customer and Loyalty AMS,security,offshore,standard
WORK-AIRDN-01347,employee,Cybersecurity,Data Analytics and Integration,data,hybrid,standard
WORK-AIRDN-01348,contractor,Workplace,Cloud Infrastructure and Mainframe,procurement,onsite,standard
WORK-AIRDN-01349,managed-service role,Service Management,Workplace Service Desk and Field Support,finance,nearshore,standard
WORK-AIRDN-01350,employee,Flight Operations,SIAM Observability and Service Governance,architecture,offshore,standard
WORK-AIRDN-01351,contractor,Operations Control,Airline Operations AMS,operations,hybrid,standard
WORK-AIRDN-01352,managed-service role,Crew Operations,Corporate and SAP AMS,engineering,onsite,critical knowledge holder
WORK-AIRDN-01353,employee,Technical Operations,Digital Customer and Loyalty AMS,support,nearshore,transition sensitive
WORK-AIRDN-01354,contractor,Airport Operations,Data Analytics and Integration,service management,offshore,standard
WORK-AIRDN-01355,managed-service role,Passenger Service,Cloud Infrastructure and Mainframe,security,hybrid,standard
WORK-AIRDN-01356,employee,Commercial,Workplace Service Desk and Field Support,data,onsite,standard
WORK-AIRDN-01357,contractor,Cargo,SIAM Observability and Service Governance,procurement,nearshore,standard
WORK-AIRDN-01358,managed-service role,Corporate Finance,Airline Operations AMS,finance,offshore,standard
WORK-AIRDN-01359,employee,Procurement,Corporate and SAP AMS,architecture,hybrid,standard
WORK-AIRDN-01360,contractor,Technology,Digital Customer and Loyalty AMS,operations,onsite,critical knowledge holder
WORK-AIRDN-01361,managed-service role,Data and AI,Data Analytics and Integration,engineering,nearshore,standard
WORK-AIRDN-01362,employee,Cybersecurity,Cloud Infrastructure and Mainframe,support,offshore,standard
WORK-AIRDN-01363,contractor,Workplace,Workplace Service Desk and Field Support,service management,hybrid,standard
WORK-AIRDN-01364,managed-service role,Service Management,SIAM Observability and Service Governance,security,onsite,transition sensitive
WORK-AIRDN-01365,employee,Flight Operations,Airline Operations AMS,data,nearshore,standard
WORK-AIRDN-01366,contractor,Operations Control,Corporate and SAP AMS,procurement,offshore,standard
WORK-AIRDN-01367,managed-service role,Crew Operations,Digital Customer and Loyalty AMS,finance,hybrid,standard
WORK-AIRDN-01368,employee,Technical Operations,Data Analytics and Integration,architecture,onsite,critical knowledge holder
WORK-AIRDN-01369,contractor,Airport Operations,Cloud Infrastructure and Mainframe,operations,nearshore,standard
WORK-AIRDN-01370,managed-service role,Passenger Service,Workplace Service Desk and Field Support,engineering,offshore,standard
WORK-AIRDN-01371,employee,Commercial,SIAM Observability and Service Governance,support,hybrid,standard
WORK-AIRDN-01372,contractor,Cargo,Airline Operations AMS,service management,onsite,standard
WORK-AIRDN-01373,managed-service role,Corporate Finance,Corporate and SAP AMS,security,nearshore,standard
WORK-AIRDN-01374,employee,Procurement,Digital Customer and Loyalty AMS,data,offshore,standard
WORK-AIRDN-01375,contractor,Technology,Data Analytics and Integration,procurement,hybrid,transition sensitive
WORK-AIRDN-01376,managed-service role,Data and AI,Cloud Infrastructure and Mainframe,finance,onsite,critical knowledge holder
WORK-AIRDN-01377,employee,Cybersecurity,Workplace Service Desk and Field Support,architecture,nearshore,standard
WORK-AIRDN-01378,contractor,Workplace,SIAM Observability and Service Governance,operations,offshore,standard
WORK-AIRDN-01379,managed-service role,Service Management,Airline Operations AMS,engineering,hybrid,standard
WORK-AIRDN-01380,employee,Flight Operations,Corporate and SAP AMS,support,onsite,standard
WORK-AIRDN-01381,contractor,Operations Control,Digital Customer and Loyalty AMS,service management,nearshore,standard
WORK-AIRDN-01382,managed-service role,Crew Operations,Data Analytics and Integration,security,offshore,standard
WORK-AIRDN-01383,employee,Technical Operations,Cloud Infrastructure and Mainframe,data,hybrid,standard
WORK-AIRDN-01384,contractor,Airport Operations,Workplace Service Desk and Field Support,procurement,onsite,critical knowledge holder
WORK-AIRDN-01385,managed-service role,Passenger Service,SIAM Observability and Service Governance,finance,nearshore,standard
WORK-AIRDN-01386,employee,Commercial,Airline Operations AMS,architecture,offshore,transition sensitive
WORK-AIRDN-01387,contractor,Cargo,Corporate and SAP AMS,operations,hybrid,standard
WORK-AIRDN-01388,managed-service role,Corporate Finance,Digital Customer and Loyalty AMS,engineering,onsite,standard
WORK-AIRDN-01389,employee,Procurement,Data Analytics and Integration,support,nearshore,standard
WORK-AIRDN-01390,contractor,Technology,Cloud Infrastructure and Mainframe,service management,offshore,standard
WORK-AIRDN-01391,managed-service role,Data and AI,Workplace Service Desk and Field Support,security,hybrid,standard
WORK-AIRDN-01392,employee,Cybersecurity,SIAM Observability and Service Governance,data,onsite,critical knowledge holder
WORK-AIRDN-01393,contractor,Workplace,Airline Operations AMS,procurement,nearshore,standard
WORK-AIRDN-01394,managed-service role,Service Management,Corporate and SAP AMS,finance,offshore,standard
WORK-AIRDN-01395,employee,Flight Operations,Digital Customer and Loyalty AMS,architecture,hybrid,standard
WORK-AIRDN-01396,contractor,Operations Control,Data Analytics and Integration,operations,onsite,standard
WORK-AIRDN-01397,managed-service role,Crew Operations,Cloud Infrastructure and Mainframe,engineering,nearshore,transition sensitive
WORK-AIRDN-01398,employee,Technical Operations,Workplace Service Desk and Field Support,support,offshore,standard
WORK-AIRDN-01399,contractor,Airport Operations,SIAM Observability and Service Governance,service management,hybrid,standard
WORK-AIRDN-01400,managed-service role,Passenger Service,Airline Operations AMS,security,onsite,critical knowledge holder
WORK-AIRDN-01401,employee,Commercial,Corporate and SAP AMS,data,nearshore,standard
WORK-AIRDN-01402,contractor,Cargo,Digital Customer and Loyalty AMS,procurement,offshore,standard
WORK-AIRDN-01403,managed-service role,Corporate Finance,Data Analytics and Integration,finance,hybrid,standard
WORK-AIRDN-01404,employee,Procurement,Cloud Infrastructure and Mainframe,architecture,onsite,standard
WORK-AIRDN-01405,contractor,Technology,Workplace Service Desk and Field Support,operations,nearshore,standard
WORK-AIRDN-01406,managed-service role,Data and AI,SIAM Observability and Service Governance,engineering,offshore,standard
WORK-AIRDN-01407,employee,Cybersecurity,Airline Operations AMS,support,hybrid,standard
WORK-AIRDN-01408,contractor,Workplace,Corporate and SAP AMS,service management,onsite,critical knowledge holder
WORK-AIRDN-01409,managed-service role,Service Management,Digital Customer and Loyalty AMS,security,nearshore,standard
WORK-AIRDN-01410,employee,Flight Operations,Data Analytics and Integration,data,offshore,standard
WORK-AIRDN-01411,contractor,Operations Control,Cloud Infrastructure and Mainframe,procurement,hybrid,standard
WORK-AIRDN-01412,managed-service role,Crew Operations,Workplace Service Desk and Field Support,finance,onsite,standard
WORK-AIRDN-01413,employee,Technical Operations,SIAM Observability and Service Governance,architecture,nearshore,standard
WORK-AIRDN-01414,contractor,Airport Operations,Airline Operations AMS,operations,offshore,standard
WORK-AIRDN-01415,managed-service role,Passenger Service,Corporate and SAP AMS,engineering,hybrid,standard
WORK-AIRDN-01416,employee,Commercial,Digital Customer and Loyalty AMS,support,onsite,critical knowledge holder
WORK-AIRDN-01417,contractor,Cargo,Data Analytics and Integration,service management,nearshore,standard
WORK-AIRDN-01418,managed-service role,Corporate Finance,Cloud Infrastructure and Mainframe,security,offshore,standard
WORK-AIRDN-01419,employee,Procurement,Workplace Service Desk and Field Support,data,hybrid,transition sensitive
WORK-AIRDN-01420,contractor,Technology,SIAM Observability and Service Governance,procurement,onsite,standard
WORK-AIRDN-01421,managed-service role,Data and AI,Airline Operations AMS,finance,nearshore,standard
WORK-AIRDN-01422,employee,Cybersecurity,Corporate and SAP AMS,architecture,offshore,standard
WORK-AIRDN-01423,contractor,Workplace,Digital Customer and Loyalty AMS,operations,hybrid,standard
WORK-AIRDN-01424,managed-service role,Service Management,Data Analytics and Integration,engineering,onsite,critical knowledge holder
WORK-AIRDN-01425,employee,Flight Operations,Cloud Infrastructure and Mainframe,support,nearshore,standard
WORK-AIRDN-01426,contractor,Operations Control,Workplace Service Desk and Field Support,service management,offshore,standard
WORK-AIRDN-01427,managed-service role,Crew Operations,SIAM Observability and Service Governance,security,hybrid,standard
WORK-AIRDN-01428,employee,Technical Operations,Airline Operations AMS,data,onsite,standard
WORK-AIRDN-01429,contractor,Airport Operations,Corporate and SAP AMS,procurement,nearshore,standard
WORK-AIRDN-01430,managed-service role,Passenger Service,Digital Customer and Loyalty AMS,finance,offshore,transition sensitive
WORK-AIRDN-01431,employee,Commercial,Data Analytics and Integration,architecture,hybrid,standard
WORK-AIRDN-01432,contractor,Cargo,Cloud Infrastructure and Mainframe,operations,onsite,critical knowledge holder
WORK-AIRDN-01433,managed-service role,Corporate Finance,Workplace Service Desk and Field Support,engineering,nearshore,standard
WORK-AIRDN-01434,employee,Procurement,SIAM Observability and Service Governance,support,offshore,standard
WORK-AIRDN-01435,contractor,Technology,Airline Operations AMS,service management,hybrid,standard
WORK-AIRDN-01436,managed-service role,Data and AI,Corporate and SAP AMS,security,onsite,standard
WORK-AIRDN-01437,employee,Cybersecurity,Digital Customer and Loyalty AMS,data,nearshore,standard
WORK-AIRDN-01438,contractor,Workplace,Data Analytics and Integration,procurement,offshore,standard
WORK-AIRDN-01439,managed-service role,Service Management,Cloud Infrastructure and Mainframe,finance,hybrid,standard
WORK-AIRDN-01440,employee,Flight Operations,Workplace Service Desk and Field Support,architecture,onsite,critical knowledge holder
WORK-AIRDN-01441,contractor,Operations Control,SIAM Observability and Service Governance,operations,nearshore,transition sensitive
WORK-AIRDN-01442,managed-service role,Crew Operations,Airline Operations AMS,engineering,offshore,standard
WORK-AIRDN-01443,employee,Technical Operations,Corporate and SAP AMS,support,hybrid,standard
WORK-AIRDN-01444,contractor,Airport Operations,Digital Customer and Loyalty AMS,service management,onsite,standard
WORK-AIRDN-01445,managed-service role,Passenger Service,Data Analytics and Integration,security,nearshore,standard
WORK-AIRDN-01446,employee,Commercial,Cloud Infrastructure and Mainframe,data,offshore,standard
WORK-AIRDN-01447,contractor,Cargo,Workplace Service Desk and Field Support,procurement,hybrid,standard
WORK-AIRDN-01448,managed-service role,Corporate Finance,SIAM Observability and Service Governance,finance,onsite,critical knowledge holder
WORK-AIRDN-01449,employee,Procurement,Airline Operations AMS,architecture,nearshore,standard
WORK-AIRDN-01450,contractor,Technology,Corporate and SAP AMS,operations,offshore,standard
WORK-AIRDN-01451,managed-service role,Data and AI,Digital Customer and Loyalty AMS,engineering,hybrid,standard
WORK-AIRDN-01452,employee,Cybersecurity,Data Analytics and Integration,support,onsite,transition sensitive
WORK-AIRDN-01453,contractor,Workplace,Cloud Infrastructure and Mainframe,service management,nearshore,standard
WORK-AIRDN-01454,managed-service role,Service Management,Workplace Service Desk and Field Support,security,offshore,standard
WORK-AIRDN-01455,employee,Flight Operations,SIAM Observability and Service Governance,data,hybrid,standard
WORK-AIRDN-01456,contractor,Operations Control,Airline Operations AMS,procurement,onsite,critical knowledge holder
WORK-AIRDN-01457,managed-service role,Crew Operations,Corporate and SAP AMS,finance,nearshore,standard
WORK-AIRDN-01458,employee,Technical Operations,Digital Customer and Loyalty AMS,architecture,offshore,standard
WORK-AIRDN-01459,contractor,Airport Operations,Data Analytics and Integration,operations,hybrid,standard
WORK-AIRDN-01460,managed-service role,Passenger Service,Cloud Infrastructure and Mainframe,engineering,onsite,standard
WORK-AIRDN-01461,employee,Commercial,Workplace Service Desk and Field Support,support,nearshore,standard
WORK-AIRDN-01462,contractor,Cargo,SIAM Observability and Service Governance,service management,offshore,standard
WORK-AIRDN-01463,managed-service role,Corporate Finance,Airline Operations AMS,security,hybrid,transition sensitive
WORK-AIRDN-01464,employee,Procurement,Corporate and SAP AMS,data,onsite,critical knowledge holder
WORK-AIRDN-01465,contractor,Technology,Digital Customer and Loyalty AMS,procurement,nearshore,standard
WORK-AIRDN-01466,managed-service role,Data and AI,Data Analytics and Integration,finance,offshore,standard
WORK-AIRDN-01467,employee,Cybersecurity,Cloud Infrastructure and Mainframe,architecture,hybrid,standard
WORK-AIRDN-01468,contractor,Workplace,Workplace Service Desk and Field Support,operations,onsite,standard
WORK-AIRDN-01469,managed-service role,Service Management,SIAM Observability and Service Governance,engineering,nearshore,standard
WORK-AIRDN-01470,employee,Flight Operations,Airline Operations AMS,support,offshore,standard
WORK-AIRDN-01471,contractor,Operations Control,Corporate and SAP AMS,service management,hybrid,standard
WORK-AIRDN-01472,managed-service role,Crew Operations,Digital Customer and Loyalty AMS,security,onsite,critical knowledge holder
WORK-AIRDN-01473,employee,Technical Operations,Data Analytics and Integration,data,nearshore,standard
WORK-AIRDN-01474,contractor,Airport Operations,Cloud Infrastructure and Mainframe,procurement,offshore,transition sensitive
WORK-AIRDN-01475,managed-service role,Passenger Service,Workplace Service Desk and Field Support,finance,hybrid,standard
WORK-AIRDN-01476,employee,Commercial,SIAM Observability and Service Governance,architecture,onsite,standard
WORK-AIRDN-01477,contractor,Cargo,Airline Operations AMS,operations,nearshore,standard
WORK-AIRDN-01478,managed-service role,Corporate Finance,Corporate and SAP AMS,engineering,offshore,standard
WORK-AIRDN-01479,employee,Procurement,Digital Customer and Loyalty AMS,support,hybrid,standard
WORK-AIRDN-01480,contractor,Technology,Data Analytics and Integration,service management,onsite,critical knowledge holder
WORK-AIRDN-01481,managed-service role,Data and AI,Cloud Infrastructure and Mainframe,security,nearshore,standard
WORK-AIRDN-01482,employee,Cybersecurity,Workplace Service Desk and Field Support,data,offshore,standard
WORK-AIRDN-01483,contractor,Workplace,SIAM Observability and Service Governance,procurement,hybrid,standard
WORK-AIRDN-01484,managed-service role,Service Management,Airline Operations AMS,finance,onsite,standard
WORK-AIRDN-01485,employee,Flight Operations,Corporate and SAP AMS,architecture,nearshore,transition sensitive
WORK-AIRDN-01486,contractor,Operations Control,Digital Customer and Loyalty AMS,operations,offshore,standard
WORK-AIRDN-01487,managed-service role,Crew Operations,Data Analytics and Integration,engineering,hybrid,standard
WORK-AIRDN-01488,employee,Technical Operations,Cloud Infrastructure and Mainframe,support,onsite,critical knowledge holder
WORK-AIRDN-01489,contractor,Airport Operations,Workplace Service Desk and Field Support,service management,nearshore,standard
WORK-AIRDN-01490,managed-service role,Passenger Service,SIAM Observability and Service Governance,security,offshore,standard
WORK-AIRDN-01491,employee,Commercial,Airline Operations AMS,data,hybrid,standard
WORK-AIRDN-01492,contractor,Cargo,Corporate and SAP AMS,procurement,onsite,standard
WORK-AIRDN-01493,managed-service role,Corporate Finance,Digital Customer and Loyalty AMS,finance,nearshore,standard
WORK-AIRDN-01494,employee,Procurement,Data Analytics and Integration,architecture,offshore,standard
WORK-AIRDN-01495,contractor,Technology,Cloud Infrastructure and Mainframe,operations,hybrid,standard
WORK-AIRDN-01496,managed-service role,Data and AI,Workplace Service Desk and Field Support,engineering,onsite,critical knowledge holder
WORK-AIRDN-01497,employee,Cybersecurity,SIAM Observability and Service Governance,support,nearshore,standard
WORK-AIRDN-01498,contractor,Workplace,Airline Operations AMS,service management,offshore,standard
WORK-AIRDN-01499,managed-service role,Service Management,Corporate and SAP AMS,security,hybrid,standard
WORK-AIRDN-01500,employee,Flight Operations,Digital Customer and Loyalty AMS,data,onsite,standard
WORK-AIRDN-01501,contractor,Operations Control,Data Analytics and Integration,procurement,nearshore,standard
WORK-AIRDN-01502,managed-service role,Crew Operations,Cloud Infrastructure and Mainframe,finance,offshore,standard
WORK-AIRDN-01503,employee,Technical Operations,Workplace Service Desk and Field Support,architecture,hybrid,standard
WORK-AIRDN-01504,contractor,Airport Operations,SIAM Observability and Service Governance,operations,onsite,critical knowledge holder
WORK-AIRDN-01505,managed-service role,Passenger Service,Airline Operations AMS,engineering,nearshore,standard
WORK-AIRDN-01506,employee,Commercial,Corporate and SAP AMS,support,offshore,standard
WORK-AIRDN-01507,contractor,Cargo,Digital Customer and Loyalty AMS,service management,hybrid,transition sensitive
WORK-AIRDN-01508,managed-service role,Corporate Finance,Data Analytics and Integration,security,onsite,standard
WORK-AIRDN-01509,employee,Procurement,Cloud Infrastructure and Mainframe,data,nearshore,standard
WORK-AIRDN-01510,contractor,Technology,Workplace Service Desk and Field Support,procurement,offshore,standard
WORK-AIRDN-01511,managed-service role,Data and AI,SIAM Observability and Service Governance,finance,hybrid,standard
WORK-AIRDN-01512,employee,Cybersecurity,Airline Operations AMS,architecture,onsite,critical knowledge holder
WORK-AIRDN-01513,contractor,Workplace,Corporate and SAP AMS,operations,nearshore,standard
WORK-AIRDN-01514,managed-service role,Service Management,Digital Customer and Loyalty AMS,engineering,offshore,standard
WORK-AIRDN-01515,employee,Flight Operations,Data Analytics and Integration,support,hybrid,standard
WORK-AIRDN-01516,contractor,Operations Control,Cloud Infrastructure and Mainframe,service management,onsite,standard
WORK-AIRDN-01517,managed-service role,Crew Operations,Workplace Service Desk and Field Support,security,nearshore,standard
WORK-AIRDN-01518,employee,Technical Operations,SIAM Observability and Service Governance,data,offshore,transition sensitive
WORK-AIRDN-01519,contractor,Airport Operations,Airline Operations AMS,procurement,hybrid,standard
WORK-AIRDN-01520,managed-service role,Passenger Service,Corporate and SAP AMS,finance,onsite,critical knowledge holder
WORK-AIRDN-01521,employee,Commercial,Digital Customer and Loyalty AMS,architecture,nearshore,standard
WORK-AIRDN-01522,contractor,Cargo,Data Analytics and Integration,operations,offshore,standard
WORK-AIRDN-01523,managed-service role,Corporate Finance,Cloud Infrastructure and Mainframe,engineering,hybrid,standard
WORK-AIRDN-01524,employee,Procurement,Workplace Service Desk and Field Support,support,onsite,standard
WORK-AIRDN-01525,contractor,Technology,SIAM Observability and Service Governance,service management,nearshore,standard
