kpi_id,kpi_name,owner_function,disclosure_mode,direction,evidence_state,source_id
KPI-AIRDN-228,IROPS recovery KPI 228,Technical Operations,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-013
KPI-AIRDN-229,crew recovery KPI 229,Airport Operations,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-014
KPI-AIRDN-230,station reliability KPI 230,Passenger Service,exact,within threshold,conflicting source,SRC-AIRDN-KPI-015
KPI-AIRDN-231,application availability KPI 231,Commercial,range,binary gate,industry pattern only,SRC-AIRDN-KPI-016
KPI-AIRDN-232,incident MTTR KPI 232,Cargo,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-017
KPI-AIRDN-233,cloud unit cost KPI 233,Corporate Finance,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-018
KPI-AIRDN-234,data freshness KPI 234,Procurement,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-019
KPI-AIRDN-235,report retirement KPI 235,Technology,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-020
KPI-AIRDN-236,vendor SLA KPI 236,Data and AI,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-021
KPI-AIRDN-237,transition readiness KPI 237,Cybersecurity,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-022
KPI-AIRDN-238,value realization KPI 238,Workplace,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-023
KPI-AIRDN-239,mainframe batch success KPI 239,Service Management,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-024
KPI-AIRDN-240,IROPS recovery KPI 240,Flight Operations,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-025
KPI-AIRDN-241,crew recovery KPI 241,Operations Control,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-026
KPI-AIRDN-242,station reliability KPI 242,Crew Operations,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-027
KPI-AIRDN-243,application availability KPI 243,Technical Operations,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-028
KPI-AIRDN-244,incident MTTR KPI 244,Airport Operations,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-029
KPI-AIRDN-245,cloud unit cost KPI 245,Passenger Service,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-030
KPI-AIRDN-246,data freshness KPI 246,Commercial,range,within threshold,conflicting source,SRC-AIRDN-KPI-031
KPI-AIRDN-247,report retirement KPI 247,Cargo,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-032
KPI-AIRDN-248,vendor SLA KPI 248,Corporate Finance,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-033
KPI-AIRDN-249,transition readiness KPI 249,Procurement,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-034
KPI-AIRDN-250,value realization KPI 250,Technology,exact,within threshold,conflicting source,SRC-AIRDN-KPI-035
KPI-AIRDN-251,mainframe batch success KPI 251,Data and AI,range,binary gate,industry pattern only,SRC-AIRDN-KPI-036
KPI-AIRDN-252,IROPS recovery KPI 252,Cybersecurity,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-037
KPI-AIRDN-253,crew recovery KPI 253,Workplace,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-038
KPI-AIRDN-254,station reliability KPI 254,Service Management,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-039
KPI-AIRDN-255,application availability KPI 255,Flight Operations,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-040
KPI-AIRDN-256,incident MTTR KPI 256,Operations Control,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-041
KPI-AIRDN-257,cloud unit cost KPI 257,Crew Operations,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-042
KPI-AIRDN-258,data freshness KPI 258,Technical Operations,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-043
KPI-AIRDN-259,report retirement KPI 259,Airport Operations,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-044
KPI-AIRDN-260,vendor SLA KPI 260,Passenger Service,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-045
KPI-AIRDN-261,transition readiness KPI 261,Commercial,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-046
KPI-AIRDN-262,value realization KPI 262,Cargo,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-047
KPI-AIRDN-263,mainframe batch success KPI 263,Corporate Finance,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-048
KPI-AIRDN-264,IROPS recovery KPI 264,Procurement,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-049
KPI-AIRDN-265,crew recovery KPI 265,Technology,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-050
KPI-AIRDN-266,station reliability KPI 266,Data and AI,range,within threshold,conflicting source,SRC-AIRDN-KPI-051
KPI-AIRDN-267,application availability KPI 267,Cybersecurity,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-052
KPI-AIRDN-268,incident MTTR KPI 268,Workplace,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-053
KPI-AIRDN-269,cloud unit cost KPI 269,Service Management,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-054
KPI-AIRDN-270,data freshness KPI 270,Flight Operations,exact,within threshold,conflicting source,SRC-AIRDN-KPI-055
KPI-AIRDN-271,report retirement KPI 271,Operations Control,range,binary gate,industry pattern only,SRC-AIRDN-KPI-056
KPI-AIRDN-272,vendor SLA KPI 272,Crew Operations,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-057
KPI-AIRDN-273,transition readiness KPI 273,Technical Operations,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-058
KPI-AIRDN-274,value realization KPI 274,Airport Operations,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-059
KPI-AIRDN-275,mainframe batch success KPI 275,Passenger Service,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-060
KPI-AIRDN-276,IROPS recovery KPI 276,Commercial,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-061
KPI-AIRDN-277,crew recovery KPI 277,Cargo,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-062
KPI-AIRDN-278,station reliability KPI 278,Corporate Finance,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-063
KPI-AIRDN-279,application availability KPI 279,Procurement,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-064
KPI-AIRDN-280,incident MTTR KPI 280,Technology,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-065
KPI-AIRDN-281,cloud unit cost KPI 281,Data and AI,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-066
KPI-AIRDN-282,data freshness KPI 282,Cybersecurity,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-067
KPI-AIRDN-283,report retirement KPI 283,Workplace,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-068
KPI-AIRDN-284,vendor SLA KPI 284,Service Management,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-069
KPI-AIRDN-285,transition readiness KPI 285,Flight Operations,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-070
KPI-AIRDN-286,value realization KPI 286,Operations Control,range,within threshold,conflicting source,SRC-AIRDN-KPI-071
KPI-AIRDN-287,mainframe batch success KPI 287,Crew Operations,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-072
KPI-AIRDN-288,IROPS recovery KPI 288,Technical Operations,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-001
KPI-AIRDN-289,crew recovery KPI 289,Airport Operations,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-002
KPI-AIRDN-290,station reliability KPI 290,Passenger Service,exact,within threshold,conflicting source,SRC-AIRDN-KPI-003
KPI-AIRDN-291,application availability KPI 291,Commercial,range,binary gate,industry pattern only,SRC-AIRDN-KPI-004
KPI-AIRDN-292,incident MTTR KPI 292,Cargo,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-005
KPI-AIRDN-293,cloud unit cost KPI 293,Corporate Finance,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-006
KPI-AIRDN-294,data freshness KPI 294,Procurement,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-007
KPI-AIRDN-295,report retirement KPI 295,Technology,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-008
KPI-AIRDN-296,vendor SLA KPI 296,Data and AI,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-009
KPI-AIRDN-297,transition readiness KPI 297,Cybersecurity,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-010
KPI-AIRDN-298,value realization KPI 298,Workplace,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-011
KPI-AIRDN-299,mainframe batch success KPI 299,Service Management,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-012
KPI-AIRDN-300,IROPS recovery KPI 300,Flight Operations,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-013
KPI-AIRDN-301,crew recovery KPI 301,Operations Control,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-014
KPI-AIRDN-302,station reliability KPI 302,Crew Operations,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-015
KPI-AIRDN-303,application availability KPI 303,Technical Operations,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-016
KPI-AIRDN-304,incident MTTR KPI 304,Airport Operations,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-017
KPI-AIRDN-305,cloud unit cost KPI 305,Passenger Service,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-018
KPI-AIRDN-306,data freshness KPI 306,Commercial,range,within threshold,conflicting source,SRC-AIRDN-KPI-019
KPI-AIRDN-307,report retirement KPI 307,Cargo,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-020
KPI-AIRDN-308,vendor SLA KPI 308,Corporate Finance,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-021
KPI-AIRDN-309,transition readiness KPI 309,Procurement,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-022
KPI-AIRDN-310,value realization KPI 310,Technology,exact,within threshold,conflicting source,SRC-AIRDN-KPI-023
KPI-AIRDN-311,mainframe batch success KPI 311,Data and AI,range,binary gate,industry pattern only,SRC-AIRDN-KPI-024
KPI-AIRDN-312,IROPS recovery KPI 312,Cybersecurity,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-025
KPI-AIRDN-313,crew recovery KPI 313,Workplace,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-026
KPI-AIRDN-314,station reliability KPI 314,Service Management,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-027
KPI-AIRDN-315,application availability KPI 315,Flight Operations,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-028
KPI-AIRDN-316,incident MTTR KPI 316,Operations Control,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-029
KPI-AIRDN-317,cloud unit cost KPI 317,Crew Operations,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-030
KPI-AIRDN-318,data freshness KPI 318,Technical Operations,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-031
KPI-AIRDN-319,report retirement KPI 319,Airport Operations,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-032
KPI-AIRDN-320,vendor SLA KPI 320,Passenger Service,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-033
KPI-AIRDN-321,transition readiness KPI 321,Commercial,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-034
KPI-AIRDN-322,value realization KPI 322,Cargo,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-035
KPI-AIRDN-323,mainframe batch success KPI 323,Corporate Finance,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-036
KPI-AIRDN-324,IROPS recovery KPI 324,Procurement,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-037
KPI-AIRDN-325,crew recovery KPI 325,Technology,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-038
KPI-AIRDN-326,station reliability KPI 326,Data and AI,range,within threshold,conflicting source,SRC-AIRDN-KPI-039
KPI-AIRDN-327,application availability KPI 327,Cybersecurity,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-040
KPI-AIRDN-328,incident MTTR KPI 328,Workplace,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-041
KPI-AIRDN-329,cloud unit cost KPI 329,Service Management,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-042
KPI-AIRDN-330,data freshness KPI 330,Flight Operations,exact,within threshold,conflicting source,SRC-AIRDN-KPI-043
KPI-AIRDN-331,report retirement KPI 331,Operations Control,range,binary gate,industry pattern only,SRC-AIRDN-KPI-044
KPI-AIRDN-332,vendor SLA KPI 332,Crew Operations,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-045
KPI-AIRDN-333,transition readiness KPI 333,Technical Operations,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-046
KPI-AIRDN-334,value realization KPI 334,Airport Operations,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-047
KPI-AIRDN-335,mainframe batch success KPI 335,Passenger Service,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-048
KPI-AIRDN-336,IROPS recovery KPI 336,Commercial,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-049
KPI-AIRDN-337,crew recovery KPI 337,Cargo,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-050
KPI-AIRDN-338,station reliability KPI 338,Corporate Finance,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-051
KPI-AIRDN-339,application availability KPI 339,Procurement,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-052
KPI-AIRDN-340,incident MTTR KPI 340,Technology,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-053
KPI-AIRDN-341,cloud unit cost KPI 341,Data and AI,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-054
KPI-AIRDN-342,data freshness KPI 342,Cybersecurity,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-055
KPI-AIRDN-343,report retirement KPI 343,Workplace,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-056
KPI-AIRDN-344,vendor SLA KPI 344,Service Management,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-057
KPI-AIRDN-345,transition readiness KPI 345,Flight Operations,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-058
KPI-AIRDN-346,value realization KPI 346,Operations Control,range,within threshold,conflicting source,SRC-AIRDN-KPI-059
KPI-AIRDN-347,mainframe batch success KPI 347,Crew Operations,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-060
KPI-AIRDN-348,IROPS recovery KPI 348,Technical Operations,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-061
KPI-AIRDN-349,crew recovery KPI 349,Airport Operations,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-062
KPI-AIRDN-350,station reliability KPI 350,Passenger Service,exact,within threshold,conflicting source,SRC-AIRDN-KPI-063
KPI-AIRDN-351,application availability KPI 351,Commercial,range,binary gate,industry pattern only,SRC-AIRDN-KPI-064
KPI-AIRDN-352,incident MTTR KPI 352,Cargo,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-065
KPI-AIRDN-353,cloud unit cost KPI 353,Corporate Finance,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-066
KPI-AIRDN-354,data freshness KPI 354,Procurement,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-067
KPI-AIRDN-355,report retirement KPI 355,Technology,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-068
KPI-AIRDN-356,vendor SLA KPI 356,Data and AI,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-069
KPI-AIRDN-357,transition readiness KPI 357,Cybersecurity,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-070
KPI-AIRDN-358,value realization KPI 358,Workplace,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-071
KPI-AIRDN-359,mainframe batch success KPI 359,Service Management,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-072
KPI-AIRDN-360,IROPS recovery KPI 360,Flight Operations,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-001
KPI-AIRDN-361,crew recovery KPI 361,Operations Control,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-002
KPI-AIRDN-362,station reliability KPI 362,Crew Operations,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-003
KPI-AIRDN-363,application availability KPI 363,Technical Operations,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-004
KPI-AIRDN-364,incident MTTR KPI 364,Airport Operations,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-005
KPI-AIRDN-365,cloud unit cost KPI 365,Passenger Service,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-006
KPI-AIRDN-366,data freshness KPI 366,Commercial,range,within threshold,conflicting source,SRC-AIRDN-KPI-007
KPI-AIRDN-367,report retirement KPI 367,Cargo,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-008
KPI-AIRDN-368,vendor SLA KPI 368,Corporate Finance,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-009
KPI-AIRDN-369,transition readiness KPI 369,Procurement,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-010
KPI-AIRDN-370,value realization KPI 370,Technology,exact,within threshold,conflicting source,SRC-AIRDN-KPI-011
KPI-AIRDN-371,mainframe batch success KPI 371,Data and AI,range,binary gate,industry pattern only,SRC-AIRDN-KPI-012
KPI-AIRDN-372,IROPS recovery KPI 372,Cybersecurity,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-013
KPI-AIRDN-373,crew recovery KPI 373,Workplace,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-014
KPI-AIRDN-374,station reliability KPI 374,Service Management,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-015
KPI-AIRDN-375,application availability KPI 375,Flight Operations,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-016
KPI-AIRDN-376,incident MTTR KPI 376,Operations Control,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-017
KPI-AIRDN-377,cloud unit cost KPI 377,Crew Operations,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-018
KPI-AIRDN-378,data freshness KPI 378,Technical Operations,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-019
KPI-AIRDN-379,report retirement KPI 379,Airport Operations,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-020
KPI-AIRDN-380,vendor SLA KPI 380,Passenger Service,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-021
KPI-AIRDN-381,transition readiness KPI 381,Commercial,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-022
KPI-AIRDN-382,value realization KPI 382,Cargo,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-023
KPI-AIRDN-383,mainframe batch success KPI 383,Corporate Finance,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-024
KPI-AIRDN-384,IROPS recovery KPI 384,Procurement,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-025
KPI-AIRDN-385,crew recovery KPI 385,Technology,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-026
KPI-AIRDN-386,station reliability KPI 386,Data and AI,range,within threshold,conflicting source,SRC-AIRDN-KPI-027
KPI-AIRDN-387,application availability KPI 387,Cybersecurity,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-028
KPI-AIRDN-388,incident MTTR KPI 388,Workplace,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-029
KPI-AIRDN-389,cloud unit cost KPI 389,Service Management,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-030
KPI-AIRDN-390,data freshness KPI 390,Flight Operations,exact,within threshold,conflicting source,SRC-AIRDN-KPI-031
KPI-AIRDN-391,report retirement KPI 391,Operations Control,range,binary gate,industry pattern only,SRC-AIRDN-KPI-032
KPI-AIRDN-392,vendor SLA KPI 392,Crew Operations,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-033
KPI-AIRDN-393,transition readiness KPI 393,Technical Operations,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-034
KPI-AIRDN-394,value realization KPI 394,Airport Operations,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-035
KPI-AIRDN-395,mainframe batch success KPI 395,Passenger Service,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-036
KPI-AIRDN-396,IROPS recovery KPI 396,Commercial,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-037
KPI-AIRDN-397,crew recovery KPI 397,Cargo,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-038
KPI-AIRDN-398,station reliability KPI 398,Corporate Finance,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-039
KPI-AIRDN-399,application availability KPI 399,Procurement,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-040
KPI-AIRDN-400,incident MTTR KPI 400,Technology,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-041
KPI-AIRDN-401,cloud unit cost KPI 401,Data and AI,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-042
KPI-AIRDN-402,data freshness KPI 402,Cybersecurity,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-043
KPI-AIRDN-403,report retirement KPI 403,Workplace,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-044
KPI-AIRDN-404,vendor SLA KPI 404,Service Management,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-045
KPI-AIRDN-405,transition readiness KPI 405,Flight Operations,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-046
KPI-AIRDN-406,value realization KPI 406,Operations Control,range,within threshold,conflicting source,SRC-AIRDN-KPI-047
KPI-AIRDN-407,mainframe batch success KPI 407,Crew Operations,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-048
KPI-AIRDN-408,IROPS recovery KPI 408,Technical Operations,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-049
KPI-AIRDN-409,crew recovery KPI 409,Airport Operations,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-050
KPI-AIRDN-410,station reliability KPI 410,Passenger Service,exact,within threshold,conflicting source,SRC-AIRDN-KPI-051
KPI-AIRDN-411,application availability KPI 411,Commercial,range,binary gate,industry pattern only,SRC-AIRDN-KPI-052
KPI-AIRDN-412,incident MTTR KPI 412,Cargo,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-053
KPI-AIRDN-413,cloud unit cost KPI 413,Corporate Finance,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-054
KPI-AIRDN-414,data freshness KPI 414,Procurement,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-055
KPI-AIRDN-415,report retirement KPI 415,Technology,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-056
KPI-AIRDN-416,vendor SLA KPI 416,Data and AI,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-057
KPI-AIRDN-417,transition readiness KPI 417,Cybersecurity,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-058
KPI-AIRDN-418,value realization KPI 418,Workplace,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-059
KPI-AIRDN-419,mainframe batch success KPI 419,Service Management,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-060
KPI-AIRDN-420,IROPS recovery KPI 420,Flight Operations,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-061
