integration_id,from_application_id,to_application_id,integration_method,frequency,criticality,middleware_pattern,owning_function,source_id
INT-AIRDN-01738,APP-AIRDN-0207,APP-AIRDN-1153,API,hourly,standard,cloud integration platform,Workplace,SRC-AIRDN-INT-011
INT-AIRDN-01739,APP-AIRDN-0214,APP-AIRDN-1170,file/batch,daily,standard,file transfer gateway,Service Management,SRC-AIRDN-INT-012
INT-AIRDN-01740,APP-AIRDN-0221,APP-AIRDN-1187,ETL/ELT,weekly,high,data pipeline orchestrator,Flight Operations,SRC-AIRDN-INT-013
INT-AIRDN-01741,APP-AIRDN-0228,APP-AIRDN-1204,mainframe transaction,event-driven,standard,API gateway,Operations Control,SRC-AIRDN-INT-014
INT-AIRDN-01742,APP-AIRDN-0235,APP-AIRDN-1221,streaming topic,nightly batch,standard,event streaming backbone,Crew Operations,SRC-AIRDN-INT-015
INT-AIRDN-01743,APP-AIRDN-0242,APP-AIRDN-1238,SaaS connector,real-time,high,enterprise service bus,Technical Operations,SRC-AIRDN-INT-016
INT-AIRDN-01744,APP-AIRDN-0249,APP-AIRDN-1255,EDI/message,near real-time,critical,mainframe MQ,Airport Operations,SRC-AIRDN-INT-017
INT-AIRDN-01745,APP-AIRDN-0256,APP-AIRDN-1272,database link,hourly,standard,cloud integration platform,Passenger Service,SRC-AIRDN-INT-018
INT-AIRDN-01746,APP-AIRDN-0263,APP-AIRDN-1289,MQ/event,daily,high,file transfer gateway,Commercial,SRC-AIRDN-INT-019
INT-AIRDN-01747,APP-AIRDN-0270,APP-AIRDN-1306,API,weekly,standard,data pipeline orchestrator,Cargo,SRC-AIRDN-INT-020
INT-AIRDN-01748,APP-AIRDN-0277,APP-AIRDN-1323,file/batch,event-driven,standard,API gateway,Corporate Finance,SRC-AIRDN-INT-021
INT-AIRDN-01749,APP-AIRDN-0284,APP-AIRDN-1340,ETL/ELT,nightly batch,high,event streaming backbone,Procurement,SRC-AIRDN-INT-022
INT-AIRDN-01750,APP-AIRDN-0291,APP-AIRDN-1357,mainframe transaction,real-time,standard,enterprise service bus,Technology,SRC-AIRDN-INT-023
INT-AIRDN-01751,APP-AIRDN-0298,APP-AIRDN-1374,streaming topic,near real-time,standard,mainframe MQ,Data and AI,SRC-AIRDN-INT-024
INT-AIRDN-01752,APP-AIRDN-0305,APP-AIRDN-1391,SaaS connector,hourly,critical,cloud integration platform,Cybersecurity,SRC-AIRDN-INT-025
INT-AIRDN-01753,APP-AIRDN-0312,APP-AIRDN-1408,EDI/message,daily,standard,file transfer gateway,Workplace,SRC-AIRDN-INT-026
INT-AIRDN-01754,APP-AIRDN-0319,APP-AIRDN-1425,database link,weekly,standard,data pipeline orchestrator,Service Management,SRC-AIRDN-INT-027
INT-AIRDN-01755,APP-AIRDN-0326,APP-AIRDN-1442,MQ/event,event-driven,high,API gateway,Flight Operations,SRC-AIRDN-INT-028
INT-AIRDN-01756,APP-AIRDN-0333,APP-AIRDN-1459,API,nightly batch,standard,event streaming backbone,Operations Control,SRC-AIRDN-INT-029
INT-AIRDN-01757,APP-AIRDN-0340,APP-AIRDN-1476,file/batch,real-time,standard,enterprise service bus,Crew Operations,SRC-AIRDN-INT-030
INT-AIRDN-01758,APP-AIRDN-0347,APP-AIRDN-1493,ETL/ELT,near real-time,high,mainframe MQ,Technical Operations,SRC-AIRDN-INT-031
INT-AIRDN-01759,APP-AIRDN-0354,APP-AIRDN-0015,mainframe transaction,hourly,standard,cloud integration platform,Airport Operations,SRC-AIRDN-INT-032
INT-AIRDN-01760,APP-AIRDN-0361,APP-AIRDN-0032,streaming topic,daily,critical,file transfer gateway,Passenger Service,SRC-AIRDN-INT-033
INT-AIRDN-01761,APP-AIRDN-0368,APP-AIRDN-0049,SaaS connector,weekly,high,data pipeline orchestrator,Commercial,SRC-AIRDN-INT-034
INT-AIRDN-01762,APP-AIRDN-0375,APP-AIRDN-0066,EDI/message,event-driven,standard,API gateway,Cargo,SRC-AIRDN-INT-035
INT-AIRDN-01763,APP-AIRDN-0382,APP-AIRDN-0083,database link,nightly batch,standard,event streaming backbone,Corporate Finance,SRC-AIRDN-INT-036
INT-AIRDN-01764,APP-AIRDN-0389,APP-AIRDN-0100,MQ/event,real-time,high,enterprise service bus,Procurement,SRC-AIRDN-INT-037
INT-AIRDN-01765,APP-AIRDN-0396,APP-AIRDN-0117,API,near real-time,standard,mainframe MQ,Technology,SRC-AIRDN-INT-038
INT-AIRDN-01766,APP-AIRDN-0403,APP-AIRDN-0134,file/batch,hourly,standard,cloud integration platform,Data and AI,SRC-AIRDN-INT-039
INT-AIRDN-01767,APP-AIRDN-0410,APP-AIRDN-0151,ETL/ELT,daily,high,file transfer gateway,Cybersecurity,SRC-AIRDN-INT-040
INT-AIRDN-01768,APP-AIRDN-0417,APP-AIRDN-0168,mainframe transaction,weekly,critical,data pipeline orchestrator,Workplace,SRC-AIRDN-INT-041
INT-AIRDN-01769,APP-AIRDN-0424,APP-AIRDN-0185,streaming topic,event-driven,standard,API gateway,Service Management,SRC-AIRDN-INT-042
INT-AIRDN-01770,APP-AIRDN-0431,APP-AIRDN-0202,SaaS connector,nightly batch,high,event streaming backbone,Flight Operations,SRC-AIRDN-INT-043
INT-AIRDN-01771,APP-AIRDN-0438,APP-AIRDN-0219,EDI/message,real-time,standard,enterprise service bus,Operations Control,SRC-AIRDN-INT-044
INT-AIRDN-01772,APP-AIRDN-0445,APP-AIRDN-0236,database link,near real-time,standard,mainframe MQ,Crew Operations,SRC-AIRDN-INT-045
INT-AIRDN-01773,APP-AIRDN-0452,APP-AIRDN-0253,MQ/event,hourly,high,cloud integration platform,Technical Operations,SRC-AIRDN-INT-046
INT-AIRDN-01774,APP-AIRDN-0459,APP-AIRDN-0270,API,daily,standard,file transfer gateway,Airport Operations,SRC-AIRDN-INT-047
INT-AIRDN-01775,APP-AIRDN-0466,APP-AIRDN-0287,file/batch,weekly,standard,data pipeline orchestrator,Passenger Service,SRC-AIRDN-INT-048
INT-AIRDN-01776,APP-AIRDN-0473,APP-AIRDN-0304,ETL/ELT,event-driven,critical,API gateway,Commercial,SRC-AIRDN-INT-049
INT-AIRDN-01777,APP-AIRDN-0480,APP-AIRDN-0321,mainframe transaction,nightly batch,standard,event streaming backbone,Cargo,SRC-AIRDN-INT-050
INT-AIRDN-01778,APP-AIRDN-0487,APP-AIRDN-0338,streaming topic,real-time,standard,enterprise service bus,Corporate Finance,SRC-AIRDN-INT-051
INT-AIRDN-01779,APP-AIRDN-0494,APP-AIRDN-0355,SaaS connector,near real-time,high,mainframe MQ,Procurement,SRC-AIRDN-INT-052
INT-AIRDN-01780,APP-AIRDN-0501,APP-AIRDN-0372,EDI/message,hourly,standard,cloud integration platform,Technology,SRC-AIRDN-INT-053
INT-AIRDN-01781,APP-AIRDN-0508,APP-AIRDN-0389,database link,daily,standard,file transfer gateway,Data and AI,SRC-AIRDN-INT-054
INT-AIRDN-01782,APP-AIRDN-0515,APP-AIRDN-0406,MQ/event,weekly,high,data pipeline orchestrator,Cybersecurity,SRC-AIRDN-INT-001
INT-AIRDN-01783,APP-AIRDN-0522,APP-AIRDN-0423,API,event-driven,standard,API gateway,Workplace,SRC-AIRDN-INT-002
INT-AIRDN-01784,APP-AIRDN-0529,APP-AIRDN-0440,file/batch,nightly batch,critical,event streaming backbone,Service Management,SRC-AIRDN-INT-003
INT-AIRDN-01785,APP-AIRDN-0536,APP-AIRDN-0457,ETL/ELT,real-time,high,enterprise service bus,Flight Operations,SRC-AIRDN-INT-004
INT-AIRDN-01786,APP-AIRDN-0543,APP-AIRDN-0474,mainframe transaction,near real-time,standard,mainframe MQ,Operations Control,SRC-AIRDN-INT-005
INT-AIRDN-01787,APP-AIRDN-0550,APP-AIRDN-0491,streaming topic,hourly,standard,cloud integration platform,Crew Operations,SRC-AIRDN-INT-006
INT-AIRDN-01788,APP-AIRDN-0557,APP-AIRDN-0508,SaaS connector,daily,high,file transfer gateway,Technical Operations,SRC-AIRDN-INT-007
INT-AIRDN-01789,APP-AIRDN-0564,APP-AIRDN-0525,EDI/message,weekly,standard,data pipeline orchestrator,Airport Operations,SRC-AIRDN-INT-008
INT-AIRDN-01790,APP-AIRDN-0571,APP-AIRDN-0542,database link,event-driven,standard,API gateway,Passenger Service,SRC-AIRDN-INT-009
INT-AIRDN-01791,APP-AIRDN-0578,APP-AIRDN-0559,MQ/event,nightly batch,high,event streaming backbone,Commercial,SRC-AIRDN-INT-010
INT-AIRDN-01792,APP-AIRDN-0585,APP-AIRDN-0576,API,real-time,critical,enterprise service bus,Cargo,SRC-AIRDN-INT-011
INT-AIRDN-01793,APP-AIRDN-0592,APP-AIRDN-0593,file/batch,near real-time,standard,mainframe MQ,Corporate Finance,SRC-AIRDN-INT-012
INT-AIRDN-01794,APP-AIRDN-0599,APP-AIRDN-0610,ETL/ELT,hourly,high,cloud integration platform,Procurement,SRC-AIRDN-INT-013
INT-AIRDN-01795,APP-AIRDN-0606,APP-AIRDN-0627,mainframe transaction,daily,standard,file transfer gateway,Technology,SRC-AIRDN-INT-014
INT-AIRDN-01796,APP-AIRDN-0613,APP-AIRDN-0644,streaming topic,weekly,standard,data pipeline orchestrator,Data and AI,SRC-AIRDN-INT-015
INT-AIRDN-01797,APP-AIRDN-0620,APP-AIRDN-0661,SaaS connector,event-driven,high,API gateway,Cybersecurity,SRC-AIRDN-INT-016
INT-AIRDN-01798,APP-AIRDN-0627,APP-AIRDN-0678,EDI/message,nightly batch,standard,event streaming backbone,Workplace,SRC-AIRDN-INT-017
INT-AIRDN-01799,APP-AIRDN-0634,APP-AIRDN-0695,database link,real-time,standard,enterprise service bus,Service Management,SRC-AIRDN-INT-018
INT-AIRDN-01800,APP-AIRDN-0641,APP-AIRDN-0712,MQ/event,near real-time,critical,mainframe MQ,Flight Operations,SRC-AIRDN-INT-019
INT-AIRDN-01801,APP-AIRDN-0648,APP-AIRDN-0729,API,hourly,standard,cloud integration platform,Operations Control,SRC-AIRDN-INT-020
INT-AIRDN-01802,APP-AIRDN-0655,APP-AIRDN-0746,file/batch,daily,standard,file transfer gateway,Crew Operations,SRC-AIRDN-INT-021
INT-AIRDN-01803,APP-AIRDN-0662,APP-AIRDN-0763,ETL/ELT,weekly,high,data pipeline orchestrator,Technical Operations,SRC-AIRDN-INT-022
INT-AIRDN-01804,APP-AIRDN-0669,APP-AIRDN-0780,mainframe transaction,event-driven,standard,API gateway,Airport Operations,SRC-AIRDN-INT-023
INT-AIRDN-01805,APP-AIRDN-0676,APP-AIRDN-0797,streaming topic,nightly batch,standard,event streaming backbone,Passenger Service,SRC-AIRDN-INT-024
INT-AIRDN-01806,APP-AIRDN-0683,APP-AIRDN-0814,SaaS connector,real-time,high,enterprise service bus,Commercial,SRC-AIRDN-INT-025
INT-AIRDN-01807,APP-AIRDN-0690,APP-AIRDN-0831,EDI/message,near real-time,standard,mainframe MQ,Cargo,SRC-AIRDN-INT-026
INT-AIRDN-01808,APP-AIRDN-0697,APP-AIRDN-0848,database link,hourly,critical,cloud integration platform,Corporate Finance,SRC-AIRDN-INT-027
INT-AIRDN-01809,APP-AIRDN-0704,APP-AIRDN-0865,MQ/event,daily,high,file transfer gateway,Procurement,SRC-AIRDN-INT-028
INT-AIRDN-01810,APP-AIRDN-0711,APP-AIRDN-0882,API,weekly,standard,data pipeline orchestrator,Technology,SRC-AIRDN-INT-029
INT-AIRDN-01811,APP-AIRDN-0718,APP-AIRDN-0899,file/batch,event-driven,standard,API gateway,Data and AI,SRC-AIRDN-INT-030
INT-AIRDN-01812,APP-AIRDN-0725,APP-AIRDN-0916,ETL/ELT,nightly batch,high,event streaming backbone,Cybersecurity,SRC-AIRDN-INT-031
INT-AIRDN-01813,APP-AIRDN-0732,APP-AIRDN-0933,mainframe transaction,real-time,standard,enterprise service bus,Workplace,SRC-AIRDN-INT-032
INT-AIRDN-01814,APP-AIRDN-0739,APP-AIRDN-0950,streaming topic,near real-time,standard,mainframe MQ,Service Management,SRC-AIRDN-INT-033
INT-AIRDN-01815,APP-AIRDN-0746,APP-AIRDN-0967,SaaS connector,hourly,high,cloud integration platform,Flight Operations,SRC-AIRDN-INT-034
INT-AIRDN-01816,APP-AIRDN-0753,APP-AIRDN-0984,EDI/message,daily,critical,file transfer gateway,Operations Control,SRC-AIRDN-INT-035
INT-AIRDN-01817,APP-AIRDN-0760,APP-AIRDN-1001,database link,weekly,standard,data pipeline orchestrator,Crew Operations,SRC-AIRDN-INT-036
INT-AIRDN-01818,APP-AIRDN-0767,APP-AIRDN-1018,MQ/event,event-driven,high,API gateway,Technical Operations,SRC-AIRDN-INT-037
INT-AIRDN-01819,APP-AIRDN-0774,APP-AIRDN-1035,API,nightly batch,standard,event streaming backbone,Airport Operations,SRC-AIRDN-INT-038
INT-AIRDN-01820,APP-AIRDN-0781,APP-AIRDN-1052,file/batch,real-time,standard,enterprise service bus,Passenger Service,SRC-AIRDN-INT-039
INT-AIRDN-01821,APP-AIRDN-0788,APP-AIRDN-1069,ETL/ELT,near real-time,high,mainframe MQ,Commercial,SRC-AIRDN-INT-040
INT-AIRDN-01822,APP-AIRDN-0795,APP-AIRDN-1086,mainframe transaction,hourly,standard,cloud integration platform,Cargo,SRC-AIRDN-INT-041
INT-AIRDN-01823,APP-AIRDN-0802,APP-AIRDN-1103,streaming topic,daily,standard,file transfer gateway,Corporate Finance,SRC-AIRDN-INT-042
INT-AIRDN-01824,APP-AIRDN-0809,APP-AIRDN-1120,SaaS connector,weekly,critical,data pipeline orchestrator,Procurement,SRC-AIRDN-INT-043
INT-AIRDN-01825,APP-AIRDN-0816,APP-AIRDN-1137,EDI/message,event-driven,standard,API gateway,Technology,SRC-AIRDN-INT-044
INT-AIRDN-01826,APP-AIRDN-0823,APP-AIRDN-1154,database link,nightly batch,standard,event streaming backbone,Data and AI,SRC-AIRDN-INT-045
INT-AIRDN-01827,APP-AIRDN-0830,APP-AIRDN-1171,MQ/event,real-time,high,enterprise service bus,Cybersecurity,SRC-AIRDN-INT-046
INT-AIRDN-01828,APP-AIRDN-0837,APP-AIRDN-1188,API,near real-time,standard,mainframe MQ,Workplace,SRC-AIRDN-INT-047
INT-AIRDN-01829,APP-AIRDN-0844,APP-AIRDN-1205,file/batch,hourly,standard,cloud integration platform,Service Management,SRC-AIRDN-INT-048
INT-AIRDN-01830,APP-AIRDN-0851,APP-AIRDN-1222,ETL/ELT,daily,high,file transfer gateway,Flight Operations,SRC-AIRDN-INT-049
INT-AIRDN-01831,APP-AIRDN-0858,APP-AIRDN-1239,mainframe transaction,weekly,standard,data pipeline orchestrator,Operations Control,SRC-AIRDN-INT-050
INT-AIRDN-01832,APP-AIRDN-0865,APP-AIRDN-1256,streaming topic,event-driven,critical,API gateway,Crew Operations,SRC-AIRDN-INT-051
INT-AIRDN-01833,APP-AIRDN-0872,APP-AIRDN-1273,SaaS connector,nightly batch,high,event streaming backbone,Technical Operations,SRC-AIRDN-INT-052
INT-AIRDN-01834,APP-AIRDN-0879,APP-AIRDN-1290,EDI/message,real-time,standard,enterprise service bus,Airport Operations,SRC-AIRDN-INT-053
INT-AIRDN-01835,APP-AIRDN-0886,APP-AIRDN-1307,database link,near real-time,standard,mainframe MQ,Passenger Service,SRC-AIRDN-INT-054
INT-AIRDN-01836,APP-AIRDN-0893,APP-AIRDN-1324,MQ/event,hourly,high,cloud integration platform,Commercial,SRC-AIRDN-INT-001
INT-AIRDN-01837,APP-AIRDN-0900,APP-AIRDN-1341,API,daily,standard,file transfer gateway,Cargo,SRC-AIRDN-INT-002
INT-AIRDN-01838,APP-AIRDN-0907,APP-AIRDN-1358,file/batch,weekly,standard,data pipeline orchestrator,Corporate Finance,SRC-AIRDN-INT-003
INT-AIRDN-01839,APP-AIRDN-0914,APP-AIRDN-1375,ETL/ELT,event-driven,high,API gateway,Procurement,SRC-AIRDN-INT-004
INT-AIRDN-01840,APP-AIRDN-0921,APP-AIRDN-1392,mainframe transaction,nightly batch,critical,event streaming backbone,Technology,SRC-AIRDN-INT-005
INT-AIRDN-01841,APP-AIRDN-0928,APP-AIRDN-1409,streaming topic,real-time,standard,enterprise service bus,Data and AI,SRC-AIRDN-INT-006
INT-AIRDN-01842,APP-AIRDN-0935,APP-AIRDN-1426,SaaS connector,near real-time,high,mainframe MQ,Cybersecurity,SRC-AIRDN-INT-007
INT-AIRDN-01843,APP-AIRDN-0942,APP-AIRDN-1443,EDI/message,hourly,standard,cloud integration platform,Workplace,SRC-AIRDN-INT-008
INT-AIRDN-01844,APP-AIRDN-0949,APP-AIRDN-1460,database link,daily,standard,file transfer gateway,Service Management,SRC-AIRDN-INT-009
INT-AIRDN-01845,APP-AIRDN-0956,APP-AIRDN-1477,MQ/event,weekly,high,data pipeline orchestrator,Flight Operations,SRC-AIRDN-INT-010
INT-AIRDN-01846,APP-AIRDN-0963,APP-AIRDN-1494,API,event-driven,standard,API gateway,Operations Control,SRC-AIRDN-INT-011
INT-AIRDN-01847,APP-AIRDN-0970,APP-AIRDN-0016,file/batch,nightly batch,standard,event streaming backbone,Crew Operations,SRC-AIRDN-INT-012
INT-AIRDN-01848,APP-AIRDN-0977,APP-AIRDN-0033,ETL/ELT,real-time,critical,enterprise service bus,Technical Operations,SRC-AIRDN-INT-013
INT-AIRDN-01849,APP-AIRDN-0984,APP-AIRDN-0050,mainframe transaction,near real-time,standard,mainframe MQ,Airport Operations,SRC-AIRDN-INT-014
INT-AIRDN-01850,APP-AIRDN-0991,APP-AIRDN-0067,streaming topic,hourly,standard,cloud integration platform,Passenger Service,SRC-AIRDN-INT-015
INT-AIRDN-01851,APP-AIRDN-0998,APP-AIRDN-0084,SaaS connector,daily,high,file transfer gateway,Commercial,SRC-AIRDN-INT-016
INT-AIRDN-01852,APP-AIRDN-1005,APP-AIRDN-0101,EDI/message,weekly,standard,data pipeline orchestrator,Cargo,SRC-AIRDN-INT-017
INT-AIRDN-01853,APP-AIRDN-1012,APP-AIRDN-0118,database link,event-driven,standard,API gateway,Corporate Finance,SRC-AIRDN-INT-018
INT-AIRDN-01854,APP-AIRDN-1019,APP-AIRDN-0135,MQ/event,nightly batch,high,event streaming backbone,Procurement,SRC-AIRDN-INT-019
INT-AIRDN-01855,APP-AIRDN-1026,APP-AIRDN-0152,API,real-time,standard,enterprise service bus,Technology,SRC-AIRDN-INT-020
INT-AIRDN-01856,APP-AIRDN-1033,APP-AIRDN-0169,file/batch,near real-time,critical,mainframe MQ,Data and AI,SRC-AIRDN-INT-021
INT-AIRDN-01857,APP-AIRDN-1040,APP-AIRDN-0186,ETL/ELT,hourly,high,cloud integration platform,Cybersecurity,SRC-AIRDN-INT-022
INT-AIRDN-01858,APP-AIRDN-1047,APP-AIRDN-0203,mainframe transaction,daily,standard,file transfer gateway,Workplace,SRC-AIRDN-INT-023
INT-AIRDN-01859,APP-AIRDN-1054,APP-AIRDN-0220,streaming topic,weekly,standard,data pipeline orchestrator,Service Management,SRC-AIRDN-INT-024
INT-AIRDN-01860,APP-AIRDN-1061,APP-AIRDN-0237,SaaS connector,event-driven,high,API gateway,Flight Operations,SRC-AIRDN-INT-025
INT-AIRDN-01861,APP-AIRDN-1068,APP-AIRDN-0254,EDI/message,nightly batch,standard,event streaming backbone,Operations Control,SRC-AIRDN-INT-026
INT-AIRDN-01862,APP-AIRDN-1075,APP-AIRDN-0271,database link,real-time,standard,enterprise service bus,Crew Operations,SRC-AIRDN-INT-027
INT-AIRDN-01863,APP-AIRDN-1082,APP-AIRDN-0288,MQ/event,near real-time,high,mainframe MQ,Technical Operations,SRC-AIRDN-INT-028
INT-AIRDN-01864,APP-AIRDN-1089,APP-AIRDN-0305,API,hourly,critical,cloud integration platform,Airport Operations,SRC-AIRDN-INT-029
INT-AIRDN-01865,APP-AIRDN-1096,APP-AIRDN-0322,file/batch,daily,standard,file transfer gateway,Passenger Service,SRC-AIRDN-INT-030
INT-AIRDN-01866,APP-AIRDN-1103,APP-AIRDN-0339,ETL/ELT,weekly,high,data pipeline orchestrator,Commercial,SRC-AIRDN-INT-031
INT-AIRDN-01867,APP-AIRDN-1110,APP-AIRDN-0356,mainframe transaction,event-driven,standard,API gateway,Cargo,SRC-AIRDN-INT-032
INT-AIRDN-01868,APP-AIRDN-1117,APP-AIRDN-0373,streaming topic,nightly batch,standard,event streaming backbone,Corporate Finance,SRC-AIRDN-INT-033
INT-AIRDN-01869,APP-AIRDN-1124,APP-AIRDN-0390,SaaS connector,real-time,high,enterprise service bus,Procurement,SRC-AIRDN-INT-034
INT-AIRDN-01870,APP-AIRDN-1131,APP-AIRDN-0407,EDI/message,near real-time,standard,mainframe MQ,Technology,SRC-AIRDN-INT-035
INT-AIRDN-01871,APP-AIRDN-1138,APP-AIRDN-0424,database link,hourly,standard,cloud integration platform,Data and AI,SRC-AIRDN-INT-036
INT-AIRDN-01872,APP-AIRDN-1145,APP-AIRDN-0441,MQ/event,daily,critical,file transfer gateway,Cybersecurity,SRC-AIRDN-INT-037
INT-AIRDN-01873,APP-AIRDN-1152,APP-AIRDN-0458,API,weekly,standard,data pipeline orchestrator,Workplace,SRC-AIRDN-INT-038
INT-AIRDN-01874,APP-AIRDN-1159,APP-AIRDN-0475,file/batch,event-driven,standard,API gateway,Service Management,SRC-AIRDN-INT-039
INT-AIRDN-01875,APP-AIRDN-1166,APP-AIRDN-0492,ETL/ELT,nightly batch,high,event streaming backbone,Flight Operations,SRC-AIRDN-INT-040
INT-AIRDN-01876,APP-AIRDN-1173,APP-AIRDN-0509,mainframe transaction,real-time,standard,enterprise service bus,Operations Control,SRC-AIRDN-INT-041
INT-AIRDN-01877,APP-AIRDN-1180,APP-AIRDN-0526,streaming topic,near real-time,standard,mainframe MQ,Crew Operations,SRC-AIRDN-INT-042
INT-AIRDN-01878,APP-AIRDN-1187,APP-AIRDN-0543,SaaS connector,hourly,high,cloud integration platform,Technical Operations,SRC-AIRDN-INT-043
INT-AIRDN-01879,APP-AIRDN-1194,APP-AIRDN-0560,EDI/message,daily,standard,file transfer gateway,Airport Operations,SRC-AIRDN-INT-044
INT-AIRDN-01880,APP-AIRDN-1201,APP-AIRDN-0577,database link,weekly,critical,data pipeline orchestrator,Passenger Service,SRC-AIRDN-INT-045
INT-AIRDN-01881,APP-AIRDN-1208,APP-AIRDN-0594,MQ/event,event-driven,high,API gateway,Commercial,SRC-AIRDN-INT-046
INT-AIRDN-01882,APP-AIRDN-1215,APP-AIRDN-0611,API,nightly batch,standard,event streaming backbone,Cargo,SRC-AIRDN-INT-047
INT-AIRDN-01883,APP-AIRDN-1222,APP-AIRDN-0628,file/batch,real-time,standard,enterprise service bus,Corporate Finance,SRC-AIRDN-INT-048
INT-AIRDN-01884,APP-AIRDN-1229,APP-AIRDN-0645,ETL/ELT,near real-time,high,mainframe MQ,Procurement,SRC-AIRDN-INT-049
INT-AIRDN-01885,APP-AIRDN-1236,APP-AIRDN-0662,mainframe transaction,hourly,standard,cloud integration platform,Technology,SRC-AIRDN-INT-050
INT-AIRDN-01886,APP-AIRDN-1243,APP-AIRDN-0679,streaming topic,daily,standard,file transfer gateway,Data and AI,SRC-AIRDN-INT-051
INT-AIRDN-01887,APP-AIRDN-1250,APP-AIRDN-0696,SaaS connector,weekly,high,data pipeline orchestrator,Cybersecurity,SRC-AIRDN-INT-052
INT-AIRDN-01888,APP-AIRDN-1257,APP-AIRDN-0713,EDI/message,event-driven,critical,API gateway,Workplace,SRC-AIRDN-INT-053
INT-AIRDN-01889,APP-AIRDN-1264,APP-AIRDN-0730,database link,nightly batch,standard,event streaming backbone,Service Management,SRC-AIRDN-INT-054
INT-AIRDN-01890,APP-AIRDN-1271,APP-AIRDN-0747,MQ/event,real-time,high,enterprise service bus,Flight Operations,SRC-AIRDN-INT-001
INT-AIRDN-01891,APP-AIRDN-1278,APP-AIRDN-0764,API,near real-time,standard,mainframe MQ,Operations Control,SRC-AIRDN-INT-002
INT-AIRDN-01892,APP-AIRDN-1285,APP-AIRDN-0781,file/batch,hourly,standard,cloud integration platform,Crew Operations,SRC-AIRDN-INT-003
INT-AIRDN-01893,APP-AIRDN-1292,APP-AIRDN-0798,ETL/ELT,daily,high,file transfer gateway,Technical Operations,SRC-AIRDN-INT-004
INT-AIRDN-01894,APP-AIRDN-1299,APP-AIRDN-0815,mainframe transaction,weekly,standard,data pipeline orchestrator,Airport Operations,SRC-AIRDN-INT-005
INT-AIRDN-01895,APP-AIRDN-1306,APP-AIRDN-0832,streaming topic,event-driven,standard,API gateway,Passenger Service,SRC-AIRDN-INT-006
INT-AIRDN-01896,APP-AIRDN-1313,APP-AIRDN-0849,SaaS connector,nightly batch,critical,event streaming backbone,Commercial,SRC-AIRDN-INT-007
INT-AIRDN-01897,APP-AIRDN-1320,APP-AIRDN-0866,EDI/message,real-time,standard,enterprise service bus,Cargo,SRC-AIRDN-INT-008
INT-AIRDN-01898,APP-AIRDN-1327,APP-AIRDN-0883,database link,near real-time,standard,mainframe MQ,Corporate Finance,SRC-AIRDN-INT-009
INT-AIRDN-01899,APP-AIRDN-1334,APP-AIRDN-0900,MQ/event,hourly,high,cloud integration platform,Procurement,SRC-AIRDN-INT-010
INT-AIRDN-01900,APP-AIRDN-1341,APP-AIRDN-0917,API,daily,standard,file transfer gateway,Technology,SRC-AIRDN-INT-011
INT-AIRDN-01901,APP-AIRDN-1348,APP-AIRDN-0934,file/batch,weekly,standard,data pipeline orchestrator,Data and AI,SRC-AIRDN-INT-012
INT-AIRDN-01902,APP-AIRDN-1355,APP-AIRDN-0951,ETL/ELT,event-driven,high,API gateway,Cybersecurity,SRC-AIRDN-INT-013
INT-AIRDN-01903,APP-AIRDN-1362,APP-AIRDN-0968,mainframe transaction,nightly batch,standard,event streaming backbone,Workplace,SRC-AIRDN-INT-014
INT-AIRDN-01904,APP-AIRDN-1369,APP-AIRDN-0985,streaming topic,real-time,critical,enterprise service bus,Service Management,SRC-AIRDN-INT-015
INT-AIRDN-01905,APP-AIRDN-1376,APP-AIRDN-1002,SaaS connector,near real-time,high,mainframe MQ,Flight Operations,SRC-AIRDN-INT-016
INT-AIRDN-01906,APP-AIRDN-1383,APP-AIRDN-1019,EDI/message,hourly,standard,cloud integration platform,Operations Control,SRC-AIRDN-INT-017
INT-AIRDN-01907,APP-AIRDN-1390,APP-AIRDN-1036,database link,daily,standard,file transfer gateway,Crew Operations,SRC-AIRDN-INT-018
INT-AIRDN-01908,APP-AIRDN-1397,APP-AIRDN-1053,MQ/event,weekly,high,data pipeline orchestrator,Technical Operations,SRC-AIRDN-INT-019
INT-AIRDN-01909,APP-AIRDN-1404,APP-AIRDN-1070,API,event-driven,standard,API gateway,Airport Operations,SRC-AIRDN-INT-020
INT-AIRDN-01910,APP-AIRDN-1411,APP-AIRDN-1087,file/batch,nightly batch,standard,event streaming backbone,Passenger Service,SRC-AIRDN-INT-021
INT-AIRDN-01911,APP-AIRDN-1418,APP-AIRDN-1104,ETL/ELT,real-time,high,enterprise service bus,Commercial,SRC-AIRDN-INT-022
INT-AIRDN-01912,APP-AIRDN-1425,APP-AIRDN-1121,mainframe transaction,near real-time,critical,mainframe MQ,Cargo,SRC-AIRDN-INT-023
INT-AIRDN-01913,APP-AIRDN-1432,APP-AIRDN-1138,streaming topic,hourly,standard,cloud integration platform,Corporate Finance,SRC-AIRDN-INT-024
INT-AIRDN-01914,APP-AIRDN-1439,APP-AIRDN-1155,SaaS connector,daily,high,file transfer gateway,Procurement,SRC-AIRDN-INT-025
INT-AIRDN-01915,APP-AIRDN-1446,APP-AIRDN-1172,EDI/message,weekly,standard,data pipeline orchestrator,Technology,SRC-AIRDN-INT-026
INT-AIRDN-01916,APP-AIRDN-1453,APP-AIRDN-1189,database link,event-driven,standard,API gateway,Data and AI,SRC-AIRDN-INT-027
