vendor_id,vendor_public_reference,vendor_category,strategic_tier,service_tower,primary_function,concentration_note,term_note
VEND-AIRDN-206,Synthetic Supplier 206,data/AI,major supplier,Data Analytics and Integration,Data and AI,standard review,active multi-year
VEND-AIRDN-207,Synthetic Supplier 207,cybersecurity,niche supplier,Cloud Infrastructure and Mainframe,Cybersecurity,high concentration,active multi-year
VEND-AIRDN-208,Synthetic Supplier 208,airline-specific platform,regional provider,Workplace Service Desk and Field Support,Workplace,exit-sensitive,active multi-year
VEND-AIRDN-209,Synthetic Supplier 209,professional services,incumbent provider,SIAM Observability and Service Governance,Service Management,standard review,renewal inside 12 months
VEND-AIRDN-210,Synthetic Supplier 210,AMS,strategic supplier,Airline Operations AMS,Flight Operations,standard review,renewal inside 24 months
VEND-AIRDN-211,Synthetic Supplier 211,IMS,major supplier,Corporate and SAP AMS,Operations Control,standard review,active multi-year
VEND-AIRDN-212,Synthetic Supplier 212,BPO-adjacent,niche supplier,Digital Customer and Loyalty AMS,Crew Operations,standard review,active multi-year
VEND-AIRDN-213,Synthetic Supplier 213,SaaS/software,regional provider,Data Analytics and Integration,Technical Operations,standard review,active multi-year
VEND-AIRDN-214,Synthetic Supplier 214,telecom/network,incumbent provider,Cloud Infrastructure and Mainframe,Airport Operations,standard review,active multi-year
VEND-AIRDN-215,Synthetic Supplier 215,cloud/infrastructure,strategic supplier,Workplace Service Desk and Field Support,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-216,Synthetic Supplier 216,data/AI,major supplier,SIAM Observability and Service Governance,Commercial,high concentration,active multi-year
VEND-AIRDN-217,Synthetic Supplier 217,cybersecurity,niche supplier,Airline Operations AMS,Cargo,standard review,active multi-year
VEND-AIRDN-218,Synthetic Supplier 218,airline-specific platform,regional provider,Corporate and SAP AMS,Corporate Finance,standard review,active multi-year
VEND-AIRDN-219,Synthetic Supplier 219,professional services,incumbent provider,Digital Customer and Loyalty AMS,Procurement,standard review,active multi-year
VEND-AIRDN-220,Synthetic Supplier 220,AMS,strategic supplier,Data Analytics and Integration,Technology,standard review,renewal inside 12 months
VEND-AIRDN-221,Synthetic Supplier 221,IMS,major supplier,Cloud Infrastructure and Mainframe,Data and AI,exit-sensitive,active multi-year
VEND-AIRDN-222,Synthetic Supplier 222,BPO-adjacent,niche supplier,Workplace Service Desk and Field Support,Cybersecurity,standard review,active multi-year
VEND-AIRDN-223,Synthetic Supplier 223,SaaS/software,regional provider,SIAM Observability and Service Governance,Workplace,standard review,active multi-year
VEND-AIRDN-224,Synthetic Supplier 224,telecom/network,incumbent provider,Airline Operations AMS,Service Management,standard review,active multi-year
VEND-AIRDN-225,Synthetic Supplier 225,cloud/infrastructure,strategic supplier,Corporate and SAP AMS,Flight Operations,high concentration,renewal inside 24 months
VEND-AIRDN-226,Synthetic Supplier 226,data/AI,major supplier,Digital Customer and Loyalty AMS,Operations Control,standard review,active multi-year
VEND-AIRDN-227,Synthetic Supplier 227,cybersecurity,niche supplier,Data Analytics and Integration,Crew Operations,standard review,active multi-year
VEND-AIRDN-228,Synthetic Supplier 228,airline-specific platform,regional provider,Cloud Infrastructure and Mainframe,Technical Operations,standard review,active multi-year
VEND-AIRDN-229,Synthetic Supplier 229,professional services,incumbent provider,Workplace Service Desk and Field Support,Airport Operations,standard review,active multi-year
VEND-AIRDN-230,Synthetic Supplier 230,AMS,strategic supplier,SIAM Observability and Service Governance,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-231,Synthetic Supplier 231,IMS,major supplier,Airline Operations AMS,Commercial,standard review,renewal inside 12 months
VEND-AIRDN-232,Synthetic Supplier 232,BPO-adjacent,niche supplier,Corporate and SAP AMS,Cargo,standard review,active multi-year
VEND-AIRDN-233,Synthetic Supplier 233,SaaS/software,regional provider,Digital Customer and Loyalty AMS,Corporate Finance,standard review,active multi-year
VEND-AIRDN-234,Synthetic Supplier 234,telecom/network,incumbent provider,Data Analytics and Integration,Procurement,high concentration,active multi-year
VEND-AIRDN-235,Synthetic Supplier 235,cloud/infrastructure,strategic supplier,Cloud Infrastructure and Mainframe,Technology,standard review,renewal inside 24 months
VEND-AIRDN-236,Synthetic Supplier 236,data/AI,major supplier,Workplace Service Desk and Field Support,Data and AI,standard review,active multi-year
VEND-AIRDN-237,Synthetic Supplier 237,cybersecurity,niche supplier,SIAM Observability and Service Governance,Cybersecurity,standard review,active multi-year
VEND-AIRDN-238,Synthetic Supplier 238,airline-specific platform,regional provider,Airline Operations AMS,Workplace,standard review,active multi-year
VEND-AIRDN-239,Synthetic Supplier 239,professional services,incumbent provider,Corporate and SAP AMS,Service Management,standard review,active multi-year
VEND-AIRDN-240,Synthetic Supplier 240,AMS,strategic supplier,Digital Customer and Loyalty AMS,Flight Operations,standard review,renewal inside 24 months
VEND-AIRDN-241,Synthetic Supplier 241,IMS,major supplier,Data Analytics and Integration,Operations Control,standard review,active multi-year
VEND-AIRDN-242,Synthetic Supplier 242,BPO-adjacent,niche supplier,Cloud Infrastructure and Mainframe,Crew Operations,standard review,renewal inside 12 months
VEND-AIRDN-243,Synthetic Supplier 243,SaaS/software,regional provider,Workplace Service Desk and Field Support,Technical Operations,high concentration,active multi-year
VEND-AIRDN-244,Synthetic Supplier 244,telecom/network,incumbent provider,SIAM Observability and Service Governance,Airport Operations,standard review,active multi-year
VEND-AIRDN-245,Synthetic Supplier 245,cloud/infrastructure,strategic supplier,Airline Operations AMS,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-246,Synthetic Supplier 246,data/AI,major supplier,Corporate and SAP AMS,Commercial,standard review,active multi-year
VEND-AIRDN-247,Synthetic Supplier 247,cybersecurity,niche supplier,Digital Customer and Loyalty AMS,Cargo,exit-sensitive,active multi-year
VEND-AIRDN-248,Synthetic Supplier 248,airline-specific platform,regional provider,Data Analytics and Integration,Corporate Finance,standard review,active multi-year
VEND-AIRDN-249,Synthetic Supplier 249,professional services,incumbent provider,Cloud Infrastructure and Mainframe,Procurement,standard review,active multi-year
VEND-AIRDN-250,Synthetic Supplier 250,AMS,strategic supplier,Workplace Service Desk and Field Support,Technology,standard review,renewal inside 24 months
VEND-AIRDN-251,Synthetic Supplier 251,IMS,major supplier,SIAM Observability and Service Governance,Data and AI,standard review,active multi-year
VEND-AIRDN-252,Synthetic Supplier 252,BPO-adjacent,niche supplier,Airline Operations AMS,Cybersecurity,high concentration,active multi-year
VEND-AIRDN-253,Synthetic Supplier 253,SaaS/software,regional provider,Corporate and SAP AMS,Workplace,standard review,renewal inside 12 months
VEND-AIRDN-254,Synthetic Supplier 254,telecom/network,incumbent provider,Digital Customer and Loyalty AMS,Service Management,standard review,active multi-year
VEND-AIRDN-255,Synthetic Supplier 255,cloud/infrastructure,strategic supplier,Data Analytics and Integration,Flight Operations,standard review,renewal inside 24 months
VEND-AIRDN-256,Synthetic Supplier 256,data/AI,major supplier,Cloud Infrastructure and Mainframe,Operations Control,standard review,active multi-year
VEND-AIRDN-257,Synthetic Supplier 257,cybersecurity,niche supplier,Workplace Service Desk and Field Support,Crew Operations,standard review,active multi-year
VEND-AIRDN-258,Synthetic Supplier 258,airline-specific platform,regional provider,SIAM Observability and Service Governance,Technical Operations,standard review,active multi-year
VEND-AIRDN-259,Synthetic Supplier 259,professional services,incumbent provider,Airline Operations AMS,Airport Operations,standard review,active multi-year
VEND-AIRDN-260,Synthetic Supplier 260,AMS,strategic supplier,Corporate and SAP AMS,Passenger Service,exit-sensitive,renewal inside 24 months
VEND-AIRDN-261,Synthetic Supplier 261,IMS,major supplier,Digital Customer and Loyalty AMS,Commercial,high concentration,active multi-year
VEND-AIRDN-262,Synthetic Supplier 262,BPO-adjacent,niche supplier,Data Analytics and Integration,Cargo,standard review,active multi-year
VEND-AIRDN-263,Synthetic Supplier 263,SaaS/software,regional provider,Cloud Infrastructure and Mainframe,Corporate Finance,standard review,active multi-year
VEND-AIRDN-264,Synthetic Supplier 264,telecom/network,incumbent provider,Workplace Service Desk and Field Support,Procurement,standard review,renewal inside 12 months
VEND-AIRDN-265,Synthetic Supplier 265,cloud/infrastructure,strategic supplier,SIAM Observability and Service Governance,Technology,standard review,renewal inside 24 months
VEND-AIRDN-266,Synthetic Supplier 266,data/AI,major supplier,Airline Operations AMS,Data and AI,standard review,active multi-year
VEND-AIRDN-267,Synthetic Supplier 267,cybersecurity,niche supplier,Corporate and SAP AMS,Cybersecurity,standard review,active multi-year
VEND-AIRDN-268,Synthetic Supplier 268,airline-specific platform,regional provider,Digital Customer and Loyalty AMS,Workplace,standard review,active multi-year
VEND-AIRDN-269,Synthetic Supplier 269,professional services,incumbent provider,Data Analytics and Integration,Service Management,standard review,active multi-year
VEND-AIRDN-270,Synthetic Supplier 270,AMS,strategic supplier,Cloud Infrastructure and Mainframe,Flight Operations,high concentration,renewal inside 24 months
VEND-AIRDN-271,Synthetic Supplier 271,IMS,major supplier,Workplace Service Desk and Field Support,Operations Control,standard review,active multi-year
VEND-AIRDN-272,Synthetic Supplier 272,BPO-adjacent,niche supplier,SIAM Observability and Service Governance,Crew Operations,standard review,active multi-year
VEND-AIRDN-273,Synthetic Supplier 273,SaaS/software,regional provider,Airline Operations AMS,Technical Operations,exit-sensitive,active multi-year
VEND-AIRDN-274,Synthetic Supplier 274,telecom/network,incumbent provider,Corporate and SAP AMS,Airport Operations,standard review,active multi-year
VEND-AIRDN-275,Synthetic Supplier 275,cloud/infrastructure,strategic supplier,Digital Customer and Loyalty AMS,Passenger Service,standard review,renewal inside 12 months
VEND-AIRDN-276,Synthetic Supplier 276,data/AI,major supplier,Data Analytics and Integration,Commercial,standard review,active multi-year
VEND-AIRDN-277,Synthetic Supplier 277,cybersecurity,niche supplier,Cloud Infrastructure and Mainframe,Cargo,standard review,active multi-year
VEND-AIRDN-278,Synthetic Supplier 278,airline-specific platform,regional provider,Workplace Service Desk and Field Support,Corporate Finance,standard review,active multi-year
VEND-AIRDN-279,Synthetic Supplier 279,professional services,incumbent provider,SIAM Observability and Service Governance,Procurement,high concentration,active multi-year
VEND-AIRDN-280,Synthetic Supplier 280,AMS,strategic supplier,Airline Operations AMS,Technology,standard review,renewal inside 24 months
VEND-AIRDN-281,Synthetic Supplier 281,IMS,major supplier,Corporate and SAP AMS,Data and AI,standard review,active multi-year
VEND-AIRDN-282,Synthetic Supplier 282,BPO-adjacent,niche supplier,Digital Customer and Loyalty AMS,Cybersecurity,standard review,active multi-year
VEND-AIRDN-283,Synthetic Supplier 283,SaaS/software,regional provider,Data Analytics and Integration,Workplace,standard review,active multi-year
VEND-AIRDN-284,Synthetic Supplier 284,telecom/network,incumbent provider,Cloud Infrastructure and Mainframe,Service Management,standard review,active multi-year
VEND-AIRDN-285,Synthetic Supplier 285,cloud/infrastructure,strategic supplier,Workplace Service Desk and Field Support,Flight Operations,standard review,renewal inside 24 months
VEND-AIRDN-286,Synthetic Supplier 286,data/AI,major supplier,SIAM Observability and Service Governance,Operations Control,exit-sensitive,renewal inside 12 months
VEND-AIRDN-287,Synthetic Supplier 287,cybersecurity,niche supplier,Airline Operations AMS,Crew Operations,standard review,active multi-year
VEND-AIRDN-288,Synthetic Supplier 288,airline-specific platform,regional provider,Corporate and SAP AMS,Technical Operations,high concentration,active multi-year
VEND-AIRDN-289,Synthetic Supplier 289,professional services,incumbent provider,Digital Customer and Loyalty AMS,Airport Operations,standard review,active multi-year
VEND-AIRDN-290,Synthetic Supplier 290,AMS,strategic supplier,Data Analytics and Integration,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-291,Synthetic Supplier 291,IMS,major supplier,Cloud Infrastructure and Mainframe,Commercial,standard review,active multi-year
VEND-AIRDN-292,Synthetic Supplier 292,BPO-adjacent,niche supplier,Workplace Service Desk and Field Support,Cargo,standard review,active multi-year
VEND-AIRDN-293,Synthetic Supplier 293,SaaS/software,regional provider,SIAM Observability and Service Governance,Corporate Finance,standard review,active multi-year
VEND-AIRDN-294,Synthetic Supplier 294,telecom/network,incumbent provider,Airline Operations AMS,Procurement,standard review,active multi-year
VEND-AIRDN-295,Synthetic Supplier 295,cloud/infrastructure,strategic supplier,Corporate and SAP AMS,Technology,standard review,renewal inside 24 months
VEND-AIRDN-296,Synthetic Supplier 296,data/AI,major supplier,Digital Customer and Loyalty AMS,Data and AI,standard review,active multi-year
VEND-AIRDN-297,Synthetic Supplier 297,cybersecurity,niche supplier,Data Analytics and Integration,Cybersecurity,high concentration,renewal inside 12 months
VEND-AIRDN-298,Synthetic Supplier 298,airline-specific platform,regional provider,Cloud Infrastructure and Mainframe,Workplace,standard review,active multi-year
VEND-AIRDN-299,Synthetic Supplier 299,professional services,incumbent provider,Workplace Service Desk and Field Support,Service Management,exit-sensitive,active multi-year
VEND-AIRDN-300,Synthetic Supplier 300,AMS,strategic supplier,SIAM Observability and Service Governance,Flight Operations,standard review,renewal inside 24 months
VEND-AIRDN-301,Synthetic Supplier 301,IMS,major supplier,Airline Operations AMS,Operations Control,standard review,active multi-year
VEND-AIRDN-302,Synthetic Supplier 302,BPO-adjacent,niche supplier,Corporate and SAP AMS,Crew Operations,standard review,active multi-year
VEND-AIRDN-303,Synthetic Supplier 303,SaaS/software,regional provider,Digital Customer and Loyalty AMS,Technical Operations,standard review,active multi-year
VEND-AIRDN-304,Synthetic Supplier 304,telecom/network,incumbent provider,Data Analytics and Integration,Airport Operations,standard review,active multi-year
VEND-AIRDN-305,Synthetic Supplier 305,cloud/infrastructure,strategic supplier,Cloud Infrastructure and Mainframe,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-306,Synthetic Supplier 306,data/AI,major supplier,Workplace Service Desk and Field Support,Commercial,high concentration,active multi-year
VEND-AIRDN-307,Synthetic Supplier 307,cybersecurity,niche supplier,SIAM Observability and Service Governance,Cargo,standard review,active multi-year
VEND-AIRDN-308,Synthetic Supplier 308,airline-specific platform,regional provider,Airline Operations AMS,Corporate Finance,standard review,renewal inside 12 months
VEND-AIRDN-309,Synthetic Supplier 309,professional services,incumbent provider,Corporate and SAP AMS,Procurement,standard review,active multi-year
VEND-AIRDN-310,Synthetic Supplier 310,AMS,strategic supplier,Digital Customer and Loyalty AMS,Technology,standard review,renewal inside 24 months
VEND-AIRDN-311,Synthetic Supplier 311,IMS,major supplier,Data Analytics and Integration,Data and AI,standard review,active multi-year
VEND-AIRDN-312,Synthetic Supplier 312,BPO-adjacent,niche supplier,Cloud Infrastructure and Mainframe,Cybersecurity,exit-sensitive,active multi-year
VEND-AIRDN-313,Synthetic Supplier 313,SaaS/software,regional provider,Workplace Service Desk and Field Support,Workplace,standard review,active multi-year
VEND-AIRDN-314,Synthetic Supplier 314,telecom/network,incumbent provider,SIAM Observability and Service Governance,Service Management,standard review,active multi-year
VEND-AIRDN-315,Synthetic Supplier 315,cloud/infrastructure,strategic supplier,Airline Operations AMS,Flight Operations,high concentration,renewal inside 24 months
VEND-AIRDN-316,Synthetic Supplier 316,data/AI,major supplier,Corporate and SAP AMS,Operations Control,standard review,active multi-year
VEND-AIRDN-317,Synthetic Supplier 317,cybersecurity,niche supplier,Digital Customer and Loyalty AMS,Crew Operations,standard review,active multi-year
VEND-AIRDN-318,Synthetic Supplier 318,airline-specific platform,regional provider,Data Analytics and Integration,Technical Operations,standard review,active multi-year
VEND-AIRDN-319,Synthetic Supplier 319,professional services,incumbent provider,Cloud Infrastructure and Mainframe,Airport Operations,standard review,renewal inside 12 months
VEND-AIRDN-320,Synthetic Supplier 320,AMS,strategic supplier,Workplace Service Desk and Field Support,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-321,Synthetic Supplier 321,IMS,major supplier,SIAM Observability and Service Governance,Commercial,standard review,active multi-year
VEND-AIRDN-322,Synthetic Supplier 322,BPO-adjacent,niche supplier,Airline Operations AMS,Cargo,standard review,active multi-year
VEND-AIRDN-323,Synthetic Supplier 323,SaaS/software,regional provider,Corporate and SAP AMS,Corporate Finance,standard review,active multi-year
VEND-AIRDN-324,Synthetic Supplier 324,telecom/network,incumbent provider,Digital Customer and Loyalty AMS,Procurement,high concentration,active multi-year
VEND-AIRDN-325,Synthetic Supplier 325,cloud/infrastructure,strategic supplier,Data Analytics and Integration,Technology,exit-sensitive,renewal inside 24 months
VEND-AIRDN-326,Synthetic Supplier 326,data/AI,major supplier,Cloud Infrastructure and Mainframe,Data and AI,standard review,active multi-year
VEND-AIRDN-327,Synthetic Supplier 327,cybersecurity,niche supplier,Workplace Service Desk and Field Support,Cybersecurity,standard review,active multi-year
VEND-AIRDN-328,Synthetic Supplier 328,airline-specific platform,regional provider,SIAM Observability and Service Governance,Workplace,standard review,active multi-year
VEND-AIRDN-329,Synthetic Supplier 329,professional services,incumbent provider,Airline Operations AMS,Service Management,standard review,active multi-year
VEND-AIRDN-330,Synthetic Supplier 330,AMS,strategic supplier,Corporate and SAP AMS,Flight Operations,standard review,renewal inside 12 months
VEND-AIRDN-331,Synthetic Supplier 331,IMS,major supplier,Digital Customer and Loyalty AMS,Operations Control,standard review,active multi-year
VEND-AIRDN-332,Synthetic Supplier 332,BPO-adjacent,niche supplier,Data Analytics and Integration,Crew Operations,standard review,active multi-year
VEND-AIRDN-333,Synthetic Supplier 333,SaaS/software,regional provider,Cloud Infrastructure and Mainframe,Technical Operations,high concentration,active multi-year
VEND-AIRDN-334,Synthetic Supplier 334,telecom/network,incumbent provider,Workplace Service Desk and Field Support,Airport Operations,standard review,active multi-year
VEND-AIRDN-335,Synthetic Supplier 335,cloud/infrastructure,strategic supplier,SIAM Observability and Service Governance,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-336,Synthetic Supplier 336,data/AI,major supplier,Airline Operations AMS,Commercial,standard review,active multi-year
VEND-AIRDN-337,Synthetic Supplier 337,cybersecurity,niche supplier,Corporate and SAP AMS,Cargo,standard review,active multi-year
VEND-AIRDN-338,Synthetic Supplier 338,airline-specific platform,regional provider,Digital Customer and Loyalty AMS,Corporate Finance,exit-sensitive,active multi-year
VEND-AIRDN-339,Synthetic Supplier 339,professional services,incumbent provider,Data Analytics and Integration,Procurement,standard review,active multi-year
VEND-AIRDN-340,Synthetic Supplier 340,AMS,strategic supplier,Cloud Infrastructure and Mainframe,Technology,standard review,renewal inside 24 months
VEND-AIRDN-341,Synthetic Supplier 341,IMS,major supplier,Workplace Service Desk and Field Support,Data and AI,standard review,renewal inside 12 months
VEND-AIRDN-342,Synthetic Supplier 342,BPO-adjacent,niche supplier,SIAM Observability and Service Governance,Cybersecurity,high concentration,active multi-year
VEND-AIRDN-343,Synthetic Supplier 343,SaaS/software,regional provider,Airline Operations AMS,Workplace,standard review,active multi-year
VEND-AIRDN-344,Synthetic Supplier 344,telecom/network,incumbent provider,Corporate and SAP AMS,Service Management,standard review,active multi-year
VEND-AIRDN-345,Synthetic Supplier 345,cloud/infrastructure,strategic supplier,Digital Customer and Loyalty AMS,Flight Operations,standard review,renewal inside 24 months
VEND-AIRDN-346,Synthetic Supplier 346,data/AI,major supplier,Data Analytics and Integration,Operations Control,standard review,active multi-year
VEND-AIRDN-347,Synthetic Supplier 347,cybersecurity,niche supplier,Cloud Infrastructure and Mainframe,Crew Operations,standard review,active multi-year
VEND-AIRDN-348,Synthetic Supplier 348,airline-specific platform,regional provider,Workplace Service Desk and Field Support,Technical Operations,standard review,active multi-year
VEND-AIRDN-349,Synthetic Supplier 349,professional services,incumbent provider,SIAM Observability and Service Governance,Airport Operations,standard review,active multi-year
VEND-AIRDN-350,Synthetic Supplier 350,AMS,strategic supplier,Airline Operations AMS,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-351,Synthetic Supplier 351,IMS,major supplier,Corporate and SAP AMS,Commercial,high concentration,active multi-year
VEND-AIRDN-352,Synthetic Supplier 352,BPO-adjacent,niche supplier,Digital Customer and Loyalty AMS,Cargo,standard review,renewal inside 12 months
VEND-AIRDN-353,Synthetic Supplier 353,SaaS/software,regional provider,Data Analytics and Integration,Corporate Finance,standard review,active multi-year
VEND-AIRDN-354,Synthetic Supplier 354,telecom/network,incumbent provider,Cloud Infrastructure and Mainframe,Procurement,standard review,active multi-year
VEND-AIRDN-355,Synthetic Supplier 355,cloud/infrastructure,strategic supplier,Workplace Service Desk and Field Support,Technology,standard review,renewal inside 24 months
VEND-AIRDN-356,Synthetic Supplier 356,data/AI,major supplier,SIAM Observability and Service Governance,Data and AI,standard review,active multi-year
VEND-AIRDN-357,Synthetic Supplier 357,cybersecurity,niche supplier,Airline Operations AMS,Cybersecurity,standard review,active multi-year
VEND-AIRDN-358,Synthetic Supplier 358,airline-specific platform,regional provider,Corporate and SAP AMS,Workplace,standard review,active multi-year
VEND-AIRDN-359,Synthetic Supplier 359,professional services,incumbent provider,Digital Customer and Loyalty AMS,Service Management,standard review,active multi-year
VEND-AIRDN-360,Synthetic Supplier 360,AMS,strategic supplier,Data Analytics and Integration,Flight Operations,high concentration,renewal inside 24 months
VEND-AIRDN-361,Synthetic Supplier 361,IMS,major supplier,Cloud Infrastructure and Mainframe,Operations Control,standard review,active multi-year
VEND-AIRDN-362,Synthetic Supplier 362,BPO-adjacent,niche supplier,Workplace Service Desk and Field Support,Crew Operations,standard review,active multi-year
VEND-AIRDN-363,Synthetic Supplier 363,SaaS/software,regional provider,SIAM Observability and Service Governance,Technical Operations,standard review,renewal inside 12 months
VEND-AIRDN-364,Synthetic Supplier 364,telecom/network,incumbent provider,Airline Operations AMS,Airport Operations,exit-sensitive,active multi-year
VEND-AIRDN-365,Synthetic Supplier 365,cloud/infrastructure,strategic supplier,Corporate and SAP AMS,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-366,Synthetic Supplier 366,data/AI,major supplier,Digital Customer and Loyalty AMS,Commercial,standard review,active multi-year
VEND-AIRDN-367,Synthetic Supplier 367,cybersecurity,niche supplier,Data Analytics and Integration,Cargo,standard review,active multi-year
VEND-AIRDN-368,Synthetic Supplier 368,airline-specific platform,regional provider,Cloud Infrastructure and Mainframe,Corporate Finance,standard review,active multi-year
VEND-AIRDN-369,Synthetic Supplier 369,professional services,incumbent provider,Workplace Service Desk and Field Support,Procurement,high concentration,active multi-year
VEND-AIRDN-370,Synthetic Supplier 370,AMS,strategic supplier,SIAM Observability and Service Governance,Technology,standard review,renewal inside 24 months
VEND-AIRDN-371,Synthetic Supplier 371,IMS,major supplier,Airline Operations AMS,Data and AI,standard review,active multi-year
VEND-AIRDN-372,Synthetic Supplier 372,BPO-adjacent,niche supplier,Corporate and SAP AMS,Cybersecurity,standard review,active multi-year
VEND-AIRDN-373,Synthetic Supplier 373,SaaS/software,regional provider,Digital Customer and Loyalty AMS,Workplace,standard review,active multi-year
VEND-AIRDN-374,Synthetic Supplier 374,telecom/network,incumbent provider,Data Analytics and Integration,Service Management,standard review,renewal inside 12 months
VEND-AIRDN-375,Synthetic Supplier 375,cloud/infrastructure,strategic supplier,Cloud Infrastructure and Mainframe,Flight Operations,standard review,renewal inside 24 months
VEND-AIRDN-376,Synthetic Supplier 376,data/AI,major supplier,Workplace Service Desk and Field Support,Operations Control,standard review,active multi-year
VEND-AIRDN-377,Synthetic Supplier 377,cybersecurity,niche supplier,SIAM Observability and Service Governance,Crew Operations,exit-sensitive,active multi-year
VEND-AIRDN-378,Synthetic Supplier 378,airline-specific platform,regional provider,Airline Operations AMS,Technical Operations,high concentration,active multi-year
VEND-AIRDN-379,Synthetic Supplier 379,professional services,incumbent provider,Corporate and SAP AMS,Airport Operations,standard review,active multi-year
VEND-AIRDN-380,Synthetic Supplier 380,AMS,strategic supplier,Digital Customer and Loyalty AMS,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-381,Synthetic Supplier 381,IMS,major supplier,Data Analytics and Integration,Commercial,standard review,active multi-year
VEND-AIRDN-382,Synthetic Supplier 382,BPO-adjacent,niche supplier,Cloud Infrastructure and Mainframe,Cargo,standard review,active multi-year
VEND-AIRDN-383,Synthetic Supplier 383,SaaS/software,regional provider,Workplace Service Desk and Field Support,Corporate Finance,standard review,active multi-year
VEND-AIRDN-384,Synthetic Supplier 384,telecom/network,incumbent provider,SIAM Observability and Service Governance,Procurement,standard review,active multi-year
VEND-AIRDN-385,Synthetic Supplier 385,cloud/infrastructure,strategic supplier,Airline Operations AMS,Technology,standard review,renewal inside 12 months
VEND-AIRDN-386,Synthetic Supplier 386,data/AI,major supplier,Corporate and SAP AMS,Data and AI,standard review,active multi-year
VEND-AIRDN-387,Synthetic Supplier 387,cybersecurity,niche supplier,Digital Customer and Loyalty AMS,Cybersecurity,high concentration,active multi-year
VEND-AIRDN-388,Synthetic Supplier 388,airline-specific platform,regional provider,Data Analytics and Integration,Workplace,standard review,active multi-year
VEND-AIRDN-389,Synthetic Supplier 389,professional services,incumbent provider,Cloud Infrastructure and Mainframe,Service Management,standard review,active multi-year
VEND-AIRDN-390,Synthetic Supplier 390,AMS,strategic supplier,Workplace Service Desk and Field Support,Flight Operations,exit-sensitive,renewal inside 24 months
VEND-AIRDN-391,Synthetic Supplier 391,IMS,major supplier,SIAM Observability and Service Governance,Operations Control,standard review,active multi-year
VEND-AIRDN-392,Synthetic Supplier 392,BPO-adjacent,niche supplier,Airline Operations AMS,Crew Operations,standard review,active multi-year
VEND-AIRDN-393,Synthetic Supplier 393,SaaS/software,regional provider,Corporate and SAP AMS,Technical Operations,standard review,active multi-year
VEND-AIRDN-394,Synthetic Supplier 394,telecom/network,incumbent provider,Digital Customer and Loyalty AMS,Airport Operations,standard review,active multi-year
VEND-AIRDN-395,Synthetic Supplier 395,cloud/infrastructure,strategic supplier,Data Analytics and Integration,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-396,Synthetic Supplier 396,data/AI,major supplier,Cloud Infrastructure and Mainframe,Commercial,high concentration,renewal inside 12 months
VEND-AIRDN-397,Synthetic Supplier 397,cybersecurity,niche supplier,Workplace Service Desk and Field Support,Cargo,standard review,active multi-year
VEND-AIRDN-398,Synthetic Supplier 398,airline-specific platform,regional provider,SIAM Observability and Service Governance,Corporate Finance,standard review,active multi-year
VEND-AIRDN-399,Synthetic Supplier 399,professional services,incumbent provider,Airline Operations AMS,Procurement,standard review,active multi-year
VEND-AIRDN-400,Synthetic Supplier 400,AMS,strategic supplier,Corporate and SAP AMS,Technology,standard review,renewal inside 24 months
VEND-AIRDN-401,Synthetic Supplier 401,IMS,major supplier,Digital Customer and Loyalty AMS,Data and AI,standard review,active multi-year
VEND-AIRDN-402,Synthetic Supplier 402,BPO-adjacent,niche supplier,Data Analytics and Integration,Cybersecurity,standard review,active multi-year
VEND-AIRDN-403,Synthetic Supplier 403,SaaS/software,regional provider,Cloud Infrastructure and Mainframe,Workplace,exit-sensitive,active multi-year
VEND-AIRDN-404,Synthetic Supplier 404,telecom/network,incumbent provider,Workplace Service Desk and Field Support,Service Management,standard review,active multi-year
VEND-AIRDN-405,Synthetic Supplier 405,cloud/infrastructure,strategic supplier,SIAM Observability and Service Governance,Flight Operations,high concentration,renewal inside 24 months
VEND-AIRDN-406,Synthetic Supplier 406,data/AI,major supplier,Airline Operations AMS,Operations Control,standard review,active multi-year
VEND-AIRDN-407,Synthetic Supplier 407,cybersecurity,niche supplier,Corporate and SAP AMS,Crew Operations,standard review,renewal inside 12 months
VEND-AIRDN-408,Synthetic Supplier 408,airline-specific platform,regional provider,Digital Customer and Loyalty AMS,Technical Operations,standard review,active multi-year
VEND-AIRDN-409,Synthetic Supplier 409,professional services,incumbent provider,Data Analytics and Integration,Airport Operations,standard review,active multi-year
VEND-AIRDN-410,Synthetic Supplier 410,AMS,strategic supplier,Cloud Infrastructure and Mainframe,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-411,Synthetic Supplier 411,IMS,major supplier,Workplace Service Desk and Field Support,Commercial,standard review,active multi-year
