contract_id,vendor_id,vendor_public_reference,contract_type,service_tower,business_function,scope,term_status,commercial_model,value_disclosure_mode,risk_note,source_id,effective_date,expiration_date,renewal_date,termination_rights,pricing_model,minimum_commitment,rate_card_id,service_credit_terms,inflation_provision,change_control_terms,subcontracting_terms,data_residency,transition_assistance,sla_history_source,invoice_source,change_order_source,lot_id,proposal_id,bafo_revision_id,evaluation_criteria_id
CONT-AIRDN-0102,VEND-AIRDN-295,Synthetic Supplier 295,mainframe software agreement,Cloud Infrastructure and Mainframe,Cybersecurity,airport technology support,active,hybrid fixed + variable,indexed,high exit-term sensitivity,SRC-AIRDN-CONT-007,2021-03-01,2028-06-28,2027-09-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0102,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-03,INV-AIRDN-0102,CO-AIRDN-0006,LOT-AIRDN-03,BID-AIRDN-C-LOT-AIRDN-03,BAFO-BID-AIRDN-C-LOT-AIRDN-03-R2,EVAL-LOT-AIRDN-03
CONT-AIRDN-0103,VEND-AIRDN-302,Synthetic Supplier 302,colocation contract,Workplace Service Desk and Field Support,Workplace,database/middleware ops,renewal within 12 months,committed spend,withheld,standard commercial review,SRC-AIRDN-CONT-008,2022-04-01,2026-07-28,2025-10-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0103,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-04,INV-AIRDN-0103,CO-AIRDN-0007,LOT-AIRDN-04,BID-AIRDN-A-LOT-AIRDN-04,BAFO-BID-AIRDN-A-LOT-AIRDN-04-R1,EVAL-LOT-AIRDN-04
CONT-AIRDN-0104,VEND-AIRDN-309,Synthetic Supplier 309,BPO services SOW,SIAM Observability and Service Governance,Service Management,observability,renewal within 24 months,outcome-linked,exact,standard commercial review,SRC-AIRDN-CONT-009,2023-05-01,2027-08-28,2026-11-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0104,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-05,INV-AIRDN-0104,CO-AIRDN-0008,LOT-AIRDN-05,BID-AIRDN-B-LOT-AIRDN-05,BAFO-BID-AIRDN-B-LOT-AIRDN-05-R2,EVAL-LOT-AIRDN-05
CONT-AIRDN-0105,VEND-AIRDN-316,Synthetic Supplier 316,MSA,Airline Operations AMS,Flight Operations,finance operations,extension option,fixed fee,range,standard commercial review,SRC-AIRDN-CONT-010,2020-06-01,2028-09-28,2027-12-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0105,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-06,INV-AIRDN-0105,CO-AIRDN-0009,LOT-AIRDN-06,BID-AIRDN-C-LOT-AIRDN-06,BAFO-BID-AIRDN-C-LOT-AIRDN-06-R1,EVAL-LOT-AIRDN-06
CONT-AIRDN-0106,VEND-AIRDN-323,Synthetic Supplier 323,SOW,Corporate and SAP AMS,Operations Control,procurement operations,transition assistance required,T&M,indexed,standard commercial review,SRC-AIRDN-CONT-011,2021-07-01,2026-10-28,2025-01-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0106,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-07,INV-AIRDN-0106,CO-AIRDN-0010,LOT-AIRDN-07,BID-AIRDN-A-LOT-AIRDN-07,BAFO-BID-AIRDN-A-LOT-AIRDN-07-R2,EVAL-LOT-AIRDN-07
CONT-AIRDN-0107,VEND-AIRDN-330,Synthetic Supplier 330,rate card,Digital Customer and Loyalty AMS,Crew Operations,customer-contact support,exit rights need review,unit-rate,withheld,standard commercial review,SRC-AIRDN-CONT-012,2022-08-01,2027-11-28,2026-02-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0107,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-08,INV-AIRDN-0107,CO-AIRDN-0011,LOT-AIRDN-08,BID-AIRDN-B-LOT-AIRDN-08,BAFO-BID-AIRDN-B-LOT-AIRDN-08-R1,EVAL-LOT-AIRDN-08
CONT-AIRDN-0108,VEND-AIRDN-337,Synthetic Supplier 337,software subscription,Data Analytics and Integration,Technical Operations,application run/enhancement,active,consumption,exact,high exit-term sensitivity,SRC-AIRDN-CONT-013,2023-09-01,2028-12-28,2027-03-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0108,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-09,INV-AIRDN-0108,CO-AIRDN-0012,LOT-AIRDN-09,BID-AIRDN-C-LOT-AIRDN-09,BAFO-BID-AIRDN-C-LOT-AIRDN-09-R2,EVAL-LOT-AIRDN-09
CONT-AIRDN-0109,VEND-AIRDN-344,Synthetic Supplier 344,managed service agreement,Cloud Infrastructure and Mainframe,Airport Operations,SAP AMS,renewal within 12 months,hybrid fixed + variable,range,standard commercial review,SRC-AIRDN-CONT-014,2020-01-01,2026-01-28,2025-04-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0109,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-01,INV-AIRDN-0109,CO-AIRDN-0013,LOT-AIRDN-01,BID-AIRDN-A-LOT-AIRDN-01,BAFO-BID-AIRDN-A-LOT-AIRDN-01-R1,EVAL-LOT-AIRDN-01
CONT-AIRDN-0110,VEND-AIRDN-351,Synthetic Supplier 351,cloud commit,Workplace Service Desk and Field Support,Passenger Service,mainframe AMS,renewal within 24 months,committed spend,indexed,supplier concentration,SRC-AIRDN-CONT-015,2021-02-01,2027-02-28,2026-05-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0110,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-02,INV-AIRDN-0110,CO-AIRDN-0014,LOT-AIRDN-02,BID-AIRDN-B-LOT-AIRDN-02,BAFO-BID-AIRDN-B-LOT-AIRDN-02-R2,EVAL-LOT-AIRDN-02
CONT-AIRDN-0111,VEND-AIRDN-358,Synthetic Supplier 358,maintenance agreement,SIAM Observability and Service Governance,Commercial,airline operations AMS,extension option,outcome-linked,withheld,standard commercial review,SRC-AIRDN-CONT-016,2022-03-01,2028-03-28,2027-06-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0111,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-03,INV-AIRDN-0111,CO-AIRDN-0015,LOT-AIRDN-03,BID-AIRDN-C-LOT-AIRDN-03,BAFO-BID-AIRDN-C-LOT-AIRDN-03-R1,EVAL-LOT-AIRDN-03
CONT-AIRDN-0112,VEND-AIRDN-365,Synthetic Supplier 365,professional services SOW,Airline Operations AMS,Cargo,digital support,transition assistance required,fixed fee,exact,SLA credit ambiguity,SRC-AIRDN-CONT-017,2023-04-01,2026-04-28,2025-07-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0112,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-04,INV-AIRDN-0112,CO-AIRDN-0016,LOT-AIRDN-04,BID-AIRDN-A-LOT-AIRDN-04,BAFO-BID-AIRDN-A-LOT-AIRDN-04-R2,EVAL-LOT-AIRDN-04
CONT-AIRDN-0113,VEND-AIRDN-372,Synthetic Supplier 372,data platform agreement,Corporate and SAP AMS,Corporate Finance,data platform ops,exit rights need review,T&M,range,standard commercial review,SRC-AIRDN-CONT-018,2020-05-01,2027-05-28,2026-08-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0113,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-05,INV-AIRDN-0113,CO-AIRDN-0017,LOT-AIRDN-05,BID-AIRDN-B-LOT-AIRDN-05,BAFO-BID-AIRDN-B-LOT-AIRDN-05-R1,EVAL-LOT-AIRDN-05
CONT-AIRDN-0114,VEND-AIRDN-379,Synthetic Supplier 379,telecom/network services,Digital Customer and Loyalty AMS,Procurement,testing/QA,active,unit-rate,indexed,high exit-term sensitivity,SRC-AIRDN-CONT-019,2021-06-01,2028-06-28,2027-09-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0114,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-06,INV-AIRDN-0114,CO-AIRDN-0018,LOT-AIRDN-06,BID-AIRDN-C-LOT-AIRDN-06,BAFO-BID-AIRDN-C-LOT-AIRDN-06-R2,EVAL-LOT-AIRDN-06
CONT-AIRDN-0115,VEND-AIRDN-386,Synthetic Supplier 386,cybersecurity services,Data Analytics and Integration,Technology,release management,renewal within 12 months,consumption,withheld,standard commercial review,SRC-AIRDN-CONT-020,2022-07-01,2026-07-28,2025-10-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0115,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-07,INV-AIRDN-0115,CO-AIRDN-0019,LOT-AIRDN-07,BID-AIRDN-A-LOT-AIRDN-07,BAFO-BID-AIRDN-A-LOT-AIRDN-07-R1,EVAL-LOT-AIRDN-07
CONT-AIRDN-0116,VEND-AIRDN-393,Synthetic Supplier 393,ITSM workflow subscription,Cloud Infrastructure and Mainframe,Data and AI,data center ops,renewal within 24 months,hybrid fixed + variable,exact,standard commercial review,SRC-AIRDN-CONT-021,2023-08-01,2027-08-28,2026-11-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0116,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-08,INV-AIRDN-0116,CO-AIRDN-0020,LOT-AIRDN-08,BID-AIRDN-B-LOT-AIRDN-08,BAFO-BID-AIRDN-B-LOT-AIRDN-08-R2,EVAL-LOT-AIRDN-08
CONT-AIRDN-0117,VEND-AIRDN-400,Synthetic Supplier 400,mainframe software agreement,Workplace Service Desk and Field Support,Cybersecurity,network/telecom,extension option,committed spend,range,standard commercial review,SRC-AIRDN-CONT-022,2020-09-01,2028-09-28,2027-12-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0117,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-09,INV-AIRDN-0117,CO-AIRDN-0021,LOT-AIRDN-09,BID-AIRDN-C-LOT-AIRDN-09,BAFO-BID-AIRDN-C-LOT-AIRDN-09-R1,EVAL-LOT-AIRDN-09
CONT-AIRDN-0118,VEND-AIRDN-407,Synthetic Supplier 407,colocation contract,SIAM Observability and Service Governance,Workplace,workplace,transition assistance required,outcome-linked,indexed,standard commercial review,SRC-AIRDN-CONT-023,2021-01-01,2026-10-28,2025-01-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0118,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-01,INV-AIRDN-0118,CO-AIRDN-0022,LOT-AIRDN-01,BID-AIRDN-A-LOT-AIRDN-01,BAFO-BID-AIRDN-A-LOT-AIRDN-01-R2,EVAL-LOT-AIRDN-01
CONT-AIRDN-0119,VEND-AIRDN-414,Synthetic Supplier 414,BPO services SOW,Airline Operations AMS,Service Management,service desk,exit rights need review,fixed fee,withheld,standard commercial review,SRC-AIRDN-CONT-024,2022-02-01,2027-11-28,2026-02-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0119,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-02,INV-AIRDN-0119,CO-AIRDN-0023,LOT-AIRDN-02,BID-AIRDN-B-LOT-AIRDN-02,BAFO-BID-AIRDN-B-LOT-AIRDN-02-R1,EVAL-LOT-AIRDN-02
CONT-AIRDN-0120,VEND-AIRDN-001,Synthetic Supplier 001,MSA,Corporate and SAP AMS,Flight Operations,airport technology support,active,T&M,exact,high exit-term sensitivity,SRC-AIRDN-CONT-025,2023-03-01,2028-12-28,2027-03-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0120,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-03,INV-AIRDN-0120,CO-AIRDN-0024,LOT-AIRDN-03,BID-AIRDN-C-LOT-AIRDN-03,BAFO-BID-AIRDN-C-LOT-AIRDN-03-R2,EVAL-LOT-AIRDN-03
CONT-AIRDN-0121,VEND-AIRDN-008,Synthetic Supplier 008,SOW,Digital Customer and Loyalty AMS,Operations Control,database/middleware ops,renewal within 12 months,unit-rate,range,standard commercial review,SRC-AIRDN-CONT-026,2020-04-01,2026-01-28,2025-04-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0121,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-04,INV-AIRDN-0121,CO-AIRDN-0025,LOT-AIRDN-04,BID-AIRDN-A-LOT-AIRDN-04,BAFO-BID-AIRDN-A-LOT-AIRDN-04-R1,EVAL-LOT-AIRDN-04
CONT-AIRDN-0122,VEND-AIRDN-015,Synthetic Supplier 015,rate card,Data Analytics and Integration,Crew Operations,observability,renewal within 24 months,consumption,indexed,standard commercial review,SRC-AIRDN-CONT-027,2021-05-01,2027-02-28,2026-05-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0122,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-05,INV-AIRDN-0122,CO-AIRDN-0026,LOT-AIRDN-05,BID-AIRDN-B-LOT-AIRDN-05,BAFO-BID-AIRDN-B-LOT-AIRDN-05-R2,EVAL-LOT-AIRDN-05
CONT-AIRDN-0123,VEND-AIRDN-022,Synthetic Supplier 022,software subscription,Cloud Infrastructure and Mainframe,Technical Operations,finance operations,extension option,hybrid fixed + variable,withheld,standard commercial review,SRC-AIRDN-CONT-028,2022-06-01,2028-03-28,2027-06-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0123,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-06,INV-AIRDN-0123,CO-AIRDN-0027,LOT-AIRDN-06,BID-AIRDN-C-LOT-AIRDN-06,BAFO-BID-AIRDN-C-LOT-AIRDN-06-R1,EVAL-LOT-AIRDN-06
CONT-AIRDN-0124,VEND-AIRDN-029,Synthetic Supplier 029,managed service agreement,Workplace Service Desk and Field Support,Airport Operations,procurement operations,transition assistance required,committed spend,exact,standard commercial review,SRC-AIRDN-CONT-029,2023-07-01,2026-04-28,2025-07-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0124,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-07,INV-AIRDN-0124,CO-AIRDN-0028,LOT-AIRDN-07,BID-AIRDN-A-LOT-AIRDN-07,BAFO-BID-AIRDN-A-LOT-AIRDN-07-R2,EVAL-LOT-AIRDN-07
CONT-AIRDN-0125,VEND-AIRDN-036,Synthetic Supplier 036,cloud commit,SIAM Observability and Service Governance,Passenger Service,customer-contact support,exit rights need review,outcome-linked,range,standard commercial review,SRC-AIRDN-CONT-030,2020-08-01,2027-05-28,2026-08-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0125,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-08,INV-AIRDN-0125,CO-AIRDN-0029,LOT-AIRDN-08,BID-AIRDN-B-LOT-AIRDN-08,BAFO-BID-AIRDN-B-LOT-AIRDN-08-R1,EVAL-LOT-AIRDN-08
CONT-AIRDN-0126,VEND-AIRDN-043,Synthetic Supplier 043,maintenance agreement,Airline Operations AMS,Commercial,application run/enhancement,active,fixed fee,indexed,high exit-term sensitivity,SRC-AIRDN-CONT-031,2021-09-01,2028-06-28,2027-09-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0126,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-09,INV-AIRDN-0126,CO-AIRDN-0030,LOT-AIRDN-09,BID-AIRDN-C-LOT-AIRDN-09,BAFO-BID-AIRDN-C-LOT-AIRDN-09-R2,EVAL-LOT-AIRDN-09
CONT-AIRDN-0127,VEND-AIRDN-050,Synthetic Supplier 050,professional services SOW,Corporate and SAP AMS,Cargo,SAP AMS,renewal within 12 months,T&M,withheld,standard commercial review,SRC-AIRDN-CONT-032,2022-01-01,2026-07-28,2025-10-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0127,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-01,INV-AIRDN-0127,CO-AIRDN-0031,LOT-AIRDN-01,BID-AIRDN-A-LOT-AIRDN-01,BAFO-BID-AIRDN-A-LOT-AIRDN-01-R1,EVAL-LOT-AIRDN-01
CONT-AIRDN-0128,VEND-AIRDN-057,Synthetic Supplier 057,data platform agreement,Digital Customer and Loyalty AMS,Corporate Finance,mainframe AMS,renewal within 24 months,unit-rate,exact,standard commercial review,SRC-AIRDN-CONT-033,2023-02-01,2027-08-28,2026-11-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0128,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-02,INV-AIRDN-0128,CO-AIRDN-0032,LOT-AIRDN-02,BID-AIRDN-B-LOT-AIRDN-02,BAFO-BID-AIRDN-B-LOT-AIRDN-02-R2,EVAL-LOT-AIRDN-02
CONT-AIRDN-0129,VEND-AIRDN-064,Synthetic Supplier 064,telecom/network services,Data Analytics and Integration,Procurement,airline operations AMS,extension option,consumption,range,standard commercial review,SRC-AIRDN-CONT-034,2020-03-01,2028-09-28,2027-12-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0129,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-03,INV-AIRDN-0129,CO-AIRDN-0033,LOT-AIRDN-03,BID-AIRDN-C-LOT-AIRDN-03,BAFO-BID-AIRDN-C-LOT-AIRDN-03-R1,EVAL-LOT-AIRDN-03
CONT-AIRDN-0130,VEND-AIRDN-071,Synthetic Supplier 071,cybersecurity services,Cloud Infrastructure and Mainframe,Technology,digital support,transition assistance required,hybrid fixed + variable,indexed,supplier concentration,SRC-AIRDN-CONT-035,2021-04-01,2026-10-28,2025-01-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0130,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-04,INV-AIRDN-0130,CO-AIRDN-0034,LOT-AIRDN-04,BID-AIRDN-A-LOT-AIRDN-04,BAFO-BID-AIRDN-A-LOT-AIRDN-04-R2,EVAL-LOT-AIRDN-04
CONT-AIRDN-0131,VEND-AIRDN-078,Synthetic Supplier 078,ITSM workflow subscription,Workplace Service Desk and Field Support,Data and AI,data platform ops,exit rights need review,committed spend,withheld,standard commercial review,SRC-AIRDN-CONT-036,2022-05-01,2027-11-28,2026-02-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0131,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-05,INV-AIRDN-0131,CO-AIRDN-0035,LOT-AIRDN-05,BID-AIRDN-B-LOT-AIRDN-05,BAFO-BID-AIRDN-B-LOT-AIRDN-05-R1,EVAL-LOT-AIRDN-05
CONT-AIRDN-0132,VEND-AIRDN-085,Synthetic Supplier 085,mainframe software agreement,SIAM Observability and Service Governance,Cybersecurity,testing/QA,active,outcome-linked,exact,high exit-term sensitivity,SRC-AIRDN-CONT-037,2023-06-01,2028-12-28,2027-03-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0132,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-06,INV-AIRDN-0132,CO-AIRDN-0036,LOT-AIRDN-06,BID-AIRDN-C-LOT-AIRDN-06,BAFO-BID-AIRDN-C-LOT-AIRDN-06-R2,EVAL-LOT-AIRDN-06
CONT-AIRDN-0133,VEND-AIRDN-092,Synthetic Supplier 092,colocation contract,Airline Operations AMS,Workplace,release management,renewal within 12 months,fixed fee,range,standard commercial review,SRC-AIRDN-CONT-038,2020-07-01,2026-01-28,2025-04-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0133,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-07,INV-AIRDN-0133,CO-AIRDN-0037,LOT-AIRDN-07,BID-AIRDN-A-LOT-AIRDN-07,BAFO-BID-AIRDN-A-LOT-AIRDN-07-R1,EVAL-LOT-AIRDN-07
CONT-AIRDN-0134,VEND-AIRDN-099,Synthetic Supplier 099,BPO services SOW,Corporate and SAP AMS,Service Management,data center ops,renewal within 24 months,T&M,indexed,standard commercial review,SRC-AIRDN-CONT-039,2021-08-01,2027-02-28,2026-05-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0134,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-08,INV-AIRDN-0134,CO-AIRDN-0038,LOT-AIRDN-08,BID-AIRDN-B-LOT-AIRDN-08,BAFO-BID-AIRDN-B-LOT-AIRDN-08-R2,EVAL-LOT-AIRDN-08
CONT-AIRDN-0135,VEND-AIRDN-106,Synthetic Supplier 106,MSA,Digital Customer and Loyalty AMS,Flight Operations,network/telecom,extension option,unit-rate,withheld,standard commercial review,SRC-AIRDN-CONT-040,2022-09-01,2028-03-28,2027-06-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0135,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-09,INV-AIRDN-0135,CO-AIRDN-0039,LOT-AIRDN-09,BID-AIRDN-C-LOT-AIRDN-09,BAFO-BID-AIRDN-C-LOT-AIRDN-09-R1,EVAL-LOT-AIRDN-09
CONT-AIRDN-0136,VEND-AIRDN-113,Synthetic Supplier 113,SOW,Data Analytics and Integration,Operations Control,workplace,transition assistance required,consumption,exact,standard commercial review,SRC-AIRDN-CONT-041,2023-01-01,2026-04-28,2025-07-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0136,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-01,INV-AIRDN-0136,CO-AIRDN-0040,LOT-AIRDN-01,BID-AIRDN-A-LOT-AIRDN-01,BAFO-BID-AIRDN-A-LOT-AIRDN-01-R2,EVAL-LOT-AIRDN-01
CONT-AIRDN-0137,VEND-AIRDN-120,Synthetic Supplier 120,rate card,Cloud Infrastructure and Mainframe,Crew Operations,service desk,exit rights need review,hybrid fixed + variable,range,standard commercial review,SRC-AIRDN-CONT-042,2020-02-01,2027-05-28,2026-08-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0137,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-02,INV-AIRDN-0137,CO-AIRDN-0041,LOT-AIRDN-02,BID-AIRDN-B-LOT-AIRDN-02,BAFO-BID-AIRDN-B-LOT-AIRDN-02-R1,EVAL-LOT-AIRDN-02
CONT-AIRDN-0138,VEND-AIRDN-127,Synthetic Supplier 127,software subscription,Workplace Service Desk and Field Support,Technical Operations,airport technology support,active,committed spend,indexed,high exit-term sensitivity,SRC-AIRDN-CONT-043,2021-03-01,2028-06-28,2027-09-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0138,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-03,INV-AIRDN-0138,CO-AIRDN-0042,LOT-AIRDN-03,BID-AIRDN-C-LOT-AIRDN-03,BAFO-BID-AIRDN-C-LOT-AIRDN-03-R2,EVAL-LOT-AIRDN-03
CONT-AIRDN-0139,VEND-AIRDN-134,Synthetic Supplier 134,managed service agreement,SIAM Observability and Service Governance,Airport Operations,database/middleware ops,renewal within 12 months,outcome-linked,withheld,standard commercial review,SRC-AIRDN-CONT-044,2022-04-01,2026-07-28,2025-10-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0139,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-04,INV-AIRDN-0139,CO-AIRDN-0043,LOT-AIRDN-04,BID-AIRDN-A-LOT-AIRDN-04,BAFO-BID-AIRDN-A-LOT-AIRDN-04-R1,EVAL-LOT-AIRDN-04
