process_id,scenario,process_step,owning_domain,system_dependency,data_dependency,kpi_dependency,current_state_note,source_id
IROPS-AIRDN-0150,hotel/meal provisioning,settle,Flight Operations,APP-AIRDN-1356,DATA-AIRDN-0951,KPI-AIRDN-151,manual workaround today,SRC-AIRDN-OPS-007
IROPS-AIRDN-0151,customer notification,review,Operations Control,APP-AIRDN-1375,DATA-AIRDN-0974,KPI-AIRDN-152,system-supported but evidence required,SRC-AIRDN-OPS-008
IROPS-AIRDN-0152,airport staffing,detect,Crew Operations,APP-AIRDN-1394,DATA-AIRDN-0997,KPI-AIRDN-153,system-supported but evidence required,SRC-AIRDN-OPS-009
IROPS-AIRDN-0153,partner coordination,decide,Technical Operations,APP-AIRDN-1413,DATA-AIRDN-1020,KPI-AIRDN-154,cross-vendor dependency,SRC-AIRDN-OPS-010
IROPS-AIRDN-0154,maintenance event,recover,Airport Operations,APP-AIRDN-1432,DATA-AIRDN-1043,KPI-AIRDN-155,system-supported but evidence required,SRC-AIRDN-OPS-011
IROPS-AIRDN-0155,operations-control decision,communicate,Passenger Service,APP-AIRDN-1451,DATA-AIRDN-1066,KPI-AIRDN-156,manual workaround today,SRC-AIRDN-OPS-012
IROPS-AIRDN-0156,weather disruption,reconcile,Commercial,APP-AIRDN-1470,DATA-AIRDN-1089,KPI-AIRDN-157,system-supported but evidence required,SRC-AIRDN-OPS-013
IROPS-AIRDN-0157,aircraft availability,measure,Cargo,APP-AIRDN-1489,DATA-AIRDN-1112,KPI-AIRDN-158,system-supported but evidence required,SRC-AIRDN-OPS-014
IROPS-AIRDN-0158,crew legality,settle,Corporate Finance,APP-AIRDN-0013,DATA-AIRDN-1135,KPI-AIRDN-159,system-supported but evidence required,SRC-AIRDN-OPS-015
IROPS-AIRDN-0159,gate constraint,review,Procurement,APP-AIRDN-0032,DATA-AIRDN-1158,KPI-AIRDN-160,system-supported but evidence required,SRC-AIRDN-OPS-016
IROPS-AIRDN-0160,passenger reaccommodation,detect,Technology,APP-AIRDN-0051,DATA-AIRDN-1181,KPI-AIRDN-161,manual workaround today,SRC-AIRDN-OPS-017
IROPS-AIRDN-0161,baggage rerouting,decide,Data and AI,APP-AIRDN-0070,DATA-AIRDN-1204,KPI-AIRDN-162,system-supported but evidence required,SRC-AIRDN-OPS-018
IROPS-AIRDN-0162,hotel/meal provisioning,recover,Cybersecurity,APP-AIRDN-0089,DATA-AIRDN-1227,KPI-AIRDN-163,cross-vendor dependency,SRC-AIRDN-OPS-019
IROPS-AIRDN-0163,customer notification,communicate,Workplace,APP-AIRDN-0108,DATA-AIRDN-1250,KPI-AIRDN-164,system-supported but evidence required,SRC-AIRDN-OPS-020
IROPS-AIRDN-0164,airport staffing,reconcile,Service Management,APP-AIRDN-0127,DATA-AIRDN-0023,KPI-AIRDN-165,system-supported but evidence required,SRC-AIRDN-OPS-021
IROPS-AIRDN-0165,partner coordination,measure,Flight Operations,APP-AIRDN-0146,DATA-AIRDN-0046,KPI-AIRDN-166,manual workaround today,SRC-AIRDN-OPS-022
IROPS-AIRDN-0166,maintenance event,settle,Operations Control,APP-AIRDN-0165,DATA-AIRDN-0069,KPI-AIRDN-167,system-supported but evidence required,SRC-AIRDN-OPS-023
IROPS-AIRDN-0167,operations-control decision,review,Crew Operations,APP-AIRDN-0184,DATA-AIRDN-0092,KPI-AIRDN-168,system-supported but evidence required,SRC-AIRDN-OPS-024
IROPS-AIRDN-0168,weather disruption,detect,Technical Operations,APP-AIRDN-0203,DATA-AIRDN-0115,KPI-AIRDN-169,system-supported but evidence required,SRC-AIRDN-OPS-025
IROPS-AIRDN-0169,aircraft availability,decide,Airport Operations,APP-AIRDN-0222,DATA-AIRDN-0138,KPI-AIRDN-170,system-supported but evidence required,SRC-AIRDN-OPS-026
IROPS-AIRDN-0170,crew legality,recover,Passenger Service,APP-AIRDN-0241,DATA-AIRDN-0161,KPI-AIRDN-171,manual workaround today,SRC-AIRDN-OPS-027
IROPS-AIRDN-0171,gate constraint,communicate,Commercial,APP-AIRDN-0260,DATA-AIRDN-0184,KPI-AIRDN-172,cross-vendor dependency,SRC-AIRDN-OPS-028
IROPS-AIRDN-0172,passenger reaccommodation,reconcile,Cargo,APP-AIRDN-0279,DATA-AIRDN-0207,KPI-AIRDN-173,system-supported but evidence required,SRC-AIRDN-OPS-029
IROPS-AIRDN-0173,baggage rerouting,measure,Corporate Finance,APP-AIRDN-0298,DATA-AIRDN-0230,KPI-AIRDN-174,system-supported but evidence required,SRC-AIRDN-OPS-030
IROPS-AIRDN-0174,hotel/meal provisioning,settle,Procurement,APP-AIRDN-0317,DATA-AIRDN-0253,KPI-AIRDN-175,system-supported but evidence required,SRC-AIRDN-OPS-031
IROPS-AIRDN-0175,customer notification,review,Technology,APP-AIRDN-0336,DATA-AIRDN-0276,KPI-AIRDN-176,manual workaround today,SRC-AIRDN-OPS-032
IROPS-AIRDN-0176,airport staffing,detect,Data and AI,APP-AIRDN-0355,DATA-AIRDN-0299,KPI-AIRDN-177,system-supported but evidence required,SRC-AIRDN-OPS-033
IROPS-AIRDN-0177,partner coordination,decide,Cybersecurity,APP-AIRDN-0374,DATA-AIRDN-0322,KPI-AIRDN-178,system-supported but evidence required,SRC-AIRDN-OPS-034
IROPS-AIRDN-0178,maintenance event,recover,Workplace,APP-AIRDN-0393,DATA-AIRDN-0345,KPI-AIRDN-179,system-supported but evidence required,SRC-AIRDN-OPS-035
IROPS-AIRDN-0179,operations-control decision,communicate,Service Management,APP-AIRDN-0412,DATA-AIRDN-0368,KPI-AIRDN-180,system-supported but evidence required,SRC-AIRDN-OPS-036
IROPS-AIRDN-0180,weather disruption,reconcile,Flight Operations,APP-AIRDN-0431,DATA-AIRDN-0391,KPI-AIRDN-181,manual workaround today,SRC-AIRDN-OPS-037
IROPS-AIRDN-0181,aircraft availability,measure,Operations Control,APP-AIRDN-0450,DATA-AIRDN-0414,KPI-AIRDN-182,system-supported but evidence required,SRC-AIRDN-OPS-038
IROPS-AIRDN-0182,crew legality,settle,Crew Operations,APP-AIRDN-0469,DATA-AIRDN-0437,KPI-AIRDN-183,system-supported but evidence required,SRC-AIRDN-OPS-039
IROPS-AIRDN-0183,gate constraint,review,Technical Operations,APP-AIRDN-0488,DATA-AIRDN-0460,KPI-AIRDN-184,system-supported but evidence required,SRC-AIRDN-OPS-040
IROPS-AIRDN-0184,passenger reaccommodation,detect,Airport Operations,APP-AIRDN-0507,DATA-AIRDN-0483,KPI-AIRDN-185,system-supported but evidence required,SRC-AIRDN-OPS-041
IROPS-AIRDN-0185,baggage rerouting,decide,Passenger Service,APP-AIRDN-0526,DATA-AIRDN-0506,KPI-AIRDN-186,manual workaround today,SRC-AIRDN-OPS-042
IROPS-AIRDN-0186,hotel/meal provisioning,recover,Commercial,APP-AIRDN-0545,DATA-AIRDN-0529,KPI-AIRDN-187,system-supported but evidence required,SRC-AIRDN-OPS-043
IROPS-AIRDN-0187,customer notification,communicate,Cargo,APP-AIRDN-0564,DATA-AIRDN-0552,KPI-AIRDN-188,system-supported but evidence required,SRC-AIRDN-OPS-044
IROPS-AIRDN-0188,airport staffing,reconcile,Corporate Finance,APP-AIRDN-0583,DATA-AIRDN-0575,KPI-AIRDN-189,system-supported but evidence required,SRC-AIRDN-OPS-045
IROPS-AIRDN-0189,partner coordination,measure,Procurement,APP-AIRDN-0602,DATA-AIRDN-0598,KPI-AIRDN-190,cross-vendor dependency,SRC-AIRDN-OPS-046
IROPS-AIRDN-0190,maintenance event,settle,Technology,APP-AIRDN-0621,DATA-AIRDN-0621,KPI-AIRDN-191,manual workaround today,SRC-AIRDN-OPS-047
IROPS-AIRDN-0191,operations-control decision,review,Data and AI,APP-AIRDN-0640,DATA-AIRDN-0644,KPI-AIRDN-192,system-supported but evidence required,SRC-AIRDN-OPS-048
IROPS-AIRDN-0192,weather disruption,detect,Cybersecurity,APP-AIRDN-0659,DATA-AIRDN-0667,KPI-AIRDN-193,system-supported but evidence required,SRC-AIRDN-OPS-001
IROPS-AIRDN-0193,aircraft availability,decide,Workplace,APP-AIRDN-0678,DATA-AIRDN-0690,KPI-AIRDN-194,system-supported but evidence required,SRC-AIRDN-OPS-002
IROPS-AIRDN-0194,crew legality,recover,Service Management,APP-AIRDN-0697,DATA-AIRDN-0713,KPI-AIRDN-195,system-supported but evidence required,SRC-AIRDN-OPS-003
IROPS-AIRDN-0195,gate constraint,communicate,Flight Operations,APP-AIRDN-0716,DATA-AIRDN-0736,KPI-AIRDN-196,manual workaround today,SRC-AIRDN-OPS-004
IROPS-AIRDN-0196,passenger reaccommodation,reconcile,Operations Control,APP-AIRDN-0735,DATA-AIRDN-0759,KPI-AIRDN-197,system-supported but evidence required,SRC-AIRDN-OPS-005
IROPS-AIRDN-0197,baggage rerouting,measure,Crew Operations,APP-AIRDN-0754,DATA-AIRDN-0782,KPI-AIRDN-198,system-supported but evidence required,SRC-AIRDN-OPS-006
IROPS-AIRDN-0198,hotel/meal provisioning,settle,Technical Operations,APP-AIRDN-0773,DATA-AIRDN-0805,KPI-AIRDN-199,cross-vendor dependency,SRC-AIRDN-OPS-007
IROPS-AIRDN-0199,customer notification,review,Airport Operations,APP-AIRDN-0792,DATA-AIRDN-0828,KPI-AIRDN-200,system-supported but evidence required,SRC-AIRDN-OPS-008
IROPS-AIRDN-0200,airport staffing,detect,Passenger Service,APP-AIRDN-0811,DATA-AIRDN-0851,KPI-AIRDN-201,manual workaround today,SRC-AIRDN-OPS-009
IROPS-AIRDN-0201,partner coordination,decide,Commercial,APP-AIRDN-0830,DATA-AIRDN-0874,KPI-AIRDN-202,system-supported but evidence required,SRC-AIRDN-OPS-010
IROPS-AIRDN-0202,maintenance event,recover,Cargo,APP-AIRDN-0849,DATA-AIRDN-0897,KPI-AIRDN-203,system-supported but evidence required,SRC-AIRDN-OPS-011
IROPS-AIRDN-0203,operations-control decision,communicate,Corporate Finance,APP-AIRDN-0868,DATA-AIRDN-0920,KPI-AIRDN-204,system-supported but evidence required,SRC-AIRDN-OPS-012
IROPS-AIRDN-0204,weather disruption,reconcile,Procurement,APP-AIRDN-0887,DATA-AIRDN-0943,KPI-AIRDN-205,system-supported but evidence required,SRC-AIRDN-OPS-013
IROPS-AIRDN-0205,aircraft availability,measure,Technology,APP-AIRDN-0906,DATA-AIRDN-0966,KPI-AIRDN-206,manual workaround today,SRC-AIRDN-OPS-014
IROPS-AIRDN-0206,crew legality,settle,Data and AI,APP-AIRDN-0925,DATA-AIRDN-0989,KPI-AIRDN-207,system-supported but evidence required,SRC-AIRDN-OPS-015
IROPS-AIRDN-0207,gate constraint,review,Cybersecurity,APP-AIRDN-0944,DATA-AIRDN-1012,KPI-AIRDN-208,cross-vendor dependency,SRC-AIRDN-OPS-016
IROPS-AIRDN-0208,passenger reaccommodation,detect,Workplace,APP-AIRDN-0963,DATA-AIRDN-1035,KPI-AIRDN-209,system-supported but evidence required,SRC-AIRDN-OPS-017
IROPS-AIRDN-0209,baggage rerouting,decide,Service Management,APP-AIRDN-0982,DATA-AIRDN-1058,KPI-AIRDN-210,system-supported but evidence required,SRC-AIRDN-OPS-018
IROPS-AIRDN-0210,hotel/meal provisioning,recover,Flight Operations,APP-AIRDN-1001,DATA-AIRDN-1081,KPI-AIRDN-211,manual workaround today,SRC-AIRDN-OPS-019
IROPS-AIRDN-0211,customer notification,communicate,Operations Control,APP-AIRDN-1020,DATA-AIRDN-1104,KPI-AIRDN-212,system-supported but evidence required,SRC-AIRDN-OPS-020
IROPS-AIRDN-0212,airport staffing,reconcile,Crew Operations,APP-AIRDN-1039,DATA-AIRDN-1127,KPI-AIRDN-213,system-supported but evidence required,SRC-AIRDN-OPS-021
IROPS-AIRDN-0213,partner coordination,measure,Technical Operations,APP-AIRDN-1058,DATA-AIRDN-1150,KPI-AIRDN-214,system-supported but evidence required,SRC-AIRDN-OPS-022
IROPS-AIRDN-0214,maintenance event,settle,Airport Operations,APP-AIRDN-1077,DATA-AIRDN-1173,KPI-AIRDN-215,system-supported but evidence required,SRC-AIRDN-OPS-023
IROPS-AIRDN-0215,operations-control decision,review,Passenger Service,APP-AIRDN-1096,DATA-AIRDN-1196,KPI-AIRDN-216,manual workaround today,SRC-AIRDN-OPS-024
IROPS-AIRDN-0216,weather disruption,detect,Commercial,APP-AIRDN-1115,DATA-AIRDN-1219,KPI-AIRDN-217,cross-vendor dependency,SRC-AIRDN-OPS-025
IROPS-AIRDN-0217,aircraft availability,decide,Cargo,APP-AIRDN-1134,DATA-AIRDN-1242,KPI-AIRDN-218,system-supported but evidence required,SRC-AIRDN-OPS-026
IROPS-AIRDN-0218,crew legality,recover,Corporate Finance,APP-AIRDN-1153,DATA-AIRDN-0015,KPI-AIRDN-219,system-supported but evidence required,SRC-AIRDN-OPS-027
IROPS-AIRDN-0219,gate constraint,communicate,Procurement,APP-AIRDN-1172,DATA-AIRDN-0038,KPI-AIRDN-220,system-supported but evidence required,SRC-AIRDN-OPS-028
IROPS-AIRDN-0220,passenger reaccommodation,reconcile,Technology,APP-AIRDN-1191,DATA-AIRDN-0061,KPI-AIRDN-221,manual workaround today,SRC-AIRDN-OPS-029
IROPS-AIRDN-0221,baggage rerouting,measure,Data and AI,APP-AIRDN-1210,DATA-AIRDN-0084,KPI-AIRDN-222,system-supported but evidence required,SRC-AIRDN-OPS-030
IROPS-AIRDN-0222,hotel/meal provisioning,settle,Cybersecurity,APP-AIRDN-1229,DATA-AIRDN-0107,KPI-AIRDN-223,system-supported but evidence required,SRC-AIRDN-OPS-031
IROPS-AIRDN-0223,customer notification,review,Workplace,APP-AIRDN-1248,DATA-AIRDN-0130,KPI-AIRDN-224,system-supported but evidence required,SRC-AIRDN-OPS-032
IROPS-AIRDN-0224,airport staffing,detect,Service Management,APP-AIRDN-1267,DATA-AIRDN-0153,KPI-AIRDN-225,system-supported but evidence required,SRC-AIRDN-OPS-033
IROPS-AIRDN-0225,partner coordination,decide,Flight Operations,APP-AIRDN-1286,DATA-AIRDN-0176,KPI-AIRDN-226,manual workaround today,SRC-AIRDN-OPS-034
IROPS-AIRDN-0226,maintenance event,recover,Operations Control,APP-AIRDN-1305,DATA-AIRDN-0199,KPI-AIRDN-227,system-supported but evidence required,SRC-AIRDN-OPS-035
IROPS-AIRDN-0227,operations-control decision,communicate,Crew Operations,APP-AIRDN-1324,DATA-AIRDN-0222,KPI-AIRDN-228,system-supported but evidence required,SRC-AIRDN-OPS-036
IROPS-AIRDN-0228,weather disruption,reconcile,Technical Operations,APP-AIRDN-1343,DATA-AIRDN-0245,KPI-AIRDN-229,system-supported but evidence required,SRC-AIRDN-OPS-037
IROPS-AIRDN-0229,aircraft availability,measure,Airport Operations,APP-AIRDN-1362,DATA-AIRDN-0268,KPI-AIRDN-230,system-supported but evidence required,SRC-AIRDN-OPS-038
IROPS-AIRDN-0230,crew legality,settle,Passenger Service,APP-AIRDN-1381,DATA-AIRDN-0291,KPI-AIRDN-231,manual workaround today,SRC-AIRDN-OPS-039
IROPS-AIRDN-0231,gate constraint,review,Commercial,APP-AIRDN-1400,DATA-AIRDN-0314,KPI-AIRDN-232,system-supported but evidence required,SRC-AIRDN-OPS-040
IROPS-AIRDN-0232,passenger reaccommodation,detect,Cargo,APP-AIRDN-1419,DATA-AIRDN-0337,KPI-AIRDN-233,system-supported but evidence required,SRC-AIRDN-OPS-041
IROPS-AIRDN-0233,baggage rerouting,decide,Corporate Finance,APP-AIRDN-1438,DATA-AIRDN-0360,KPI-AIRDN-234,system-supported but evidence required,SRC-AIRDN-OPS-042
IROPS-AIRDN-0234,hotel/meal provisioning,recover,Procurement,APP-AIRDN-1457,DATA-AIRDN-0383,KPI-AIRDN-235,cross-vendor dependency,SRC-AIRDN-OPS-043
IROPS-AIRDN-0235,customer notification,communicate,Technology,APP-AIRDN-1476,DATA-AIRDN-0406,KPI-AIRDN-236,manual workaround today,SRC-AIRDN-OPS-044
IROPS-AIRDN-0236,airport staffing,reconcile,Data and AI,APP-AIRDN-1495,DATA-AIRDN-0429,KPI-AIRDN-237,system-supported but evidence required,SRC-AIRDN-OPS-045
IROPS-AIRDN-0237,partner coordination,measure,Cybersecurity,APP-AIRDN-0019,DATA-AIRDN-0452,KPI-AIRDN-238,system-supported but evidence required,SRC-AIRDN-OPS-046
IROPS-AIRDN-0238,maintenance event,settle,Workplace,APP-AIRDN-0038,DATA-AIRDN-0475,KPI-AIRDN-239,system-supported but evidence required,SRC-AIRDN-OPS-047
IROPS-AIRDN-0239,operations-control decision,review,Service Management,APP-AIRDN-0057,DATA-AIRDN-0498,KPI-AIRDN-240,system-supported but evidence required,SRC-AIRDN-OPS-048
IROPS-AIRDN-0240,weather disruption,detect,Flight Operations,APP-AIRDN-0076,DATA-AIRDN-0521,KPI-AIRDN-241,manual workaround today,SRC-AIRDN-OPS-001
IROPS-AIRDN-0241,aircraft availability,decide,Operations Control,APP-AIRDN-0095,DATA-AIRDN-0544,KPI-AIRDN-242,system-supported but evidence required,SRC-AIRDN-OPS-002
IROPS-AIRDN-0242,crew legality,recover,Crew Operations,APP-AIRDN-0114,DATA-AIRDN-0567,KPI-AIRDN-243,system-supported but evidence required,SRC-AIRDN-OPS-003
IROPS-AIRDN-0243,gate constraint,communicate,Technical Operations,APP-AIRDN-0133,DATA-AIRDN-0590,KPI-AIRDN-244,cross-vendor dependency,SRC-AIRDN-OPS-004
IROPS-AIRDN-0244,passenger reaccommodation,reconcile,Airport Operations,APP-AIRDN-0152,DATA-AIRDN-0613,KPI-AIRDN-245,system-supported but evidence required,SRC-AIRDN-OPS-005
IROPS-AIRDN-0245,baggage rerouting,measure,Passenger Service,APP-AIRDN-0171,DATA-AIRDN-0636,KPI-AIRDN-246,manual workaround today,SRC-AIRDN-OPS-006
IROPS-AIRDN-0246,hotel/meal provisioning,settle,Commercial,APP-AIRDN-0190,DATA-AIRDN-0659,KPI-AIRDN-247,system-supported but evidence required,SRC-AIRDN-OPS-007
IROPS-AIRDN-0247,customer notification,review,Cargo,APP-AIRDN-0209,DATA-AIRDN-0682,KPI-AIRDN-248,system-supported but evidence required,SRC-AIRDN-OPS-008
IROPS-AIRDN-0248,airport staffing,detect,Corporate Finance,APP-AIRDN-0228,DATA-AIRDN-0705,KPI-AIRDN-249,system-supported but evidence required,SRC-AIRDN-OPS-009
IROPS-AIRDN-0249,partner coordination,decide,Procurement,APP-AIRDN-0247,DATA-AIRDN-0728,KPI-AIRDN-250,system-supported but evidence required,SRC-AIRDN-OPS-010
IROPS-AIRDN-0250,maintenance event,recover,Technology,APP-AIRDN-0266,DATA-AIRDN-0751,KPI-AIRDN-251,manual workaround today,SRC-AIRDN-OPS-011
IROPS-AIRDN-0251,operations-control decision,communicate,Data and AI,APP-AIRDN-0285,DATA-AIRDN-0774,KPI-AIRDN-252,system-supported but evidence required,SRC-AIRDN-OPS-012
IROPS-AIRDN-0252,weather disruption,reconcile,Cybersecurity,APP-AIRDN-0304,DATA-AIRDN-0797,KPI-AIRDN-253,cross-vendor dependency,SRC-AIRDN-OPS-013
IROPS-AIRDN-0253,aircraft availability,measure,Workplace,APP-AIRDN-0323,DATA-AIRDN-0820,KPI-AIRDN-254,system-supported but evidence required,SRC-AIRDN-OPS-014
IROPS-AIRDN-0254,crew legality,settle,Service Management,APP-AIRDN-0342,DATA-AIRDN-0843,KPI-AIRDN-255,system-supported but evidence required,SRC-AIRDN-OPS-015
IROPS-AIRDN-0255,gate constraint,review,Flight Operations,APP-AIRDN-0361,DATA-AIRDN-0866,KPI-AIRDN-256,manual workaround today,SRC-AIRDN-OPS-016
IROPS-AIRDN-0256,passenger reaccommodation,detect,Operations Control,APP-AIRDN-0380,DATA-AIRDN-0889,KPI-AIRDN-257,system-supported but evidence required,SRC-AIRDN-OPS-017
IROPS-AIRDN-0257,baggage rerouting,decide,Crew Operations,APP-AIRDN-0399,DATA-AIRDN-0912,KPI-AIRDN-258,system-supported but evidence required,SRC-AIRDN-OPS-018
IROPS-AIRDN-0258,hotel/meal provisioning,recover,Technical Operations,APP-AIRDN-0418,DATA-AIRDN-0935,KPI-AIRDN-259,system-supported but evidence required,SRC-AIRDN-OPS-019
IROPS-AIRDN-0259,customer notification,communicate,Airport Operations,APP-AIRDN-0437,DATA-AIRDN-0958,KPI-AIRDN-260,system-supported but evidence required,SRC-AIRDN-OPS-020
IROPS-AIRDN-0260,airport staffing,reconcile,Passenger Service,APP-AIRDN-0456,DATA-AIRDN-0981,KPI-AIRDN-261,manual workaround today,SRC-AIRDN-OPS-021
IROPS-AIRDN-0261,partner coordination,measure,Commercial,APP-AIRDN-0475,DATA-AIRDN-1004,KPI-AIRDN-262,cross-vendor dependency,SRC-AIRDN-OPS-022
IROPS-AIRDN-0262,maintenance event,settle,Cargo,APP-AIRDN-0494,DATA-AIRDN-1027,KPI-AIRDN-263,system-supported but evidence required,SRC-AIRDN-OPS-023
IROPS-AIRDN-0263,operations-control decision,review,Corporate Finance,APP-AIRDN-0513,DATA-AIRDN-1050,KPI-AIRDN-264,system-supported but evidence required,SRC-AIRDN-OPS-024
IROPS-AIRDN-0264,weather disruption,detect,Procurement,APP-AIRDN-0532,DATA-AIRDN-1073,KPI-AIRDN-265,system-supported but evidence required,SRC-AIRDN-OPS-025
IROPS-AIRDN-0265,aircraft availability,decide,Technology,APP-AIRDN-0551,DATA-AIRDN-1096,KPI-AIRDN-266,manual workaround today,SRC-AIRDN-OPS-026
IROPS-AIRDN-0266,crew legality,recover,Data and AI,APP-AIRDN-0570,DATA-AIRDN-1119,KPI-AIRDN-267,system-supported but evidence required,SRC-AIRDN-OPS-027
IROPS-AIRDN-0267,gate constraint,communicate,Cybersecurity,APP-AIRDN-0589,DATA-AIRDN-1142,KPI-AIRDN-268,system-supported but evidence required,SRC-AIRDN-OPS-028
IROPS-AIRDN-0268,passenger reaccommodation,reconcile,Workplace,APP-AIRDN-0608,DATA-AIRDN-1165,KPI-AIRDN-269,system-supported but evidence required,SRC-AIRDN-OPS-029
IROPS-AIRDN-0269,baggage rerouting,measure,Service Management,APP-AIRDN-0627,DATA-AIRDN-1188,KPI-AIRDN-270,system-supported but evidence required,SRC-AIRDN-OPS-030
IROPS-AIRDN-0270,hotel/meal provisioning,settle,Flight Operations,APP-AIRDN-0646,DATA-AIRDN-1211,KPI-AIRDN-271,manual workaround today,SRC-AIRDN-OPS-031
IROPS-AIRDN-0271,customer notification,review,Operations Control,APP-AIRDN-0665,DATA-AIRDN-1234,KPI-AIRDN-272,system-supported but evidence required,SRC-AIRDN-OPS-032
IROPS-AIRDN-0272,airport staffing,detect,Crew Operations,APP-AIRDN-0684,DATA-AIRDN-0007,KPI-AIRDN-273,system-supported but evidence required,SRC-AIRDN-OPS-033
IROPS-AIRDN-0273,partner coordination,decide,Technical Operations,APP-AIRDN-0703,DATA-AIRDN-0030,KPI-AIRDN-274,system-supported but evidence required,SRC-AIRDN-OPS-034
IROPS-AIRDN-0274,maintenance event,recover,Airport Operations,APP-AIRDN-0722,DATA-AIRDN-0053,KPI-AIRDN-275,system-supported but evidence required,SRC-AIRDN-OPS-035
IROPS-AIRDN-0275,operations-control decision,communicate,Passenger Service,APP-AIRDN-0741,DATA-AIRDN-0076,KPI-AIRDN-276,manual workaround today,SRC-AIRDN-OPS-036
IROPS-AIRDN-0276,weather disruption,reconcile,Commercial,APP-AIRDN-0760,DATA-AIRDN-0099,KPI-AIRDN-277,system-supported but evidence required,SRC-AIRDN-OPS-037
IROPS-AIRDN-0277,aircraft availability,measure,Cargo,APP-AIRDN-0779,DATA-AIRDN-0122,KPI-AIRDN-278,system-supported but evidence required,SRC-AIRDN-OPS-038
IROPS-AIRDN-0278,crew legality,settle,Corporate Finance,APP-AIRDN-0798,DATA-AIRDN-0145,KPI-AIRDN-279,system-supported but evidence required,SRC-AIRDN-OPS-039
IROPS-AIRDN-0279,gate constraint,review,Procurement,APP-AIRDN-0817,DATA-AIRDN-0168,KPI-AIRDN-280,cross-vendor dependency,SRC-AIRDN-OPS-040
IROPS-AIRDN-0280,passenger reaccommodation,detect,Technology,APP-AIRDN-0836,DATA-AIRDN-0191,KPI-AIRDN-281,manual workaround today,SRC-AIRDN-OPS-041
IROPS-AIRDN-0281,baggage rerouting,decide,Data and AI,APP-AIRDN-0855,DATA-AIRDN-0214,KPI-AIRDN-282,system-supported but evidence required,SRC-AIRDN-OPS-042
IROPS-AIRDN-0282,hotel/meal provisioning,recover,Cybersecurity,APP-AIRDN-0874,DATA-AIRDN-0237,KPI-AIRDN-283,system-supported but evidence required,SRC-AIRDN-OPS-043
IROPS-AIRDN-0283,customer notification,communicate,Workplace,APP-AIRDN-0893,DATA-AIRDN-0260,KPI-AIRDN-284,system-supported but evidence required,SRC-AIRDN-OPS-044
IROPS-AIRDN-0284,airport staffing,reconcile,Service Management,APP-AIRDN-0912,DATA-AIRDN-0283,KPI-AIRDN-285,system-supported but evidence required,SRC-AIRDN-OPS-045
IROPS-AIRDN-0285,partner coordination,measure,Flight Operations,APP-AIRDN-0931,DATA-AIRDN-0306,KPI-AIRDN-286,manual workaround today,SRC-AIRDN-OPS-046
IROPS-AIRDN-0286,maintenance event,settle,Operations Control,APP-AIRDN-0950,DATA-AIRDN-0329,KPI-AIRDN-287,system-supported but evidence required,SRC-AIRDN-OPS-047
IROPS-AIRDN-0287,operations-control decision,review,Crew Operations,APP-AIRDN-0969,DATA-AIRDN-0352,KPI-AIRDN-288,system-supported but evidence required,SRC-AIRDN-OPS-048
IROPS-AIRDN-0288,weather disruption,detect,Technical Operations,APP-AIRDN-0988,DATA-AIRDN-0375,KPI-AIRDN-289,cross-vendor dependency,SRC-AIRDN-OPS-001
IROPS-AIRDN-0289,aircraft availability,decide,Airport Operations,APP-AIRDN-1007,DATA-AIRDN-0398,KPI-AIRDN-290,system-supported but evidence required,SRC-AIRDN-OPS-002
IROPS-AIRDN-0290,crew legality,recover,Passenger Service,APP-AIRDN-1026,DATA-AIRDN-0421,KPI-AIRDN-291,manual workaround today,SRC-AIRDN-OPS-003
IROPS-AIRDN-0291,gate constraint,communicate,Commercial,APP-AIRDN-1045,DATA-AIRDN-0444,KPI-AIRDN-292,system-supported but evidence required,SRC-AIRDN-OPS-004
IROPS-AIRDN-0292,passenger reaccommodation,reconcile,Cargo,APP-AIRDN-1064,DATA-AIRDN-0467,KPI-AIRDN-293,system-supported but evidence required,SRC-AIRDN-OPS-005
IROPS-AIRDN-0293,baggage rerouting,measure,Corporate Finance,APP-AIRDN-1083,DATA-AIRDN-0490,KPI-AIRDN-294,system-supported but evidence required,SRC-AIRDN-OPS-006
IROPS-AIRDN-0294,hotel/meal provisioning,settle,Procurement,APP-AIRDN-1102,DATA-AIRDN-0513,KPI-AIRDN-295,system-supported but evidence required,SRC-AIRDN-OPS-007
IROPS-AIRDN-0295,customer notification,review,Technology,APP-AIRDN-1121,DATA-AIRDN-0536,KPI-AIRDN-296,manual workaround today,SRC-AIRDN-OPS-008
IROPS-AIRDN-0296,airport staffing,detect,Data and AI,APP-AIRDN-1140,DATA-AIRDN-0559,KPI-AIRDN-297,system-supported but evidence required,SRC-AIRDN-OPS-009
IROPS-AIRDN-0297,partner coordination,decide,Cybersecurity,APP-AIRDN-1159,DATA-AIRDN-0582,KPI-AIRDN-298,cross-vendor dependency,SRC-AIRDN-OPS-010
IROPS-AIRDN-0298,maintenance event,recover,Workplace,APP-AIRDN-1178,DATA-AIRDN-0605,KPI-AIRDN-299,system-supported but evidence required,SRC-AIRDN-OPS-011
IROPS-AIRDN-0299,operations-control decision,communicate,Service Management,APP-AIRDN-1197,DATA-AIRDN-0628,KPI-AIRDN-300,system-supported but evidence required,SRC-AIRDN-OPS-012
