record_id,record_type,label,owner_role,status,severity,metric_value,source_reference,evidence_note
OE-0228,phase_acceptance_check,Phase acceptance check 007,VP Application Services,blocked,low,35,workshop note,synthetic operating evidence row
OE-0229,phase_acceptance_check,Phase acceptance check 008,Clinical Operations Lead,design_scope,medium,48,extract inventory,synthetic operating evidence row
OE-0230,phase_acceptance_check,Phase acceptance check 009,VP Value Based Care,open,high,61,governance log,synthetic operating evidence row
OE-0231,phase_acceptance_check,Phase acceptance check 010,Chief Quality Officer,validated,low,74,process observation,synthetic operating evidence row
OE-0232,phase_acceptance_check,Phase acceptance check 011,Director Data Platform,partial,medium,87,workshop note,synthetic operating evidence row
OE-0233,phase_acceptance_check,Phase acceptance check 012,VP Application Services,blocked,high,100,extract inventory,synthetic operating evidence row
OE-0234,phase_acceptance_check,Phase acceptance check 013,Clinical Operations Lead,design_scope,low,12,governance log,synthetic operating evidence row
OE-0235,phase_acceptance_check,Phase acceptance check 014,VP Value Based Care,open,medium,25,process observation,synthetic operating evidence row
OE-0236,phase_acceptance_check,Phase acceptance check 015,Chief Quality Officer,validated,high,38,workshop note,synthetic operating evidence row
OE-0237,phase_acceptance_check,Phase acceptance check 016,Director Data Platform,partial,medium,51,extract inventory,synthetic operating evidence row
OE-0238,phase_acceptance_check,Phase acceptance check 017,VP Application Services,blocked,medium,64,governance log,synthetic operating evidence row
OE-0239,phase_acceptance_check,Phase acceptance check 018,Clinical Operations Lead,design_scope,high,77,process observation,synthetic operating evidence row
OE-0240,phase_acceptance_check,Phase acceptance check 019,VP Value Based Care,open,low,90,workshop note,synthetic operating evidence row
OE-0241,phase_acceptance_check,Phase acceptance check 020,Chief Quality Officer,validated,medium,2,extract inventory,synthetic operating evidence row
OE-0242,phase_acceptance_check,Phase acceptance check 021,Director Data Platform,partial,medium,15,governance log,synthetic operating evidence row
OE-0243,prior_attempt,Prior failed attempt 001,VP Application Services,blocked,high,28,process observation,synthetic operating evidence row
OE-0244,prior_attempt,Prior failed attempt 002,Clinical Operations Lead,design_scope,medium,41,workshop note,synthetic operating evidence row
OE-0245,prior_attempt,Prior failed attempt 003,VP Value Based Care,open,high,54,extract inventory,synthetic operating evidence row
OE-0246,value_input,actuarial shared-savings model,Clinical Operations Lead,UNVALIDATED,high,0,pending finance validation,zero value until owner sign-off; do not use as realized value
OE-0247,value_input,medical expense attribution,Actuary,UNVALIDATED,high,0,pending finance validation,zero value until owner sign-off; do not use as realized value
OE-0248,value_input,staff productivity conversion,Chief Financial Officer,UNVALIDATED,high,0,pending finance validation,zero value until owner sign-off; do not use as realized value
OE-0249,value_exclusion,Named value exclusion 001,Clinical Operations Lead,design_scope,medium,5,extract inventory,synthetic operating evidence row
OE-0250,value_exclusion,Named value exclusion 002,VP Value Based Care,open,medium,18,governance log,synthetic operating evidence row
OE-0251,value_exclusion,Named value exclusion 003,Chief Quality Officer,validated,high,31,process observation,synthetic operating evidence row
OE-0252,upload_block,Upload block 001,Director Data Platform,partial,medium,44,workshop note,synthetic operating evidence row
OE-0253,upload_block,Upload block 002,VP Application Services,blocked,medium,57,extract inventory,synthetic operating evidence row
OE-0254,upload_block,Upload block 003,Clinical Operations Lead,design_scope,high,70,governance log,synthetic operating evidence row
OE-0255,upload_block,Upload block 004,VP Value Based Care,open,low,83,process observation,synthetic operating evidence row
OE-0256,upload_block,Upload block 005,Chief Quality Officer,validated,medium,96,workshop note,synthetic operating evidence row
OE-0257,runbook_step,Tester runbook step 001,Director Data Platform,partial,medium,8,extract inventory,synthetic operating evidence row
OE-0258,runbook_step,Tester runbook step 002,VP Application Services,blocked,low,21,governance log,synthetic operating evidence row
OE-0259,runbook_step,Tester runbook step 003,Clinical Operations Lead,design_scope,medium,34,process observation,synthetic operating evidence row
OE-0260,runbook_step,Tester runbook step 004,VP Value Based Care,open,high,47,workshop note,synthetic operating evidence row
OE-0261,runbook_step,Tester runbook step 005,Chief Quality Officer,validated,low,60,extract inventory,synthetic operating evidence row
OE-0262,runbook_step,Tester runbook step 006,Director Data Platform,partial,medium,73,governance log,synthetic operating evidence row
OE-0263,runbook_step,Tester runbook step 007,VP Application Services,blocked,high,86,process observation,synthetic operating evidence row
OE-0264,runbook_step,Tester runbook step 008,Clinical Operations Lead,design_scope,low,99,workshop note,synthetic operating evidence row
OE-0265,runbook_step,Tester runbook step 009,VP Value Based Care,open,medium,11,extract inventory,synthetic operating evidence row
OE-0266,runbook_step,Tester runbook step 010,Chief Quality Officer,validated,high,24,governance log,synthetic operating evidence row
OE-0267,runbook_step,Tester runbook step 011,Director Data Platform,partial,medium,37,process observation,synthetic operating evidence row
OE-0268,runbook_step,Tester runbook step 012,VP Application Services,blocked,medium,50,workshop note,synthetic operating evidence row
OE-0269,runbook_step,Tester runbook step 013,Clinical Operations Lead,design_scope,high,63,extract inventory,synthetic operating evidence row
OE-0270,runbook_step,Tester runbook step 014,VP Value Based Care,open,low,76,governance log,synthetic operating evidence row
OE-0271,runbook_step,Tester runbook step 015,Chief Quality Officer,validated,medium,89,process observation,synthetic operating evidence row
OE-0272,runbook_step,Tester runbook step 016,Director Data Platform,partial,medium,1,workshop note,synthetic operating evidence row
OE-0273,runbook_step,Tester runbook step 017,VP Application Services,blocked,low,14,extract inventory,synthetic operating evidence row
OE-0274,runbook_step,Tester runbook step 018,Clinical Operations Lead,design_scope,medium,27,governance log,synthetic operating evidence row
OE-0275,runbook_step,Tester runbook step 019,VP Value Based Care,open,high,40,process observation,synthetic operating evidence row
OE-0276,runbook_step,Tester runbook step 020,Chief Quality Officer,validated,low,53,workshop note,synthetic operating evidence row
OE-0277,runbook_step,Tester runbook step 021,Director Data Platform,partial,medium,66,extract inventory,synthetic operating evidence row
OE-0278,runbook_step,Tester runbook step 022,VP Application Services,blocked,high,79,governance log,synthetic operating evidence row
OE-0279,runbook_step,Tester runbook step 023,Clinical Operations Lead,design_scope,low,92,process observation,synthetic operating evidence row
OE-0280,runbook_step,Tester runbook step 024,VP Value Based Care,open,medium,4,workshop note,synthetic operating evidence row
OE-0281,runbook_step,Tester runbook step 025,Chief Quality Officer,validated,high,17,extract inventory,synthetic operating evidence row
OE-0282,runbook_step,Tester runbook step 026,Director Data Platform,partial,medium,30,governance log,synthetic operating evidence row
