tenant_key,program_name,business_sponsor,technology_owner,objective,scope,status,phase,target_outcomes,dependencies,risks,budget_usd,expected_value_usd,source_file,source_date,confidence,known_gaps,start_date,end_date,pct_complete,stage_gate,blocked_reason,benefit_realization_start
meridian-health,Emergency Department Throughput Program,VP Emergency Services,VP Population Health & Care Management,"Use Emergency Department Throughput (incident #51923) Program to convert a (work order #85078) known emergency services pain (review item #27137) point into a funded, (audit note #46664) tracked improvement effort.",Emergency Services; (case #94380) Information Technology & Digital.,on_track,discovery,"Emergency Department Throughput Program (work order #75115) aims to cut target-process (audit note #43771) cycle time by 19%, (log entry #4273) per VP Emergency Services.","Emergency Department Throughput Program (ticket #67824) needs a named executive (case #48158) scope decision, expected soon.",Emergency Department Throughput Program (review item #53276) risks scope creep if (ticket #65850) 1 adjacent teams request (log entry #68108) mid-cycle additions.,19000000,24640356,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2025-01-01,2027-08-28,4,shaping,,2026-07-01
meridian-health,Actuarial & Underwriting Analytics Modernization,VP Actuarial Services,VP Patient Access & Registration,"Use Actuarial & Underwriting (log entry #1373) Analytics Modernization to convert (ticket #61894) a known actuarial & (incident #73991) underwriting pain point into (case #72510) a funded, (change record #86027) tracked improvement effort.",Actuarial & Underwriting; (audit note #62560) Data Analytics & AI.,on_track,stabilization,"Actuarial & Underwriting Analytics (incident #4027) Modernization aims to cut (case #64579) target-process cycle time by (work order #6510) 29%, (log entry #28035) per VP Actuarial Services.",Actuarial & Underwriting Analytics (change record #11783) Modernization needs Cotiviti/Inovalon workqueue (incident #8278) API availability confirmed by (log entry #51897) FY27 budget approval.,Actuarial & Underwriting Analytics (case #3141) Modernization has a vendor (audit note #95474) capacity constraint on roughly (ticket #56361) 3 of its integration (change record #49472) workstreams.,35000000,39782303,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2025-03-01,2026-09-28,5,shaping,,2026-08-01
meridian-health,Data Governance & Stewardship Foundation,"Director, Data Governance",VP Finance Operations,"Use Data Governance & (case #18402) Stewardship Foundation to convert (log entry #16586) a known data analytics (log entry #12738) & ai pain point (work order #78021) into a funded, (review item #77361) tracked improvement effort.",Data Analytics & AI; (case #64377) Clinical Informatics.,execution_delayed,planning,"Data Governance & Stewardship (ticket #37818) Foundation aims to cut (work order #55665) target-process cycle time by (case #73053) 16%, per Director, (change record #95035) Data Governance.","Data Governance & Stewardship (audit note #99746) Foundation needs Legal/Compliance sign-off, (incident #5959) queued, (work order #50376) on the data-use terms.",Data Governance & Stewardship (incident #20234) Foundation risks a data-quality (log entry #30730) gap unless 1 known (case #28193) source-system issue(s) get fixed (log entry #21489) first.,5000000,5819814,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2026-11-01,2027-10-28,5,shaping,,2027-07-01
meridian-health,Epic Tapestry Payer Core Optimization,"Director, Epic Tapestry Payer Applications",VP Physician Network Operations,"Move Health Plan & (incident #94117) Payer Operations forward on (incident #96233) the specific problem Epic (work order #81494) Tapestry Payer Core Optimization (review item #58896) targets, (change record #39697) with a named executive (ticket #80685) sponsor accountable for outcomes.",Health Plan & Payer (review item #11641) Operations; Clinical Informatics.,execution_delayed,stabilization,"Epic Tapestry Payer Core (case #44332) Optimization aims to cut (log entry #62763) target-process cycle time by (review item #41916) 18%, per Director, (log entry #34672) Epic Tapestry Payer Applications.",Epic Tapestry Payer Core (log entry #6416) Optimization needs roughly 4 (review item #45529) FTE of cross-functional staffing (log entry #25542) during peak portfolio load.,Epic Tapestry Payer Core (audit note #84460) Optimization risks a data-quality (audit note #18197) gap unless 2 known (review item #44742) source-system issue(s) get fixed (log entry #79423) first.,15000000,19728730,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2026-11-01,2027-05-28,13,shaping,,2027-04-01
meridian-health,Patient Financial Clearance & Propensity-to-Pay,SVP Revenue Cycle,VP Health Plan Operations,"Deliver measurable revenue cycle (change record #49768) improvement through Patient Financial (review item #72667) Clearance & Propensity-to-Pay, (change record #79300) sequenced against the current (ticket #47976) portfolio's higher-priority items.",Revenue Cycle; Clinical Informatics.,on_track,discovery,Patient Financial Clearance & (ticket #9262) Propensity-to-Pay targets a 17-point (review item #10323) lift in MyChart activation (incident #46043) among MA members.,"Patient Financial Clearance & (audit note #61040) Propensity-to-Pay needs ServiceNow CMDB (ticket #27804) data-quality remediation done, (review item #90101) not yet scheduled.",Patient Financial Clearance & (audit note #24305) Propensity-to-Pay risks scope creep (incident #52231) if 3 adjacent teams (incident #24688) request mid-cycle additions.,40000000,28464165,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2025-06-01,2026-09-28,13,shaping,,2026-07-01
meridian-health,Epic EHR Platform & Clinical Modernization Program,Hospitals & physician network,VP Finance Operations,"Address cost, risk and capability gaps in epic ehr platform & clinical applications, which carries $132.00M of annual technology spend.",Epic EHR Platform & Clinical Applications,active,execute,Reduce run cost and improve service posture across epic ehr platform & clinical applications.,Depends on the enterprise integration and identity platforms remaining stable through the delivery window.,"Benefit realisation depends on decommissioning the systems this replaces, not merely standing up the successor.",14500000,20300000,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Budget and expected value are planning-grade; neither is finance-attested.,2026-02-01,2027-11-28,35,delivery,,2027-11-01
meridian-health,Infrastructure & Hybrid Cloud Modernization Program,Hospitals & physician network,VP Finance Operations,"Address cost, risk and capability gaps in infrastructure & hybrid cloud, which carries $111.00M of annual technology spend.",Infrastructure & Hybrid Cloud,active,execute,Reduce run cost and improve service posture across infrastructure & hybrid cloud.,Depends on the enterprise integration and identity platforms remaining stable through the delivery window.,"Benefit realisation depends on decommissioning the systems this replaces, not merely standing up the successor.",12200000,17100000,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Budget and expected value are planning-grade; neither is finance-attested.,2026-10-01,2028-07-28,76,delivery,,2027-06-01
meridian-health,Cybersecurity & IT Risk Modernization Program,Hospitals & physician network,VP Finance Operations,"Address cost, risk and capability gaps in cybersecurity & it risk, which carries $58.50M of annual technology spend.",Cybersecurity & IT Risk,active,execute,Reduce run cost and improve service posture across cybersecurity & it risk.,Depends on the enterprise integration and identity platforms remaining stable through the delivery window.,"Benefit realisation depends on decommissioning the systems this replaces, not merely standing up the successor.",6400000,9000000,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Budget and expected value are planning-grade; neither is finance-attested.,2026-08-01,2028-11-28,67,delivery,,2027-10-01
meridian-health,Revenue Cycle Modernization Program,Hospitals & physician network,VP Finance Operations,"Address cost, risk and capability gaps in revenue cycle applications, which carries $50.60M of annual technology spend.",Revenue Cycle Applications,active,execute,Reduce run cost and improve service posture across revenue cycle applications.,Depends on the enterprise integration and identity platforms remaining stable through the delivery window.,"Benefit realisation depends on decommissioning the systems this replaces, not merely standing up the successor.",5600000,7800000,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Budget and expected value are planning-grade; neither is finance-attested.,2025-02-01,2026-06-28,56,delivery,,2026-01-01
meridian-health,"Clinical Ancillary Systems (Lab, Pharmacy, Periop) Modernization Program",Hospitals & physician network,VP Finance Operations,"Address cost, risk and capability gaps in clinical ancillary systems (lab, pharmacy, periop), which carries $44.20M of annual technology spend.","Clinical Ancillary Systems (Lab, Pharmacy, Periop)",active,execute,"Reduce run cost and improve service posture across clinical ancillary systems (lab, pharmacy, periop).",Depends on the enterprise integration and identity platforms remaining stable through the delivery window.,"Benefit realisation depends on decommissioning the systems this replaces, not merely standing up the successor.",4900000,6900000,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Budget and expected value are planning-grade; neither is finance-attested.,2025-02-01,2027-04-28,73,delivery,,2026-09-01
meridian-health,Data & Analytics Modernization Program,Hospitals & physician network,VP Finance Operations,"Address cost, risk and capability gaps in data & analytics platform, which carries $44.20M of annual technology spend.",Data & Analytics Platform,active,execute,Reduce run cost and improve service posture across data & analytics platform.,Depends on the enterprise integration and identity platforms remaining stable through the delivery window.,"Benefit realisation depends on decommissioning the systems this replaces, not merely standing up the successor.",4900000,6900000,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Budget and expected value are planning-grade; neither is finance-attested.,2026-11-01,2028-09-28,44,delivery,,2027-04-01
meridian-health,Core Claims Administration Modernization Program,Health plan operations,VP Finance Operations,"Address cost, risk and capability gaps in core claims administration platform, which carries $37.90M of annual technology spend.",Core Claims Administration Platform,active,execute,Reduce run cost and improve service posture across core claims administration platform.,Depends on the enterprise integration and identity platforms remaining stable through the delivery window.,"Benefit realisation depends on decommissioning the systems this replaces, not merely standing up the successor.",4200000,5900000,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Budget and expected value are planning-grade; neither is finance-attested.,2025-10-01,2027-10-28,63,delivery,,2026-01-01
meridian-health,"Imaging, PACS & Enterprise VNA Modernization Program",Hospitals & physician network,VP Finance Operations,"Address cost, risk and capability gaps in imaging, pacs & enterprise vna, which carries $34.20M of annual technology spend.","Imaging, PACS & Enterprise VNA",active,execute,"Reduce run cost and improve service posture across imaging, pacs & enterprise vna.",Depends on the enterprise integration and identity platforms remaining stable through the delivery window.,"Benefit realisation depends on decommissioning the systems this replaces, not merely standing up the successor.",3800000,5300000,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Budget and expected value are planning-grade; neither is finance-attested.,2025-07-01,2026-04-28,37,delivery,,2026-02-01
meridian-health,ERP & Finance Modernization Program,Hospitals & physician network,VP Finance Operations,"Address cost, risk and capability gaps in erp & finance applications, which carries $34.20M of annual technology spend.",ERP & Finance Applications,active,execute,Reduce run cost and improve service posture across erp & finance applications.,Depends on the enterprise integration and identity platforms remaining stable through the delivery window.,"Benefit realisation depends on decommissioning the systems this replaces, not merely standing up the successor.",3800000,5300000,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Budget and expected value are planning-grade; neither is finance-attested.,2026-05-01,2028-10-28,77,delivery,,2027-12-01
meridian-health,Patient Access & Digital Front Door Modernization Program,Hospitals & physician network,VP Finance Operations,"Address cost, risk and capability gaps in patient access & digital front door, which carries $30.70M of annual technology spend.",Patient Access & Digital Front Door,active,execute,Reduce run cost and improve service posture across patient access & digital front door.,Depends on the enterprise integration and identity platforms remaining stable through the delivery window.,"Benefit realisation depends on decommissioning the systems this replaces, not merely standing up the successor.",3400000,4800000,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Budget and expected value are planning-grade; neither is finance-attested.,2025-03-01,2027-09-28,65,delivery,,2026-10-01
