tenant_key,metric_name,metric_domain,business_function,definition,baseline_value,baseline_period,target_value,owner,data_source,calculation_basis,source_file,source_date,confidence,known_gaps,actual_value,actual_period,finance_attested_value_usd,value_claim_status
meridian-health,Inpatient Average Length of Stay,operational,Acute Care Clinical Operations,Operational performance metric tracked (incident #99411) by Acute Care Clinical (ticket #54442) Operations leadership: Inpatient Average (incident #84163) Length of Stay.,55.0,FY26 Q2,65.5 by FY27 Q4,CMO,Epic Healthy Planet,Inpatient Average Length of (log entry #34364) Stay numerator/denominator defined in (log entry #23050) Acute Care Clinical Operations's (work order #9196) operational scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,61.2,FY2026 Q3,,measured
meridian-health,Discharge Before Noon Rate,operational,Nursing Operations,Operational performance metric tracked (ticket #78003) by Nursing Operations leadership: (incident #17876) Discharge Before Noon Rate.,5.4,FY26 Q2,4.9 by FY27 Q4,CNO,Epic Tapestry,Discharge Before Noon Rate (ticket #26154) numerator/denominator defined in Nursing (incident #49221) Operations's operational scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,5.1,FY2026 Q3,,measured
meridian-health,Clean Claim Rate,financial,Revenue Cycle,Operational performance metric tracked (work order #74259) by Revenue Cycle leadership: (review item #34587) Clean Claim Rate.,7.4,FY26 Q2,6.2 by FY27 Q4,SVP Revenue Cycle,Waystar Revenue Cycle Clearinghouse,Clean Claim Rate numerator/denominator (audit note #1045) defined in Revenue Cycle's (incident #71289) operational scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,,,,baseline_only
meridian-health,Days in Accounts Receivable (AR),financial,Revenue Cycle,Operational performance metric tracked (ticket #42741) by Revenue Cycle leadership: (log entry #36316) Days in Accounts Receivable (ticket #56777) (AR).,3.7,FY26 Q2,4.4 by FY27 Q4,SVP Revenue Cycle,ServiceNow ITSM/CMDB Platform,Days in Accounts Receivable (case #7366) (AR) numerator/denominator defined in (review item #6291) Revenue Cycle's operational scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,4.1,FY2026 Q3,,measured
meridian-health,Denial Write-Off Rate,financial,Revenue Cycle,Operational performance metric tracked (audit note #58934) by Revenue Cycle leadership: (audit note #51007) Denial Write-Off Rate.,9.9,FY26 Q2,8.4 by FY27 Q4,SVP Revenue Cycle,ServiceNow ITSM/CMDB Platform,Denial Write-Off Rate numerator/denominator (review item #46464) defined in Revenue Cycle's (incident #2451) operational scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,8.9,FY2026 Q3,,measured
meridian-health,Prior Authorization Turnaround Time,operational,Health Plan & Payer Operations,Operational performance metric tracked (incident #5783) by Health Plan & (work order #53400) Payer Operations leadership: Prior (change record #74025) Authorization Turnaround Time.,87.5,FY26 Q2,94.4 by FY27 Q4,"President, Meridian Health Plan",Epic Healthy Planet,Prior Authorization Turnaround Time (incident #52123) numerator/denominator defined in Health (audit note #68171) Plan & Payer Operations's (work order #57401) operational scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,,,,baseline_only
meridian-health,Claims Auto-Adjudication Rate,operational,Health Plan & Payer Operations,Operational performance metric tracked (work order #7728) by Health Plan & (log entry #48454) Payer Operations leadership: Claims (work order #34385) Auto-Adjudication Rate.,80.9,FY26 Q2,76.1 by FY27 Q4,"President, Meridian Health Plan",Epic Healthy Planet,Claims Auto-Adjudication Rate numerator/denominator (case #47159) defined in Health Plan (ticket #62156) & Payer Operations's operational (review item #86216) scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,78.7,FY2026 Q3,,measured
meridian-health,Member Call Center Average Speed to Answer,operational,Member Services & Patient Experience,Operational performance metric tracked (change record #53879) by Member Services & (ticket #7919) Patient Experience leadership: Member (work order #15601) Call Center Average Speed (log entry #41730) to Answer.,29.0,FY26 Q2,24.5 by FY27 Q4,VP Member Services & Patient Experience,Waystar Revenue Cycle Clearinghouse,Member Call Center Average (review item #35188) Speed to Answer numerator/denominator (incident #15194) defined in Member Services (change record #63589) & Patient Experience's operational (log entry #9884) scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,26.3,FY2026 Q3,536712,attested
meridian-health,Ambulatory No-Show Rate,operational,Ambulatory & Physician Network Operations,Operational performance metric tracked (case #73640) by Ambulatory & Physician (incident #35959) Network Operations leadership: Ambulatory (incident #17092) No-Show Rate.,47.7,FY26 Q2,42.7 by FY27 Q4,"President, Meridian Medical Group",Waystar Revenue Cycle Clearinghouse,Ambulatory No-Show Rate numerator/denominator (audit note #78299) defined in Ambulatory & (ticket #63022) Physician Network Operations's operational (incident #9396) scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,,,,baseline_only
meridian-health,Epic Uptime — Production Environments,technology,Information Technology & Digital,Operational performance metric tracked (ticket #82669) by Information Technology & (case #22624) Digital leadership: Epic Uptime (audit note #18185) — Production Environments.,49.1,FY26 Q2,41.5 by FY27 Q4,CIO,Waystar Revenue Cycle Clearinghouse,Epic Uptime — Production (change record #50322) Environments numerator/denominator defined in (audit note #85580) Information Technology & Digital's (ticket #59346) operational scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,46.0,FY2026 Q3,,measured
meridian-health,ServiceNow Major Incident Mean Time to Resolve,technology,Information Technology & Digital,Operational performance metric tracked (work order #74835) by Information Technology & (ticket #98132) Digital leadership: ServiceNow Major (incident #60476) Incident Mean Time to (review item #17841) Resolve.,56.9,FY26 Q2,67.2 by FY27 Q4,CIO,Epic Caboodle,ServiceNow Major Incident Mean (log entry #87330) Time to Resolve numerator/denominator (change record #41176) defined in Information Technology (case #52102) & Digital's operational scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,62.5,FY2026 Q3,,measured
meridian-health,Interface Engine Message Failure Rate,technology,Information Technology & Digital,Operational performance metric tracked (ticket #12481) by Information Technology & (change record #97194) Digital leadership: Interface Engine (ticket #86335) Message Failure Rate.,16.4,FY26 Q2,17.9 by FY27 Q4,CIO,ServiceNow ITSM/CMDB Platform,Interface Engine Message Failure (case #74197) Rate numerator/denominator defined in (change record #87006) Information Technology & Digital's (review item #30280) operational scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,,,,baseline_only
meridian-health,HbA1c Care Gap Closure Rate (AI-Assisted),clinical,Population Health & Care Management,Operational performance metric tracked (review item #93531) by Population Health & (log entry #75712) Care Management leadership: HbA1c (change record #69600) Care Gap Closure Rate (work order #80622) (AI-Assisted).,42.3,FY26 Q2,38.8 by FY27 Q4,VP Population Health & Care Management,Epic Healthy Planet,HbA1c Care Gap Closure (incident #80751) Rate (AI-Assisted) numerator/denominator defined (review item #68119) in Population Health & (audit note #98263) Care Management's operational scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,41.1,FY2026 Q3,416712,attested
meridian-health,30-Day All-Cause Readmission Rate,clinical,Population Health & Care Management,Operational performance metric tracked (change record #40678) by Population Health & (log entry #71515) Care Management leadership: 30-Day (case #33261) All-Cause Readmission Rate.,64.2,FY26 Q2,58.7 by FY27 Q4,VP Population Health & Care Management,Waystar Revenue Cycle Clearinghouse,30-Day All-Cause Readmission Rate (log entry #92238) numerator/denominator defined in Population (ticket #68985) Health & Care Management's (work order #23933) operational scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,61.6,FY2026 Q3,,measured
meridian-health,Sepsis Bundle Compliance Rate,clinical,Nursing Operations,Operational performance metric tracked (incident #94628) by Nursing Operations leadership: (case #69624) Sepsis Bundle Compliance Rate.,20.9,FY26 Q2,18.2 by FY27 Q4,CNO,Waystar Revenue Cycle Clearinghouse,Sepsis Bundle Compliance Rate (ticket #46024) numerator/denominator defined in Nursing (log entry #45299) Operations's operational scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,,,,baseline_only
meridian-health,Patient Portal (MyChart) Activation Rate,operational,Member Services & Patient Experience,Operational performance metric tracked (incident #95457) by Member Services & (change record #65223) Patient Experience leadership: Patient (ticket #22149) Portal (MyChart) Activation Rate.,63.8,FY26 Q2,67.3 by FY27 Q4,VP Member Services & Patient Experience,Waystar Revenue Cycle Clearinghouse,Patient Portal (MyChart) Activation (log entry #68565) Rate numerator/denominator defined in (case #21668) Member Services & Patient (log entry #70710) Experience's operational scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,66.4,FY2026 Q3,,measured
meridian-health,30-Day Case Closure Rate — Denials AI,financial,Revenue Cycle,Operational performance metric tracked (work order #98335) by Revenue Cycle leadership: (work order #42485) 30-Day Case Closure Rate (work order #1790) — Denials AI.,14.5,FY26 Q2,13.3 by FY27 Q4,SVP Revenue Cycle,Epic Caboodle,30-Day Case Closure Rate (review item #45676) — Denials AI numerator/denominator (ticket #18536) defined in Revenue Cycle's (change record #44915) operational scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,14.0,FY2026 Q3,,measured
