tenant_key,vendor_name,contract_name,service_category,business_owner,contract_owner,annual_spend_usd,term_start,term_end,renewal_date,commercial_model,supported_systems,supported_functions,risk_rating,pricing_history,utilization_evidence,contract_terms_detail,renegotiation_levers,source_file,source_date,confidence,known_gaps,auto_renew_flag,notice_period_days,benchmark_clause,exit_cost_usd,concentration_risk
meridian-health,Infor (Lawson),Infor Software License & Support Agreement,supply chain & finance ERP,VP Data & AI Platforms,"Director, Vendor & Contract Management",9916000,2023-12-01,2029-12-31,2028-12-30,per_transaction,Infor Lawson Supply Chain & Finance ERP; Infor Lawson Supply Chain & Finance ERP — Test,Supply Chain & Procurement,high,FY25 $9.53M → FY26 $9.92M (+4.0%). Increase driven by list-price uplift and added entitlements under the per_transaction model; no corresponding change in contracted scope was recorded.,12% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"5-year term ending 2029-12-31, auto-renewing for 12 months unless written notice is given 60 days before term end. per_transaction commercial model with an annual uplift cap; no benchmarking clause and no exit assistance obligation.",(1) Right-size the 12% unused entitlements at renewal — approximately $0.71M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 60-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,60,yes_annual,4918000,low
meridian-health,UKG (Ultimate Kronos Group),UKG Master Services Agreement,time & attendance / scheduling,VP Member Services & Patient Experience,"Director, Vendor & Contract Management",3323000,2023-06-01,2030-12-31,2029-09-30,per_bed_per_month,UKG Time & Attendance / Scheduling,Human Resources & Workforce,low,FY25 $2.99M → FY26 $3.32M (+11.0%). Increase driven by list-price uplift and added entitlements under the per_bed_per_month model; no corresponding change in contracted scope was recorded.,23% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2030-12-31, auto-renewing for 12 months unless written notice is given 90 days before term end. per_bed_per_month commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 23% unused entitlements at renewal — approximately $0.46M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 90-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,60,yes_annual,2047000,low
meridian-health,SAP Ariba,SAP Ariba Statement of Work,procurement / sourcing,VP Nursing Informatics,"Director, Vendor & Contract Management",693000,2023-02-01,2028-12-31,2027-06-30,per_user_subscription,SAP Ariba Procurement Platform,Supply Chain & Procurement,medium,FY25 $0.67M → FY26 $0.69M (+4.0%). Increase driven by list-price uplift and added entitlements under the per_user_subscription model; no corresponding change in contracted scope was recorded.,34% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2028-12-31, auto-renewing for 12 months unless written notice is given 120 days before term end. per_user_subscription commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 34% unused entitlements at renewal — approximately $0.14M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 120-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,90,yes_once_per_term,443000,low
meridian-health,ServiceNow,ServiceNow Rate Card Agreement,ITSM / CMDB platform,CIO,VP IT Service Management & Support,8200000,2022-01-01,2026-12-31,2026-09-02,per_user_subscription,ServiceNow ITSM/CMDB Platform; ServiceNow ITSM/CMDB Platform — Test,Information Technology & Digital,medium,"FY24 $6.10M (3,200 named-user licenses + CMDB module) -> FY25 $7.35M (+20.5%, added ITOM Discovery + 800 licenses for the ServiceNow ITSM/CMDB Modernization program) -> FY26 $8.20M (+11.6%, CPI-plus-3% escalator per Section 4.2 kicked in for the first time this term).","1,400 of 4,000 provisioned named-user licenses show zero login activity in the last 90 days per the December 2026 license-utilization report from IT Asset Management; incident-module seat utilization is 96%, but the separately-licensed ITOM Discovery module is used by only 140 of 500 provisioned seats (28%).","5-year term (Jan 2022-Dec 2026), auto-renews for 12 months unless written notice is given 120 days before term_end (i.e., by September 2, 2026 for this cycle); CPI-plus-3% annual escalator on the base subscription fee starting contract year 3; no volume-discount tier renegotiation clause; 30-day termination-for-convenience right only in year 5 or later.","(1) Right-size the 1,400 zero-login named-user licenses at next renewal -- potential ~$1.1M/year reduction at current per-seat pricing. (2) Drop or renegotiate the underused ITOM Discovery module (28% seat utilization) to a smaller committed-seat tier or usage-based pricing. (3) Use the FY25-FY26 escalator jump (+11.6%) as leverage to cap future increases at CPI-only in exchange for a multi-year commitment, benchmarked against the KLAS Research ITSM pricing index Meridian already subscribes to.",datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,"Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review. Pricing history, utilization evidence, and renegotiation levers for this hero contract are illustrative synthetic figures built for the Source renegotiation-workflow demo; validate against real ServiceNow/Tableau/CrowdStrike invoices and license reports before using externally.",no,60,yes_once_per_term,1634000,low
meridian-health,Cisco Systems,Cisco Systems Rate Card Agreement,network infrastructure,VP Actuarial Services,"Director, Vendor & Contract Management",9321000,2024-07-01,2030-12-31,2029-06-30,tiered_volume,(no 04_applications_systems row for Cisco Systems — services/advisory engagement only),Information Technology & Digital,low,FY25 $8.96M → FY26 $9.32M (+4.0%). Increase driven by list-price uplift and added entitlements under the tiered_volume model; no corresponding change in contracted scope was recorded.,29% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2030-12-31, auto-renewing for 12 months unless written notice is given 60 days before term end. tiered_volume commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 29% unused entitlements at renewal — approximately $1.62M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 60-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,30,yes_annual,4184000,low
meridian-health,NetApp,NetApp Subscription Services Agreement,enterprise storage,VP Medicare Advantage Programs,"Director, Vendor & Contract Management",680000,2022-04-01,2025-12-31,2024-06-30,per_bed_per_month,(no 04_applications_systems row for NetApp — services/advisory engagement only),Information Technology & Digital,low,FY25 $0.61M → FY26 $0.68M (+11.0%). Increase driven by list-price uplift and added entitlements under the per_bed_per_month model; no corresponding change in contracted scope was recorded.,13% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2025-12-31, auto-renewing for 12 months unless written notice is given 90 days before term end. per_bed_per_month commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 13% unused entitlements at renewal — approximately $0.05M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 90-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,30,yes_annual,369000,low
meridian-health,VMware (Broadcom),VMware Subscription Services Agreement,server virtualization,VP Nursing Informatics,"Director, Vendor & Contract Management",9084000,2021-01-01,2026-12-31,2025-06-30,tiered_volume,(no 04_applications_systems row for VMware — services/advisory engagement only),Information Technology & Digital,medium,FY25 $8.73M → FY26 $9.08M (+4.0%). Increase driven by list-price uplift and added entitlements under the tiered_volume model; no corresponding change in contracted scope was recorded.,24% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"5-year term ending 2026-12-31, auto-renewing for 12 months unless written notice is given 120 days before term end. tiered_volume commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 24% unused entitlements at renewal — approximately $1.31M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 120-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,90,yes_annual,4508000,low
meridian-health,Citrix Systems,Citrix Systems Managed Services Agreement,clinical desktop virtualization,VP Facilities & Real Estate,"Director, Vendor & Contract Management",2101000,2022-09-01,2025-12-31,2024-12-30,per_user_subscription,(no 04_applications_systems row for Citrix Systems — services/advisory engagement only),Clinical Informatics,low,FY25 $1.89M → FY26 $2.10M (+11.0%). Increase driven by list-price uplift and added entitlements under the per_user_subscription model; no corresponding change in contracted scope was recorded.,8% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2025-12-31, auto-renewing for 12 months unless written notice is given 180 days before term end. per_user_subscription commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 8% unused entitlements at renewal — approximately $0.10M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 180-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,30,none,848000,low
meridian-health,CrowdStrike,CrowdStrike Master Services Agreement (Amendment 2),endpoint detection & response,CISO,VP Cybersecurity Operations,1780000,2024-02-01,2027-01-31,2026-12-03,tiered_volume,(no 04_applications_systems row for CrowdStrike — services/advisory engagement only),Information Technology & Digital,medium,"FY24 $1.40M (9,800 endpoint licenses, Falcon Insight XDR tier) -> FY25 $1.62M (+15.7%, added Falcon Identity Protection module for 3,000 endpoints) -> FY26 $1.78M (+9.9%).","Per the CrowdStrike Falcon console license report: 9,800 endpoint licenses provisioned against roughly 9,100 actively-checking-in endpoints (93% utilization, healthy); Falcon Identity Protection module covers only 3,000 of an estimated 9,800 eligible endpoints (31%), well below the enterprise-wide rollout the module was originally licensed to support.","3-year term (Feb 2024-Jan 2027), 60-day termination-for-convenience notice required; no auto-escalator in the base agreement, but add-on modules (like Identity Protection) are priced at then-current list rate when scope is expanded mid-term, which is how the FY25 jump occurred.","(1) Either commit to the full 9,800-endpoint Identity Protection rollout to unlock volume pricing, or right-size the module down to the 3,000 endpoints actually in scope today -- the current 31%-of-eligible footprint is priced as a partial rollout with no volume break. (2) Benchmark the FY26 renewal against the CISO's peer-network pricing data before the February 2027 term_end. (3) Request a multi-year price hold in exchange for extending the term past the standard 3-year cycle, given the endpoint license utilization (93%) is already strong and low-risk for CrowdStrike to lock in.",datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,"Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review. Pricing history, utilization evidence, and renegotiation levers for this hero contract are illustrative synthetic figures built for the Source renegotiation-workflow demo; validate against real ServiceNow/Tableau/CrowdStrike invoices and license reports before using externally.",yes,60,yes_once_per_term,1052000,low
meridian-health,Splunk Inc.,Splunk Inc. Rate Card Agreement,SIEM / security analytics,VP Patient Access & Registration,"Director, Vendor & Contract Management",7592000,2019-07-01,2026-12-31,2025-06-30,per_member_per_month,(no 04_applications_systems row for Splunk Inc. — services/advisory engagement only),Cybersecurity & IT Risk,medium,FY25 $6.84M → FY26 $7.59M (+11.0%). Increase driven by list-price uplift and added entitlements under the per_member_per_month model; no corresponding change in contracted scope was recorded.,30% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"5-year term ending 2026-12-31, auto-renewing for 12 months unless written notice is given 90 days before term end. per_member_per_month commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 30% unused entitlements at renewal — approximately $1.37M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 90-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,60,yes_once_per_term,3975000,low
meridian-health,CyberArk,CyberArk Managed Services Agreement,privileged access management,VP Medicare Advantage Programs,"Director, Vendor & Contract Management",7601000,2020-05-01,2027-12-31,2026-12-30,fixed_annual_fee,(no 04_applications_systems row for CyberArk — services/advisory engagement only),Information Technology & Digital,medium,FY25 $7.31M → FY26 $7.60M (+4.0%). Increase driven by list-price uplift and added entitlements under the fixed_annual_fee model; no corresponding change in contracted scope was recorded.,14% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2027-12-31, auto-renewing for 12 months unless written notice is given 120 days before term end. fixed_annual_fee commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 14% unused entitlements at renewal — approximately $0.64M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 120-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,30,yes_once_per_term,3266000,low
meridian-health,Proofpoint,Proofpoint Subscription Services Agreement,email security,VP Epic Applications,"Director, Vendor & Contract Management",9003000,2020-09-01,2026-12-31,2025-06-30,per_bed_per_month,(no 04_applications_systems row for Proofpoint — services/advisory engagement only),Cybersecurity & IT Risk,medium,FY25 $8.11M → FY26 $9.00M (+11.0%). Increase driven by list-price uplift and added entitlements under the per_bed_per_month model; no corresponding change in contracted scope was recorded.,25% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2026-12-31, auto-renewing for 12 months unless written notice is given 180 days before term end. per_bed_per_month commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 25% unused entitlements at renewal — approximately $1.35M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 180-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,60,yes_once_per_term,5753000,low
meridian-health,Okta,Okta Rate Card Agreement,identity & single sign-on,VP Risk Adjustment & RAF Programs,"Director, Vendor & Contract Management",6621000,2024-12-01,2031-12-31,2030-06-30,fixed_annual_fee,(no 04_applications_systems row for Okta — services/advisory engagement only),Cybersecurity & IT Risk,medium,FY25 $6.37M → FY26 $6.62M (+4.0%). Increase driven by list-price uplift and added entitlements under the fixed_annual_fee model; no corresponding change in contracted scope was recorded.,9% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"5-year term ending 2031-12-31, auto-renewing for 12 months unless written notice is given 60 days before term end. fixed_annual_fee commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 9% unused entitlements at renewal — approximately $0.36M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 60-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,90,yes_annual,1361000,low
meridian-health,Amwell,Amwell Managed Services Agreement,on-demand telehealth platform,VP Data & AI Platforms,"Director, Vendor & Contract Management",8493000,2022-09-01,2028-12-31,2027-12-30,time_and_materials,Amwell On-Demand Telehealth Platform,Member Services & Patient Experience,medium,FY25 $7.65M → FY26 $8.49M (+11.0%). Increase driven by list-price uplift and added entitlements under the time_and_materials model; no corresponding change in contracted scope was recorded.,20% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2028-12-31, auto-renewing for 12 months unless written notice is given 90 days before term end. time_and_materials commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 20% unused entitlements at renewal — approximately $1.02M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 90-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,30,yes_once_per_term,4763000,low
meridian-health,Biofourmis,Biofourmis Managed Services Agreement,remote patient monitoring / hospital-at-home,VP Pharmacy Services,"Director, Vendor & Contract Management",7154000,2019-11-01,2022-12-31,2021-06-30,per_user_subscription,Biofourmis Remote Patient Monitoring Platform,Member Services & Patient Experience,low,FY25 $6.88M → FY26 $7.15M (+4.0%). Increase driven by list-price uplift and added entitlements under the per_user_subscription model; no corresponding change in contracted scope was recorded.,31% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2022-12-31, auto-renewing for 12 months unless written notice is given 120 days before term end. per_user_subscription commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 31% unused entitlements at renewal — approximately $1.33M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 120-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,90,yes_once_per_term,3749000,low
meridian-health,Salesforce,Salesforce Enterprise License Agreement,member/growth CRM,VP HR Business Partnering,"Director, Vendor & Contract Management",4115000,2019-06-01,2023-12-31,2022-06-30,per_member_per_month,Salesforce Member/Patient CRM,Member Services & Patient Experience,high,FY25 $3.71M → FY26 $4.12M (+11.0%). Increase driven by list-price uplift and added entitlements under the per_member_per_month model; no corresponding change in contracted scope was recorded.,15% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"5-year term ending 2023-12-31, auto-renewing for 12 months unless written notice is given 180 days before term end. per_member_per_month commercial model with an annual uplift cap; no benchmarking clause and no exit assistance obligation.",(1) Right-size the 15% unused entitlements at renewal — approximately $0.37M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 180-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,90,yes_annual,2626000,low
meridian-health,Tableau Software,Tableau Software Subscription Services Agreement,"business intelligence & visualization (on-prem Tableau Server, primary BI layer)",CDAO,"Director, Tableau & BI Platform Engineering",2600000,2024-01-01,2026-12-31,2026-10-03,per_user_subscription,Tableau Server; Tableau Server — Test,Information Technology & Digital,low,"FY23 $1.85M (900 Creator + 1,500 Viewer licenses, per-seat annual) -> FY24 $2.10M (+13.5%, added 200 Creator seats for the STARS/HEDIS analytics build-out) -> FY25 $2.35M (+11.9%) -> FY26 $2.60M (+10.6%, list-price increase passed through in full at renewal, no volume discount applied despite seat growth).","Per the on-prem Tableau Server admin console export (this delivery's evidence basis): roughly 620 published workbooks exist, but only about 240 have had a view in the last 60 days; of 1,100 provisioned Creator licenses, 310 have never published a single workbook, suggesting a meaningful population of Creator seats that could be downgraded to Viewer or Explorer tier.","3-year term (Jan 2024-Dec 2026), auto-renews annually thereafter at then-current list price unless 90 days' written notice is given before term_end; no price-lock or escalator cap in the current agreement; per-seat model with no true-up credit for seats added and later removed mid-term.","(1) Downgrade an estimated 250-300 never-published Creator seats to Viewer/Explorer tier, which historically prices 40-60% lower per seat. (2) Push for a multi-year price-lock or escalator cap at the next renewal, citing three consecutive years of list-price-only increases with no volume discount despite seat growth. (3) Bundle the renewal with the still-unfunded MicroStrategy retirement (see 09_programs_initiatives) to negotiate a one-time migration credit in exchange for a longer committed term.",datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,"Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review. Pricing history, utilization evidence, and renegotiation levers for this hero contract are illustrative synthetic figures built for the Source renegotiation-workflow demo; validate against real ServiceNow/Tableau/CrowdStrike invoices and license reports before using externally.",no,30,yes_once_per_term,759000,low
meridian-health,MicroStrategy,MicroStrategy Rate Card Agreement,"enterprise BI platform (legacy, limited scope)",VP Risk Adjustment & RAF Programs,"Director, Vendor & Contract Management",7384000,2024-07-01,2031-12-31,2030-12-30,time_and_materials,"MicroStrategy Enterprise BI (legacy, limited scope)",Information Technology & Digital,low,FY25 $6.65M → FY26 $7.38M (+11.0%). Increase driven by list-price uplift and added entitlements under the time_and_materials model; no corresponding change in contracted scope was recorded.,10% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2031-12-31, auto-renewing for 12 months unless written notice is given 90 days before term end. time_and_materials commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 10% unused entitlements at renewal — approximately $0.44M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 90-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,30,yes_once_per_term,2941000,low
meridian-health,Rhapsody (Lyniate),Rhapsody Rate Card Agreement,clinical interface engine,VP Clinical Informatics,"Director, Vendor & Contract Management",2441000,2023-06-01,2029-12-31,2028-12-30,time_and_materials,Rhapsody Integration Engine; Rhapsody Integration Engine — Test,Clinical Informatics,low,FY25 $2.35M → FY26 $2.44M (+4.0%). Increase driven by list-price uplift and added entitlements under the time_and_materials model; no corresponding change in contracted scope was recorded.,21% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"5-year term ending 2029-12-31, auto-renewing for 12 months unless written notice is given 120 days before term end. time_and_materials commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 21% unused entitlements at renewal — approximately $0.31M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 120-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,60,yes_annual,1082000,low
meridian-health,Corepoint Health (Lyniate),Corepoint Health Master Services Agreement (Amendment 2),clinical interface engine (legacy),VP IT Service Management & Support,"Director, Vendor & Contract Management",3915000,2023-09-01,2027-12-31,2026-06-30,fixed_annual_fee,Corepoint Integration Engine (legacy),Clinical Informatics,medium,FY25 $3.53M → FY26 $3.92M (+11.0%). Increase driven by list-price uplift and added entitlements under the fixed_annual_fee model; no corresponding change in contracted scope was recorded.,32% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2027-12-31, auto-renewing for 12 months unless written notice is given 180 days before term end. fixed_annual_fee commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 32% unused entitlements at renewal — approximately $0.75M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 180-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,60,none,728000,low
meridian-health,Teradata,Teradata Software License & Support Agreement,legacy enterprise data warehouse appliance,VP Legal & Privacy Counsel,"Director, Vendor & Contract Management",3063000,2024-01-01,2029-12-31,2028-12-30,per_member_per_month,(no 04_applications_systems row for Teradata — services/advisory engagement only),Information Technology & Digital,medium,FY25 $2.95M → FY26 $3.06M (+4.0%). Increase driven by list-price uplift and added entitlements under the per_member_per_month model; no corresponding change in contracted scope was recorded.,16% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2029-12-31, auto-renewing for 12 months unless written notice is given 60 days before term end. per_member_per_month commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 16% unused entitlements at renewal — approximately $0.29M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 60-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,60,yes_once_per_term,492000,low
