role_code,canonical_name,tower_code,capability_code,role_family_code,role_type,allowed_level_min,allowed_level_max,default_rate_band_code,internal_external_default,billable_default,source_artifact,source_row,source_label,status,version
ROL-140,Project Manager,TWR-20,CAP-100,RF-0138,governance,Manager,Senior Manager,ROL-140-LVL-06,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,145,Project Manager,active,1
ROL-141,Scrum Master,TWR-20,CAP-102,RF-0140,governance,Senior,Manager,ROL-141-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,146,Scrum Master,active,1
ROL-142,PMO Analyst,TWR-20,CAP-100,RF-0138,governance,Junior,Intermediate,ROL-142-LVL-10,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,147,PMO Analyst,active,1
ROL-143,Chief Architect,TWR-21,CAP-103,RF-0144,architecture,Director,Managing Director,ROL-143-LVL-04,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,148,Chief Architect,active,1
ROL-144,Enterprise Architect,TWR-21,CAP-103,RF-0144,architecture,Director,Principal,ROL-144-LVL-04,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,149,Enterprise Architect,active,1
ROL-145,Solution Architect,TWR-21,CAP-104,RF-0145,architecture,Lead,Director,ROL-145-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,150,Solution Architect,active,1
ROL-146,Technical Architect,TWR-21,CAP-105,RF-0146,architecture,Lead,Senior Manager,ROL-146-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,151,Technical Architect,active,1
ROL-147,Sourcing Strategy Lead,TWR-01,CAP-004,RF-0004,delivery,Manager,Director,ROL-147-LVL-06,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,152,Sourcing Strategy Lead,active,1
ROL-148,Vendor Management Advisor,TWR-01,CAP-002,RF-0002,delivery,Senior Manager,Director,ROL-148-LVL-05,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,153,Vendor Management Advisor,active,1
ROL-149,Cost Optimization Lead,TWR-01,CAP-004,RF-0004,delivery,Manager,Director,ROL-149-LVL-06,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,154,Cost Optimization Lead,active,1
ROL-150,M&A Integration Lead,TWR-01,CAP-001,RF-0001,delivery,Senior Manager,Principal,ROL-150-LVL-05,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,155,M&A Integration Lead,active,1
ROL-151,Cloud Economics Advisor,TWR-01,CAP-003,RF-0003,delivery,Manager,Director,ROL-151-LVL-06,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,156,Cloud Economics Advisor,active,1
ROL-152,Banking Principal SME,TWR-02,CAP-130,RF-0010,functional,Principal,Managing Director,ROL-152-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,157,Banking Principal SME,active,1
ROL-153,Banking Consultant,TWR-02,CAP-130,RF-0010,functional,Senior,Senior Manager,ROL-153-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,158,Banking Consultant,active,1
ROL-154,Capital Markets Principal SME,TWR-02,CAP-131,RF-0011,functional,Principal,Managing Director,ROL-154-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,159,Capital Markets Principal SME,active,1
ROL-155,Capital Markets Consultant,TWR-02,CAP-131,RF-0011,functional,Senior,Senior Manager,ROL-155-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,160,Capital Markets Consultant,active,1
ROL-156,Insurance Principal SME,TWR-02,CAP-132,RF-0012,functional,Principal,Managing Director,ROL-156-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,161,Insurance Principal SME,active,1
ROL-157,Insurance Consultant,TWR-02,CAP-132,RF-0012,functional,Senior,Senior Manager,ROL-157-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,162,Insurance Consultant,active,1
ROL-158,Payments Principal SME,TWR-02,CAP-133,RF-0013,functional,Principal,Managing Director,ROL-158-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,163,Payments Principal SME,active,1
ROL-159,Payments Consultant,TWR-02,CAP-133,RF-0013,functional,Senior,Senior Manager,ROL-159-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,164,Payments Consultant,active,1
ROL-160,Payer Principal SME,TWR-02,CAP-134,RF-0014,functional,Principal,Managing Director,ROL-160-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,165,Payer Principal SME,active,1
ROL-161,Payer Consultant,TWR-02,CAP-134,RF-0014,functional,Senior,Senior Manager,ROL-161-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,166,Payer Consultant,active,1
ROL-162,Provider Principal SME,TWR-02,CAP-135,RF-0015,functional,Principal,Managing Director,ROL-162-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,167,Provider Principal SME,active,1
ROL-163,Provider Consultant,TWR-02,CAP-135,RF-0015,functional,Senior,Senior Manager,ROL-163-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,168,Provider Consultant,active,1
ROL-164,Life Sciences Principal SME,TWR-02,CAP-136,RF-0016,functional,Principal,Managing Director,ROL-164-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,169,Life Sciences Principal SME,active,1
ROL-165,Life Sciences Consultant,TWR-02,CAP-136,RF-0016,functional,Senior,Senior Manager,ROL-165-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,170,Life Sciences Consultant,active,1
ROL-166,Energy & Utilities Principal SME,TWR-02,CAP-137,RF-0017,functional,Principal,Managing Director,ROL-166-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,171,Energy & Utilities Principal SME,active,1
ROL-167,Energy & Utilities Consultant,TWR-02,CAP-137,RF-0017,functional,Senior,Senior Manager,ROL-167-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,172,Energy & Utilities Consultant,active,1
ROL-168,Telecom Principal SME,TWR-02,CAP-138,RF-0018,functional,Principal,Managing Director,ROL-168-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,173,Telecom Principal SME,active,1
ROL-169,Telecom Consultant,TWR-02,CAP-138,RF-0018,functional,Senior,Senior Manager,ROL-169-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,174,Telecom Consultant,active,1
ROL-170,Media Principal SME,TWR-02,CAP-139,RF-0019,functional,Principal,Managing Director,ROL-170-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,175,Media Principal SME,active,1
ROL-171,Media Consultant,TWR-02,CAP-139,RF-0019,functional,Senior,Senior Manager,ROL-171-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,176,Media Consultant,active,1
ROL-172,Process Architect,TWR-03,CAP-010,RF-0020,architecture,Lead,Director,ROL-172-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,177,Process Architect,active,1
ROL-173,RPA Developer,TWR-03,CAP-129,RF-0023,delivery,Intermediate,Senior,ROL-173-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,178,RPA Developer,active,1
ROL-174,Workflow Designer,TWR-03,CAP-012,RF-0022,delivery,Intermediate,Senior,ROL-174-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,179,Workflow Designer,active,1
ROL-175,Process Analyst,TWR-03,CAP-011,RF-0021,delivery,Junior,Senior,ROL-175-LVL-10,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,180,Process Analyst,active,1
ROL-176,Analytics Engineer (dbt),TWR-04,CAP-019,RF-0030,delivery,Intermediate,Lead,ROL-176-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,181,Analytics Engineer (dbt),active,1
ROL-177,Streaming Data Engineer,TWR-04,CAP-019,RF-0030,delivery,Intermediate,Lead,ROL-177-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,182,Streaming Data Engineer,active,1
ROL-178,DataOps Engineer,TWR-04,CAP-019,RF-0030,delivery,Intermediate,Senior,ROL-178-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,183,DataOps Engineer,active,1
ROL-179,Data Modeler,TWR-04,CAP-013,RF-0024,delivery,Intermediate,Lead,ROL-179-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,184,Data Modeler,active,1
ROL-180,Data Privacy Lead,TWR-04,CAP-014,RF-0025,delivery,Lead,Director,ROL-180-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,185,Data Privacy Lead,active,1
ROL-181,Data Catalog Analyst,TWR-04,CAP-016,RF-0027,delivery,Junior,Senior,ROL-181-LVL-10,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,186,Data Catalog Analyst,active,1
ROL-182,Power BI Developer,TWR-04,CAP-020,RF-0031,delivery,Intermediate,Senior,ROL-182-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,187,Power BI Developer,active,1
ROL-183,Tableau Developer,TWR-04,CAP-020,RF-0031,delivery,Intermediate,Senior,ROL-183-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,188,Tableau Developer,active,1
ROL-184,Looker Developer,TWR-04,CAP-020,RF-0031,delivery,Intermediate,Senior,ROL-184-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,189,Looker Developer,active,1
ROL-185,Data Visualization Designer,TWR-04,CAP-021,RF-0032,delivery,Junior,Senior,ROL-185-LVL-10,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,190,Data Visualization Designer,active,1
ROL-186,Quantitative Analyst,TWR-04,CAP-022,RF-0033,delivery,Senior,Senior Manager,ROL-186-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,191,Quantitative Analyst,active,1
ROL-187,Decision Scientist,TWR-04,CAP-022,RF-0033,delivery,Senior,Senior Manager,ROL-187-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,192,Decision Scientist,active,1
ROL-188,Data Quality Engineer,TWR-04,CAP-015,RF-0026,delivery,Intermediate,Senior,ROL-188-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,193,Data Quality Engineer,active,1
ROL-189,Reference Data Analyst,TWR-04,CAP-017,RF-0028,delivery,Intermediate,Senior,ROL-189-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,194,Reference Data Analyst,active,1
ROL-190,Snowflake Administrator,TWR-04,CAP-023,RF-0034,delivery,Intermediate,Senior,ROL-190-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,195,Snowflake Administrator,active,1
ROL-191,Databricks Platform Engineer,TWR-04,CAP-024,RF-0035,delivery,Senior,Lead,ROL-191-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,196,Databricks Platform Engineer,active,1
ROL-192,Informatica Architect,TWR-04,CAP-025,RF-0036,architecture,Lead,Senior Manager,ROL-192-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,197,Informatica Architect,active,1
ROL-193,Data Scientist,TWR-05,CAP-030,RF-0041,delivery,Intermediate,Senior Manager,ROL-193-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,198,Data Scientist,active,1
ROL-195,NLP Engineer,TWR-05,CAP-028,RF-0039,delivery,Senior,Lead,ROL-195-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,200,NLP Engineer,active,1
ROL-196,Computer Vision Engineer,TWR-05,CAP-030,RF-0041,delivery,Senior,Lead,ROL-196-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,201,Computer Vision Engineer,active,1
ROL-197,RAG Engineer,TWR-05,CAP-028,RF-0039,delivery,Intermediate,Senior,ROL-197-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,202,RAG Engineer,active,1
ROL-198,AI Evaluation Engineer,TWR-05,CAP-035,RF-0046,delivery,Senior,Lead,ROL-198-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,203,AI Evaluation Engineer,active,1
ROL-199,AI Safety Engineer,TWR-05,CAP-033,RF-0044,delivery,Senior,Lead,ROL-199-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,204,AI Safety Engineer,active,1
ROL-200,Knowledge Engineer,TWR-05,CAP-027,RF-0038,delivery,Senior,Lead,ROL-200-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,205,Knowledge Engineer,active,1
ROL-201,Conversational AI Designer,TWR-05,CAP-028,RF-0039,delivery,Intermediate,Senior,ROL-201-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,206,Conversational AI Designer,active,1
ROL-202,AI Platform Engineer,TWR-05,CAP-031,RF-0042,delivery,Senior,Lead,ROL-202-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,207,AI Platform Engineer,active,1
ROL-203,Retrieval Engineer,TWR-05,CAP-032,RF-0043,delivery,Senior,Lead,ROL-203-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,208,Retrieval Engineer,active,1
ROL-204,AI Solution Architect,TWR-05,CAP-027,RF-0038,architecture,Lead,Director,ROL-204-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,209,AI Solution Architect,active,1
ROL-205,Service Designer,TWR-06,CAP-036,RF-0047,delivery,Senior,Senior Manager,ROL-205-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,210,Service Designer,active,1
ROL-206,Content Strategist,TWR-06,CAP-040,RF-0051,delivery,Intermediate,Senior Manager,ROL-206-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,211,Content Strategist,active,1
ROL-207,Accessibility Specialist,TWR-06,CAP-036,RF-0047,delivery,Intermediate,Senior,ROL-207-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,212,Accessibility Specialist,active,1
ROL-208,Design System Lead,TWR-06,CAP-037,RF-0048,delivery,Lead,Senior Manager,ROL-208-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,213,Design System Lead,active,1
ROL-209,Adobe Campaign Consultant,TWR-07,CAP-045,RF-0056,delivery,Senior,Manager,ROL-209-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,214,Adobe Campaign Consultant,active,1
ROL-210,Adobe Target Specialist,TWR-07,CAP-042,RF-0053,delivery,Intermediate,Senior,ROL-210-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,215,Adobe Target Specialist,active,1
ROL-211,MarTech Engineer,TWR-07,CAP-043,RF-0054,delivery,Intermediate,Senior,ROL-211-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,216,MarTech Engineer,active,1
ROL-212,Personalization Lead,TWR-07,CAP-045,RF-0056,delivery,Lead,Senior Manager,ROL-212-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,217,Personalization Lead,active,1
ROL-213,CDP Engineer,TWR-07,CAP-044,RF-0055,delivery,Intermediate,Senior,ROL-213-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,218,CDP Engineer,active,1
ROL-214,Technical Product Manager,TWR-08,CAP-046,RF-0057,delivery,Senior Manager,Director,ROL-214-LVL-05,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,219,Technical Product Manager,active,1
ROL-215,Platform Product Manager,TWR-08,CAP-046,RF-0057,delivery,Senior Manager,Director,ROL-215-LVL-05,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,220,Platform Product Manager,active,1
ROL-216,Product Analyst,TWR-08,CAP-048,RF-0059,delivery,Junior,Senior,ROL-216-LVL-10,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,221,Product Analyst,active,1
ROL-217,Product Designer,TWR-08,CAP-048,RF-0059,delivery,Intermediate,Senior,ROL-217-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,222,Product Designer,active,1
ROL-218,Staff Engineer,TWR-09,CAP-052,RF-0063,delivery,Lead,Principal,ROL-218-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,223,Staff Engineer,active,1
ROL-219,Full-Stack Engineer,TWR-09,CAP-052,RF-0063,delivery,Intermediate,Senior,ROL-219-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,224,Full-Stack Engineer,active,1
ROL-220,Java Engineer,TWR-09,CAP-052,RF-0063,delivery,Intermediate,Senior,ROL-220-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,225,Java Engineer,active,1
ROL-221,.NET Engineer,TWR-09,CAP-052,RF-0063,delivery,Intermediate,Senior,ROL-221-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,226,.NET Engineer,active,1
ROL-222,Python Engineer,TWR-09,CAP-052,RF-0063,delivery,Intermediate,Senior,ROL-222-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,227,Python Engineer,active,1
ROL-223,React Engineer,TWR-09,CAP-051,RF-0062,delivery,Intermediate,Senior,ROL-223-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,228,React Engineer,active,1
ROL-224,iOS Engineer,TWR-09,CAP-053,RF-0064,delivery,Intermediate,Senior,ROL-224-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,229,iOS Engineer,active,1
ROL-225,Android Engineer,TWR-09,CAP-053,RF-0064,delivery,Intermediate,Senior,ROL-225-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,230,Android Engineer,active,1
ROL-226,GraphQL Engineer,TWR-09,CAP-050,RF-0061,delivery,Intermediate,Senior,ROL-226-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,231,GraphQL Engineer,active,1
ROL-227,ServiceNow Architect,TWR-09,CAP-115,RF-0066,architecture,Lead,Director,ROL-227-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,232,ServiceNow Architect,active,1
ROL-228,ServiceNow ITSM Developer,TWR-09,CAP-115,RF-0066,delivery,Intermediate,Senior,ROL-228-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,233,ServiceNow ITSM Developer,active,1
ROL-229,ServiceNow HRSD Developer,TWR-09,CAP-116,RF-0067,delivery,Intermediate,Senior,ROL-229-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,234,ServiceNow HRSD Developer,active,1
ROL-230,ServiceNow ITOM Consultant,TWR-09,CAP-118,RF-0068,delivery,Senior,Senior Manager,ROL-230-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,235,ServiceNow ITOM Consultant,active,1
ROL-231,ServiceNow SecOps Consultant,TWR-09,CAP-119,RF-0069,delivery,Senior,Senior Manager,ROL-231-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,236,ServiceNow SecOps Consultant,active,1
ROL-232,Salesforce Architect,TWR-09,CAP-123,RF-0073,architecture,Lead,Director,ROL-232-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,237,Salesforce Architect,active,1
ROL-233,Salesforce Sales Cloud Consultant,TWR-09,CAP-120,RF-0070,delivery,Senior,Manager,ROL-233-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,238,Salesforce Sales Cloud Consultant,active,1
ROL-234,Salesforce Service Cloud Consultant,TWR-09,CAP-121,RF-0071,delivery,Senior,Manager,ROL-234-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,239,Salesforce Service Cloud Consultant,active,1
ROL-235,Salesforce Marketing Cloud Consultant,TWR-09,CAP-122,RF-0072,delivery,Senior,Manager,ROL-235-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,240,Salesforce Marketing Cloud Consultant,active,1
ROL-236,Apex Developer,TWR-09,CAP-123,RF-0073,delivery,Intermediate,Senior,ROL-236-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,241,Apex Developer,active,1
ROL-237,LWC Developer,TWR-09,CAP-123,RF-0073,delivery,Intermediate,Senior,ROL-237-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,242,LWC Developer,active,1
ROL-238,MuleSoft Architect,TWR-10,CAP-124,RF-0078,architecture,Lead,Director,ROL-238-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,243,MuleSoft Architect,active,1
ROL-239,MuleSoft Developer,TWR-10,CAP-124,RF-0078,delivery,Intermediate,Senior,ROL-239-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,244,MuleSoft Developer,active,1
ROL-240,Kafka Engineer,TWR-10,CAP-056,RF-0075,delivery,Senior,Lead,ROL-240-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,245,Kafka Engineer,active,1
ROL-241,EDI Specialist,TWR-10,CAP-058,RF-0077,delivery,Intermediate,Senior,ROL-241-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,246,EDI Specialist,active,1
ROL-242,API Product Manager,TWR-10,CAP-057,RF-0076,delivery,Senior Manager,Director,ROL-242-LVL-05,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,247,API Product Manager,active,1
ROL-243,SAP FICO Consultant,TWR-11,CAP-059,RF-0079,delivery,Senior,Senior Manager,ROL-243-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,248,SAP FICO Consultant,active,1
ROL-244,SAP MM Consultant,TWR-11,CAP-060,RF-0080,delivery,Senior,Senior Manager,ROL-244-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,249,SAP MM Consultant,active,1
ROL-245,SAP SD Consultant,TWR-11,CAP-060,RF-0080,delivery,Senior,Senior Manager,ROL-245-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,250,SAP SD Consultant,active,1
ROL-246,SAP PP Consultant,TWR-11,CAP-060,RF-0080,delivery,Senior,Senior Manager,ROL-246-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,251,SAP PP Consultant,active,1
ROL-247,SAP EWM Consultant,TWR-11,CAP-060,RF-0080,delivery,Senior,Senior Manager,ROL-247-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,252,SAP EWM Consultant,active,1
ROL-248,SAP ABAP Developer,TWR-11,CAP-107,RF-0087,delivery,Intermediate,Senior,ROL-248-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,253,SAP ABAP Developer,active,1
ROL-249,SAP Fiori Developer,TWR-11,CAP-107,RF-0087,delivery,Intermediate,Senior,ROL-249-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,254,SAP Fiori Developer,active,1
ROL-250,SAP BTP Architect,TWR-11,CAP-108,RF-0088,architecture,Lead,Director,ROL-250-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,255,SAP BTP Architect,active,1
ROL-251,SAP CPI Consultant,TWR-11,CAP-108,RF-0088,delivery,Senior,Senior Manager,ROL-251-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,256,SAP CPI Consultant,active,1
ROL-252,S/4HANA Migration Lead,TWR-11,CAP-106,RF-0086,delivery,Lead,Director,ROL-252-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,257,S/4HANA Migration Lead,active,1
ROL-253,SAP Analytics Cloud Consultant,TWR-11,CAP-111,RF-0091,delivery,Senior,Senior Manager,ROL-253-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,258,SAP Analytics Cloud Consultant,active,1
ROL-254,SAP SuccessFactors Consultant,TWR-11,CAP-109,RF-0089,delivery,Senior,Senior Manager,ROL-254-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,259,SAP SuccessFactors Consultant,active,1
ROL-255,SAP Ariba Consultant,TWR-11,CAP-110,RF-0090,delivery,Senior,Senior Manager,ROL-255-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,260,SAP Ariba Consultant,active,1
ROL-256,Oracle Fusion Finance Consultant,TWR-11,CAP-112,RF-0092,delivery,Senior,Senior Manager,ROL-256-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,261,Oracle Fusion Finance Consultant,active,1
ROL-257,Oracle Fusion HCM Consultant,TWR-11,CAP-112,RF-0092,delivery,Senior,Senior Manager,ROL-257-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,262,Oracle Fusion HCM Consultant,active,1
ROL-258,Oracle EBS Consultant,TWR-11,CAP-062,RF-0082,delivery,Senior,Senior Manager,ROL-258-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,263,Oracle EBS Consultant,active,1
ROL-259,OCI Architect,TWR-11,CAP-113,RF-0093,architecture,Lead,Director,ROL-259-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,264,OCI Architect,active,1
ROL-260,Workday Integration Consultant,TWR-11,CAP-114,RF-0094,delivery,Senior,Senior Manager,ROL-260-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,265,Workday Integration Consultant,active,1
ROL-261,Workday Reporting Analyst,TWR-11,CAP-114,RF-0094,delivery,Intermediate,Senior,ROL-261-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,266,Workday Reporting Analyst,active,1
ROL-262,Workday Adaptive Planning Consultant,TWR-11,CAP-065,RF-0085,delivery,Senior,Senior Manager,ROL-262-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,267,Workday Adaptive Planning Consultant,active,1
ROL-263,Azure Data Engineer,TWR-12,CAP-066,RF-0095,delivery,Intermediate,Senior,ROL-263-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,268,Azure Data Engineer,active,1
ROL-264,Azure Security Engineer,TWR-12,CAP-066,RF-0095,delivery,Senior,Lead,ROL-264-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,269,Azure Security Engineer,active,1
ROL-265,AWS Data Engineer,TWR-12,CAP-067,RF-0096,delivery,Intermediate,Senior,ROL-265-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,270,AWS Data Engineer,active,1
ROL-266,AWS DevOps Engineer,TWR-12,CAP-070,RF-0099,delivery,Intermediate,Senior,ROL-266-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,271,AWS DevOps Engineer,active,1
ROL-267,GCP Data Engineer,TWR-12,CAP-068,RF-0097,delivery,Intermediate,Senior,ROL-267-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,272,GCP Data Engineer,active,1
ROL-268,Kubernetes Architect,TWR-12,CAP-125,RF-0101,architecture,Lead,Director,ROL-268-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,273,Kubernetes Architect,active,1
ROL-269,Kubernetes Engineer,TWR-12,CAP-125,RF-0101,delivery,Intermediate,Senior,ROL-269-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,274,Kubernetes Engineer,active,1
ROL-270,FinOps Analyst,TWR-12,CAP-126,RF-0102,delivery,Intermediate,Senior,ROL-270-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,275,FinOps Analyst,active,1
ROL-271,IaC / Terraform Engineer,TWR-12,CAP-127,RF-0103,delivery,Intermediate,Senior,ROL-271-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,276,IaC / Terraform Engineer,active,1
ROL-272,Landing Zone Architect,TWR-12,CAP-069,RF-0098,architecture,Lead,Director,ROL-272-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,277,Landing Zone Architect,active,1
ROL-273,Cloud Migration Engineer,TWR-12,CAP-066,RF-0095,delivery,Intermediate,Senior,ROL-273-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,278,Cloud Migration Engineer,active,1
