tenant_key,dataset_version,source_row_id,resource_id,contract_id,vendor_ref,vendor_name,cloud_provider,service_name,sku,region,application_ref,business_unit,owner_tag,environment_tag,avg_cpu_utilization_pct,avg_memory_utilization_pct,monthly_spend_usd,rightsize_signal,source_file_id
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:069,AWS-RES-0069,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EKS,c6i.2xlarge,us-east-1,APP-CLOUD-PATIENT-DIGITAL,Patient Access,Patient Access,prod,0.62,0.62,4200,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:070,AZURE-RES-0070,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Virtual Machines,D8s_v5,eastus,APP-CLOUD-DATA-PLATFORM,Enterprise Analytics,Enterprise Analytics,prod,0.69,0.67,4925,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:071,AZURE-RES-0071,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Azure SQL,GP_Gen5_8,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.22,0.22,5650,downsize_candidate,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:072,AZURE-RES-0072,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Synapse,DW300c,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.29,0.27,6375,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:073,AWS-RES-0073,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EC2,m6i.4xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.36,0.32,7100,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:074,AWS-RES-0074,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,RDS,db.r6i.2xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.43,0.37,7825,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:075,AWS-RES-0075,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EKS,c6i.2xlarge,us-east-1,APP-CLOUD-PATIENT-DIGITAL,Patient Access,Patient Access,prod,0.5,0.42,8550,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:076,AZURE-RES-0076,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Virtual Machines,D8s_v5,eastus,APP-CLOUD-DATA-PLATFORM,Enterprise Analytics,Enterprise Analytics,prod,0.57,0.47,9275,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:077,AZURE-RES-0077,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Azure SQL,GP_Gen5_8,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.64,0.52,10000,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:078,AZURE-RES-0078,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Synapse,DW300c,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,,prod,0.71,0.57,10725,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:079,AWS-RES-0079,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EC2,m6i.4xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,,0.24,0.62,11450,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:080,AWS-RES-0080,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,RDS,db.r6i.2xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.31,0.67,12175,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:081,AWS-RES-0081,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EKS,c6i.2xlarge,us-east-1,APP-CLOUD-PATIENT-DIGITAL,Patient Access,Patient Access,prod,0.38,0.22,12900,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:082,AZURE-RES-0082,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Virtual Machines,D8s_v5,eastus,APP-CLOUD-DATA-PLATFORM,Enterprise Analytics,Enterprise Analytics,prod,0.45,0.27,13625,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:083,AZURE-RES-0083,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Azure SQL,GP_Gen5_8,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.52,0.32,14350,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:084,AZURE-RES-0084,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Synapse,DW300c,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.59,0.37,15075,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
