edge_id,source_app_id,target_app_id,integration_type,latency_sla,kill_blocker_flag
INT-0455,APP-0393,APP-0053,DB link,batch-daily,false
INT-0456,APP-0324,APP-0100,file/SFTP,batch-hourly,false
INT-0457,APP-0250,APP-0411,DB link,near-realtime,true
INT-0458,APP-0108,APP-0125,REST,near-realtime,false
INT-0459,APP-0278,APP-0495,file/SFTP,batch-hourly,true
INT-0460,APP-0151,APP-0154,DB link,realtime,false
INT-0461,APP-0380,APP-0440,ETL batch,realtime,false
INT-0462,APP-0302,APP-0574,REST,batch-daily,false
INT-0463,APP-0380,APP-0351,Kafka,batch-hourly,true
INT-0464,APP-0115,APP-0467,DB link,near-realtime,false
INT-0465,APP-0401,APP-0113,file/SFTP,batch-daily,false
INT-0466,APP-0113,APP-0310,SOAP,near-realtime,false
INT-0467,APP-0275,APP-0174,DB link,realtime,false
INT-0468,APP-0093,APP-0363,MQ,near-realtime,false
INT-0469,APP-0211,APP-0058,file/SFTP,realtime,false
INT-0470,APP-0581,APP-0291,MQ,near-realtime,true
INT-0471,APP-0040,APP-0334,REST,realtime,false
INT-0472,APP-0019,APP-0541,DB link,realtime,false
INT-0473,APP-0129,APP-0382,ETL batch,realtime,false
INT-0474,APP-0205,APP-0151,DB link,batch-hourly,false
INT-0475,APP-0119,APP-0592,DB link,realtime,true
INT-0476,APP-0310,APP-0285,MQ,batch-daily,false
INT-0477,APP-0593,APP-0177,file/SFTP,near-realtime,false
INT-0478,APP-0027,APP-0150,SOAP,realtime,false
INT-0479,APP-0196,APP-0123,SOAP,batch-daily,false
INT-0480,APP-0379,APP-0338,ETL batch,batch-daily,false
INT-0481,APP-0162,APP-0491,ETL batch,near-realtime,false
INT-0482,APP-0247,APP-0464,DB link,near-realtime,false
INT-0483,APP-0048,APP-0415,SOAP,batch-daily,false
INT-0484,APP-0274,APP-0398,DB link,realtime,true
INT-0485,APP-0375,APP-0147,file/SFTP,near-realtime,false
INT-0486,APP-0289,APP-0386,DB link,batch-daily,false
INT-0487,APP-0487,APP-0291,file/SFTP,near-realtime,false
INT-0488,APP-0154,APP-0593,DB link,realtime,false
INT-0489,APP-0311,APP-0314,DB link,realtime,false
INT-0490,APP-0221,APP-0469,Kafka,batch-daily,false
INT-0491,APP-0291,APP-0480,Kafka,realtime,false
INT-0492,APP-0262,APP-0009,MQ,batch-hourly,true
INT-0493,APP-0297,APP-0050,SOAP,batch-hourly,false
INT-0494,APP-0268,APP-0061,DB link,batch-hourly,false
INT-0495,APP-0379,APP-0157,REST,batch-hourly,false
INT-0496,APP-0027,APP-0308,REST,batch-daily,true
INT-0497,APP-0564,APP-0024,MQ,near-realtime,false
INT-0498,APP-0558,APP-0205,MQ,near-realtime,false
INT-0499,APP-0216,APP-0254,SOAP,batch-daily,false
INT-0500,APP-0091,APP-0083,SOAP,batch-daily,false
