profile_id,tenant_key,entity_type,entity_key,display_name,record_count,confidence,summary
"profile:vendors:CTO_/_Infrastructure,_Cloud_&_Platform:_Governed_data_foundation_for_AI_/_LLM_automation",meridian-health,vendors,"CTO / Infrastructure, Cloud & Platform: Governed data foundation for AI / LLM automation","CTO / Infrastructure, Cloud & Platform: Governed data foundation for AI / LLM automation",1,high,"CTO / Infrastructure, Cloud & Platform: Governed data foundation for AI / LLM automation"
"profile:vendors:CTO_/_Infrastructure,_Cloud_&_Platform:_Call_center_optimization",meridian-health,vendors,"CTO / Infrastructure, Cloud & Platform: Call center optimization","CTO / Infrastructure, Cloud & Platform: Call center optimization",1,high,"CTO / Infrastructure, Cloud & Platform: Call center optimization"
profile:vendors:CDAO_/_Data_&_Analytics:_End-to-end_cost_transparency,meridian-health,vendors,CDAO / Data & Analytics: End-to-end cost transparency,CDAO / Data & Analytics: End-to-end cost transparency,2,medium,CDAO / Data & Analytics: End-to-end cost transparency; CDAO / Data & Analytics: End-to-end cost transparency
profile:vendors:CDAO_/_Data_&_Analytics:_Payment_integrity_and_leakage_reduction,meridian-health,vendors,CDAO / Data & Analytics: Payment integrity and leakage reduction,CDAO / Data & Analytics: Payment integrity and leakage reduction,2,medium,CDAO / Data & Analytics: Payment integrity and leakage reduction; CDAO / Data & Analytics: Payment integrity and leakage reduction
profile:vendors:CDAO_/_Data_&_Analytics:_Automated_close_and_reporting,meridian-health,vendors,CDAO / Data & Analytics: Automated close and reporting,CDAO / Data & Analytics: Automated close and reporting,2,high,CDAO / Data & Analytics: Automated close and reporting; CDAO / Data & Analytics: Automated close and reporting
profile:vendors:CDAO_/_Data_&_Analytics:_Unified_clinical_+_claims_lakehouse,meridian-health,vendors,CDAO / Data & Analytics: Unified clinical + claims lakehouse,CDAO / Data & Analytics: Unified clinical + claims lakehouse,2,high,CDAO / Data & Analytics: Unified clinical + claims lakehouse; CDAO / Data & Analytics: Unified clinical + claims lakehouse
profile:vendors:CDAO_/_Data_&_Analytics:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,vendors,CDAO / Data & Analytics: Governed data foundation for AI / LLM automation,CDAO / Data & Analytics: Governed data foundation for AI / LLM automation,2,medium,CDAO / Data & Analytics: Governed data foundation for AI / LLM automation; CDAO / Data & Analytics: Governed data foundation for AI / LLM automation
profile:vendors:CDAO_/_Data_&_Analytics:_Call_center_optimization,meridian-health,vendors,CDAO / Data & Analytics: Call center optimization,CDAO / Data & Analytics: Call center optimization,1,high,CDAO / Data & Analytics: Call center optimization
profile:vendors:CDAO_/_Data_&_Analytics:_Provider_quality_and_performance,meridian-health,vendors,CDAO / Data & Analytics: Provider quality and performance,CDAO / Data & Analytics: Provider quality and performance,1,high,CDAO / Data & Analytics: Provider quality and performance
profile:vendors:Chief_Experience_Officer_/_Member_Experience:_Payment_integrity_and_leakage_reduction,meridian-health,vendors,Chief Experience Officer / Member Experience: Payment integrity and leakage reduction,Chief Experience Officer / Member Experience: Payment integrity and leakage reduction,2,medium,Chief Experience Officer / Member Experience: Payment integrity and leakage reduction; Chief Experience Officer / Member Experience: Payment integrity and leakage reduction
profile:vendors:Chief_Experience_Officer_/_Member_Experience:_Automated_close_and_reporting,meridian-health,vendors,Chief Experience Officer / Member Experience: Automated close and reporting,Chief Experience Officer / Member Experience: Automated close and reporting,2,medium,Chief Experience Officer / Member Experience: Automated close and reporting; Chief Experience Officer / Member Experience: Automated close and reporting
profile:vendors:Chief_Experience_Officer_/_Member_Experience:_Unified_clinical_+_claims_lakehouse,meridian-health,vendors,Chief Experience Officer / Member Experience: Unified clinical + claims lakehouse,Chief Experience Officer / Member Experience: Unified clinical + claims lakehouse,2,high,Chief Experience Officer / Member Experience: Unified clinical + claims lakehouse; Chief Experience Officer / Member Experience: Unified clinical + claims lakehouse
profile:vendors:Chief_Experience_Officer_/_Member_Experience:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,vendors,Chief Experience Officer / Member Experience: Governed data foundation for AI / LLM automation,Chief Experience Officer / Member Experience: Governed data foundation for AI / LLM automation,2,high,Chief Experience Officer / Member Experience: Governed data foundation for AI / LLM automation; Chief Experience Officer / Member Experience: Governed data foundation for AI / LLM automation
profile:vendors:Chief_Experience_Officer_/_Member_Experience:_Call_center_optimization,meridian-health,vendors,Chief Experience Officer / Member Experience: Call center optimization,Chief Experience Officer / Member Experience: Call center optimization,2,medium,Chief Experience Officer / Member Experience: Call center optimization; Chief Experience Officer / Member Experience: Call center optimization
profile:vendors:Chief_Experience_Officer_/_Member_Experience:_Provider_quality_and_performance,meridian-health,vendors,Chief Experience Officer / Member Experience: Provider quality and performance,Chief Experience Officer / Member Experience: Provider quality and performance,1,high,Chief Experience Officer / Member Experience: Provider quality and performance
profile:vendors:Chief_Experience_Officer_/_Member_Experience:_End-to-end_cost_transparency,meridian-health,vendors,Chief Experience Officer / Member Experience: End-to-end cost transparency,Chief Experience Officer / Member Experience: End-to-end cost transparency,1,high,Chief Experience Officer / Member Experience: End-to-end cost transparency
profile:vendors:COO_/_Operations:_Automated_close_and_reporting,meridian-health,vendors,COO / Operations: Automated close and reporting,COO / Operations: Automated close and reporting,2,medium,COO / Operations: Automated close and reporting; COO / Operations: Automated close and reporting
profile:vendors:COO_/_Operations:_Unified_clinical_+_claims_lakehouse,meridian-health,vendors,COO / Operations: Unified clinical + claims lakehouse,COO / Operations: Unified clinical + claims lakehouse,2,medium,COO / Operations: Unified clinical + claims lakehouse; COO / Operations: Unified clinical + claims lakehouse
profile:vendors:COO_/_Operations:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,vendors,COO / Operations: Governed data foundation for AI / LLM automation,COO / Operations: Governed data foundation for AI / LLM automation,2,high,COO / Operations: Governed data foundation for AI / LLM automation; COO / Operations: Governed data foundation for AI / LLM automation
profile:vendors:COO_/_Operations:_Call_center_optimization,meridian-health,vendors,COO / Operations: Call center optimization,COO / Operations: Call center optimization,2,high,COO / Operations: Call center optimization; COO / Operations: Call center optimization
profile:vendors:COO_/_Operations:_Provider_quality_and_performance,meridian-health,vendors,COO / Operations: Provider quality and performance,COO / Operations: Provider quality and performance,2,medium,COO / Operations: Provider quality and performance; COO / Operations: Provider quality and performance
profile:vendors:COO_/_Operations:_End-to-end_cost_transparency,meridian-health,vendors,COO / Operations: End-to-end cost transparency,COO / Operations: End-to-end cost transparency,1,high,COO / Operations: End-to-end cost transparency
profile:vendors:COO_/_Operations:_Payment_integrity_and_leakage_reduction,meridian-health,vendors,COO / Operations: Payment integrity and leakage reduction,COO / Operations: Payment integrity and leakage reduction,1,high,COO / Operations: Payment integrity and leakage reduction
profile:vendors:Chief_Medical_/_Clinical_Operations:_Unified_clinical_+_claims_lakehouse,meridian-health,vendors,Chief Medical / Clinical Operations: Unified clinical + claims lakehouse,Chief Medical / Clinical Operations: Unified clinical + claims lakehouse,2,medium,Chief Medical / Clinical Operations: Unified clinical + claims lakehouse; Chief Medical / Clinical Operations: Unified clinical + claims lakehouse
profile:vendors:Chief_Medical_/_Clinical_Operations:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,vendors,Chief Medical / Clinical Operations: Governed data foundation for AI / LLM automation,Chief Medical / Clinical Operations: Governed data foundation for AI / LLM automation,2,medium,Chief Medical / Clinical Operations: Governed data foundation for AI / LLM automation; Chief Medical / Clinical Operations: Governed data foundation for AI / LLM automation
profile:vendors:Chief_Medical_/_Clinical_Operations:_Call_center_optimization,meridian-health,vendors,Chief Medical / Clinical Operations: Call center optimization,Chief Medical / Clinical Operations: Call center optimization,2,high,Chief Medical / Clinical Operations: Call center optimization; Chief Medical / Clinical Operations: Call center optimization
profile:vendors:Chief_Medical_/_Clinical_Operations:_Provider_quality_and_performance,meridian-health,vendors,Chief Medical / Clinical Operations: Provider quality and performance,Chief Medical / Clinical Operations: Provider quality and performance,2,high,Chief Medical / Clinical Operations: Provider quality and performance; Chief Medical / Clinical Operations: Provider quality and performance
profile:vendors:Chief_Medical_/_Clinical_Operations:_End-to-end_cost_transparency,meridian-health,vendors,Chief Medical / Clinical Operations: End-to-end cost transparency,Chief Medical / Clinical Operations: End-to-end cost transparency,2,medium,Chief Medical / Clinical Operations: End-to-end cost transparency; Chief Medical / Clinical Operations: End-to-end cost transparency
profile:vendors:Chief_Medical_/_Clinical_Operations:_Payment_integrity_and_leakage_reduction,meridian-health,vendors,Chief Medical / Clinical Operations: Payment integrity and leakage reduction,Chief Medical / Clinical Operations: Payment integrity and leakage reduction,1,high,Chief Medical / Clinical Operations: Payment integrity and leakage reduction
profile:vendors:Chief_Medical_/_Clinical_Operations:_Automated_close_and_reporting,meridian-health,vendors,Chief Medical / Clinical Operations: Automated close and reporting,Chief Medical / Clinical Operations: Automated close and reporting,1,high,Chief Medical / Clinical Operations: Automated close and reporting
profile:vendors:Health_Plan_Operations_/_Claims_&_Eligibility:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,vendors,Health Plan Operations / Claims & Eligibility: Governed data foundation for AI / LLM automation,Health Plan Operations / Claims & Eligibility: Governed data foundation for AI / LLM automation,2,medium,Health Plan Operations / Claims & Eligibility: Governed data foundation for AI / LLM automation; Health Plan Operations / Claims & Eligibility: Governed data foundation for AI / LLM automation
profile:vendors:Health_Plan_Operations_/_Claims_&_Eligibility:_Call_center_optimization,meridian-health,vendors,Health Plan Operations / Claims & Eligibility: Call center optimization,Health Plan Operations / Claims & Eligibility: Call center optimization,2,medium,Health Plan Operations / Claims & Eligibility: Call center optimization; Health Plan Operations / Claims & Eligibility: Call center optimization
profile:vendors:Health_Plan_Operations_/_Claims_&_Eligibility:_Provider_quality_and_performance,meridian-health,vendors,Health Plan Operations / Claims & Eligibility: Provider quality and performance,Health Plan Operations / Claims & Eligibility: Provider quality and performance,2,high,Health Plan Operations / Claims & Eligibility: Provider quality and performance; Health Plan Operations / Claims & Eligibility: Provider quality and performance
profile:vendors:Health_Plan_Operations_/_Claims_&_Eligibility:_End-to-end_cost_transparency,meridian-health,vendors,Health Plan Operations / Claims & Eligibility: End-to-end cost transparency,Health Plan Operations / Claims & Eligibility: End-to-end cost transparency,2,high,Health Plan Operations / Claims & Eligibility: End-to-end cost transparency; Health Plan Operations / Claims & Eligibility: End-to-end cost transparency
profile:vendors:Health_Plan_Operations_/_Claims_&_Eligibility:_Payment_integrity_and_leakage_reduction,meridian-health,vendors,Health Plan Operations / Claims & Eligibility: Payment integrity and leakage reduction,Health Plan Operations / Claims & Eligibility: Payment integrity and leakage reduction,2,medium,Health Plan Operations / Claims & Eligibility: Payment integrity and leakage reduction; Health Plan Operations / Claims & Eligibility: Payment integrity and leakage reduction
profile:vendors:Health_Plan_Operations_/_Claims_&_Eligibility:_Automated_close_and_reporting,meridian-health,vendors,Health Plan Operations / Claims & Eligibility: Automated close and reporting,Health Plan Operations / Claims & Eligibility: Automated close and reporting,1,high,Health Plan Operations / Claims & Eligibility: Automated close and reporting
profile:vendors:Health_Plan_Operations_/_Claims_&_Eligibility:_Unified_clinical_+_claims_lakehouse,meridian-health,vendors,Health Plan Operations / Claims & Eligibility: Unified clinical + claims lakehouse,Health Plan Operations / Claims & Eligibility: Unified clinical + claims lakehouse,1,high,Health Plan Operations / Claims & Eligibility: Unified clinical + claims lakehouse
profile:vendors:Contact_Center_/_Member_Service_Operations:_Call_center_optimization,meridian-health,vendors,Contact Center / Member Service Operations: Call center optimization,Contact Center / Member Service Operations: Call center optimization,2,medium,Contact Center / Member Service Operations: Call center optimization; Contact Center / Member Service Operations: Call center optimization
profile:vendors:Contact_Center_/_Member_Service_Operations:_Provider_quality_and_performance,meridian-health,vendors,Contact Center / Member Service Operations: Provider quality and performance,Contact Center / Member Service Operations: Provider quality and performance,2,medium,Contact Center / Member Service Operations: Provider quality and performance; Contact Center / Member Service Operations: Provider quality and performance
profile:vendors:Contact_Center_/_Member_Service_Operations:_End-to-end_cost_transparency,meridian-health,vendors,Contact Center / Member Service Operations: End-to-end cost transparency,Contact Center / Member Service Operations: End-to-end cost transparency,2,high,Contact Center / Member Service Operations: End-to-end cost transparency; Contact Center / Member Service Operations: End-to-end cost transparency
profile:vendors:Contact_Center_/_Member_Service_Operations:_Payment_integrity_and_leakage_reduction,meridian-health,vendors,Contact Center / Member Service Operations: Payment integrity and leakage reduction,Contact Center / Member Service Operations: Payment integrity and leakage reduction,2,high,Contact Center / Member Service Operations: Payment integrity and leakage reduction; Contact Center / Member Service Operations: Payment integrity and leakage reduction
profile:vendors:Contact_Center_/_Member_Service_Operations:_Automated_close_and_reporting,meridian-health,vendors,Contact Center / Member Service Operations: Automated close and reporting,Contact Center / Member Service Operations: Automated close and reporting,2,medium,Contact Center / Member Service Operations: Automated close and reporting; Contact Center / Member Service Operations: Automated close and reporting
profile:vendors:Contact_Center_/_Member_Service_Operations:_Unified_clinical_+_claims_lakehouse,meridian-health,vendors,Contact Center / Member Service Operations: Unified clinical + claims lakehouse,Contact Center / Member Service Operations: Unified clinical + claims lakehouse,1,high,Contact Center / Member Service Operations: Unified clinical + claims lakehouse
profile:vendors:Contact_Center_/_Member_Service_Operations:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,vendors,Contact Center / Member Service Operations: Governed data foundation for AI / LLM automation,Contact Center / Member Service Operations: Governed data foundation for AI / LLM automation,1,high,Contact Center / Member Service Operations: Governed data foundation for AI / LLM automation
profile:vendors:Privacy_/_Compliance_/_Legal:_Provider_quality_and_performance,meridian-health,vendors,Privacy / Compliance / Legal: Provider quality and performance,Privacy / Compliance / Legal: Provider quality and performance,2,medium,Privacy / Compliance / Legal: Provider quality and performance; Privacy / Compliance / Legal: Provider quality and performance
profile:vendors:Privacy_/_Compliance_/_Legal:_End-to-end_cost_transparency,meridian-health,vendors,Privacy / Compliance / Legal: End-to-end cost transparency,Privacy / Compliance / Legal: End-to-end cost transparency,2,medium,Privacy / Compliance / Legal: End-to-end cost transparency; Privacy / Compliance / Legal: End-to-end cost transparency
profile:vendors:Privacy_/_Compliance_/_Legal:_Payment_integrity_and_leakage_reduction,meridian-health,vendors,Privacy / Compliance / Legal: Payment integrity and leakage reduction,Privacy / Compliance / Legal: Payment integrity and leakage reduction,2,high,Privacy / Compliance / Legal: Payment integrity and leakage reduction; Privacy / Compliance / Legal: Payment integrity and leakage reduction
profile:vendors:Privacy_/_Compliance_/_Legal:_Automated_close_and_reporting,meridian-health,vendors,Privacy / Compliance / Legal: Automated close and reporting,Privacy / Compliance / Legal: Automated close and reporting,2,high,Privacy / Compliance / Legal: Automated close and reporting; Privacy / Compliance / Legal: Automated close and reporting
profile:vendors:Privacy_/_Compliance_/_Legal:_Unified_clinical_+_claims_lakehouse,meridian-health,vendors,Privacy / Compliance / Legal: Unified clinical + claims lakehouse,Privacy / Compliance / Legal: Unified clinical + claims lakehouse,2,medium,Privacy / Compliance / Legal: Unified clinical + claims lakehouse; Privacy / Compliance / Legal: Unified clinical + claims lakehouse
profile:vendors:Privacy_/_Compliance_/_Legal:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,vendors,Privacy / Compliance / Legal: Governed data foundation for AI / LLM automation,Privacy / Compliance / Legal: Governed data foundation for AI / LLM automation,1,high,Privacy / Compliance / Legal: Governed data foundation for AI / LLM automation
profile:vendors:Privacy_/_Compliance_/_Legal:_Call_center_optimization,meridian-health,vendors,Privacy / Compliance / Legal: Call center optimization,Privacy / Compliance / Legal: Call center optimization,1,high,Privacy / Compliance / Legal: Call center optimization
profile:vendors:CISO_/_Security:_End-to-end_cost_transparency,meridian-health,vendors,CISO / Security: End-to-end cost transparency,CISO / Security: End-to-end cost transparency,2,medium,CISO / Security: End-to-end cost transparency; CISO / Security: End-to-end cost transparency
profile:vendors:CISO_/_Security:_Payment_integrity_and_leakage_reduction,meridian-health,vendors,CISO / Security: Payment integrity and leakage reduction,CISO / Security: Payment integrity and leakage reduction,2,medium,CISO / Security: Payment integrity and leakage reduction; CISO / Security: Payment integrity and leakage reduction
profile:vendors:CISO_/_Security:_Automated_close_and_reporting,meridian-health,vendors,CISO / Security: Automated close and reporting,CISO / Security: Automated close and reporting,2,high,CISO / Security: Automated close and reporting; CISO / Security: Automated close and reporting
profile:vendors:CISO_/_Security:_Unified_clinical_+_claims_lakehouse,meridian-health,vendors,CISO / Security: Unified clinical + claims lakehouse,CISO / Security: Unified clinical + claims lakehouse,2,high,CISO / Security: Unified clinical + claims lakehouse; CISO / Security: Unified clinical + claims lakehouse
profile:vendors:CISO_/_Security:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,vendors,CISO / Security: Governed data foundation for AI / LLM automation,CISO / Security: Governed data foundation for AI / LLM automation,2,medium,CISO / Security: Governed data foundation for AI / LLM automation; CISO / Security: Governed data foundation for AI / LLM automation
profile:vendors:CISO_/_Security:_Call_center_optimization,meridian-health,vendors,CISO / Security: Call center optimization,CISO / Security: Call center optimization,1,high,CISO / Security: Call center optimization
profile:vendors:CISO_/_Security:_Provider_quality_and_performance,meridian-health,vendors,CISO / Security: Provider quality and performance,CISO / Security: Provider quality and performance,1,high,CISO / Security: Provider quality and performance
profile:vendors:Enterprise_Architecture:_Payment_integrity_and_leakage_reduction,meridian-health,vendors,Enterprise Architecture: Payment integrity and leakage reduction,Enterprise Architecture: Payment integrity and leakage reduction,2,medium,Enterprise Architecture: Payment integrity and leakage reduction; Enterprise Architecture: Payment integrity and leakage reduction
profile:vendors:Enterprise_Architecture:_Automated_close_and_reporting,meridian-health,vendors,Enterprise Architecture: Automated close and reporting,Enterprise Architecture: Automated close and reporting,2,medium,Enterprise Architecture: Automated close and reporting; Enterprise Architecture: Automated close and reporting
profile:vendors:Enterprise_Architecture:_Unified_clinical_+_claims_lakehouse,meridian-health,vendors,Enterprise Architecture: Unified clinical + claims lakehouse,Enterprise Architecture: Unified clinical + claims lakehouse,2,high,Enterprise Architecture: Unified clinical + claims lakehouse; Enterprise Architecture: Unified clinical + claims lakehouse
profile:vendors:Enterprise_Architecture:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,vendors,Enterprise Architecture: Governed data foundation for AI / LLM automation,Enterprise Architecture: Governed data foundation for AI / LLM automation,2,high,Enterprise Architecture: Governed data foundation for AI / LLM automation; Enterprise Architecture: Governed data foundation for AI / LLM automation
profile:vendors:Enterprise_Architecture:_Call_center_optimization,meridian-health,vendors,Enterprise Architecture: Call center optimization,Enterprise Architecture: Call center optimization,2,medium,Enterprise Architecture: Call center optimization; Enterprise Architecture: Call center optimization
profile:vendors:Enterprise_Architecture:_Provider_quality_and_performance,meridian-health,vendors,Enterprise Architecture: Provider quality and performance,Enterprise Architecture: Provider quality and performance,1,high,Enterprise Architecture: Provider quality and performance
profile:vendors:Enterprise_Architecture:_End-to-end_cost_transparency,meridian-health,vendors,Enterprise Architecture: End-to-end cost transparency,Enterprise Architecture: End-to-end cost transparency,1,high,Enterprise Architecture: End-to-end cost transparency
profile:vendors:Application_Owners_/_Business_Applications:_Automated_close_and_reporting,meridian-health,vendors,Application Owners / Business Applications: Automated close and reporting,Application Owners / Business Applications: Automated close and reporting,2,medium,Application Owners / Business Applications: Automated close and reporting; Application Owners / Business Applications: Automated close and reporting
profile:vendors:Application_Owners_/_Business_Applications:_Unified_clinical_+_claims_lakehouse,meridian-health,vendors,Application Owners / Business Applications: Unified clinical + claims lakehouse,Application Owners / Business Applications: Unified clinical + claims lakehouse,2,medium,Application Owners / Business Applications: Unified clinical + claims lakehouse; Application Owners / Business Applications: Unified clinical + claims lakehouse
profile:vendors:Application_Owners_/_Business_Applications:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,vendors,Application Owners / Business Applications: Governed data foundation for AI / LLM automation,Application Owners / Business Applications: Governed data foundation for AI / LLM automation,2,high,Application Owners / Business Applications: Governed data foundation for AI / LLM automation; Application Owners / Business Applications: Governed data foundation for AI / LLM automation
profile:vendors:Application_Owners_/_Business_Applications:_Call_center_optimization,meridian-health,vendors,Application Owners / Business Applications: Call center optimization,Application Owners / Business Applications: Call center optimization,2,high,Application Owners / Business Applications: Call center optimization; Application Owners / Business Applications: Call center optimization
profile:vendors:Application_Owners_/_Business_Applications:_Provider_quality_and_performance,meridian-health,vendors,Application Owners / Business Applications: Provider quality and performance,Application Owners / Business Applications: Provider quality and performance,2,medium,Application Owners / Business Applications: Provider quality and performance; Application Owners / Business Applications: Provider quality and performance
profile:vendors:Application_Owners_/_Business_Applications:_End-to-end_cost_transparency,meridian-health,vendors,Application Owners / Business Applications: End-to-end cost transparency,Application Owners / Business Applications: End-to-end cost transparency,1,high,Application Owners / Business Applications: End-to-end cost transparency
profile:vendors:Application_Owners_/_Business_Applications:_Payment_integrity_and_leakage_reduction,meridian-health,vendors,Application Owners / Business Applications: Payment integrity and leakage reduction,Application Owners / Business Applications: Payment integrity and leakage reduction,1,high,Application Owners / Business Applications: Payment integrity and leakage reduction
profile:vendors:Service_Management_/_IT_Operations:_Unified_clinical_+_claims_lakehouse,meridian-health,vendors,Service Management / IT Operations: Unified clinical + claims lakehouse,Service Management / IT Operations: Unified clinical + claims lakehouse,2,medium,Service Management / IT Operations: Unified clinical + claims lakehouse; Service Management / IT Operations: Unified clinical + claims lakehouse
profile:vendors:Service_Management_/_IT_Operations:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,vendors,Service Management / IT Operations: Governed data foundation for AI / LLM automation,Service Management / IT Operations: Governed data foundation for AI / LLM automation,2,medium,Service Management / IT Operations: Governed data foundation for AI / LLM automation; Service Management / IT Operations: Governed data foundation for AI / LLM automation
profile:vendors:Service_Management_/_IT_Operations:_Call_center_optimization,meridian-health,vendors,Service Management / IT Operations: Call center optimization,Service Management / IT Operations: Call center optimization,2,high,Service Management / IT Operations: Call center optimization; Service Management / IT Operations: Call center optimization
profile:vendors:Service_Management_/_IT_Operations:_Provider_quality_and_performance,meridian-health,vendors,Service Management / IT Operations: Provider quality and performance,Service Management / IT Operations: Provider quality and performance,2,high,Service Management / IT Operations: Provider quality and performance; Service Management / IT Operations: Provider quality and performance
profile:vendors:Service_Management_/_IT_Operations:_End-to-end_cost_transparency,meridian-health,vendors,Service Management / IT Operations: End-to-end cost transparency,Service Management / IT Operations: End-to-end cost transparency,2,medium,Service Management / IT Operations: End-to-end cost transparency; Service Management / IT Operations: End-to-end cost transparency
profile:vendors:Service_Management_/_IT_Operations:_Payment_integrity_and_leakage_reduction,meridian-health,vendors,Service Management / IT Operations: Payment integrity and leakage reduction,Service Management / IT Operations: Payment integrity and leakage reduction,1,high,Service Management / IT Operations: Payment integrity and leakage reduction
profile:vendors:Service_Management_/_IT_Operations:_Automated_close_and_reporting,meridian-health,vendors,Service Management / IT Operations: Automated close and reporting,Service Management / IT Operations: Automated close and reporting,1,high,Service Management / IT Operations: Automated close and reporting
profile:vendors:Procurement_/_Vendor_Management:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,vendors,Procurement / Vendor Management: Governed data foundation for AI / LLM automation,Procurement / Vendor Management: Governed data foundation for AI / LLM automation,2,medium,Procurement / Vendor Management: Governed data foundation for AI / LLM automation; Procurement / Vendor Management: Governed data foundation for AI / LLM automation
profile:vendors:Procurement_/_Vendor_Management:_Call_center_optimization,meridian-health,vendors,Procurement / Vendor Management: Call center optimization,Procurement / Vendor Management: Call center optimization,2,medium,Procurement / Vendor Management: Call center optimization; Procurement / Vendor Management: Call center optimization
profile:vendors:Procurement_/_Vendor_Management:_Provider_quality_and_performance,meridian-health,vendors,Procurement / Vendor Management: Provider quality and performance,Procurement / Vendor Management: Provider quality and performance,2,high,Procurement / Vendor Management: Provider quality and performance; Procurement / Vendor Management: Provider quality and performance
profile:vendors:Procurement_/_Vendor_Management:_End-to-end_cost_transparency,meridian-health,vendors,Procurement / Vendor Management: End-to-end cost transparency,Procurement / Vendor Management: End-to-end cost transparency,2,high,Procurement / Vendor Management: End-to-end cost transparency; Procurement / Vendor Management: End-to-end cost transparency
profile:vendors:Procurement_/_Vendor_Management:_Payment_integrity_and_leakage_reduction,meridian-health,vendors,Procurement / Vendor Management: Payment integrity and leakage reduction,Procurement / Vendor Management: Payment integrity and leakage reduction,2,medium,Procurement / Vendor Management: Payment integrity and leakage reduction; Procurement / Vendor Management: Payment integrity and leakage reduction
profile:vendors:Procurement_/_Vendor_Management:_Automated_close_and_reporting,meridian-health,vendors,Procurement / Vendor Management: Automated close and reporting,Procurement / Vendor Management: Automated close and reporting,1,high,Procurement / Vendor Management: Automated close and reporting
profile:vendors:Procurement_/_Vendor_Management:_Unified_clinical_+_claims_lakehouse,meridian-health,vendors,Procurement / Vendor Management: Unified clinical + claims lakehouse,Procurement / Vendor Management: Unified clinical + claims lakehouse,1,high,Procurement / Vendor Management: Unified clinical + claims lakehouse
profile:vendors:HR_/_Workforce_/_Change_Management:_Call_center_optimization,meridian-health,vendors,HR / Workforce / Change Management: Call center optimization,HR / Workforce / Change Management: Call center optimization,2,medium,HR / Workforce / Change Management: Call center optimization; HR / Workforce / Change Management: Call center optimization
profile:vendors:HR_/_Workforce_/_Change_Management:_Provider_quality_and_performance,meridian-health,vendors,HR / Workforce / Change Management: Provider quality and performance,HR / Workforce / Change Management: Provider quality and performance,2,medium,HR / Workforce / Change Management: Provider quality and performance; HR / Workforce / Change Management: Provider quality and performance
profile:vendors:HR_/_Workforce_/_Change_Management:_End-to-end_cost_transparency,meridian-health,vendors,HR / Workforce / Change Management: End-to-end cost transparency,HR / Workforce / Change Management: End-to-end cost transparency,2,high,HR / Workforce / Change Management: End-to-end cost transparency; HR / Workforce / Change Management: End-to-end cost transparency
profile:vendors:HR_/_Workforce_/_Change_Management:_Payment_integrity_and_leakage_reduction,meridian-health,vendors,HR / Workforce / Change Management: Payment integrity and leakage reduction,HR / Workforce / Change Management: Payment integrity and leakage reduction,2,high,HR / Workforce / Change Management: Payment integrity and leakage reduction; HR / Workforce / Change Management: Payment integrity and leakage reduction
profile:vendors:HR_/_Workforce_/_Change_Management:_Automated_close_and_reporting,meridian-health,vendors,HR / Workforce / Change Management: Automated close and reporting,HR / Workforce / Change Management: Automated close and reporting,2,medium,HR / Workforce / Change Management: Automated close and reporting; HR / Workforce / Change Management: Automated close and reporting
profile:vendors:HR_/_Workforce_/_Change_Management:_Unified_clinical_+_claims_lakehouse,meridian-health,vendors,HR / Workforce / Change Management: Unified clinical + claims lakehouse,HR / Workforce / Change Management: Unified clinical + claims lakehouse,1,high,HR / Workforce / Change Management: Unified clinical + claims lakehouse
profile:vendors:HR_/_Workforce_/_Change_Management:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,vendors,HR / Workforce / Change Management: Governed data foundation for AI / LLM automation,HR / Workforce / Change Management: Governed data foundation for AI / LLM automation,1,high,HR / Workforce / Change Management: Governed data foundation for AI / LLM automation
profile:vendors:Program_/_Transformation_Office:_Provider_quality_and_performance,meridian-health,vendors,Program / Transformation Office: Provider quality and performance,Program / Transformation Office: Provider quality and performance,2,medium,Program / Transformation Office: Provider quality and performance; Program / Transformation Office: Provider quality and performance
profile:vendors:Program_/_Transformation_Office:_End-to-end_cost_transparency,meridian-health,vendors,Program / Transformation Office: End-to-end cost transparency,Program / Transformation Office: End-to-end cost transparency,2,medium,Program / Transformation Office: End-to-end cost transparency; Program / Transformation Office: End-to-end cost transparency
profile:vendors:Program_/_Transformation_Office:_Payment_integrity_and_leakage_reduction,meridian-health,vendors,Program / Transformation Office: Payment integrity and leakage reduction,Program / Transformation Office: Payment integrity and leakage reduction,2,high,Program / Transformation Office: Payment integrity and leakage reduction; Program / Transformation Office: Payment integrity and leakage reduction
