play_id,metric_id,peer_or_archetype,play_name,metric_moved,delta,enablers,reference_pattern,domain,source_file,source_row,value_source
PLAY-0103,MET-0060,Digital-native peer,Digital-native peer automated disruption recovery time,Disruption Recovery Time (Operations),-2.0 hours,computer-vision bag tracking|real-time ops data|predictive maintenance,Predictive Analytics,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,104,tenant_file
PLAY-0104,MET-0014,LCC archetype,LCC archetype digitized load factor %,Load Factor %,+2.6 %,real-time ops data|demand-sensing ML|generative customer assistant,Process Redesign,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,105,tenant_file
PLAY-0105,MET-0118,LCC archetype,LCC archetype optimized maintenance cost per flight hour,Maintenance Cost per Flight Hour (Customer),-1.6 $,generative customer assistant|rebooking automation,Real-time Decisioning,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,106,tenant_file
PLAY-0106,MET-0165,Top-quartile carrier,Top-quartile carrier automated casm,CASM (Finance),-2.6 cents,rebooking automation|digital twin of operations|automated revenue accounting,Self-Service Shift,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,107,tenant_file
PLAY-0107,MET-0148,LCC archetype,LCC archetype deployed AI for maintenance cost per flight hour,Maintenance Cost per Flight Hour (Corporate),-4.3 $,dynamic pricing engine|generative customer assistant,Automation,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,108,tenant_file
PLAY-0108,MET-0008,LCC archetype,LCC archetype deployed AI for it spend as % of revenue,IT Spend as % of Revenue,-3.2 %,generative customer assistant|predictive maintenance,AI Optimization,Technology,family-7-outcome-intelligence/O03_competitor-plays.csv,109,tenant_file
PLAY-0109,MET-0108,LCC archetype,LCC archetype deployed AI for ancillary revenue per pax,Ancillary Revenue per Pax (Customer),+2.4 $,rebooking automation|network optimization solver,Process Redesign,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,110,tenant_file
PLAY-0110,MET-0023,Flag-carrier peer,Flag-carrier peer digitized cargo yield,Cargo Yield,+4.4 $,real-time ops data|rebooking automation|cargo capacity optimizer|fuel-burn optimization,Real-time Decisioning,Cargo,family-7-outcome-intelligence/O03_competitor-plays.csv,111,tenant_file
PLAY-0111,MET-0066,Top-quartile carrier,Top-quartile carrier consolidated days sales outstanding,Days Sales Outstanding (Maintenance),-3.7 days,real-time ops data|network optimization solver|digital twin of operations,Process Redesign,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,112,tenant_file
PLAY-0112,MET-0058,Top-quartile carrier,Top-quartile carrier deployed AI for maintenance cost per flight hour,Maintenance Cost per Flight Hour (Operations),-1.4 $,rebooking automation|computer-vision bag tracking|predictive maintenance|automated revenue accounting,Real-time Decisioning,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,113,tenant_file
PLAY-0113,MET-0047,Best-in-class operator,Best-in-class operator consolidated completion factor %,Completion Factor % (Operations),+3.1 %,digital twin of operations|self-service rebooking,Platform Consolidation,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,114,tenant_file
PLAY-0114,MET-0116,Top-quartile carrier,Top-quartile carrier consolidated loyalty member growth,Loyalty Member Growth (Customer),+2.9 %,demand-sensing ML|cargo capacity optimizer,Platform Consolidation,Loyalty,family-7-outcome-intelligence/O03_competitor-plays.csv,115,tenant_file
PLAY-0115,MET-0044,Flag-carrier peer,Flag-carrier peer deployed AI for load factor %,Load Factor % (Operations),+1.3 %,fuel-burn optimization|real-time ops data|loyalty personalization engine|generative customer assistant,Generative Assist,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,116,tenant_file
PLAY-0116,MET-0110,Digital-native peer,Digital-native peer automated aircraft utilization,Aircraft Utilization (Customer),+2.2 hours,self-service rebooking|dynamic pricing engine|computer-vision bag tracking,Process Redesign,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,117,tenant_file
PLAY-0117,MET-0132,Cross-industry leader,Cross-industry leader deployed AI for cyber mean-time-to-detect,Cyber Mean-Time-to-Detect (Corporate),-2.3 hours,network optimization solver|automated revenue accounting|fuel-burn optimization|generative customer assistant,Generative Assist,Risk,family-7-outcome-intelligence/O03_competitor-plays.csv,118,tenant_file
PLAY-0118,MET-0069,Flag-carrier peer,Flag-carrier peer consolidated first contact resolution,First Contact Resolution (Maintenance),+3.6 %,predictive maintenance|network optimization solver|generative customer assistant,Predictive Analytics,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,119,tenant_file
PLAY-0119,MET-0046,Flag-carrier peer,Flag-carrier peer consolidated rasm,RASM (Operations),+2.0 cents,rebooking automation|generative customer assistant,Automation,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,120,tenant_file
PLAY-0120,MET-0162,Flag-carrier peer,Flag-carrier peer re-engineered cyber mean-time-to-detect,Cyber Mean-Time-to-Detect (Finance),-1.5 hours,rebooking automation|digital twin of operations,Platform Consolidation,Risk,family-7-outcome-intelligence/O03_competitor-plays.csv,121,tenant_file
PLAY-0121,MET-0138,Cross-industry leader,Cross-industry leader automated ancillary revenue per pax,Ancillary Revenue per Pax (Corporate),+1.8 $,network optimization solver|computer-vision bag tracking|cargo capacity optimizer,Self-Service Shift,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,122,tenant_file
PLAY-0122,MET-0084,Cross-industry leader,Cross-industry leader re-engineered crew utilization %,Crew Utilization % (Maintenance),+1.2 %,crew-ops AI|self-service rebooking|digital twin of operations,Real-time Decisioning,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,123,tenant_file
PLAY-0123,MET-0028,Flag-carrier peer,Flag-carrier peer digitized maintenance cost per flight hour,Maintenance Cost per Flight Hour,-4.2 $,network optimization solver|generative customer assistant|fuel-burn optimization,Process Redesign,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,124,tenant_file
PLAY-0124,MET-0122,Digital-native peer,Digital-native peer re-engineered net promoter score,Net Promoter Score (Corporate),+3.6 score,generative customer assistant|network optimization solver,AI Optimization,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,125,tenant_file
PLAY-0125,MET-0160,Cross-industry leader,Cross-industry leader deployed AI for procurement cost savings,Procurement Cost Savings (Finance),+2.6 %,digital twin of operations|network optimization solver|predictive maintenance|rebooking automation,Real-time Decisioning,Corporate,family-7-outcome-intelligence/O03_competitor-plays.csv,126,tenant_file
PLAY-0126,MET-0110,LCC archetype,LCC archetype consolidated aircraft utilization,Aircraft Utilization (Customer),+4.4 hours,self-service rebooking|automated revenue accounting,Real-time Decisioning,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,127,tenant_file
PLAY-0127,MET-0134,LCC archetype,LCC archetype consolidated load factor %,Load Factor % (Corporate),+4.0 %,cargo capacity optimizer|network optimization solver,Platform Consolidation,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,128,tenant_file
PLAY-0128,MET-0142,Flag-carrier peer,Flag-carrier peer consolidated turnaround time,Turnaround Time (Corporate),-3.2 minutes,real-time ops data|self-service rebooking|digital twin of operations,Predictive Analytics,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,129,tenant_file
PLAY-0129,MET-0109,Best-in-class operator,Best-in-class operator consolidated mishandled bags per 1000,Mishandled Bags per 1000 (Customer),-1.0 rate,predictive maintenance|automated revenue accounting,Predictive Analytics,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,130,tenant_file
PLAY-0130,MET-0115,LCC archetype,LCC archetype consolidated schedule reliability %,Schedule Reliability % (Customer),+3.0 %,network optimization solver|real-time ops data,Self-Service Shift,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,131,tenant_file
PLAY-0131,MET-0170,Digital-native peer,Digital-native peer consolidated aircraft utilization,Aircraft Utilization (Finance),+0.8 hours,loyalty personalization engine|computer-vision bag tracking,Real-time Decisioning,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,132,tenant_file
PLAY-0132,MET-0005,Digital-native peer,Digital-native peer consolidated ebit margin,EBIT Margin,+2.7 %,self-service rebooking|loyalty personalization engine|cargo capacity optimizer|fuel-burn optimization,Generative Assist,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,133,tenant_file
PLAY-0133,MET-0167,Best-in-class operator,Best-in-class operator deployed AI for completion factor %,Completion Factor % (Finance),+2.0 %,cargo capacity optimizer|generative customer assistant|network optimization solver|real-time ops data,Real-time Decisioning,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,134,tenant_file
PLAY-0134,MET-0149,Top-quartile carrier,Top-quartile carrier consolidated technical dispatch reliability,Technical Dispatch Reliability (Corporate),+1.4 %,cargo capacity optimizer|generative customer assistant|network optimization solver,Automation,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,135,tenant_file
PLAY-0135,MET-0073,Cross-industry leader,Cross-industry leader optimized on-time performance %,On-Time Performance % (Maintenance),+4.5 %,loyalty personalization engine|automated revenue accounting|generative customer assistant,Real-time Decisioning,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,136,tenant_file
PLAY-0136,MET-0101,Flag-carrier peer,Flag-carrier peer re-engineered safety incident rate,Safety Incident Rate (Customer),-1.1 rate,automated revenue accounting|computer-vision bag tracking|fuel-burn optimization,Predictive Analytics,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,137,tenant_file
PLAY-0137,MET-0145,Cross-industry leader,Cross-industry leader consolidated schedule reliability %,Schedule Reliability % (Corporate),+2.6 %,predictive maintenance|loyalty personalization engine|fuel-burn optimization,Real-time Decisioning,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,138,tenant_file
PLAY-0138,MET-0102,LCC archetype,LCC archetype deployed AI for cyber mean-time-to-detect,Cyber Mean-Time-to-Detect (Customer),-3.6 hours,rebooking automation|dynamic pricing engine|fuel-burn optimization|network optimization solver,Generative Assist,Risk,family-7-outcome-intelligence/O03_competitor-plays.csv,139,tenant_file
PLAY-0139,MET-0066,Best-in-class operator,Best-in-class operator optimized days sales outstanding,Days Sales Outstanding (Maintenance),-1.2 days,digital twin of operations|real-time ops data|crew-ops AI|predictive maintenance,Process Redesign,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,140,tenant_file
PLAY-0140,MET-0138,LCC archetype,LCC archetype optimized ancillary revenue per pax,Ancillary Revenue per Pax (Corporate),+4.0 $,digital twin of operations|cargo capacity optimizer|network optimization solver|automated revenue accounting,Process Redesign,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,141,tenant_file
PLAY-0141,MET-0029,Digital-native peer,Digital-native peer consolidated technical dispatch reliability,Technical Dispatch Reliability,+2.4 %,generative customer assistant|loyalty personalization engine|rebooking automation|predictive maintenance,Automation,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,142,tenant_file
PLAY-0142,MET-0164,Flag-carrier peer,Flag-carrier peer re-engineered load factor %,Load Factor % (Finance),+1.5 %,real-time ops data|demand-sensing ML|rebooking automation,Process Redesign,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,143,tenant_file
PLAY-0143,MET-0080,Flag-carrier peer,Flag-carrier peer consolidated aircraft utilization,Aircraft Utilization (Maintenance),+2.4 hours,self-service rebooking|real-time ops data|fuel-burn optimization,AI Optimization,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,144,tenant_file
PLAY-0144,MET-0123,Cross-industry leader,Cross-industry leader automated employee attrition rate,Employee Attrition Rate (Corporate),-3.7 %,generative customer assistant|demand-sensing ML|cargo capacity optimizer,AI Optimization,Workforce,family-7-outcome-intelligence/O03_competitor-plays.csv,145,tenant_file
PLAY-0145,MET-0046,Cross-industry leader,Cross-industry leader re-engineered rasm,RASM (Operations),+2.5 cents,network optimization solver|real-time ops data|rebooking automation|digital twin of operations,Process Redesign,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,146,tenant_file
PLAY-0146,MET-0134,LCC archetype,LCC archetype re-engineered load factor %,Load Factor % (Corporate),+2.4 %,crew-ops AI|network optimization solver|dynamic pricing engine|rebooking automation,Process Redesign,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,147,tenant_file
PLAY-0147,MET-0060,Best-in-class operator,Best-in-class operator digitized disruption recovery time,Disruption Recovery Time (Operations),-1.5 hours,generative customer assistant|network optimization solver|cargo capacity optimizer,Predictive Analytics,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,148,tenant_file
PLAY-0148,MET-0176,Cross-industry leader,Cross-industry leader consolidated loyalty member growth,Loyalty Member Growth (Finance),+3.9 %,network optimization solver|rebooking automation|loyalty personalization engine|self-service rebooking,Automation,Loyalty,family-7-outcome-intelligence/O03_competitor-plays.csv,149,tenant_file
PLAY-0149,MET-0105,Cross-industry leader,Cross-industry leader consolidated casm,CASM (Customer),-2.1 cents,cargo capacity optimizer|real-time ops data|network optimization solver|digital twin of operations,Generative Assist,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,150,tenant_file
PLAY-0150,MET-0179,Best-in-class operator,Best-in-class operator re-engineered technical dispatch reliability,Technical Dispatch Reliability (Finance),+2.5 %,real-time ops data|generative customer assistant|predictive maintenance|computer-vision bag tracking,Self-Service Shift,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,151,tenant_file
PLAY-0151,MET-0112,Top-quartile carrier,Top-quartile carrier re-engineered turnaround time,Turnaround Time (Customer),-3.5 minutes,fuel-burn optimization|computer-vision bag tracking,Automation,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,152,tenant_file
PLAY-0152,MET-0009,Flag-carrier peer,Flag-carrier peer re-engineered first contact resolution,First Contact Resolution,+2.1 %,rebooking automation|self-service rebooking|crew-ops AI,Platform Consolidation,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,153,tenant_file
PLAY-0153,MET-0156,Cross-industry leader,Cross-industry leader automated days sales outstanding,Days Sales Outstanding (Finance),-2.3 days,demand-sensing ML|real-time ops data,Real-time Decisioning,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,154,tenant_file
PLAY-0154,MET-0167,LCC archetype,LCC archetype re-engineered completion factor %,Completion Factor % (Finance),+0.9 %,self-service rebooking|predictive maintenance,Process Redesign,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,155,tenant_file
PLAY-0155,MET-0151,LCC archetype,LCC archetype consolidated cost-to-income ratio,Cost-to-Income Ratio (Finance),-2.6 %,cargo capacity optimizer|dynamic pricing engine,AI Optimization,Corporate,family-7-outcome-intelligence/O03_competitor-plays.csv,156,tenant_file
PLAY-0156,MET-0074,LCC archetype,LCC archetype deployed AI for load factor %,Load Factor % (Maintenance),+3.1 %,rebooking automation|digital twin of operations,Self-Service Shift,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,157,tenant_file
PLAY-0157,MET-0081,Flag-carrier peer,Flag-carrier peer automated fuel burn per asm,Fuel Burn per ASM (Maintenance),-2.2 kg,digital twin of operations|rebooking automation,Predictive Analytics,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,158,tenant_file
PLAY-0158,MET-0148,Flag-carrier peer,Flag-carrier peer deployed AI for maintenance cost per flight hour,Maintenance Cost per Flight Hour (Corporate),-1.9 $,predictive maintenance|cargo capacity optimizer|digital twin of operations,Self-Service Shift,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,159,tenant_file
PLAY-0159,MET-0009,Flag-carrier peer,Flag-carrier peer deployed AI for first contact resolution,First Contact Resolution,+2.6 %,cargo capacity optimizer|predictive maintenance|automated revenue accounting,Self-Service Shift,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,160,tenant_file
PLAY-0160,MET-0074,Flag-carrier peer,Flag-carrier peer optimized load factor %,Load Factor % (Maintenance),+1.7 %,network optimization solver|fuel-burn optimization,Automation,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,161,tenant_file
PLAY-0161,MET-0149,Cross-industry leader,Cross-industry leader consolidated technical dispatch reliability,Technical Dispatch Reliability (Corporate),+1.0 %,cargo capacity optimizer|rebooking automation,Process Redesign,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,162,tenant_file
PLAY-0162,MET-0117,Digital-native peer,Digital-native peer digitized net promoter score,Net Promoter Score (Pax) (Customer),+1.1 score,self-service rebooking|real-time ops data|automated revenue accounting|digital twin of operations,Generative Assist,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,163,tenant_file
PLAY-0163,MET-0031,Best-in-class operator,Best-in-class operator consolidated cost-to-income ratio,Cost-to-Income Ratio (Operations),-4.2 %,fuel-burn optimization|cargo capacity optimizer|automated revenue accounting|network optimization solver,Real-time Decisioning,Corporate,family-7-outcome-intelligence/O03_competitor-plays.csv,164,tenant_file
PLAY-0164,MET-0040,Flag-carrier peer,Flag-carrier peer optimized procurement cost savings,Procurement Cost Savings (Operations),+3.3 %,crew-ops AI|real-time ops data|self-service rebooking|demand-sensing ML,Predictive Analytics,Corporate,family-7-outcome-intelligence/O03_competitor-plays.csv,165,tenant_file
PLAY-0165,MET-0040,Cross-industry leader,Cross-industry leader deployed AI for procurement cost savings,Procurement Cost Savings (Operations),+3.7 %,automated revenue accounting|computer-vision bag tracking|predictive maintenance,Process Redesign,Corporate,family-7-outcome-intelligence/O03_competitor-plays.csv,166,tenant_file
PLAY-0166,MET-0120,Cross-industry leader,Cross-industry leader deployed AI for disruption recovery time,Disruption Recovery Time (Customer),-3.2 hours,network optimization solver|predictive maintenance,Platform Consolidation,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,167,tenant_file
PLAY-0167,MET-0110,Cross-industry leader,Cross-industry leader optimized aircraft utilization,Aircraft Utilization (Customer),+3.5 hours,computer-vision bag tracking|fuel-burn optimization,Process Redesign,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,168,tenant_file
PLAY-0168,MET-0089,Top-quartile carrier,Top-quartile carrier automated technical dispatch reliability,Technical Dispatch Reliability (Maintenance),+1.9 %,automated revenue accounting|generative customer assistant|self-service rebooking,Generative Assist,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,169,tenant_file
PLAY-0169,MET-0072,Flag-carrier peer,Flag-carrier peer digitized cyber mean-time-to-detect,Cyber Mean-Time-to-Detect (Maintenance),-3.0 hours,digital twin of operations|fuel-burn optimization|crew-ops AI,Predictive Analytics,Risk,family-7-outcome-intelligence/O03_competitor-plays.csv,170,tenant_file
PLAY-0170,MET-0089,Digital-native peer,Digital-native peer re-engineered technical dispatch reliability,Technical Dispatch Reliability (Maintenance),+4.1 %,dynamic pricing engine|loyalty personalization engine|real-time ops data,Self-Service Shift,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,171,tenant_file
PLAY-0171,MET-0020,Top-quartile carrier,Top-quartile carrier optimized aircraft utilization,Aircraft Utilization,+1.5 hours,computer-vision bag tracking|automated revenue accounting|generative customer assistant,Process Redesign,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,172,tenant_file
PLAY-0172,MET-0134,Digital-native peer,Digital-native peer consolidated load factor %,Load Factor % (Corporate),+1.9 %,self-service rebooking|automated revenue accounting,AI Optimization,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,173,tenant_file
PLAY-0173,MET-0156,Cross-industry leader,Cross-industry leader consolidated days sales outstanding,Days Sales Outstanding (Finance),-1.5 days,digital twin of operations|demand-sensing ML|generative customer assistant,Process Redesign,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,174,tenant_file
PLAY-0174,MET-0101,LCC archetype,LCC archetype automated safety incident rate,Safety Incident Rate (Customer),-1.6 rate,demand-sensing ML|rebooking automation|predictive maintenance|network optimization solver,Predictive Analytics,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,175,tenant_file
PLAY-0175,MET-0093,Digital-native peer,Digital-native peer digitized employee attrition rate,Employee Attrition Rate (Customer),-3.9 %,predictive maintenance|automated revenue accounting,AI Optimization,Workforce,family-7-outcome-intelligence/O03_competitor-plays.csv,176,tenant_file
PLAY-0176,MET-0033,Flag-carrier peer,Flag-carrier peer automated employee attrition rate,Employee Attrition Rate (Operations),-2.0 %,crew-ops AI|cargo capacity optimizer|fuel-burn optimization,AI Optimization,Workforce,family-7-outcome-intelligence/O03_competitor-plays.csv,177,tenant_file
PLAY-0177,MET-0012,Top-quartile carrier,Top-quartile carrier consolidated cyber mean-time-to-detect,Cyber Mean-Time-to-Detect,-2.1 hours,generative customer assistant|predictive maintenance|crew-ops AI|automated revenue accounting,Self-Service Shift,Risk,family-7-outcome-intelligence/O03_competitor-plays.csv,178,tenant_file
PLAY-0178,MET-0027,Best-in-class operator,Best-in-class operator automated net promoter score,Net Promoter Score (Pax),+1.5 score,loyalty personalization engine|fuel-burn optimization|rebooking automation,Predictive Analytics,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,179,tenant_file
PLAY-0179,MET-0155,LCC archetype,LCC archetype deployed AI for ebit margin,EBIT Margin (Finance),+2.0 %,crew-ops AI|real-time ops data,Generative Assist,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,180,tenant_file
PLAY-0180,MET-0111,Best-in-class operator,Best-in-class operator optimized fuel burn per asm,Fuel Burn per ASM (Customer),-4.0 kg,crew-ops AI|generative customer assistant|automated revenue accounting,Real-time Decisioning,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,181,tenant_file
PLAY-0181,MET-0012,Top-quartile carrier,Top-quartile carrier re-engineered cyber mean-time-to-detect,Cyber Mean-Time-to-Detect,-1.2 hours,dynamic pricing engine|network optimization solver|computer-vision bag tracking|crew-ops AI,Self-Service Shift,Risk,family-7-outcome-intelligence/O03_competitor-plays.csv,182,tenant_file
PLAY-0182,MET-0141,Best-in-class operator,Best-in-class operator digitized fuel burn per asm,Fuel Burn per ASM (Corporate),-3.6 kg,network optimization solver|crew-ops AI|computer-vision bag tracking,Process Redesign,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,183,tenant_file
PLAY-0183,MET-0173,Digital-native peer,Digital-native peer re-engineered cargo yield,Cargo Yield (Finance),+2.4 $,automated revenue accounting|dynamic pricing engine,Predictive Analytics,Cargo,family-7-outcome-intelligence/O03_competitor-plays.csv,184,tenant_file
PLAY-0184,MET-0033,Cross-industry leader,Cross-industry leader re-engineered employee attrition rate,Employee Attrition Rate (Operations),-1.0 %,predictive maintenance|digital twin of operations|dynamic pricing engine,Generative Assist,Workforce,family-7-outcome-intelligence/O03_competitor-plays.csv,185,tenant_file
PLAY-0185,MET-0063,Digital-native peer,Digital-native peer consolidated employee attrition rate,Employee Attrition Rate (Maintenance),-2.7 %,self-service rebooking|computer-vision bag tracking|automated revenue accounting,Process Redesign,Workforce,family-7-outcome-intelligence/O03_competitor-plays.csv,186,tenant_file
PLAY-0186,MET-0141,Top-quartile carrier,Top-quartile carrier deployed AI for fuel burn per asm,Fuel Burn per ASM (Corporate),-1.8 kg,real-time ops data|rebooking automation,Platform Consolidation,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,187,tenant_file
PLAY-0187,MET-0095,Top-quartile carrier,Top-quartile carrier re-engineered ebit margin,EBIT Margin (Customer),+2.5 %,dynamic pricing engine|automated revenue accounting,Generative Assist,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,188,tenant_file
PLAY-0188,MET-0043,Digital-native peer,Digital-native peer digitized on-time performance %,On-Time Performance % (Operations),+3.1 %,dynamic pricing engine|computer-vision bag tracking,Self-Service Shift,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,189,tenant_file
PLAY-0189,MET-0054,LCC archetype,LCC archetype optimized crew utilization %,Crew Utilization % (Operations),+1.3 %,demand-sensing ML|dynamic pricing engine|fuel-burn optimization|rebooking automation,Automation,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,190,tenant_file
PLAY-0190,MET-0044,Digital-native peer,Digital-native peer deployed AI for load factor %,Load Factor % (Operations),+4.2 %,crew-ops AI|predictive maintenance|dynamic pricing engine,Platform Consolidation,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,191,tenant_file
PLAY-0191,MET-0128,Top-quartile carrier,Top-quartile carrier re-engineered it spend as % of revenue,IT Spend as % of Revenue (Corporate),-2.8 %,generative customer assistant|automated revenue accounting|real-time ops data,Self-Service Shift,Technology,family-7-outcome-intelligence/O03_competitor-plays.csv,192,tenant_file
PLAY-0192,MET-0173,Digital-native peer,Digital-native peer deployed AI for cargo yield,Cargo Yield (Finance),+1.7 $,self-service rebooking|real-time ops data|network optimization solver|loyalty personalization engine,Real-time Decisioning,Cargo,family-7-outcome-intelligence/O03_competitor-plays.csv,193,tenant_file
PLAY-0193,MET-0087,Digital-native peer,Digital-native peer consolidated net promoter score,Net Promoter Score (Pax) (Maintenance),+3.2 score,self-service rebooking|automated revenue accounting,AI Optimization,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,194,tenant_file
PLAY-0194,MET-0003,Cross-industry leader,Cross-industry leader deployed AI for employee attrition rate,Employee Attrition Rate,-1.0 %,automated revenue accounting|fuel-burn optimization|self-service rebooking,Real-time Decisioning,Workforce,family-7-outcome-intelligence/O03_competitor-plays.csv,195,tenant_file
PLAY-0195,MET-0146,Digital-native peer,Digital-native peer optimized loyalty member growth,Loyalty Member Growth (Corporate),+3.2 %,dynamic pricing engine|loyalty personalization engine,Generative Assist,Loyalty,family-7-outcome-intelligence/O03_competitor-plays.csv,196,tenant_file
PLAY-0196,MET-0039,LCC archetype,LCC archetype deployed AI for first contact resolution,First Contact Resolution (Operations),+1.4 %,demand-sensing ML|predictive maintenance|digital twin of operations,Real-time Decisioning,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,197,tenant_file
PLAY-0197,MET-0050,Flag-carrier peer,Flag-carrier peer consolidated aircraft utilization,Aircraft Utilization (Operations),+1.6 hours,network optimization solver|computer-vision bag tracking|rebooking automation,Platform Consolidation,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,198,tenant_file
PLAY-0198,MET-0068,Cross-industry leader,Cross-industry leader automated it spend as % of revenue,IT Spend as % of Revenue (Maintenance),-2.7 %,digital twin of operations|demand-sensing ML,Generative Assist,Technology,family-7-outcome-intelligence/O03_competitor-plays.csv,199,tenant_file
PLAY-0199,MET-0100,Flag-carrier peer,Flag-carrier peer deployed AI for procurement cost savings,Procurement Cost Savings (Customer),+3.6 %,dynamic pricing engine|demand-sensing ML|computer-vision bag tracking,Self-Service Shift,Corporate,family-7-outcome-intelligence/O03_competitor-plays.csv,200,tenant_file
PLAY-0200,MET-0140,Digital-native peer,Digital-native peer digitized aircraft utilization,Aircraft Utilization (Corporate),+1.5 hours,automated revenue accounting|real-time ops data|crew-ops AI,Predictive Analytics,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,201,tenant_file
PLAY-0201,MET-0031,Best-in-class operator,Best-in-class operator automated cost-to-income ratio,Cost-to-Income Ratio (Operations),-0.9 %,digital twin of operations|network optimization solver|predictive maintenance,Real-time Decisioning,Corporate,family-7-outcome-intelligence/O03_competitor-plays.csv,202,tenant_file
PLAY-0202,MET-0028,LCC archetype,LCC archetype consolidated maintenance cost per flight hour,Maintenance Cost per Flight Hour,-2.7 $,dynamic pricing engine|cargo capacity optimizer|demand-sensing ML|generative customer assistant,Automation,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,203,tenant_file
PLAY-0203,MET-0025,LCC archetype,LCC archetype re-engineered schedule reliability %,Schedule Reliability %,+1.0 %,dynamic pricing engine|predictive maintenance|demand-sensing ML,Real-time Decisioning,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,204,tenant_file
PLAY-0204,MET-0133,Cross-industry leader,Cross-industry leader deployed AI for on-time performance %,On-Time Performance % (Corporate),+4.5 %,digital twin of operations|fuel-burn optimization|self-service rebooking,Automation,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,205,tenant_file
