metric_id,function,owning_cxo,metric_name,definition,unit,current_value,target_value,value_stream_id,primary_capability_id,source_file,source_row,value_source
MET-0140,Operations,COO,Aircraft Utilization (Corporate),Average block hours flown per aircraft per day.,hours,34.6,38.86,VS-004,CAP-0108,family-7-outcome-intelligence/O01_business-metrics.csv,141,tenant_file
MET-0141,Operations,COO,Fuel Burn per ASM (Corporate),Fuel consumed per available seat-mile.,kg,0.05,0.05,VS-004,CAP-0009,family-7-outcome-intelligence/O01_business-metrics.csv,142,tenant_file
MET-0142,Operations,COO,Turnaround Time (Corporate),"Average gate turnaround time, narrowbody.",minutes,35.9,30.01,VS-028,CAP-0028,family-7-outcome-intelligence/O01_business-metrics.csv,143,tenant_file
MET-0143,Cargo,CRO,Cargo Yield (Corporate),Revenue per cargo ton-kilometre.,$,132,138.66,VS-023,CAP-0103,family-7-outcome-intelligence/O01_business-metrics.csv,144,tenant_file
MET-0144,Operations,COO,Crew Utilization % (Corporate),Productive crew duty hours vs. paid hours.,%,90.3,103.65,VS-028,CAP-0051,family-7-outcome-intelligence/O01_business-metrics.csv,145,tenant_file
MET-0145,Operations,COO,Schedule Reliability % (Corporate),Departures within tolerance of published schedule.,%,70.1,74.25,VS-036,CAP-0093,family-7-outcome-intelligence/O01_business-metrics.csv,146,tenant_file
MET-0146,Loyalty,CMO,Loyalty Member Growth (Corporate),Year-over-year active loyalty member growth.,%,88.6,97.77,VS-002,CAP-0055,family-7-outcome-intelligence/O01_business-metrics.csv,147,tenant_file
MET-0147,Customer,CMO,Net Promoter Score (Pax) (Corporate),Passenger NPS across journey touchpoints.,score,69.8,81.96,VS-019,CAP-0102,family-7-outcome-intelligence/O01_business-metrics.csv,148,tenant_file
MET-0148,Maintenance,COO,Maintenance Cost per Flight Hour (Corporate),Direct maintenance cost per flight hour.,$,233.2,210.71,VS-005,CAP-0076,family-7-outcome-intelligence/O01_business-metrics.csv,149,tenant_file
MET-0149,Maintenance,COO,Technical Dispatch Reliability (Corporate),Departures free of technical delay/cancellation.,%,71.8,78.17,VS-005,CAP-0070,family-7-outcome-intelligence/O01_business-metrics.csv,150,tenant_file
MET-0150,Operations,COO,Disruption Recovery Time (Corporate),Average hours to recover schedule after IRROPS.,hours,35.8,30.38,VS-036,CAP-0055,family-7-outcome-intelligence/O01_business-metrics.csv,151,tenant_file
MET-0151,Corporate,CFO,Cost-to-Income Ratio (Finance),Operating cost as a percent of operating income.,%,55.2,47.62,VS-016,CAP-0084,family-7-outcome-intelligence/O01_business-metrics.csv,152,tenant_file
MET-0152,Customer,CMO,Net Promoter Score (Finance),Likelihood customers recommend the airline (-100..100).,score,36,38.41,VS-022,CAP-0106,family-7-outcome-intelligence/O01_business-metrics.csv,153,tenant_file
MET-0153,Workforce,CHRO,Employee Attrition Rate (Finance),Annualized voluntary employee turnover.,%,69,61.33,VS-012,CAP-0127,family-7-outcome-intelligence/O01_business-metrics.csv,154,tenant_file
MET-0154,Commercial,CRO,Forecast Accuracy (Finance),Demand forecast accuracy across the network.,%,73.9,81.44,VS-026,CAP-0034,family-7-outcome-intelligence/O01_business-metrics.csv,155,tenant_file
MET-0155,Finance,CFO,EBIT Margin (Finance),Earnings before interest and tax as a percent of revenue.,%,66.8,74.37,VS-036,CAP-0078,family-7-outcome-intelligence/O01_business-metrics.csv,156,tenant_file
MET-0156,Finance,CFO,Days Sales Outstanding (Finance),Average days to collect receivables.,days,36.6,31.94,VS-015,CAP-0051,family-7-outcome-intelligence/O01_business-metrics.csv,157,tenant_file
MET-0157,Customer,CIO,Digital Self-Service Rate (Finance),Share of service interactions resolved without an agent.,%,84.1,90.56,VS-006,CAP-0128,family-7-outcome-intelligence/O01_business-metrics.csv,158,tenant_file
MET-0158,Technology,CIO,IT Spend as % of Revenue (Finance),Total technology spend relative to revenue.,%,89,83.62,VS-029,CAP-0107,family-7-outcome-intelligence/O01_business-metrics.csv,159,tenant_file
MET-0159,Customer,CMO,First Contact Resolution (Finance),Contact-center issues resolved on first contact.,%,76,82.14,VS-011,CAP-0032,family-7-outcome-intelligence/O01_business-metrics.csv,160,tenant_file
MET-0160,Corporate,CFO,Procurement Cost Savings (Finance),Realized savings against addressable spend.,%,76.9,83.54,VS-016,CAP-0001,family-7-outcome-intelligence/O01_business-metrics.csv,161,tenant_file
MET-0161,Operations,COO,Safety Incident Rate (Finance),Reportable safety incidents per 100k operations.,rate,6.08,5.1,VS-020,CAP-0124,family-7-outcome-intelligence/O01_business-metrics.csv,162,tenant_file
MET-0162,Risk,CIO,Cyber Mean-Time-to-Detect (Finance),Average hours to detect a security incident.,hours,25.5,22.64,VS-018,CAP-0086,family-7-outcome-intelligence/O01_business-metrics.csv,163,tenant_file
MET-0163,Operations,COO,On-Time Performance % (Finance),Flights departing/arriving within 15 minutes of schedule.,%,78.1,87.75,VS-036,CAP-0107,family-7-outcome-intelligence/O01_business-metrics.csv,164,tenant_file
MET-0164,Commercial,CRO,Load Factor % (Finance),Revenue passenger-miles as a percent of available seat-miles.,%,59.4,69.97,VS-026,CAP-0020,family-7-outcome-intelligence/O01_business-metrics.csv,165,tenant_file
MET-0165,Finance,CFO,CASM (Finance),Cost per Available Seat Mile.,cents,13.98,13.03,VS-015,CAP-0122,family-7-outcome-intelligence/O01_business-metrics.csv,166,tenant_file
MET-0166,Commercial,CRO,RASM (Finance),Revenue per Available Seat Mile.,cents,14.03,14.63,VS-034,CAP-0067,family-7-outcome-intelligence/O01_business-metrics.csv,167,tenant_file
MET-0167,Operations,COO,Completion Factor % (Finance),Percent of scheduled flights actually operated.,%,85.6,91.25,VS-036,CAP-0077,family-7-outcome-intelligence/O01_business-metrics.csv,168,tenant_file
MET-0168,Commercial,CRO,Ancillary Revenue per Pax (Finance),Non-ticket revenue earned per passenger.,$,204.3,228.52,VS-010,CAP-0053,family-7-outcome-intelligence/O01_business-metrics.csv,169,tenant_file
MET-0169,Customer,COO,Mishandled Bags per 1000 (Finance),Mishandled bag reports per 1000 passengers.,rate,8.19,6.78,VS-030,CAP-0010,family-7-outcome-intelligence/O01_business-metrics.csv,170,tenant_file
MET-0170,Operations,COO,Aircraft Utilization (Finance),Average block hours flown per aircraft per day.,hours,4.4,4.87,VS-004,CAP-0129,family-7-outcome-intelligence/O01_business-metrics.csv,171,tenant_file
MET-0171,Operations,COO,Fuel Burn per ASM (Finance),Fuel consumed per available seat-mile.,kg,0.025,0.02,VS-004,CAP-0115,family-7-outcome-intelligence/O01_business-metrics.csv,172,tenant_file
MET-0172,Operations,COO,Turnaround Time (Finance),"Average gate turnaround time, narrowbody.",minutes,58.5,54.41,VS-004,CAP-0120,family-7-outcome-intelligence/O01_business-metrics.csv,173,tenant_file
MET-0173,Cargo,CRO,Cargo Yield (Finance),Revenue per cargo ton-kilometre.,$,168.5,183.17,VS-031,CAP-0031,family-7-outcome-intelligence/O01_business-metrics.csv,174,tenant_file
MET-0174,Operations,COO,Crew Utilization % (Finance),Productive crew duty hours vs. paid hours.,%,86.6,93.37,VS-036,CAP-0046,family-7-outcome-intelligence/O01_business-metrics.csv,175,tenant_file
MET-0175,Operations,COO,Schedule Reliability % (Finance),Departures within tolerance of published schedule.,%,58.1,61.72,VS-036,CAP-0039,family-7-outcome-intelligence/O01_business-metrics.csv,176,tenant_file
MET-0176,Loyalty,CMO,Loyalty Member Growth (Finance),Year-over-year active loyalty member growth.,%,72.7,79.02,VS-011,CAP-0130,family-7-outcome-intelligence/O01_business-metrics.csv,177,tenant_file
MET-0177,Customer,CMO,Net Promoter Score (Pax) (Finance),Passenger NPS across journey touchpoints.,score,21.8,24.03,VS-003,CAP-0066,family-7-outcome-intelligence/O01_business-metrics.csv,178,tenant_file
MET-0178,Maintenance,COO,Maintenance Cost per Flight Hour (Finance),Direct maintenance cost per flight hour.,$,168.5,158.98,VS-013,CAP-0038,family-7-outcome-intelligence/O01_business-metrics.csv,179,tenant_file
MET-0179,Maintenance,COO,Technical Dispatch Reliability (Finance),Departures free of technical delay/cancellation.,%,57,67.1,VS-029,CAP-0027,family-7-outcome-intelligence/O01_business-metrics.csv,180,tenant_file
MET-0180,Operations,COO,Disruption Recovery Time (Finance),Average hours to recover schedule after IRROPS.,hours,35.1,31.74,VS-012,CAP-0041,family-7-outcome-intelligence/O01_business-metrics.csv,181,tenant_file
