"tenant","storage_location","refreshed_at","page","tab","component","rendered_value","generated_by","deterministic_object","source_layer","source_files","claude_prompt_file","claude_response_file","notes"
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Applications & Systems","Summary","Story card","{""meaning"":""Meridian operates a deeply integrated but analytically siloed application estate — Epic is clinical-of-record, yet claims, pharmacy, finance, and contact center data remain ungoverned and unlinked."",""observed"":""Thirteen current-core systems are evidenced across clinical, claims, finance, and member service domains. AWS and Databricks are target-state direction only — no certified medallion architecture, no identity spine, and no governed semantic layer exist in production."",""matters"":""Every priority use case — lakehouse, AI/LLM automation, call center optimization, cost transparency, payment integrity — requires cross-system data harmonization that the current estate cannot deliver without foundational governance investment."",""supports"":""Closing five evidence gates (medallion architecture, identity spine, semantic layer, transcript governance, contract digitization) is the prerequisite before any use case can advance from planning to decision grade.""}","Claude-authored tool payload","design_slots.STORY.apps","canonical dimension rows + cross-dimension context","04_applications_systems.csv — 241 rows, 17 active, 224 candidate; refreshed 2026-07-17","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Renderer displays this dimension story without prose rewriting."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Applications & Systems","Summary","Insight breakdown","{""findings"":[""Epic Clarity and Caboodle are current-core clinical reporting assets, but no certified medallion architecture connects them to claims or pharmacy — the lakehouse use case cannot advance without this evidence gate closed."",""Four parallel BI tools (Tableau, Power BI, SAS, SQL Server marts) produce duplicated, ungoverned metric definitions; this fragmentation directly blocks the governed semantic layer required for AI/LLM automation and cost transparency."",""AWS and Databricks are aspirational target-state direction — no production analytics workloads, no Unity Catalog, no Delta integration are evidenced; treating them as current capability is a planning risk."",""Contact center and CRM are current-core operationally but lack transcript governance, intent taxonomy certification, and member identity linkage — three of four call center optimization evidence gates remain open.""],""breakdown"":{""title"":""Application Estate: Lifecycle Status vs. Use-Case Readiness"",""rows"":[{""label"":""Current-Core (evidenced, production)"",""value"":""13 systems"",""note"":""Epic suite, claims, pharmacy, CRM, contact center, GL, contracts""},{""label"":""Fragmented Reporting (ungoverned)"",""value"":""4 estates"",""note"":""Tableau, Power BI, SAS, SQL Server marts — duplicated rules, no semantic layer""},{""label"":""Target-State Direction (aspirational)"",""value"":""2 platforms"",""note"":""AWS analytics foundation and Databricks on AWS — not production-ready""},{""label"":""Active systems (planning-grade)"",""value"":""17 of 241"",""note"":""224 candidate rows pending classification and evidence closure""},{""label"":""Evidence gates open across top-5 use cases"",""value"":""12 gaps"",""note"":""Medallion, identity spine, semantic layer, transcript governance, contract digitization, and more""}]}}","Claude-authored tool payload","design_slots.INSIGHTS.apps","canonical dimension rows + cross-dimension context","04_applications_systems.csv — 241 rows, 17 active, 224 candidate; refreshed 2026-07-17","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Renderer displays this insight structure without prose rewriting."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Applications & Systems","Summary","Visual blocks","{""type"":""decision_matrix"",""title"":""Application Readiness vs. Use-Case Advancement"",""subtitle"":""Each cell shows whether the system is ready (✓), aspirational (⚠), or a confirmed blocker (✗) for the top-5 use cases. Evidence gates must close before any ✗ or ⚠ cell can advance."",""data"":{""columns"":[""System / Platform"",""Lakehouse"",""AI / LLM Gov."",""Call Center Opt."",""Cost Transparency"",""Payment Integrity""],""rows"":[{""label"":""Epic Clarity / Caboodle"",""values"":[""⚠ No medallion"",""⚠ No semantic layer"",""—"",""⚠ No cost model"",""—""]},{""label"":""SQL Server marts (fragmented)"",""values"":[""✗ Duplicated rules"",""✗ No governance"",""—"",""✗ No GL alignment"",""✗ No lineage""]},{""label"":""Claims + Pharmacy platforms"",""values"":[""✗ Not harmonized"",""—"",""—"",""✗ No capitation link"",""✗ No rule lineage""]},{""label"":""Contact center + CRM"",""values"":[""—"",""—"",""✗ 4 gates open"",""—"",""—""]},{""label"":""Provider contract repository"",""values"":[""—"",""—"",""—"",""✗ Manual / undigitized"",""—""]},{""label"":""AWS + Databricks (target)"",""values"":[""✗ Aspirational only"",""✗ Aspirational only"",""✗ Aspirational only"",""✗ Aspirational only"",""✗ Aspirational only""]}],""legend"":{""✓"":""Evidence-backed, ready"",""⚠"":""Directional, evidence gap"",""✗"":""Confirmed blocker — evidence gate required"",""—"":""Not a primary dependency""}}}","Claude-authored visual block payload","design_slots.VISUAL_BLOCKS.apps","canonical dimension rows + cross-dimension context","04_applications_systems.csv — 241 rows, 17 active, 224 candidate; refreshed 2026-07-17","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Cards, charts, graphs, and dashboard panels render from this structure."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Applications & Systems","Data","Rows","241 rows render from approved pack with search/filter controls
1. {""business_name"":""Epic Hyperspace"",""capability"":""clinical_ehr"",""owner"":""Clinical Platforms"",""criticality"":""critical"",""lifecycle_status"":""current_core"",""integrations"":""Epic Bridges; Clarity; Caboodle"",""data_dependencies"":""encounters; orders; results; clinical workflows"",""confidence"":""high"",""context_item"":""Epic Hyperspace""}
2. {""business_name"":""Epic Clarity"",""capability"":""clinical_reporting_repository"",""owner"":""Epic Analytics"",""criticality"":""critical"",""lifecycle_status"":""current_core"",""integrations"":""SQL Server extracts; Caboodle; Tableau"",""data_dependencies"":""clinical reporting; encounter data; quality extracts"",""confidence"":""high"",""context_item"":""Epic Clarity""}
3. {""business_name"":""Epic Caboodle"",""capability"":""clinical_warehouse"",""owner"":""Epic Analytics"",""criticality"":""high"",""lifecycle_status"":""current_core"",""integrations"":""Clarity ETL; Cogito; BI tools"",""data_dependencies"":""curated Epic clinical model; quality reporting"",""confidence"":""high"",""context_item"":""Epic Caboodle""}
4. {""business_name"":""On-prem SQL Server reporting marts"",""capability"":""legacy_reporting_marts"",""owner"":""Enterprise Data Warehouse"",""criticality"":""critical"",""lifecycle_status"":""fragmented_reporting_estate"",""integrations"":""SSIS; SQL Agent; Tableau extracts; Power BI gateway; SAS feeds"",""data_dependencies"":""departmental marts; duplicated business rules; extract chains"",""confidence"":""medium"",""context_item"":""On-prem SQL Server reporting marts""}
5. {""business_name"":""Tableau reporting estate"",""capability"":""business_intelligence"",""owner"":""BI and Analytics"",""criticality"":""high"",""lifecycle_status"":""current_reporting"",""integrations"":""SQL Server marts; Caboodle extracts"",""data_dependencies"":""dashboards; extracts; local metric definitions"",""confidence"":""high"",""context_item"":""Tableau reporting estate""}","Deterministic full-row projection from canonical CSV","design_slots.DATA.apps","canonical tenant input rows","04_applications_systems.csv — 241 rows, 17 active, 224 candidate; refreshed 2026-07-17","not_applicable","not_applicable","Review table previews five rows; UI has the full row set and filters."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Applications & Systems","Relationships","Relationship story","{""chain"":[""Epic Clarity / Caboodle → SQL Server marts → Tableau / Power BI / SAS (fragmented extract chains, duplicated business rules)"",""Claims administration + Pharmacy claims → SQL Server marts → SAS payment integrity models (ungoverned lineage)"",""Contact center transcripts + CRM cases → member identity linkage (unproven) → call center optimization use case"",""Provider contract repository (manual) → GL close reporting → cost transparency use case (blocked by contract digitization gap)"",""AWS foundation + Databricks → planned medallion lakehouse → all five priority use cases (aspirational, not evidenced)""],""note"":""The SQL Server reporting mart layer is the single most consequential dependency: it sits between every source system and every BI/analytics consumer, yet carries duplicated rules and no certified governance — making it both the current integration hub and the primary blocker for all use-case advancement.""}","Claude-authored relationship interpretation","design_slots.REL.apps","canonical relationship rows plus source dimension","04_applications_systems.csv — 241 rows, 17 active, 224 candidate; refreshed 2026-07-17; 12_relationships.csv","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Relationship interpretation remains evidence-bounded."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Applications & Systems","Gaps","Dimension gaps","{""missing"":""No certified medallion architecture on AWS/Databricks"",""blocks"":""Unified clinical + claims lakehouse; all downstream AI/LLM use cases"",""needed"":""Bronze/silver/gold layer design, Unity Catalog configuration, and Delta integration evidence"",""handoff"":""Technology Platform and Data Platform owners; evidence gate: MER-V3-EVID-0053, -0054""}; {""missing"":""No patient/member identity spine loaded"",""blocks"":""Lakehouse, call center optimization, cost transparency — any cross-domain member-level analytics"",""needed"":""Identity resolution design, MDM or probabilistic matching evidence, and load certification"",""handoff"":""Data Platform and Epic Analytics owners; prerequisite to all five top use cases""}; {""missing"":""No certified semantic layer or formal data governance operating model"",""blocks"":""AI/LLM automation, cost transparency, payment integrity — any governed metric production"",""needed"":""Semantic ownership assignments, data quality rules, and governance RACI evidenced"",""handoff"":""Enterprise Data Warehouse and Analytics owners; blocks seven use cases per CEO/CFO priority""}; {""missing"":""Transcript governance and intent taxonomy not certified for contact center"",""blocks"":""Call center optimization — agent assist, next-best-action, AHT/FCR baselining"",""needed"":""Transcript retention policy, QA-label schema, intent taxonomy sign-off, and CRM real-time integration proof"",""handoff"":""Member Services and Member Experience owners; four of four evidence gates open""}; {""missing"":""Provider contract terms not in governed digital form"",""blocks"":""End-to-end cost transparency and provider quality use cases"",""needed"":""Contract digitization, capitation and VBC term extraction, and attribution ownership certification"",""handoff"":""Network Contracting owner; single largest blocker for cost transparency per CEO/CFO""}","Claude-authored gap synthesis","design_slots.DGAPS.apps","canonical gaps, risks, metrics, and evidence boundaries","04_applications_systems.csv — 241 rows, 17 active, 224 candidate; refreshed 2026-07-17; 11_risks_controls.csv; 13_evidence_sources.csv; 14_metrics_outcomes.csv","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Generator fails if this slot is empty."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Applications & Systems","Evidence","Evidence cards","{""name"":""Epic Suite (Hyperspace, Clarity, Caboodle)"",""type"":""System inventory — clinical EHR and reporting"",""date"":""2026-07-17"",""rows"":""3 records (MER-V3-EVID-0040, -0041, -0042)"",""facts"":""All three Epic components are current-core, high-criticality, and evidenced. Clarity and Caboodle feed SQL Server extract chains and Tableau/BI tools. No certified medallion connection to claims or pharmacy is evidenced."",""st"":""source-backed"",""fields"":""capability, owner, criticality, lifecycle_status, integrations, data_dependencies"",""supports"":""Lakehouse foundation use case — evidence gate: Epic Clarity medallion architecture must close before use case advances"",""missing"":""Certified medallion architecture; patient/member identity spine; claims and pharmacy harmonization proof""}; {""name"":""On-prem SQL Server reporting marts"",""type"":""System inventory — legacy reporting infrastructure"",""date"":""2026-07-17"",""rows"":""1 record (MER-V3-EVID-0043)"",""facts"":""Classified critical-lifecycle fragmented_reporting_estate. Feeds Tableau, Power BI, and SAS via SSIS/SQL Agent. Carries duplicated business rules across departmental marts. Medium confidence — full scope not yet certified."",""st"":""source-backed"",""fields"":""capability, owner, criticality, lifecycle_status, integrations, data_dependencies"",""supports"":""Identifies the primary integration bottleneck blocking semantic layer certification and all governed analytics use cases"",""missing"":""Full mart inventory; business rule deduplication scope; migration sequencing to target-state platform""}; {""name"":""Claims administration and pharmacy claims platforms"",""type"":""System inventory — health plan operations"",""date"":""2026-07-17"",""rows"":""2 records (MER-V3-EVID-0047, -0048)"",""facts"":""Claims platform is critical-core (medium confidence); pharmacy platform is high-criticality (high confidence). Both feed SQL Server marts via EDI and NCPDP extracts. Claims/pharmacy harmonization is not proven."",""st"":""source-backed"",""fields"":""capability, owner, criticality, lifecycle_status, integrations, data_dependencies"",""supports"":""Payment integrity, cost transparency, and lakehouse use cases — harmonization evidence gate must close"",""missing"":""Claims/pharmacy harmonization proof; vendor identity for claims platform; adjudication rule lineage""}; {""name"":""AWS analytics foundation and Databricks on AWS"",""type"":""System inventory — target-state platform direction"",""date"":""2026-07-17"",""rows"":""2 records (MER-V3-EVID-0053, -0054)"",""facts"":""Both classified aspirational_not_ready. AWS foundation is planned network/security/IAM only. Databricks integration is planned S3/Unity Catalog/Delta — no certified medallion, no production analytics workloads evidenced."",""st"":""source-backed"",""fields"":""capability, owner, criticality, lifecycle_status, integrations, data_dependencies"",""supports"":""Confirms target-state direction is not yet a planning-grade foundation; all five use cases cannot rely on this platform without evidence closure"",""missing"":""Medallion architecture certification; Unity Catalog configuration; network/security/IAM foundation completion; production workload evidence""}; {""name"":""CEO / CFO / CIO stakeholder intent — top use cases"",""type"":""Stakeholder interview evidence — executive priority alignment"",""date"":""2026-07-17"",""rows"":""25 records (MER-SA07-INT-EVID-0001 through -0025)"",""facts"":""CEO, CFO, and CIO all cite lakehouse, AI/LLM governance, call center optimization, cost transparency, and payment integrity as top priorities. All five are flagged as promising but not decision-grade pending evidence closure."",""st"":""source-backed"",""fields"":""business_name, context_item, confidence, active_candidate_status, evidence_id"",""supports"":""Confirms executive alignment on use-case priorities and validates that evidence gate closure — not strategy — is the binding constraint"",""missing"":""Approved business cases; baseline metrics; PHI controls; HITL and audit logging evidence; benefits ledger ties""}; {""name"":""Contact center, CRM, and provider contract systems"",""type"":""System inventory — member service and network operations"",""date"":""2026-07-17"",""rows"":""3 records (MER-V3-EVID-0049, -0050, -0052)"",""facts"":""CRM and contact center are current-core but ungoverned for analytics. Provider contract repository is current-manual — terms not in governed digital form. Transcript governance, intent taxonomy, and member identity linkage are all unproven."",""st"":""source-backed"",""fields"":""capability, owner, criticality, lifecycle_status, integrations, data_dependencies"",""supports"":""Call center optimization and cost transparency use cases — four of four evidence gates open for contact center; contract digitization is the single largest cost transparency blocker"",""missing"":""Transcript retention policy; QA-label schema; intent taxonomy certification; contract digitization scope and timeline""}","Claude-authored evidence summary","design_slots.EVID.apps","evidence registry plus dimension file","04_applications_systems.csv — 241 rows, 17 active, 224 candidate; refreshed 2026-07-17; 13_evidence_sources.csv","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Generator fails if this slot is empty."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Data Assets & Integrations","Summary","Story card","{""meaning"":""Meridian holds a rich, multi-domain data estate — clinical, claims, pharmacy, contact center, finance — but no certified integration layer, identity spine, or governance model exists to make it decision-grade."",""observed"":""17 active assets and 225 candidates are catalogued across 7 strategic use cases. High confidence covers 174 items (72%). Every use case is blocked by at least one foundational gap: no medallion architecture, no patient/member identity spine, no formal governance operating model, and no AI audit trail."",""matters"":""Without closing these foundation gaps, Meridian cannot quantify value from any use case. AI/LLM automation, cost transparency, and payment integrity all remain planning-grade hypotheses — not executable programs."",""supports"":""Prioritize evidence closure in this sequence: (1) lakehouse foundation, (2) governance and semantic layer, (3) provider contract digitization, (4) transcript governance, (5) payment integrity lineage. Each gate unlocks the next tier of use cases.""}","Claude-authored tool payload","design_slots.STORY.data","canonical dimension rows + cross-dimension context","05_data_assets_integrations.csv — 242 rows, 17 active, 225 candidate; refreshed 2026-07-17","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Renderer displays this dimension story without prose rewriting."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Data Assets & Integrations","Summary","Insight breakdown","{""findings"":[""242 data assets catalogued; only 17 are active — 93% remain candidate, signaling a wide execution gap between inventory and production-ready integration."",""All 7 use cases share a common root blocker: no certified medallion architecture and no formal data governance operating model, making cross-use-case sequencing the highest-leverage executive decision."",""Payment integrity and AI/LLM automation are the CFO's top priorities, yet SAS model lineage is ungoverned and no AI audit trail exists — both are pre-conditions for regulatory defensibility and value realization."",""Provider contract terms are not digitized in governed form, directly blocking both cost transparency and provider quality use cases from advancing beyond planning stage.""],""breakdown"":{""title"":""Data Asset Status by Use Case"",""rows"":[{""label"":""Unified Clinical + Claims Lakehouse"",""value"":""3 active domains"",""note"":""EMR, claims, pharmacy — all blocked: no identity spine, no medallion arch""},{""label"":""Governed AI / LLM Foundation"",""value"":""3 active domains"",""note"":""Prior-auth, coding, UM — blocked: no governance model, no audit trail""},{""label"":""Call Center Optimization"",""value"":""3 active domains"",""note"":""Transcripts, CRM, claims status — blocked: no transcript governance, no intent taxonomy""},{""label"":""Provider Quality & Performance"",""value"":""3 active domains"",""note"":""HEDIS, STAR, attribution — blocked: measure logic fragmented, attribution unproven""},{""label"":""Payment Integrity & Leakage"",""value"":""3 active domains"",""note"":""Anomalies, FWA, billing — blocked: SAS lineage ungoverned, recovery tracking absent""}]}}","Claude-authored tool payload","design_slots.INSIGHTS.data","canonical dimension rows + cross-dimension context","05_data_assets_integrations.csv — 242 rows, 17 active, 225 candidate; refreshed 2026-07-17","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Renderer displays this insight structure without prose rewriting."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Data Assets & Integrations","Summary","Visual blocks","{""type"":""evidence_bar"",""title"":""Data Asset Readiness by Use Case"",""subtitle"":""Active vs. candidate assets and primary evidence gate — all use cases in planning stage as of 2026-07-17"",""data"":{""bars"":[{""label"":""Unified Clinical + Claims Lakehouse"",""active"":3,""candidate"":0,""gate"":""Medallion arch + identity spine + harmonization proof"",""status"":""Blocked""},{""label"":""Governed AI / LLM Foundation"",""active"":2,""candidate"":1,""gate"":""Governance model + semantic layer + AI audit trail"",""status"":""Blocked""},{""label"":""Call Center Optimization"",""active"":3,""candidate"":0,""gate"":""Transcript governance + intent taxonomy + identity linkage"",""status"":""Blocked""},{""label"":""Provider Quality & Performance"",""active"":2,""candidate"":1,""gate"":""Attribution certification + contract linkage + measure logic unification"",""status"":""Blocked""},{""label"":""End-to-End Cost Transparency"",""active"":2,""candidate"":1,""gate"":""Contract digitization + GL alignment + margin semantic model"",""status"":""Blocked""},{""label"":""Payment Integrity & Leakage"",""active"":3,""candidate"":0,""gate"":""SAS lineage governance + entity resolution + recovery tracking"",""status"":""Blocked""},{""label"":""Automated Close & Reporting"",""active"":3,""candidate"":0,""gate"":""Finance semantic layer + close workflow integration + metric governance"",""status"":""Blocked""}],""legend"":{""active"":""Active assets (system-sourced)"",""candidate"":""Candidate assets (not yet integration-ready)"",""gate"":""Evidence gate required to exit planning stage""}}}","Claude-authored visual block payload","design_slots.VISUAL_BLOCKS.data","canonical dimension rows + cross-dimension context","05_data_assets_integrations.csv — 242 rows, 17 active, 225 candidate; refreshed 2026-07-17","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Cards, charts, graphs, and dashboard panels render from this structure."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Data Assets & Integrations","Data","Rows","242 rows render from approved pack with search/filter controls
1. {""business_name"":""Unified clinical + claims lakehouse: EMR clinical"",""use_case"":""Unified clinical + claims lakehouse"",""data_domain"":""EMR clinical"",""systems"":""Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS"",""evidence_needed"":""No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready"",""confidence"":""high"",""context_item"":""Unified clinical + claims lakehouse: EMR clinical"",""dimension"":""05_data_assets_integrations"",""evidence_id"":""MER-V3-EVID-0100""}
2. {""business_name"":""Unified clinical + claims lakehouse: claims"",""use_case"":""Unified clinical + claims lakehouse"",""data_domain"":""claims"",""systems"":""Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS"",""evidence_needed"":""No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready"",""confidence"":""high"",""context_item"":""Unified clinical + claims lakehouse: claims"",""dimension"":""05_data_assets_integrations"",""evidence_id"":""MER-V3-EVID-0101""}
3. {""business_name"":""Unified clinical + claims lakehouse: pharmacy"",""use_case"":""Unified clinical + claims lakehouse"",""data_domain"":""pharmacy"",""systems"":""Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS"",""evidence_needed"":""No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready"",""confidence"":""high"",""context_item"":""Unified clinical + claims lakehouse: pharmacy"",""dimension"":""05_data_assets_integrations"",""evidence_id"":""MER-V3-EVID-0102""}
4. {""business_name"":""Governed data foundation for AI / LLM automation: prior authorization"",""use_case"":""Governed data foundation for AI / LLM automation"",""data_domain"":""prior authorization"",""systems"":""Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS"",""evidence_needed"":""No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not yet evidenced"",""confidence"":""medium"",""context_item"":""Governed data foundation for AI / LLM automation: prior authorization"",""dimension"":""05_data_assets_integrations"",""evidence_id"":""MER-V3-EVID-0103""}
5. {""business_name"":""Governed data foundation for AI / LLM automation: coding"",""use_case"":""Governed data foundation for AI / LLM automation"",""data_domain"":""coding"",""systems"":""Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS"",""evidence_needed"":""No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not yet evidenced"",""confidence"":""high"",""context_item"":""Governed data foundation for AI / LLM automation: coding"",""dimension"":""05_data_assets_integrations"",""evidence_id"":""MER-V3-EVID-0104""}","Deterministic full-row projection from canonical CSV","design_slots.DATA.data","canonical tenant input rows","05_data_assets_integrations.csv — 242 rows, 17 active, 225 candidate; refreshed 2026-07-17","not_applicable","not_applicable","Review table previews five rows; UI has the full row set and filters."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Data Assets & Integrations","Relationships","Relationship story","{""chain"":[""Data Assets & Integrations → Platform & Infrastructure (lakehouse foundation requires certified AWS/Databricks medallion architecture)"",""Data Assets & Integrations → Governance & Controls (all 7 use cases blocked until formal data governance operating model is established)"",""Data Assets & Integrations → AI & Automation (governed semantic layer and AI audit trail are pre-conditions for prior-auth, coding, and UM automation)"",""Data Assets & Integrations → Financial Performance (cost transparency and payment integrity use cases require claims/GL alignment and provider contract digitization)"",""Data Assets & Integrations → Member & Provider Experience (call center optimization and provider quality require identity linkage and attribution certification)""],""note"":""Data assets are the supply chain for every strategic use case at Meridian. Governance and platform gaps are not data problems — they are program sequencing risks that the C-suite must resolve before any use case can exit planning stage and enter funded execution.""}","Claude-authored relationship interpretation","design_slots.REL.data","canonical relationship rows plus source dimension","05_data_assets_integrations.csv — 242 rows, 17 active, 225 candidate; refreshed 2026-07-17; 12_relationships.csv","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Relationship interpretation remains evidence-bounded."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Data Assets & Integrations","Gaps","Dimension gaps","{""missing"":""No certified medallion architecture on AWS/Databricks"",""blocks"":""Unified clinical + claims lakehouse — the foundational use case for population health, cost, and quality analytics"",""needed"":""Architecture certification with bronze/silver/gold layer evidence and Epic Clarity ingestion proof"",""handoff"":""CIO + CDAO to confirm target-state platform readiness gate before lakehouse program funding""}; {""missing"":""No patient/member identity spine loaded"",""blocks"":""Lakehouse, call center optimization, and any cross-domain member-level analytics"",""needed"":""Identity resolution design, source system linkage map, and loaded spine with match-rate evidence"",""handoff"":""CDAO to own identity spine as a shared platform service; assign data steward and timeline""}; {""missing"":""No formal data governance operating model"",""blocks"":""All 7 use cases — particularly AI/LLM automation where audit trail and data quality rule evidence are also absent"",""needed"":""Governance charter, data steward assignments, semantic layer certification, and data quality rule registry"",""handoff"":""CDAO to present governance operating model to CEO/CFO within 60 days as program gate""}; {""missing"":""Provider contract terms not digitized in governed form"",""blocks"":""End-to-end cost transparency and provider quality use cases — prevents margin and attribution analytics"",""needed"":""Contract digitization program with Network Contracting ownership and GL calendar alignment proof"",""handoff"":""CFO + Chief Network Officer to assign contract digitization owner and fund extraction effort""}; {""missing"":""SAS payment integrity model lineage ungoverned; recovery tracking absent"",""blocks"":""Payment integrity and leakage reduction — prevents CFO from quantifying or defending recovery claims"",""needed"":""Model lineage documentation, provider entity resolution proof, and investigation/recovery workflow evidence"",""handoff"":""CFO + Health Plan Ops to assign model risk owner and establish recovery realization tracking baseline""}","Claude-authored gap synthesis","design_slots.DGAPS.data","canonical gaps, risks, metrics, and evidence boundaries","05_data_assets_integrations.csv — 242 rows, 17 active, 225 candidate; refreshed 2026-07-17; 11_risks_controls.csv; 13_evidence_sources.csv; 14_metrics_outcomes.csv","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Generator fails if this slot is empty."
