tenant_key,gap_key,dimension_key,record_key,gap_type,gap_description,blocked_decision,evidence_needed,confidence,active_candidate_status
skyharbor-air,SHA-GAP-00001,00_enterprise_profile,SHA-00-00001,missing_owner,safety criticality requires evidence validation before active use.,IROPS Resilience and Recovery,SHA-EVID-00001; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00432,02_org_ownership,SHA-02-00108,missing_baseline,incident response requires evidence validation before active use.,Procurement and vendor contract intelligence,SHA-EVID-01308; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00433,02_org_ownership,SHA-02-00109,missing_lineage,airport-local operating variation requires evidence validation before active use.,IROPS Resilience and Recovery,SHA-EVID-01309; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00434,02_org_ownership,SHA-02-00110,missing_contract_evidence,reservation-system dependency requires evidence validation before active use.,Passenger Service Modernization,SHA-EVID-01310; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00435,02_org_ownership,SHA-02-00111,missing_control_attestation,cloud resilience requires evidence validation before active use.,Loyalty Platform Modernization,SHA-EVID-01311; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00436,02_org_ownership,SHA-02-00112,missing_owner,safety criticality requires evidence validation before active use.,Crew Operations Optimization,SHA-EVID-01312; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00437,02_org_ownership,SHA-02-00113,missing_baseline,operational resilience requires evidence validation before active use.,Maintenance Predictive Analytics Foundation,SHA-EVID-01313; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00438,02_org_ownership,SHA-02-00114,missing_lineage,crew and legal constraints requires evidence validation before active use.,Airport Turnaround Performance Program,SHA-EVID-01314; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00439,02_org_ownership,SHA-02-00115,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,Data Platform and Lakehouse Foundation,SHA-EVID-01315; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00440,02_org_ownership,SHA-02-00116,missing_control_attestation,data privacy requires evidence validation before active use.,Contact Center Experience Transformation,SHA-EVID-01316; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00441,02_org_ownership,SHA-02-00117,missing_owner,PCI requires evidence validation before active use.,Revenue Management Modernization,SHA-EVID-01317; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00442,02_org_ownership,SHA-02-00118,missing_baseline,cyber risk requires evidence validation before active use.,Cloud Resilience and Cyber Program,SHA-EVID-01318; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00443,02_org_ownership,SHA-02-00119,missing_lineage,identity and access requires evidence validation before active use.,Baggage Visibility and Recovery,SHA-EVID-01319; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00444,02_org_ownership,SHA-02-00120,missing_contract_evidence,vendor concentration requires evidence validation before active use.,Finance and Procurement Spend Transparency,SHA-EVID-01320; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00445,02_org_ownership,SHA-02-00121,missing_control_attestation,model explainability requires evidence validation before active use.,IROPS recovery copilot,SHA-EVID-01321; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00446,02_org_ownership,SHA-02-00122,missing_owner,human-in-the-loop operations requires evidence validation before active use.,Crew disruption assistant,SHA-EVID-01322; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00447,02_org_ownership,SHA-02-00123,missing_baseline,incident response requires evidence validation before active use.,Maintenance troubleshooting assistant,SHA-EVID-01323; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00448,02_org_ownership,SHA-02-00124,missing_lineage,airport-local operating variation requires evidence validation before active use.,Contact center agent assist,SHA-EVID-01324; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00449,02_org_ownership,SHA-02-00125,missing_contract_evidence,reservation-system dependency requires evidence validation before active use.,Passenger rebooking personalization,SHA-EVID-01325; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00450,02_org_ownership,SHA-02-00126,missing_control_attestation,cloud resilience requires evidence validation before active use.,Baggage recovery prediction,SHA-EVID-01326; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00451,02_org_ownership,SHA-02-00127,missing_owner,safety criticality requires evidence validation before active use.,Airport turnaround risk predictor,SHA-EVID-01327; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00452,02_org_ownership,SHA-02-00128,missing_baseline,operational resilience requires evidence validation before active use.,Revenue management scenario assistant,SHA-EVID-01328; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00453,02_org_ownership,SHA-02-00129,missing_lineage,crew and legal constraints requires evidence validation before active use.,Loyalty next-best-action assistant,SHA-EVID-01329; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00454,02_org_ownership,SHA-02-00130,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,Flight operations knowledge assistant,SHA-EVID-01330; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00455,02_org_ownership,SHA-02-00131,missing_control_attestation,data privacy requires evidence validation before active use.,IT incident and change-risk copilot,SHA-EVID-01331; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00456,02_org_ownership,SHA-02-00132,missing_owner,PCI requires evidence validation before active use.,Procurement and vendor contract intelligence,SHA-EVID-01332; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00457,02_org_ownership,SHA-02-00133,missing_baseline,cyber risk requires evidence validation before active use.,IROPS Resilience and Recovery,SHA-EVID-01333; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00458,02_org_ownership,SHA-02-00134,missing_lineage,identity and access requires evidence validation before active use.,Passenger Service Modernization,SHA-EVID-01334; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00459,02_org_ownership,SHA-02-00135,missing_contract_evidence,vendor concentration requires evidence validation before active use.,Loyalty Platform Modernization,SHA-EVID-01335; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00460,02_org_ownership,SHA-02-00136,missing_control_attestation,model explainability requires evidence validation before active use.,Crew Operations Optimization,SHA-EVID-01336; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00461,02_org_ownership,SHA-02-00137,missing_owner,human-in-the-loop operations requires evidence validation before active use.,Maintenance Predictive Analytics Foundation,SHA-EVID-01337; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00462,02_org_ownership,SHA-02-00138,missing_baseline,incident response requires evidence validation before active use.,Airport Turnaround Performance Program,SHA-EVID-01338; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00463,02_org_ownership,SHA-02-00139,missing_lineage,airport-local operating variation requires evidence validation before active use.,Data Platform and Lakehouse Foundation,SHA-EVID-01339; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00464,02_org_ownership,SHA-02-00140,missing_contract_evidence,reservation-system dependency requires evidence validation before active use.,Contact Center Experience Transformation,SHA-EVID-01340; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00465,02_org_ownership,SHA-02-00141,missing_control_attestation,cloud resilience requires evidence validation before active use.,Revenue Management Modernization,SHA-EVID-01341; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00466,02_org_ownership,SHA-02-00142,missing_owner,safety criticality requires evidence validation before active use.,Cloud Resilience and Cyber Program,SHA-EVID-01342; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00467,02_org_ownership,SHA-02-00143,missing_baseline,operational resilience requires evidence validation before active use.,Baggage Visibility and Recovery,SHA-EVID-01343; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00468,02_org_ownership,SHA-02-00144,missing_lineage,crew and legal constraints requires evidence validation before active use.,Finance and Procurement Spend Transparency,SHA-EVID-01344; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00469,02_org_ownership,SHA-02-00145,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,IROPS recovery copilot,SHA-EVID-01345; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00470,02_org_ownership,SHA-02-00146,missing_control_attestation,data privacy requires evidence validation before active use.,Crew disruption assistant,SHA-EVID-01346; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00471,02_org_ownership,SHA-02-00147,missing_owner,PCI requires evidence validation before active use.,Maintenance troubleshooting assistant,SHA-EVID-01347; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00472,02_org_ownership,SHA-02-00148,missing_baseline,cyber risk requires evidence validation before active use.,Contact center agent assist,SHA-EVID-01348; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00473,02_org_ownership,SHA-02-00149,missing_lineage,identity and access requires evidence validation before active use.,Passenger rebooking personalization,SHA-EVID-01349; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00474,02_org_ownership,SHA-02-00150,missing_contract_evidence,vendor concentration requires evidence validation before active use.,Baggage recovery prediction,SHA-EVID-01350; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00475,02_org_ownership,SHA-02-00151,missing_control_attestation,model explainability requires evidence validation before active use.,Airport turnaround risk predictor,SHA-EVID-01351; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00476,02_org_ownership,SHA-02-00152,missing_owner,human-in-the-loop operations requires evidence validation before active use.,Revenue management scenario assistant,SHA-EVID-01352; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00477,02_org_ownership,SHA-02-00153,missing_baseline,incident response requires evidence validation before active use.,Loyalty next-best-action assistant,SHA-EVID-01353; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00478,02_org_ownership,SHA-02-00154,missing_lineage,airport-local operating variation requires evidence validation before active use.,Flight operations knowledge assistant,SHA-EVID-01354; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00479,02_org_ownership,SHA-02-00155,missing_contract_evidence,reservation-system dependency requires evidence validation before active use.,IT incident and change-risk copilot,SHA-EVID-01355; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00480,02_org_ownership,SHA-02-00156,missing_control_attestation,cloud resilience requires evidence validation before active use.,Procurement and vendor contract intelligence,SHA-EVID-01356; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00481,02_org_ownership,SHA-02-00157,missing_owner,safety criticality requires evidence validation before active use.,IROPS Resilience and Recovery,SHA-EVID-01357; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00482,02_org_ownership,SHA-02-00158,missing_baseline,operational resilience requires evidence validation before active use.,Passenger Service Modernization,SHA-EVID-01358; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00483,02_org_ownership,SHA-02-00159,missing_lineage,crew and legal constraints requires evidence validation before active use.,Loyalty Platform Modernization,SHA-EVID-01359; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00484,02_org_ownership,SHA-02-00160,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,Crew Operations Optimization,SHA-EVID-01360; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00485,02_org_ownership,SHA-02-00161,missing_control_attestation,data privacy requires evidence validation before active use.,Maintenance Predictive Analytics Foundation,SHA-EVID-01361; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00486,02_org_ownership,SHA-02-00162,missing_owner,PCI requires evidence validation before active use.,Airport Turnaround Performance Program,SHA-EVID-01362; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00487,02_org_ownership,SHA-02-00163,missing_baseline,cyber risk requires evidence validation before active use.,Data Platform and Lakehouse Foundation,SHA-EVID-01363; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00488,02_org_ownership,SHA-02-00164,missing_lineage,identity and access requires evidence validation before active use.,Contact Center Experience Transformation,SHA-EVID-01364; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00489,02_org_ownership,SHA-02-00165,missing_contract_evidence,vendor concentration requires evidence validation before active use.,Revenue Management Modernization,SHA-EVID-01365; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00490,02_org_ownership,SHA-02-00166,missing_control_attestation,model explainability requires evidence validation before active use.,Cloud Resilience and Cyber Program,SHA-EVID-01366; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00491,02_org_ownership,SHA-02-00167,missing_owner,human-in-the-loop operations requires evidence validation before active use.,Baggage Visibility and Recovery,SHA-EVID-01367; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00492,02_org_ownership,SHA-02-00168,missing_baseline,incident response requires evidence validation before active use.,Finance and Procurement Spend Transparency,SHA-EVID-01368; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00493,02_org_ownership,SHA-02-00169,missing_lineage,airport-local operating variation requires evidence validation before active use.,IROPS recovery copilot,SHA-EVID-01369; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00494,02_org_ownership,SHA-02-00170,missing_contract_evidence,reservation-system dependency requires evidence validation before active use.,Crew disruption assistant,SHA-EVID-01370; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00495,02_org_ownership,SHA-02-00171,missing_control_attestation,cloud resilience requires evidence validation before active use.,Maintenance troubleshooting assistant,SHA-EVID-01371; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00496,02_org_ownership,SHA-02-00172,missing_owner,safety criticality requires evidence validation before active use.,Contact center agent assist,SHA-EVID-01372; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00497,02_org_ownership,SHA-02-00173,missing_baseline,operational resilience requires evidence validation before active use.,Passenger rebooking personalization,SHA-EVID-01373; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00498,02_org_ownership,SHA-02-00174,missing_lineage,crew and legal constraints requires evidence validation before active use.,Baggage recovery prediction,SHA-EVID-01374; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00499,02_org_ownership,SHA-02-00175,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,Airport turnaround risk predictor,SHA-EVID-01375; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00500,02_org_ownership,SHA-02-00176,missing_control_attestation,data privacy requires evidence validation before active use.,Revenue management scenario assistant,SHA-EVID-01376; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00501,02_org_ownership,SHA-02-00177,missing_owner,PCI requires evidence validation before active use.,Loyalty next-best-action assistant,SHA-EVID-01377; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00502,02_org_ownership,SHA-02-00178,missing_baseline,cyber risk requires evidence validation before active use.,Flight operations knowledge assistant,SHA-EVID-01378; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00503,02_org_ownership,SHA-02-00179,missing_lineage,identity and access requires evidence validation before active use.,IT incident and change-risk copilot,SHA-EVID-01379; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00504,02_org_ownership,SHA-02-00180,missing_contract_evidence,vendor concentration requires evidence validation before active use.,Procurement and vendor contract intelligence,SHA-EVID-01380; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00505,02_org_ownership,SHA-02-00181,missing_control_attestation,model explainability requires evidence validation before active use.,IROPS Resilience and Recovery,SHA-EVID-01381; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00506,02_org_ownership,SHA-02-00182,missing_owner,human-in-the-loop operations requires evidence validation before active use.,Passenger Service Modernization,SHA-EVID-01382; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00507,02_org_ownership,SHA-02-00183,missing_baseline,incident response requires evidence validation before active use.,Loyalty Platform Modernization,SHA-EVID-01383; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00508,02_org_ownership,SHA-02-00184,missing_lineage,airport-local operating variation requires evidence validation before active use.,Crew Operations Optimization,SHA-EVID-01384; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00509,02_org_ownership,SHA-02-00185,missing_contract_evidence,reservation-system dependency requires evidence validation before active use.,Maintenance Predictive Analytics Foundation,SHA-EVID-01385; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00510,02_org_ownership,SHA-02-00186,missing_control_attestation,cloud resilience requires evidence validation before active use.,Airport Turnaround Performance Program,SHA-EVID-01386; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00511,02_org_ownership,SHA-02-00187,missing_owner,safety criticality requires evidence validation before active use.,Data Platform and Lakehouse Foundation,SHA-EVID-01387; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00512,02_org_ownership,SHA-02-00188,missing_baseline,operational resilience requires evidence validation before active use.,Contact Center Experience Transformation,SHA-EVID-01388; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00513,02_org_ownership,SHA-02-00189,missing_lineage,crew and legal constraints requires evidence validation before active use.,Revenue Management Modernization,SHA-EVID-01389; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00514,02_org_ownership,SHA-02-00190,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,Cloud Resilience and Cyber Program,SHA-EVID-01390; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00515,02_org_ownership,SHA-02-00191,missing_control_attestation,data privacy requires evidence validation before active use.,Baggage Visibility and Recovery,SHA-EVID-01391; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00516,02_org_ownership,SHA-02-00192,missing_owner,PCI requires evidence validation before active use.,Finance and Procurement Spend Transparency,SHA-EVID-01392; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00517,02_org_ownership,SHA-02-00193,missing_baseline,cyber risk requires evidence validation before active use.,IROPS recovery copilot,SHA-EVID-01393; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00518,02_org_ownership,SHA-02-00194,missing_lineage,identity and access requires evidence validation before active use.,Crew disruption assistant,SHA-EVID-01394; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00519,02_org_ownership,SHA-02-00195,missing_contract_evidence,vendor concentration requires evidence validation before active use.,Maintenance troubleshooting assistant,SHA-EVID-01395; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00520,02_org_ownership,SHA-02-00196,missing_control_attestation,model explainability requires evidence validation before active use.,Contact center agent assist,SHA-EVID-01396; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00521,02_org_ownership,SHA-02-00197,missing_owner,human-in-the-loop operations requires evidence validation before active use.,Passenger rebooking personalization,SHA-EVID-01397; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00522,02_org_ownership,SHA-02-00198,missing_baseline,incident response requires evidence validation before active use.,Baggage recovery prediction,SHA-EVID-01398; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00523,02_org_ownership,SHA-02-00199,missing_lineage,airport-local operating variation requires evidence validation before active use.,Airport turnaround risk predictor,SHA-EVID-01399; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00524,02_org_ownership,SHA-02-00200,missing_contract_evidence,reservation-system dependency requires evidence validation before active use.,Revenue management scenario assistant,SHA-EVID-01400; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00525,02_org_ownership,SHA-02-00201,missing_control_attestation,cloud resilience requires evidence validation before active use.,Loyalty next-best-action assistant,SHA-EVID-01401; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00526,02_org_ownership,SHA-02-00202,missing_owner,safety criticality requires evidence validation before active use.,Flight operations knowledge assistant,SHA-EVID-01402; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00527,02_org_ownership,SHA-02-00203,missing_baseline,operational resilience requires evidence validation before active use.,IT incident and change-risk copilot,SHA-EVID-01403; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00528,02_org_ownership,SHA-02-00204,missing_lineage,crew and legal constraints requires evidence validation before active use.,Procurement and vendor contract intelligence,SHA-EVID-01404; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00529,02_org_ownership,SHA-02-00205,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,IROPS Resilience and Recovery,SHA-EVID-01405; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00530,02_org_ownership,SHA-02-00206,missing_control_attestation,data privacy requires evidence validation before active use.,Passenger Service Modernization,SHA-EVID-01406; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00531,02_org_ownership,SHA-02-00207,missing_owner,PCI requires evidence validation before active use.,Loyalty Platform Modernization,SHA-EVID-01407; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00532,02_org_ownership,SHA-02-00208,missing_baseline,cyber risk requires evidence validation before active use.,Crew Operations Optimization,SHA-EVID-01408; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00533,02_org_ownership,SHA-02-00209,missing_lineage,identity and access requires evidence validation before active use.,Maintenance Predictive Analytics Foundation,SHA-EVID-01409; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00534,02_org_ownership,SHA-02-00210,missing_contract_evidence,vendor concentration requires evidence validation before active use.,Airport Turnaround Performance Program,SHA-EVID-01410; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00535,02_org_ownership,SHA-02-00211,missing_control_attestation,model explainability requires evidence validation before active use.,Data Platform and Lakehouse Foundation,SHA-EVID-01411; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00536,02_org_ownership,SHA-02-00212,missing_owner,human-in-the-loop operations requires evidence validation before active use.,Contact Center Experience Transformation,SHA-EVID-01412; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00537,02_org_ownership,SHA-02-00213,missing_baseline,incident response requires evidence validation before active use.,Revenue Management Modernization,SHA-EVID-01413; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00538,02_org_ownership,SHA-02-00214,missing_lineage,airport-local operating variation requires evidence validation before active use.,Cloud Resilience and Cyber Program,SHA-EVID-01414; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00539,02_org_ownership,SHA-02-00215,missing_contract_evidence,reservation-system dependency requires evidence validation before active use.,Baggage Visibility and Recovery,SHA-EVID-01415; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00540,02_org_ownership,SHA-02-00216,missing_control_attestation,cloud resilience requires evidence validation before active use.,Finance and Procurement Spend Transparency,SHA-EVID-01416; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00541,02_org_ownership,SHA-02-00217,missing_owner,safety criticality requires evidence validation before active use.,IROPS recovery copilot,SHA-EVID-01417; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00542,02_org_ownership,SHA-02-00218,missing_baseline,operational resilience requires evidence validation before active use.,Crew disruption assistant,SHA-EVID-01418; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00543,02_org_ownership,SHA-02-00219,missing_lineage,crew and legal constraints requires evidence validation before active use.,Maintenance troubleshooting assistant,SHA-EVID-01419; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00544,02_org_ownership,SHA-02-00220,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,Contact center agent assist,SHA-EVID-01420; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00545,02_org_ownership,SHA-02-00221,missing_control_attestation,data privacy requires evidence validation before active use.,Passenger rebooking personalization,SHA-EVID-01421; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00546,02_org_ownership,SHA-02-00222,missing_owner,PCI requires evidence validation before active use.,Baggage recovery prediction,SHA-EVID-01422; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00547,02_org_ownership,SHA-02-00223,missing_baseline,cyber risk requires evidence validation before active use.,Airport turnaround risk predictor,SHA-EVID-01423; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00548,02_org_ownership,SHA-02-00224,missing_lineage,identity and access requires evidence validation before active use.,Revenue management scenario assistant,SHA-EVID-01424; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00549,02_org_ownership,SHA-02-00225,missing_contract_evidence,vendor concentration requires evidence validation before active use.,Loyalty next-best-action assistant,SHA-EVID-01425; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00550,02_org_ownership,SHA-02-00226,missing_control_attestation,model explainability requires evidence validation before active use.,Flight operations knowledge assistant,SHA-EVID-01426; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00551,02_org_ownership,SHA-02-00227,missing_owner,human-in-the-loop operations requires evidence validation before active use.,IT incident and change-risk copilot,SHA-EVID-01427; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00552,02_org_ownership,SHA-02-00228,missing_baseline,incident response requires evidence validation before active use.,Procurement and vendor contract intelligence,SHA-EVID-01428; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00553,02_org_ownership,SHA-02-00229,missing_lineage,airport-local operating variation requires evidence validation before active use.,IROPS Resilience and Recovery,SHA-EVID-01429; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00554,02_org_ownership,SHA-02-00230,missing_contract_evidence,reservation-system dependency requires evidence validation before active use.,Passenger Service Modernization,SHA-EVID-01430; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00555,02_org_ownership,SHA-02-00231,missing_control_attestation,cloud resilience requires evidence validation before active use.,Loyalty Platform Modernization,SHA-EVID-01431; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00556,02_org_ownership,SHA-02-00232,missing_owner,safety criticality requires evidence validation before active use.,Crew Operations Optimization,SHA-EVID-01432; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00557,02_org_ownership,SHA-02-00233,missing_baseline,operational resilience requires evidence validation before active use.,Maintenance Predictive Analytics Foundation,SHA-EVID-01433; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00558,02_org_ownership,SHA-02-00234,missing_lineage,crew and legal constraints requires evidence validation before active use.,Airport Turnaround Performance Program,SHA-EVID-01434; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00559,02_org_ownership,SHA-02-00235,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,Data Platform and Lakehouse Foundation,SHA-EVID-01435; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00560,02_org_ownership,SHA-02-00236,missing_control_attestation,data privacy requires evidence validation before active use.,Contact Center Experience Transformation,SHA-EVID-01436; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00561,02_org_ownership,SHA-02-00237,missing_owner,PCI requires evidence validation before active use.,Revenue Management Modernization,SHA-EVID-01437; source file; owner; baseline; control status,medium,candidate
