"tenant","page","tab","component","rendered_value","generated_by","deterministic_object","storage_location","source_layer","source_files","refreshed_at","claude_prompt_file","claude_response_file","notes"
"meridian-health","Enterprise Dimensions / Vendors & Contracts","Evidence","Evidence cards","1. name: 07_vendors_contracts.csv | type: Canonical input | date: Jul 2026 | rows: 223 | facts: 223 | st: source-backed | fields: business_name, context_item, confidence, active_candidate_status, vendor_id | supports: Vendors & Contracts | missing: Named client validation where required","Claude-derived or approved story fallback plus canonical rows","design_slots.EVID.vendors","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/07_vendors_contracts.csv; 13_evidence_sources.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / IT Budget, Spend & Value","Summary","Dimension header summary","key: budget | name: IT Budget, Spend & Value | count: 223 | status: source-backed | pct: 90% | evCount: 223 | summary: Planning-grade IT budget: $650M FY26 total; $487.5M run (maintenance and operations); $162.5M change (modernization and AI). | covers: 1. Unified clinical + claims lakehouse value hypothesis
2. Governed data foundation for AI / LLM automation value hypothesis
3. Call center optimization value hypothesis
4. Provider quality and performance value hypothesis | sources: 1. 08_it_budget_spend_value.csv
2. MER-V3-EVID-0360
3. MER-V3-EVID-0361
4. MER-V3-EVID-0362","Claude-derived or approved story fallback plus canonical rows","design_slots.DIMS[budget]","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/08_it_budget_spend_value.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / IT Budget, Spend & Value","Summary","Story card","meaning: Meridian's IT budget posture reflects a mature health organization balancing run and change. | observed: Planning-grade IT budget: $650M FY26 total; $487.5M run (maintenance and operations); $162.5M change (modernization and AI). No audited spend or realized value claims. | matters: Meridian's IT budget posture reflects a mature health organization balancing run and change. | supports: Budget posture is operator-provided planning lens; not audited source-row spend.","Claude-derived or approved story fallback plus canonical rows","design_slots.STORY.budget","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/08_it_budget_spend_value.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / IT Budget, Spend & Value","Summary","Insight findings","findings: 1. Meridian's IT budget posture reflects a mature health organization balancing run and change.
2. Meridian's IT budget posture reflects a mature health organization balancing run and change.
3. Budget posture is operator-provided planning lens; not audited source-row spend. | breakdown: title: IT Budget, Spend & Value evidence posture | rows: 1. label: Source rows | value: 223 | note: Canonical input rows available to the Home data tab.
2. label: Evidence references | value: 223 | note: Evidence identifiers visible in the context layer.
3. label: Readiness | value: Decision-grade | note: Derived from confidence mix and known evidence boundaries.","Claude-derived or approved story fallback plus canonical rows","design_slots.INSIGHTS.budget","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/08_it_budget_spend_value.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / IT Budget, Spend & Value","Data","Data table projection","row_count: 223 | source_file: datasets/tenant-inputs/meridian-health/standard-2026-07-v3/08_it_budget_spend_value.csv | filter_fields:  | columns: 1. k: business_name | label: Business Name
2. k: value_hypothesis | label: Value Hypothesis
3. k: amount_usd | label: Amount Usd
4. k: realized_value_usd | label: Realized Value Usd
5. k: value_boundary | label: Value Boundary
6. k: confidence | label: Confidence | pill: status
7. k: context_item | label: Context Item
8. k: dimension | label: Dimension
9. k: evidence_id | label: Evidence Id | sample_rows: 1. business_name: Unified clinical + claims lakehouse value hypothesis | value_hypothesis: Create a governed longitudinal patient/member view only after EMR, claims, pharmacy, identity, medallion, and governance evidence are certified; quantify value after baseline owners sign off. | amount_usd: Needs evidence | realized_value_usd: Needs evidence | value_boundary: no_realized_value_claim_without_tower_evidence | confidence: high | context_item: Unified clinical + claims lakehouse value hypothesis | dimension: 08_it_budget_spend_value | evidence_id: MER-V3-EVID-0360
2. business_name: Governed data foundation for AI / LLM automation value hypothesis | value_hypothesis: Enable prior-auth, coding, and UM automation only after governance, semantic ownership, lineage, and control evidence are in place; quantify after workflow baselines and audit requirements are captured. | amount_usd: Needs evidence | realized_value_usd: Needs evidence | value_boundary: no_realized_value_claim_without_tower_evidence | confidence: high | context_item: Governed data foundation for AI / LLM automation value hypothesis | dimension: 08_it_budget_spend_value | evidence_id: MER-V3-EVID-0361
3. business_name: Call center optimization value hypothesis | value_hypothesis: Improve agent assist and next-best-action only after transcript, CRM, claims, intent, and QA-label evidence is governed; quantify after baseline AHT, containment, and first-call-resolution data are loaded. | amount_usd: Needs evidence | realized_value_usd: Needs evidence | value_boundary: no_realized_value_claim_without_tower_evidence | confidence: high | context_item: Call center optimization value hypothesis | dimension: 08_it_budget_spend_value | evidence_id: MER-V3-EVID-0362
4. business_name: Provider quality and performance value hypothesis | value_hypothesis: Support provider performance management after HEDIS/STAR logic, attribution, contract linkage, and quality semantic models are certified; quantify after measure owner signoff. | amount_usd: Needs evidence | realized_value_usd: Needs evidence | value_boundary: no_realized_value_claim_without_tower_evidence | confidence: medium | context_item: Provider quality and performance value hypothesis | dimension: 08_it_budget_spend_value | evidence_id: MER-V3-EVID-0363
5. business_name: End-to-end cost transparency value hypothesis | value_hypothesis: Create cost-of-care and margin visibility only after claims, capitation, contract, and GL reconciliation evidence is governed; quantify after finance and actuarial baseline signoff. | amount_usd: Needs evidence | realized_value_usd: Needs evidence | value_boundary: no_realized_value_claim_without_tower_evidence | confidence: high | context_item: End-to-end cost transparency value hypothesis | dimension: 08_it_budget_spend_value | evidence_id: MER-V3-EVID-0364","Deterministic full-row projection from canonical CSV; render all rows with filters","design_slots.DATA.budget","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/08_it_budget_spend_value.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json","Full rows are in design-contract-pack.json; review table shows first 5 only."
"meridian-health","Enterprise Dimensions / IT Budget, Spend & Value","Relationships","Relationship story","chain: 1. Spend area
2. Baseline
3. Program
4. Value proof | note: Relationship interpretation is advisory until cross-domain links are validated against source evidence.","Claude-derived or approved story fallback plus canonical rows","design_slots.REL.budget","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/08_it_budget_spend_value.csv; 12_relationships.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / IT Budget, Spend & Value","Gaps","Dimension gaps","1. missing: no_realized_value_claim_without_tower_evidence | blocks: Decision-grade dependency, value, or execution claims | needed: Client-confirmed ownership, baseline, lineage, or source evidence | handoff: Tower","Claude-derived or approved story fallback plus canonical rows","design_slots.DGAPS.budget","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/08_it_budget_spend_value.csv; 11_risks_controls.csv; 13_evidence_sources.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / IT Budget, Spend & Value","Evidence","Evidence cards","1. name: 08_it_budget_spend_value.csv | type: Canonical input | date: Jul 2026 | rows: 223 | facts: 223 | st: source-backed | fields: business_name, context_item, confidence, active_candidate_status, value_hypothesis | supports: IT Budget, Spend & Value | missing: no_realized_value_claim_without_tower_evidence","Claude-derived or approved story fallback plus canonical rows","design_slots.EVID.budget","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/08_it_budget_spend_value.csv; 13_evidence_sources.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Programs & Initiatives","Summary","Dimension header summary","key: programs | name: Programs & Initiatives | count: 237 | status: source-backed | pct: 90% | evCount: 237 | summary: Twelve candidate opportunities span unified clinical-claims lakehouse, governed AI/LLM automation, call-center optimization, provider quality, cost transparency, payment integrity, and automated close. | covers: 1. Unified clinical + claims lakehouse: EMR clinical
2. Unified clinical + claims lakehouse: claims
3. Unified clinical + claims lakehouse: pharmacy
4. Governed data foundation for AI / LLM automation: prior authorization | sources: 1. 09_programs_initiatives.csv
2. MER-V3-EVID-0100
3. MER-V3-EVID-0101
4. MER-V3-EVID-0102","Claude-derived or approved story fallback plus canonical rows","design_slots.DIMS[programs]","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/09_programs_initiatives.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Programs & Initiatives","Summary","Story card","meaning: Meridian's AI opportunity portfolio comprises twelve candidates organized under seven parent themes. | observed: Twelve candidate opportunities span unified clinical-claims lakehouse, governed AI/LLM automation, call-center optimization, provider quality, cost transparency, payment integrity, and automated close. Portfolio approach; no single use case is the hero. | matters: Meridian's AI opportunity portfolio comprises twelve candidates organized under seven parent themes. | supports: All twelve candidates are planning-grade; none is decision-ready.","Claude-derived or approved story fallback plus canonical rows","design_slots.STORY.programs","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/09_programs_initiatives.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Programs & Initiatives","Summary","Insight findings","findings: 1. Meridian's AI opportunity portfolio comprises twelve candidates organized under seven parent themes.
2. Meridian's AI opportunity portfolio comprises twelve candidates organized under seven parent themes.
3. All twelve candidates are planning-grade; none is decision-ready. | breakdown: title: Programs & Initiatives evidence posture | rows: 1. label: Source rows | value: 237 | note: Canonical input rows available to the Home data tab.
2. label: Evidence references | value: 237 | note: Evidence identifiers visible in the context layer.
3. label: Readiness | value: Decision-grade | note: Derived from confidence mix and known evidence boundaries.","Claude-derived or approved story fallback plus canonical rows","design_slots.INSIGHTS.programs","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/09_programs_initiatives.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Programs & Initiatives","Data","Data table projection","row_count: 237 | source_file: datasets/tenant-inputs/meridian-health/standard-2026-07-v3/09_programs_initiatives.csv | filter_fields:  | columns: 1. k: business_name | label: Business Name
2. k: use_case | label: Use Case
3. k: data_domain | label: Data Domain
4. k: systems | label: Systems
5. k: evidence_needed | label: Evidence Needed
6. k: confidence | label: Confidence | pill: status
7. k: context_item | label: Context Item
8. k: dimension | label: Dimension
9. k: evidence_id | label: Evidence Id | sample_rows: 1. business_name: Unified clinical + claims lakehouse: EMR clinical | use_case: Unified clinical + claims lakehouse | data_domain: EMR clinical | systems: Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS | evidence_needed: No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready | confidence: high | context_item: Unified clinical + claims lakehouse: EMR clinical | dimension: 09_programs_initiatives | evidence_id: MER-V3-EVID-0100
2. business_name: Unified clinical + claims lakehouse: claims | use_case: Unified clinical + claims lakehouse | data_domain: claims | systems: Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS | evidence_needed: No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready | confidence: high | context_item: Unified clinical + claims lakehouse: claims | dimension: 09_programs_initiatives | evidence_id: MER-V3-EVID-0101
3. business_name: Unified clinical + claims lakehouse: pharmacy | use_case: Unified clinical + claims lakehouse | data_domain: pharmacy | systems: Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS | evidence_needed: No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready | confidence: high | context_item: Unified clinical + claims lakehouse: pharmacy | dimension: 09_programs_initiatives | evidence_id: MER-V3-EVID-0102
4. business_name: Governed data foundation for AI / LLM automation: prior authorization | use_case: Governed data foundation for AI / LLM automation | data_domain: prior authorization | systems: Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS | evidence_needed: No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not yet evidenced | confidence: medium | context_item: Governed data foundation for AI / LLM automation: prior authorization | dimension: 09_programs_initiatives | evidence_id: MER-V3-EVID-0103
5. business_name: Governed data foundation for AI / LLM automation: coding | use_case: Governed data foundation for AI / LLM automation | data_domain: coding | systems: Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS | evidence_needed: No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not yet evidenced | confidence: high | context_item: Governed data foundation for AI / LLM automation: coding | dimension: 09_programs_initiatives | evidence_id: MER-V3-EVID-0104","Deterministic full-row projection from canonical CSV; render all rows with filters","design_slots.DATA.programs","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/09_programs_initiatives.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json","Full rows are in design-contract-pack.json; review table shows first 5 only."
"meridian-health","Enterprise Dimensions / Programs & Initiatives","Relationships","Relationship story","chain: 1. Program
2. Owner
3. Evidence gate
4. Outcome | note: Relationship interpretation is advisory until cross-domain links are validated against source evidence.","Claude-derived or approved story fallback plus canonical rows","design_slots.REL.programs","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/09_programs_initiatives.csv; 12_relationships.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Programs & Initiatives","Gaps","Dimension gaps","1. missing: No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready | blocks: Decision-grade dependency, value, or execution claims | needed: Client-confirmed ownership, baseline, lineage, or source evidence | handoff: Moves
2. missing: No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not yet evidenced | blocks: Decision-grade dependency, value, or execution claims | needed: Client-confirmed ownership, baseline, lineage, or source evidence | handoff: Moves","Claude-derived or approved story fallback plus canonical rows","design_slots.DGAPS.programs","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/09_programs_initiatives.csv; 11_risks_controls.csv; 13_evidence_sources.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Programs & Initiatives","Evidence","Evidence cards","1. name: 09_programs_initiatives.csv | type: Canonical input | date: Jul 2026 | rows: 237 | facts: 237 | st: source-backed | fields: business_name, context_item, confidence, active_candidate_status, use_case | supports: Programs & Initiatives | missing: No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready","Claude-derived or approved story fallback plus canonical rows","design_slots.EVID.programs","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/09_programs_initiatives.csv; 13_evidence_sources.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / AI & Automation Use Cases","Summary","Dimension header summary","key: ai | name: AI & Automation Use Cases | count: 237 | status: source-backed | pct: 90% | evCount: 237 | summary: The AI portfolio is coherent but foundation-gated: seven use-case families are identified, led by unified clinical + claims, governed AI/LLM automation, call center optimization, payment integrity, cost transparency, provider quality, and close automation. | covers: 1. Unified clinical + claims lakehouse: EMR clinical
2. Unified clinical + claims lakehouse: claims
3. Unified clinical + claims lakehouse: pharmacy
4. Governed data foundation for AI / LLM automation: prior authorization | sources: 1. 10_ai_automation_use_cases.csv
2. MER-V3-EVID-0100
3. MER-V3-EVID-0101
4. MER-V3-EVID-0102","Claude-derived or approved story fallback plus canonical rows","design_slots.DIMS[ai]","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/10_ai_automation_use_cases.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / AI & Automation Use Cases","Summary","Story card","meaning: Meridian has enough context to prioritize AI investments, but not enough validated evidence to treat any use case as production-ready. | observed: Every major AI use case depends on the same blockers: no certified medallion architecture, no patient/member identity spine, no formal data governance, no certified semantic layer, and no AI audit trail. | matters: The boardroom decision is sequencing. The lakehouse and governance foundation should be treated as the enabling bet before scaling individual AI use cases. | supports: Supports AI portfolio triage, sequencing, and evidence-backed investment framing; blocks production-readiness and quantified value claims.","Claude-derived or approved story fallback plus canonical rows","design_slots.STORY.ai","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/10_ai_automation_use_cases.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / AI & Automation Use Cases","Summary","Insight findings","findings: 1. Agent Assist is high-interest, but it depends on CRM/transcript governance, claims status integration, knowledge-base lineage, and member identity linkage.
2. Payment integrity and cost transparency are attractive finance use cases, but contract terms, GL alignment, and cost allocation rules are not yet governed.
3. Next validation: use-case baselines, data-product owners, audit/control requirements, and target-state platform evidence. | breakdown: title: AI & Automation Use Cases evidence posture | rows: 1. label: Source rows | value: 237 | note: Canonical input rows available to the Home data tab.
2. label: Evidence references | value: 237 | note: Evidence identifiers visible in the context layer.
3. label: Readiness | value: Decision-grade | note: Derived from confidence mix and known evidence boundaries.","Claude-derived or approved story fallback plus canonical rows","design_slots.INSIGHTS.ai","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/10_ai_automation_use_cases.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / AI & Automation Use Cases","Data","Data table projection","row_count: 237 | source_file: datasets/tenant-inputs/meridian-health/standard-2026-07-v3/10_ai_automation_use_cases.csv | filter_fields:  | columns: 1. k: business_name | label: Business Name
2. k: use_case | label: Use Case
3. k: data_domain | label: Data Domain
4. k: systems | label: Systems
5. k: value_hypothesis | label: Value Hypothesis
6. k: evidence_needed | label: Evidence Needed
7. k: confidence | label: Confidence | pill: status
8. k: context_item | label: Context Item
9. k: dimension | label: Dimension | sample_rows: 1. business_name: Unified clinical + claims lakehouse: EMR clinical | use_case: Unified clinical + claims lakehouse | data_domain: EMR clinical | systems: Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS | value_hypothesis: Create a governed longitudinal patient/member view only after EMR, claims, pharmacy, identity, medallion, and governance evidence are certified; quantify value after baseline owners sign off. | evidence_needed: No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready | confidence: high | context_item: Unified clinical + claims lakehouse: EMR clinical | dimension: 10_ai_automation_use_cases
2. business_name: Unified clinical + claims lakehouse: claims | use_case: Unified clinical + claims lakehouse | data_domain: claims | systems: Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS | value_hypothesis: Create a governed longitudinal patient/member view only after EMR, claims, pharmacy, identity, medallion, and governance evidence are certified; quantify value after baseline owners sign off. | evidence_needed: No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready | confidence: high | context_item: Unified clinical + claims lakehouse: claims | dimension: 10_ai_automation_use_cases
3. business_name: Unified clinical + claims lakehouse: pharmacy | use_case: Unified clinical + claims lakehouse | data_domain: pharmacy | systems: Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS | value_hypothesis: Create a governed longitudinal patient/member view only after EMR, claims, pharmacy, identity, medallion, and governance evidence are certified; quantify value after baseline owners sign off. | evidence_needed: No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready | confidence: high | context_item: Unified clinical + claims lakehouse: pharmacy | dimension: 10_ai_automation_use_cases
4. business_name: Governed data foundation for AI / LLM automation: prior authorization | use_case: Governed data foundation for AI / LLM automation | data_domain: prior authorization | systems: Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS | value_hypothesis: Enable prior-auth, coding, and UM automation only after governance, semantic ownership, lineage, and control evidence are in place; quantify after workflow baselines and audit requirements are captured. | evidence_needed: No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not yet evidenced | confidence: medium | context_item: Governed data foundation for AI / LLM automation: prior authorization | dimension: 10_ai_automation_use_cases
5. business_name: Governed data foundation for AI / LLM automation: coding | use_case: Governed data foundation for AI / LLM automation | data_domain: coding | systems: Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS | value_hypothesis: Enable prior-auth, coding, and UM automation only after governance, semantic ownership, lineage, and control evidence are in place; quantify after workflow baselines and audit requirements are captured. | evidence_needed: No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not yet evidenced | confidence: high | context_item: Governed data foundation for AI / LLM automation: coding | dimension: 10_ai_automation_use_cases","Deterministic full-row projection from canonical CSV; render all rows with filters","design_slots.DATA.ai","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/10_ai_automation_use_cases.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json","Full rows are in design-contract-pack.json; review table shows first 5 only."
"meridian-health","Enterprise Dimensions / AI & Automation Use Cases","Relationships","Relationship story","chain: 1. Use case
2. Data spine
3. Workflow owner
4. Governance gate | note: Relationship interpretation is advisory until cross-domain links are validated against source evidence.","Claude-derived or approved story fallback plus canonical rows","design_slots.REL.ai","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/10_ai_automation_use_cases.csv; 12_relationships.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / AI & Automation Use Cases","Gaps","Dimension gaps","1. missing: No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready | blocks: Decision-grade dependency, value, or execution claims | needed: Client-confirmed ownership, baseline, lineage, or source evidence | handoff: Moves
2. missing: No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not yet evidenced | blocks: Decision-grade dependency, value, or execution claims | needed: Client-confirmed ownership, baseline, lineage, or source evidence | handoff: Moves","Claude-derived or approved story fallback plus canonical rows","design_slots.DGAPS.ai","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/10_ai_automation_use_cases.csv; 11_risks_controls.csv; 13_evidence_sources.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
