vendor_id,vendor_name,scope,annual_run_rate_usd,renewal_date,criticality,notes
CON-00001,SAP,Managed Service,85440000,2026-09-04,critical,tower=Network; owner=CDO; utilization=91; action=Right-size
CON-00221,Workday,SaaS Subscription,86010000,2029-04-06,critical,tower=Integration; owner=VP Data; utilization=38; action=Benchmark
CON-00222,Snowflake,Consumption Commit,17390000,2028-07-18,important,tower=Digital; owner=VP Engineering; utilization=84; action=Terminate
CON-00223,NetApp,Professional Services,117450000,2025-04-10,critical,tower=Security; owner=VP Engineering; utilization=56; action=Terminate
CON-00224,Fortinet,Consumption Commit,24510000,2024-11-17,critical,tower=Security; owner=COO; utilization=69; action=Right-size
CON-00225,Amadeus,SaaS Subscription,33439999,2028-10-10,critical,tower=Mainframe; owner=CDO; utilization=86; action=Renegotiate
CON-00226,Palo Alto,Support & Maintenance,116480000,2027-12-21,critical,tower=Data & Analytics; owner=CFO; utilization=24; action=Consolidate
CON-00227,AWS,Enterprise Agreement,132770000,2024-10-06,critical,tower=Security; owner=CTO; utilization=63; action=Renew
CON-00228,Workday,Support & Maintenance,112480000,2026-04-21,critical,tower=Mainframe; owner=CISO; utilization=83; action=Terminate
CON-00229,NetApp,Enterprise Agreement,16360000,2025-11-15,important,tower=Digital; owner=CTO; utilization=29; action=Terminate
CON-00230,Workday,Support & Maintenance,89610000,2026-08-24,critical,tower=Data & Analytics; owner=CDO; utilization=64; action=Right-size
CON-00231,Red Hat,SaaS Subscription,136270000,2026-01-31,critical,tower=EUC; owner=VP Infrastructure; utilization=81; action=Consolidate
CON-00232,SAP,Enterprise Agreement,94100000,2029-12-11,critical,tower=EUC; owner=CTO; utilization=79; action=Terminate
CON-00233,NetApp,Professional Services,27950000,2027-10-03,critical,tower=Cloud; owner=VP Data; utilization=36; action=Right-size
CON-00234,Dell EMC,Capacity Reservation,70250000,2027-12-31,critical,tower=Network; owner=CTO; utilization=82; action=Renegotiate
CON-00235,Infosys,Managed Service,91400000,2028-05-27,critical,tower=ERP; owner=CIO; utilization=84; action=Competitive Bid
CON-00236,MuleSoft,Support & Maintenance,42890000,2028-12-04,critical,tower=Cloud; owner=CTO; utilization=96; action=Terminate
CON-00237,Informatica,Professional Services,39150000,2030-10-31,critical,tower=Digital; owner=CTO; utilization=74; action=Right-size
CON-00238,IBM,Professional Services,69660000,2024-09-12,critical,tower=EUC; owner=VP Engineering; utilization=85; action=Consolidate
CON-00239,TCS,Consumption Commit,47550000,2024-04-14,critical,tower=EUC; owner=CIO; utilization=82; action=Benchmark
CON-00240,Accenture,Enterprise Agreement,25440000,2026-03-11,critical,tower=Digital; owner=VP Data; utilization=22; action=Renew
CON-00241,Red Hat,Perpetual License,138250000,2029-01-08,critical,tower=Digital; owner=CTO; utilization=77; action=Consolidate
CON-00242,Infosys,Enterprise Agreement,61840000,2026-10-07,critical,tower=Digital; owner=CISO; utilization=69; action=Competitive Bid
CON-00243,Cisco,Support & Maintenance,23640000,2025-10-08,critical,tower=Data & Analytics; owner=CTO; utilization=31; action=Terminate
CON-00244,Infosys,Managed Service,77190000,2026-02-06,critical,tower=ERP; owner=VP Engineering; utilization=27; action=Competitive Bid
CON-00245,Workday,Professional Services,12960000,2024-11-02,important,tower=ERP; owner=CDO; utilization=41; action=Renegotiate
CON-00246,Dell EMC,Capacity Reservation,46330000,2025-10-22,critical,tower=Data & Analytics; owner=CFO; utilization=29; action=Right-size
CON-00247,MuleSoft,Managed Service,120600000,2026-07-20,critical,tower=EUC; owner=VP Engineering; utilization=23; action=Consolidate
CON-00248,SAP,Enterprise Agreement,5010000,2027-01-04,important,tower=Integration; owner=VP Data; utilization=71; action=Benchmark
CON-00249,Fortinet,Enterprise Agreement,69390000,2023-07-05,critical,tower=Network; owner=CFO; utilization=84; action=Renew
CON-00250,Red Hat,Support & Maintenance,86270000,2028-10-26,critical,tower=EUC; owner=CISO; utilization=84; action=Renew
CON-00251,Informatica,Capacity Reservation,132050000,2026-06-23,critical,tower=Data & Analytics; owner=Chief Digital Officer; utilization=46; action=Terminate
CON-00252,Cisco,Enterprise Agreement,129639999,2027-05-22,critical,tower=Data & Analytics; owner=CISO; utilization=98; action=Competitive Bid
CON-00253,Dell EMC,Capacity Reservation,97450000,2027-12-24,critical,tower=Security; owner=CIO; utilization=49; action=Right-size
CON-00254,Teradata,Support & Maintenance,60350000,2026-10-17,critical,tower=Data & Analytics; owner=VP Engineering; utilization=76; action=Benchmark
CON-00255,Fortinet,SaaS Subscription,47350000,2024-07-28,critical,tower=Mainframe; owner=VP Infrastructure; utilization=73; action=Renew
CON-00256,Infosys,Perpetual License,1200000,2024-12-10,important,tower=Data & Analytics; owner=CIO; utilization=73; action=Terminate
CON-00257,Accenture,Managed Service,75520000,2029-06-28,critical,tower=EUC; owner=CISO; utilization=32; action=Competitive Bid
CON-00258,Workday,Support & Maintenance,71190000,2023-10-22,critical,tower=Cloud; owner=VP Data; utilization=49; action=Benchmark
CON-00259,Workday,Capacity Reservation,69650000,2027-03-17,critical,tower=Mainframe; owner=VP Engineering; utilization=91; action=Right-size
CON-00260,Palo Alto,Perpetual License,32450000,2025-06-19,critical,tower=Mainframe; owner=CISO; utilization=99; action=Renegotiate
CON-00261,Databricks,Capacity Reservation,56730000,2026-11-13,critical,tower=Integration; owner=CFO; utilization=47; action=Renew
CON-00262,AWS,SaaS Subscription,77270000,2027-09-11,critical,tower=Cloud; owner=Chief Digital Officer; utilization=28; action=Benchmark
CON-00263,ServiceNow,Capacity Reservation,99320000,2027-08-01,critical,tower=EUC; owner=VP Data; utilization=95; action=Renegotiate
CON-00264,Teradata,Enterprise Agreement,137280000,2028-11-21,critical,tower=ERP; owner=VP Data; utilization=50; action=Benchmark
CON-00265,SAP,Perpetual License,123810000,2028-02-05,critical,tower=EUC; owner=CIO; utilization=49; action=Benchmark
CON-00266,Accenture,SaaS Subscription,31890000,2026-11-14,critical,tower=Network; owner=VP Engineering; utilization=29; action=Terminate
CON-00267,Salesforce,Support & Maintenance,36770000,2024-07-26,critical,tower=Data & Analytics; owner=VP Engineering; utilization=95; action=Consolidate
CON-00268,Informatica,Managed Service,62210000,2026-11-08,critical,tower=Data & Analytics; owner=CISO; utilization=47; action=Renegotiate
CON-00269,IBM,SaaS Subscription,81090000,2026-12-03,critical,tower=EUC; owner=VP Infrastructure; utilization=55; action=Renegotiate
CON-00270,Salesforce,Managed Service,17290000,2028-12-15,important,tower=Network; owner=VP Data; utilization=60; action=Terminate
CON-00271,Sabre,Enterprise Agreement,106800000,2028-01-11,critical,tower=Digital; owner=CDO; utilization=31; action=Benchmark
CON-00272,Salesforce,Capacity Reservation,93880000,2028-02-02,critical,tower=EUC; owner=VP Engineering; utilization=59; action=Terminate
CON-00273,Red Hat,SaaS Subscription,71410000,2027-02-18,critical,tower=Security; owner=CFO; utilization=61; action=Right-size
CON-00274,Informatica,Enterprise Agreement,112510000,2026-10-02,critical,tower=Integration; owner=COO; utilization=65; action=Terminate
CON-00275,Databricks,Capacity Reservation,4099999,2027-09-17,important,tower=Digital; owner=VP Engineering; utilization=31; action=Competitive Bid
CON-00276,NetApp,Capacity Reservation,61940000,2026-09-27,critical,tower=Integration; owner=CISO; utilization=65; action=Right-size
CON-00277,Workday,Support & Maintenance,25750000,2028-10-13,critical,tower=Security; owner=CIO; utilization=63; action=Terminate
CON-00278,Informatica,Managed Service,128419999,2026-09-04,critical,tower=ERP; owner=VP Engineering; utilization=30; action=Renew
CON-00279,ServiceNow,Capacity Reservation,20790000,2029-01-22,critical,tower=Network; owner=CTO; utilization=29; action=Renegotiate
CON-00280,Informatica,Perpetual License,550000,2027-04-11,important,tower=Network; owner=COO; utilization=93; action=Consolidate
CON-00281,Dell EMC,Managed Service,38270000,2029-05-16,critical,tower=EUC; owner=CTO; utilization=25; action=Renegotiate
CON-00282,Palo Alto,SaaS Subscription,127760000,2025-03-21,critical,tower=EUC; owner=VP Engineering; utilization=69; action=Consolidate
CON-00283,Palo Alto,Support & Maintenance,108400000,2026-09-17,critical,tower=Security; owner=CTO; utilization=72; action=Renew
CON-00284,Workday,SaaS Subscription,38310000,2025-10-12,critical,tower=Mainframe; owner=VP Engineering; utilization=48; action=Competitive Bid
CON-00285,VMware,Perpetual License,56440000,2027-11-07,critical,tower=Security; owner=VP Engineering; utilization=80; action=Terminate
CON-00286,VMware,Support & Maintenance,5070000,2027-09-10,important,tower=EUC; owner=CDO; utilization=71; action=Consolidate
CON-00287,Accenture,Professional Services,125920000,2026-11-07,critical,tower=Digital; owner=VP Engineering; utilization=100; action=Benchmark
CON-00288,MuleSoft,Consumption Commit,4940000,2024-04-05,important,tower=Mainframe; owner=Chief Digital Officer; utilization=48; action=Benchmark
CON-00289,Salesforce,Managed Service,136500000,2028-06-02,critical,tower=Digital; owner=VP Data; utilization=74; action=Renew
CON-00290,Workday,Capacity Reservation,121020000,2025-07-27,critical,tower=Security; owner=CISO; utilization=54; action=Benchmark
CON-00291,Accenture,Managed Service,32090000,2030-01-23,critical,tower=Data & Analytics; owner=CISO; utilization=86; action=Right-size
CON-00292,Palo Alto,Perpetual License,48030000,2025-10-19,critical,tower=Mainframe; owner=CISO; utilization=34; action=Renew
CON-00293,Teradata,Professional Services,80530000,2028-01-07,critical,tower=Digital; owner=CIO; utilization=73; action=Competitive Bid
CON-00294,MuleSoft,Enterprise Agreement,77520000,2028-07-17,critical,tower=Security; owner=VP Data; utilization=81; action=Competitive Bid
CON-00295,TCS,Managed Service,99910000,2026-01-03,critical,tower=ERP; owner=Chief Digital Officer; utilization=74; action=Consolidate
CON-00296,Snowflake,Perpetual License,122010000,2027-01-12,critical,tower=ERP; owner=VP Data; utilization=65; action=Terminate
CON-00297,NetApp,SaaS Subscription,91690000,2027-03-07,critical,tower=ERP; owner=CFO; utilization=34; action=Right-size
CON-00298,Teradata,Perpetual License,96110000,2026-02-24,critical,tower=Network; owner=CTO; utilization=78; action=Competitive Bid
CON-00299,Palo Alto,Perpetual License,110400000,2026-01-28,critical,tower=Mainframe; owner=CIO; utilization=62; action=Renegotiate
CON-00300,SAP,Capacity Reservation,3160000,2023-05-30,important,tower=ERP; owner=CTO; utilization=46; action=Terminate
CON-00301,Workday,SaaS Subscription,76410000,2027-09-06,critical,tower=Integration; owner=Chief Digital Officer; utilization=20; action=Competitive Bid
CON-00302,Oracle,Enterprise Agreement,42220000,2024-02-22,critical,tower=EUC; owner=CDO; utilization=42; action=Competitive Bid
CON-00303,Informatica,SaaS Subscription,43020000,2024-09-17,critical,tower=ERP; owner=CFO; utilization=35; action=Right-size
CON-00304,Salesforce,Professional Services,76550000,2028-08-16,critical,tower=Network; owner=CIO; utilization=33; action=Renegotiate
CON-00305,Amadeus,Managed Service,116930000,2027-11-14,critical,tower=Data & Analytics; owner=VP Infrastructure; utilization=71; action=Benchmark
CON-00306,Fortinet,Perpetual License,117630000,2030-05-29,critical,tower=ERP; owner=CISO; utilization=53; action=Consolidate
CON-00307,Accenture,Capacity Reservation,110560000,2027-06-23,critical,tower=Digital; owner=VP Infrastructure; utilization=41; action=Benchmark
CON-00308,Amadeus,Managed Service,40340000,2027-04-20,critical,tower=Security; owner=COO; utilization=54; action=Renegotiate
CON-00309,Cisco,Capacity Reservation,50140000,2029-02-21,critical,tower=Security; owner=CFO; utilization=99; action=Renegotiate
CON-00310,Snowflake,Managed Service,120470000,2026-05-11,critical,tower=Network; owner=VP Engineering; utilization=38; action=Terminate
CON-00311,Cisco,SaaS Subscription,29850000,2026-08-04,critical,tower=Digital; owner=CTO; utilization=99; action=Right-size
CON-00312,Sabre,Professional Services,46330000,2026-06-23,critical,tower=ERP; owner=CFO; utilization=99; action=Terminate
CON-00313,TCS,Managed Service,91940000,2026-06-10,critical,tower=Digital; owner=CTO; utilization=67; action=Renegotiate
CON-00314,Fortinet,SaaS Subscription,73600000,2027-07-04,critical,tower=Security; owner=COO; utilization=69; action=Benchmark
CON-00315,Salesforce,Perpetual License,70240000,2023-11-03,critical,tower=ERP; owner=CISO; utilization=35; action=Right-size
CON-00316,IBM,Consumption Commit,132270000,2028-09-13,critical,tower=ERP; owner=CFO; utilization=79; action=Renegotiate
CON-00317,TCS,Professional Services,103690000,2025-11-09,critical,tower=Network; owner=Chief Digital Officer; utilization=88; action=Renew
CON-00318,ServiceNow,Enterprise Agreement,130840000,2027-10-02,critical,tower=Digital; owner=COO; utilization=96; action=Consolidate
CON-00319,Teradata,Consumption Commit,38900000,2027-07-28,critical,tower=Mainframe; owner=COO; utilization=34; action=Renew
CON-00320,Cisco,Enterprise Agreement,101900000,2028-05-06,critical,tower=Security; owner=VP Engineering; utilization=77; action=Competitive Bid
