sql_asset_id,asset_type,business_function,version_family,hosting_model,upstream_source,lifecycle_status,evidence_gap
SQL-HCDN-00345,departmental mart,Quality and Stars,SQL Server 2012,on-prem data center,manual spreadsheet upload,active,source-backed candidate
SQL-HCDN-00346,SSIS package group,Revenue Cycle,SQL Server 2014,departmental server,Oracle feed,stale,source-backed candidate
SQL-HCDN-00347,SSAS cube/model,Population Health,SQL Server 2016,private cloud,flat-file/SFTP,duplicate,source-backed candidate
SQL-HCDN-00348,SSRS report server,Claims Operations,SQL Server 2019,on-prem data center,Epic Clarity,retire candidate,source-backed candidate
SQL-HCDN-00349,SQL Agent schedule group,Clinical Analytics,SQL Server 2022,departmental server,legacy EDW,owner conflict,source-backed candidate
SQL-HCDN-00350,SQL Server instance,Departmental Reporting,SQL Server 2012,private cloud,claims warehouse,active,source-backed candidate
SQL-HCDN-00351,SQL database,Actuarial,SQL Server 2014,on-prem data center,manual spreadsheet upload,stale,source-backed candidate
SQL-HCDN-00352,departmental mart,Finance,SQL Server 2016,departmental server,Oracle feed,duplicate,measure definition conflict
SQL-HCDN-00353,SSIS package group,Quality and Stars,SQL Server 2019,private cloud,flat-file/SFTP,retire candidate,source-backed candidate
SQL-HCDN-00354,SSAS cube/model,Revenue Cycle,SQL Server 2022,on-prem data center,Epic Clarity,owner conflict,source-backed candidate
SQL-HCDN-00355,SSRS report server,Population Health,SQL Server 2012,departmental server,legacy EDW,active,source-backed candidate
SQL-HCDN-00356,SQL Agent schedule group,Claims Operations,SQL Server 2014,private cloud,claims warehouse,stale,source-backed candidate
SQL-HCDN-00357,SQL Server instance,Clinical Analytics,SQL Server 2016,on-prem data center,manual spreadsheet upload,duplicate,source-backed candidate
SQL-HCDN-00358,SQL database,Departmental Reporting,SQL Server 2019,departmental server,Oracle feed,retire candidate,source-backed candidate
SQL-HCDN-00359,departmental mart,Actuarial,SQL Server 2022,private cloud,flat-file/SFTP,owner conflict,source-backed candidate
SQL-HCDN-00360,SSIS package group,Finance,SQL Server 2012,on-prem data center,Epic Clarity,active,measure definition conflict
SQL-HCDN-00361,SSAS cube/model,Quality and Stars,SQL Server 2014,departmental server,legacy EDW,stale,source-backed candidate
SQL-HCDN-00362,SSRS report server,Revenue Cycle,SQL Server 2016,private cloud,claims warehouse,duplicate,source-backed candidate
SQL-HCDN-00363,SQL Agent schedule group,Population Health,SQL Server 2019,on-prem data center,manual spreadsheet upload,retire candidate,lineage incomplete
SQL-HCDN-00364,SQL Server instance,Claims Operations,SQL Server 2022,departmental server,Oracle feed,owner conflict,source-backed candidate
SQL-HCDN-00365,SQL database,Clinical Analytics,SQL Server 2012,private cloud,flat-file/SFTP,active,source-backed candidate
SQL-HCDN-00366,departmental mart,Departmental Reporting,SQL Server 2014,on-prem data center,Epic Clarity,stale,source-backed candidate
SQL-HCDN-00367,SSIS package group,Actuarial,SQL Server 2016,departmental server,legacy EDW,duplicate,source-backed candidate
SQL-HCDN-00368,SSAS cube/model,Finance,SQL Server 2019,private cloud,claims warehouse,retire candidate,measure definition conflict
SQL-HCDN-00369,SSRS report server,Quality and Stars,SQL Server 2022,on-prem data center,manual spreadsheet upload,owner conflict,source-backed candidate
SQL-HCDN-00370,SQL Agent schedule group,Revenue Cycle,SQL Server 2012,departmental server,Oracle feed,active,source-backed candidate
SQL-HCDN-00371,SQL Server instance,Population Health,SQL Server 2014,private cloud,flat-file/SFTP,stale,source-backed candidate
SQL-HCDN-00372,SQL database,Claims Operations,SQL Server 2016,on-prem data center,Epic Clarity,duplicate,source-backed candidate
SQL-HCDN-00373,departmental mart,Clinical Analytics,SQL Server 2019,departmental server,legacy EDW,retire candidate,source-backed candidate
SQL-HCDN-00374,SSIS package group,Departmental Reporting,SQL Server 2022,private cloud,claims warehouse,owner conflict,lineage incomplete
SQL-HCDN-00375,SSAS cube/model,Actuarial,SQL Server 2012,on-prem data center,manual spreadsheet upload,active,source-backed candidate
SQL-HCDN-00376,SSRS report server,Finance,SQL Server 2014,departmental server,Oracle feed,stale,measure definition conflict
SQL-HCDN-00377,SQL Agent schedule group,Quality and Stars,SQL Server 2016,private cloud,flat-file/SFTP,duplicate,source-backed candidate
SQL-HCDN-00378,SQL Server instance,Revenue Cycle,SQL Server 2019,on-prem data center,Epic Clarity,retire candidate,source-backed candidate
SQL-HCDN-00379,SQL database,Population Health,SQL Server 2022,departmental server,legacy EDW,owner conflict,source-backed candidate
SQL-HCDN-00380,departmental mart,Claims Operations,SQL Server 2012,private cloud,claims warehouse,active,source-backed candidate
SQL-HCDN-00381,SSIS package group,Clinical Analytics,SQL Server 2014,on-prem data center,manual spreadsheet upload,stale,source-backed candidate
SQL-HCDN-00382,SSAS cube/model,Departmental Reporting,SQL Server 2016,departmental server,Oracle feed,duplicate,source-backed candidate
SQL-HCDN-00383,SSRS report server,Actuarial,SQL Server 2019,private cloud,flat-file/SFTP,retire candidate,source-backed candidate
SQL-HCDN-00384,SQL Agent schedule group,Finance,SQL Server 2022,on-prem data center,Epic Clarity,owner conflict,measure definition conflict
SQL-HCDN-00385,SQL Server instance,Quality and Stars,SQL Server 2012,departmental server,legacy EDW,active,lineage incomplete
SQL-HCDN-00386,SQL database,Revenue Cycle,SQL Server 2014,private cloud,claims warehouse,stale,source-backed candidate
SQL-HCDN-00387,departmental mart,Population Health,SQL Server 2016,on-prem data center,manual spreadsheet upload,duplicate,source-backed candidate
SQL-HCDN-00388,SSIS package group,Claims Operations,SQL Server 2019,departmental server,Oracle feed,retire candidate,source-backed candidate
SQL-HCDN-00389,SSAS cube/model,Clinical Analytics,SQL Server 2022,private cloud,flat-file/SFTP,owner conflict,source-backed candidate
SQL-HCDN-00390,SSRS report server,Departmental Reporting,SQL Server 2012,on-prem data center,Epic Clarity,active,source-backed candidate
SQL-HCDN-00391,SQL Agent schedule group,Actuarial,SQL Server 2014,departmental server,legacy EDW,stale,source-backed candidate
SQL-HCDN-00392,SQL Server instance,Finance,SQL Server 2016,private cloud,claims warehouse,duplicate,measure definition conflict
SQL-HCDN-00393,SQL database,Quality and Stars,SQL Server 2019,on-prem data center,manual spreadsheet upload,retire candidate,source-backed candidate
SQL-HCDN-00394,departmental mart,Revenue Cycle,SQL Server 2022,departmental server,Oracle feed,owner conflict,source-backed candidate
SQL-HCDN-00395,SSIS package group,Population Health,SQL Server 2012,private cloud,flat-file/SFTP,active,source-backed candidate
SQL-HCDN-00396,SSAS cube/model,Claims Operations,SQL Server 2014,on-prem data center,Epic Clarity,stale,lineage incomplete
SQL-HCDN-00397,SSRS report server,Clinical Analytics,SQL Server 2016,departmental server,legacy EDW,duplicate,source-backed candidate
SQL-HCDN-00398,SQL Agent schedule group,Departmental Reporting,SQL Server 2019,private cloud,claims warehouse,retire candidate,source-backed candidate
SQL-HCDN-00399,SQL Server instance,Actuarial,SQL Server 2022,on-prem data center,manual spreadsheet upload,owner conflict,source-backed candidate
SQL-HCDN-00400,SQL database,Finance,SQL Server 2012,departmental server,Oracle feed,active,measure definition conflict
SQL-HCDN-00401,departmental mart,Quality and Stars,SQL Server 2014,private cloud,flat-file/SFTP,stale,source-backed candidate
SQL-HCDN-00402,SSIS package group,Revenue Cycle,SQL Server 2016,on-prem data center,Epic Clarity,duplicate,source-backed candidate
SQL-HCDN-00403,SSAS cube/model,Population Health,SQL Server 2019,departmental server,legacy EDW,retire candidate,source-backed candidate
SQL-HCDN-00404,SSRS report server,Claims Operations,SQL Server 2022,private cloud,claims warehouse,owner conflict,source-backed candidate
SQL-HCDN-00405,SQL Agent schedule group,Clinical Analytics,SQL Server 2012,on-prem data center,manual spreadsheet upload,active,source-backed candidate
SQL-HCDN-00406,SQL Server instance,Departmental Reporting,SQL Server 2014,departmental server,Oracle feed,stale,source-backed candidate
SQL-HCDN-00407,SQL database,Actuarial,SQL Server 2016,private cloud,flat-file/SFTP,duplicate,lineage incomplete
SQL-HCDN-00408,departmental mart,Finance,SQL Server 2019,on-prem data center,Epic Clarity,retire candidate,measure definition conflict
SQL-HCDN-00409,SSIS package group,Quality and Stars,SQL Server 2022,departmental server,legacy EDW,owner conflict,source-backed candidate
SQL-HCDN-00410,SSAS cube/model,Revenue Cycle,SQL Server 2012,private cloud,claims warehouse,active,source-backed candidate
SQL-HCDN-00411,SSRS report server,Population Health,SQL Server 2014,on-prem data center,manual spreadsheet upload,stale,source-backed candidate
SQL-HCDN-00412,SQL Agent schedule group,Claims Operations,SQL Server 2016,departmental server,Oracle feed,duplicate,source-backed candidate
SQL-HCDN-00413,SQL Server instance,Clinical Analytics,SQL Server 2019,private cloud,flat-file/SFTP,retire candidate,source-backed candidate
SQL-HCDN-00414,SQL database,Departmental Reporting,SQL Server 2022,on-prem data center,Epic Clarity,owner conflict,source-backed candidate
SQL-HCDN-00415,departmental mart,Actuarial,SQL Server 2012,departmental server,legacy EDW,active,source-backed candidate
SQL-HCDN-00416,SSIS package group,Finance,SQL Server 2014,private cloud,claims warehouse,stale,measure definition conflict
SQL-HCDN-00417,SSAS cube/model,Quality and Stars,SQL Server 2016,on-prem data center,manual spreadsheet upload,duplicate,source-backed candidate
SQL-HCDN-00418,SSRS report server,Revenue Cycle,SQL Server 2019,departmental server,Oracle feed,retire candidate,lineage incomplete
SQL-HCDN-00419,SQL Agent schedule group,Population Health,SQL Server 2022,private cloud,flat-file/SFTP,owner conflict,source-backed candidate
SQL-HCDN-00420,SQL Server instance,Claims Operations,SQL Server 2012,on-prem data center,Epic Clarity,active,source-backed candidate
SQL-HCDN-00421,SQL database,Clinical Analytics,SQL Server 2014,departmental server,legacy EDW,stale,source-backed candidate
SQL-HCDN-00422,departmental mart,Departmental Reporting,SQL Server 2016,private cloud,claims warehouse,duplicate,source-backed candidate
SQL-HCDN-00423,SSIS package group,Actuarial,SQL Server 2019,on-prem data center,manual spreadsheet upload,retire candidate,source-backed candidate
SQL-HCDN-00424,SSAS cube/model,Finance,SQL Server 2022,departmental server,Oracle feed,owner conflict,measure definition conflict
SQL-HCDN-00425,SSRS report server,Quality and Stars,SQL Server 2012,private cloud,flat-file/SFTP,active,source-backed candidate
SQL-HCDN-00426,SQL Agent schedule group,Revenue Cycle,SQL Server 2014,on-prem data center,Epic Clarity,stale,source-backed candidate
SQL-HCDN-00427,SQL Server instance,Population Health,SQL Server 2016,departmental server,legacy EDW,duplicate,source-backed candidate
SQL-HCDN-00428,SQL database,Claims Operations,SQL Server 2019,private cloud,claims warehouse,retire candidate,source-backed candidate
SQL-HCDN-00429,departmental mart,Clinical Analytics,SQL Server 2022,on-prem data center,manual spreadsheet upload,owner conflict,lineage incomplete
SQL-HCDN-00430,SSIS package group,Departmental Reporting,SQL Server 2012,departmental server,Oracle feed,active,source-backed candidate
SQL-HCDN-00431,SSAS cube/model,Actuarial,SQL Server 2014,private cloud,flat-file/SFTP,stale,source-backed candidate
SQL-HCDN-00432,SSRS report server,Finance,SQL Server 2016,on-prem data center,Epic Clarity,duplicate,measure definition conflict
SQL-HCDN-00433,SQL Agent schedule group,Quality and Stars,SQL Server 2019,departmental server,legacy EDW,retire candidate,source-backed candidate
SQL-HCDN-00434,SQL Server instance,Revenue Cycle,SQL Server 2022,private cloud,claims warehouse,owner conflict,source-backed candidate
SQL-HCDN-00435,SQL database,Population Health,SQL Server 2012,on-prem data center,manual spreadsheet upload,active,source-backed candidate
SQL-HCDN-00436,departmental mart,Claims Operations,SQL Server 2014,departmental server,Oracle feed,stale,source-backed candidate
SQL-HCDN-00437,SSIS package group,Clinical Analytics,SQL Server 2016,private cloud,flat-file/SFTP,duplicate,source-backed candidate
SQL-HCDN-00438,SSAS cube/model,Departmental Reporting,SQL Server 2019,on-prem data center,Epic Clarity,retire candidate,source-backed candidate
SQL-HCDN-00439,SSRS report server,Actuarial,SQL Server 2022,departmental server,legacy EDW,owner conflict,source-backed candidate
SQL-HCDN-00440,SQL Agent schedule group,Finance,SQL Server 2012,private cloud,claims warehouse,active,measure definition conflict
SQL-HCDN-00441,SQL Server instance,Quality and Stars,SQL Server 2014,on-prem data center,manual spreadsheet upload,stale,source-backed candidate
SQL-HCDN-00442,SQL database,Revenue Cycle,SQL Server 2016,departmental server,Oracle feed,duplicate,source-backed candidate
SQL-HCDN-00443,departmental mart,Population Health,SQL Server 2019,private cloud,flat-file/SFTP,retire candidate,source-backed candidate
SQL-HCDN-00444,SSIS package group,Claims Operations,SQL Server 2022,on-prem data center,Epic Clarity,owner conflict,source-backed candidate
SQL-HCDN-00445,SSAS cube/model,Clinical Analytics,SQL Server 2012,departmental server,legacy EDW,active,source-backed candidate
SQL-HCDN-00446,SSRS report server,Departmental Reporting,SQL Server 2014,private cloud,claims warehouse,stale,source-backed candidate
SQL-HCDN-00447,SQL Agent schedule group,Actuarial,SQL Server 2016,on-prem data center,manual spreadsheet upload,duplicate,source-backed candidate
SQL-HCDN-00448,SQL Server instance,Finance,SQL Server 2019,departmental server,Oracle feed,retire candidate,measure definition conflict
SQL-HCDN-00449,SQL database,Quality and Stars,SQL Server 2022,private cloud,flat-file/SFTP,owner conflict,source-backed candidate
SQL-HCDN-00450,departmental mart,Revenue Cycle,SQL Server 2012,on-prem data center,Epic Clarity,active,source-backed candidate
SQL-HCDN-00451,SSIS package group,Population Health,SQL Server 2014,departmental server,legacy EDW,stale,lineage incomplete
SQL-HCDN-00452,SSAS cube/model,Claims Operations,SQL Server 2016,private cloud,claims warehouse,duplicate,source-backed candidate
SQL-HCDN-00453,SSRS report server,Clinical Analytics,SQL Server 2019,on-prem data center,manual spreadsheet upload,retire candidate,source-backed candidate
SQL-HCDN-00454,SQL Agent schedule group,Departmental Reporting,SQL Server 2022,departmental server,Oracle feed,owner conflict,source-backed candidate
SQL-HCDN-00455,SQL Server instance,Actuarial,SQL Server 2012,private cloud,flat-file/SFTP,active,source-backed candidate
SQL-HCDN-00456,SQL database,Finance,SQL Server 2014,on-prem data center,Epic Clarity,stale,measure definition conflict
SQL-HCDN-00457,departmental mart,Quality and Stars,SQL Server 2016,departmental server,legacy EDW,duplicate,source-backed candidate
SQL-HCDN-00458,SSIS package group,Revenue Cycle,SQL Server 2019,private cloud,claims warehouse,retire candidate,source-backed candidate
SQL-HCDN-00459,SSAS cube/model,Population Health,SQL Server 2022,on-prem data center,manual spreadsheet upload,owner conflict,source-backed candidate
SQL-HCDN-00460,SSRS report server,Claims Operations,SQL Server 2012,departmental server,Oracle feed,active,source-backed candidate
SQL-HCDN-00461,SQL Agent schedule group,Clinical Analytics,SQL Server 2014,private cloud,flat-file/SFTP,stale,source-backed candidate
SQL-HCDN-00462,SQL Server instance,Departmental Reporting,SQL Server 2016,on-prem data center,Epic Clarity,duplicate,lineage incomplete
SQL-HCDN-00463,SQL database,Actuarial,SQL Server 2019,departmental server,legacy EDW,retire candidate,source-backed candidate
SQL-HCDN-00464,departmental mart,Finance,SQL Server 2022,private cloud,claims warehouse,owner conflict,measure definition conflict
SQL-HCDN-00465,SSIS package group,Quality and Stars,SQL Server 2012,on-prem data center,manual spreadsheet upload,active,source-backed candidate
SQL-HCDN-00466,SSAS cube/model,Revenue Cycle,SQL Server 2014,departmental server,Oracle feed,stale,source-backed candidate
SQL-HCDN-00467,SSRS report server,Population Health,SQL Server 2016,private cloud,flat-file/SFTP,duplicate,source-backed candidate
SQL-HCDN-00468,SQL Agent schedule group,Claims Operations,SQL Server 2019,on-prem data center,Epic Clarity,retire candidate,source-backed candidate
SQL-HCDN-00469,SQL Server instance,Clinical Analytics,SQL Server 2022,departmental server,legacy EDW,owner conflict,source-backed candidate
SQL-HCDN-00470,SQL database,Departmental Reporting,SQL Server 2012,private cloud,claims warehouse,active,source-backed candidate
SQL-HCDN-00471,departmental mart,Actuarial,SQL Server 2014,on-prem data center,manual spreadsheet upload,stale,source-backed candidate
SQL-HCDN-00472,SSIS package group,Finance,SQL Server 2016,departmental server,Oracle feed,duplicate,measure definition conflict
SQL-HCDN-00473,SSAS cube/model,Quality and Stars,SQL Server 2019,private cloud,flat-file/SFTP,retire candidate,lineage incomplete
SQL-HCDN-00474,SSRS report server,Revenue Cycle,SQL Server 2022,on-prem data center,Epic Clarity,owner conflict,source-backed candidate
SQL-HCDN-00475,SQL Agent schedule group,Population Health,SQL Server 2012,departmental server,legacy EDW,active,source-backed candidate
SQL-HCDN-00476,SQL Server instance,Claims Operations,SQL Server 2014,private cloud,claims warehouse,stale,source-backed candidate
SQL-HCDN-00477,SQL database,Clinical Analytics,SQL Server 2016,on-prem data center,manual spreadsheet upload,duplicate,source-backed candidate
SQL-HCDN-00478,departmental mart,Departmental Reporting,SQL Server 2019,departmental server,Oracle feed,retire candidate,source-backed candidate
SQL-HCDN-00479,SSIS package group,Actuarial,SQL Server 2022,private cloud,flat-file/SFTP,owner conflict,source-backed candidate
SQL-HCDN-00480,SSAS cube/model,Finance,SQL Server 2012,on-prem data center,Epic Clarity,active,measure definition conflict
SQL-HCDN-00481,SSRS report server,Quality and Stars,SQL Server 2014,departmental server,legacy EDW,stale,source-backed candidate
SQL-HCDN-00482,SQL Agent schedule group,Revenue Cycle,SQL Server 2016,private cloud,claims warehouse,duplicate,source-backed candidate
SQL-HCDN-00483,SQL Server instance,Population Health,SQL Server 2019,on-prem data center,manual spreadsheet upload,retire candidate,source-backed candidate
SQL-HCDN-00484,SQL database,Claims Operations,SQL Server 2022,departmental server,Oracle feed,owner conflict,lineage incomplete
SQL-HCDN-00485,departmental mart,Clinical Analytics,SQL Server 2012,private cloud,flat-file/SFTP,active,source-backed candidate
SQL-HCDN-00486,SSIS package group,Departmental Reporting,SQL Server 2014,on-prem data center,Epic Clarity,stale,source-backed candidate
SQL-HCDN-00487,SSAS cube/model,Actuarial,SQL Server 2016,departmental server,legacy EDW,duplicate,source-backed candidate
SQL-HCDN-00488,SSRS report server,Finance,SQL Server 2019,private cloud,claims warehouse,retire candidate,measure definition conflict
SQL-HCDN-00489,SQL Agent schedule group,Quality and Stars,SQL Server 2022,on-prem data center,manual spreadsheet upload,owner conflict,source-backed candidate
SQL-HCDN-00490,SQL Server instance,Revenue Cycle,SQL Server 2012,departmental server,Oracle feed,active,source-backed candidate
SQL-HCDN-00491,SQL database,Population Health,SQL Server 2014,private cloud,flat-file/SFTP,stale,source-backed candidate
SQL-HCDN-00492,departmental mart,Claims Operations,SQL Server 2016,on-prem data center,Epic Clarity,duplicate,source-backed candidate
SQL-HCDN-00493,SSIS package group,Clinical Analytics,SQL Server 2019,departmental server,legacy EDW,retire candidate,source-backed candidate
SQL-HCDN-00494,SSAS cube/model,Departmental Reporting,SQL Server 2022,private cloud,claims warehouse,owner conflict,source-backed candidate
SQL-HCDN-00495,SSRS report server,Actuarial,SQL Server 2012,on-prem data center,manual spreadsheet upload,active,lineage incomplete
SQL-HCDN-00496,SQL Agent schedule group,Finance,SQL Server 2014,departmental server,Oracle feed,stale,measure definition conflict
SQL-HCDN-00497,SQL Server instance,Quality and Stars,SQL Server 2016,private cloud,flat-file/SFTP,duplicate,source-backed candidate
SQL-HCDN-00498,SQL database,Revenue Cycle,SQL Server 2019,on-prem data center,Epic Clarity,retire candidate,source-backed candidate
SQL-HCDN-00499,departmental mart,Population Health,SQL Server 2022,departmental server,legacy EDW,owner conflict,source-backed candidate
SQL-HCDN-00500,SSIS package group,Claims Operations,SQL Server 2012,private cloud,claims warehouse,active,source-backed candidate
SQL-HCDN-00501,SSAS cube/model,Clinical Analytics,SQL Server 2014,on-prem data center,manual spreadsheet upload,stale,source-backed candidate
SQL-HCDN-00502,SSRS report server,Departmental Reporting,SQL Server 2016,departmental server,Oracle feed,duplicate,source-backed candidate
SQL-HCDN-00503,SQL Agent schedule group,Actuarial,SQL Server 2019,private cloud,flat-file/SFTP,retire candidate,source-backed candidate
SQL-HCDN-00504,SQL Server instance,Finance,SQL Server 2022,on-prem data center,Epic Clarity,owner conflict,measure definition conflict
SQL-HCDN-00505,SQL database,Quality and Stars,SQL Server 2012,departmental server,legacy EDW,active,source-backed candidate
SQL-HCDN-00506,departmental mart,Revenue Cycle,SQL Server 2014,private cloud,claims warehouse,stale,lineage incomplete
SQL-HCDN-00507,SSIS package group,Population Health,SQL Server 2016,on-prem data center,manual spreadsheet upload,duplicate,source-backed candidate
SQL-HCDN-00508,SSAS cube/model,Claims Operations,SQL Server 2019,departmental server,Oracle feed,retire candidate,source-backed candidate
SQL-HCDN-00509,SSRS report server,Clinical Analytics,SQL Server 2022,private cloud,flat-file/SFTP,owner conflict,source-backed candidate
SQL-HCDN-00510,SQL Agent schedule group,Departmental Reporting,SQL Server 2012,on-prem data center,Epic Clarity,active,source-backed candidate
SQL-HCDN-00511,SQL Server instance,Actuarial,SQL Server 2014,departmental server,legacy EDW,stale,source-backed candidate
SQL-HCDN-00512,SQL database,Finance,SQL Server 2016,private cloud,claims warehouse,duplicate,measure definition conflict
SQL-HCDN-00513,departmental mart,Quality and Stars,SQL Server 2019,on-prem data center,manual spreadsheet upload,retire candidate,source-backed candidate
SQL-HCDN-00514,SSIS package group,Revenue Cycle,SQL Server 2022,departmental server,Oracle feed,owner conflict,source-backed candidate
SQL-HCDN-00515,SSAS cube/model,Population Health,SQL Server 2012,private cloud,flat-file/SFTP,active,source-backed candidate
SQL-HCDN-00516,SSRS report server,Claims Operations,SQL Server 2014,on-prem data center,Epic Clarity,stale,source-backed candidate
SQL-HCDN-00517,SQL Agent schedule group,Clinical Analytics,SQL Server 2016,departmental server,legacy EDW,duplicate,lineage incomplete
SQL-HCDN-00518,SQL Server instance,Departmental Reporting,SQL Server 2019,private cloud,claims warehouse,retire candidate,source-backed candidate
SQL-HCDN-00519,SQL database,Actuarial,SQL Server 2022,on-prem data center,manual spreadsheet upload,owner conflict,source-backed candidate
SQL-HCDN-00520,departmental mart,Finance,SQL Server 2012,departmental server,Oracle feed,active,measure definition conflict
SQL-HCDN-00521,SSIS package group,Quality and Stars,SQL Server 2014,private cloud,flat-file/SFTP,stale,source-backed candidate
SQL-HCDN-00522,SSAS cube/model,Revenue Cycle,SQL Server 2016,on-prem data center,Epic Clarity,duplicate,source-backed candidate
SQL-HCDN-00523,SSRS report server,Population Health,SQL Server 2019,departmental server,legacy EDW,retire candidate,source-backed candidate
SQL-HCDN-00524,SQL Agent schedule group,Claims Operations,SQL Server 2022,private cloud,claims warehouse,owner conflict,source-backed candidate
SQL-HCDN-00525,SQL Server instance,Clinical Analytics,SQL Server 2012,on-prem data center,manual spreadsheet upload,active,source-backed candidate
SQL-HCDN-00526,SQL database,Departmental Reporting,SQL Server 2014,departmental server,Oracle feed,stale,source-backed candidate
SQL-HCDN-00527,departmental mart,Actuarial,SQL Server 2016,private cloud,flat-file/SFTP,duplicate,source-backed candidate
SQL-HCDN-00528,SSIS package group,Finance,SQL Server 2019,on-prem data center,Epic Clarity,retire candidate,measure definition conflict
SQL-HCDN-00529,SSAS cube/model,Quality and Stars,SQL Server 2022,departmental server,legacy EDW,owner conflict,source-backed candidate
SQL-HCDN-00530,SSRS report server,Revenue Cycle,SQL Server 2012,private cloud,claims warehouse,active,source-backed candidate
SQL-HCDN-00531,SQL Agent schedule group,Population Health,SQL Server 2014,on-prem data center,manual spreadsheet upload,stale,source-backed candidate
SQL-HCDN-00532,SQL Server instance,Claims Operations,SQL Server 2016,departmental server,Oracle feed,duplicate,source-backed candidate
SQL-HCDN-00533,SQL database,Clinical Analytics,SQL Server 2019,private cloud,flat-file/SFTP,retire candidate,source-backed candidate
SQL-HCDN-00534,departmental mart,Departmental Reporting,SQL Server 2022,on-prem data center,Epic Clarity,owner conflict,source-backed candidate
SQL-HCDN-00535,SSIS package group,Actuarial,SQL Server 2012,departmental server,legacy EDW,active,source-backed candidate
SQL-HCDN-00536,SSAS cube/model,Finance,SQL Server 2014,private cloud,claims warehouse,stale,measure definition conflict
SQL-HCDN-00537,SSRS report server,Quality and Stars,SQL Server 2016,on-prem data center,manual spreadsheet upload,duplicate,source-backed candidate
SQL-HCDN-00538,SQL Agent schedule group,Revenue Cycle,SQL Server 2019,departmental server,Oracle feed,retire candidate,source-backed candidate
SQL-HCDN-00539,SQL Server instance,Population Health,SQL Server 2022,private cloud,flat-file/SFTP,owner conflict,lineage incomplete
SQL-HCDN-00540,SQL database,Claims Operations,SQL Server 2012,on-prem data center,Epic Clarity,active,source-backed candidate
SQL-HCDN-00541,departmental mart,Clinical Analytics,SQL Server 2014,departmental server,legacy EDW,stale,source-backed candidate
SQL-HCDN-00542,SSIS package group,Departmental Reporting,SQL Server 2016,private cloud,claims warehouse,duplicate,source-backed candidate
SQL-HCDN-00543,SSAS cube/model,Actuarial,SQL Server 2019,on-prem data center,manual spreadsheet upload,retire candidate,source-backed candidate
SQL-HCDN-00544,SSRS report server,Finance,SQL Server 2022,departmental server,Oracle feed,owner conflict,measure definition conflict
SQL-HCDN-00545,SQL Agent schedule group,Quality and Stars,SQL Server 2012,private cloud,flat-file/SFTP,active,source-backed candidate
SQL-HCDN-00546,SQL Server instance,Revenue Cycle,SQL Server 2014,on-prem data center,Epic Clarity,stale,source-backed candidate
SQL-HCDN-00547,SQL database,Population Health,SQL Server 2016,departmental server,legacy EDW,duplicate,source-backed candidate
SQL-HCDN-00548,departmental mart,Claims Operations,SQL Server 2019,private cloud,claims warehouse,retire candidate,source-backed candidate
SQL-HCDN-00549,SSIS package group,Clinical Analytics,SQL Server 2022,on-prem data center,manual spreadsheet upload,owner conflict,source-backed candidate
SQL-HCDN-00550,SSAS cube/model,Departmental Reporting,SQL Server 2012,departmental server,Oracle feed,active,lineage incomplete
SQL-HCDN-00551,SSRS report server,Actuarial,SQL Server 2014,private cloud,flat-file/SFTP,stale,source-backed candidate
SQL-HCDN-00552,SQL Agent schedule group,Finance,SQL Server 2016,on-prem data center,Epic Clarity,duplicate,measure definition conflict
SQL-HCDN-00553,SQL Server instance,Quality and Stars,SQL Server 2019,departmental server,legacy EDW,retire candidate,source-backed candidate
SQL-HCDN-00554,SQL database,Revenue Cycle,SQL Server 2022,private cloud,claims warehouse,owner conflict,source-backed candidate
SQL-HCDN-00555,departmental mart,Population Health,SQL Server 2012,on-prem data center,manual spreadsheet upload,active,source-backed candidate
SQL-HCDN-00556,SSIS package group,Claims Operations,SQL Server 2014,departmental server,Oracle feed,stale,source-backed candidate
SQL-HCDN-00557,SSAS cube/model,Clinical Analytics,SQL Server 2016,private cloud,flat-file/SFTP,duplicate,source-backed candidate
SQL-HCDN-00558,SSRS report server,Departmental Reporting,SQL Server 2019,on-prem data center,Epic Clarity,retire candidate,source-backed candidate
SQL-HCDN-00559,SQL Agent schedule group,Actuarial,SQL Server 2022,departmental server,legacy EDW,owner conflict,source-backed candidate
SQL-HCDN-00560,SQL Server instance,Finance,SQL Server 2012,private cloud,claims warehouse,active,measure definition conflict
SQL-HCDN-00561,SQL database,Quality and Stars,SQL Server 2014,on-prem data center,manual spreadsheet upload,stale,lineage incomplete
SQL-HCDN-00562,departmental mart,Revenue Cycle,SQL Server 2016,departmental server,Oracle feed,duplicate,source-backed candidate
SQL-HCDN-00563,SSIS package group,Population Health,SQL Server 2019,private cloud,flat-file/SFTP,retire candidate,source-backed candidate
SQL-HCDN-00564,SSAS cube/model,Claims Operations,SQL Server 2022,on-prem data center,Epic Clarity,owner conflict,source-backed candidate
SQL-HCDN-00565,SSRS report server,Clinical Analytics,SQL Server 2012,departmental server,legacy EDW,active,source-backed candidate
SQL-HCDN-00566,SQL Agent schedule group,Departmental Reporting,SQL Server 2014,private cloud,claims warehouse,stale,source-backed candidate
SQL-HCDN-00567,SQL Server instance,Actuarial,SQL Server 2016,on-prem data center,manual spreadsheet upload,duplicate,source-backed candidate
SQL-HCDN-00568,SQL database,Finance,SQL Server 2019,departmental server,Oracle feed,retire candidate,measure definition conflict
