sla_observation_id,lot_id,service_tower,metric,status,value_disclosure_mode,source_id
SLA-HCDN-LOT-HCDN-09-003,LOT-HCDN-09,ERP and Corporate Platforms,claim turnaround,not measured,exact,SRC-HCDN-SLA-003
SLA-HCDN-LOT-HCDN-09-004,LOT-HCDN-09,ERP and Corporate Platforms,prior-auth SLA,met,range,SRC-HCDN-SLA-004
SLA-HCDN-LOT-HCDN-09-005,LOT-HCDN-09,ERP and Corporate Platforms,contact-center service level,missed,indexed,SRC-HCDN-SLA-005
SLA-HCDN-LOT-HCDN-09-006,LOT-HCDN-09,ERP and Corporate Platforms,availability,at risk,exact,SRC-HCDN-SLA-006
SLA-HCDN-LOT-HCDN-09-007,LOT-HCDN-09,ERP and Corporate Platforms,incident response,not measured,range,SRC-HCDN-SLA-007
SLA-HCDN-LOT-HCDN-09-008,LOT-HCDN-09,ERP and Corporate Platforms,batch completion,met,indexed,SRC-HCDN-SLA-008
SLA-HCDN-LOT-HCDN-09-009,LOT-HCDN-09,ERP and Corporate Platforms,claim turnaround,missed,exact,SRC-HCDN-SLA-009
SLA-HCDN-LOT-HCDN-09-010,LOT-HCDN-09,ERP and Corporate Platforms,prior-auth SLA,at risk,range,SRC-HCDN-SLA-010
SLA-HCDN-LOT-HCDN-09-011,LOT-HCDN-09,ERP and Corporate Platforms,contact-center service level,not measured,indexed,SRC-HCDN-SLA-011
SLA-HCDN-LOT-HCDN-09-012,LOT-HCDN-09,ERP and Corporate Platforms,availability,met,exact,SRC-HCDN-SLA-012
SLA-HCDN-LOT-HCDN-09-013,LOT-HCDN-09,ERP and Corporate Platforms,incident response,missed,range,SRC-HCDN-SLA-013
SLA-HCDN-LOT-HCDN-09-014,LOT-HCDN-09,ERP and Corporate Platforms,batch completion,at risk,indexed,SRC-HCDN-SLA-014
SLA-HCDN-LOT-HCDN-09-015,LOT-HCDN-09,ERP and Corporate Platforms,claim turnaround,not measured,exact,SRC-HCDN-SLA-015
SLA-HCDN-LOT-HCDN-09-016,LOT-HCDN-09,ERP and Corporate Platforms,prior-auth SLA,met,range,SRC-HCDN-SLA-016
SLA-HCDN-LOT-HCDN-09-017,LOT-HCDN-09,ERP and Corporate Platforms,contact-center service level,missed,indexed,SRC-HCDN-SLA-017
SLA-HCDN-LOT-HCDN-09-018,LOT-HCDN-09,ERP and Corporate Platforms,availability,at risk,exact,SRC-HCDN-SLA-018
SLA-HCDN-LOT-HCDN-09-019,LOT-HCDN-09,ERP and Corporate Platforms,incident response,not measured,range,SRC-HCDN-SLA-019
SLA-HCDN-LOT-HCDN-09-020,LOT-HCDN-09,ERP and Corporate Platforms,batch completion,met,indexed,SRC-HCDN-SLA-020
SLA-HCDN-LOT-HCDN-09-021,LOT-HCDN-09,ERP and Corporate Platforms,claim turnaround,missed,exact,SRC-HCDN-SLA-021
SLA-HCDN-LOT-HCDN-09-022,LOT-HCDN-09,ERP and Corporate Platforms,prior-auth SLA,at risk,range,SRC-HCDN-SLA-022
SLA-HCDN-LOT-HCDN-09-023,LOT-HCDN-09,ERP and Corporate Platforms,contact-center service level,not measured,indexed,SRC-HCDN-SLA-023
SLA-HCDN-LOT-HCDN-09-024,LOT-HCDN-09,ERP and Corporate Platforms,availability,met,exact,SRC-HCDN-SLA-024
