staffing_id,proposal_id,lot_id,bidder,role_family,delivery_location,phase,headcount_disclosure_mode,transition_note
STAFF-HCDN-LOT-HCDN-07-C-04,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,data engineer,onsite,transition,range,standard
STAFF-HCDN-LOT-HCDN-07-C-05,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,cloud engineer,nearshore,steady-state,indexed,standard
STAFF-HCDN-LOT-HCDN-07-C-06,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,service desk analyst,offshore,hypercare,exact,critical knowledge-transfer dependency
STAFF-HCDN-LOT-HCDN-07-C-07,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,security engineer,hybrid,transformation,range,standard
STAFF-HCDN-LOT-HCDN-07-C-08,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,integration engineer,onsite,transition,indexed,standard
STAFF-HCDN-LOT-HCDN-08-A-01,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,SQL/BI engineer,nearshore,steady-state,range,standard
STAFF-HCDN-LOT-HCDN-08-A-02,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,claims ops analyst,offshore,hypercare,indexed,standard
STAFF-HCDN-LOT-HCDN-08-A-03,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,UM nurse reviewer,hybrid,transformation,exact,critical knowledge-transfer dependency
STAFF-HCDN-LOT-HCDN-08-A-04,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,data engineer,onsite,transition,range,standard
STAFF-HCDN-LOT-HCDN-08-A-05,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,cloud engineer,nearshore,steady-state,indexed,standard
STAFF-HCDN-LOT-HCDN-08-A-06,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,service desk analyst,offshore,hypercare,exact,critical knowledge-transfer dependency
STAFF-HCDN-LOT-HCDN-08-A-07,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,security engineer,hybrid,transformation,range,standard
STAFF-HCDN-LOT-HCDN-08-A-08,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,integration engineer,onsite,transition,indexed,standard
STAFF-HCDN-LOT-HCDN-08-B-01,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,SQL/BI engineer,nearshore,steady-state,range,standard
STAFF-HCDN-LOT-HCDN-08-B-02,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,claims ops analyst,offshore,hypercare,indexed,standard
STAFF-HCDN-LOT-HCDN-08-B-03,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,UM nurse reviewer,hybrid,transformation,exact,critical knowledge-transfer dependency
STAFF-HCDN-LOT-HCDN-08-B-04,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,data engineer,onsite,transition,range,standard
STAFF-HCDN-LOT-HCDN-08-B-05,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,cloud engineer,nearshore,steady-state,indexed,standard
STAFF-HCDN-LOT-HCDN-08-B-06,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,service desk analyst,offshore,hypercare,exact,critical knowledge-transfer dependency
STAFF-HCDN-LOT-HCDN-08-B-07,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,security engineer,hybrid,transformation,range,standard
STAFF-HCDN-LOT-HCDN-08-B-08,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,integration engineer,onsite,transition,indexed,standard
STAFF-HCDN-LOT-HCDN-08-C-01,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,SQL/BI engineer,nearshore,steady-state,range,standard
STAFF-HCDN-LOT-HCDN-08-C-02,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,claims ops analyst,offshore,hypercare,indexed,standard
STAFF-HCDN-LOT-HCDN-08-C-03,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,UM nurse reviewer,hybrid,transformation,exact,critical knowledge-transfer dependency
STAFF-HCDN-LOT-HCDN-08-C-04,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,data engineer,onsite,transition,range,standard
STAFF-HCDN-LOT-HCDN-08-C-05,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,cloud engineer,nearshore,steady-state,indexed,standard
STAFF-HCDN-LOT-HCDN-08-C-06,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,service desk analyst,offshore,hypercare,exact,critical knowledge-transfer dependency
STAFF-HCDN-LOT-HCDN-08-C-07,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,security engineer,hybrid,transformation,range,standard
STAFF-HCDN-LOT-HCDN-08-C-08,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,integration engineer,onsite,transition,indexed,standard
STAFF-HCDN-LOT-HCDN-09-A-01,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,SQL/BI engineer,nearshore,steady-state,range,standard
STAFF-HCDN-LOT-HCDN-09-A-02,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,claims ops analyst,offshore,hypercare,indexed,standard
STAFF-HCDN-LOT-HCDN-09-A-03,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,UM nurse reviewer,hybrid,transformation,exact,critical knowledge-transfer dependency
STAFF-HCDN-LOT-HCDN-09-A-04,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,data engineer,onsite,transition,range,standard
STAFF-HCDN-LOT-HCDN-09-A-05,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,cloud engineer,nearshore,steady-state,indexed,standard
STAFF-HCDN-LOT-HCDN-09-A-06,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,service desk analyst,offshore,hypercare,exact,critical knowledge-transfer dependency
STAFF-HCDN-LOT-HCDN-09-A-07,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,security engineer,hybrid,transformation,range,standard
STAFF-HCDN-LOT-HCDN-09-A-08,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,integration engineer,onsite,transition,indexed,standard
STAFF-HCDN-LOT-HCDN-09-B-01,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,SQL/BI engineer,nearshore,steady-state,range,standard
STAFF-HCDN-LOT-HCDN-09-B-02,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,claims ops analyst,offshore,hypercare,indexed,standard
STAFF-HCDN-LOT-HCDN-09-B-03,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,UM nurse reviewer,hybrid,transformation,exact,critical knowledge-transfer dependency
STAFF-HCDN-LOT-HCDN-09-B-04,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,data engineer,onsite,transition,range,standard
STAFF-HCDN-LOT-HCDN-09-B-05,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,cloud engineer,nearshore,steady-state,indexed,standard
STAFF-HCDN-LOT-HCDN-09-B-06,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,service desk analyst,offshore,hypercare,exact,critical knowledge-transfer dependency
STAFF-HCDN-LOT-HCDN-09-B-07,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,security engineer,hybrid,transformation,range,standard
STAFF-HCDN-LOT-HCDN-09-B-08,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,integration engineer,onsite,transition,indexed,standard
STAFF-HCDN-LOT-HCDN-09-C-01,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,SQL/BI engineer,nearshore,steady-state,range,standard
STAFF-HCDN-LOT-HCDN-09-C-02,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,claims ops analyst,offshore,hypercare,indexed,standard
STAFF-HCDN-LOT-HCDN-09-C-03,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,UM nurse reviewer,hybrid,transformation,exact,critical knowledge-transfer dependency
STAFF-HCDN-LOT-HCDN-09-C-04,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,data engineer,onsite,transition,range,standard
STAFF-HCDN-LOT-HCDN-09-C-05,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,cloud engineer,nearshore,steady-state,indexed,standard
STAFF-HCDN-LOT-HCDN-09-C-06,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,service desk analyst,offshore,hypercare,exact,critical knowledge-transfer dependency
STAFF-HCDN-LOT-HCDN-09-C-07,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,security engineer,hybrid,transformation,range,standard
STAFF-HCDN-LOT-HCDN-09-C-08,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,integration engineer,onsite,transition,indexed,standard
