volume_id,service_tower,business_function,metric,value_disclosure_mode,period,evidence_state,source_id
VOL-HCDN-0207,Clinical and Epic AMS,Patient Access,incident tickets,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-016
VOL-HCDN-0208,Payer Platform Operations,Interoperability,enhancement backlog,exact,quarterly,needs finance signoff,SRC-HCDN-VOL-017
VOL-HCDN-0209,Data Analytics and AI,Population Health,claims transactions,range,annual,source-backed candidate,SRC-HCDN-VOL-018
VOL-HCDN-0210,Revenue Cycle Technology,Health Plan Operations,prior-auth requests,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-019
VOL-HCDN-0211,Cloud Infrastructure and Data Center,Medicare Advantage,member calls,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-020
VOL-HCDN-0212,Workplace and Contact Center,Claims Operations,Epic change requests,exact,annual,source-backed candidate,SRC-HCDN-VOL-021
VOL-HCDN-0213,Security Identity and Compliance,Utilization Management,SQL batch jobs,range,monthly,source-backed candidate,SRC-HCDN-VOL-022
VOL-HCDN-0214,Integration and Interoperability,Member Services,BI report executions,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-023
VOL-HCDN-0215,ERP and Corporate Platforms,Quality and Stars,care-gap outreaches,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-024
VOL-HCDN-0216,Clinical and Epic AMS,Risk Adjustment,incident tickets,exact,monthly,needs finance signoff,SRC-HCDN-VOL-025
VOL-HCDN-0217,Payer Platform Operations,Care Management,enhancement backlog,range,quarterly,source-backed candidate,SRC-HCDN-VOL-026
VOL-HCDN-0218,Data Analytics and AI,Finance,claims transactions,indexed,annual,source-backed candidate,SRC-HCDN-VOL-027
VOL-HCDN-0219,Revenue Cycle Technology,Coding,prior-auth requests,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-028
VOL-HCDN-0220,Cloud Infrastructure and Data Center,Payer Contracting,member calls,exact,quarterly,source-backed candidate,SRC-HCDN-VOL-029
VOL-HCDN-0221,Workplace and Contact Center,Digital Front Door,Epic change requests,range,annual,source-backed candidate,SRC-HCDN-VOL-030
VOL-HCDN-0222,Security Identity and Compliance,Contact Center,SQL batch jobs,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-031
VOL-HCDN-0223,Integration and Interoperability,Ambulatory Care,BI report executions,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-032
VOL-HCDN-0224,ERP and Corporate Platforms,Emergency Department,care-gap outreaches,exact,annual,needs finance signoff,SRC-HCDN-VOL-033
VOL-HCDN-0225,Clinical and Epic AMS,Inpatient,incident tickets,range,monthly,source-backed candidate,SRC-HCDN-VOL-034
VOL-HCDN-0226,Payer Platform Operations,Surgery,enhancement backlog,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-035
VOL-HCDN-0227,Data Analytics and AI,Imaging,claims transactions,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-036
VOL-HCDN-0228,Revenue Cycle Technology,Lab,prior-auth requests,exact,monthly,source-backed candidate,SRC-HCDN-VOL-037
VOL-HCDN-0229,Cloud Infrastructure and Data Center,Pharmacy,member calls,range,quarterly,source-backed candidate,SRC-HCDN-VOL-038
VOL-HCDN-0230,Workplace and Contact Center,Oncology,Epic change requests,indexed,annual,source-backed candidate,SRC-HCDN-VOL-039
VOL-HCDN-0231,Security Identity and Compliance,Cardiology,SQL batch jobs,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-040
VOL-HCDN-0232,Integration and Interoperability,Data and Analytics,BI report executions,exact,quarterly,needs finance signoff,SRC-HCDN-VOL-041
VOL-HCDN-0233,ERP and Corporate Platforms,Clinical Analytics,care-gap outreaches,range,annual,source-backed candidate,SRC-HCDN-VOL-042
VOL-HCDN-0234,Clinical and Epic AMS,Actuarial,incident tickets,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-043
VOL-HCDN-0235,Payer Platform Operations,Departmental Reporting,enhancement backlog,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-044
VOL-HCDN-0236,Data Analytics and AI,AI Transformation,claims transactions,exact,annual,source-backed candidate,SRC-HCDN-VOL-045
VOL-HCDN-0237,Revenue Cycle Technology,Technology,prior-auth requests,range,monthly,source-backed candidate,SRC-HCDN-VOL-046
VOL-HCDN-0238,Cloud Infrastructure and Data Center,Security,member calls,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-047
VOL-HCDN-0239,Workplace and Contact Center,Procurement,Epic change requests,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-048
VOL-HCDN-0240,Security Identity and Compliance,HR,SQL batch jobs,exact,monthly,needs finance signoff,SRC-HCDN-VOL-049
VOL-HCDN-0241,Integration and Interoperability,Supply Chain,BI report executions,range,quarterly,source-backed candidate,SRC-HCDN-VOL-050
VOL-HCDN-0242,ERP and Corporate Platforms,Privacy,care-gap outreaches,indexed,annual,source-backed candidate,SRC-HCDN-VOL-051
VOL-HCDN-0243,Clinical and Epic AMS,Compliance,incident tickets,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-052
VOL-HCDN-0244,Payer Platform Operations,Provider Network,enhancement backlog,exact,quarterly,source-backed candidate,SRC-HCDN-VOL-053
VOL-HCDN-0245,Data Analytics and AI,Value-Based Care,claims transactions,range,annual,source-backed candidate,SRC-HCDN-VOL-054
VOL-HCDN-0246,Revenue Cycle Technology,Clinical Operations,prior-auth requests,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-055
VOL-HCDN-0247,Cloud Infrastructure and Data Center,Revenue Cycle,member calls,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-056
VOL-HCDN-0248,Workplace and Contact Center,Patient Access,Epic change requests,exact,annual,needs finance signoff,SRC-HCDN-VOL-057
VOL-HCDN-0249,Security Identity and Compliance,Interoperability,SQL batch jobs,range,monthly,source-backed candidate,SRC-HCDN-VOL-058
VOL-HCDN-0250,Integration and Interoperability,Population Health,BI report executions,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-059
VOL-HCDN-0251,ERP and Corporate Platforms,Health Plan Operations,care-gap outreaches,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-060
VOL-HCDN-0252,Clinical and Epic AMS,Medicare Advantage,incident tickets,exact,monthly,source-backed candidate,SRC-HCDN-VOL-061
VOL-HCDN-0253,Payer Platform Operations,Claims Operations,enhancement backlog,range,quarterly,source-backed candidate,SRC-HCDN-VOL-062
VOL-HCDN-0254,Data Analytics and AI,Utilization Management,claims transactions,indexed,annual,source-backed candidate,SRC-HCDN-VOL-063
VOL-HCDN-0255,Revenue Cycle Technology,Member Services,prior-auth requests,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-064
VOL-HCDN-0256,Cloud Infrastructure and Data Center,Quality and Stars,member calls,exact,quarterly,needs finance signoff,SRC-HCDN-VOL-001
VOL-HCDN-0257,Workplace and Contact Center,Risk Adjustment,Epic change requests,range,annual,source-backed candidate,SRC-HCDN-VOL-002
VOL-HCDN-0258,Security Identity and Compliance,Care Management,SQL batch jobs,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-003
VOL-HCDN-0259,Integration and Interoperability,Finance,BI report executions,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-004
VOL-HCDN-0260,ERP and Corporate Platforms,Coding,care-gap outreaches,exact,annual,source-backed candidate,SRC-HCDN-VOL-005
VOL-HCDN-0261,Clinical and Epic AMS,Payer Contracting,incident tickets,range,monthly,source-backed candidate,SRC-HCDN-VOL-006
VOL-HCDN-0262,Payer Platform Operations,Digital Front Door,enhancement backlog,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-007
VOL-HCDN-0263,Data Analytics and AI,Contact Center,claims transactions,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-008
VOL-HCDN-0264,Revenue Cycle Technology,Ambulatory Care,prior-auth requests,exact,monthly,needs finance signoff,SRC-HCDN-VOL-009
VOL-HCDN-0265,Cloud Infrastructure and Data Center,Emergency Department,member calls,range,quarterly,source-backed candidate,SRC-HCDN-VOL-010
VOL-HCDN-0266,Workplace and Contact Center,Inpatient,Epic change requests,indexed,annual,source-backed candidate,SRC-HCDN-VOL-011
VOL-HCDN-0267,Security Identity and Compliance,Surgery,SQL batch jobs,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-012
VOL-HCDN-0268,Integration and Interoperability,Imaging,BI report executions,exact,quarterly,source-backed candidate,SRC-HCDN-VOL-013
VOL-HCDN-0269,ERP and Corporate Platforms,Lab,care-gap outreaches,range,annual,source-backed candidate,SRC-HCDN-VOL-014
VOL-HCDN-0270,Clinical and Epic AMS,Pharmacy,incident tickets,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-015
VOL-HCDN-0271,Payer Platform Operations,Oncology,enhancement backlog,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-016
VOL-HCDN-0272,Data Analytics and AI,Cardiology,claims transactions,exact,annual,needs finance signoff,SRC-HCDN-VOL-017
VOL-HCDN-0273,Revenue Cycle Technology,Data and Analytics,prior-auth requests,range,monthly,source-backed candidate,SRC-HCDN-VOL-018
VOL-HCDN-0274,Cloud Infrastructure and Data Center,Clinical Analytics,member calls,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-019
VOL-HCDN-0275,Workplace and Contact Center,Actuarial,Epic change requests,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-020
VOL-HCDN-0276,Security Identity and Compliance,Departmental Reporting,SQL batch jobs,exact,monthly,source-backed candidate,SRC-HCDN-VOL-021
VOL-HCDN-0277,Integration and Interoperability,AI Transformation,BI report executions,range,quarterly,source-backed candidate,SRC-HCDN-VOL-022
VOL-HCDN-0278,ERP and Corporate Platforms,Technology,care-gap outreaches,indexed,annual,source-backed candidate,SRC-HCDN-VOL-023
VOL-HCDN-0279,Clinical and Epic AMS,Security,incident tickets,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-024
VOL-HCDN-0280,Payer Platform Operations,Procurement,enhancement backlog,exact,quarterly,needs finance signoff,SRC-HCDN-VOL-025
VOL-HCDN-0281,Data Analytics and AI,HR,claims transactions,range,annual,source-backed candidate,SRC-HCDN-VOL-026
VOL-HCDN-0282,Revenue Cycle Technology,Supply Chain,prior-auth requests,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-027
VOL-HCDN-0283,Cloud Infrastructure and Data Center,Privacy,member calls,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-028
VOL-HCDN-0284,Workplace and Contact Center,Compliance,Epic change requests,exact,annual,source-backed candidate,SRC-HCDN-VOL-029
VOL-HCDN-0285,Security Identity and Compliance,Provider Network,SQL batch jobs,range,monthly,source-backed candidate,SRC-HCDN-VOL-030
VOL-HCDN-0286,Integration and Interoperability,Value-Based Care,BI report executions,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-031
VOL-HCDN-0287,ERP and Corporate Platforms,Clinical Operations,care-gap outreaches,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-032
VOL-HCDN-0288,Clinical and Epic AMS,Revenue Cycle,incident tickets,exact,monthly,needs finance signoff,SRC-HCDN-VOL-033
VOL-HCDN-0289,Payer Platform Operations,Patient Access,enhancement backlog,range,quarterly,source-backed candidate,SRC-HCDN-VOL-034
VOL-HCDN-0290,Data Analytics and AI,Interoperability,claims transactions,indexed,annual,source-backed candidate,SRC-HCDN-VOL-035
VOL-HCDN-0291,Revenue Cycle Technology,Population Health,prior-auth requests,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-036
VOL-HCDN-0292,Cloud Infrastructure and Data Center,Health Plan Operations,member calls,exact,quarterly,source-backed candidate,SRC-HCDN-VOL-037
VOL-HCDN-0293,Workplace and Contact Center,Medicare Advantage,Epic change requests,range,annual,source-backed candidate,SRC-HCDN-VOL-038
VOL-HCDN-0294,Security Identity and Compliance,Claims Operations,SQL batch jobs,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-039
VOL-HCDN-0295,Integration and Interoperability,Utilization Management,BI report executions,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-040
VOL-HCDN-0296,ERP and Corporate Platforms,Member Services,care-gap outreaches,exact,annual,needs finance signoff,SRC-HCDN-VOL-041
VOL-HCDN-0297,Clinical and Epic AMS,Quality and Stars,incident tickets,range,monthly,source-backed candidate,SRC-HCDN-VOL-042
VOL-HCDN-0298,Payer Platform Operations,Risk Adjustment,enhancement backlog,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-043
VOL-HCDN-0299,Data Analytics and AI,Care Management,claims transactions,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-044
VOL-HCDN-0300,Revenue Cycle Technology,Finance,prior-auth requests,exact,monthly,source-backed candidate,SRC-HCDN-VOL-045
VOL-HCDN-0301,Cloud Infrastructure and Data Center,Coding,member calls,range,quarterly,source-backed candidate,SRC-HCDN-VOL-046
VOL-HCDN-0302,Workplace and Contact Center,Payer Contracting,Epic change requests,indexed,annual,source-backed candidate,SRC-HCDN-VOL-047
VOL-HCDN-0303,Security Identity and Compliance,Digital Front Door,SQL batch jobs,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-048
VOL-HCDN-0304,Integration and Interoperability,Contact Center,BI report executions,exact,quarterly,needs finance signoff,SRC-HCDN-VOL-049
VOL-HCDN-0305,ERP and Corporate Platforms,Ambulatory Care,care-gap outreaches,range,annual,source-backed candidate,SRC-HCDN-VOL-050
VOL-HCDN-0306,Clinical and Epic AMS,Emergency Department,incident tickets,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-051
VOL-HCDN-0307,Payer Platform Operations,Inpatient,enhancement backlog,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-052
VOL-HCDN-0308,Data Analytics and AI,Surgery,claims transactions,exact,annual,source-backed candidate,SRC-HCDN-VOL-053
VOL-HCDN-0309,Revenue Cycle Technology,Imaging,prior-auth requests,range,monthly,source-backed candidate,SRC-HCDN-VOL-054
VOL-HCDN-0310,Cloud Infrastructure and Data Center,Lab,member calls,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-055
VOL-HCDN-0311,Workplace and Contact Center,Pharmacy,Epic change requests,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-056
VOL-HCDN-0312,Security Identity and Compliance,Oncology,SQL batch jobs,exact,monthly,needs finance signoff,SRC-HCDN-VOL-057
VOL-HCDN-0313,Integration and Interoperability,Cardiology,BI report executions,range,quarterly,source-backed candidate,SRC-HCDN-VOL-058
VOL-HCDN-0314,ERP and Corporate Platforms,Data and Analytics,care-gap outreaches,indexed,annual,source-backed candidate,SRC-HCDN-VOL-059
VOL-HCDN-0315,Clinical and Epic AMS,Clinical Analytics,incident tickets,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-060
VOL-HCDN-0316,Payer Platform Operations,Actuarial,enhancement backlog,exact,quarterly,source-backed candidate,SRC-HCDN-VOL-061
VOL-HCDN-0317,Data Analytics and AI,Departmental Reporting,claims transactions,range,annual,source-backed candidate,SRC-HCDN-VOL-062
VOL-HCDN-0318,Revenue Cycle Technology,AI Transformation,prior-auth requests,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-063
VOL-HCDN-0319,Cloud Infrastructure and Data Center,Technology,member calls,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-064
VOL-HCDN-0320,Workplace and Contact Center,Security,Epic change requests,exact,annual,needs finance signoff,SRC-HCDN-VOL-001
VOL-HCDN-0321,Security Identity and Compliance,Procurement,SQL batch jobs,range,monthly,source-backed candidate,SRC-HCDN-VOL-002
VOL-HCDN-0322,Integration and Interoperability,HR,BI report executions,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-003
VOL-HCDN-0323,ERP and Corporate Platforms,Supply Chain,care-gap outreaches,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-004
VOL-HCDN-0324,Clinical and Epic AMS,Privacy,incident tickets,exact,monthly,source-backed candidate,SRC-HCDN-VOL-005
VOL-HCDN-0325,Payer Platform Operations,Compliance,enhancement backlog,range,quarterly,source-backed candidate,SRC-HCDN-VOL-006
VOL-HCDN-0326,Data Analytics and AI,Provider Network,claims transactions,indexed,annual,source-backed candidate,SRC-HCDN-VOL-007
VOL-HCDN-0327,Revenue Cycle Technology,Value-Based Care,prior-auth requests,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-008
VOL-HCDN-0328,Cloud Infrastructure and Data Center,Clinical Operations,member calls,exact,quarterly,needs finance signoff,SRC-HCDN-VOL-009
VOL-HCDN-0329,Workplace and Contact Center,Revenue Cycle,Epic change requests,range,annual,source-backed candidate,SRC-HCDN-VOL-010
VOL-HCDN-0330,Security Identity and Compliance,Patient Access,SQL batch jobs,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-011
VOL-HCDN-0331,Integration and Interoperability,Interoperability,BI report executions,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-012
VOL-HCDN-0332,ERP and Corporate Platforms,Population Health,care-gap outreaches,exact,annual,source-backed candidate,SRC-HCDN-VOL-013
VOL-HCDN-0333,Clinical and Epic AMS,Health Plan Operations,incident tickets,range,monthly,source-backed candidate,SRC-HCDN-VOL-014
VOL-HCDN-0334,Payer Platform Operations,Medicare Advantage,enhancement backlog,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-015
VOL-HCDN-0335,Data Analytics and AI,Claims Operations,claims transactions,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-016
VOL-HCDN-0336,Revenue Cycle Technology,Utilization Management,prior-auth requests,exact,monthly,needs finance signoff,SRC-HCDN-VOL-017
VOL-HCDN-0337,Cloud Infrastructure and Data Center,Member Services,member calls,range,quarterly,source-backed candidate,SRC-HCDN-VOL-018
VOL-HCDN-0338,Workplace and Contact Center,Quality and Stars,Epic change requests,indexed,annual,source-backed candidate,SRC-HCDN-VOL-019
VOL-HCDN-0339,Security Identity and Compliance,Risk Adjustment,SQL batch jobs,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-020
VOL-HCDN-0340,Integration and Interoperability,Care Management,BI report executions,exact,quarterly,source-backed candidate,SRC-HCDN-VOL-021
VOL-HCDN-0341,ERP and Corporate Platforms,Finance,care-gap outreaches,range,annual,source-backed candidate,SRC-HCDN-VOL-022
VOL-HCDN-0342,Clinical and Epic AMS,Coding,incident tickets,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-023
VOL-HCDN-0343,Payer Platform Operations,Payer Contracting,enhancement backlog,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-024
VOL-HCDN-0344,Data Analytics and AI,Digital Front Door,claims transactions,exact,annual,needs finance signoff,SRC-HCDN-VOL-025
VOL-HCDN-0345,Revenue Cycle Technology,Contact Center,prior-auth requests,range,monthly,source-backed candidate,SRC-HCDN-VOL-026
VOL-HCDN-0346,Cloud Infrastructure and Data Center,Ambulatory Care,member calls,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-027
VOL-HCDN-0347,Workplace and Contact Center,Emergency Department,Epic change requests,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-028
VOL-HCDN-0348,Security Identity and Compliance,Inpatient,SQL batch jobs,exact,monthly,source-backed candidate,SRC-HCDN-VOL-029
VOL-HCDN-0349,Integration and Interoperability,Surgery,BI report executions,range,quarterly,source-backed candidate,SRC-HCDN-VOL-030
VOL-HCDN-0350,ERP and Corporate Platforms,Imaging,care-gap outreaches,indexed,annual,source-backed candidate,SRC-HCDN-VOL-031
VOL-HCDN-0351,Clinical and Epic AMS,Lab,incident tickets,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-032
VOL-HCDN-0352,Payer Platform Operations,Pharmacy,enhancement backlog,exact,quarterly,needs finance signoff,SRC-HCDN-VOL-033
VOL-HCDN-0353,Data Analytics and AI,Oncology,claims transactions,range,annual,source-backed candidate,SRC-HCDN-VOL-034
VOL-HCDN-0354,Revenue Cycle Technology,Cardiology,prior-auth requests,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-035
VOL-HCDN-0355,Cloud Infrastructure and Data Center,Data and Analytics,member calls,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-036
VOL-HCDN-0356,Workplace and Contact Center,Clinical Analytics,Epic change requests,exact,annual,source-backed candidate,SRC-HCDN-VOL-037
VOL-HCDN-0357,Security Identity and Compliance,Actuarial,SQL batch jobs,range,monthly,source-backed candidate,SRC-HCDN-VOL-038
VOL-HCDN-0358,Integration and Interoperability,Departmental Reporting,BI report executions,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-039
VOL-HCDN-0359,ERP and Corporate Platforms,AI Transformation,care-gap outreaches,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-040
VOL-HCDN-0360,Clinical and Epic AMS,Technology,incident tickets,exact,monthly,needs finance signoff,SRC-HCDN-VOL-041
