pricing_line_id,proposal_id,lot_id,service_tower,bidder,role_family,delivery_location,level,unit,value_disclosure_mode,evidence_state
PRICE-HCDN-LOT-HCDN-04-C-07,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,C,data engineer,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-C-08,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,C,cloud engineer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-04-C-09,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,C,service desk analyst,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-C-10,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,C,security engineer,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-C-11,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,C,integration engineer,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-C-12,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,C,revenue-cycle analyst,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-05-A-01,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,A,service desk analyst,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-A-02,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,A,security engineer,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-A-03,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,A,integration engineer,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-A-04,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,A,revenue-cycle analyst,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-05-A-05,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,A,Epic analyst,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-A-06,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,A,SQL/BI engineer,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-A-07,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,A,claims ops analyst,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-A-08,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,A,UM nurse reviewer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-05-A-09,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,A,data engineer,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-A-10,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,A,cloud engineer,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-A-11,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,A,service desk analyst,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-A-12,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,A,security engineer,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-05-B-01,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,B,security engineer,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-B-02,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,B,integration engineer,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-B-03,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,B,revenue-cycle analyst,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-B-04,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,B,Epic analyst,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-05-B-05,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,B,SQL/BI engineer,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-B-06,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,B,claims ops analyst,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-B-07,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,B,UM nurse reviewer,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-B-08,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,B,data engineer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-05-B-09,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,B,cloud engineer,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-B-10,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,B,service desk analyst,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-B-11,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,B,security engineer,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-B-12,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,B,integration engineer,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-05-C-01,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,C,integration engineer,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-C-02,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,C,revenue-cycle analyst,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-C-03,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,C,Epic analyst,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-C-04,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,C,SQL/BI engineer,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-05-C-05,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,C,claims ops analyst,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-C-06,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,C,UM nurse reviewer,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-C-07,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,C,data engineer,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-C-08,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,C,cloud engineer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-05-C-09,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,C,service desk analyst,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-C-10,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,C,security engineer,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-C-11,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,C,integration engineer,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-05-C-12,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,C,revenue-cycle analyst,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-06-A-01,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,A,service desk analyst,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-A-02,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,A,security engineer,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-A-03,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,A,integration engineer,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-A-04,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,A,revenue-cycle analyst,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-06-A-05,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,A,Epic analyst,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-A-06,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,A,SQL/BI engineer,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-A-07,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,A,claims ops analyst,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-A-08,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,A,UM nurse reviewer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-06-A-09,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,A,data engineer,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-A-10,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,A,cloud engineer,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-A-11,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,A,service desk analyst,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-A-12,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,A,security engineer,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-06-B-01,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,B,security engineer,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-B-02,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,B,integration engineer,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-B-03,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,B,revenue-cycle analyst,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-B-04,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,B,Epic analyst,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-06-B-05,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,B,SQL/BI engineer,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-B-06,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,B,claims ops analyst,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-B-07,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,B,UM nurse reviewer,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-B-08,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,B,data engineer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-06-B-09,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,B,cloud engineer,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-B-10,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,B,service desk analyst,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-B-11,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,B,security engineer,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-B-12,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,B,integration engineer,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-06-C-01,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,C,integration engineer,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-C-02,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,C,revenue-cycle analyst,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-C-03,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,C,Epic analyst,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-C-04,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,C,SQL/BI engineer,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-06-C-05,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,C,claims ops analyst,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-C-06,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,C,UM nurse reviewer,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-C-07,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,C,data engineer,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-C-08,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,C,cloud engineer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-06-C-09,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,C,service desk analyst,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-C-10,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,C,security engineer,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-C-11,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,C,integration engineer,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-06-C-12,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,C,revenue-cycle analyst,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-07-A-01,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,A,service desk analyst,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-A-02,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,A,security engineer,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-A-03,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,A,integration engineer,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-A-04,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,A,revenue-cycle analyst,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-07-A-05,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,A,Epic analyst,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-A-06,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,A,SQL/BI engineer,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-A-07,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,A,claims ops analyst,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-A-08,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,A,UM nurse reviewer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-07-A-09,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,A,data engineer,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-A-10,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,A,cloud engineer,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-A-11,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,A,service desk analyst,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-A-12,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,A,security engineer,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-07-B-01,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,B,security engineer,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-B-02,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,B,integration engineer,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-B-03,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,B,revenue-cycle analyst,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-B-04,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,B,Epic analyst,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-07-B-05,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,B,SQL/BI engineer,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-B-06,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,B,claims ops analyst,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-B-07,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,B,UM nurse reviewer,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-B-08,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,B,data engineer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-07-B-09,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,B,cloud engineer,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-B-10,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,B,service desk analyst,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-B-11,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,B,security engineer,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-B-12,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,B,integration engineer,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-07-C-01,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,C,integration engineer,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-C-02,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,C,revenue-cycle analyst,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-C-03,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,C,Epic analyst,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-C-04,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,C,SQL/BI engineer,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-07-C-05,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,C,claims ops analyst,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-C-06,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,C,UM nurse reviewer,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-C-07,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,C,data engineer,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-C-08,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,C,cloud engineer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-07-C-09,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,C,service desk analyst,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-C-10,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,C,security engineer,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-C-11,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,C,integration engineer,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-07-C-12,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,C,revenue-cycle analyst,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-08-A-01,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,A,service desk analyst,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-08-A-02,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,A,security engineer,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-08-A-03,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,A,integration engineer,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-08-A-04,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,A,revenue-cycle analyst,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-08-A-05,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,A,Epic analyst,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-08-A-06,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,A,SQL/BI engineer,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-08-A-07,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,A,claims ops analyst,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-08-A-08,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,A,UM nurse reviewer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-08-A-09,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,A,data engineer,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-08-A-10,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,A,cloud engineer,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-08-A-11,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,A,service desk analyst,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-08-A-12,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,A,security engineer,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-08-B-01,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,B,security engineer,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-08-B-02,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,B,integration engineer,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-08-B-03,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,B,revenue-cycle analyst,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-08-B-04,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,B,Epic analyst,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-08-B-05,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,B,SQL/BI engineer,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-08-B-06,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,B,claims ops analyst,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-08-B-07,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,B,UM nurse reviewer,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-08-B-08,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,B,data engineer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-08-B-09,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,B,cloud engineer,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-08-B-10,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,B,service desk analyst,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-08-B-11,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,B,security engineer,hybrid,L2,outcome,indexed,source-backed candidate
