bafo_response_id,bafo_id,lot_id,service_tower,bafo_question_id,response_status,response_effect,source_id
BAFOR-HCDN-LOT-HCDN-08-B-01,BAFO-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,BAFOQ-HCDN-LOT-HCDN-08-B-01,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-08-B-02,BAFO-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,BAFOQ-HCDN-LOT-HCDN-08-B-02,rejected,commitment clarified,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-08-B-03,BAFO-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,BAFOQ-HCDN-LOT-HCDN-08-B-03,alternative offered,requires contract language,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-08-B-04,BAFO-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,BAFOQ-HCDN-LOT-HCDN-08-B-04,accepted,pricing improved,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-08-B-05,BAFO-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,BAFOQ-HCDN-LOT-HCDN-08-B-05,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-08-C-01,BAFO-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,BAFOQ-HCDN-LOT-HCDN-08-C-01,partially accepted,risk remains,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-08-C-02,BAFO-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,BAFOQ-HCDN-LOT-HCDN-08-C-02,rejected,commitment clarified,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-08-C-03,BAFO-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,BAFOQ-HCDN-LOT-HCDN-08-C-03,alternative offered,requires contract language,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-08-C-04,BAFO-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,BAFOQ-HCDN-LOT-HCDN-08-C-04,accepted,pricing improved,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-08-C-05,BAFO-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,BAFOQ-HCDN-LOT-HCDN-08-C-05,partially accepted,risk remains,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-09-A-01,BAFO-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,BAFOQ-HCDN-LOT-HCDN-09-A-01,partially accepted,risk remains,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-09-A-02,BAFO-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,BAFOQ-HCDN-LOT-HCDN-09-A-02,rejected,commitment clarified,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-09-A-03,BAFO-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,BAFOQ-HCDN-LOT-HCDN-09-A-03,alternative offered,requires contract language,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-09-A-04,BAFO-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,BAFOQ-HCDN-LOT-HCDN-09-A-04,accepted,pricing improved,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-09-A-05,BAFO-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,BAFOQ-HCDN-LOT-HCDN-09-A-05,partially accepted,risk remains,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-09-B-01,BAFO-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,BAFOQ-HCDN-LOT-HCDN-09-B-01,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-09-B-02,BAFO-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,BAFOQ-HCDN-LOT-HCDN-09-B-02,rejected,commitment clarified,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-09-B-03,BAFO-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,BAFOQ-HCDN-LOT-HCDN-09-B-03,alternative offered,requires contract language,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-09-B-04,BAFO-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,BAFOQ-HCDN-LOT-HCDN-09-B-04,accepted,pricing improved,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-09-B-05,BAFO-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,BAFOQ-HCDN-LOT-HCDN-09-B-05,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-09-C-01,BAFO-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,BAFOQ-HCDN-LOT-HCDN-09-C-01,partially accepted,risk remains,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-09-C-02,BAFO-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,BAFOQ-HCDN-LOT-HCDN-09-C-02,rejected,commitment clarified,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-09-C-03,BAFO-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,BAFOQ-HCDN-LOT-HCDN-09-C-03,alternative offered,requires contract language,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-09-C-04,BAFO-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,BAFOQ-HCDN-LOT-HCDN-09-C-04,accepted,pricing improved,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-09-C-05,BAFO-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,BAFOQ-HCDN-LOT-HCDN-09-C-05,partially accepted,risk remains,SRC-HCDN-BAFO-C
