application_id,application_name,family,family_code,business_function,application_type,hosting_model,technology_stack,environment,criticality,service_tower,vendor_id,contract_id,evidence_gap,roadmap_disposition
APP-HCDN-00186,Epic Chronicles nonproduction 09,Epic clinical and revenue-cycle footprint,EPIC,Clinical Operations,shadow reporting,Azure foundation workload,Epic Chronicles,nonproduction,medium,Revenue Cycle Technology,VEND-HCDN-187,CONT-HCDN-0187,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00187,Epic Clarity reporting 09,Epic clinical and revenue-cycle footprint,EPIC,Data and Analytics,legacy inherited app,AWS future-agentic candidate,Epic Clarity,test,critical,Workplace and Contact Center,VEND-HCDN-188,CONT-HCDN-0188,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00188,Epic Caboodle extract 09,Epic clinical and revenue-cycle footprint,EPIC,Data and Analytics,modernization target,Oracle/UNIX estate,Epic Caboodle,DR,high,Integration and Interoperability,VEND-HCDN-189,CONT-HCDN-0189,source-backed candidate,current
APP-HCDN-00189,Epic Cogito upgrade 09,Epic clinical and revenue-cycle footprint,EPIC,Clinical Analytics,system of record,edge/clinic footprint,Epic Cogito,development,medium,Clinical and Epic AMS,VEND-HCDN-190,CONT-HCDN-0190,lineage or ownership conflict,current
APP-HCDN-00190,Epic Healthy Planet production 09,Epic clinical and revenue-cycle footprint,EPIC,Population Health,critical workflow,on-prem data center,Epic Healthy Planet,production,medium,Data Analytics and AI,VEND-HCDN-191,CONT-HCDN-0191,source-backed candidate,current
APP-HCDN-00191,Epic Resolute HB nonproduction 09,Epic clinical and revenue-cycle footprint,EPIC,Revenue Cycle,departmental mart app,Azure foundation workload,Epic Resolute HB,nonproduction,medium,Cloud Infrastructure and Data Center,VEND-HCDN-192,CONT-HCDN-0192,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00192,Epic Resolute PB reporting 09,Epic clinical and revenue-cycle footprint,EPIC,Revenue Cycle,reporting platform,AWS future-agentic candidate,Epic Resolute PB,test,high,Security Identity and Compliance,VEND-HCDN-193,CONT-HCDN-0193,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00193,Epic Cadence extract 09,Epic clinical and revenue-cycle footprint,EPIC,Patient Access,integration runtime,Oracle/UNIX estate,Epic Cadence,DR,medium,ERP and Corporate Platforms,VEND-HCDN-194,CONT-HCDN-0194,source-backed candidate,current
APP-HCDN-00194,Epic Prelude upgrade 09,Epic clinical and revenue-cycle footprint,EPIC,Patient Access,AI/use-case platform,edge/clinic footprint,Epic Prelude,development,medium,Payer Platform Operations,VEND-HCDN-195,CONT-HCDN-0195,source-backed candidate,current
APP-HCDN-00195,Epic Grand Central production 09,Epic clinical and revenue-cycle footprint,EPIC,Bed Management,shadow reporting,on-prem data center,Epic Grand Central,production,medium,Revenue Cycle Technology,VEND-HCDN-196,CONT-HCDN-0196,stale/duplicate candidate,current
APP-HCDN-00196,Epic Willow nonproduction 09,Epic clinical and revenue-cycle footprint,EPIC,Pharmacy,legacy inherited app,Azure foundation workload,Epic Willow,nonproduction,high,Workplace and Contact Center,VEND-HCDN-197,CONT-HCDN-0197,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00197,Epic Beacon reporting 09,Epic clinical and revenue-cycle footprint,EPIC,Oncology,modernization target,AWS future-agentic candidate,Epic Beacon,test,medium,Integration and Interoperability,VEND-HCDN-198,CONT-HCDN-0198,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00198,Epic Radiant extract 09,Epic clinical and revenue-cycle footprint,EPIC,Imaging,system of record,Oracle/UNIX estate,Epic Radiant,DR,critical,Clinical and Epic AMS,VEND-HCDN-199,CONT-HCDN-0199,lineage or ownership conflict,current
APP-HCDN-00199,Epic Cupid upgrade 09,Epic clinical and revenue-cycle footprint,EPIC,Cardiology,critical workflow,edge/clinic footprint,Epic Cupid,development,medium,Data Analytics and AI,VEND-HCDN-200,CONT-HCDN-0200,source-backed candidate,current
APP-HCDN-00200,Epic OpTime production 09,Epic clinical and revenue-cycle footprint,EPIC,Surgery,departmental mart app,on-prem data center,Epic OpTime,production,high,Cloud Infrastructure and Data Center,VEND-HCDN-201,CONT-HCDN-0201,source-backed candidate,current
APP-HCDN-00201,Epic Anesthesia nonproduction 09,Epic clinical and revenue-cycle footprint,EPIC,Surgery,reporting platform,Azure foundation workload,Epic Anesthesia,nonproduction,medium,Security Identity and Compliance,VEND-HCDN-202,CONT-HCDN-0202,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00202,Epic ASAP reporting 09,Epic clinical and revenue-cycle footprint,EPIC,Emergency Department,integration runtime,AWS future-agentic candidate,Epic ASAP,test,medium,ERP and Corporate Platforms,VEND-HCDN-203,CONT-HCDN-0203,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00203,Epic Ambulatory extract 09,Epic clinical and revenue-cycle footprint,EPIC,Ambulatory Care,AI/use-case platform,Oracle/UNIX estate,Epic Ambulatory,DR,medium,Payer Platform Operations,VEND-HCDN-204,CONT-HCDN-0204,source-backed candidate,current
APP-HCDN-00204,Epic MyChart upgrade 09,Epic clinical and revenue-cycle footprint,EPIC,Digital Front Door,shadow reporting,edge/clinic footprint,Epic MyChart,development,high,Revenue Cycle Technology,VEND-HCDN-205,CONT-HCDN-0205,source-backed candidate,current
APP-HCDN-00205,Epic Care Everywhere production 09,Epic clinical and revenue-cycle footprint,EPIC,Interoperability,legacy inherited app,on-prem data center,Epic Care Everywhere,production,medium,Workplace and Contact Center,VEND-HCDN-206,CONT-HCDN-0206,source-backed candidate,current
APP-HCDN-00206,Epic Bridges nonproduction 09,Epic clinical and revenue-cycle footprint,EPIC,Integration Services,modernization target,Azure foundation workload,Epic Bridges,nonproduction,medium,Integration and Interoperability,VEND-HCDN-207,CONT-HCDN-0207,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00207,Epic Tapestry reporting 09,Epic clinical and revenue-cycle footprint,EPIC,Health Plan Operations,system of record,AWS future-agentic candidate,Epic Tapestry,test,medium,Clinical and Epic AMS,VEND-HCDN-208,CONT-HCDN-0208,lineage or ownership conflict,future AWS agentic/transformation candidate
APP-HCDN-00208,Epic Hyperspace extract 10,Epic clinical and revenue-cycle footprint,EPIC,Clinical Operations,critical workflow,Oracle/UNIX estate,Epic Hyperspace,DR,high,Data Analytics and AI,VEND-HCDN-209,CONT-HCDN-0209,stale/duplicate candidate,current
APP-HCDN-00209,Epic Chronicles upgrade 10,Epic clinical and revenue-cycle footprint,EPIC,Clinical Operations,departmental mart app,edge/clinic footprint,Epic Chronicles,development,critical,Cloud Infrastructure and Data Center,VEND-HCDN-210,CONT-HCDN-0210,source-backed candidate,current
APP-HCDN-00210,Epic Clarity production 10,Epic clinical and revenue-cycle footprint,EPIC,Data and Analytics,reporting platform,on-prem data center,Epic Clarity,production,medium,Security Identity and Compliance,VEND-HCDN-211,CONT-HCDN-0211,source-backed candidate,current
APP-HCDN-00211,"Payer claims, enrollment, UM and member platforms 0001","Payer claims, enrollment, UM and member platforms",PAYER,Medicare Advantage,critical workflow,Azure foundation workload,Databricks lakehouse,nonproduction,medium,Workplace and Contact Center,VEND-HCDN-212,CONT-HCDN-0212,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00212,"Payer claims, enrollment, UM and member platforms 0002","Payer claims, enrollment, UM and member platforms",PAYER,Claims Operations,departmental mart app,AWS future-agentic candidate,AWS data and AI candidate,test,medium,Integration and Interoperability,VEND-HCDN-213,CONT-HCDN-0213,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00213,"Payer claims, enrollment, UM and member platforms 0003","Payer claims, enrollment, UM and member platforms",PAYER,Utilization Management,reporting platform,Oracle/UNIX estate,API/interoperability gateway,DR,medium,Clinical and Epic AMS,VEND-HCDN-214,CONT-HCDN-0214,source-backed candidate,current
APP-HCDN-00214,"Payer claims, enrollment, UM and member platforms 0004","Payer claims, enrollment, UM and member platforms",PAYER,Member Services,integration runtime,edge/clinic footprint,claims-administration platform,development,high,Data Analytics and AI,VEND-HCDN-215,CONT-HCDN-0215,source-backed candidate,current
APP-HCDN-00215,"Payer claims, enrollment, UM and member platforms 0005","Payer claims, enrollment, UM and member platforms",PAYER,Health Plan Operations,AI/use-case platform,on-prem data center,security/IAM stack,production,medium,Cloud Infrastructure and Data Center,VEND-HCDN-216,CONT-HCDN-0216,source-backed candidate,current
APP-HCDN-00216,"Payer claims, enrollment, UM and member platforms 0006","Payer claims, enrollment, UM and member platforms",PAYER,Medicare Advantage,shadow reporting,Azure foundation workload,SQL Server/SSIS/SSAS/SSRS,nonproduction,medium,Security Identity and Compliance,VEND-HCDN-217,CONT-HCDN-0217,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00217,"Payer claims, enrollment, UM and member platforms 0007","Payer claims, enrollment, UM and member platforms",PAYER,Claims Operations,legacy inherited app,AWS future-agentic candidate,Oracle database,test,medium,ERP and Corporate Platforms,VEND-HCDN-218,CONT-HCDN-0218,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00218,"Payer claims, enrollment, UM and member platforms 0008","Payer claims, enrollment, UM and member platforms",PAYER,Utilization Management,modernization target,Oracle/UNIX estate,Access/Excel shadow reporting,DR,high,Payer Platform Operations,VEND-HCDN-219,CONT-HCDN-0219,source-backed candidate,current
APP-HCDN-00219,"Payer claims, enrollment, UM and member platforms 0009","Payer claims, enrollment, UM and member platforms",PAYER,Member Services,system of record,edge/clinic footprint,Power BI Report Server,development,medium,Revenue Cycle Technology,VEND-HCDN-220,CONT-HCDN-0220,lineage or ownership conflict,current
APP-HCDN-00220,"Payer claims, enrollment, UM and member platforms 0010","Payer claims, enrollment, UM and member platforms",PAYER,Health Plan Operations,critical workflow,on-prem data center,Azure data services,production,medium,Workplace and Contact Center,VEND-HCDN-221,CONT-HCDN-0221,source-backed candidate,current
APP-HCDN-00221,"Payer claims, enrollment, UM and member platforms 0011","Payer claims, enrollment, UM and member platforms",PAYER,Medicare Advantage,departmental mart app,Azure foundation workload,Java/.NET custom,nonproduction,critical,Integration and Interoperability,VEND-HCDN-222,CONT-HCDN-0222,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00222,"Payer claims, enrollment, UM and member platforms 0012","Payer claims, enrollment, UM and member platforms",PAYER,Claims Operations,reporting platform,AWS future-agentic candidate,HL7/FHIR engine,test,high,Clinical and Epic AMS,VEND-HCDN-223,CONT-HCDN-0223,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00223,"Payer claims, enrollment, UM and member platforms 0013","Payer claims, enrollment, UM and member platforms",PAYER,Utilization Management,integration runtime,Oracle/UNIX estate,care-management platform,DR,medium,Data Analytics and AI,VEND-HCDN-224,CONT-HCDN-0224,stale/duplicate candidate,current
APP-HCDN-00224,"Payer claims, enrollment, UM and member platforms 0014","Payer claims, enrollment, UM and member platforms",PAYER,Member Services,AI/use-case platform,edge/clinic footprint,Epic ecosystem,development,medium,Cloud Infrastructure and Data Center,VEND-HCDN-225,CONT-HCDN-0225,source-backed candidate,current
APP-HCDN-00225,"Payer claims, enrollment, UM and member platforms 0015","Payer claims, enrollment, UM and member platforms",PAYER,Health Plan Operations,shadow reporting,on-prem data center,legacy EDW,production,medium,Security Identity and Compliance,VEND-HCDN-226,CONT-HCDN-0226,source-backed candidate,current
APP-HCDN-00226,"Payer claims, enrollment, UM and member platforms 0016","Payer claims, enrollment, UM and member platforms",PAYER,Medicare Advantage,legacy inherited app,Azure foundation workload,flat-file/SFTP,nonproduction,high,ERP and Corporate Platforms,VEND-HCDN-227,CONT-HCDN-0227,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00227,"Payer claims, enrollment, UM and member platforms 0017","Payer claims, enrollment, UM and member platforms",PAYER,Claims Operations,modernization target,AWS future-agentic candidate,Tableau Server,test,medium,Payer Platform Operations,VEND-HCDN-228,CONT-HCDN-0228,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00228,"Payer claims, enrollment, UM and member platforms 0018","Payer claims, enrollment, UM and member platforms",PAYER,Utilization Management,system of record,Oracle/UNIX estate,Databricks lakehouse,DR,medium,Revenue Cycle Technology,VEND-HCDN-229,CONT-HCDN-0229,lineage or ownership conflict,current
APP-HCDN-00229,"Payer claims, enrollment, UM and member platforms 0019","Payer claims, enrollment, UM and member platforms",PAYER,Member Services,critical workflow,edge/clinic footprint,AWS data and AI candidate,development,medium,Workplace and Contact Center,VEND-HCDN-230,CONT-HCDN-0230,source-backed candidate,current
APP-HCDN-00230,"Payer claims, enrollment, UM and member platforms 0020","Payer claims, enrollment, UM and member platforms",PAYER,Health Plan Operations,departmental mart app,on-prem data center,API/interoperability gateway,production,high,Integration and Interoperability,VEND-HCDN-231,CONT-HCDN-0231,source-backed candidate,current
APP-HCDN-00231,"Payer claims, enrollment, UM and member platforms 0021","Payer claims, enrollment, UM and member platforms",PAYER,Medicare Advantage,reporting platform,Azure foundation workload,claims-administration platform,nonproduction,medium,Clinical and Epic AMS,VEND-HCDN-232,CONT-HCDN-0232,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00232,"Payer claims, enrollment, UM and member platforms 0022","Payer claims, enrollment, UM and member platforms",PAYER,Claims Operations,integration runtime,AWS future-agentic candidate,security/IAM stack,test,critical,Data Analytics and AI,VEND-HCDN-233,CONT-HCDN-0233,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00233,"Payer claims, enrollment, UM and member platforms 0023","Payer claims, enrollment, UM and member platforms",PAYER,Utilization Management,AI/use-case platform,Oracle/UNIX estate,SQL Server/SSIS/SSAS/SSRS,DR,medium,Cloud Infrastructure and Data Center,VEND-HCDN-234,CONT-HCDN-0234,source-backed candidate,current
APP-HCDN-00234,"Payer claims, enrollment, UM and member platforms 0024","Payer claims, enrollment, UM and member platforms",PAYER,Member Services,shadow reporting,edge/clinic footprint,Oracle database,development,high,Security Identity and Compliance,VEND-HCDN-235,CONT-HCDN-0235,source-backed candidate,current
APP-HCDN-00235,"Payer claims, enrollment, UM and member platforms 0025","Payer claims, enrollment, UM and member platforms",PAYER,Health Plan Operations,legacy inherited app,on-prem data center,Access/Excel shadow reporting,production,medium,ERP and Corporate Platforms,VEND-HCDN-236,CONT-HCDN-0236,source-backed candidate,current
APP-HCDN-00236,"Payer claims, enrollment, UM and member platforms 0026","Payer claims, enrollment, UM and member platforms",PAYER,Medicare Advantage,modernization target,Azure foundation workload,Power BI Report Server,nonproduction,medium,Payer Platform Operations,VEND-HCDN-237,CONT-HCDN-0237,stale/duplicate candidate,Azure current foundation/use-case footprint
APP-HCDN-00237,"Payer claims, enrollment, UM and member platforms 0027","Payer claims, enrollment, UM and member platforms",PAYER,Claims Operations,system of record,AWS future-agentic candidate,Azure data services,test,medium,Revenue Cycle Technology,VEND-HCDN-238,CONT-HCDN-0238,lineage or ownership conflict,future AWS agentic/transformation candidate
APP-HCDN-00238,"Payer claims, enrollment, UM and member platforms 0028","Payer claims, enrollment, UM and member platforms",PAYER,Utilization Management,critical workflow,Oracle/UNIX estate,Java/.NET custom,DR,high,Workplace and Contact Center,VEND-HCDN-239,CONT-HCDN-0239,source-backed candidate,current
APP-HCDN-00239,"Payer claims, enrollment, UM and member platforms 0029","Payer claims, enrollment, UM and member platforms",PAYER,Member Services,departmental mart app,edge/clinic footprint,HL7/FHIR engine,development,medium,Integration and Interoperability,VEND-HCDN-240,CONT-HCDN-0240,source-backed candidate,current
APP-HCDN-00240,"Payer claims, enrollment, UM and member platforms 0030","Payer claims, enrollment, UM and member platforms",PAYER,Health Plan Operations,reporting platform,on-prem data center,care-management platform,production,medium,Clinical and Epic AMS,VEND-HCDN-241,CONT-HCDN-0241,source-backed candidate,current
APP-HCDN-00241,"Payer claims, enrollment, UM and member platforms 0031","Payer claims, enrollment, UM and member platforms",PAYER,Medicare Advantage,integration runtime,Azure foundation workload,Epic ecosystem,nonproduction,medium,Data Analytics and AI,VEND-HCDN-242,CONT-HCDN-0242,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00242,"Payer claims, enrollment, UM and member platforms 0032","Payer claims, enrollment, UM and member platforms",PAYER,Claims Operations,AI/use-case platform,AWS future-agentic candidate,legacy EDW,test,high,Cloud Infrastructure and Data Center,VEND-HCDN-243,CONT-HCDN-0243,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00243,"Payer claims, enrollment, UM and member platforms 0033","Payer claims, enrollment, UM and member platforms",PAYER,Utilization Management,shadow reporting,Oracle/UNIX estate,flat-file/SFTP,DR,critical,Security Identity and Compliance,VEND-HCDN-244,CONT-HCDN-0244,source-backed candidate,current
APP-HCDN-00244,"Payer claims, enrollment, UM and member platforms 0034","Payer claims, enrollment, UM and member platforms",PAYER,Member Services,legacy inherited app,edge/clinic footprint,Tableau Server,development,medium,ERP and Corporate Platforms,VEND-HCDN-245,CONT-HCDN-0245,source-backed candidate,current
APP-HCDN-00245,"Payer claims, enrollment, UM and member platforms 0035","Payer claims, enrollment, UM and member platforms",PAYER,Health Plan Operations,modernization target,on-prem data center,Databricks lakehouse,production,medium,Payer Platform Operations,VEND-HCDN-246,CONT-HCDN-0246,source-backed candidate,current
APP-HCDN-00246,"Payer claims, enrollment, UM and member platforms 0036","Payer claims, enrollment, UM and member platforms",PAYER,Medicare Advantage,system of record,Azure foundation workload,AWS data and AI candidate,nonproduction,high,Revenue Cycle Technology,VEND-HCDN-247,CONT-HCDN-0247,lineage or ownership conflict,Azure current foundation/use-case footprint
APP-HCDN-00247,"Payer claims, enrollment, UM and member platforms 0037","Payer claims, enrollment, UM and member platforms",PAYER,Claims Operations,critical workflow,AWS future-agentic candidate,API/interoperability gateway,test,medium,Workplace and Contact Center,VEND-HCDN-248,CONT-HCDN-0248,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00248,"Payer claims, enrollment, UM and member platforms 0038","Payer claims, enrollment, UM and member platforms",PAYER,Utilization Management,departmental mart app,Oracle/UNIX estate,claims-administration platform,DR,medium,Integration and Interoperability,VEND-HCDN-249,CONT-HCDN-0249,source-backed candidate,current
APP-HCDN-00249,"Payer claims, enrollment, UM and member platforms 0039","Payer claims, enrollment, UM and member platforms",PAYER,Member Services,reporting platform,edge/clinic footprint,security/IAM stack,development,medium,Clinical and Epic AMS,VEND-HCDN-250,CONT-HCDN-0250,stale/duplicate candidate,current
APP-HCDN-00250,"Payer claims, enrollment, UM and member platforms 0040","Payer claims, enrollment, UM and member platforms",PAYER,Health Plan Operations,integration runtime,on-prem data center,SQL Server/SSIS/SSAS/SSRS,production,high,Data Analytics and AI,VEND-HCDN-251,CONT-HCDN-0251,source-backed candidate,current
APP-HCDN-00251,"Payer claims, enrollment, UM and member platforms 0041","Payer claims, enrollment, UM and member platforms",PAYER,Medicare Advantage,AI/use-case platform,Azure foundation workload,Oracle database,nonproduction,medium,Cloud Infrastructure and Data Center,VEND-HCDN-252,CONT-HCDN-0252,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00252,"Payer claims, enrollment, UM and member platforms 0042","Payer claims, enrollment, UM and member platforms",PAYER,Claims Operations,shadow reporting,AWS future-agentic candidate,Access/Excel shadow reporting,test,medium,Security Identity and Compliance,VEND-HCDN-253,CONT-HCDN-0253,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00253,"Payer claims, enrollment, UM and member platforms 0043","Payer claims, enrollment, UM and member platforms",PAYER,Utilization Management,legacy inherited app,Oracle/UNIX estate,Power BI Report Server,DR,medium,ERP and Corporate Platforms,VEND-HCDN-254,CONT-HCDN-0254,source-backed candidate,current
APP-HCDN-00254,"Payer claims, enrollment, UM and member platforms 0044","Payer claims, enrollment, UM and member platforms",PAYER,Member Services,modernization target,edge/clinic footprint,Azure data services,development,critical,Payer Platform Operations,VEND-HCDN-255,CONT-HCDN-0255,source-backed candidate,current
APP-HCDN-00255,"Payer claims, enrollment, UM and member platforms 0045","Payer claims, enrollment, UM and member platforms",PAYER,Health Plan Operations,system of record,on-prem data center,Java/.NET custom,production,medium,Revenue Cycle Technology,VEND-HCDN-256,CONT-HCDN-0256,lineage or ownership conflict,current
APP-HCDN-00256,"Payer claims, enrollment, UM and member platforms 0046","Payer claims, enrollment, UM and member platforms",PAYER,Medicare Advantage,critical workflow,Azure foundation workload,HL7/FHIR engine,nonproduction,medium,Workplace and Contact Center,VEND-HCDN-257,CONT-HCDN-0257,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00257,"Payer claims, enrollment, UM and member platforms 0047","Payer claims, enrollment, UM and member platforms",PAYER,Claims Operations,departmental mart app,AWS future-agentic candidate,care-management platform,test,medium,Integration and Interoperability,VEND-HCDN-258,CONT-HCDN-0258,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00258,"Payer claims, enrollment, UM and member platforms 0048","Payer claims, enrollment, UM and member platforms",PAYER,Utilization Management,reporting platform,Oracle/UNIX estate,Epic ecosystem,DR,high,Clinical and Epic AMS,VEND-HCDN-259,CONT-HCDN-0259,source-backed candidate,current
APP-HCDN-00259,"Payer claims, enrollment, UM and member platforms 0049","Payer claims, enrollment, UM and member platforms",PAYER,Member Services,integration runtime,edge/clinic footprint,legacy EDW,development,medium,Data Analytics and AI,VEND-HCDN-260,CONT-HCDN-0260,source-backed candidate,current
APP-HCDN-00260,"Payer claims, enrollment, UM and member platforms 0050","Payer claims, enrollment, UM and member platforms",PAYER,Health Plan Operations,AI/use-case platform,on-prem data center,flat-file/SFTP,production,medium,Cloud Infrastructure and Data Center,VEND-HCDN-261,CONT-HCDN-0261,source-backed candidate,current
APP-HCDN-00261,"Payer claims, enrollment, UM and member platforms 0051","Payer claims, enrollment, UM and member platforms",PAYER,Medicare Advantage,shadow reporting,Azure foundation workload,Tableau Server,nonproduction,medium,Security Identity and Compliance,VEND-HCDN-262,CONT-HCDN-0262,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00262,"Payer claims, enrollment, UM and member platforms 0052","Payer claims, enrollment, UM and member platforms",PAYER,Claims Operations,legacy inherited app,AWS future-agentic candidate,Databricks lakehouse,test,high,ERP and Corporate Platforms,VEND-HCDN-263,CONT-HCDN-0263,stale/duplicate candidate,future AWS agentic/transformation candidate
APP-HCDN-00263,"Payer claims, enrollment, UM and member platforms 0053","Payer claims, enrollment, UM and member platforms",PAYER,Utilization Management,modernization target,Oracle/UNIX estate,AWS data and AI candidate,DR,medium,Payer Platform Operations,VEND-HCDN-264,CONT-HCDN-0264,source-backed candidate,current
APP-HCDN-00264,"Payer claims, enrollment, UM and member platforms 0054","Payer claims, enrollment, UM and member platforms",PAYER,Member Services,system of record,edge/clinic footprint,API/interoperability gateway,development,medium,Revenue Cycle Technology,VEND-HCDN-265,CONT-HCDN-0265,lineage or ownership conflict,current
APP-HCDN-00265,"Payer claims, enrollment, UM and member platforms 0055","Payer claims, enrollment, UM and member platforms",PAYER,Health Plan Operations,critical workflow,on-prem data center,claims-administration platform,production,critical,Workplace and Contact Center,VEND-HCDN-266,CONT-HCDN-0266,source-backed candidate,current
APP-HCDN-00266,"Payer claims, enrollment, UM and member platforms 0056","Payer claims, enrollment, UM and member platforms",PAYER,Medicare Advantage,departmental mart app,Azure foundation workload,security/IAM stack,nonproduction,high,Integration and Interoperability,VEND-HCDN-267,CONT-HCDN-0267,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00267,"Payer claims, enrollment, UM and member platforms 0057","Payer claims, enrollment, UM and member platforms",PAYER,Claims Operations,reporting platform,AWS future-agentic candidate,SQL Server/SSIS/SSAS/SSRS,test,medium,Clinical and Epic AMS,VEND-HCDN-268,CONT-HCDN-0268,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00268,"Payer claims, enrollment, UM and member platforms 0058","Payer claims, enrollment, UM and member platforms",PAYER,Utilization Management,integration runtime,Oracle/UNIX estate,Oracle database,DR,medium,Data Analytics and AI,VEND-HCDN-269,CONT-HCDN-0269,source-backed candidate,current
APP-HCDN-00269,"Payer claims, enrollment, UM and member platforms 0059","Payer claims, enrollment, UM and member platforms",PAYER,Member Services,AI/use-case platform,edge/clinic footprint,Access/Excel shadow reporting,development,medium,Cloud Infrastructure and Data Center,VEND-HCDN-270,CONT-HCDN-0270,source-backed candidate,current
APP-HCDN-00270,"Payer claims, enrollment, UM and member platforms 0060","Payer claims, enrollment, UM and member platforms",PAYER,Health Plan Operations,shadow reporting,on-prem data center,Power BI Report Server,production,high,Security Identity and Compliance,VEND-HCDN-271,CONT-HCDN-0271,source-backed candidate,current
APP-HCDN-00271,"Payer claims, enrollment, UM and member platforms 0061","Payer claims, enrollment, UM and member platforms",PAYER,Medicare Advantage,legacy inherited app,Azure foundation workload,Azure data services,nonproduction,medium,ERP and Corporate Platforms,VEND-HCDN-272,CONT-HCDN-0272,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00272,"Payer claims, enrollment, UM and member platforms 0062","Payer claims, enrollment, UM and member platforms",PAYER,Claims Operations,modernization target,AWS future-agentic candidate,Java/.NET custom,test,medium,Payer Platform Operations,VEND-HCDN-273,CONT-HCDN-0273,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00273,"Payer claims, enrollment, UM and member platforms 0063","Payer claims, enrollment, UM and member platforms",PAYER,Utilization Management,system of record,Oracle/UNIX estate,HL7/FHIR engine,DR,medium,Revenue Cycle Technology,VEND-HCDN-274,CONT-HCDN-0274,lineage or ownership conflict,current
APP-HCDN-00274,"Payer claims, enrollment, UM and member platforms 0064","Payer claims, enrollment, UM and member platforms",PAYER,Member Services,critical workflow,edge/clinic footprint,care-management platform,development,high,Workplace and Contact Center,VEND-HCDN-275,CONT-HCDN-0275,source-backed candidate,current
APP-HCDN-00275,"Payer claims, enrollment, UM and member platforms 0065","Payer claims, enrollment, UM and member platforms",PAYER,Health Plan Operations,departmental mart app,on-prem data center,Epic ecosystem,production,medium,Integration and Interoperability,VEND-HCDN-276,CONT-HCDN-0276,stale/duplicate candidate,current
APP-HCDN-00276,"Payer claims, enrollment, UM and member platforms 0066","Payer claims, enrollment, UM and member platforms",PAYER,Medicare Advantage,reporting platform,Azure foundation workload,legacy EDW,nonproduction,critical,Clinical and Epic AMS,VEND-HCDN-277,CONT-HCDN-0277,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00277,"Payer claims, enrollment, UM and member platforms 0067","Payer claims, enrollment, UM and member platforms",PAYER,Claims Operations,integration runtime,AWS future-agentic candidate,flat-file/SFTP,test,medium,Data Analytics and AI,VEND-HCDN-278,CONT-HCDN-0278,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00278,"Payer claims, enrollment, UM and member platforms 0068","Payer claims, enrollment, UM and member platforms",PAYER,Utilization Management,AI/use-case platform,Oracle/UNIX estate,Tableau Server,DR,high,Cloud Infrastructure and Data Center,VEND-HCDN-279,CONT-HCDN-0279,source-backed candidate,current
APP-HCDN-00279,"Payer claims, enrollment, UM and member platforms 0069","Payer claims, enrollment, UM and member platforms",PAYER,Member Services,shadow reporting,edge/clinic footprint,Databricks lakehouse,development,medium,Security Identity and Compliance,VEND-HCDN-280,CONT-HCDN-0280,source-backed candidate,current
APP-HCDN-00280,"Payer claims, enrollment, UM and member platforms 0070","Payer claims, enrollment, UM and member platforms",PAYER,Health Plan Operations,legacy inherited app,on-prem data center,AWS data and AI candidate,production,medium,ERP and Corporate Platforms,VEND-HCDN-281,CONT-HCDN-0281,source-backed candidate,current
APP-HCDN-00281,"Payer claims, enrollment, UM and member platforms 0071","Payer claims, enrollment, UM and member platforms",PAYER,Medicare Advantage,modernization target,Azure foundation workload,API/interoperability gateway,nonproduction,medium,Payer Platform Operations,VEND-HCDN-282,CONT-HCDN-0282,source-backed candidate,Azure current foundation/use-case footprint
