interface_id,from_application_id,to_application_id,method,frequency,criticality,middleware_pattern,owning_function,evidence_gap,source_id
INT-HCDN-00845,APP-HCDN-00906,APP-HCDN-01017,SSIS package,monthly,standard,data pipeline orchestrator,Oncology,retired/active duplicate,SRC-HCDN-INT-014
INT-HCDN-00846,APP-HCDN-00913,APP-HCDN-01034,Epic Bridges,event-driven,critical,claims EDI gateway,Cardiology,source-backed candidate,SRC-HCDN-INT-015
INT-HCDN-00847,APP-HCDN-00920,APP-HCDN-01051,event stream,nightly batch,standard,FHIR gateway,Data and Analytics,source-backed candidate,SRC-HCDN-INT-016
INT-HCDN-00848,APP-HCDN-00927,APP-HCDN-01068,batch extract,real-time,standard,Epic Bridges,Clinical Analytics,source-backed candidate,SRC-HCDN-INT-017
INT-HCDN-00849,APP-HCDN-00934,APP-HCDN-01085,vendor API,near real-time,high,interface engine,Actuarial,source-backed candidate,SRC-HCDN-INT-018
INT-HCDN-00850,APP-HCDN-00941,APP-HCDN-01102,HL7 v2,hourly,standard,API gateway,Departmental Reporting,source-backed candidate,SRC-HCDN-INT-019
INT-HCDN-00851,APP-HCDN-00948,APP-HCDN-01119,FHIR/API,daily,standard,SFTP hub,AI Transformation,source-backed candidate,SRC-HCDN-INT-020
INT-HCDN-00852,APP-HCDN-00955,APP-HCDN-01136,X12 EDI,weekly,high,SSIS runtime,Technology,ambiguous endpoint name,SRC-HCDN-INT-021
INT-HCDN-00853,APP-HCDN-00962,APP-HCDN-01153,SFTP flat file,monthly,standard,data pipeline orchestrator,Security,source-backed candidate,SRC-HCDN-INT-022
INT-HCDN-00854,APP-HCDN-00969,APP-HCDN-01170,database link,event-driven,standard,claims EDI gateway,Procurement,source-backed candidate,SRC-HCDN-INT-023
INT-HCDN-00855,APP-HCDN-00976,APP-HCDN-01187,SSIS package,nightly batch,critical,FHIR gateway,HR,source-backed candidate,SRC-HCDN-INT-024
INT-HCDN-00856,APP-HCDN-00983,APP-HCDN-01204,Epic Bridges,real-time,standard,Epic Bridges,Supply Chain,source-backed candidate,SRC-HCDN-INT-025
INT-HCDN-00857,APP-HCDN-00990,APP-HCDN-01221,event stream,near real-time,standard,interface engine,Privacy,source-backed candidate,SRC-HCDN-INT-026
INT-HCDN-00858,APP-HCDN-00997,APP-HCDN-01238,batch extract,hourly,high,API gateway,Compliance,retired/active duplicate,SRC-HCDN-INT-027
INT-HCDN-00859,APP-HCDN-01004,APP-HCDN-01255,vendor API,daily,standard,SFTP hub,Provider Network,source-backed candidate,SRC-HCDN-INT-028
INT-HCDN-00860,APP-HCDN-01011,APP-HCDN-01272,HL7 v2,weekly,standard,SSIS runtime,Value-Based Care,source-backed candidate,SRC-HCDN-INT-029
INT-HCDN-00861,APP-HCDN-01018,APP-HCDN-01289,FHIR/API,monthly,high,data pipeline orchestrator,Clinical Operations,source-backed candidate,SRC-HCDN-INT-030
INT-HCDN-00862,APP-HCDN-01025,APP-HCDN-01306,X12 EDI,event-driven,standard,claims EDI gateway,Revenue Cycle,source-backed candidate,SRC-HCDN-INT-031
INT-HCDN-00863,APP-HCDN-01032,APP-HCDN-01323,SFTP flat file,nightly batch,standard,FHIR gateway,Patient Access,source-backed candidate,SRC-HCDN-INT-032
INT-HCDN-00864,APP-HCDN-01039,APP-HCDN-01340,database link,real-time,critical,Epic Bridges,Interoperability,ambiguous endpoint name,SRC-HCDN-INT-033
INT-HCDN-00865,APP-HCDN-01046,APP-HCDN-01357,SSIS package,near real-time,standard,interface engine,Population Health,source-backed candidate,SRC-HCDN-INT-034
INT-HCDN-00866,APP-HCDN-01053,APP-HCDN-01374,Epic Bridges,hourly,standard,API gateway,Health Plan Operations,source-backed candidate,SRC-HCDN-INT-035
INT-HCDN-00867,APP-HCDN-01060,APP-HCDN-01391,event stream,daily,high,SFTP hub,Medicare Advantage,source-backed candidate,SRC-HCDN-INT-036
INT-HCDN-00868,APP-HCDN-01067,APP-HCDN-01408,batch extract,weekly,standard,SSIS runtime,Claims Operations,source-backed candidate,SRC-HCDN-INT-037
INT-HCDN-00869,APP-HCDN-01074,APP-HCDN-01425,vendor API,monthly,standard,data pipeline orchestrator,Utilization Management,source-backed candidate,SRC-HCDN-INT-038
INT-HCDN-00870,APP-HCDN-01081,APP-HCDN-01442,HL7 v2,event-driven,high,claims EDI gateway,Member Services,source-backed candidate,SRC-HCDN-INT-039
INT-HCDN-00871,APP-HCDN-01088,APP-HCDN-01459,FHIR/API,nightly batch,standard,FHIR gateway,Quality and Stars,retired/active duplicate,SRC-HCDN-INT-040
INT-HCDN-00872,APP-HCDN-01095,APP-HCDN-01476,X12 EDI,real-time,standard,Epic Bridges,Risk Adjustment,source-backed candidate,SRC-HCDN-INT-041
INT-HCDN-00873,APP-HCDN-01102,APP-HCDN-01493,SFTP flat file,near real-time,critical,interface engine,Care Management,source-backed candidate,SRC-HCDN-INT-042
INT-HCDN-00874,APP-HCDN-01109,APP-HCDN-01510,database link,hourly,standard,API gateway,Finance,source-backed candidate,SRC-HCDN-INT-043
INT-HCDN-00875,APP-HCDN-01116,APP-HCDN-01527,SSIS package,daily,standard,SFTP hub,Coding,source-backed candidate,SRC-HCDN-INT-044
INT-HCDN-00876,APP-HCDN-01123,APP-HCDN-01544,Epic Bridges,weekly,high,SSIS runtime,Payer Contracting,ambiguous endpoint name,SRC-HCDN-INT-045
INT-HCDN-00877,APP-HCDN-01130,APP-HCDN-01561,event stream,monthly,standard,data pipeline orchestrator,Digital Front Door,source-backed candidate,SRC-HCDN-INT-046
INT-HCDN-00878,APP-HCDN-01137,APP-HCDN-01578,batch extract,event-driven,standard,claims EDI gateway,Contact Center,source-backed candidate,SRC-HCDN-INT-047
INT-HCDN-00879,APP-HCDN-01144,APP-HCDN-01595,vendor API,nightly batch,high,FHIR gateway,Ambulatory Care,source-backed candidate,SRC-HCDN-INT-048
INT-HCDN-00880,APP-HCDN-01151,APP-HCDN-01612,HL7 v2,real-time,standard,Epic Bridges,Emergency Department,source-backed candidate,SRC-HCDN-INT-049
INT-HCDN-00881,APP-HCDN-01158,APP-HCDN-01629,FHIR/API,near real-time,standard,interface engine,Inpatient,source-backed candidate,SRC-HCDN-INT-050
INT-HCDN-00882,APP-HCDN-01165,APP-HCDN-01646,X12 EDI,hourly,critical,API gateway,Surgery,source-backed candidate,SRC-HCDN-INT-051
INT-HCDN-00883,APP-HCDN-01172,APP-HCDN-01663,SFTP flat file,daily,standard,SFTP hub,Imaging,source-backed candidate,SRC-HCDN-INT-052
INT-HCDN-00884,APP-HCDN-01179,APP-HCDN-00010,database link,weekly,standard,SSIS runtime,Lab,retired/active duplicate,SRC-HCDN-INT-053
INT-HCDN-00885,APP-HCDN-01186,APP-HCDN-00027,SSIS package,monthly,high,data pipeline orchestrator,Pharmacy,source-backed candidate,SRC-HCDN-INT-054
INT-HCDN-00886,APP-HCDN-01193,APP-HCDN-00044,Epic Bridges,event-driven,standard,claims EDI gateway,Oncology,source-backed candidate,SRC-HCDN-INT-055
INT-HCDN-00887,APP-HCDN-01200,APP-HCDN-00061,event stream,nightly batch,standard,FHIR gateway,Cardiology,source-backed candidate,SRC-HCDN-INT-056
INT-HCDN-00888,APP-HCDN-01207,APP-HCDN-00078,batch extract,real-time,high,Epic Bridges,Data and Analytics,ambiguous endpoint name,SRC-HCDN-INT-057
INT-HCDN-00889,APP-HCDN-01214,APP-HCDN-00095,vendor API,near real-time,standard,interface engine,Clinical Analytics,source-backed candidate,SRC-HCDN-INT-058
INT-HCDN-00890,APP-HCDN-01221,APP-HCDN-00112,HL7 v2,hourly,standard,API gateway,Actuarial,source-backed candidate,SRC-HCDN-INT-059
INT-HCDN-00891,APP-HCDN-01228,APP-HCDN-00129,FHIR/API,daily,critical,SFTP hub,Departmental Reporting,source-backed candidate,SRC-HCDN-INT-060
INT-HCDN-00892,APP-HCDN-01235,APP-HCDN-00146,X12 EDI,weekly,standard,SSIS runtime,AI Transformation,source-backed candidate,SRC-HCDN-INT-061
INT-HCDN-00893,APP-HCDN-01242,APP-HCDN-00163,SFTP flat file,monthly,standard,data pipeline orchestrator,Technology,source-backed candidate,SRC-HCDN-INT-062
INT-HCDN-00894,APP-HCDN-01249,APP-HCDN-00180,database link,event-driven,high,claims EDI gateway,Security,source-backed candidate,SRC-HCDN-INT-063
INT-HCDN-00895,APP-HCDN-01256,APP-HCDN-00197,SSIS package,nightly batch,standard,FHIR gateway,Procurement,source-backed candidate,SRC-HCDN-INT-064
INT-HCDN-00896,APP-HCDN-01263,APP-HCDN-00214,Epic Bridges,real-time,standard,Epic Bridges,HR,source-backed candidate,SRC-HCDN-INT-001
INT-HCDN-00897,APP-HCDN-01270,APP-HCDN-00231,event stream,near real-time,high,interface engine,Supply Chain,retired/active duplicate,SRC-HCDN-INT-002
INT-HCDN-00898,APP-HCDN-01277,APP-HCDN-00248,batch extract,hourly,standard,API gateway,Privacy,source-backed candidate,SRC-HCDN-INT-003
INT-HCDN-00899,APP-HCDN-01284,APP-HCDN-00265,vendor API,daily,standard,SFTP hub,Compliance,source-backed candidate,SRC-HCDN-INT-004
INT-HCDN-00900,APP-HCDN-01291,APP-HCDN-00282,HL7 v2,weekly,critical,SSIS runtime,Provider Network,ambiguous endpoint name,SRC-HCDN-INT-005
INT-HCDN-00901,APP-HCDN-01298,APP-HCDN-00299,FHIR/API,monthly,standard,data pipeline orchestrator,Value-Based Care,source-backed candidate,SRC-HCDN-INT-006
INT-HCDN-00902,APP-HCDN-01305,APP-HCDN-00316,X12 EDI,event-driven,standard,claims EDI gateway,Clinical Operations,source-backed candidate,SRC-HCDN-INT-007
INT-HCDN-00903,APP-HCDN-01312,APP-HCDN-00333,SFTP flat file,nightly batch,high,FHIR gateway,Revenue Cycle,source-backed candidate,SRC-HCDN-INT-008
INT-HCDN-00904,APP-HCDN-01319,APP-HCDN-00350,database link,real-time,standard,Epic Bridges,Patient Access,source-backed candidate,SRC-HCDN-INT-009
INT-HCDN-00905,APP-HCDN-01326,APP-HCDN-00367,SSIS package,near real-time,standard,interface engine,Interoperability,source-backed candidate,SRC-HCDN-INT-010
INT-HCDN-00906,APP-HCDN-01333,APP-HCDN-00384,Epic Bridges,hourly,high,API gateway,Population Health,source-backed candidate,SRC-HCDN-INT-011
INT-HCDN-00907,APP-HCDN-01340,APP-HCDN-00401,event stream,daily,standard,SFTP hub,Health Plan Operations,source-backed candidate,SRC-HCDN-INT-012
INT-HCDN-00908,APP-HCDN-01347,APP-HCDN-00418,batch extract,weekly,standard,SSIS runtime,Medicare Advantage,source-backed candidate,SRC-HCDN-INT-013
INT-HCDN-00909,APP-HCDN-01354,APP-HCDN-00435,vendor API,monthly,critical,data pipeline orchestrator,Claims Operations,source-backed candidate,SRC-HCDN-INT-014
INT-HCDN-00910,APP-HCDN-01361,APP-HCDN-00452,HL7 v2,event-driven,standard,claims EDI gateway,Utilization Management,retired/active duplicate,SRC-HCDN-INT-015
INT-HCDN-00911,APP-HCDN-01368,APP-HCDN-00469,FHIR/API,nightly batch,standard,FHIR gateway,Member Services,source-backed candidate,SRC-HCDN-INT-016
INT-HCDN-00912,APP-HCDN-01375,APP-HCDN-00486,X12 EDI,real-time,high,Epic Bridges,Quality and Stars,ambiguous endpoint name,SRC-HCDN-INT-017
INT-HCDN-00913,APP-HCDN-01382,APP-HCDN-00503,SFTP flat file,near real-time,standard,interface engine,Risk Adjustment,source-backed candidate,SRC-HCDN-INT-018
INT-HCDN-00914,APP-HCDN-01389,APP-HCDN-00520,database link,hourly,standard,API gateway,Care Management,source-backed candidate,SRC-HCDN-INT-019
INT-HCDN-00915,APP-HCDN-01396,APP-HCDN-00537,SSIS package,daily,high,SFTP hub,Finance,source-backed candidate,SRC-HCDN-INT-020
INT-HCDN-00916,APP-HCDN-01403,APP-HCDN-00554,Epic Bridges,weekly,standard,SSIS runtime,Coding,source-backed candidate,SRC-HCDN-INT-021
INT-HCDN-00917,APP-HCDN-01410,APP-HCDN-00571,event stream,monthly,standard,data pipeline orchestrator,Payer Contracting,source-backed candidate,SRC-HCDN-INT-022
INT-HCDN-00918,APP-HCDN-01417,APP-HCDN-00588,batch extract,event-driven,critical,claims EDI gateway,Digital Front Door,source-backed candidate,SRC-HCDN-INT-023
INT-HCDN-00919,APP-HCDN-01424,APP-HCDN-00605,vendor API,nightly batch,standard,FHIR gateway,Contact Center,source-backed candidate,SRC-HCDN-INT-024
INT-HCDN-00920,APP-HCDN-01431,APP-HCDN-00622,HL7 v2,real-time,standard,Epic Bridges,Ambulatory Care,source-backed candidate,SRC-HCDN-INT-025
INT-HCDN-00921,APP-HCDN-01438,APP-HCDN-00639,FHIR/API,near real-time,high,interface engine,Emergency Department,source-backed candidate,SRC-HCDN-INT-026
INT-HCDN-00922,APP-HCDN-01445,APP-HCDN-00656,X12 EDI,hourly,standard,API gateway,Inpatient,source-backed candidate,SRC-HCDN-INT-027
INT-HCDN-00923,APP-HCDN-01452,APP-HCDN-00673,SFTP flat file,daily,standard,SFTP hub,Surgery,retired/active duplicate,SRC-HCDN-INT-028
INT-HCDN-00924,APP-HCDN-01459,APP-HCDN-00690,database link,weekly,high,SSIS runtime,Imaging,ambiguous endpoint name,SRC-HCDN-INT-029
INT-HCDN-00925,APP-HCDN-01466,APP-HCDN-00707,SSIS package,monthly,standard,data pipeline orchestrator,Lab,source-backed candidate,SRC-HCDN-INT-030
INT-HCDN-00926,APP-HCDN-01473,APP-HCDN-00724,Epic Bridges,event-driven,standard,claims EDI gateway,Pharmacy,source-backed candidate,SRC-HCDN-INT-031
INT-HCDN-00927,APP-HCDN-01480,APP-HCDN-00741,event stream,nightly batch,critical,FHIR gateway,Oncology,source-backed candidate,SRC-HCDN-INT-032
INT-HCDN-00928,APP-HCDN-01487,APP-HCDN-00758,batch extract,real-time,standard,Epic Bridges,Cardiology,source-backed candidate,SRC-HCDN-INT-033
INT-HCDN-00929,APP-HCDN-01494,APP-HCDN-00775,vendor API,near real-time,standard,interface engine,Data and Analytics,source-backed candidate,SRC-HCDN-INT-034
INT-HCDN-00930,APP-HCDN-01501,APP-HCDN-00792,HL7 v2,hourly,high,API gateway,Clinical Analytics,source-backed candidate,SRC-HCDN-INT-035
INT-HCDN-00931,APP-HCDN-01508,APP-HCDN-00809,FHIR/API,daily,standard,SFTP hub,Actuarial,source-backed candidate,SRC-HCDN-INT-036
INT-HCDN-00932,APP-HCDN-01515,APP-HCDN-00826,X12 EDI,weekly,standard,SSIS runtime,Departmental Reporting,source-backed candidate,SRC-HCDN-INT-037
INT-HCDN-00933,APP-HCDN-01522,APP-HCDN-00843,SFTP flat file,monthly,high,data pipeline orchestrator,AI Transformation,source-backed candidate,SRC-HCDN-INT-038
INT-HCDN-00934,APP-HCDN-01529,APP-HCDN-00860,database link,event-driven,standard,claims EDI gateway,Technology,source-backed candidate,SRC-HCDN-INT-039
INT-HCDN-00935,APP-HCDN-01536,APP-HCDN-00877,SSIS package,nightly batch,standard,FHIR gateway,Security,source-backed candidate,SRC-HCDN-INT-040
INT-HCDN-00936,APP-HCDN-01543,APP-HCDN-00894,Epic Bridges,real-time,critical,Epic Bridges,Procurement,ambiguous endpoint name,SRC-HCDN-INT-041
INT-HCDN-00937,APP-HCDN-01550,APP-HCDN-00911,event stream,near real-time,standard,interface engine,HR,source-backed candidate,SRC-HCDN-INT-042
INT-HCDN-00938,APP-HCDN-01557,APP-HCDN-00928,batch extract,hourly,standard,API gateway,Supply Chain,source-backed candidate,SRC-HCDN-INT-043
INT-HCDN-00939,APP-HCDN-01564,APP-HCDN-00945,vendor API,daily,high,SFTP hub,Privacy,source-backed candidate,SRC-HCDN-INT-044
INT-HCDN-00940,APP-HCDN-01571,APP-HCDN-00962,HL7 v2,weekly,standard,SSIS runtime,Compliance,source-backed candidate,SRC-HCDN-INT-045
INT-HCDN-00941,APP-HCDN-01578,APP-HCDN-00979,FHIR/API,monthly,standard,data pipeline orchestrator,Provider Network,source-backed candidate,SRC-HCDN-INT-046
INT-HCDN-00942,APP-HCDN-01585,APP-HCDN-00996,X12 EDI,event-driven,high,claims EDI gateway,Value-Based Care,source-backed candidate,SRC-HCDN-INT-047
INT-HCDN-00943,APP-HCDN-01592,APP-HCDN-01013,SFTP flat file,nightly batch,standard,FHIR gateway,Clinical Operations,source-backed candidate,SRC-HCDN-INT-048
INT-HCDN-00944,APP-HCDN-01599,APP-HCDN-01030,database link,real-time,standard,Epic Bridges,Revenue Cycle,source-backed candidate,SRC-HCDN-INT-049
INT-HCDN-00945,APP-HCDN-01606,APP-HCDN-01047,SSIS package,near real-time,critical,interface engine,Patient Access,source-backed candidate,SRC-HCDN-INT-050
INT-HCDN-00946,APP-HCDN-01613,APP-HCDN-01064,Epic Bridges,hourly,standard,API gateway,Interoperability,source-backed candidate,SRC-HCDN-INT-051
INT-HCDN-00947,APP-HCDN-01620,APP-HCDN-01081,event stream,daily,standard,SFTP hub,Population Health,source-backed candidate,SRC-HCDN-INT-052
INT-HCDN-00948,APP-HCDN-01627,APP-HCDN-01098,batch extract,weekly,high,SSIS runtime,Health Plan Operations,ambiguous endpoint name,SRC-HCDN-INT-053
INT-HCDN-00949,APP-HCDN-01634,APP-HCDN-01115,vendor API,monthly,standard,data pipeline orchestrator,Medicare Advantage,retired/active duplicate,SRC-HCDN-INT-054
INT-HCDN-00950,APP-HCDN-01641,APP-HCDN-01132,HL7 v2,event-driven,standard,claims EDI gateway,Claims Operations,source-backed candidate,SRC-HCDN-INT-055
INT-HCDN-00951,APP-HCDN-01648,APP-HCDN-01149,FHIR/API,nightly batch,high,FHIR gateway,Utilization Management,source-backed candidate,SRC-HCDN-INT-056
INT-HCDN-00952,APP-HCDN-01655,APP-HCDN-01166,X12 EDI,real-time,standard,Epic Bridges,Member Services,source-backed candidate,SRC-HCDN-INT-057
INT-HCDN-00953,APP-HCDN-01662,APP-HCDN-01183,SFTP flat file,near real-time,standard,interface engine,Quality and Stars,source-backed candidate,SRC-HCDN-INT-058
INT-HCDN-00954,APP-HCDN-01669,APP-HCDN-01200,database link,hourly,critical,API gateway,Risk Adjustment,source-backed candidate,SRC-HCDN-INT-059
INT-HCDN-00955,APP-HCDN-00006,APP-HCDN-01217,SSIS package,daily,standard,SFTP hub,Care Management,source-backed candidate,SRC-HCDN-INT-060
INT-HCDN-00956,APP-HCDN-00013,APP-HCDN-01234,Epic Bridges,weekly,standard,SSIS runtime,Finance,source-backed candidate,SRC-HCDN-INT-061
INT-HCDN-00957,APP-HCDN-00020,APP-HCDN-01251,event stream,monthly,high,data pipeline orchestrator,Coding,source-backed candidate,SRC-HCDN-INT-062
INT-HCDN-00958,APP-HCDN-00027,APP-HCDN-01268,batch extract,event-driven,standard,claims EDI gateway,Payer Contracting,source-backed candidate,SRC-HCDN-INT-063
INT-HCDN-00959,APP-HCDN-00034,APP-HCDN-01285,vendor API,nightly batch,standard,FHIR gateway,Digital Front Door,source-backed candidate,SRC-HCDN-INT-064
INT-HCDN-00960,APP-HCDN-00041,APP-HCDN-01302,HL7 v2,real-time,high,Epic Bridges,Contact Center,ambiguous endpoint name,SRC-HCDN-INT-001
INT-HCDN-00961,APP-HCDN-00048,APP-HCDN-01319,FHIR/API,near real-time,standard,interface engine,Ambulatory Care,source-backed candidate,SRC-HCDN-INT-002
INT-HCDN-00962,APP-HCDN-00055,APP-HCDN-01336,X12 EDI,hourly,standard,API gateway,Emergency Department,retired/active duplicate,SRC-HCDN-INT-003
INT-HCDN-00963,APP-HCDN-00062,APP-HCDN-01353,SFTP flat file,daily,critical,SFTP hub,Inpatient,source-backed candidate,SRC-HCDN-INT-004
INT-HCDN-00964,APP-HCDN-00069,APP-HCDN-01370,database link,weekly,standard,SSIS runtime,Surgery,source-backed candidate,SRC-HCDN-INT-005
INT-HCDN-00965,APP-HCDN-00076,APP-HCDN-01387,SSIS package,monthly,standard,data pipeline orchestrator,Imaging,source-backed candidate,SRC-HCDN-INT-006
INT-HCDN-00966,APP-HCDN-00083,APP-HCDN-01404,Epic Bridges,event-driven,high,claims EDI gateway,Lab,source-backed candidate,SRC-HCDN-INT-007
INT-HCDN-00967,APP-HCDN-00090,APP-HCDN-01421,event stream,nightly batch,standard,FHIR gateway,Pharmacy,source-backed candidate,SRC-HCDN-INT-008
INT-HCDN-00968,APP-HCDN-00097,APP-HCDN-01438,batch extract,real-time,standard,Epic Bridges,Oncology,source-backed candidate,SRC-HCDN-INT-009
INT-HCDN-00969,APP-HCDN-00104,APP-HCDN-01455,vendor API,near real-time,high,interface engine,Cardiology,source-backed candidate,SRC-HCDN-INT-010
INT-HCDN-00970,APP-HCDN-00111,APP-HCDN-01472,HL7 v2,hourly,standard,API gateway,Data and Analytics,source-backed candidate,SRC-HCDN-INT-011
INT-HCDN-00971,APP-HCDN-00118,APP-HCDN-01489,FHIR/API,daily,standard,SFTP hub,Clinical Analytics,source-backed candidate,SRC-HCDN-INT-012
INT-HCDN-00972,APP-HCDN-00125,APP-HCDN-01506,X12 EDI,weekly,critical,SSIS runtime,Actuarial,ambiguous endpoint name,SRC-HCDN-INT-013
INT-HCDN-00973,APP-HCDN-00132,APP-HCDN-01523,SFTP flat file,monthly,standard,data pipeline orchestrator,Departmental Reporting,source-backed candidate,SRC-HCDN-INT-014
INT-HCDN-00974,APP-HCDN-00139,APP-HCDN-01540,database link,event-driven,standard,claims EDI gateway,AI Transformation,source-backed candidate,SRC-HCDN-INT-015
INT-HCDN-00975,APP-HCDN-00146,APP-HCDN-01557,SSIS package,nightly batch,high,FHIR gateway,Technology,retired/active duplicate,SRC-HCDN-INT-016
INT-HCDN-00976,APP-HCDN-00153,APP-HCDN-01574,Epic Bridges,real-time,standard,Epic Bridges,Security,source-backed candidate,SRC-HCDN-INT-017
INT-HCDN-00977,APP-HCDN-00160,APP-HCDN-01591,event stream,near real-time,standard,interface engine,Procurement,source-backed candidate,SRC-HCDN-INT-018
INT-HCDN-00978,APP-HCDN-00167,APP-HCDN-01608,batch extract,hourly,high,API gateway,HR,source-backed candidate,SRC-HCDN-INT-019
INT-HCDN-00979,APP-HCDN-00174,APP-HCDN-01625,vendor API,daily,standard,SFTP hub,Supply Chain,source-backed candidate,SRC-HCDN-INT-020
INT-HCDN-00980,APP-HCDN-00181,APP-HCDN-01642,HL7 v2,weekly,standard,SSIS runtime,Privacy,source-backed candidate,SRC-HCDN-INT-021
INT-HCDN-00981,APP-HCDN-00188,APP-HCDN-01659,FHIR/API,monthly,critical,data pipeline orchestrator,Compliance,source-backed candidate,SRC-HCDN-INT-022
INT-HCDN-00982,APP-HCDN-00195,APP-HCDN-00006,X12 EDI,event-driven,standard,claims EDI gateway,Provider Network,source-backed candidate,SRC-HCDN-INT-023
INT-HCDN-00983,APP-HCDN-00202,APP-HCDN-00023,SFTP flat file,nightly batch,standard,FHIR gateway,Value-Based Care,source-backed candidate,SRC-HCDN-INT-024
INT-HCDN-00984,APP-HCDN-00209,APP-HCDN-00040,database link,real-time,high,Epic Bridges,Clinical Operations,ambiguous endpoint name,SRC-HCDN-INT-025
INT-HCDN-00985,APP-HCDN-00216,APP-HCDN-00057,SSIS package,near real-time,standard,interface engine,Revenue Cycle,source-backed candidate,SRC-HCDN-INT-026
INT-HCDN-00986,APP-HCDN-00223,APP-HCDN-00074,Epic Bridges,hourly,standard,API gateway,Patient Access,source-backed candidate,SRC-HCDN-INT-027
INT-HCDN-00987,APP-HCDN-00230,APP-HCDN-00091,event stream,daily,high,SFTP hub,Interoperability,source-backed candidate,SRC-HCDN-INT-028
INT-HCDN-00988,APP-HCDN-00237,APP-HCDN-00108,batch extract,weekly,standard,SSIS runtime,Population Health,retired/active duplicate,SRC-HCDN-INT-029
INT-HCDN-00989,APP-HCDN-00244,APP-HCDN-00125,vendor API,monthly,standard,data pipeline orchestrator,Health Plan Operations,source-backed candidate,SRC-HCDN-INT-030
INT-HCDN-00990,APP-HCDN-00251,APP-HCDN-00142,HL7 v2,event-driven,critical,claims EDI gateway,Medicare Advantage,source-backed candidate,SRC-HCDN-INT-031
INT-HCDN-00991,APP-HCDN-00258,APP-HCDN-00159,FHIR/API,nightly batch,standard,FHIR gateway,Claims Operations,source-backed candidate,SRC-HCDN-INT-032
INT-HCDN-00992,APP-HCDN-00265,APP-HCDN-00176,X12 EDI,real-time,standard,Epic Bridges,Utilization Management,source-backed candidate,SRC-HCDN-INT-033
INT-HCDN-00993,APP-HCDN-00272,APP-HCDN-00193,SFTP flat file,near real-time,high,interface engine,Member Services,source-backed candidate,SRC-HCDN-INT-034
INT-HCDN-00994,APP-HCDN-00279,APP-HCDN-00210,database link,hourly,standard,API gateway,Quality and Stars,source-backed candidate,SRC-HCDN-INT-035
INT-HCDN-00995,APP-HCDN-00286,APP-HCDN-00227,SSIS package,daily,standard,SFTP hub,Risk Adjustment,source-backed candidate,SRC-HCDN-INT-036
INT-HCDN-00996,APP-HCDN-00293,APP-HCDN-00244,Epic Bridges,weekly,high,SSIS runtime,Care Management,ambiguous endpoint name,SRC-HCDN-INT-037
INT-HCDN-00997,APP-HCDN-00300,APP-HCDN-00261,event stream,monthly,standard,data pipeline orchestrator,Finance,source-backed candidate,SRC-HCDN-INT-038
INT-HCDN-00998,APP-HCDN-00307,APP-HCDN-00278,batch extract,event-driven,standard,claims EDI gateway,Coding,source-backed candidate,SRC-HCDN-INT-039
INT-HCDN-00999,APP-HCDN-00314,APP-HCDN-00295,vendor API,nightly batch,critical,FHIR gateway,Payer Contracting,source-backed candidate,SRC-HCDN-INT-040
INT-HCDN-01000,APP-HCDN-00321,APP-HCDN-00312,HL7 v2,real-time,standard,Epic Bridges,Digital Front Door,source-backed candidate,SRC-HCDN-INT-041
INT-HCDN-01001,APP-HCDN-00328,APP-HCDN-00329,FHIR/API,near real-time,standard,interface engine,Contact Center,retired/active duplicate,SRC-HCDN-INT-042
INT-HCDN-01002,APP-HCDN-00335,APP-HCDN-00346,X12 EDI,hourly,high,API gateway,Ambulatory Care,source-backed candidate,SRC-HCDN-INT-043
INT-HCDN-01003,APP-HCDN-00342,APP-HCDN-00363,SFTP flat file,daily,standard,SFTP hub,Emergency Department,source-backed candidate,SRC-HCDN-INT-044
INT-HCDN-01004,APP-HCDN-00349,APP-HCDN-00380,database link,weekly,standard,SSIS runtime,Inpatient,source-backed candidate,SRC-HCDN-INT-045
INT-HCDN-01005,APP-HCDN-00356,APP-HCDN-00397,SSIS package,monthly,high,data pipeline orchestrator,Surgery,source-backed candidate,SRC-HCDN-INT-046
INT-HCDN-01006,APP-HCDN-00363,APP-HCDN-00414,Epic Bridges,event-driven,standard,claims EDI gateway,Imaging,source-backed candidate,SRC-HCDN-INT-047
INT-HCDN-01007,APP-HCDN-00370,APP-HCDN-00431,event stream,nightly batch,standard,FHIR gateway,Lab,source-backed candidate,SRC-HCDN-INT-048
INT-HCDN-01008,APP-HCDN-00377,APP-HCDN-00448,batch extract,real-time,critical,Epic Bridges,Pharmacy,ambiguous endpoint name,SRC-HCDN-INT-049
INT-HCDN-01009,APP-HCDN-00384,APP-HCDN-00465,vendor API,near real-time,standard,interface engine,Oncology,source-backed candidate,SRC-HCDN-INT-050
INT-HCDN-01010,APP-HCDN-00391,APP-HCDN-00482,HL7 v2,hourly,standard,API gateway,Cardiology,source-backed candidate,SRC-HCDN-INT-051
INT-HCDN-01011,APP-HCDN-00398,APP-HCDN-00499,FHIR/API,daily,high,SFTP hub,Data and Analytics,source-backed candidate,SRC-HCDN-INT-052
INT-HCDN-01012,APP-HCDN-00405,APP-HCDN-00516,X12 EDI,weekly,standard,SSIS runtime,Clinical Analytics,source-backed candidate,SRC-HCDN-INT-053
INT-HCDN-01013,APP-HCDN-00412,APP-HCDN-00533,SFTP flat file,monthly,standard,data pipeline orchestrator,Actuarial,source-backed candidate,SRC-HCDN-INT-054
