bafo_question_id,bafo_id,proposal_id,lot_id,bidder,question_type,evaluation_ref
BAFOQ-HCDN-LOT-HCDN-09-A-04,BAFO-HCDN-A-LOT-HCDN-09,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,address PHI/security,EVAL-HCDN-LOT-HCDN-09
BAFOQ-HCDN-LOT-HCDN-09-A-05,BAFO-HCDN-A-LOT-HCDN-09,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,clarify pricing,EVAL-HCDN-LOT-HCDN-09
BAFOQ-HCDN-LOT-HCDN-09-B-01,BAFO-HCDN-B-LOT-HCDN-09,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,improve service credit,EVAL-HCDN-LOT-HCDN-09
BAFOQ-HCDN-LOT-HCDN-09-B-02,BAFO-HCDN-B-LOT-HCDN-09,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,reduce transition risk,EVAL-HCDN-LOT-HCDN-09
BAFOQ-HCDN-LOT-HCDN-09-B-03,BAFO-HCDN-B-LOT-HCDN-09,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,commit value,EVAL-HCDN-LOT-HCDN-09
BAFOQ-HCDN-LOT-HCDN-09-B-04,BAFO-HCDN-B-LOT-HCDN-09,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,address PHI/security,EVAL-HCDN-LOT-HCDN-09
BAFOQ-HCDN-LOT-HCDN-09-B-05,BAFO-HCDN-B-LOT-HCDN-09,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,clarify pricing,EVAL-HCDN-LOT-HCDN-09
BAFOQ-HCDN-LOT-HCDN-09-C-01,BAFO-HCDN-C-LOT-HCDN-09,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,improve service credit,EVAL-HCDN-LOT-HCDN-09
BAFOQ-HCDN-LOT-HCDN-09-C-02,BAFO-HCDN-C-LOT-HCDN-09,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,reduce transition risk,EVAL-HCDN-LOT-HCDN-09
BAFOQ-HCDN-LOT-HCDN-09-C-03,BAFO-HCDN-C-LOT-HCDN-09,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,commit value,EVAL-HCDN-LOT-HCDN-09
BAFOQ-HCDN-LOT-HCDN-09-C-04,BAFO-HCDN-C-LOT-HCDN-09,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,address PHI/security,EVAL-HCDN-LOT-HCDN-09
BAFOQ-HCDN-LOT-HCDN-09-C-05,BAFO-HCDN-C-LOT-HCDN-09,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,clarify pricing,EVAL-HCDN-LOT-HCDN-09
