rate_card_id,lot_id,service_tower,bidder,role_family,delivery_location,level,value_disclosure_mode,source_id
RATE-HCDN-LOT-HCDN-08-A-03,LOT-HCDN-08,Integration and Interoperability,A,UM nurse reviewer,hybrid,lead,withheld,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-08-A-04,LOT-HCDN-08,Integration and Interoperability,A,data engineer,onsite,junior,exact,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-08-A-05,LOT-HCDN-08,Integration and Interoperability,A,cloud engineer,nearshore,mid,range,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-08-A-06,LOT-HCDN-08,Integration and Interoperability,A,service desk analyst,offshore,senior,indexed,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-08-A-07,LOT-HCDN-08,Integration and Interoperability,A,security engineer,hybrid,lead,withheld,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-08-A-08,LOT-HCDN-08,Integration and Interoperability,A,integration engineer,onsite,junior,exact,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-08-B-01,LOT-HCDN-08,Integration and Interoperability,B,SQL/BI engineer,nearshore,mid,range,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-08-B-02,LOT-HCDN-08,Integration and Interoperability,B,claims ops analyst,offshore,senior,indexed,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-08-B-03,LOT-HCDN-08,Integration and Interoperability,B,UM nurse reviewer,hybrid,lead,withheld,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-08-B-04,LOT-HCDN-08,Integration and Interoperability,B,data engineer,onsite,junior,exact,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-08-B-05,LOT-HCDN-08,Integration and Interoperability,B,cloud engineer,nearshore,mid,range,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-08-B-06,LOT-HCDN-08,Integration and Interoperability,B,service desk analyst,offshore,senior,indexed,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-08-B-07,LOT-HCDN-08,Integration and Interoperability,B,security engineer,hybrid,lead,withheld,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-08-B-08,LOT-HCDN-08,Integration and Interoperability,B,integration engineer,onsite,junior,exact,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-08-C-01,LOT-HCDN-08,Integration and Interoperability,C,SQL/BI engineer,nearshore,mid,range,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-08-C-02,LOT-HCDN-08,Integration and Interoperability,C,claims ops analyst,offshore,senior,indexed,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-08-C-03,LOT-HCDN-08,Integration and Interoperability,C,UM nurse reviewer,hybrid,lead,withheld,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-08-C-04,LOT-HCDN-08,Integration and Interoperability,C,data engineer,onsite,junior,exact,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-08-C-05,LOT-HCDN-08,Integration and Interoperability,C,cloud engineer,nearshore,mid,range,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-08-C-06,LOT-HCDN-08,Integration and Interoperability,C,service desk analyst,offshore,senior,indexed,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-08-C-07,LOT-HCDN-08,Integration and Interoperability,C,security engineer,hybrid,lead,withheld,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-08-C-08,LOT-HCDN-08,Integration and Interoperability,C,integration engineer,onsite,junior,exact,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-09-A-01,LOT-HCDN-09,ERP and Corporate Platforms,A,SQL/BI engineer,nearshore,mid,range,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-09-A-02,LOT-HCDN-09,ERP and Corporate Platforms,A,claims ops analyst,offshore,senior,indexed,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-09-A-03,LOT-HCDN-09,ERP and Corporate Platforms,A,UM nurse reviewer,hybrid,lead,withheld,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-09-A-04,LOT-HCDN-09,ERP and Corporate Platforms,A,data engineer,onsite,junior,exact,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-09-A-05,LOT-HCDN-09,ERP and Corporate Platforms,A,cloud engineer,nearshore,mid,range,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-09-A-06,LOT-HCDN-09,ERP and Corporate Platforms,A,service desk analyst,offshore,senior,indexed,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-09-A-07,LOT-HCDN-09,ERP and Corporate Platforms,A,security engineer,hybrid,lead,withheld,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-09-A-08,LOT-HCDN-09,ERP and Corporate Platforms,A,integration engineer,onsite,junior,exact,SRC-HCDN-RATE-A
RATE-HCDN-LOT-HCDN-09-B-01,LOT-HCDN-09,ERP and Corporate Platforms,B,SQL/BI engineer,nearshore,mid,range,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-09-B-02,LOT-HCDN-09,ERP and Corporate Platforms,B,claims ops analyst,offshore,senior,indexed,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-09-B-03,LOT-HCDN-09,ERP and Corporate Platforms,B,UM nurse reviewer,hybrid,lead,withheld,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-09-B-04,LOT-HCDN-09,ERP and Corporate Platforms,B,data engineer,onsite,junior,exact,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-09-B-05,LOT-HCDN-09,ERP and Corporate Platforms,B,cloud engineer,nearshore,mid,range,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-09-B-06,LOT-HCDN-09,ERP and Corporate Platforms,B,service desk analyst,offshore,senior,indexed,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-09-B-07,LOT-HCDN-09,ERP and Corporate Platforms,B,security engineer,hybrid,lead,withheld,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-09-B-08,LOT-HCDN-09,ERP and Corporate Platforms,B,integration engineer,onsite,junior,exact,SRC-HCDN-RATE-B
RATE-HCDN-LOT-HCDN-09-C-01,LOT-HCDN-09,ERP and Corporate Platforms,C,SQL/BI engineer,nearshore,mid,range,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-09-C-02,LOT-HCDN-09,ERP and Corporate Platforms,C,claims ops analyst,offshore,senior,indexed,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-09-C-03,LOT-HCDN-09,ERP and Corporate Platforms,C,UM nurse reviewer,hybrid,lead,withheld,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-09-C-04,LOT-HCDN-09,ERP and Corporate Platforms,C,data engineer,onsite,junior,exact,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-09-C-05,LOT-HCDN-09,ERP and Corporate Platforms,C,cloud engineer,nearshore,mid,range,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-09-C-06,LOT-HCDN-09,ERP and Corporate Platforms,C,service desk analyst,offshore,senior,indexed,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-09-C-07,LOT-HCDN-09,ERP and Corporate Platforms,C,security engineer,hybrid,lead,withheld,SRC-HCDN-RATE-C
RATE-HCDN-LOT-HCDN-09-C-08,LOT-HCDN-09,ERP and Corporate Platforms,C,integration engineer,onsite,junior,exact,SRC-HCDN-RATE-C
