vendor_id,vendor_public_reference,vendor_category,strategic_tier,service_tower,primary_function,concentration_note
VEND-HCDN-227,Synthetic Healthcare Supplier 227,quality Stars HEDIS RAF,niche,Data Analytics and AI,Imaging,standard review
VEND-HCDN-228,Synthetic Healthcare Supplier 228,payment integrity,incumbent,Revenue Cycle Technology,Lab,standard review
VEND-HCDN-229,Synthetic Healthcare Supplier 229,cloud infrastructure,emerging,Cloud Infrastructure and Data Center,Pharmacy,standard review
VEND-HCDN-230,Synthetic Healthcare Supplier 230,data analytics,strategic,Workplace and Contact Center,Oncology,concentration risk
VEND-HCDN-231,Synthetic Healthcare Supplier 231,AMS/IMS,major,Security Identity and Compliance,Cardiology,standard review
VEND-HCDN-232,Synthetic Healthcare Supplier 232,SaaS/software,niche,Integration and Interoperability,Data and Analytics,standard review
VEND-HCDN-233,Synthetic Healthcare Supplier 233,AI/document automation,incumbent,ERP and Corporate Platforms,Clinical Analytics,standard review
VEND-HCDN-234,Synthetic Healthcare Supplier 234,telecom/network,emerging,Clinical and Epic AMS,Actuarial,exit sensitive
VEND-HCDN-235,Synthetic Healthcare Supplier 235,cybersecurity,strategic,Payer Platform Operations,Departmental Reporting,standard review
VEND-HCDN-236,Synthetic Healthcare Supplier 236,identity,major,Data Analytics and AI,AI Transformation,standard review
VEND-HCDN-237,Synthetic Healthcare Supplier 237,interoperability,niche,Revenue Cycle Technology,Technology,standard review
VEND-HCDN-238,Synthetic Healthcare Supplier 238,Epic/clinical platform,incumbent,Cloud Infrastructure and Data Center,Security,standard review
VEND-HCDN-239,Synthetic Healthcare Supplier 239,claims administration,emerging,Workplace and Contact Center,Procurement,standard review
VEND-HCDN-240,Synthetic Healthcare Supplier 240,PBM/pharmacy,strategic,Security Identity and Compliance,HR,concentration risk
VEND-HCDN-241,Synthetic Healthcare Supplier 241,BPO/contact center,major,Integration and Interoperability,Supply Chain,standard review
VEND-HCDN-242,Synthetic Healthcare Supplier 242,revenue cycle,niche,ERP and Corporate Platforms,Privacy,standard review
VEND-HCDN-243,Synthetic Healthcare Supplier 243,prior authorization/UM,incumbent,Clinical and Epic AMS,Compliance,standard review
VEND-HCDN-244,Synthetic Healthcare Supplier 244,quality Stars HEDIS RAF,emerging,Payer Platform Operations,Provider Network,standard review
VEND-HCDN-245,Synthetic Healthcare Supplier 245,payment integrity,strategic,Data Analytics and AI,Value-Based Care,standard review
VEND-HCDN-246,Synthetic Healthcare Supplier 246,cloud infrastructure,major,Revenue Cycle Technology,Clinical Operations,standard review
VEND-HCDN-247,Synthetic Healthcare Supplier 247,data analytics,niche,Cloud Infrastructure and Data Center,Revenue Cycle,exit sensitive
VEND-HCDN-248,Synthetic Healthcare Supplier 248,AMS/IMS,incumbent,Workplace and Contact Center,Patient Access,standard review
VEND-HCDN-249,Synthetic Healthcare Supplier 249,SaaS/software,emerging,Security Identity and Compliance,Interoperability,standard review
VEND-HCDN-250,Synthetic Healthcare Supplier 250,AI/document automation,strategic,Integration and Interoperability,Population Health,concentration risk
VEND-HCDN-251,Synthetic Healthcare Supplier 251,telecom/network,major,ERP and Corporate Platforms,Health Plan Operations,standard review
VEND-HCDN-252,Synthetic Healthcare Supplier 252,cybersecurity,niche,Clinical and Epic AMS,Medicare Advantage,standard review
VEND-HCDN-253,Synthetic Healthcare Supplier 253,identity,incumbent,Payer Platform Operations,Claims Operations,standard review
VEND-HCDN-254,Synthetic Healthcare Supplier 254,interoperability,emerging,Data Analytics and AI,Utilization Management,standard review
VEND-HCDN-255,Synthetic Healthcare Supplier 255,Epic/clinical platform,strategic,Revenue Cycle Technology,Member Services,standard review
VEND-HCDN-256,Synthetic Healthcare Supplier 256,claims administration,major,Cloud Infrastructure and Data Center,Quality and Stars,standard review
VEND-HCDN-257,Synthetic Healthcare Supplier 257,PBM/pharmacy,niche,Workplace and Contact Center,Risk Adjustment,standard review
VEND-HCDN-258,Synthetic Healthcare Supplier 258,BPO/contact center,incumbent,Security Identity and Compliance,Care Management,standard review
VEND-HCDN-259,Synthetic Healthcare Supplier 259,revenue cycle,emerging,Integration and Interoperability,Finance,standard review
VEND-HCDN-260,Synthetic Healthcare Supplier 260,prior authorization/UM,strategic,ERP and Corporate Platforms,Coding,concentration risk
VEND-HCDN-261,Synthetic Healthcare Supplier 261,quality Stars HEDIS RAF,major,Clinical and Epic AMS,Payer Contracting,standard review
VEND-HCDN-262,Synthetic Healthcare Supplier 262,payment integrity,niche,Payer Platform Operations,Digital Front Door,standard review
VEND-HCDN-263,Synthetic Healthcare Supplier 263,cloud infrastructure,incumbent,Data Analytics and AI,Contact Center,standard review
VEND-HCDN-264,Synthetic Healthcare Supplier 264,data analytics,emerging,Revenue Cycle Technology,Ambulatory Care,standard review
VEND-HCDN-265,Synthetic Healthcare Supplier 265,AMS/IMS,strategic,Cloud Infrastructure and Data Center,Emergency Department,standard review
VEND-HCDN-266,Synthetic Healthcare Supplier 266,SaaS/software,major,Workplace and Contact Center,Inpatient,standard review
VEND-HCDN-267,Synthetic Healthcare Supplier 267,AI/document automation,niche,Security Identity and Compliance,Surgery,standard review
VEND-HCDN-268,Synthetic Healthcare Supplier 268,telecom/network,incumbent,Integration and Interoperability,Imaging,standard review
VEND-HCDN-269,Synthetic Healthcare Supplier 269,cybersecurity,emerging,ERP and Corporate Platforms,Lab,standard review
VEND-HCDN-270,Synthetic Healthcare Supplier 270,identity,strategic,Clinical and Epic AMS,Pharmacy,concentration risk
VEND-HCDN-271,Synthetic Healthcare Supplier 271,interoperability,major,Payer Platform Operations,Oncology,standard review
VEND-HCDN-272,Synthetic Healthcare Supplier 272,Epic/clinical platform,niche,Data Analytics and AI,Cardiology,standard review
VEND-HCDN-273,Synthetic Healthcare Supplier 273,claims administration,incumbent,Revenue Cycle Technology,Data and Analytics,exit sensitive
VEND-HCDN-274,Synthetic Healthcare Supplier 274,PBM/pharmacy,emerging,Cloud Infrastructure and Data Center,Clinical Analytics,standard review
VEND-HCDN-275,Synthetic Healthcare Supplier 275,BPO/contact center,strategic,Workplace and Contact Center,Actuarial,standard review
VEND-HCDN-276,Synthetic Healthcare Supplier 276,revenue cycle,major,Security Identity and Compliance,Departmental Reporting,standard review
VEND-HCDN-277,Synthetic Healthcare Supplier 277,prior authorization/UM,niche,Integration and Interoperability,AI Transformation,standard review
VEND-HCDN-278,Synthetic Healthcare Supplier 278,quality Stars HEDIS RAF,incumbent,ERP and Corporate Platforms,Technology,standard review
VEND-HCDN-279,Synthetic Healthcare Supplier 279,payment integrity,emerging,Clinical and Epic AMS,Security,standard review
VEND-HCDN-280,Synthetic Healthcare Supplier 280,cloud infrastructure,strategic,Payer Platform Operations,Procurement,concentration risk
VEND-HCDN-281,Synthetic Healthcare Supplier 281,data analytics,major,Data Analytics and AI,HR,standard review
VEND-HCDN-282,Synthetic Healthcare Supplier 282,AMS/IMS,niche,Revenue Cycle Technology,Supply Chain,standard review
VEND-HCDN-283,Synthetic Healthcare Supplier 283,SaaS/software,incumbent,Cloud Infrastructure and Data Center,Privacy,standard review
VEND-HCDN-284,Synthetic Healthcare Supplier 284,AI/document automation,emerging,Workplace and Contact Center,Compliance,standard review
VEND-HCDN-285,Synthetic Healthcare Supplier 285,telecom/network,strategic,Security Identity and Compliance,Provider Network,standard review
VEND-HCDN-286,Synthetic Healthcare Supplier 286,cybersecurity,major,Integration and Interoperability,Value-Based Care,exit sensitive
VEND-HCDN-287,Synthetic Healthcare Supplier 287,identity,niche,ERP and Corporate Platforms,Clinical Operations,standard review
VEND-HCDN-288,Synthetic Healthcare Supplier 288,interoperability,incumbent,Clinical and Epic AMS,Revenue Cycle,standard review
VEND-HCDN-289,Synthetic Healthcare Supplier 289,Epic/clinical platform,emerging,Payer Platform Operations,Patient Access,standard review
VEND-HCDN-290,Synthetic Healthcare Supplier 290,claims administration,strategic,Data Analytics and AI,Interoperability,concentration risk
VEND-HCDN-291,Synthetic Healthcare Supplier 291,PBM/pharmacy,major,Revenue Cycle Technology,Population Health,standard review
VEND-HCDN-292,Synthetic Healthcare Supplier 292,BPO/contact center,niche,Cloud Infrastructure and Data Center,Health Plan Operations,standard review
VEND-HCDN-293,Synthetic Healthcare Supplier 293,revenue cycle,incumbent,Workplace and Contact Center,Medicare Advantage,standard review
VEND-HCDN-294,Synthetic Healthcare Supplier 294,prior authorization/UM,emerging,Security Identity and Compliance,Claims Operations,standard review
VEND-HCDN-295,Synthetic Healthcare Supplier 295,quality Stars HEDIS RAF,strategic,Integration and Interoperability,Utilization Management,standard review
VEND-HCDN-296,Synthetic Healthcare Supplier 296,payment integrity,major,ERP and Corporate Platforms,Member Services,standard review
VEND-HCDN-297,Synthetic Healthcare Supplier 297,cloud infrastructure,niche,Clinical and Epic AMS,Quality and Stars,standard review
VEND-HCDN-298,Synthetic Healthcare Supplier 298,data analytics,incumbent,Payer Platform Operations,Risk Adjustment,standard review
VEND-HCDN-299,Synthetic Healthcare Supplier 299,AMS/IMS,emerging,Data Analytics and AI,Care Management,exit sensitive
VEND-HCDN-300,Synthetic Healthcare Supplier 300,SaaS/software,strategic,Revenue Cycle Technology,Finance,concentration risk
VEND-HCDN-301,Synthetic Healthcare Supplier 301,AI/document automation,major,Cloud Infrastructure and Data Center,Coding,standard review
VEND-HCDN-302,Synthetic Healthcare Supplier 302,telecom/network,niche,Workplace and Contact Center,Payer Contracting,standard review
VEND-HCDN-303,Synthetic Healthcare Supplier 303,cybersecurity,incumbent,Security Identity and Compliance,Digital Front Door,standard review
VEND-HCDN-304,Synthetic Healthcare Supplier 304,identity,emerging,Integration and Interoperability,Contact Center,standard review
VEND-HCDN-305,Synthetic Healthcare Supplier 305,interoperability,strategic,ERP and Corporate Platforms,Ambulatory Care,standard review
VEND-HCDN-306,Synthetic Healthcare Supplier 306,Epic/clinical platform,major,Clinical and Epic AMS,Emergency Department,standard review
VEND-HCDN-307,Synthetic Healthcare Supplier 307,claims administration,niche,Payer Platform Operations,Inpatient,standard review
VEND-HCDN-308,Synthetic Healthcare Supplier 308,PBM/pharmacy,incumbent,Data Analytics and AI,Surgery,standard review
VEND-HCDN-309,Synthetic Healthcare Supplier 309,BPO/contact center,emerging,Revenue Cycle Technology,Imaging,standard review
VEND-HCDN-310,Synthetic Healthcare Supplier 310,revenue cycle,strategic,Cloud Infrastructure and Data Center,Lab,concentration risk
VEND-HCDN-311,Synthetic Healthcare Supplier 311,prior authorization/UM,major,Workplace and Contact Center,Pharmacy,standard review
VEND-HCDN-312,Synthetic Healthcare Supplier 312,quality Stars HEDIS RAF,niche,Security Identity and Compliance,Oncology,exit sensitive
VEND-HCDN-313,Synthetic Healthcare Supplier 313,payment integrity,incumbent,Integration and Interoperability,Cardiology,standard review
VEND-HCDN-314,Synthetic Healthcare Supplier 314,cloud infrastructure,emerging,ERP and Corporate Platforms,Data and Analytics,standard review
VEND-HCDN-315,Synthetic Healthcare Supplier 315,data analytics,strategic,Clinical and Epic AMS,Clinical Analytics,standard review
VEND-HCDN-316,Synthetic Healthcare Supplier 316,AMS/IMS,major,Payer Platform Operations,Actuarial,standard review
VEND-HCDN-317,Synthetic Healthcare Supplier 317,SaaS/software,niche,Data Analytics and AI,Departmental Reporting,standard review
VEND-HCDN-318,Synthetic Healthcare Supplier 318,AI/document automation,incumbent,Revenue Cycle Technology,AI Transformation,standard review
VEND-HCDN-319,Synthetic Healthcare Supplier 319,telecom/network,emerging,Cloud Infrastructure and Data Center,Technology,standard review
VEND-HCDN-320,Synthetic Healthcare Supplier 320,cybersecurity,strategic,Workplace and Contact Center,Security,concentration risk
VEND-HCDN-321,Synthetic Healthcare Supplier 321,identity,major,Security Identity and Compliance,Procurement,standard review
VEND-HCDN-322,Synthetic Healthcare Supplier 322,interoperability,niche,Integration and Interoperability,HR,standard review
VEND-HCDN-323,Synthetic Healthcare Supplier 323,Epic/clinical platform,incumbent,ERP and Corporate Platforms,Supply Chain,standard review
VEND-HCDN-324,Synthetic Healthcare Supplier 324,claims administration,emerging,Clinical and Epic AMS,Privacy,standard review
VEND-HCDN-325,Synthetic Healthcare Supplier 325,PBM/pharmacy,strategic,Payer Platform Operations,Compliance,exit sensitive
VEND-HCDN-326,Synthetic Healthcare Supplier 326,BPO/contact center,major,Data Analytics and AI,Provider Network,standard review
VEND-HCDN-327,Synthetic Healthcare Supplier 327,revenue cycle,niche,Revenue Cycle Technology,Value-Based Care,standard review
VEND-HCDN-328,Synthetic Healthcare Supplier 328,prior authorization/UM,incumbent,Cloud Infrastructure and Data Center,Clinical Operations,standard review
VEND-HCDN-329,Synthetic Healthcare Supplier 329,quality Stars HEDIS RAF,emerging,Workplace and Contact Center,Revenue Cycle,standard review
VEND-HCDN-330,Synthetic Healthcare Supplier 330,payment integrity,strategic,Security Identity and Compliance,Patient Access,concentration risk
VEND-HCDN-331,Synthetic Healthcare Supplier 331,cloud infrastructure,major,Integration and Interoperability,Interoperability,standard review
VEND-HCDN-332,Synthetic Healthcare Supplier 332,data analytics,niche,ERP and Corporate Platforms,Population Health,standard review
VEND-HCDN-333,Synthetic Healthcare Supplier 333,AMS/IMS,incumbent,Clinical and Epic AMS,Health Plan Operations,standard review
VEND-HCDN-334,Synthetic Healthcare Supplier 334,SaaS/software,emerging,Payer Platform Operations,Medicare Advantage,standard review
VEND-HCDN-335,Synthetic Healthcare Supplier 335,AI/document automation,strategic,Data Analytics and AI,Claims Operations,standard review
VEND-HCDN-336,Synthetic Healthcare Supplier 336,telecom/network,major,Revenue Cycle Technology,Utilization Management,standard review
VEND-HCDN-337,Synthetic Healthcare Supplier 337,cybersecurity,niche,Cloud Infrastructure and Data Center,Member Services,standard review
VEND-HCDN-338,Synthetic Healthcare Supplier 338,identity,incumbent,Workplace and Contact Center,Quality and Stars,exit sensitive
VEND-HCDN-339,Synthetic Healthcare Supplier 339,interoperability,emerging,Security Identity and Compliance,Risk Adjustment,standard review
VEND-HCDN-340,Synthetic Healthcare Supplier 340,Epic/clinical platform,strategic,Integration and Interoperability,Care Management,concentration risk
VEND-HCDN-341,Synthetic Healthcare Supplier 341,claims administration,major,ERP and Corporate Platforms,Finance,standard review
VEND-HCDN-342,Synthetic Healthcare Supplier 342,PBM/pharmacy,niche,Clinical and Epic AMS,Coding,standard review
VEND-HCDN-343,Synthetic Healthcare Supplier 343,BPO/contact center,incumbent,Payer Platform Operations,Payer Contracting,standard review
VEND-HCDN-344,Synthetic Healthcare Supplier 344,revenue cycle,emerging,Data Analytics and AI,Digital Front Door,standard review
VEND-HCDN-345,Synthetic Healthcare Supplier 345,prior authorization/UM,strategic,Revenue Cycle Technology,Contact Center,standard review
VEND-HCDN-346,Synthetic Healthcare Supplier 346,quality Stars HEDIS RAF,major,Cloud Infrastructure and Data Center,Ambulatory Care,standard review
VEND-HCDN-347,Synthetic Healthcare Supplier 347,payment integrity,niche,Workplace and Contact Center,Emergency Department,standard review
VEND-HCDN-348,Synthetic Healthcare Supplier 348,cloud infrastructure,incumbent,Security Identity and Compliance,Inpatient,standard review
VEND-HCDN-349,Synthetic Healthcare Supplier 349,data analytics,emerging,Integration and Interoperability,Surgery,standard review
VEND-HCDN-350,Synthetic Healthcare Supplier 350,AMS/IMS,strategic,ERP and Corporate Platforms,Imaging,concentration risk
VEND-HCDN-351,Synthetic Healthcare Supplier 351,SaaS/software,major,Clinical and Epic AMS,Lab,exit sensitive
VEND-HCDN-352,Synthetic Healthcare Supplier 352,AI/document automation,niche,Payer Platform Operations,Pharmacy,standard review
VEND-HCDN-353,Synthetic Healthcare Supplier 353,telecom/network,incumbent,Data Analytics and AI,Oncology,standard review
VEND-HCDN-354,Synthetic Healthcare Supplier 354,cybersecurity,emerging,Revenue Cycle Technology,Cardiology,standard review
VEND-HCDN-355,Synthetic Healthcare Supplier 355,identity,strategic,Cloud Infrastructure and Data Center,Data and Analytics,standard review
VEND-HCDN-356,Synthetic Healthcare Supplier 356,interoperability,major,Workplace and Contact Center,Clinical Analytics,standard review
VEND-HCDN-357,Synthetic Healthcare Supplier 357,Epic/clinical platform,niche,Security Identity and Compliance,Actuarial,standard review
VEND-HCDN-358,Synthetic Healthcare Supplier 358,claims administration,incumbent,Integration and Interoperability,Departmental Reporting,standard review
VEND-HCDN-359,Synthetic Healthcare Supplier 359,PBM/pharmacy,emerging,ERP and Corporate Platforms,AI Transformation,standard review
VEND-HCDN-360,Synthetic Healthcare Supplier 360,BPO/contact center,strategic,Clinical and Epic AMS,Technology,concentration risk
VEND-HCDN-361,Synthetic Healthcare Supplier 361,revenue cycle,major,Payer Platform Operations,Security,standard review
VEND-HCDN-362,Synthetic Healthcare Supplier 362,prior authorization/UM,niche,Data Analytics and AI,Procurement,standard review
VEND-HCDN-363,Synthetic Healthcare Supplier 363,quality Stars HEDIS RAF,incumbent,Revenue Cycle Technology,HR,standard review
VEND-HCDN-364,Synthetic Healthcare Supplier 364,payment integrity,emerging,Cloud Infrastructure and Data Center,Supply Chain,exit sensitive
VEND-HCDN-365,Synthetic Healthcare Supplier 365,cloud infrastructure,strategic,Workplace and Contact Center,Privacy,standard review
VEND-HCDN-366,Synthetic Healthcare Supplier 366,data analytics,major,Security Identity and Compliance,Compliance,standard review
VEND-HCDN-367,Synthetic Healthcare Supplier 367,AMS/IMS,niche,Integration and Interoperability,Provider Network,standard review
VEND-HCDN-368,Synthetic Healthcare Supplier 368,SaaS/software,incumbent,ERP and Corporate Platforms,Value-Based Care,standard review
VEND-HCDN-369,Synthetic Healthcare Supplier 369,AI/document automation,emerging,Clinical and Epic AMS,Clinical Operations,standard review
VEND-HCDN-370,Synthetic Healthcare Supplier 370,telecom/network,strategic,Payer Platform Operations,Revenue Cycle,concentration risk
VEND-HCDN-371,Synthetic Healthcare Supplier 371,cybersecurity,major,Data Analytics and AI,Patient Access,standard review
VEND-HCDN-372,Synthetic Healthcare Supplier 372,identity,niche,Revenue Cycle Technology,Interoperability,standard review
VEND-HCDN-373,Synthetic Healthcare Supplier 373,interoperability,incumbent,Cloud Infrastructure and Data Center,Population Health,standard review
VEND-HCDN-374,Synthetic Healthcare Supplier 374,Epic/clinical platform,emerging,Workplace and Contact Center,Health Plan Operations,standard review
VEND-HCDN-375,Synthetic Healthcare Supplier 375,claims administration,strategic,Security Identity and Compliance,Medicare Advantage,standard review
VEND-HCDN-376,Synthetic Healthcare Supplier 376,PBM/pharmacy,major,Integration and Interoperability,Claims Operations,standard review
VEND-HCDN-377,Synthetic Healthcare Supplier 377,BPO/contact center,niche,ERP and Corporate Platforms,Utilization Management,exit sensitive
VEND-HCDN-378,Synthetic Healthcare Supplier 378,revenue cycle,incumbent,Clinical and Epic AMS,Member Services,standard review
VEND-HCDN-379,Synthetic Healthcare Supplier 379,prior authorization/UM,emerging,Payer Platform Operations,Quality and Stars,standard review
VEND-HCDN-380,Synthetic Healthcare Supplier 380,quality Stars HEDIS RAF,strategic,Data Analytics and AI,Risk Adjustment,concentration risk
VEND-HCDN-381,Synthetic Healthcare Supplier 381,payment integrity,major,Revenue Cycle Technology,Care Management,standard review
VEND-HCDN-382,Synthetic Healthcare Supplier 382,cloud infrastructure,niche,Cloud Infrastructure and Data Center,Finance,standard review
VEND-HCDN-383,Synthetic Healthcare Supplier 383,data analytics,incumbent,Workplace and Contact Center,Coding,standard review
VEND-HCDN-384,Synthetic Healthcare Supplier 384,AMS/IMS,emerging,Security Identity and Compliance,Payer Contracting,standard review
VEND-HCDN-385,Synthetic Healthcare Supplier 385,SaaS/software,strategic,Integration and Interoperability,Digital Front Door,standard review
VEND-HCDN-386,Synthetic Healthcare Supplier 386,AI/document automation,major,ERP and Corporate Platforms,Contact Center,standard review
VEND-HCDN-387,Synthetic Healthcare Supplier 387,telecom/network,niche,Clinical and Epic AMS,Ambulatory Care,standard review
VEND-HCDN-388,Synthetic Healthcare Supplier 388,cybersecurity,incumbent,Payer Platform Operations,Emergency Department,standard review
VEND-HCDN-389,Synthetic Healthcare Supplier 389,identity,emerging,Data Analytics and AI,Inpatient,standard review
VEND-HCDN-390,Synthetic Healthcare Supplier 390,interoperability,strategic,Revenue Cycle Technology,Surgery,concentration risk
VEND-HCDN-391,Synthetic Healthcare Supplier 391,Epic/clinical platform,major,Cloud Infrastructure and Data Center,Imaging,standard review
VEND-HCDN-392,Synthetic Healthcare Supplier 392,claims administration,niche,Workplace and Contact Center,Lab,standard review
VEND-HCDN-393,Synthetic Healthcare Supplier 393,PBM/pharmacy,incumbent,Security Identity and Compliance,Pharmacy,standard review
VEND-HCDN-394,Synthetic Healthcare Supplier 394,BPO/contact center,emerging,Integration and Interoperability,Oncology,standard review
VEND-HCDN-395,Synthetic Healthcare Supplier 395,revenue cycle,strategic,ERP and Corporate Platforms,Cardiology,standard review
VEND-HCDN-396,Synthetic Healthcare Supplier 396,prior authorization/UM,major,Clinical and Epic AMS,Data and Analytics,standard review
VEND-HCDN-397,Synthetic Healthcare Supplier 397,quality Stars HEDIS RAF,niche,Payer Platform Operations,Clinical Analytics,standard review
VEND-HCDN-398,Synthetic Healthcare Supplier 398,payment integrity,incumbent,Data Analytics and AI,Actuarial,standard review
VEND-HCDN-399,Synthetic Healthcare Supplier 399,cloud infrastructure,emerging,Revenue Cycle Technology,Departmental Reporting,standard review
VEND-HCDN-400,Synthetic Healthcare Supplier 400,data analytics,strategic,Cloud Infrastructure and Data Center,AI Transformation,concentration risk
VEND-HCDN-401,Synthetic Healthcare Supplier 401,AMS/IMS,major,Workplace and Contact Center,Technology,standard review
VEND-HCDN-402,Synthetic Healthcare Supplier 402,SaaS/software,niche,Security Identity and Compliance,Security,standard review
VEND-HCDN-403,Synthetic Healthcare Supplier 403,AI/document automation,incumbent,Integration and Interoperability,Procurement,exit sensitive
VEND-HCDN-404,Synthetic Healthcare Supplier 404,telecom/network,emerging,ERP and Corporate Platforms,HR,standard review
VEND-HCDN-405,Synthetic Healthcare Supplier 405,cybersecurity,strategic,Clinical and Epic AMS,Supply Chain,standard review
VEND-HCDN-406,Synthetic Healthcare Supplier 406,identity,major,Payer Platform Operations,Privacy,standard review
VEND-HCDN-407,Synthetic Healthcare Supplier 407,interoperability,niche,Data Analytics and AI,Compliance,standard review
VEND-HCDN-408,Synthetic Healthcare Supplier 408,Epic/clinical platform,incumbent,Revenue Cycle Technology,Provider Network,standard review
VEND-HCDN-409,Synthetic Healthcare Supplier 409,claims administration,emerging,Cloud Infrastructure and Data Center,Value-Based Care,standard review
VEND-HCDN-410,Synthetic Healthcare Supplier 410,PBM/pharmacy,strategic,Workplace and Contact Center,Clinical Operations,concentration risk
VEND-HCDN-411,Synthetic Healthcare Supplier 411,BPO/contact center,major,Security Identity and Compliance,Revenue Cycle,standard review
VEND-HCDN-412,Synthetic Healthcare Supplier 412,revenue cycle,niche,Integration and Interoperability,Patient Access,standard review
VEND-HCDN-413,Synthetic Healthcare Supplier 413,prior authorization/UM,incumbent,ERP and Corporate Platforms,Interoperability,standard review
VEND-HCDN-414,Synthetic Healthcare Supplier 414,quality Stars HEDIS RAF,emerging,Clinical and Epic AMS,Population Health,standard review
VEND-HCDN-415,Synthetic Healthcare Supplier 415,payment integrity,strategic,Payer Platform Operations,Health Plan Operations,standard review
VEND-HCDN-416,Synthetic Healthcare Supplier 416,cloud infrastructure,major,Data Analytics and AI,Medicare Advantage,exit sensitive
VEND-HCDN-417,Synthetic Healthcare Supplier 417,data analytics,niche,Revenue Cycle Technology,Claims Operations,standard review
VEND-HCDN-418,Synthetic Healthcare Supplier 418,AMS/IMS,incumbent,Cloud Infrastructure and Data Center,Utilization Management,standard review
VEND-HCDN-419,Synthetic Healthcare Supplier 419,SaaS/software,emerging,Workplace and Contact Center,Member Services,standard review
VEND-HCDN-420,Synthetic Healthcare Supplier 420,AI/document automation,strategic,Security Identity and Compliance,Quality and Stars,concentration risk
VEND-HCDN-421,Synthetic Healthcare Supplier 421,telecom/network,major,Integration and Interoperability,Risk Adjustment,standard review
VEND-HCDN-422,Synthetic Healthcare Supplier 422,cybersecurity,niche,ERP and Corporate Platforms,Care Management,standard review
VEND-HCDN-423,Synthetic Healthcare Supplier 423,identity,incumbent,Clinical and Epic AMS,Finance,standard review
VEND-HCDN-424,Synthetic Healthcare Supplier 424,interoperability,emerging,Payer Platform Operations,Coding,standard review
VEND-HCDN-425,Synthetic Healthcare Supplier 425,Epic/clinical platform,strategic,Data Analytics and AI,Payer Contracting,standard review
VEND-HCDN-426,Synthetic Healthcare Supplier 426,claims administration,major,Revenue Cycle Technology,Digital Front Door,standard review
VEND-HCDN-427,Synthetic Healthcare Supplier 427,PBM/pharmacy,niche,Cloud Infrastructure and Data Center,Contact Center,standard review
VEND-HCDN-428,Synthetic Healthcare Supplier 428,BPO/contact center,incumbent,Workplace and Contact Center,Ambulatory Care,standard review
VEND-HCDN-429,Synthetic Healthcare Supplier 429,revenue cycle,emerging,Security Identity and Compliance,Emergency Department,exit sensitive
VEND-HCDN-430,Synthetic Healthcare Supplier 430,prior authorization/UM,strategic,Integration and Interoperability,Inpatient,concentration risk
VEND-HCDN-431,Synthetic Healthcare Supplier 431,quality Stars HEDIS RAF,major,ERP and Corporate Platforms,Surgery,standard review
VEND-HCDN-432,Synthetic Healthcare Supplier 432,payment integrity,niche,Clinical and Epic AMS,Imaging,standard review
VEND-HCDN-433,Synthetic Healthcare Supplier 433,cloud infrastructure,incumbent,Payer Platform Operations,Lab,standard review
VEND-HCDN-434,Synthetic Healthcare Supplier 434,data analytics,emerging,Data Analytics and AI,Pharmacy,standard review
VEND-HCDN-435,Synthetic Healthcare Supplier 435,AMS/IMS,strategic,Revenue Cycle Technology,Oncology,standard review
VEND-HCDN-436,Synthetic Healthcare Supplier 436,SaaS/software,major,Cloud Infrastructure and Data Center,Cardiology,standard review
VEND-HCDN-437,Synthetic Healthcare Supplier 437,AI/document automation,niche,Workplace and Contact Center,Data and Analytics,standard review
VEND-HCDN-438,Synthetic Healthcare Supplier 438,telecom/network,incumbent,Security Identity and Compliance,Clinical Analytics,standard review
VEND-HCDN-439,Synthetic Healthcare Supplier 439,cybersecurity,emerging,Integration and Interoperability,Actuarial,standard review
VEND-HCDN-440,Synthetic Healthcare Supplier 440,identity,strategic,ERP and Corporate Platforms,Departmental Reporting,concentration risk
VEND-HCDN-441,Synthetic Healthcare Supplier 441,interoperability,major,Clinical and Epic AMS,AI Transformation,standard review
VEND-HCDN-442,Synthetic Healthcare Supplier 442,Epic/clinical platform,niche,Payer Platform Operations,Technology,exit sensitive
VEND-HCDN-443,Synthetic Healthcare Supplier 443,claims administration,incumbent,Data Analytics and AI,Security,standard review
VEND-HCDN-444,Synthetic Healthcare Supplier 444,PBM/pharmacy,emerging,Revenue Cycle Technology,Procurement,standard review
VEND-HCDN-445,Synthetic Healthcare Supplier 445,BPO/contact center,strategic,Cloud Infrastructure and Data Center,HR,standard review
VEND-HCDN-446,Synthetic Healthcare Supplier 446,revenue cycle,major,Workplace and Contact Center,Supply Chain,standard review
VEND-HCDN-447,Synthetic Healthcare Supplier 447,prior authorization/UM,niche,Security Identity and Compliance,Privacy,standard review
VEND-HCDN-448,Synthetic Healthcare Supplier 448,quality Stars HEDIS RAF,incumbent,Integration and Interoperability,Compliance,standard review
VEND-HCDN-449,Synthetic Healthcare Supplier 449,payment integrity,emerging,ERP and Corporate Platforms,Provider Network,standard review
VEND-HCDN-450,Synthetic Healthcare Supplier 450,cloud infrastructure,strategic,Clinical and Epic AMS,Value-Based Care,concentration risk
VEND-HCDN-451,Synthetic Healthcare Supplier 451,data analytics,major,Payer Platform Operations,Clinical Operations,standard review
VEND-HCDN-452,Synthetic Healthcare Supplier 452,AMS/IMS,niche,Data Analytics and AI,Revenue Cycle,standard review
VEND-HCDN-453,Synthetic Healthcare Supplier 453,SaaS/software,incumbent,Revenue Cycle Technology,Patient Access,standard review
