incident_id,lot_id,service_tower,incident_type,affected_domain,status,source_id
INC-HCDN-LOT-HCDN-09-001,LOT-HCDN-09,ERP and Corporate Platforms,P2 incident,claims,closed,SRC-HCDN-ITSM-001
INC-HCDN-LOT-HCDN-09-002,LOT-HCDN-09,ERP and Corporate Platforms,major problem,SQL/EDW,recurring,SRC-HCDN-ITSM-002
INC-HCDN-LOT-HCDN-09-003,LOT-HCDN-09,ERP and Corporate Platforms,service request backlog,contact center,root cause pending,SRC-HCDN-ITSM-003
INC-HCDN-LOT-HCDN-09-004,LOT-HCDN-09,ERP and Corporate Platforms,security event,cloud,open,SRC-HCDN-ITSM-004
INC-HCDN-LOT-HCDN-09-005,LOT-HCDN-09,ERP and Corporate Platforms,P1 incident,network,closed,SRC-HCDN-ITSM-005
INC-HCDN-LOT-HCDN-09-006,LOT-HCDN-09,ERP and Corporate Platforms,P2 incident,Epic,recurring,SRC-HCDN-ITSM-006
INC-HCDN-LOT-HCDN-09-007,LOT-HCDN-09,ERP and Corporate Platforms,major problem,claims,root cause pending,SRC-HCDN-ITSM-007
INC-HCDN-LOT-HCDN-09-008,LOT-HCDN-09,ERP and Corporate Platforms,service request backlog,SQL/EDW,open,SRC-HCDN-ITSM-008
INC-HCDN-LOT-HCDN-09-009,LOT-HCDN-09,ERP and Corporate Platforms,security event,contact center,closed,SRC-HCDN-ITSM-009
INC-HCDN-LOT-HCDN-09-010,LOT-HCDN-09,ERP and Corporate Platforms,P1 incident,cloud,recurring,SRC-HCDN-ITSM-010
INC-HCDN-LOT-HCDN-09-011,LOT-HCDN-09,ERP and Corporate Platforms,P2 incident,network,root cause pending,SRC-HCDN-ITSM-011
INC-HCDN-LOT-HCDN-09-012,LOT-HCDN-09,ERP and Corporate Platforms,major problem,Epic,open,SRC-HCDN-ITSM-012
INC-HCDN-LOT-HCDN-09-013,LOT-HCDN-09,ERP and Corporate Platforms,service request backlog,claims,closed,SRC-HCDN-ITSM-013
INC-HCDN-LOT-HCDN-09-014,LOT-HCDN-09,ERP and Corporate Platforms,security event,SQL/EDW,recurring,SRC-HCDN-ITSM-014
INC-HCDN-LOT-HCDN-09-015,LOT-HCDN-09,ERP and Corporate Platforms,P1 incident,contact center,root cause pending,SRC-HCDN-ITSM-015
INC-HCDN-LOT-HCDN-09-016,LOT-HCDN-09,ERP and Corporate Platforms,P2 incident,cloud,open,SRC-HCDN-ITSM-016
INC-HCDN-LOT-HCDN-09-017,LOT-HCDN-09,ERP and Corporate Platforms,major problem,network,closed,SRC-HCDN-ITSM-017
INC-HCDN-LOT-HCDN-09-018,LOT-HCDN-09,ERP and Corporate Platforms,service request backlog,Epic,recurring,SRC-HCDN-ITSM-018
INC-HCDN-LOT-HCDN-09-019,LOT-HCDN-09,ERP and Corporate Platforms,security event,claims,root cause pending,SRC-HCDN-ITSM-019
INC-HCDN-LOT-HCDN-09-020,LOT-HCDN-09,ERP and Corporate Platforms,P1 incident,SQL/EDW,open,SRC-HCDN-ITSM-020
INC-HCDN-LOT-HCDN-09-021,LOT-HCDN-09,ERP and Corporate Platforms,P2 incident,contact center,closed,SRC-HCDN-ITSM-021
INC-HCDN-LOT-HCDN-09-022,LOT-HCDN-09,ERP and Corporate Platforms,major problem,cloud,recurring,SRC-HCDN-ITSM-022
INC-HCDN-LOT-HCDN-09-023,LOT-HCDN-09,ERP and Corporate Platforms,service request backlog,network,root cause pending,SRC-HCDN-ITSM-023
INC-HCDN-LOT-HCDN-09-024,LOT-HCDN-09,ERP and Corporate Platforms,security event,Epic,open,SRC-HCDN-ITSM-024
