workforce_id,worker_type,business_function,service_tower,skill_family,delivery_location,transition_note
WORK-HCDN-03124,contractor,Utilization Management,Payer Platform Operations,Epic analyst,onsite,transition sensitive
WORK-HCDN-03125,managed-service role,Member Services,Data Analytics and AI,SQL/BI developer,nearshore,standard
WORK-HCDN-03126,employee,Quality and Stars,Revenue Cycle Technology,claims platform analyst,offshore,standard
WORK-HCDN-03127,contractor,Risk Adjustment,Cloud Infrastructure and Data Center,cloud engineer,hybrid,standard
WORK-HCDN-03128,managed-service role,Care Management,Workplace and Contact Center,data engineer,onsite,critical knowledge holder
WORK-HCDN-03129,employee,Finance,Security Identity and Compliance,security,nearshore,standard
WORK-HCDN-03130,contractor,Coding,Integration and Interoperability,service desk,offshore,standard
WORK-HCDN-03131,managed-service role,Payer Contracting,ERP and Corporate Platforms,integration engineer,hybrid,standard
WORK-HCDN-03132,employee,Digital Front Door,Clinical and Epic AMS,revenue-cycle analyst,onsite,standard
WORK-HCDN-03133,contractor,Contact Center,Payer Platform Operations,quality analyst,nearshore,standard
WORK-HCDN-03134,managed-service role,Ambulatory Care,Data Analytics and AI,AI product owner,offshore,standard
WORK-HCDN-03135,employee,Emergency Department,Revenue Cycle Technology,Epic analyst,hybrid,transition sensitive
WORK-HCDN-03136,contractor,Inpatient,Cloud Infrastructure and Data Center,SQL/BI developer,onsite,critical knowledge holder
WORK-HCDN-03137,managed-service role,Surgery,Workplace and Contact Center,claims platform analyst,nearshore,standard
WORK-HCDN-03138,employee,Imaging,Security Identity and Compliance,cloud engineer,offshore,standard
WORK-HCDN-03139,contractor,Lab,Integration and Interoperability,data engineer,hybrid,standard
WORK-HCDN-03140,managed-service role,Pharmacy,ERP and Corporate Platforms,security,onsite,standard
WORK-HCDN-03141,employee,Oncology,Clinical and Epic AMS,service desk,nearshore,standard
WORK-HCDN-03142,contractor,Cardiology,Payer Platform Operations,integration engineer,offshore,standard
WORK-HCDN-03143,managed-service role,Data and Analytics,Data Analytics and AI,revenue-cycle analyst,hybrid,standard
WORK-HCDN-03144,employee,Clinical Analytics,Revenue Cycle Technology,quality analyst,onsite,critical knowledge holder
WORK-HCDN-03145,contractor,Actuarial,Cloud Infrastructure and Data Center,AI product owner,nearshore,standard
WORK-HCDN-03146,managed-service role,Departmental Reporting,Workplace and Contact Center,Epic analyst,offshore,transition sensitive
WORK-HCDN-03147,employee,AI Transformation,Security Identity and Compliance,SQL/BI developer,hybrid,standard
WORK-HCDN-03148,contractor,Technology,Integration and Interoperability,claims platform analyst,onsite,standard
WORK-HCDN-03149,managed-service role,Security,ERP and Corporate Platforms,cloud engineer,nearshore,standard
WORK-HCDN-03150,employee,Procurement,Clinical and Epic AMS,data engineer,offshore,standard
WORK-HCDN-03151,contractor,HR,Payer Platform Operations,security,hybrid,standard
WORK-HCDN-03152,managed-service role,Supply Chain,Data Analytics and AI,service desk,onsite,critical knowledge holder
WORK-HCDN-03153,employee,Privacy,Revenue Cycle Technology,integration engineer,nearshore,standard
WORK-HCDN-03154,contractor,Compliance,Cloud Infrastructure and Data Center,revenue-cycle analyst,offshore,standard
WORK-HCDN-03155,managed-service role,Provider Network,Workplace and Contact Center,quality analyst,hybrid,standard
WORK-HCDN-03156,employee,Value-Based Care,Security Identity and Compliance,AI product owner,onsite,standard
WORK-HCDN-03157,contractor,Clinical Operations,Integration and Interoperability,Epic analyst,nearshore,transition sensitive
WORK-HCDN-03158,managed-service role,Revenue Cycle,ERP and Corporate Platforms,SQL/BI developer,offshore,standard
WORK-HCDN-03159,employee,Patient Access,Clinical and Epic AMS,claims platform analyst,hybrid,standard
WORK-HCDN-03160,contractor,Interoperability,Payer Platform Operations,cloud engineer,onsite,critical knowledge holder
WORK-HCDN-03161,managed-service role,Population Health,Data Analytics and AI,data engineer,nearshore,standard
WORK-HCDN-03162,employee,Health Plan Operations,Revenue Cycle Technology,security,offshore,standard
WORK-HCDN-03163,contractor,Medicare Advantage,Cloud Infrastructure and Data Center,service desk,hybrid,standard
WORK-HCDN-03164,managed-service role,Claims Operations,Workplace and Contact Center,integration engineer,onsite,standard
WORK-HCDN-03165,employee,Utilization Management,Security Identity and Compliance,revenue-cycle analyst,nearshore,standard
WORK-HCDN-03166,contractor,Member Services,Integration and Interoperability,quality analyst,offshore,standard
WORK-HCDN-03167,managed-service role,Quality and Stars,ERP and Corporate Platforms,AI product owner,hybrid,standard
WORK-HCDN-03168,employee,Risk Adjustment,Clinical and Epic AMS,Epic analyst,onsite,critical knowledge holder
WORK-HCDN-03169,contractor,Care Management,Payer Platform Operations,SQL/BI developer,nearshore,standard
WORK-HCDN-03170,managed-service role,Finance,Data Analytics and AI,claims platform analyst,offshore,standard
WORK-HCDN-03171,employee,Coding,Revenue Cycle Technology,cloud engineer,hybrid,standard
WORK-HCDN-03172,contractor,Payer Contracting,Cloud Infrastructure and Data Center,data engineer,onsite,standard
WORK-HCDN-03173,managed-service role,Digital Front Door,Workplace and Contact Center,security,nearshore,standard
WORK-HCDN-03174,employee,Contact Center,Security Identity and Compliance,service desk,offshore,standard
WORK-HCDN-03175,contractor,Ambulatory Care,Integration and Interoperability,integration engineer,hybrid,standard
WORK-HCDN-03176,managed-service role,Emergency Department,ERP and Corporate Platforms,revenue-cycle analyst,onsite,critical knowledge holder
WORK-HCDN-03177,employee,Inpatient,Clinical and Epic AMS,quality analyst,nearshore,standard
WORK-HCDN-03178,contractor,Surgery,Payer Platform Operations,AI product owner,offshore,standard
WORK-HCDN-03179,managed-service role,Imaging,Data Analytics and AI,Epic analyst,hybrid,transition sensitive
WORK-HCDN-03180,employee,Lab,Revenue Cycle Technology,SQL/BI developer,onsite,standard
WORK-HCDN-03181,contractor,Pharmacy,Cloud Infrastructure and Data Center,claims platform analyst,nearshore,standard
WORK-HCDN-03182,managed-service role,Oncology,Workplace and Contact Center,cloud engineer,offshore,standard
WORK-HCDN-03183,employee,Cardiology,Security Identity and Compliance,data engineer,hybrid,standard
WORK-HCDN-03184,contractor,Data and Analytics,Integration and Interoperability,security,onsite,critical knowledge holder
WORK-HCDN-03185,managed-service role,Clinical Analytics,ERP and Corporate Platforms,service desk,nearshore,standard
WORK-HCDN-03186,employee,Actuarial,Clinical and Epic AMS,integration engineer,offshore,standard
WORK-HCDN-03187,contractor,Departmental Reporting,Payer Platform Operations,revenue-cycle analyst,hybrid,standard
WORK-HCDN-03188,managed-service role,AI Transformation,Data Analytics and AI,quality analyst,onsite,standard
WORK-HCDN-03189,employee,Technology,Revenue Cycle Technology,AI product owner,nearshore,standard
WORK-HCDN-03190,contractor,Security,Cloud Infrastructure and Data Center,Epic analyst,offshore,transition sensitive
WORK-HCDN-03191,managed-service role,Procurement,Workplace and Contact Center,SQL/BI developer,hybrid,standard
WORK-HCDN-03192,employee,HR,Security Identity and Compliance,claims platform analyst,onsite,critical knowledge holder
WORK-HCDN-03193,contractor,Supply Chain,Integration and Interoperability,cloud engineer,nearshore,standard
WORK-HCDN-03194,managed-service role,Privacy,ERP and Corporate Platforms,data engineer,offshore,standard
WORK-HCDN-03195,employee,Compliance,Clinical and Epic AMS,security,hybrid,standard
WORK-HCDN-03196,contractor,Provider Network,Payer Platform Operations,service desk,onsite,standard
WORK-HCDN-03197,managed-service role,Value-Based Care,Data Analytics and AI,integration engineer,nearshore,standard
WORK-HCDN-03198,employee,Clinical Operations,Revenue Cycle Technology,revenue-cycle analyst,offshore,standard
WORK-HCDN-03199,contractor,Revenue Cycle,Cloud Infrastructure and Data Center,quality analyst,hybrid,standard
WORK-HCDN-03200,managed-service role,Patient Access,Workplace and Contact Center,AI product owner,onsite,critical knowledge holder
WORK-HCDN-03201,employee,Interoperability,Security Identity and Compliance,Epic analyst,nearshore,transition sensitive
WORK-HCDN-03202,contractor,Population Health,Integration and Interoperability,SQL/BI developer,offshore,standard
WORK-HCDN-03203,managed-service role,Health Plan Operations,ERP and Corporate Platforms,claims platform analyst,hybrid,standard
WORK-HCDN-03204,employee,Medicare Advantage,Clinical and Epic AMS,cloud engineer,onsite,standard
WORK-HCDN-03205,contractor,Claims Operations,Payer Platform Operations,data engineer,nearshore,standard
WORK-HCDN-03206,managed-service role,Utilization Management,Data Analytics and AI,security,offshore,standard
WORK-HCDN-03207,employee,Member Services,Revenue Cycle Technology,service desk,hybrid,standard
WORK-HCDN-03208,contractor,Quality and Stars,Cloud Infrastructure and Data Center,integration engineer,onsite,critical knowledge holder
WORK-HCDN-03209,managed-service role,Risk Adjustment,Workplace and Contact Center,revenue-cycle analyst,nearshore,standard
WORK-HCDN-03210,employee,Care Management,Security Identity and Compliance,quality analyst,offshore,standard
WORK-HCDN-03211,contractor,Finance,Integration and Interoperability,AI product owner,hybrid,standard
WORK-HCDN-03212,managed-service role,Coding,ERP and Corporate Platforms,Epic analyst,onsite,transition sensitive
WORK-HCDN-03213,employee,Payer Contracting,Clinical and Epic AMS,SQL/BI developer,nearshore,standard
WORK-HCDN-03214,contractor,Digital Front Door,Payer Platform Operations,claims platform analyst,offshore,standard
WORK-HCDN-03215,managed-service role,Contact Center,Data Analytics and AI,cloud engineer,hybrid,standard
WORK-HCDN-03216,employee,Ambulatory Care,Revenue Cycle Technology,data engineer,onsite,critical knowledge holder
WORK-HCDN-03217,contractor,Emergency Department,Cloud Infrastructure and Data Center,security,nearshore,standard
WORK-HCDN-03218,managed-service role,Inpatient,Workplace and Contact Center,service desk,offshore,standard
WORK-HCDN-03219,employee,Surgery,Security Identity and Compliance,integration engineer,hybrid,standard
WORK-HCDN-03220,contractor,Imaging,Integration and Interoperability,revenue-cycle analyst,onsite,standard
WORK-HCDN-03221,managed-service role,Lab,ERP and Corporate Platforms,quality analyst,nearshore,standard
WORK-HCDN-03222,employee,Pharmacy,Clinical and Epic AMS,AI product owner,offshore,standard
WORK-HCDN-03223,contractor,Oncology,Payer Platform Operations,Epic analyst,hybrid,transition sensitive
WORK-HCDN-03224,managed-service role,Cardiology,Data Analytics and AI,SQL/BI developer,onsite,critical knowledge holder
WORK-HCDN-03225,employee,Data and Analytics,Revenue Cycle Technology,claims platform analyst,nearshore,standard
WORK-HCDN-03226,contractor,Clinical Analytics,Cloud Infrastructure and Data Center,cloud engineer,offshore,standard
WORK-HCDN-03227,managed-service role,Actuarial,Workplace and Contact Center,data engineer,hybrid,standard
WORK-HCDN-03228,employee,Departmental Reporting,Security Identity and Compliance,security,onsite,standard
WORK-HCDN-03229,contractor,AI Transformation,Integration and Interoperability,service desk,nearshore,standard
WORK-HCDN-03230,managed-service role,Technology,ERP and Corporate Platforms,integration engineer,offshore,standard
WORK-HCDN-03231,employee,Security,Clinical and Epic AMS,revenue-cycle analyst,hybrid,standard
WORK-HCDN-03232,contractor,Procurement,Payer Platform Operations,quality analyst,onsite,critical knowledge holder
WORK-HCDN-03233,managed-service role,HR,Data Analytics and AI,AI product owner,nearshore,standard
WORK-HCDN-03234,employee,Supply Chain,Revenue Cycle Technology,Epic analyst,offshore,transition sensitive
WORK-HCDN-03235,contractor,Privacy,Cloud Infrastructure and Data Center,SQL/BI developer,hybrid,standard
WORK-HCDN-03236,managed-service role,Compliance,Workplace and Contact Center,claims platform analyst,onsite,standard
WORK-HCDN-03237,employee,Provider Network,Security Identity and Compliance,cloud engineer,nearshore,standard
WORK-HCDN-03238,contractor,Value-Based Care,Integration and Interoperability,data engineer,offshore,standard
WORK-HCDN-03239,managed-service role,Clinical Operations,ERP and Corporate Platforms,security,hybrid,standard
WORK-HCDN-03240,employee,Revenue Cycle,Clinical and Epic AMS,service desk,onsite,critical knowledge holder
WORK-HCDN-03241,contractor,Patient Access,Payer Platform Operations,integration engineer,nearshore,standard
WORK-HCDN-03242,managed-service role,Interoperability,Data Analytics and AI,revenue-cycle analyst,offshore,standard
WORK-HCDN-03243,employee,Population Health,Revenue Cycle Technology,quality analyst,hybrid,standard
WORK-HCDN-03244,contractor,Health Plan Operations,Cloud Infrastructure and Data Center,AI product owner,onsite,standard
WORK-HCDN-03245,managed-service role,Medicare Advantage,Workplace and Contact Center,Epic analyst,nearshore,transition sensitive
WORK-HCDN-03246,employee,Claims Operations,Security Identity and Compliance,SQL/BI developer,offshore,standard
WORK-HCDN-03247,contractor,Utilization Management,Integration and Interoperability,claims platform analyst,hybrid,standard
WORK-HCDN-03248,managed-service role,Member Services,ERP and Corporate Platforms,cloud engineer,onsite,critical knowledge holder
WORK-HCDN-03249,employee,Quality and Stars,Clinical and Epic AMS,data engineer,nearshore,standard
WORK-HCDN-03250,contractor,Risk Adjustment,Payer Platform Operations,security,offshore,standard
WORK-HCDN-03251,managed-service role,Care Management,Data Analytics and AI,service desk,hybrid,standard
WORK-HCDN-03252,employee,Finance,Revenue Cycle Technology,integration engineer,onsite,standard
WORK-HCDN-03253,contractor,Coding,Cloud Infrastructure and Data Center,revenue-cycle analyst,nearshore,standard
WORK-HCDN-03254,managed-service role,Payer Contracting,Workplace and Contact Center,quality analyst,offshore,standard
WORK-HCDN-03255,employee,Digital Front Door,Security Identity and Compliance,AI product owner,hybrid,standard
WORK-HCDN-03256,contractor,Contact Center,Integration and Interoperability,Epic analyst,onsite,critical knowledge holder
WORK-HCDN-03257,managed-service role,Ambulatory Care,ERP and Corporate Platforms,SQL/BI developer,nearshore,standard
WORK-HCDN-03258,employee,Emergency Department,Clinical and Epic AMS,claims platform analyst,offshore,standard
WORK-HCDN-03259,contractor,Inpatient,Payer Platform Operations,cloud engineer,hybrid,standard
WORK-HCDN-03260,managed-service role,Surgery,Data Analytics and AI,data engineer,onsite,standard
WORK-HCDN-03261,employee,Imaging,Revenue Cycle Technology,security,nearshore,standard
WORK-HCDN-03262,contractor,Lab,Cloud Infrastructure and Data Center,service desk,offshore,standard
WORK-HCDN-03263,managed-service role,Pharmacy,Workplace and Contact Center,integration engineer,hybrid,standard
WORK-HCDN-03264,employee,Oncology,Security Identity and Compliance,revenue-cycle analyst,onsite,critical knowledge holder
WORK-HCDN-03265,contractor,Cardiology,Integration and Interoperability,quality analyst,nearshore,standard
WORK-HCDN-03266,managed-service role,Data and Analytics,ERP and Corporate Platforms,AI product owner,offshore,standard
WORK-HCDN-03267,employee,Clinical Analytics,Clinical and Epic AMS,Epic analyst,hybrid,transition sensitive
WORK-HCDN-03268,contractor,Actuarial,Payer Platform Operations,SQL/BI developer,onsite,standard
WORK-HCDN-03269,managed-service role,Departmental Reporting,Data Analytics and AI,claims platform analyst,nearshore,standard
WORK-HCDN-03270,employee,AI Transformation,Revenue Cycle Technology,cloud engineer,offshore,standard
WORK-HCDN-03271,contractor,Technology,Cloud Infrastructure and Data Center,data engineer,hybrid,standard
WORK-HCDN-03272,managed-service role,Security,Workplace and Contact Center,security,onsite,critical knowledge holder
WORK-HCDN-03273,employee,Procurement,Security Identity and Compliance,service desk,nearshore,standard
WORK-HCDN-03274,contractor,HR,Integration and Interoperability,integration engineer,offshore,standard
WORK-HCDN-03275,managed-service role,Supply Chain,ERP and Corporate Platforms,revenue-cycle analyst,hybrid,standard
WORK-HCDN-03276,employee,Privacy,Clinical and Epic AMS,quality analyst,onsite,standard
WORK-HCDN-03277,contractor,Compliance,Payer Platform Operations,AI product owner,nearshore,standard
WORK-HCDN-03278,managed-service role,Provider Network,Data Analytics and AI,Epic analyst,offshore,transition sensitive
WORK-HCDN-03279,employee,Value-Based Care,Revenue Cycle Technology,SQL/BI developer,hybrid,standard
WORK-HCDN-03280,contractor,Clinical Operations,Cloud Infrastructure and Data Center,claims platform analyst,onsite,critical knowledge holder
WORK-HCDN-03281,managed-service role,Revenue Cycle,Workplace and Contact Center,cloud engineer,nearshore,standard
WORK-HCDN-03282,employee,Patient Access,Security Identity and Compliance,data engineer,offshore,standard
WORK-HCDN-03283,contractor,Interoperability,Integration and Interoperability,security,hybrid,standard
WORK-HCDN-03284,managed-service role,Population Health,ERP and Corporate Platforms,service desk,onsite,standard
WORK-HCDN-03285,employee,Health Plan Operations,Clinical and Epic AMS,integration engineer,nearshore,standard
WORK-HCDN-03286,contractor,Medicare Advantage,Payer Platform Operations,revenue-cycle analyst,offshore,standard
WORK-HCDN-03287,managed-service role,Claims Operations,Data Analytics and AI,quality analyst,hybrid,standard
WORK-HCDN-03288,employee,Utilization Management,Revenue Cycle Technology,AI product owner,onsite,critical knowledge holder
WORK-HCDN-03289,contractor,Member Services,Cloud Infrastructure and Data Center,Epic analyst,nearshore,transition sensitive
WORK-HCDN-03290,managed-service role,Quality and Stars,Workplace and Contact Center,SQL/BI developer,offshore,standard
WORK-HCDN-03291,employee,Risk Adjustment,Security Identity and Compliance,claims platform analyst,hybrid,standard
WORK-HCDN-03292,contractor,Care Management,Integration and Interoperability,cloud engineer,onsite,standard
WORK-HCDN-03293,managed-service role,Finance,ERP and Corporate Platforms,data engineer,nearshore,standard
WORK-HCDN-03294,employee,Coding,Clinical and Epic AMS,security,offshore,standard
WORK-HCDN-03295,contractor,Payer Contracting,Payer Platform Operations,service desk,hybrid,standard
WORK-HCDN-03296,managed-service role,Digital Front Door,Data Analytics and AI,integration engineer,onsite,critical knowledge holder
WORK-HCDN-03297,employee,Contact Center,Revenue Cycle Technology,revenue-cycle analyst,nearshore,standard
WORK-HCDN-03298,contractor,Ambulatory Care,Cloud Infrastructure and Data Center,quality analyst,offshore,standard
WORK-HCDN-03299,managed-service role,Emergency Department,Workplace and Contact Center,AI product owner,hybrid,standard
WORK-HCDN-03300,employee,Inpatient,Security Identity and Compliance,Epic analyst,onsite,transition sensitive
WORK-HCDN-03301,contractor,Surgery,Integration and Interoperability,SQL/BI developer,nearshore,standard
WORK-HCDN-03302,managed-service role,Imaging,ERP and Corporate Platforms,claims platform analyst,offshore,standard
WORK-HCDN-03303,employee,Lab,Clinical and Epic AMS,cloud engineer,hybrid,standard
WORK-HCDN-03304,contractor,Pharmacy,Payer Platform Operations,data engineer,onsite,critical knowledge holder
WORK-HCDN-03305,managed-service role,Oncology,Data Analytics and AI,security,nearshore,standard
WORK-HCDN-03306,employee,Cardiology,Revenue Cycle Technology,service desk,offshore,standard
WORK-HCDN-03307,contractor,Data and Analytics,Cloud Infrastructure and Data Center,integration engineer,hybrid,standard
WORK-HCDN-03308,managed-service role,Clinical Analytics,Workplace and Contact Center,revenue-cycle analyst,onsite,standard
WORK-HCDN-03309,employee,Actuarial,Security Identity and Compliance,quality analyst,nearshore,standard
WORK-HCDN-03310,contractor,Departmental Reporting,Integration and Interoperability,AI product owner,offshore,standard
WORK-HCDN-03311,managed-service role,AI Transformation,ERP and Corporate Platforms,Epic analyst,hybrid,transition sensitive
WORK-HCDN-03312,employee,Technology,Clinical and Epic AMS,SQL/BI developer,onsite,critical knowledge holder
WORK-HCDN-03313,contractor,Security,Payer Platform Operations,claims platform analyst,nearshore,standard
WORK-HCDN-03314,managed-service role,Procurement,Data Analytics and AI,cloud engineer,offshore,standard
WORK-HCDN-03315,employee,HR,Revenue Cycle Technology,data engineer,hybrid,standard
WORK-HCDN-03316,contractor,Supply Chain,Cloud Infrastructure and Data Center,security,onsite,standard
WORK-HCDN-03317,managed-service role,Privacy,Workplace and Contact Center,service desk,nearshore,standard
WORK-HCDN-03318,employee,Compliance,Security Identity and Compliance,integration engineer,offshore,standard
WORK-HCDN-03319,contractor,Provider Network,Integration and Interoperability,revenue-cycle analyst,hybrid,standard
WORK-HCDN-03320,managed-service role,Value-Based Care,ERP and Corporate Platforms,quality analyst,onsite,critical knowledge holder
WORK-HCDN-03321,employee,Clinical Operations,Clinical and Epic AMS,AI product owner,nearshore,standard
WORK-HCDN-03322,contractor,Revenue Cycle,Payer Platform Operations,Epic analyst,offshore,transition sensitive
WORK-HCDN-03323,managed-service role,Patient Access,Data Analytics and AI,SQL/BI developer,hybrid,standard
WORK-HCDN-03324,employee,Interoperability,Revenue Cycle Technology,claims platform analyst,onsite,standard
WORK-HCDN-03325,contractor,Population Health,Cloud Infrastructure and Data Center,cloud engineer,nearshore,standard
WORK-HCDN-03326,managed-service role,Health Plan Operations,Workplace and Contact Center,data engineer,offshore,standard
WORK-HCDN-03327,employee,Medicare Advantage,Security Identity and Compliance,security,hybrid,standard
WORK-HCDN-03328,contractor,Claims Operations,Integration and Interoperability,service desk,onsite,critical knowledge holder
WORK-HCDN-03329,managed-service role,Utilization Management,ERP and Corporate Platforms,integration engineer,nearshore,standard
WORK-HCDN-03330,employee,Member Services,Clinical and Epic AMS,revenue-cycle analyst,offshore,standard
WORK-HCDN-03331,contractor,Quality and Stars,Payer Platform Operations,quality analyst,hybrid,standard
WORK-HCDN-03332,managed-service role,Risk Adjustment,Data Analytics and AI,AI product owner,onsite,standard
WORK-HCDN-03333,employee,Care Management,Revenue Cycle Technology,Epic analyst,nearshore,transition sensitive
WORK-HCDN-03334,contractor,Finance,Cloud Infrastructure and Data Center,SQL/BI developer,offshore,standard
WORK-HCDN-03335,managed-service role,Coding,Workplace and Contact Center,claims platform analyst,hybrid,standard
WORK-HCDN-03336,employee,Payer Contracting,Security Identity and Compliance,cloud engineer,onsite,critical knowledge holder
WORK-HCDN-03337,contractor,Digital Front Door,Integration and Interoperability,data engineer,nearshore,standard
WORK-HCDN-03338,managed-service role,Contact Center,ERP and Corporate Platforms,security,offshore,standard
WORK-HCDN-03339,employee,Ambulatory Care,Clinical and Epic AMS,service desk,hybrid,standard
WORK-HCDN-03340,contractor,Emergency Department,Payer Platform Operations,integration engineer,onsite,standard
WORK-HCDN-03341,managed-service role,Inpatient,Data Analytics and AI,revenue-cycle analyst,nearshore,standard
WORK-HCDN-03342,employee,Surgery,Revenue Cycle Technology,quality analyst,offshore,standard
WORK-HCDN-03343,contractor,Imaging,Cloud Infrastructure and Data Center,AI product owner,hybrid,standard
WORK-HCDN-03344,managed-service role,Lab,Workplace and Contact Center,Epic analyst,onsite,critical knowledge holder
WORK-HCDN-03345,employee,Pharmacy,Security Identity and Compliance,SQL/BI developer,nearshore,standard
WORK-HCDN-03346,contractor,Oncology,Integration and Interoperability,claims platform analyst,offshore,standard
WORK-HCDN-03347,managed-service role,Cardiology,ERP and Corporate Platforms,cloud engineer,hybrid,standard
WORK-HCDN-03348,employee,Data and Analytics,Clinical and Epic AMS,data engineer,onsite,standard
WORK-HCDN-03349,contractor,Clinical Analytics,Payer Platform Operations,security,nearshore,standard
WORK-HCDN-03350,managed-service role,Actuarial,Data Analytics and AI,service desk,offshore,standard
WORK-HCDN-03351,employee,Departmental Reporting,Revenue Cycle Technology,integration engineer,hybrid,standard
WORK-HCDN-03352,contractor,AI Transformation,Cloud Infrastructure and Data Center,revenue-cycle analyst,onsite,critical knowledge holder
WORK-HCDN-03353,managed-service role,Technology,Workplace and Contact Center,quality analyst,nearshore,standard
WORK-HCDN-03354,employee,Security,Security Identity and Compliance,AI product owner,offshore,standard
WORK-HCDN-03355,contractor,Procurement,Integration and Interoperability,Epic analyst,hybrid,transition sensitive
WORK-HCDN-03356,managed-service role,HR,ERP and Corporate Platforms,SQL/BI developer,onsite,standard
WORK-HCDN-03357,employee,Supply Chain,Clinical and Epic AMS,claims platform analyst,nearshore,standard
WORK-HCDN-03358,contractor,Privacy,Payer Platform Operations,cloud engineer,offshore,standard
WORK-HCDN-03359,managed-service role,Compliance,Data Analytics and AI,data engineer,hybrid,standard
WORK-HCDN-03360,employee,Provider Network,Revenue Cycle Technology,security,onsite,critical knowledge holder
WORK-HCDN-03361,contractor,Value-Based Care,Cloud Infrastructure and Data Center,service desk,nearshore,standard
WORK-HCDN-03362,managed-service role,Clinical Operations,Workplace and Contact Center,integration engineer,offshore,standard
WORK-HCDN-03363,employee,Revenue Cycle,Security Identity and Compliance,revenue-cycle analyst,hybrid,standard
WORK-HCDN-03364,contractor,Patient Access,Integration and Interoperability,quality analyst,onsite,standard
WORK-HCDN-03365,managed-service role,Interoperability,ERP and Corporate Platforms,AI product owner,nearshore,standard
WORK-HCDN-03366,employee,Population Health,Clinical and Epic AMS,Epic analyst,offshore,transition sensitive
WORK-HCDN-03367,contractor,Health Plan Operations,Payer Platform Operations,SQL/BI developer,hybrid,standard
WORK-HCDN-03368,managed-service role,Medicare Advantage,Data Analytics and AI,claims platform analyst,onsite,critical knowledge holder
WORK-HCDN-03369,employee,Claims Operations,Revenue Cycle Technology,cloud engineer,nearshore,standard
WORK-HCDN-03370,contractor,Utilization Management,Cloud Infrastructure and Data Center,data engineer,offshore,standard
WORK-HCDN-03371,managed-service role,Member Services,Workplace and Contact Center,security,hybrid,standard
WORK-HCDN-03372,employee,Quality and Stars,Security Identity and Compliance,service desk,onsite,standard
WORK-HCDN-03373,contractor,Risk Adjustment,Integration and Interoperability,integration engineer,nearshore,standard
WORK-HCDN-03374,managed-service role,Care Management,ERP and Corporate Platforms,revenue-cycle analyst,offshore,standard
WORK-HCDN-03375,employee,Finance,Clinical and Epic AMS,quality analyst,hybrid,standard
WORK-HCDN-03376,contractor,Coding,Payer Platform Operations,AI product owner,onsite,critical knowledge holder
WORK-HCDN-03377,managed-service role,Payer Contracting,Data Analytics and AI,Epic analyst,nearshore,transition sensitive
WORK-HCDN-03378,employee,Digital Front Door,Revenue Cycle Technology,SQL/BI developer,offshore,standard
WORK-HCDN-03379,contractor,Contact Center,Cloud Infrastructure and Data Center,claims platform analyst,hybrid,standard
WORK-HCDN-03380,managed-service role,Ambulatory Care,Workplace and Contact Center,cloud engineer,onsite,standard
WORK-HCDN-03381,employee,Emergency Department,Security Identity and Compliance,data engineer,nearshore,standard
WORK-HCDN-03382,contractor,Inpatient,Integration and Interoperability,security,offshore,standard
WORK-HCDN-03383,managed-service role,Surgery,ERP and Corporate Platforms,service desk,hybrid,standard
WORK-HCDN-03384,employee,Imaging,Clinical and Epic AMS,integration engineer,onsite,critical knowledge holder
WORK-HCDN-03385,contractor,Lab,Payer Platform Operations,revenue-cycle analyst,nearshore,standard
WORK-HCDN-03386,managed-service role,Pharmacy,Data Analytics and AI,quality analyst,offshore,standard
WORK-HCDN-03387,employee,Oncology,Revenue Cycle Technology,AI product owner,hybrid,standard
WORK-HCDN-03388,contractor,Cardiology,Cloud Infrastructure and Data Center,Epic analyst,onsite,transition sensitive
WORK-HCDN-03389,managed-service role,Data and Analytics,Workplace and Contact Center,SQL/BI developer,nearshore,standard
WORK-HCDN-03390,employee,Clinical Analytics,Security Identity and Compliance,claims platform analyst,offshore,standard
WORK-HCDN-03391,contractor,Actuarial,Integration and Interoperability,cloud engineer,hybrid,standard
WORK-HCDN-03392,managed-service role,Departmental Reporting,ERP and Corporate Platforms,data engineer,onsite,critical knowledge holder
WORK-HCDN-03393,employee,AI Transformation,Clinical and Epic AMS,security,nearshore,standard
WORK-HCDN-03394,contractor,Technology,Payer Platform Operations,service desk,offshore,standard
WORK-HCDN-03395,managed-service role,Security,Data Analytics and AI,integration engineer,hybrid,standard
WORK-HCDN-03396,employee,Procurement,Revenue Cycle Technology,revenue-cycle analyst,onsite,standard
WORK-HCDN-03397,contractor,HR,Cloud Infrastructure and Data Center,quality analyst,nearshore,standard
WORK-HCDN-03398,managed-service role,Supply Chain,Workplace and Contact Center,AI product owner,offshore,standard
WORK-HCDN-03399,employee,Privacy,Security Identity and Compliance,Epic analyst,hybrid,transition sensitive
WORK-HCDN-03400,contractor,Compliance,Integration and Interoperability,SQL/BI developer,onsite,critical knowledge holder
WORK-HCDN-03401,managed-service role,Provider Network,ERP and Corporate Platforms,claims platform analyst,nearshore,standard
WORK-HCDN-03402,employee,Value-Based Care,Clinical and Epic AMS,cloud engineer,offshore,standard
WORK-HCDN-03403,contractor,Clinical Operations,Payer Platform Operations,data engineer,hybrid,standard
WORK-HCDN-03404,managed-service role,Revenue Cycle,Data Analytics and AI,security,onsite,standard
WORK-HCDN-03405,employee,Patient Access,Revenue Cycle Technology,service desk,nearshore,standard
