Play_ID,Metric_ID,Peer_or_Archetype,Play_Name,Metric_Moved,Delta,Enablers,Reference_Pattern,Domain
FIRSTCAPITAL-PLAY-0001,FIRSTCAPITAL-MET-0001,top quartile operator,First Capital Financial comparable transformation play 1,First Capital Financial benefit realization against committed value metric 1,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0108,FIRSTCAPITAL-MET-0108,top quartile operator,First Capital Financial comparable transformation play 108,First Capital Financial open control and governance pressure metric 108,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0109,FIRSTCAPITAL-MET-0109,top quartile operator,First Capital Financial comparable transformation play 109,First Capital Financial active usage of changed workflow metric 109,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0110,FIRSTCAPITAL-MET-0110,top quartile operator,First Capital Financial comparable transformation play 110,First Capital Financial unit cost across served population or customer journey metric 110,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0111,FIRSTCAPITAL-MET-0111,top quartile operator,First Capital Financial comparable transformation play 111,First Capital Financial benefit realization against committed value metric 111,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0112,FIRSTCAPITAL-MET-0112,top quartile operator,First Capital Financial comparable transformation play 112,First Capital Financial elapsed time for target process metric 112,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0113,FIRSTCAPITAL-MET-0113,top quartile operator,First Capital Financial comparable transformation play 113,First Capital Financial open control and governance pressure metric 113,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0114,FIRSTCAPITAL-MET-0114,top quartile operator,First Capital Financial comparable transformation play 114,First Capital Financial active usage of changed workflow metric 114,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0115,FIRSTCAPITAL-MET-0115,top quartile operator,First Capital Financial comparable transformation play 115,First Capital Financial unit cost across served population or customer journey metric 115,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0116,FIRSTCAPITAL-MET-0116,top quartile operator,First Capital Financial comparable transformation play 116,First Capital Financial benefit realization against committed value metric 116,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0117,FIRSTCAPITAL-MET-0117,top quartile operator,First Capital Financial comparable transformation play 117,First Capital Financial elapsed time for target process metric 117,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0118,FIRSTCAPITAL-MET-0118,top quartile operator,First Capital Financial comparable transformation play 118,First Capital Financial open control and governance pressure metric 118,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0119,FIRSTCAPITAL-MET-0119,top quartile operator,First Capital Financial comparable transformation play 119,First Capital Financial active usage of changed workflow metric 119,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0120,FIRSTCAPITAL-MET-0120,top quartile operator,First Capital Financial comparable transformation play 120,First Capital Financial unit cost across served population or customer journey metric 120,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0121,FIRSTCAPITAL-MET-0121,top quartile operator,First Capital Financial comparable transformation play 121,First Capital Financial benefit realization against committed value metric 121,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0122,FIRSTCAPITAL-MET-0122,top quartile operator,First Capital Financial comparable transformation play 122,First Capital Financial elapsed time for target process metric 122,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0123,FIRSTCAPITAL-MET-0123,top quartile operator,First Capital Financial comparable transformation play 123,First Capital Financial open control and governance pressure metric 123,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0124,FIRSTCAPITAL-MET-0124,top quartile operator,First Capital Financial comparable transformation play 124,First Capital Financial active usage of changed workflow metric 124,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0125,FIRSTCAPITAL-MET-0125,top quartile operator,First Capital Financial comparable transformation play 125,First Capital Financial unit cost across served population or customer journey metric 125,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0126,FIRSTCAPITAL-MET-0126,top quartile operator,First Capital Financial comparable transformation play 126,First Capital Financial benefit realization against committed value metric 126,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0127,FIRSTCAPITAL-MET-0127,top quartile operator,First Capital Financial comparable transformation play 127,First Capital Financial elapsed time for target process metric 127,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0128,FIRSTCAPITAL-MET-0128,top quartile operator,First Capital Financial comparable transformation play 128,First Capital Financial open control and governance pressure metric 128,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0129,FIRSTCAPITAL-MET-0129,top quartile operator,First Capital Financial comparable transformation play 129,First Capital Financial active usage of changed workflow metric 129,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0130,FIRSTCAPITAL-MET-0130,top quartile operator,First Capital Financial comparable transformation play 130,First Capital Financial unit cost across served population or customer journey metric 130,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0131,FIRSTCAPITAL-MET-0131,top quartile operator,First Capital Financial comparable transformation play 131,First Capital Financial benefit realization against committed value metric 131,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0132,FIRSTCAPITAL-MET-0132,top quartile operator,First Capital Financial comparable transformation play 132,First Capital Financial elapsed time for target process metric 132,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0133,FIRSTCAPITAL-MET-0133,top quartile operator,First Capital Financial comparable transformation play 133,First Capital Financial open control and governance pressure metric 133,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0134,FIRSTCAPITAL-MET-0134,top quartile operator,First Capital Financial comparable transformation play 134,First Capital Financial active usage of changed workflow metric 134,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0135,FIRSTCAPITAL-MET-0135,top quartile operator,First Capital Financial comparable transformation play 135,First Capital Financial unit cost across served population or customer journey metric 135,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0136,FIRSTCAPITAL-MET-0136,top quartile operator,First Capital Financial comparable transformation play 136,First Capital Financial benefit realization against committed value metric 136,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0137,FIRSTCAPITAL-MET-0137,top quartile operator,First Capital Financial comparable transformation play 137,First Capital Financial elapsed time for target process metric 137,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0138,FIRSTCAPITAL-MET-0138,top quartile operator,First Capital Financial comparable transformation play 138,First Capital Financial open control and governance pressure metric 138,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0139,FIRSTCAPITAL-MET-0139,top quartile operator,First Capital Financial comparable transformation play 139,First Capital Financial active usage of changed workflow metric 139,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0140,FIRSTCAPITAL-MET-0140,top quartile operator,First Capital Financial comparable transformation play 140,First Capital Financial unit cost across served population or customer journey metric 140,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0141,FIRSTCAPITAL-MET-0141,top quartile operator,First Capital Financial comparable transformation play 141,First Capital Financial benefit realization against committed value metric 141,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0142,FIRSTCAPITAL-MET-0142,top quartile operator,First Capital Financial comparable transformation play 142,First Capital Financial elapsed time for target process metric 142,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0143,FIRSTCAPITAL-MET-0143,top quartile operator,First Capital Financial comparable transformation play 143,First Capital Financial open control and governance pressure metric 143,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0144,FIRSTCAPITAL-MET-0144,top quartile operator,First Capital Financial comparable transformation play 144,First Capital Financial active usage of changed workflow metric 144,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
