template_file,sheet_name,business_object_family,column_name,business_metadata_name,business_definition,data_type,required_level,required_for_surfaces,allowed_answer_types,not_allowed_claims,allowed_values,source_provenance_rule,example_value
templates/V6_04_workforce_personas.csv,04 Workforce Personas,workforce_persona,persona_name,Persona Name,Business-readable persona or role group.,text,required,"Intelligence, Tower",executive-readable adoption answers,Do not use generic role labels when specific names exist.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_04_workforce_personas.csv,04 Workforce Personas,workforce_persona,business_area,Business Area,Function or area where the persona works.,text,required,"Intelligence, Tower",function-level grouping,Do not infer from system usage alone.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_04_workforce_personas.csv,04 Workforce Personas,workforce_persona,population_count,Population Count,Number of people represented by the persona.,integer,recommended,"Tower, Intelligence",scale and value sizing,Do not size benefits without population confidence.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_04_workforce_personas.csv,04 Workforce Personas,workforce_persona,ai_relevance,AI Relevance,Why the persona is relevant to AI-enabled work change.,text,recommended,"Intelligence, Tower",opportunity and adoption framing,Do not assume every role benefits equally from AI.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_04_workforce_personas.csv,04 Workforce Personas,workforce_persona,work_context,Work Context,Description of work performed and constraints.,text,required,"Intelligence, Moves",work redesign context,Do not recommend automation without understanding work context.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,tenant_key,Tenant Key,Canonical tenant identifier used to isolate all client data and answer context.,text,required,all,tenant data isolation and client identity,Do not answer unless the tenant key matches the signed-in tenant.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,Industrial Demo-industries
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,client_display_name,Client Display Name,Human-readable client name shown in experience surfaces and reports.,text,required,all,client-facing naming and narrative,Do not infer from tenant key if absent.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,Airline Demo
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,v6_contract_version,V6 Contract Version,Version of the V6 template contract used to create this row.,text,required,all,schema compatibility and loader routing,Do not mix rows from different contracts without migration notes.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,v6.0
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,business_object_family,Business Object Family,Business domain family represented by the row.,enum,required,all,"routing, packet assembly, and tab grouping",Do not expose raw table names as business categories.,enterprise_profile|business_function|org_ownership|workforce_persona|application_system|infrastructure_cloud|data_asset_integration|vendor_contract|spend_value|program_initiative|ai_initiative|operations_risk_control|relationship|evidence_source|metric_definition|industry_corpus_pattern|expert_lens,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,application_system
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,record_id,Business Record ID,Stable client-unique identifier for the business object.,text,required,all,"citations, joins, relationships, and refresh reconciliation",Do not generate a new ID on refresh for the same real object.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,APPLICATION_SYSTEM-001
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,record_name,Business Record Name,Business-readable name of the object.,text,required,all,executive-readable answers and UI cards,Do not answer with only record IDs when names are available.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,Example business object
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,source_system,Source System,"System, document, export, or owner-provided source from which the row was derived.",text,required,all,source grounding and evidence lineage,Do not claim system-of-record status unless source_basis says so.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,client_system_export
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,source_owner,Source Owner,Named role or team accountable for the source data.,text,required,all,"ownership, stewardship, and gap follow-up",Do not invent a person or team if unknown.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,CIO Office
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,source_basis,Source Basis,"How the row was established: system export, contract, interview, benchmark, synthetic demo, or derived calculation.",enum,required,all,confidence and answer caveats,Do not treat synthetic or interview evidence as audited fact.,system_export|contract|document|interview|workshop|benchmark|industry_pattern|derived_calculation|synthetic_demo|unknown,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,system_export
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,source_file,Source File,Original V6 file or document path used for traceability.,text,required,all,audit trace and reload diagnostics,Do not show internal paths in executive answers.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,V6_10_ai_initiatives.csv
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,source_row_number,Source Row Number,Original row number or location marker within the source file.,integer,required_if_tabular,all,cell-level citation and row-level QA,Do not fabricate row references.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,2
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,as_of_date,As Of Date,Date the row values are true as of.,date,required,all,freshness and time-bound claims,Do not present stale data as current.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,2026-06-28
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,period_start,Period Start Date,Start date for period-based measures.,date,required_if_metric,all,period-specific comparisons and metrics,Do not compare measures without compatible periods.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,2026-01-01
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,period_end,Period End Date,End date for period-based measures.,date,required_if_metric,all,period-specific comparisons and metrics,Do not compare measures without compatible periods.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,2026-06-28
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,refresh_frequency,Refresh Frequency,Expected update cadence for this row.,enum,required,all,freshness warnings and data operations,Do not promise real-time if cadence is slower.,real_time|daily|weekly|monthly|quarterly|event_driven|static_snapshot|unknown,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,monthly
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,confidence,Evidence Confidence,Confidence level for the row based on source quality and completeness.,enum,required,all,answer confidence labels and gap handling,Do not upgrade confidence in the renderer or prompt.,high|medium|low|unknown,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,medium
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,synthetic_demo_flag,Synthetic Demo Flag,"Whether the row is synthetic, demo-derived, or client-provided.",enum,required,all,demo honesty and production readiness,Do not represent synthetic demo data as client truth.,client_provided|synthetic_demo|mixed|unknown,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,client_provided
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,data_sensitivity,Data Sensitivity,"Sensitivity classification for access, logging, and export controls.",enum,required,all,security controls and export behavior,Do not include restricted data in broad exports.,public|internal|confidential|restricted,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,confidential
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,required_for_surfaces,Required Product Surfaces,Product surfaces that depend on this row.,list,required,all,loader gates and surface readiness,Do not mark a surface ready if required rows are absent.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,Home|Intelligence|Tower
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,allowed_answer_types,Allowed Answer Types,Types of claims the system may make from this row.,list,required,all,answer policy and prompt assembly,Do not exceed this claim boundary.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,current_state|gap|recommendation
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,not_allowed_claims,Not Allowed Claims,Claims that must not be made from this row.,list,required,all,answer safety and executive trust,Do not remove these caveats downstream.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,board_grade_value_without_metric_proof
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,known_gaps,Known Evidence Gaps,"Specific missing facts, caveats, or validation gaps for this row.",text,required,all,DATA-THIN classification and next-best questions,Do not hide gaps in the final answer.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,none
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,created_at,Created At,Timestamp when this V6 row was created.,datetime,required,all,lineage and auditability,Do not overwrite on refresh.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,2026-06-28T00:00:00Z
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,updated_at,Updated At,Timestamp when this V6 row was last updated.,datetime,required,all,lineage and auditability,Do not leave stale after row changes.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,2026-06-28T00:00:00Z
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,system_id,System ID,"Stable identifier for an application, platform, or system.",text,required,"Home, Intelligence, Tower",system inventory and relationship joins,Do not join by display name only.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,system_name,System Name,Business-readable application or platform name.,text,required,"Home, Intelligence",technology landscape answers,Do not answer with only IDs.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,business_capability,Business Capability,Capability or process supported by the system.,text,required,"Intelligence, Moves",capability impact and modernization analysis,Do not infer business criticality from capability alone.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,system_owner,System Owner,Role or team accountable for the system.,text,required,"Home, Intelligence, Source",ownership and follow-up questions,Do not invent owner from vendor.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,criticality,Business Criticality,Operational importance of the system.,enum,required,"Home, Tower",risk and prioritization,Do not mark critical without evidence basis.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,lifecycle_status,Lifecycle Status,"Current lifecycle state such as strategic, tolerate, migrate, retire.",enum,recommended,"Intelligence, Tower",modernization and rationalization,Do not recommend retire without dependency evidence.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,vendor_id,Vendor ID,Linked vendor identifier if externally supplied.,text,recommended,"Source, Tower",vendor and contract joins,Do not infer active contract from vendor ID alone.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,annual_cost_usd,Annual Cost USD,Annual run or license cost tied to the system.,currency,recommended,"Tower, Intelligence",cost and value analysis,Do not state savings without amount type and period.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,integrations,Integrations,Known upstream/downstream integrations.,list,recommended,"Home, Intelligence",dependency and blast-radius analysis,Do not claim no dependencies when field is blank.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,data_dependencies,Data Dependencies,Data assets or flows the system depends on.,list,recommended,"Home, Intelligence",data readiness and AI feasibility,Do not recommend AI use if data dependencies are unknown without caveat.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_05_applications_systems.csv,05 Applications Systems,application_system,ai_relevance,AI Relevance,"How the system enables, blocks, or hosts AI-enabled work.",text,recommended,"Intelligence, Tower",AI opportunity and readiness analysis,Do not overstate AI readiness from system presence alone.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,tenant_key,Tenant Key,Canonical tenant identifier used to isolate all client data and answer context.,text,required,all,tenant data isolation and client identity,Do not answer unless the tenant key matches the signed-in tenant.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,Industrial Demo-industries
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,client_display_name,Client Display Name,Human-readable client name shown in experience surfaces and reports.,text,required,all,client-facing naming and narrative,Do not infer from tenant key if absent.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,Airline Demo
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,v6_contract_version,V6 Contract Version,Version of the V6 template contract used to create this row.,text,required,all,schema compatibility and loader routing,Do not mix rows from different contracts without migration notes.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,v6.0
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,business_object_family,Business Object Family,Business domain family represented by the row.,enum,required,all,"routing, packet assembly, and tab grouping",Do not expose raw table names as business categories.,enterprise_profile|business_function|org_ownership|workforce_persona|application_system|infrastructure_cloud|data_asset_integration|vendor_contract|spend_value|program_initiative|ai_initiative|operations_risk_control|relationship|evidence_source|metric_definition|industry_corpus_pattern|expert_lens,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,data_asset_integration
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,record_id,Business Record ID,Stable client-unique identifier for the business object.,text,required,all,"citations, joins, relationships, and refresh reconciliation",Do not generate a new ID on refresh for the same real object.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,DATA_ASSET_INTEGRATION-001
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,record_name,Business Record Name,Business-readable name of the object.,text,required,all,executive-readable answers and UI cards,Do not answer with only record IDs when names are available.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,Example business object
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,source_system,Source System,"System, document, export, or owner-provided source from which the row was derived.",text,required,all,source grounding and evidence lineage,Do not claim system-of-record status unless source_basis says so.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,client_system_export
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,source_owner,Source Owner,Named role or team accountable for the source data.,text,required,all,"ownership, stewardship, and gap follow-up",Do not invent a person or team if unknown.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,CIO Office
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,source_basis,Source Basis,"How the row was established: system export, contract, interview, benchmark, synthetic demo, or derived calculation.",enum,required,all,confidence and answer caveats,Do not treat synthetic or interview evidence as audited fact.,system_export|contract|document|interview|workshop|benchmark|industry_pattern|derived_calculation|synthetic_demo|unknown,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,system_export
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,source_file,Source File,Original V6 file or document path used for traceability.,text,required,all,audit trace and reload diagnostics,Do not show internal paths in executive answers.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,V6_10_ai_initiatives.csv
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,source_row_number,Source Row Number,Original row number or location marker within the source file.,integer,required_if_tabular,all,cell-level citation and row-level QA,Do not fabricate row references.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,2
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,as_of_date,As Of Date,Date the row values are true as of.,date,required,all,freshness and time-bound claims,Do not present stale data as current.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,2026-06-28
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,period_start,Period Start Date,Start date for period-based measures.,date,required_if_metric,all,period-specific comparisons and metrics,Do not compare measures without compatible periods.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,2026-01-01
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,period_end,Period End Date,End date for period-based measures.,date,required_if_metric,all,period-specific comparisons and metrics,Do not compare measures without compatible periods.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,2026-06-28
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,refresh_frequency,Refresh Frequency,Expected update cadence for this row.,enum,required,all,freshness warnings and data operations,Do not promise real-time if cadence is slower.,real_time|daily|weekly|monthly|quarterly|event_driven|static_snapshot|unknown,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,monthly
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,confidence,Evidence Confidence,Confidence level for the row based on source quality and completeness.,enum,required,all,answer confidence labels and gap handling,Do not upgrade confidence in the renderer or prompt.,high|medium|low|unknown,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,medium
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,synthetic_demo_flag,Synthetic Demo Flag,"Whether the row is synthetic, demo-derived, or client-provided.",enum,required,all,demo honesty and production readiness,Do not represent synthetic demo data as client truth.,client_provided|synthetic_demo|mixed|unknown,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,client_provided
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,data_sensitivity,Data Sensitivity,"Sensitivity classification for access, logging, and export controls.",enum,required,all,security controls and export behavior,Do not include restricted data in broad exports.,public|internal|confidential|restricted,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,confidential
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,required_for_surfaces,Required Product Surfaces,Product surfaces that depend on this row.,list,required,all,loader gates and surface readiness,Do not mark a surface ready if required rows are absent.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,Home|Intelligence|Tower
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,allowed_answer_types,Allowed Answer Types,Types of claims the system may make from this row.,list,required,all,answer policy and prompt assembly,Do not exceed this claim boundary.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,current_state|gap|recommendation
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,not_allowed_claims,Not Allowed Claims,Claims that must not be made from this row.,list,required,all,answer safety and executive trust,Do not remove these caveats downstream.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,board_grade_value_without_metric_proof
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,known_gaps,Known Evidence Gaps,"Specific missing facts, caveats, or validation gaps for this row.",text,required,all,DATA-THIN classification and next-best questions,Do not hide gaps in the final answer.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,none
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,created_at,Created At,Timestamp when this V6 row was created.,datetime,required,all,lineage and auditability,Do not overwrite on refresh.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,2026-06-28T00:00:00Z
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,updated_at,Updated At,Timestamp when this V6 row was last updated.,datetime,required,all,lineage and auditability,Do not leave stale after row changes.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,2026-06-28T00:00:00Z
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,data_asset_id,Data Asset ID,"Stable identifier for data asset, product, feed, or integration.",text,required,"Home, Intelligence",data estate inventory and joins,Do not join by vague data domain names.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,data_asset_name,Data Asset Name,Business-readable data asset or flow name.,text,required,"Home, Intelligence",data readiness answers,Do not expose raw file/table names alone.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,data_owner,Data Owner,Role or team accountable for the data asset.,text,required,"Home, Intelligence",stewardship and gap closure,Do not invent owner from consuming system.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,system_of_record,System of Record,Authoritative source system for the data.,text,recommended,"Home, Intelligence",truth-source and lineage claims,Do not call it authoritative unless provided.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,lineage,Lineage,Known upstream and downstream movement of the data.,text,recommended,Intelligence,dependency and trust analysis,Do not imply lineage is complete if partial.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,consumers,Consumers,"Systems, teams, reports, or models consuming the data.",list,recommended,"Home, Intelligence, Tower",impact and adoption analysis,Do not assume consumers from access logs only.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,quality_score,Data Quality Score,Quality measure or rating for the data asset.,number,recommended,"Home, Intelligence",AI readiness and trust scoring,Do not compare scores without scale definition.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_06_data_assets_integrations.csv,06 Data Integrations,data_asset_integration,governance_status,Governance Status,"Certification, stewardship, policy, or control status.",enum,required,"Home, Intelligence",trust and AI readiness,Do not treat ungoverned data as production-ready.,,"Must tie to source_basis, source_file, source_owner, as_of_date, confidence, and known_gaps.",
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,tenant_key,Tenant Key,Canonical tenant identifier used to isolate all client data and answer context.,text,required,all,tenant data isolation and client identity,Do not answer unless the tenant key matches the signed-in tenant.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,Industrial Demo-industries
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,client_display_name,Client Display Name,Human-readable client name shown in experience surfaces and reports.,text,required,all,client-facing naming and narrative,Do not infer from tenant key if absent.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,Airline Demo
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,v6_contract_version,V6 Contract Version,Version of the V6 template contract used to create this row.,text,required,all,schema compatibility and loader routing,Do not mix rows from different contracts without migration notes.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,v6.0
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,business_object_family,Business Object Family,Business domain family represented by the row.,enum,required,all,"routing, packet assembly, and tab grouping",Do not expose raw table names as business categories.,enterprise_profile|business_function|org_ownership|workforce_persona|application_system|infrastructure_cloud|data_asset_integration|vendor_contract|spend_value|program_initiative|ai_initiative|operations_risk_control|relationship|evidence_source|metric_definition|industry_corpus_pattern|expert_lens,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,vendor_contract
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,record_id,Business Record ID,Stable client-unique identifier for the business object.,text,required,all,"citations, joins, relationships, and refresh reconciliation",Do not generate a new ID on refresh for the same real object.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,VENDOR_CONTRACT-001
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,record_name,Business Record Name,Business-readable name of the object.,text,required,all,executive-readable answers and UI cards,Do not answer with only record IDs when names are available.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,Example business object
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,source_system,Source System,"System, document, export, or owner-provided source from which the row was derived.",text,required,all,source grounding and evidence lineage,Do not claim system-of-record status unless source_basis says so.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,client_system_export
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,source_owner,Source Owner,Named role or team accountable for the source data.,text,required,all,"ownership, stewardship, and gap follow-up",Do not invent a person or team if unknown.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,CIO Office
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,source_basis,Source Basis,"How the row was established: system export, contract, interview, benchmark, synthetic demo, or derived calculation.",enum,required,all,confidence and answer caveats,Do not treat synthetic or interview evidence as audited fact.,system_export|contract|document|interview|workshop|benchmark|industry_pattern|derived_calculation|synthetic_demo|unknown,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,system_export
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,source_file,Source File,Original V6 file or document path used for traceability.,text,required,all,audit trace and reload diagnostics,Do not show internal paths in executive answers.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,V6_10_ai_initiatives.csv
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,source_row_number,Source Row Number,Original row number or location marker within the source file.,integer,required_if_tabular,all,cell-level citation and row-level QA,Do not fabricate row references.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,2
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,as_of_date,As Of Date,Date the row values are true as of.,date,required,all,freshness and time-bound claims,Do not present stale data as current.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,2026-06-28
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,period_start,Period Start Date,Start date for period-based measures.,date,required_if_metric,all,period-specific comparisons and metrics,Do not compare measures without compatible periods.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,2026-01-01
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,period_end,Period End Date,End date for period-based measures.,date,required_if_metric,all,period-specific comparisons and metrics,Do not compare measures without compatible periods.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,2026-06-28
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,refresh_frequency,Refresh Frequency,Expected update cadence for this row.,enum,required,all,freshness warnings and data operations,Do not promise real-time if cadence is slower.,real_time|daily|weekly|monthly|quarterly|event_driven|static_snapshot|unknown,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,monthly
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,confidence,Evidence Confidence,Confidence level for the row based on source quality and completeness.,enum,required,all,answer confidence labels and gap handling,Do not upgrade confidence in the renderer or prompt.,high|medium|low|unknown,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,medium
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,synthetic_demo_flag,Synthetic Demo Flag,"Whether the row is synthetic, demo-derived, or client-provided.",enum,required,all,demo honesty and production readiness,Do not represent synthetic demo data as client truth.,client_provided|synthetic_demo|mixed|unknown,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,client_provided
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,data_sensitivity,Data Sensitivity,"Sensitivity classification for access, logging, and export controls.",enum,required,all,security controls and export behavior,Do not include restricted data in broad exports.,public|internal|confidential|restricted,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,confidential
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,required_for_surfaces,Required Product Surfaces,Product surfaces that depend on this row.,list,required,all,loader gates and surface readiness,Do not mark a surface ready if required rows are absent.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,Home|Intelligence|Tower
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,allowed_answer_types,Allowed Answer Types,Types of claims the system may make from this row.,list,required,all,answer policy and prompt assembly,Do not exceed this claim boundary.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,current_state|gap|recommendation
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,not_allowed_claims,Not Allowed Claims,Claims that must not be made from this row.,list,required,all,answer safety and executive trust,Do not remove these caveats downstream.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,board_grade_value_without_metric_proof
templates/V6_07_vendors_contracts.csv,07 Vendors Contracts,vendor_contract,known_gaps,Known Evidence Gaps,"Specific missing facts, caveats, or validation gaps for this row.",text,required,all,DATA-THIN classification and next-best questions,Do not hide gaps in the final answer.,,Must be populated or explicitly marked unknown/not_applicable with known_gaps.,none
