tenant_key,fact_id,evidence_id,fact_type,interview_group,priority_theme,business_priority,fact_text,decision_supported,confidence,active_candidate_status
meridian-health,MER-SA07-FACT-0067,MER-SA07-INT-EVID-0067,executive_interview_observation,Chief Experience Officer / Member Experience,AI readiness,End-to-end cost transparency,"Chief Experience Officer / Member Experience says End-to-end cost transparency is promising, but AI readiness is not decision-grade until General ledger and close reporting evidence closes: Cost allocation rules not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0068,MER-SA07-INT-EVID-0068,executive_interview_observation,Chief Experience Officer / Member Experience,risk,Payment integrity and leakage reduction,"Chief Experience Officer / Member Experience says Payment integrity and leakage reduction is promising, but risk is not decision-grade until Provider contract repository evidence closes: Recovery realization tracking not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0069,MER-SA07-INT-EVID-0069,executive_interview_observation,Chief Experience Officer / Member Experience,metrics,Automated close and reporting,"Chief Experience Officer / Member Experience says Automated close and reporting is promising, but metrics is not decision-grade until General ledger and close reporting evidence closes: Manual reporting maintenance load. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0070,MER-SA07-INT-EVID-0070,executive_interview_observation,Chief Experience Officer / Member Experience,value,Unified clinical + claims lakehouse,"Chief Experience Officer / Member Experience says Unified clinical + claims lakehouse is promising, but value is not decision-grade until Databricks on AWS evidence closes: No patient/member identity spine loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0071,MER-SA07-INT-EVID-0071,executive_interview_observation,Chief Experience Officer / Member Experience,sourcing,Governed data foundation for AI / LLM automation,"Chief Experience Officer / Member Experience says Governed data foundation for AI / LLM automation is promising, but sourcing is not decision-grade until SAS analytics estate evidence closes: No AI audit trail evidence. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0072,MER-SA07-INT-EVID-0072,executive_interview_observation,Chief Experience Officer / Member Experience,evidence,Call center optimization,"Chief Experience Officer / Member Experience says Call center optimization is promising, but evidence is not decision-grade until Power BI reporting estate evidence closes: Member identity linkage not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0073,MER-SA07-INT-EVID-0073,executive_interview_observation,COO / Operations,strategy,Automated close and reporting,"COO / Operations says Automated close and reporting is promising, but strategy is not decision-grade until General ledger and close reporting evidence closes: Manual reporting maintenance load. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0074,MER-SA07-INT-EVID-0074,executive_interview_observation,COO / Operations,operating model,Unified clinical + claims lakehouse,"COO / Operations says Unified clinical + claims lakehouse is promising, but operating model is not decision-grade until Epic Caboodle evidence closes: No patient/member identity spine loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0075,MER-SA07-INT-EVID-0075,executive_interview_observation,COO / Operations,vendor,Governed data foundation for AI / LLM automation,"COO / Operations says Governed data foundation for AI / LLM automation is promising, but vendor is not decision-grade until SAS analytics estate evidence closes: No AI audit trail evidence. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0076,MER-SA07-INT-EVID-0076,executive_interview_observation,COO / Operations,platform,Call center optimization,"COO / Operations says Call center optimization is promising, but platform is not decision-grade until Power BI reporting estate evidence closes: Member identity linkage not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0077,MER-SA07-INT-EVID-0077,executive_interview_observation,COO / Operations,data,Provider quality and performance,"COO / Operations says Provider quality and performance is promising, but data is not decision-grade until Provider contract repository evidence closes: Measure logic fragmented across BI tools. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0078,MER-SA07-INT-EVID-0078,executive_interview_observation,COO / Operations,modernization,End-to-end cost transparency,"COO / Operations says End-to-end cost transparency is promising, but modernization is not decision-grade until Provider contract repository evidence closes: Claims and GL calendar alignment not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0079,MER-SA07-INT-EVID-0079,executive_interview_observation,COO / Operations,AI readiness,Payment integrity and leakage reduction,"COO / Operations says Payment integrity and leakage reduction is promising, but AI readiness is not decision-grade until SQL Server reporting marts evidence closes: Investigation workflow evidence not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0080,MER-SA07-INT-EVID-0080,executive_interview_observation,COO / Operations,risk,Automated close and reporting,"COO / Operations says Automated close and reporting is promising, but risk is not decision-grade until SQL Server reporting marts evidence closes: Metric governance not formalized. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0081,MER-SA07-INT-EVID-0081,executive_interview_observation,COO / Operations,metrics,Unified clinical + claims lakehouse,"COO / Operations says Unified clinical + claims lakehouse is promising, but metrics is not decision-grade until Pharmacy claims platform evidence closes: No certified medallion architecture. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0082,MER-SA07-INT-EVID-0082,executive_interview_observation,COO / Operations,value,Governed data foundation for AI / LLM automation,"COO / Operations says Governed data foundation for AI / LLM automation is promising, but value is not decision-grade until SQL Server reporting marts evidence closes: No certified semantic layer. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0083,MER-SA07-INT-EVID-0083,executive_interview_observation,COO / Operations,sourcing,Call center optimization,"COO / Operations says Call center optimization is promising, but sourcing is not decision-grade until Claims administration platform evidence closes: Intent taxonomy not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0084,MER-SA07-INT-EVID-0084,executive_interview_observation,COO / Operations,evidence,Provider quality and performance,"COO / Operations says Provider quality and performance is promising, but evidence is not decision-grade until Epic Clarity evidence closes: Near-real-time quality layer not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0085,MER-SA07-INT-EVID-0085,executive_interview_observation,Chief Medical / Clinical Operations,strategy,Unified clinical + claims lakehouse,"Chief Medical / Clinical Operations says Unified clinical + claims lakehouse is promising, but strategy is not decision-grade until Epic Clarity evidence closes: No certified medallion architecture. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0086,MER-SA07-INT-EVID-0086,executive_interview_observation,Chief Medical / Clinical Operations,operating model,Governed data foundation for AI / LLM automation,"Chief Medical / Clinical Operations says Governed data foundation for AI / LLM automation is promising, but operating model is not decision-grade until SQL Server reporting marts evidence closes: No certified semantic layer. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0087,MER-SA07-INT-EVID-0087,executive_interview_observation,Chief Medical / Clinical Operations,vendor,Call center optimization,"Chief Medical / Clinical Operations says Call center optimization is promising, but vendor is not decision-grade until Claims administration platform evidence closes: Intent taxonomy not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0088,MER-SA07-INT-EVID-0088,executive_interview_observation,Chief Medical / Clinical Operations,platform,Provider quality and performance,"Chief Medical / Clinical Operations says Provider quality and performance is promising, but platform is not decision-grade until Power BI reporting estate evidence closes: Near-real-time quality layer not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0089,MER-SA07-INT-EVID-0089,executive_interview_observation,Chief Medical / Clinical Operations,data,End-to-end cost transparency,"Chief Medical / Clinical Operations says End-to-end cost transparency is promising, but data is not decision-grade until Claims administration platform evidence closes: Provider contract terms not digitized in governed form. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0090,MER-SA07-INT-EVID-0090,executive_interview_observation,Chief Medical / Clinical Operations,modernization,Payment integrity and leakage reduction,"Chief Medical / Clinical Operations says Payment integrity and leakage reduction is promising, but modernization is not decision-grade until SAS analytics estate evidence closes: Provider entity resolution not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0091,MER-SA07-INT-EVID-0091,executive_interview_observation,Chief Medical / Clinical Operations,AI readiness,Automated close and reporting,"Chief Medical / Clinical Operations says Automated close and reporting is promising, but AI readiness is not decision-grade until Tableau reporting estate evidence closes: Close workflow integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0092,MER-SA07-INT-EVID-0092,executive_interview_observation,Chief Medical / Clinical Operations,risk,Unified clinical + claims lakehouse,"Chief Medical / Clinical Operations says Unified clinical + claims lakehouse is promising, but risk is not decision-grade until Claims administration platform evidence closes: AWS/Databricks foundation not ready. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0093,MER-SA07-INT-EVID-0093,executive_interview_observation,Chief Medical / Clinical Operations,metrics,Governed data foundation for AI / LLM automation,"Chief Medical / Clinical Operations says Governed data foundation for AI / LLM automation is promising, but metrics is not decision-grade until Epic Clarity evidence closes: No formal data governance. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0094,MER-SA07-INT-EVID-0094,executive_interview_observation,Chief Medical / Clinical Operations,value,Call center optimization,"Chief Medical / Clinical Operations says Call center optimization is promising, but value is not decision-grade until CRM / member case management evidence closes: Real-time integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0095,MER-SA07-INT-EVID-0095,executive_interview_observation,Chief Medical / Clinical Operations,sourcing,Provider quality and performance,"Chief Medical / Clinical Operations says Provider quality and performance is promising, but sourcing is not decision-grade until Epic Caboodle evidence closes: Provider contract linkage not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0096,MER-SA07-INT-EVID-0096,executive_interview_observation,Chief Medical / Clinical Operations,evidence,End-to-end cost transparency,"Chief Medical / Clinical Operations says End-to-end cost transparency is promising, but evidence is not decision-grade until SQL Server reporting marts evidence closes: Margin semantic model not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0097,MER-SA07-INT-EVID-0097,executive_interview_observation,Health Plan Operations / Claims & Eligibility,strategy,Governed data foundation for AI / LLM automation,"Health Plan Operations / Claims & Eligibility says Governed data foundation for AI / LLM automation is promising, but strategy is not decision-grade until Epic Clarity evidence closes: No formal data governance. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0098,MER-SA07-INT-EVID-0098,executive_interview_observation,Health Plan Operations / Claims & Eligibility,operating model,Call center optimization,"Health Plan Operations / Claims & Eligibility says Call center optimization is promising, but operating model is not decision-grade until CRM / member case management evidence closes: Real-time integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0099,MER-SA07-INT-EVID-0099,executive_interview_observation,Health Plan Operations / Claims & Eligibility,vendor,Provider quality and performance,"Health Plan Operations / Claims & Eligibility says Provider quality and performance is promising, but vendor is not decision-grade until Tableau reporting estate evidence closes: Provider contract linkage not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0100,MER-SA07-INT-EVID-0100,executive_interview_observation,Health Plan Operations / Claims & Eligibility,platform,End-to-end cost transparency,"Health Plan Operations / Claims & Eligibility says End-to-end cost transparency is promising, but platform is not decision-grade until SQL Server reporting marts evidence closes: Margin semantic model not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0101,MER-SA07-INT-EVID-0101,executive_interview_observation,Health Plan Operations / Claims & Eligibility,data,Payment integrity and leakage reduction,"Health Plan Operations / Claims & Eligibility says Payment integrity and leakage reduction is promising, but data is not decision-grade until Claims administration platform evidence closes: Rules and model lineage not governed. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0102,MER-SA07-INT-EVID-0102,executive_interview_observation,Health Plan Operations / Claims & Eligibility,modernization,Automated close and reporting,"Health Plan Operations / Claims & Eligibility says Automated close and reporting is promising, but modernization is not decision-grade until Power BI reporting estate evidence closes: Certified finance semantic layer not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0103,MER-SA07-INT-EVID-0103,executive_interview_observation,Health Plan Operations / Claims & Eligibility,AI readiness,Unified clinical + claims lakehouse,"Health Plan Operations / Claims & Eligibility says Unified clinical + claims lakehouse is promising, but AI readiness is not decision-grade until Epic Caboodle evidence closes: Claims and pharmacy harmonization not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0104,MER-SA07-INT-EVID-0104,executive_interview_observation,Health Plan Operations / Claims & Eligibility,risk,Governed data foundation for AI / LLM automation,"Health Plan Operations / Claims & Eligibility says Governed data foundation for AI / LLM automation is promising, but risk is not decision-grade until Databricks on AWS evidence closes: Data quality rules not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0105,MER-SA07-INT-EVID-0105,executive_interview_observation,Health Plan Operations / Claims & Eligibility,metrics,Call center optimization,"Health Plan Operations / Claims & Eligibility says Call center optimization is promising, but metrics is not decision-grade until Contact center transcript and telephony platform evidence closes: Transcript governance not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0106,MER-SA07-INT-EVID-0106,executive_interview_observation,Health Plan Operations / Claims & Eligibility,value,Provider quality and performance,"Health Plan Operations / Claims & Eligibility says Provider quality and performance is promising, but value is not decision-grade until Provider contract repository evidence closes: Attribution ownership not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0107,MER-SA07-INT-EVID-0107,executive_interview_observation,Health Plan Operations / Claims & Eligibility,sourcing,End-to-end cost transparency,"Health Plan Operations / Claims & Eligibility says End-to-end cost transparency is promising, but sourcing is not decision-grade until General ledger and close reporting evidence closes: Cost allocation rules not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0108,MER-SA07-INT-EVID-0108,executive_interview_observation,Health Plan Operations / Claims & Eligibility,evidence,Payment integrity and leakage reduction,"Health Plan Operations / Claims & Eligibility says Payment integrity and leakage reduction is promising, but evidence is not decision-grade until Provider contract repository evidence closes: Recovery realization tracking not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0109,MER-SA07-INT-EVID-0109,executive_interview_observation,Contact Center / Member Service Operations,strategy,Call center optimization,"Contact Center / Member Service Operations says Call center optimization is promising, but strategy is not decision-grade until Contact center transcript and telephony platform evidence closes: Transcript governance not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0110,MER-SA07-INT-EVID-0110,executive_interview_observation,Contact Center / Member Service Operations,operating model,Provider quality and performance,"Contact Center / Member Service Operations says Provider quality and performance is promising, but operating model is not decision-grade until Epic Clarity evidence closes: Attribution ownership not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0111,MER-SA07-INT-EVID-0111,executive_interview_observation,Contact Center / Member Service Operations,vendor,End-to-end cost transparency,"Contact Center / Member Service Operations says End-to-end cost transparency is promising, but vendor is not decision-grade until General ledger and close reporting evidence closes: Cost allocation rules not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0112,MER-SA07-INT-EVID-0112,executive_interview_observation,Contact Center / Member Service Operations,platform,Payment integrity and leakage reduction,"Contact Center / Member Service Operations says Payment integrity and leakage reduction is promising, but platform is not decision-grade until Provider contract repository evidence closes: Recovery realization tracking not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0113,MER-SA07-INT-EVID-0113,executive_interview_observation,Contact Center / Member Service Operations,data,Automated close and reporting,"Contact Center / Member Service Operations says Automated close and reporting is promising, but data is not decision-grade until General ledger and close reporting evidence closes: Manual reporting maintenance load. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0114,MER-SA07-INT-EVID-0114,executive_interview_observation,Contact Center / Member Service Operations,modernization,Unified clinical + claims lakehouse,"Contact Center / Member Service Operations says Unified clinical + claims lakehouse is promising, but modernization is not decision-grade until Epic Clarity evidence closes: No patient/member identity spine loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0115,MER-SA07-INT-EVID-0115,executive_interview_observation,Contact Center / Member Service Operations,AI readiness,Governed data foundation for AI / LLM automation,"Contact Center / Member Service Operations says Governed data foundation for AI / LLM automation is promising, but AI readiness is not decision-grade until SAS analytics estate evidence closes: No AI audit trail evidence. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0116,MER-SA07-INT-EVID-0116,executive_interview_observation,Contact Center / Member Service Operations,risk,Call center optimization,"Contact Center / Member Service Operations says Call center optimization is promising, but risk is not decision-grade until Power BI reporting estate evidence closes: Member identity linkage not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0117,MER-SA07-INT-EVID-0117,executive_interview_observation,Contact Center / Member Service Operations,metrics,Provider quality and performance,"Contact Center / Member Service Operations says Provider quality and performance is promising, but metrics is not decision-grade until Power BI reporting estate evidence closes: Measure logic fragmented across BI tools. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0118,MER-SA07-INT-EVID-0118,executive_interview_observation,Contact Center / Member Service Operations,value,End-to-end cost transparency,"Contact Center / Member Service Operations says End-to-end cost transparency is promising, but value is not decision-grade until Provider contract repository evidence closes: Claims and GL calendar alignment not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0119,MER-SA07-INT-EVID-0119,executive_interview_observation,Contact Center / Member Service Operations,sourcing,Payment integrity and leakage reduction,"Contact Center / Member Service Operations says Payment integrity and leakage reduction is promising, but sourcing is not decision-grade until SQL Server reporting marts evidence closes: Investigation workflow evidence not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0120,MER-SA07-INT-EVID-0120,executive_interview_observation,Contact Center / Member Service Operations,evidence,Automated close and reporting,"Contact Center / Member Service Operations says Automated close and reporting is promising, but evidence is not decision-grade until SQL Server reporting marts evidence closes: Metric governance not formalized. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0121,MER-SA07-INT-EVID-0121,executive_interview_observation,Privacy / Compliance / Legal,strategy,Provider quality and performance,"Privacy / Compliance / Legal says Provider quality and performance is promising, but strategy is not decision-grade until Epic Caboodle evidence closes: Measure logic fragmented across BI tools. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0122,MER-SA07-INT-EVID-0122,executive_interview_observation,Privacy / Compliance / Legal,operating model,End-to-end cost transparency,"Privacy / Compliance / Legal says End-to-end cost transparency is promising, but operating model is not decision-grade until Provider contract repository evidence closes: Claims and GL calendar alignment not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0123,MER-SA07-INT-EVID-0123,executive_interview_observation,Privacy / Compliance / Legal,vendor,Payment integrity and leakage reduction,"Privacy / Compliance / Legal says Payment integrity and leakage reduction is promising, but vendor is not decision-grade until SQL Server reporting marts evidence closes: Investigation workflow evidence not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0124,MER-SA07-INT-EVID-0124,executive_interview_observation,Privacy / Compliance / Legal,platform,Automated close and reporting,"Privacy / Compliance / Legal says Automated close and reporting is promising, but platform is not decision-grade until SQL Server reporting marts evidence closes: Metric governance not formalized. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0125,MER-SA07-INT-EVID-0125,executive_interview_observation,Privacy / Compliance / Legal,data,Unified clinical + claims lakehouse,"Privacy / Compliance / Legal says Unified clinical + claims lakehouse is promising, but data is not decision-grade until Databricks on AWS evidence closes: No certified medallion architecture. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0126,MER-SA07-INT-EVID-0126,executive_interview_observation,Privacy / Compliance / Legal,modernization,Governed data foundation for AI / LLM automation,"Privacy / Compliance / Legal says Governed data foundation for AI / LLM automation is promising, but modernization is not decision-grade until SQL Server reporting marts evidence closes: No certified semantic layer. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0127,MER-SA07-INT-EVID-0127,executive_interview_observation,Privacy / Compliance / Legal,AI readiness,Call center optimization,"Privacy / Compliance / Legal says Call center optimization is promising, but AI readiness is not decision-grade until Claims administration platform evidence closes: Intent taxonomy not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0128,MER-SA07-INT-EVID-0128,executive_interview_observation,Privacy / Compliance / Legal,risk,Provider quality and performance,"Privacy / Compliance / Legal says Provider quality and performance is promising, but risk is not decision-grade until Tableau reporting estate evidence closes: Near-real-time quality layer not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0129,MER-SA07-INT-EVID-0129,executive_interview_observation,Privacy / Compliance / Legal,metrics,End-to-end cost transparency,"Privacy / Compliance / Legal says End-to-end cost transparency is promising, but metrics is not decision-grade until Claims administration platform evidence closes: Provider contract terms not digitized in governed form. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0130,MER-SA07-INT-EVID-0130,executive_interview_observation,Privacy / Compliance / Legal,value,Payment integrity and leakage reduction,"Privacy / Compliance / Legal says Payment integrity and leakage reduction is promising, but value is not decision-grade until SAS analytics estate evidence closes: Provider entity resolution not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0131,MER-SA07-INT-EVID-0131,executive_interview_observation,Privacy / Compliance / Legal,sourcing,Automated close and reporting,"Privacy / Compliance / Legal says Automated close and reporting is promising, but sourcing is not decision-grade until Tableau reporting estate evidence closes: Close workflow integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0132,MER-SA07-INT-EVID-0132,executive_interview_observation,Privacy / Compliance / Legal,evidence,Unified clinical + claims lakehouse,"Privacy / Compliance / Legal says Unified clinical + claims lakehouse is promising, but evidence is not decision-grade until Epic Caboodle evidence closes: AWS/Databricks foundation not ready. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0133,MER-SA07-INT-EVID-0133,executive_interview_observation,CISO / Security,strategy,End-to-end cost transparency,"CISO / Security says End-to-end cost transparency is promising, but strategy is not decision-grade until Claims administration platform evidence closes: Provider contract terms not digitized in governed form. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,medium,active
