integration_id,name,from_system_id,to_system_id,integration_type,frequency,criticality,notes
INT-00001,Customer-Salesforce-Engine-0046 to Crew-Infosys-Service-0726 via API,APP-00046,APP-00726,API,Hourly,Critical,daily_volume=3431069; failures_month=7; modernization=Migrate
INT-00343,Maintenance-Lufthansa Systems-Hub-0643 to Network-Databricks-Service-0701 via File Transfer,APP-00643,APP-00701,File Transfer,Real-time,Medium,daily_volume=1518057; failures_month=13; modernization=Migrate
INT-00344,Treasury-Databricks-Platform-0284 to Maintenance-Amadeus-Manager-0134 via Real-time,APP-00284,APP-00134,Real-time,Weekly,Medium,daily_volume=313199; failures_month=26; modernization=Invest
INT-00345,Security-Custom-Service-0259 to Cloud-TCS-Manager-0458 via Event,APP-00259,APP-00458,Event,Daily,Low,daily_volume=1155565; failures_month=103; modernization=Invest
INT-00346,Mainframe-Infosys-Hub-0665 to Lounge-Oracle-Hub-0479 via Event,APP-00665,APP-00479,Event,Weekly,Low,daily_volume=4357531; failures_month=106; modernization=Replace
INT-00347,HR-Hexaware-Engine-0769 to ML-Microsoft-Manager-0274 via API,APP-00769,APP-00274,API,Daily,High,daily_volume=1610122; failures_month=86; modernization=Modernize
INT-00348,Network-IBM-Hub-0369 to Vulnerability-AIMS-Suite-0679 via Batch,APP-00369,APP-00679,Batch,Weekly,Medium,daily_volume=4242696; failures_month=2; modernization=Invest
INT-00349,Customer-Accenture-Service-0851 to Irregular-Microsoft-Suite-0057 via ETL,APP-00851,APP-00057,ETL,Weekly,Low,daily_volume=3517693; failures_month=114; modernization=Replace
INT-00350,Customer-Sabre AirVision-Platform-0695 to Vulnerability-Databricks-Hub-0290 via File Transfer,APP-00695,APP-00290,File Transfer,Hourly,High,daily_volume=5838145; failures_month=105; modernization=Invest
INT-00351,Corporate-Teradata-Engine-0242 to Irregular-Workday-Platform-0670 via ETL,APP-00242,APP-00670,ETL,Weekly,Medium,daily_volume=6410415; failures_month=104; modernization=Replace
INT-00352,Reliability-ServiceNow-Hub-0101 to Ancillary-Jeppesen-Manager-0547 via ETL,APP-00101,APP-00547,ETL,Real-time,Low,daily_volume=2610612; failures_month=56; modernization=Retain
INT-00353,Storage-Adobe-Engine-0662 to Ancillary-Databricks-Platform-0361 via ETL,APP-00662,APP-00361,ETL,Hourly,Medium,daily_volume=5240725; failures_month=67; modernization=Replatform
INT-00354,Legal-Adobe-Platform-0076 to Ground-Hexaware-Engine-0094 via API,APP-00076,APP-00094,API,Event,Critical,daily_volume=1888436; failures_month=36; modernization=Retire
INT-00355,Slot-Jeppesen-Suite-0047 to Maintenance-Workday-Manager-0387 via ELT,APP-00047,APP-00387,ELT,Daily,High,daily_volume=4124484; failures_month=49; modernization=Invest
INT-00356,Engine-SITA-Platform-0349 to Crew-Teradata-Engine-0539 via ETL,APP-00349,APP-00539,ETL,Event,Critical,daily_volume=3382541; failures_month=65; modernization=Retain
INT-00357,Irregular-Teradata-Hub-0013 to Procurement-Accenture-Engine-0712 via Streaming,APP-00013,APP-00712,Streaming,Weekly,Low,daily_volume=3309463; failures_month=93; modernization=Retain
INT-00358,Data-Microsoft-Platform-0636 to MRO-ServiceNow-Manager-0440 via Batch,APP-00636,APP-00440,Batch,Daily,Medium,daily_volume=1053403; failures_month=93; modernization=Replatform
INT-00359,Observability-Accenture-Manager-0729 to Customer-Salesforce-Engine-0046 via Real-time,APP-00729,APP-00046,Real-time,Daily,High,daily_volume=4415357; failures_month=26; modernization=Retain
INT-00360,Engine-Lufthansa Systems-Hub-0469 to Mainframe-Adobe-Service-0828 via Real-time,APP-00469,APP-00828,Real-time,Event,Low,daily_volume=154567; failures_month=85; modernization=Retire
INT-00361,Maintenance-Hexaware-Manager-0372 to Component-TCS-Hub-0808 via CDC,APP-00372,APP-00808,CDC,Weekly,High,daily_volume=2847443; failures_month=120; modernization=Invest
INT-00362,Reliability-IBM-Suite-0794 to Mobile-Lufthansa Systems-Hub-0328 via Streaming,APP-00794,APP-00328,Streaming,Real-time,Medium,daily_volume=1966279; failures_month=2; modernization=Replace
INT-00363,Metadata-Lufthansa Systems-Suite-0316 to Finance-TCS-Hub-0721 via CDC,APP-00316,APP-00721,CDC,Weekly,Medium,daily_volume=4277590; failures_month=109; modernization=Replatform
INT-00364,Business-Databricks-Hub-0480 to Crew-Accenture-Engine-0500 via Streaming,APP-00480,APP-00500,Streaming,Hourly,High,daily_volume=7536421; failures_month=52; modernization=Migrate
INT-00365,Corporate-Workday-Suite-0214 to Weight-TCS-Hub-0558 via File Transfer,APP-00214,APP-00558,File Transfer,Daily,Low,daily_volume=7036572; failures_month=44; modernization=Modernize
INT-00366,Security-Custom-Suite-0384 to Self-Service-Lufthansa Systems-Suite-0366 via ELT,APP-00384,APP-00366,ELT,Daily,Low,daily_volume=3536315; failures_month=93; modernization=Replace
INT-00367,Distribution-ServiceNow-Platform-0382 to Disruption-TCS-Hub-0448 via Streaming,APP-00382,APP-00448,Streaming,Real-time,High,daily_volume=6547375; failures_month=93; modernization=Replatform
INT-00368,Treasury-Databricks-Platform-0284 to Engine-Custom-Hub-0749 via Real-time,APP-00284,APP-00749,Real-time,Hourly,High,daily_volume=7345266; failures_month=95; modernization=Retain
INT-00369,Compute-Teradata-Manager-0577 to Service-AIMS-Engine-0114 via Batch,APP-00577,APP-00114,Batch,Real-time,Low,daily_volume=3602266; failures_month=23; modernization=Migrate
INT-00370,Service-AIMS-Engine-0114 to Cloud-Amadeus-Platform-0323 via ETL,APP-00114,APP-00323,ETL,Real-time,Critical,daily_volume=3596922; failures_month=0; modernization=Modernize
INT-00371,Mainframe-AIMS-Hub-0761 to Sales-Sabre AirVision-Engine-0197 via Event,APP-00761,APP-00197,Event,Weekly,Low,daily_volume=2919259; failures_month=96; modernization=Retain
INT-00372,Investor-TCS-Manager-0276 to Airworthiness-Salesforce-Suite-0554 via Batch,APP-00276,APP-00554,Batch,Weekly,High,daily_volume=6806088; failures_month=24; modernization=Invest
INT-00373,Compute-TCS-Service-0508 to Slot-Infosys-Hub-0106 via Streaming,APP-00508,APP-00106,Streaming,Weekly,Critical,daily_volume=6934179; failures_month=97; modernization=Invest
INT-00374,Fuel-SAP-Manager-0661 to Tax-Amadeus-Manager-0149 via Batch,APP-00661,APP-00149,Batch,Daily,Medium,daily_volume=786153; failures_month=100; modernization=Replace
INT-00375,Lounge-Sabre AirVision-Suite-0339 to Digital-Custom-Manager-0831 via ETL,APP-00339,APP-00831,ETL,Real-time,High,daily_volume=3704221; failures_month=11; modernization=Replace
INT-00376,Network-IBM-Engine-0335 to Self-Service-AIMS-Engine-0535 via File Transfer,APP-00335,APP-00535,File Transfer,Hourly,High,daily_volume=1673965; failures_month=25; modernization=Invest
INT-00377,Metadata-Teradata-Engine-0343 to Observability-Microsoft-Hub-0225 via Batch,APP-00343,APP-00225,Batch,Hourly,Medium,daily_volume=3992476; failures_month=113; modernization=Modernize
INT-00378,Legal-Oracle-Engine-0684 to Mobile-Lufthansa Systems-Hub-0328 via Streaming,APP-00684,APP-00328,Streaming,Real-time,Critical,daily_volume=897696; failures_month=10; modernization=Modernize
INT-00379,Observability-Jeppesen-Engine-0439 to Disruption-Salesforce-Platform-0541 via Real-time,APP-00439,APP-00541,Real-time,Event,Critical,daily_volume=971101; failures_month=93; modernization=Migrate
INT-00380,Fuel-SITA-Engine-0129 to Corporate-Teradata-Engine-0242 via Batch,APP-00129,APP-00242,Batch,Daily,Medium,daily_volume=6700619; failures_month=66; modernization=Retire
INT-00381,Data-Lufthansa Systems-Manager-0450 to Data-Snowflake-Engine-0080 via Batch,APP-00450,APP-00080,Batch,Real-time,Medium,daily_volume=7236666; failures_month=107; modernization=Invest
INT-00382,Cargo-IBM-Hub-0659 to Fuel-Databricks-Suite-0506 via ETL,APP-00659,APP-00506,ETL,Event,Critical,daily_volume=6534288; failures_month=18; modernization=Retain
INT-00383,Loyalty-Amadeus-Service-0018 to Legal-Adobe-Platform-0076 via Event,APP-00018,APP-00076,Event,Weekly,Critical,daily_volume=3413273; failures_month=100; modernization=Replace
INT-00384,Self-Service-Infosys-Service-0576 to Ancillary-Infosys-Manager-0277 via Real-time,APP-00576,APP-00277,Real-time,Real-time,High,daily_volume=6184120; failures_month=112; modernization=Retire
INT-00385,Data-Salesforce-Platform-0496 to Maintenance-Salesforce-Manager-0499 via API,APP-00496,APP-00499,API,Daily,Critical,daily_volume=7430672; failures_month=106; modernization=Retire
INT-00386,Metadata-Custom-Manager-0422 to Disruption-Microsoft-Manager-0075 via Batch,APP-00422,APP-00075,Batch,Daily,Medium,daily_volume=2475923; failures_month=33; modernization=Replace
INT-00387,Gate-ServiceNow-Hub-0188 to Security-Custom-Service-0259 via CDC,APP-00188,APP-00259,CDC,Event,Medium,daily_volume=3711543; failures_month=57; modernization=Retire
INT-00388,Cargo-Adobe-Service-0315 to Metadata-Microsoft-Engine-0399 via Streaming,APP-00315,APP-00399,Streaming,Hourly,High,daily_volume=766965; failures_month=37; modernization=Retain
INT-00389,Revenue-Amadeus-Manager-0614 to Corporate-AIMS-Service-0309 via File Transfer,APP-00614,APP-00309,File Transfer,Real-time,Critical,daily_volume=4948683; failures_month=38; modernization=Invest
INT-00390,Crew-Jeppesen-Manager-0136 to Data-Lufthansa Systems-Service-0863 via Real-time,APP-00136,APP-00863,Real-time,Weekly,Critical,daily_volume=6361320; failures_month=71; modernization=Retire
INT-00391,Tax-Jeppesen-Engine-0172 to Reliability-Accenture-Manager-0613 via ELT,APP-00172,APP-00613,ELT,Weekly,Critical,daily_volume=180747; failures_month=89; modernization=Retain
INT-00392,Treasury-Sabre AirVision-Manager-0022 to Weight-Infosys-Service-0866 via API,APP-00022,APP-00866,API,Real-time,Critical,daily_volume=6516534; failures_month=28; modernization=Replace
INT-00393,Network-Workday-Suite-0417 to Mobile-Jeppesen-Platform-0329 via Real-time,APP-00417,APP-00329,Real-time,Daily,Medium,daily_volume=6875913; failures_month=53; modernization=Retire
INT-00394,Fuel-Sabre-Hub-0238 to Revenue-ServiceNow-Hub-0120 via ELT,APP-00238,APP-00120,ELT,Hourly,High,daily_volume=7713326; failures_month=47; modernization=Replace
INT-00395,Slot-Sabre AirVision-Hub-0144 to Container-Amadeus-Platform-0317 via Event,APP-00144,APP-00317,Event,Real-time,Medium,daily_volume=2062570; failures_month=75; modernization=Modernize
INT-00396,Engine-Sabre AirVision-Suite-0737 to Ancillary-SITA-Manager-0582 via ELT,APP-00737,APP-00582,ELT,Daily,High,daily_volume=816961; failures_month=1; modernization=Retain
INT-00397,Disruption-Snowflake-Suite-0835 to Digital-SITA-Platform-0003 via Batch,APP-00835,APP-00003,Batch,Daily,Critical,daily_volume=63679; failures_month=54; modernization=Migrate
INT-00398,Mobile-ServiceNow-Service-0882 to Procurement-Jeppesen-Platform-0029 via ELT,APP-00882,APP-00029,ELT,Real-time,Low,daily_volume=6381457; failures_month=108; modernization=Retain
INT-00399,Legal-Sabre AirVision-Platform-0815 to Security-Custom-Suite-0001 via ETL,APP-00815,APP-00001,ETL,Weekly,Low,daily_volume=1536540; failures_month=45; modernization=Replace
INT-00400,Cargo-TCS-Manager-0097 to Compute-Teradata-Manager-0577 via Real-time,APP-00097,APP-00577,Real-time,Real-time,Critical,daily_volume=1553745; failures_month=24; modernization=Retain
INT-00401,Privileged-Microsoft-Suite-0237 to Maintenance-AIMS-Manager-0666 via ETL,APP-00237,APP-00666,ETL,Hourly,Critical,daily_volume=1715410; failures_month=100; modernization=Modernize
INT-00402,Crew-ServiceNow-Service-0559 to Ancillary-Accenture-Service-0091 via Batch,APP-00559,APP-00091,Batch,Weekly,Critical,daily_volume=5735875; failures_month=78; modernization=Replace
INT-00403,Mobile-TCS-Platform-0414 to Slot-Amadeus-Suite-0362 via API,APP-00414,APP-00362,API,Daily,Medium,daily_volume=3510415; failures_month=59; modernization=Retain
INT-00404,Payroll-SITA-Suite-0265 to Crew-TCS-Hub-0791 via CDC,APP-00265,APP-00791,CDC,Weekly,Medium,daily_volume=7442547; failures_month=10; modernization=Retire
INT-00405,Disruption-Microsoft-Manager-0075 to Self-Service-Accenture-Suite-0494 via API,APP-00075,APP-00494,API,Hourly,Critical,daily_volume=2818288; failures_month=110; modernization=Retire
INT-00406,Endpoint-Workday-Suite-0754 to Network-Sabre-Service-0841 via Real-time,APP-00754,APP-00841,Real-time,Hourly,Low,daily_volume=2193801; failures_month=31; modernization=Retain
INT-00407,Network-IBM-Hub-0369 to Real-Oracle-Service-0420 via Batch,APP-00369,APP-00420,Batch,Real-time,Low,daily_volume=4627299; failures_month=92; modernization=Retain
INT-00408,Disruption-Sabre AirVision-Suite-0041 to Digital-Salesforce-Suite-0230 via File Transfer,APP-00041,APP-00230,File Transfer,Event,High,daily_volume=7337571; failures_month=81; modernization=Retire
INT-00409,Network-Jeppesen-Platform-0264 to Tax-SAP-Suite-0501 via CDC,APP-00264,APP-00501,CDC,Event,Low,daily_volume=3232520; failures_month=20; modernization=Replace
INT-00410,Crew-Salesforce-Engine-0869 to Gate-Salesforce-Engine-0656 via Real-time,APP-00869,APP-00656,Real-time,Hourly,Medium,daily_volume=6176558; failures_month=76; modernization=Replace
INT-00411,Ground-Lufthansa Systems-Platform-0358 to Revenue-Workday-Service-0477 via File Transfer,APP-00358,APP-00477,File Transfer,Event,High,daily_volume=6906626; failures_month=59; modernization=Replace
INT-00412,Corporate-Lufthansa Systems-Engine-0007 to Line-IBM-Suite-0817 via ELT,APP-00007,APP-00817,ELT,Hourly,Low,daily_volume=1072256; failures_month=38; modernization=Retain
INT-00413,Component-Snowflake-Service-0206 to Weight-Custom-Hub-0832 via CDC,APP-00206,APP-00832,CDC,Daily,Low,daily_volume=4214996; failures_month=16; modernization=Modernize
INT-00414,Line-SITA-Service-0072 to MRO-Sabre-Hub-0900 via Streaming,APP-00072,APP-00900,Streaming,Daily,High,daily_volume=1692169; failures_month=75; modernization=Retain
INT-00415,Component-Jeppesen-Platform-0086 to Data-Infosys-Hub-0359 via File Transfer,APP-00086,APP-00359,File Transfer,Hourly,High,daily_volume=1005794; failures_month=71; modernization=Migrate
INT-00416,Payroll-Microsoft-Manager-0702 to Identity-Databricks-Service-0093 via Event,APP-00702,APP-00093,Event,Event,Low,daily_volume=1092654; failures_month=62; modernization=Retire
INT-00417,ML-Microsoft-Manager-0274 to Component-Databricks-Hub-0593 via Real-time,APP-00274,APP-00593,Real-time,Real-time,Low,daily_volume=7744119; failures_month=50; modernization=Replace
INT-00418,HR-Sabre-Manager-0691 to Disruption-Workday-Engine-0378 via ETL,APP-00691,APP-00378,ETL,Real-time,High,daily_volume=4114816; failures_month=27; modernization=Invest
INT-00419,Gate-AIMS-Manager-0066 to Self-Service-SAP-Manager-0282 via Event,APP-00066,APP-00282,Event,Real-time,High,daily_volume=2444921; failures_month=48; modernization=Migrate
INT-00420,Irregular-Workday-Platform-0670 to Slot-Snowflake-Service-0074 via Real-time,APP-00670,APP-00074,Real-time,Daily,Low,daily_volume=5177831; failures_month=111; modernization=Replace
INT-00421,Tax-TCS-Suite-0055 to Slot-Lufthansa Systems-Platform-0880 via File Transfer,APP-00055,APP-00880,File Transfer,Daily,High,daily_volume=6738322; failures_month=72; modernization=Retire
INT-00422,Inventory-Snowflake-Platform-0124 to Loyalty-Workday-Manager-0522 via File Transfer,APP-00124,APP-00522,File Transfer,Event,Medium,daily_volume=4365997; failures_month=35; modernization=Retire
INT-00423,Customer-Salesforce-Engine-0046 to Component-Snowflake-Manager-0250 via Streaming,APP-00046,APP-00250,Streaming,Hourly,Medium,daily_volume=36061; failures_month=75; modernization=Modernize
INT-00424,Network-SAP-Hub-0449 to Mainframe-ServiceNow-Platform-0151 via ETL,APP-00449,APP-00151,ETL,Event,High,daily_volume=338024; failures_month=18; modernization=Invest
INT-00425,Crew-Infosys-Service-0648 to Ground-Hexaware-Hub-0859 via CDC,APP-00648,APP-00859,CDC,Daily,Medium,daily_volume=2123304; failures_month=2; modernization=Migrate
INT-00426,Compute-Teradata-Manager-0519 to Tax-SAP-Suite-0310 via Batch,APP-00519,APP-00310,Batch,Hourly,High,daily_volume=4296219; failures_month=84; modernization=Retain
INT-00427,Payroll-SITA-Suite-0265 to Slot-ServiceNow-Engine-0179 via CDC,APP-00265,APP-00179,CDC,Real-time,Critical,daily_volume=5699714; failures_month=4; modernization=Retain
INT-00428,Cloud-Databricks-Suite-0388 to Engine-Custom-Engine-0268 via API,APP-00388,APP-00268,API,Weekly,High,daily_volume=4668405; failures_month=11; modernization=Invest
INT-00429,Vulnerability-Jeppesen-Suite-0654 to Ancillary-Oracle-Hub-0605 via ETL,APP-00654,APP-00605,ETL,Daily,Critical,daily_volume=4897775; failures_month=65; modernization=Invest
INT-00430,Security-Jeppesen-Suite-0669 to Crew-Amadeus-Hub-0552 via File Transfer,APP-00669,APP-00552,File Transfer,Real-time,Medium,daily_volume=3287968; failures_month=55; modernization=Replace
INT-00431,Ancillary-Workday-Engine-0884 to Lounge-SAP-Engine-0537 via API,APP-00884,APP-00537,API,Event,Low,daily_volume=5503844; failures_month=106; modernization=Retain
INT-00432,Sales-Amadeus-Platform-0370 to Disruption-Sabre AirVision-Suite-0041 via Real-time,APP-00370,APP-00041,Real-time,Daily,Medium,daily_volume=7568305; failures_month=105; modernization=Replace
INT-00433,Ground-Custom-Platform-0603 to ML-IBM-Platform-0706 via Streaming,APP-00603,APP-00706,Streaming,Real-time,Low,daily_volume=158332; failures_month=117; modernization=Retire
INT-00434,MRO-Oracle-Manager-0595 to Maintenance-AIMS-Manager-0666 via Batch,APP-00595,APP-00666,Batch,Hourly,Low,daily_volume=1810398; failures_month=9; modernization=Invest
INT-00435,Data-Hexaware-Platform-0412 to Engine-Lufthansa Systems-Hub-0469 via ELT,APP-00412,APP-00469,ELT,Weekly,High,daily_volume=7955216; failures_month=23; modernization=Replace
INT-00436,Gate-Workday-Platform-0703 to Network-Snowflake-Engine-0560 via ETL,APP-00703,APP-00560,ETL,Daily,Critical,daily_volume=2562748; failures_month=101; modernization=Retire
INT-00437,Gate-Sabre AirVision-Service-0406 to MRO-ServiceNow-Manager-0440 via File Transfer,APP-00406,APP-00440,File Transfer,Hourly,Medium,daily_volume=3969751; failures_month=23; modernization=Retain
INT-00438,Mobile-Teradata-Manager-0095 to Ground-Amadeus-Suite-0705 via Event,APP-00095,APP-00705,Event,Event,Medium,daily_volume=6459705; failures_month=85; modernization=Migrate
INT-00439,Observability-Sabre-Platform-0397 to Revenue-Amadeus-Manager-0614 via Batch,APP-00397,APP-00614,Batch,Real-time,Low,daily_volume=3799685; failures_month=28; modernization=Replace
INT-00440,Airworthiness-Workday-Hub-0883 to Sales-Amadeus-Platform-0370 via Streaming,APP-00883,APP-00370,Streaming,Daily,Critical,daily_volume=6268077; failures_month=55; modernization=Invest
INT-00441,Slot-Lufthansa Systems-Platform-0880 to Digital-AIMS-Service-0523 via Event,APP-00880,APP-00523,Event,Real-time,Critical,daily_volume=5109980; failures_month=48; modernization=Migrate
INT-00442,Legal-Sabre AirVision-Suite-0112 to Inventory-Oracle-Engine-0887 via Event,APP-00112,APP-00887,Event,Real-time,Low,daily_volume=498882; failures_month=10; modernization=Modernize
INT-00443,Flight-Sabre AirVision-Manager-0696 to Container-Amadeus-Platform-0317 via Streaming,APP-00696,APP-00317,Streaming,Weekly,Low,daily_volume=3605634; failures_month=85; modernization=Retain
INT-00444,Legal-TCS-Engine-0156 to Reliability-Adobe-Platform-0127 via CDC,APP-00156,APP-00127,CDC,Real-time,Critical,daily_volume=1162529; failures_month=75; modernization=Replace
INT-00445,Pricing-Sabre AirVision-Suite-0736 to Ground-Hexaware-Service-0704 via File Transfer,APP-00736,APP-00704,File Transfer,Real-time,Critical,daily_volume=5773785; failures_month=40; modernization=Retain
INT-00446,Corporate-AIMS-Service-0051 to Line-IBM-Suite-0817 via Streaming,APP-00051,APP-00817,Streaming,Real-time,Medium,daily_volume=3220521; failures_month=31; modernization=Migrate
INT-00447,Container-Jeppesen-Hub-0209 to Mainframe-Custom-Suite-0408 via File Transfer,APP-00209,APP-00408,File Transfer,Real-time,Medium,daily_volume=3893712; failures_month=97; modernization=Invest
INT-00448,Payroll-IBM-Suite-0138 to Pricing-Accenture-Platform-0468 via ELT,APP-00138,APP-00468,ELT,Hourly,High,daily_volume=3262137; failures_month=10; modernization=Retain
INT-00449,Slot-Infosys-Hub-0106 to Distribution-TCS-Platform-0730 via Batch,APP-00106,APP-00730,Batch,Real-time,High,daily_volume=7721992; failures_month=78; modernization=Retire
INT-00450,Slot-Sabre AirVision-Engine-0486 to Line-Jeppesen-Engine-0394 via Streaming,APP-00486,APP-00394,Streaming,Real-time,Low,daily_volume=430950; failures_month=102; modernization=Migrate
INT-00451,Parts-Salesforce-Manager-0035 to Data-Infosys-Hub-0359 via Event,APP-00035,APP-00359,Event,Real-time,Low,daily_volume=5764674; failures_month=53; modernization=Modernize
INT-00452,Disruption-IBM-Suite-0178 to Codeshare-Adobe-Manager-0200 via ELT,APP-00178,APP-00200,ELT,Daily,Medium,daily_volume=3268052; failures_month=77; modernization=Migrate
INT-00453,Customer-Sabre AirVision-Platform-0695 to Loyalty-Workday-Manager-0522 via CDC,APP-00695,APP-00522,CDC,Daily,Low,daily_volume=2610306; failures_month=39; modernization=Replace
INT-00454,HR-SAP-Manager-0044 to Crew-AIMS-Platform-0364 via ETL,APP-00044,APP-00364,ETL,Event,Medium,daily_volume=7595002; failures_month=2; modernization=Migrate
INT-00455,Vulnerability-TCS-Manager-0111 to Slot-Sabre AirVision-Hub-0144 via Event,APP-00111,APP-00144,Event,Real-time,Medium,daily_volume=609553; failures_month=28; modernization=Invest
INT-00456,Data-Salesforce-Platform-0496 to Line-Microsoft-Service-0843 via API,APP-00496,APP-00843,API,Hourly,High,daily_volume=4997347; failures_month=6; modernization=Replatform
INT-00457,Engine-Custom-Engine-0268 to Corporate-Sabre AirVision-Manager-0838 via Event,APP-00268,APP-00838,Event,Weekly,High,daily_volume=5253870; failures_month=35; modernization=Invest
INT-00458,Mobile-Lufthansa Systems-Hub-0328 to Identity-Microsoft-Service-0139 via Batch,APP-00328,APP-00139,Batch,Hourly,Critical,daily_volume=2196973; failures_month=61; modernization=Retain
INT-00459,Gate-Databricks-Suite-0173 to Distribution-Workday-Suite-0115 via Batch,APP-00173,APP-00115,Batch,Weekly,Low,daily_volume=5959994; failures_month=16; modernization=Retain
INT-00460,GRC-Sabre-Engine-0865 to Container-Hexaware-Engine-0653 via ETL,APP-00865,APP-00653,ETL,Event,Critical,daily_volume=7341011; failures_month=63; modernization=Invest
INT-00461,Procurement-Jeppesen-Engine-0326 to Data-Oracle-Service-0140 via Event,APP-00326,APP-00140,Event,Hourly,Critical,daily_volume=5508290; failures_month=43; modernization=Invest
INT-00462,Container-Adobe-Suite-0208 to Identity-AIMS-Manager-0132 via File Transfer,APP-00208,APP-00132,File Transfer,Event,Critical,daily_volume=2710029; failures_month=105; modernization=Retire
INT-00463,Compute-AIMS-Manager-0108 to MRO-Oracle-Manager-0595 via CDC,APP-00108,APP-00595,CDC,Weekly,Low,daily_volume=4720023; failures_month=23; modernization=Replatform
INT-00464,MRO-Microsoft-Service-0337 to Identity-ServiceNow-Manager-0888 via API,APP-00337,APP-00888,API,Event,High,daily_volume=5084715; failures_month=87; modernization=Replace
INT-00465,Tax-SAP-Suite-0310 to Slot-Snowflake-Service-0074 via CDC,APP-00310,APP-00074,CDC,Event,Medium,daily_volume=5191060; failures_month=81; modernization=Modernize
INT-00466,Digital-Salesforce-Suite-0230 to Ground-Salesforce-Hub-0280 via Real-time,APP-00230,APP-00280,Real-time,Weekly,Critical,daily_volume=4141523; failures_month=4; modernization=Modernize
INT-00467,Tax-Jeppesen-Engine-0172 to Identity-Amadeus-Manager-0213 via API,APP-00172,APP-00213,API,Weekly,High,daily_volume=3533698; failures_month=21; modernization=Replace
INT-00468,MRO-Sabre AirVision-Manager-0286 to Storage-Databricks-Service-0655 via ETL,APP-00286,APP-00655,ETL,Weekly,Medium,daily_volume=1299831; failures_month=76; modernization=Replace
INT-00469,Line-Adobe-Hub-0166 to Investor-Teradata-Engine-0036 via File Transfer,APP-00166,APP-00036,File Transfer,Daily,Critical,daily_volume=7872206; failures_month=33; modernization=Invest
INT-00470,Security-Custom-Suite-0001 to Data-Jeppesen-Service-0049 via File Transfer,APP-00001,APP-00049,File Transfer,Daily,Medium,daily_volume=3360099; failures_month=36; modernization=Invest
INT-00471,HR-Oracle-Manager-0089 to Payroll-TCS-Platform-0830 via API,APP-00089,APP-00830,API,Hourly,Medium,daily_volume=5212311; failures_month=41; modernization=Migrate
INT-00472,Network-Infosys-Hub-0332 to Network-SITA-Manager-0084 via API,APP-00332,APP-00084,API,Hourly,Low,daily_volume=7683099; failures_month=114; modernization=Replace
INT-00473,Disruption-IBM-Suite-0178 to Lounge-Sabre AirVision-Suite-0339 via Real-time,APP-00178,APP-00339,Real-time,Daily,Medium,daily_volume=4721998; failures_month=86; modernization=Retain
INT-00474,Disruption-Salesforce-Platform-0629 to Pricing-Teradata-Suite-0668 via API,APP-00629,APP-00668,API,Real-time,High,daily_volume=1534387; failures_month=42; modernization=Invest
INT-00475,Maintenance-Sabre AirVision-Service-0054 to Privileged-ServiceNow-Engine-0403 via API,APP-00054,APP-00403,API,Hourly,Critical,daily_volume=7363265; failures_month=22; modernization=Invest
INT-00476,Metadata-Microsoft-Suite-0596 to Ground-Salesforce-Hub-0280 via Real-time,APP-00596,APP-00280,Real-time,Hourly,Low,daily_volume=5507502; failures_month=116; modernization=Invest
INT-00477,Ground-Hexaware-Engine-0094 to Customer-Hexaware-Manager-0462 via Event,APP-00094,APP-00462,Event,Hourly,Critical,daily_volume=1410001; failures_month=75; modernization=Retain
INT-00478,Legal-TCS-Engine-0156 to Pricing-ServiceNow-Manager-0298 via CDC,APP-00156,APP-00298,CDC,Weekly,Medium,daily_volume=2481105; failures_month=59; modernization=Modernize
INT-00479,Customer-ServiceNow-Manager-0224 to Data-SITA-Suite-0285 via Streaming,APP-00224,APP-00285,Streaming,Real-time,High,daily_volume=1359975; failures_month=76; modernization=Replatform
INT-00480,Corporate-Amadeus-Manager-0205 to Observability-Microsoft-Hub-0225 via CDC,APP-00205,APP-00225,CDC,Event,High,daily_volume=6794111; failures_month=79; modernization=Migrate
INT-00481,Airworthiness-Salesforce-Suite-0554 to Gate-ServiceNow-Engine-0531 via API,APP-00554,APP-00531,API,Event,Medium,daily_volume=6981600; failures_month=76; modernization=Modernize
INT-00482,Airworthiness-Custom-Service-0526 to Contact-TCS-Engine-0062 via Batch,APP-00526,APP-00062,Batch,Daily,Medium,daily_volume=5571419; failures_month=86; modernization=Retain
INT-00483,Identity-ServiceNow-Manager-0888 to Maintenance-Hexaware-Manager-0372 via Event,APP-00888,APP-00372,Event,Event,Low,daily_volume=3492973; failures_month=48; modernization=Modernize
INT-00484,Data-Hexaware-Hub-0622 to Cloud-Infosys-Engine-0288 via File Transfer,APP-00622,APP-00288,File Transfer,Hourly,Critical,daily_volume=4280602; failures_month=99; modernization=Migrate
INT-00485,Airworthiness-Custom-Service-0443 to Crew-ServiceNow-Service-0559 via ETL,APP-00443,APP-00559,ETL,Event,Medium,daily_volume=6484693; failures_month=18; modernization=Invest
INT-00486,Contact-Snowflake-Platform-0646 to Slot-Snowflake-Service-0074 via Streaming,APP-00646,APP-00074,Streaming,Real-time,Low,daily_volume=3252587; failures_month=27; modernization=Migrate
INT-00487,Ancillary-Sabre-Hub-0023 to Data-AIMS-Hub-0532 via ELT,APP-00023,APP-00532,ELT,Daily,High,daily_volume=2953230; failures_month=115; modernization=Retain
