tenant_key,project_id,project_name,domain_key,domain_name,project_classification,is_ai_related,sponsor_role,technology_owner_role,finance_partner_role,approved_budget_usd,actual_spend_ytd_usd,forecast_spend_usd,promised_annual_value_usd,committee_decision,lifecycle_stage,start_date,target_go_live_date,realization_start_month,value_tracking_required,source_system,source_record_id,extract_date,as_of_date,refresh_cadence,quality_state
meridian-health,PRJ-MER-078,Clinical / Epic population health data mart wave 4,clinical_epic,Clinical / Epic,infrastructure,false,Chief Medical Information Officer,Chief Medical Information Officer,IT Finance Business Partner,3380271,1825346,3211257,0,continue,funded,2026-09-01,2027-03-28,,false,PMO / IT portfolio tracker,PRJ-MER-078,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-079,Infrastructure & Cloud interoperability interface refresh wave 4,infrastructure,Infrastructure & Cloud,security,false,CTO,CTO,IT Finance Business Partner,4957731,594928,4833788,0,continue,build,2026-01-01,2027-04-28,,false,PMO / IT portfolio tracker,PRJ-MER-079,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-080,Enterprise Applications clinical device integration wave 4,apps,Enterprise Applications,mandatory_compliance,false,VP Enterprise Applications,VP Enterprise Applications,IT Finance Business Partner,3605622,685068,3605622,0,defer,pilot,2026-02-01,2027-05-28,,false,PMO / IT portfolio tracker,PRJ-MER-080,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-081,Data & AI member mobile servicing wave 4,data_ai,Data & AI,ordinary_it_project,false,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,2253514,585914,2028163,0,continue,scale,2026-03-01,2027-06-28,,false,PMO / IT portfolio tracker,PRJ-MER-081,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-082,Digital & Member Experience provider portal remediation wave 4,digital,Digital & Member Experience,clinical_epic,false,Chief Digital Officer,Chief Digital Officer,IT Finance Business Partner,3830974,1264221,3543651,0,continue,intake,2026-04-01,2027-07-28,,false,PMO / IT portfolio tracker,PRJ-MER-082,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-083,Cybersecurity & Risk pharmacy benefit rules cleanup wave 4,security,Cybersecurity & Risk,infrastructure,false,CISO,CISO,IT Finance Business Partner,2478865,991546,2354922,0,continue,business_case,2026-05-01,2027-08-28,,false,PMO / IT portfolio tracker,PRJ-MER-083,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-084,Enterprise Architecture quality measure reporting upgrade wave 4,architecture,Enterprise Architecture,security,false,Chief Architect,Chief Architect,IT Finance Business Partner,4056325,1906473,3954917,0,continue,funded,2026-06-01,2027-09-28,,false,PMO / IT portfolio tracker,PRJ-MER-084,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-085,Corporate IT enterprise observability rollout wave 4,corporate_it,Corporate IT,mandatory_compliance,false,VP Corporate IT,VP Corporate IT,IT Finance Business Partner,2704217,1460277,2704217,0,continue,build,2026-07-01,2027-10-28,,false,PMO / IT portfolio tracker,PRJ-MER-085,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-086,Clinical / Epic data warehouse cost optimization wave 4,clinical_epic,Clinical / Epic,ordinary_it_project,false,Chief Medical Information Officer,Chief Medical Information Officer,IT Finance Business Partner,4281677,513801,3853509,0,continue,pilot,2026-08-01,2027-01-28,,false,PMO / IT portfolio tracker,PRJ-MER-086,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-087,Infrastructure & Cloud contact center routing cleanup wave 4,infrastructure,Infrastructure & Cloud,clinical_epic,false,CTO,CTO,IT Finance Business Partner,2929568,556618,2709850,0,continue,scale,2026-09-01,2027-02-28,,false,PMO / IT portfolio tracker,PRJ-MER-087,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-088,Enterprise Applications scheduling template optimization wave 4,apps,Enterprise Applications,infrastructure,false,VP Enterprise Applications,VP Enterprise Applications,IT Finance Business Partner,4507028,1171827,4281677,0,defer,intake,2026-01-01,2027-03-28,,false,PMO / IT portfolio tracker,PRJ-MER-088,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-089,Data & AI desktop virtualization refresh wave 4,data_ai,Data & AI,security,false,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,3154920,1041124,3076047,0,continue,business_case,2026-02-01,2027-04-28,,false,PMO / IT portfolio tracker,PRJ-MER-089,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-090,Digital & Member Experience backup and recovery modernization wave 4,digital,Digital & Member Experience,mandatory_compliance,false,Chief Digital Officer,Chief Digital Officer,IT Finance Business Partner,4732380,1892952,4732380,0,continue,funded,2026-03-01,2027-05-28,,false,PMO / IT portfolio tracker,PRJ-MER-090,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-091,Cybersecurity & Risk API gateway hardening wave 4,security,Cybersecurity & Risk,ordinary_it_project,false,CISO,CISO,IT Finance Business Partner,3380271,1588727,3042244,0,continue,build,2026-04-01,2027-06-28,,false,PMO / IT portfolio tracker,PRJ-MER-091,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-092,Enterprise Architecture Epic reporting workbench cleanup wave 4,architecture,Enterprise Architecture,clinical_epic,false,Chief Architect,Chief Architect,IT Finance Business Partner,4957731,2677175,4585901,0,continue,pilot,2026-05-01,2027-07-28,,false,PMO / IT portfolio tracker,PRJ-MER-092,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-093,Corporate IT denials workflow redesign wave 4,corporate_it,Corporate IT,infrastructure,false,VP Corporate IT,VP Corporate IT,IT Finance Business Partner,3605622,432675,3425341,0,continue,scale,2026-06-01,2027-08-28,,false,PMO / IT portfolio tracker,PRJ-MER-093,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-094,Clinical / Epic HR case management upgrade wave 4,clinical_epic,Clinical / Epic,security,false,Chief Medical Information Officer,Chief Medical Information Officer,IT Finance Business Partner,2253514,428168,2197176,0,continue,intake,2026-07-01,2027-09-28,,false,PMO / IT portfolio tracker,PRJ-MER-094,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-095,Infrastructure & Cloud finance planning integration wave 4,infrastructure,Infrastructure & Cloud,mandatory_compliance,false,CTO,CTO,IT Finance Business Partner,3830974,996053,3830974,0,continue,business_case,2026-08-01,2027-10-28,,false,PMO / IT portfolio tracker,PRJ-MER-095,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-096,Enterprise Applications care management workflow upgrade wave 5,apps,Enterprise Applications,ordinary_it_project,false,VP Enterprise Applications,VP Enterprise Applications,IT Finance Business Partner,2478865,818025,2230979,0,defer,funded,2026-09-01,2027-01-28,,false,PMO / IT portfolio tracker,PRJ-MER-096,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-097,Data & AI claims intake modernization wave 5,data_ai,Data & AI,clinical_epic,false,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,4056325,1622530,3752101,0,continue,build,2026-01-01,2027-02-28,,false,PMO / IT portfolio tracker,PRJ-MER-097,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-098,Digital & Member Experience population health data mart wave 5,digital,Digital & Member Experience,infrastructure,false,Chief Digital Officer,Chief Digital Officer,IT Finance Business Partner,2704217,1270982,2569006,0,continue,pilot,2026-02-01,2027-03-28,,false,PMO / IT portfolio tracker,PRJ-MER-098,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-099,Cybersecurity & Risk interoperability interface refresh wave 5,security,Cybersecurity & Risk,security,false,CISO,CISO,IT Finance Business Partner,4281677,2312106,4174635,0,continue,scale,2026-03-01,2027-04-28,,false,PMO / IT portfolio tracker,PRJ-MER-099,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-100,Enterprise Architecture clinical device integration wave 5,architecture,Enterprise Architecture,mandatory_compliance,false,Chief Architect,Chief Architect,IT Finance Business Partner,2929568,351548,2929568,0,continue,intake,2026-04-01,2027-05-28,,false,PMO / IT portfolio tracker,PRJ-MER-100,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-101,Corporate IT member mobile servicing wave 5,corporate_it,Corporate IT,ordinary_it_project,false,VP Corporate IT,VP Corporate IT,IT Finance Business Partner,4507028,856335,4056325,0,continue,business_case,2026-05-01,2027-06-28,,false,PMO / IT portfolio tracker,PRJ-MER-101,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-102,Clinical / Epic provider portal remediation wave 5,clinical_epic,Clinical / Epic,clinical_epic,false,Chief Medical Information Officer,Chief Medical Information Officer,IT Finance Business Partner,3154920,820279,2918301,0,continue,funded,2026-06-01,2027-07-28,,false,PMO / IT portfolio tracker,PRJ-MER-102,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-103,Infrastructure & Cloud pharmacy benefit rules cleanup wave 5,infrastructure,Infrastructure & Cloud,infrastructure,false,CTO,CTO,IT Finance Business Partner,4732380,1561685,4495761,0,continue,build,2026-07-01,2027-08-28,,false,PMO / IT portfolio tracker,PRJ-MER-103,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-104,Enterprise Applications quality measure reporting upgrade wave 5,apps,Enterprise Applications,security,false,VP Enterprise Applications,VP Enterprise Applications,IT Finance Business Partner,3380271,1352108,3295764,0,defer,pilot,2026-08-01,2027-09-28,,false,PMO / IT portfolio tracker,PRJ-MER-104,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-105,Data & AI enterprise observability rollout wave 5,data_ai,Data & AI,mandatory_compliance,false,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,4957731,2330134,4957731,0,continue,scale,2026-09-01,2027-10-28,,false,PMO / IT portfolio tracker,PRJ-MER-105,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-106,Digital & Member Experience data warehouse cost optimization wave 5,digital,Digital & Member Experience,ordinary_it_project,false,Chief Digital Officer,Chief Digital Officer,IT Finance Business Partner,3605622,1947036,3245060,0,continue,intake,2026-01-01,2027-01-28,,false,PMO / IT portfolio tracker,PRJ-MER-106,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-107,Cybersecurity & Risk contact center routing cleanup wave 5,security,Cybersecurity & Risk,clinical_epic,false,CISO,CISO,IT Finance Business Partner,2253514,270422,2084500,0,continue,business_case,2026-02-01,2027-02-28,,false,PMO / IT portfolio tracker,PRJ-MER-107,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-108,Enterprise Architecture scheduling template optimization wave 5,architecture,Enterprise Architecture,infrastructure,false,Chief Architect,Chief Architect,IT Finance Business Partner,3830974,727885,3639425,0,continue,funded,2026-03-01,2027-03-28,,false,PMO / IT portfolio tracker,PRJ-MER-108,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-109,Corporate IT desktop virtualization refresh wave 5,corporate_it,Corporate IT,security,false,VP Corporate IT,VP Corporate IT,IT Finance Business Partner,2478865,644505,2416893,0,continue,build,2026-04-01,2027-04-28,,false,PMO / IT portfolio tracker,PRJ-MER-109,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-110,Clinical / Epic backup and recovery modernization wave 5,clinical_epic,Clinical / Epic,mandatory_compliance,false,Chief Medical Information Officer,Chief Medical Information Officer,IT Finance Business Partner,4056325,1338587,4056325,0,continue,pilot,2026-05-01,2027-05-28,,false,PMO / IT portfolio tracker,PRJ-MER-110,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-111,Infrastructure & Cloud API gateway hardening wave 5,infrastructure,Infrastructure & Cloud,ordinary_it_project,false,CTO,CTO,IT Finance Business Partner,2704217,1081687,2433795,0,continue,scale,2026-06-01,2027-06-28,,false,PMO / IT portfolio tracker,PRJ-MER-111,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-112,Enterprise Applications Epic reporting workbench cleanup wave 5,apps,Enterprise Applications,clinical_epic,false,VP Enterprise Applications,VP Enterprise Applications,IT Finance Business Partner,4281677,2012388,3960551,0,defer,intake,2026-07-01,2027-07-28,,false,PMO / IT portfolio tracker,PRJ-MER-112,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-113,Data & AI denials workflow redesign wave 5,data_ai,Data & AI,infrastructure,false,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,2929568,1581967,2783090,0,continue,business_case,2026-08-01,2027-08-28,,false,PMO / IT portfolio tracker,PRJ-MER-113,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-114,Digital & Member Experience HR case management upgrade wave 5,digital,Digital & Member Experience,security,false,Chief Digital Officer,Chief Digital Officer,IT Finance Business Partner,4507028,540843,4394352,0,continue,funded,2026-09-01,2027-09-28,,false,PMO / IT portfolio tracker,PRJ-MER-114,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-115,Cybersecurity & Risk finance planning integration wave 5,security,Cybersecurity & Risk,mandatory_compliance,false,CISO,CISO,IT Finance Business Partner,3154920,599435,3154920,0,continue,build,2026-01-01,2027-10-28,,false,PMO / IT portfolio tracker,PRJ-MER-115,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-116,Enterprise Architecture care management workflow upgrade wave 6,architecture,Enterprise Architecture,ordinary_it_project,false,Chief Architect,Chief Architect,IT Finance Business Partner,4732380,1230419,4259142,0,continue,pilot,2026-02-01,2027-01-28,,false,PMO / IT portfolio tracker,PRJ-MER-116,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-117,Corporate IT claims intake modernization wave 6,corporate_it,Corporate IT,clinical_epic,false,VP Corporate IT,VP Corporate IT,IT Finance Business Partner,3380271,1115489,3126751,0,continue,scale,2026-03-01,2027-02-28,,false,PMO / IT portfolio tracker,PRJ-MER-117,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-118,Clinical / Epic population health data mart wave 6,clinical_epic,Clinical / Epic,infrastructure,false,Chief Medical Information Officer,Chief Medical Information Officer,IT Finance Business Partner,4957731,1983092,4709844,0,continue,intake,2026-04-01,2027-03-28,,false,PMO / IT portfolio tracker,PRJ-MER-118,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-119,Infrastructure & Cloud interoperability interface refresh wave 6,infrastructure,Infrastructure & Cloud,security,false,CTO,CTO,IT Finance Business Partner,3605622,1694642,3515481,0,continue,business_case,2026-05-01,2027-04-28,,false,PMO / IT portfolio tracker,PRJ-MER-119,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-120,Enterprise Applications clinical device integration wave 6,apps,Enterprise Applications,mandatory_compliance,false,VP Enterprise Applications,VP Enterprise Applications,IT Finance Business Partner,2253514,1216898,2253514,0,defer,funded,2026-06-01,2027-05-28,,false,PMO / IT portfolio tracker,PRJ-MER-120,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-121,Data & AI member mobile servicing wave 6,data_ai,Data & AI,ordinary_it_project,false,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,3830974,459717,3447877,0,continue,build,2026-07-01,2027-06-28,,false,PMO / IT portfolio tracker,PRJ-MER-121,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-122,Digital & Member Experience provider portal remediation wave 6,digital,Digital & Member Experience,clinical_epic,false,Chief Digital Officer,Chief Digital Officer,IT Finance Business Partner,2478865,470984,2292950,0,continue,pilot,2026-08-01,2027-07-28,,false,PMO / IT portfolio tracker,PRJ-MER-122,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-123,Cybersecurity & Risk pharmacy benefit rules cleanup wave 6,security,Cybersecurity & Risk,infrastructure,false,CISO,CISO,IT Finance Business Partner,4056325,1054645,3853509,0,continue,scale,2026-09-01,2027-08-28,,false,PMO / IT portfolio tracker,PRJ-MER-123,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-124,Enterprise Architecture quality measure reporting upgrade wave 6,architecture,Enterprise Architecture,security,false,Chief Architect,Chief Architect,IT Finance Business Partner,2704217,892392,2636612,0,continue,intake,2026-01-01,2027-09-28,,false,PMO / IT portfolio tracker,PRJ-MER-124,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-125,Corporate IT enterprise observability rollout wave 6,corporate_it,Corporate IT,mandatory_compliance,false,VP Corporate IT,VP Corporate IT,IT Finance Business Partner,4281677,1712671,4281677,0,continue,business_case,2026-02-01,2027-10-28,,false,PMO / IT portfolio tracker,PRJ-MER-125,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-126,Clinical / Epic data warehouse cost optimization wave 6,clinical_epic,Clinical / Epic,ordinary_it_project,false,Chief Medical Information Officer,Chief Medical Information Officer,IT Finance Business Partner,2929568,1376897,2636611,0,continue,funded,2026-03-01,2027-01-28,,false,PMO / IT portfolio tracker,PRJ-MER-126,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-127,Infrastructure & Cloud contact center routing cleanup wave 6,infrastructure,Infrastructure & Cloud,clinical_epic,false,CTO,CTO,IT Finance Business Partner,4507028,2433795,4169001,0,continue,build,2026-04-01,2027-02-28,,false,PMO / IT portfolio tracker,PRJ-MER-127,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-128,Enterprise Applications scheduling template optimization wave 6,apps,Enterprise Applications,infrastructure,false,VP Enterprise Applications,VP Enterprise Applications,IT Finance Business Partner,3154920,378590,2997174,0,defer,pilot,2026-05-01,2027-03-28,,false,PMO / IT portfolio tracker,PRJ-MER-128,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-129,Data & AI desktop virtualization refresh wave 6,data_ai,Data & AI,security,false,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,4732380,899152,4614071,0,continue,scale,2026-06-01,2027-04-28,,false,PMO / IT portfolio tracker,PRJ-MER-129,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-130,Digital & Member Experience backup and recovery modernization wave 6,digital,Digital & Member Experience,mandatory_compliance,false,Chief Digital Officer,Chief Digital Officer,IT Finance Business Partner,3380271,878870,3380271,0,continue,intake,2026-07-01,2027-05-28,,false,PMO / IT portfolio tracker,PRJ-MER-130,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-131,Cybersecurity & Risk API gateway hardening wave 6,security,Cybersecurity & Risk,ordinary_it_project,false,CISO,CISO,IT Finance Business Partner,4957731,1636051,4461958,0,continue,business_case,2026-08-01,2027-06-28,,false,PMO / IT portfolio tracker,PRJ-MER-131,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-132,Enterprise Architecture Epic reporting workbench cleanup wave 6,architecture,Enterprise Architecture,clinical_epic,false,Chief Architect,Chief Architect,IT Finance Business Partner,3605622,1442249,3335200,0,continue,funded,2026-09-01,2027-07-28,,false,PMO / IT portfolio tracker,PRJ-MER-132,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-133,Corporate IT denials workflow redesign wave 6,corporate_it,Corporate IT,infrastructure,false,VP Corporate IT,VP Corporate IT,IT Finance Business Partner,2253514,1059152,2140838,0,continue,build,2026-01-01,2027-08-28,,false,PMO / IT portfolio tracker,PRJ-MER-133,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-134,Clinical / Epic HR case management upgrade wave 6,clinical_epic,Clinical / Epic,security,false,Chief Medical Information Officer,Chief Medical Information Officer,IT Finance Business Partner,3830974,2068726,3735200,0,continue,pilot,2026-02-01,2027-09-28,,false,PMO / IT portfolio tracker,PRJ-MER-134,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-135,Infrastructure & Cloud finance planning integration wave 6,infrastructure,Infrastructure & Cloud,mandatory_compliance,false,CTO,CTO,IT Finance Business Partner,2478865,297464,2478865,0,continue,scale,2026-03-01,2027-10-28,,false,PMO / IT portfolio tracker,PRJ-MER-135,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-136,Enterprise Applications care management workflow upgrade wave 7,apps,Enterprise Applications,ordinary_it_project,false,VP Enterprise Applications,VP Enterprise Applications,IT Finance Business Partner,4056325,770702,3650693,0,defer,intake,2026-04-01,2027-01-28,,false,PMO / IT portfolio tracker,PRJ-MER-136,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-137,Data & AI claims intake modernization wave 7,data_ai,Data & AI,clinical_epic,false,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,2704217,703096,2501401,0,continue,business_case,2026-05-01,2027-02-28,,false,PMO / IT portfolio tracker,PRJ-MER-137,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-138,Digital & Member Experience population health data mart wave 7,digital,Digital & Member Experience,infrastructure,false,Chief Digital Officer,Chief Digital Officer,IT Finance Business Partner,4281677,1412953,4067593,0,continue,funded,2026-06-01,2027-03-28,,false,PMO / IT portfolio tracker,PRJ-MER-138,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-139,Cybersecurity & Risk interoperability interface refresh wave 7,security,Cybersecurity & Risk,security,false,CISO,CISO,IT Finance Business Partner,2929568,1171827,2856329,0,continue,build,2026-07-01,2027-04-28,,false,PMO / IT portfolio tracker,PRJ-MER-139,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-140,Enterprise Architecture clinical device integration wave 7,architecture,Enterprise Architecture,mandatory_compliance,false,Chief Architect,Chief Architect,IT Finance Business Partner,4507032,2118305,4507032,0,continue,pilot,2026-08-01,2027-05-28,,false,PMO / IT portfolio tracker,PRJ-MER-140,2026-08-24,2026-08-24,monthly,synthetic_review_ready
