vendor_id,vendor_name,contract_id,contract_name,category,contract_owner,relationship_owner,start_date,end_date,annual_spend_usd,termination_notice_days,baa_required,security_review_status,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
VEN-MH-096,Meridian Revenue Cycle Vendor 096,CON-MH-096-2027,Revenue Cycle Services Agreement 096,Revenue Cycle,Strategic Sourcing,Epic Platform Operations,2026-04-07,2028-03-19,2458000,60,false,Current,Contract repository,CON-MH-096-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-097,Meridian Contact Center Vendor 097,CON-MH-097-2027,Contact Center Services Agreement 097,Contact Center,Strategic Sourcing,Cloud Migration Factory,2026-04-08,2028-03-22,2631000,90,true,Due,Contract repository,CON-MH-097-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-098,Meridian Device Management Vendor 098,CON-MH-098-2027,Device Management Services Agreement 098,Device Management,Strategic Sourcing,Data Governance,2026-04-09,2028-03-25,2804000,120,true,Conditional,Contract repository,CON-MH-098-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-099,Meridian Professional Services Vendor 099,CON-MH-099-2027,Professional Services Services Agreement 099,Professional Services,Strategic Sourcing,Revenue Cycle Technology,2026-04-10,2028-03-28,2977000,180,false,Current,Contract repository,CON-MH-099-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-100,Meridian Clinical Systems Vendor 100,CON-MH-100-2027,Clinical Systems Services Agreement 100,Clinical Systems,Strategic Sourcing,Epic Platform Operations,2026-04-11,2028-03-31,3150000,60,true,Due,Contract repository,CON-MH-100-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-101,Meridian Cloud Infrastructure Vendor 101,CON-MH-101-2027,Cloud Infrastructure Services Agreement 101,Cloud Infrastructure,Strategic Sourcing,Cloud Migration Factory,2026-04-12,2028-04-03,3323000,90,true,Conditional,Contract repository,CON-MH-101-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-102,Meridian Data Platform Vendor 102,CON-MH-102-2027,Data Platform Services Agreement 102,Data Platform,Strategic Sourcing,Data Governance,2026-04-13,2028-04-06,3496000,120,false,Current,Contract repository,CON-MH-102-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-103,Meridian Security Vendor 103,CON-MH-103-2027,Security Services Agreement 103,Security,Strategic Sourcing,Revenue Cycle Technology,2026-04-14,2028-04-09,3669000,180,true,Due,Contract repository,CON-MH-103-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-104,Meridian Integration Vendor 104,CON-MH-104-2027,Integration Services Agreement 104,Integration,Strategic Sourcing,Epic Platform Operations,2026-04-15,2028-04-12,3842000,60,true,Conditional,Contract repository,CON-MH-104-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-105,Meridian Health Plan Operations Vendor 105,CON-MH-105-2027,Health Plan Operations Services Agreement 105,Health Plan Operations,Strategic Sourcing,Cloud Migration Factory,2026-04-16,2028-04-15,4015000,90,false,Current,Contract repository,CON-MH-105-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-106,Meridian Revenue Cycle Vendor 106,CON-MH-106-2027,Revenue Cycle Services Agreement 106,Revenue Cycle,Strategic Sourcing,Data Governance,2026-04-17,2028-04-18,4188000,120,true,Due,Contract repository,CON-MH-106-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-107,Meridian Contact Center Vendor 107,CON-MH-107-2027,Contact Center Services Agreement 107,Contact Center,Strategic Sourcing,Revenue Cycle Technology,2026-04-18,2028-04-21,4361000,180,true,Conditional,Contract repository,CON-MH-107-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-108,Meridian Device Management Vendor 108,CON-MH-108-2027,Device Management Services Agreement 108,Device Management,Strategic Sourcing,Epic Platform Operations,2026-04-19,2028-04-24,4534000,60,false,Current,Contract repository,CON-MH-108-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-109,Meridian Professional Services Vendor 109,CON-MH-109-2027,Professional Services Services Agreement 109,Professional Services,Strategic Sourcing,Cloud Migration Factory,2026-04-20,2028-04-27,4707000,90,true,Due,Contract repository,CON-MH-109-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-110,Meridian Clinical Systems Vendor 110,CON-MH-110-2027,Clinical Systems Services Agreement 110,Clinical Systems,Strategic Sourcing,Data Governance,2026-04-21,2028-04-30,4880000,120,true,Conditional,Contract repository,CON-MH-110-2027,Strategic Sourcing,2026-06-04,0.82,true,
