spend_id,period_start,period_end,business_unit_id,cost_center,vendor_id,contract_id,category,actual_spend_usd,run_rate_usd,capex_opex,budget_owner,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
SPEND-MH-0115,2026-08-01,2026-08-28,BU-ACUTE,CC-1025,VEN-WORKDAY,CON-WORKDAY-2028,HCM,793166,9200000,Opex,CFO,ERP spend export,SPEND-MH-0115,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0116,2026-09-01,2026-09-28,BU-AMB,CC-1026,VEN-SNOW,CON-SNOW-2028,ITSM / CMDB,619266,7100000,Capex,CDAO,ERP spend export,SPEND-MH-0116,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0117,2026-10-01,2026-10-28,BU-PLAN,CC-1027,VEN-DATABRICKS,CON-DATABRICKS-2028,Data Platform,845366,9800000,Opex,CTO,ERP spend export,SPEND-MH-0117,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0118,2026-11-01,2026-11-28,BU-IT,CC-1028,VEN-MICROSOFT,CON-M365-2028,Productivity and Identity,1896466,22400000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0118,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0119,2026-12-01,2026-12-28,BU-SHARED,CC-1029,VEN-RHAPSODY,CON-RHAPSODY-2027,Integration,330900,3600000,Opex,Health Plan,ERP spend export,SPEND-MH-0119,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0120,2026-01-01,2026-01-28,BU-ACUTE,CC-1030,VEN-COLLIBRA,CON-COLLIBRA-2027,Data Governance,273666,2900000,Capex,CFO,ERP spend export,SPEND-MH-0120,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0121,2026-02-01,2026-02-28,BU-AMB,CC-1031,VEN-CROWDSTRIKE,CON-CROWDSTRIKE-2027,Security,458100,5100000,Opex,CDAO,ERP spend export,SPEND-MH-0121,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0122,2026-03-01,2026-03-28,BU-PLAN,CC-1032,VEN-MH-013,CON-MH-013-2027,Security,242450,2499000,Opex,CTO,ERP spend export,SPEND-MH-0122,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0123,2026-04-01,2026-04-28,BU-IT,CC-1033,VEN-MH-014,CON-MH-014-2027,Integration,257966,2672000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0123,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0124,2026-05-01,2026-05-28,BU-SHARED,CC-1034,VEN-MH-015,CON-MH-015-2027,Health Plan Operations,273483,2845000,Capex,Health Plan,ERP spend export,SPEND-MH-0124,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0125,2026-06-01,2026-06-28,BU-ACUTE,CC-1035,VEN-MH-016,CON-MH-016-2027,Revenue Cycle,289000,3018000,Opex,CFO,ERP spend export,SPEND-MH-0125,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0126,2026-07-01,2026-07-28,BU-AMB,CC-1036,VEN-MH-017,CON-MH-017-2027,Contact Center,304516,3191000,Opex,CDAO,ERP spend export,SPEND-MH-0126,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0127,2026-08-01,2026-08-28,BU-PLAN,CC-1037,VEN-MH-018,CON-MH-018-2027,Device Management,320033,3364000,Opex,CTO,ERP spend export,SPEND-MH-0127,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0128,2026-09-01,2026-09-28,BU-IT,CC-1038,VEN-MH-019,CON-MH-019-2027,Professional Services,335550,3537000,Capex,Revenue Cycle,ERP spend export,SPEND-MH-0128,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0129,2026-10-01,2026-10-28,BU-SHARED,CC-1039,VEN-MH-020,CON-MH-020-2027,Clinical Systems,351066,3710000,Opex,Health Plan,ERP spend export,SPEND-MH-0129,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0130,2026-11-01,2026-11-28,BU-ACUTE,CC-1040,VEN-MH-021,CON-MH-021-2027,Cloud Infrastructure,366583,3883000,Opex,CFO,ERP spend export,SPEND-MH-0130,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0131,2026-12-01,2026-12-28,BU-AMB,CC-1041,VEN-MH-022,CON-MH-022-2027,Data Platform,382100,4056000,Opex,CDAO,ERP spend export,SPEND-MH-0131,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0132,2026-01-01,2026-01-28,BU-PLAN,CC-1042,VEN-MH-023,CON-MH-023-2027,Security,397616,4229000,Capex,CTO,ERP spend export,SPEND-MH-0132,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0133,2026-02-01,2026-02-28,BU-IT,CC-1043,VEN-MH-024,CON-MH-024-2027,Integration,413133,4402000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0133,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0134,2026-03-01,2026-03-28,BU-SHARED,CC-1044,VEN-MH-025,CON-MH-025-2027,Health Plan Operations,428650,4575000,Opex,Health Plan,ERP spend export,SPEND-MH-0134,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0135,2026-04-01,2026-04-28,BU-ACUTE,CC-1045,VEN-MH-026,CON-MH-026-2027,Revenue Cycle,444166,4748000,Opex,CFO,ERP spend export,SPEND-MH-0135,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0136,2026-05-01,2026-05-28,BU-AMB,CC-1046,VEN-MH-027,CON-MH-027-2027,Contact Center,459683,4921000,Capex,CDAO,ERP spend export,SPEND-MH-0136,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0137,2026-06-01,2026-06-28,BU-PLAN,CC-1047,VEN-MH-028,CON-MH-028-2027,Device Management,25200,294000,Opex,CTO,ERP spend export,SPEND-MH-0137,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0138,2026-07-01,2026-07-28,BU-IT,CC-1048,VEN-MH-029,CON-MH-029-2027,Professional Services,40716,467000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0138,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0139,2026-08-01,2026-08-28,BU-SHARED,CC-1049,VEN-MH-030,CON-MH-030-2027,Clinical Systems,56233,640000,Opex,Health Plan,ERP spend export,SPEND-MH-0139,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0140,2026-09-01,2026-09-28,BU-ACUTE,CC-1050,VEN-MH-031,CON-MH-031-2027,Cloud Infrastructure,71750,813000,Capex,CFO,ERP spend export,SPEND-MH-0140,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0141,2026-10-01,2026-10-28,BU-AMB,CC-1051,VEN-MH-032,CON-MH-032-2027,Data Platform,87266,986000,Opex,CDAO,ERP spend export,SPEND-MH-0141,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0142,2026-11-01,2026-11-28,BU-PLAN,CC-1052,VEN-MH-033,CON-MH-033-2027,Security,102783,1159000,Opex,CTO,ERP spend export,SPEND-MH-0142,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0143,2026-12-01,2026-12-28,BU-IT,CC-1053,VEN-MH-034,CON-MH-034-2027,Integration,118300,1332000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0143,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0144,2026-01-01,2026-01-28,BU-SHARED,CC-1054,VEN-MH-035,CON-MH-035-2027,Health Plan Operations,133816,1505000,Capex,Health Plan,ERP spend export,SPEND-MH-0144,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0145,2026-02-01,2026-02-28,BU-ACUTE,CC-1055,VEN-MH-036,CON-MH-036-2027,Revenue Cycle,149333,1678000,Opex,CFO,ERP spend export,SPEND-MH-0145,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0146,2026-03-01,2026-03-28,BU-AMB,CC-1056,VEN-MH-037,CON-MH-037-2027,Contact Center,164850,1851000,Opex,CDAO,ERP spend export,SPEND-MH-0146,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0147,2026-04-01,2026-04-28,BU-PLAN,CC-1057,VEN-MH-038,CON-MH-038-2027,Device Management,180366,2024000,Opex,CTO,ERP spend export,SPEND-MH-0147,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0148,2026-05-01,2026-05-28,BU-IT,CC-1058,VEN-MH-039,CON-MH-039-2027,Professional Services,195883,2197000,Capex,Revenue Cycle,ERP spend export,SPEND-MH-0148,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0149,2026-06-01,2026-06-28,BU-SHARED,CC-1059,VEN-MH-040,CON-MH-040-2027,Clinical Systems,211400,2370000,Opex,Health Plan,ERP spend export,SPEND-MH-0149,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0150,2026-07-01,2026-07-28,BU-ACUTE,CC-1060,VEN-MH-041,CON-MH-041-2027,Cloud Infrastructure,226916,2543000,Opex,CFO,ERP spend export,SPEND-MH-0150,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0151,2026-08-01,2026-08-28,BU-AMB,CC-1061,VEN-MH-042,CON-MH-042-2027,Data Platform,242433,2716000,Opex,CDAO,ERP spend export,SPEND-MH-0151,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0152,2026-09-01,2026-09-28,BU-PLAN,CC-1062,VEN-MH-043,CON-MH-043-2027,Security,257950,2889000,Capex,CTO,ERP spend export,SPEND-MH-0152,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0153,2026-10-01,2026-10-28,BU-IT,CC-1063,VEN-MH-044,CON-MH-044-2027,Integration,273466,3062000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0153,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0154,2026-11-01,2026-11-28,BU-SHARED,CC-1064,VEN-MH-045,CON-MH-045-2027,Health Plan Operations,288983,3235000,Opex,Health Plan,ERP spend export,SPEND-MH-0154,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0155,2026-12-01,2026-12-28,BU-ACUTE,CC-1065,VEN-MH-046,CON-MH-046-2027,Revenue Cycle,304500,3408000,Opex,CFO,ERP spend export,SPEND-MH-0155,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0156,2026-01-01,2026-01-28,BU-AMB,CC-1066,VEN-MH-047,CON-MH-047-2027,Contact Center,320016,3581000,Capex,CDAO,ERP spend export,SPEND-MH-0156,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0157,2026-02-01,2026-02-28,BU-PLAN,CC-1067,VEN-MH-048,CON-MH-048-2027,Device Management,335533,3754000,Opex,CTO,ERP spend export,SPEND-MH-0157,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0158,2026-03-01,2026-03-28,BU-IT,CC-1068,VEN-MH-049,CON-MH-049-2027,Professional Services,351050,3927000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0158,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0159,2026-04-01,2026-04-28,BU-SHARED,CC-1069,VEN-MH-050,CON-MH-050-2027,Clinical Systems,366566,4100000,Opex,Health Plan,ERP spend export,SPEND-MH-0159,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0160,2026-05-01,2026-05-28,BU-ACUTE,CC-1070,VEN-MH-051,CON-MH-051-2027,Cloud Infrastructure,382083,4273000,Capex,CFO,ERP spend export,SPEND-MH-0160,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0161,2026-06-01,2026-06-28,BU-AMB,CC-1071,VEN-MH-052,CON-MH-052-2027,Data Platform,397600,4446000,Opex,CDAO,ERP spend export,SPEND-MH-0161,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0162,2026-07-01,2026-07-28,BU-PLAN,CC-1072,VEN-MH-053,CON-MH-053-2027,Security,413116,4619000,Opex,CTO,ERP spend export,SPEND-MH-0162,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0163,2026-08-01,2026-08-28,BU-IT,CC-1073,VEN-MH-054,CON-MH-054-2027,Integration,428633,4792000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0163,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0164,2026-09-01,2026-09-28,BU-SHARED,CC-1074,VEN-MH-055,CON-MH-055-2027,Health Plan Operations,444150,4965000,Capex,Health Plan,ERP spend export,SPEND-MH-0164,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0165,2026-10-01,2026-10-28,BU-ACUTE,CC-1075,VEN-MH-056,CON-MH-056-2027,Revenue Cycle,59666,338000,Opex,CFO,ERP spend export,SPEND-MH-0165,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0166,2026-11-01,2026-11-28,BU-AMB,CC-1076,VEN-MH-057,CON-MH-057-2027,Contact Center,75183,511000,Opex,CDAO,ERP spend export,SPEND-MH-0166,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0167,2026-12-01,2026-12-28,BU-PLAN,CC-1077,VEN-MH-058,CON-MH-058-2027,Device Management,90700,684000,Opex,CTO,ERP spend export,SPEND-MH-0167,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0168,2026-01-01,2026-01-28,BU-IT,CC-1078,VEN-MH-059,CON-MH-059-2027,Professional Services,106216,857000,Capex,Revenue Cycle,ERP spend export,SPEND-MH-0168,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0169,2026-02-01,2026-02-28,BU-SHARED,CC-1079,VEN-MH-060,CON-MH-060-2027,Clinical Systems,121733,1030000,Opex,Health Plan,ERP spend export,SPEND-MH-0169,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0170,2026-03-01,2026-03-28,BU-ACUTE,CC-1080,VEN-MH-061,CON-MH-061-2027,Cloud Infrastructure,137250,1203000,Opex,CFO,ERP spend export,SPEND-MH-0170,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0171,2026-04-01,2026-04-28,BU-AMB,CC-1081,VEN-MH-062,CON-MH-062-2027,Data Platform,152766,1376000,Opex,CDAO,ERP spend export,SPEND-MH-0171,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0172,2026-05-01,2026-05-28,BU-PLAN,CC-1082,VEN-MH-063,CON-MH-063-2027,Security,168283,1549000,Capex,CTO,ERP spend export,SPEND-MH-0172,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0173,2026-06-01,2026-06-28,BU-IT,CC-1083,VEN-MH-064,CON-MH-064-2027,Integration,183800,1722000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0173,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0174,2026-07-01,2026-07-28,BU-SHARED,CC-1084,VEN-MH-065,CON-MH-065-2027,Health Plan Operations,199316,1895000,Opex,Health Plan,ERP spend export,SPEND-MH-0174,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0175,2026-08-01,2026-08-28,BU-ACUTE,CC-1085,VEN-MH-066,CON-MH-066-2027,Revenue Cycle,214833,2068000,Opex,CFO,ERP spend export,SPEND-MH-0175,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0176,2026-09-01,2026-09-28,BU-AMB,CC-1086,VEN-MH-067,CON-MH-067-2027,Contact Center,230350,2241000,Capex,CDAO,ERP spend export,SPEND-MH-0176,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0177,2026-10-01,2026-10-28,BU-PLAN,CC-1087,VEN-MH-068,CON-MH-068-2027,Device Management,245866,2414000,Opex,CTO,ERP spend export,SPEND-MH-0177,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0178,2026-11-01,2026-11-28,BU-IT,CC-1088,VEN-MH-069,CON-MH-069-2027,Professional Services,261383,2587000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0178,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0179,2026-12-01,2026-12-28,BU-SHARED,CC-1089,VEN-MH-070,CON-MH-070-2027,Clinical Systems,276900,2760000,Opex,Health Plan,ERP spend export,SPEND-MH-0179,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0180,2026-01-01,2026-01-28,BU-ACUTE,CC-1000,VEN-MH-071,CON-MH-071-2027,Cloud Infrastructure,292416,2933000,Capex,CFO,ERP spend export,SPEND-MH-0180,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0181,2026-02-01,2026-02-28,BU-AMB,CC-1001,VEN-MH-072,CON-MH-072-2027,Data Platform,307933,3106000,Opex,CDAO,ERP spend export,SPEND-MH-0181,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0182,2026-03-01,2026-03-28,BU-PLAN,CC-1002,VEN-MH-073,CON-MH-073-2027,Security,273450,3279000,Opex,CTO,ERP spend export,SPEND-MH-0182,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0183,2026-04-01,2026-04-28,BU-IT,CC-1003,VEN-MH-074,CON-MH-074-2027,Integration,288966,3452000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0183,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0184,2026-05-01,2026-05-28,BU-SHARED,CC-1004,VEN-MH-075,CON-MH-075-2027,Health Plan Operations,304483,3625000,Capex,Health Plan,ERP spend export,SPEND-MH-0184,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0185,2026-06-01,2026-06-28,BU-ACUTE,CC-1005,VEN-MH-076,CON-MH-076-2027,Revenue Cycle,320000,3798000,Opex,CFO,ERP spend export,SPEND-MH-0185,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0186,2026-07-01,2026-07-28,BU-AMB,CC-1006,VEN-MH-077,CON-MH-077-2027,Contact Center,335516,3971000,Opex,CDAO,ERP spend export,SPEND-MH-0186,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0187,2026-08-01,2026-08-28,BU-PLAN,CC-1007,VEN-MH-078,CON-MH-078-2027,Device Management,351033,4144000,Opex,CTO,ERP spend export,SPEND-MH-0187,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0188,2026-09-01,2026-09-28,BU-IT,CC-1008,VEN-MH-079,CON-MH-079-2027,Professional Services,366550,4317000,Capex,Revenue Cycle,ERP spend export,SPEND-MH-0188,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0189,2026-10-01,2026-10-28,BU-SHARED,CC-1009,VEN-MH-080,CON-MH-080-2027,Clinical Systems,382066,4490000,Opex,Health Plan,ERP spend export,SPEND-MH-0189,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0190,2026-11-01,2026-11-28,BU-ACUTE,CC-1010,VEN-MH-081,CON-MH-081-2027,Cloud Infrastructure,397583,4663000,Opex,CFO,ERP spend export,SPEND-MH-0190,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0191,2026-12-01,2026-12-28,BU-AMB,CC-1011,VEN-MH-082,CON-MH-082-2027,Data Platform,413100,4836000,Opex,CDAO,ERP spend export,SPEND-MH-0191,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0192,2026-01-01,2026-01-28,BU-PLAN,CC-1012,VEN-MH-083,CON-MH-083-2027,Security,428616,5009000,Capex,CTO,ERP spend export,SPEND-MH-0192,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0193,2026-02-01,2026-02-28,BU-IT,CC-1013,VEN-MH-084,CON-MH-084-2027,Integration,44133,382000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0193,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0194,2026-03-01,2026-03-28,BU-SHARED,CC-1014,VEN-MH-085,CON-MH-085-2027,Health Plan Operations,59650,555000,Opex,Health Plan,ERP spend export,SPEND-MH-0194,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0195,2026-04-01,2026-04-28,BU-ACUTE,CC-1015,VEN-MH-086,CON-MH-086-2027,Revenue Cycle,75166,728000,Opex,CFO,ERP spend export,SPEND-MH-0195,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0196,2026-05-01,2026-05-28,BU-AMB,CC-1016,VEN-MH-087,CON-MH-087-2027,Contact Center,90683,901000,Capex,CDAO,ERP spend export,SPEND-MH-0196,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0197,2026-06-01,2026-06-28,BU-PLAN,CC-1017,VEN-MH-088,CON-MH-088-2027,Device Management,106200,1074000,Opex,CTO,ERP spend export,SPEND-MH-0197,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0198,2026-07-01,2026-07-28,BU-IT,CC-1018,VEN-MH-089,CON-MH-089-2027,Professional Services,121716,1247000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0198,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0199,2026-08-01,2026-08-28,BU-SHARED,CC-1019,VEN-MH-090,CON-MH-090-2027,Clinical Systems,137233,1420000,Opex,Health Plan,ERP spend export,SPEND-MH-0199,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0200,2026-09-01,2026-09-28,BU-ACUTE,CC-1020,VEN-MH-091,CON-MH-091-2027,Cloud Infrastructure,152750,1593000,Capex,CFO,ERP spend export,SPEND-MH-0200,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0201,2026-10-01,2026-10-28,BU-AMB,CC-1021,VEN-MH-092,CON-MH-092-2027,Data Platform,168266,1766000,Opex,CDAO,ERP spend export,SPEND-MH-0201,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0202,2026-11-01,2026-11-28,BU-PLAN,CC-1022,VEN-MH-093,CON-MH-093-2027,Security,183783,1939000,Opex,CTO,ERP spend export,SPEND-MH-0202,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0203,2026-12-01,2026-12-28,BU-IT,CC-1023,VEN-MH-094,CON-MH-094-2027,Integration,199300,2112000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0203,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0204,2026-01-01,2026-01-28,BU-SHARED,CC-1024,VEN-MH-095,CON-MH-095-2027,Health Plan Operations,214816,2285000,Capex,Health Plan,ERP spend export,SPEND-MH-0204,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0205,2026-02-01,2026-02-28,BU-ACUTE,CC-1025,VEN-MH-096,CON-MH-096-2027,Revenue Cycle,230333,2458000,Opex,CFO,ERP spend export,SPEND-MH-0205,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0206,2026-03-01,2026-03-28,BU-AMB,CC-1026,VEN-MH-097,CON-MH-097-2027,Contact Center,245850,2631000,Opex,CDAO,ERP spend export,SPEND-MH-0206,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0207,2026-04-01,2026-04-28,BU-PLAN,CC-1027,VEN-MH-098,CON-MH-098-2027,Device Management,261366,2804000,Opex,CTO,ERP spend export,SPEND-MH-0207,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0208,2026-05-01,2026-05-28,BU-IT,CC-1028,VEN-MH-099,CON-MH-099-2027,Professional Services,276883,2977000,Capex,Revenue Cycle,ERP spend export,SPEND-MH-0208,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0209,2026-06-01,2026-06-28,BU-SHARED,CC-1029,VEN-MH-100,CON-MH-100-2027,Clinical Systems,292400,3150000,Opex,Health Plan,ERP spend export,SPEND-MH-0209,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0210,2026-07-01,2026-07-28,BU-ACUTE,CC-1030,VEN-MH-101,CON-MH-101-2027,Cloud Infrastructure,307916,3323000,Opex,CFO,ERP spend export,SPEND-MH-0210,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0211,2026-08-01,2026-08-28,BU-AMB,CC-1031,VEN-MH-102,CON-MH-102-2027,Data Platform,323433,3496000,Opex,CDAO,ERP spend export,SPEND-MH-0211,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0212,2026-09-01,2026-09-28,BU-PLAN,CC-1032,VEN-MH-103,CON-MH-103-2027,Security,338950,3669000,Capex,CTO,ERP spend export,SPEND-MH-0212,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0213,2026-10-01,2026-10-28,BU-IT,CC-1033,VEN-MH-104,CON-MH-104-2027,Integration,354466,3842000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0213,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0214,2026-11-01,2026-11-28,BU-SHARED,CC-1034,VEN-MH-105,CON-MH-105-2027,Health Plan Operations,369983,4015000,Opex,Health Plan,ERP spend export,SPEND-MH-0214,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0215,2026-12-01,2026-12-28,BU-ACUTE,CC-1035,VEN-MH-106,CON-MH-106-2027,Revenue Cycle,385500,4188000,Opex,CFO,ERP spend export,SPEND-MH-0215,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0216,2026-01-01,2026-01-28,BU-AMB,CC-1036,VEN-MH-107,CON-MH-107-2027,Contact Center,401016,4361000,Capex,CDAO,ERP spend export,SPEND-MH-0216,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0217,2026-02-01,2026-02-28,BU-PLAN,CC-1037,VEN-MH-108,CON-MH-108-2027,Device Management,416533,4534000,Opex,CTO,ERP spend export,SPEND-MH-0217,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0218,2026-03-01,2026-03-28,BU-IT,CC-1038,VEN-MH-109,CON-MH-109-2027,Professional Services,432050,4707000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0218,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0219,2026-04-01,2026-04-28,BU-SHARED,CC-1039,VEN-MH-110,CON-MH-110-2027,Clinical Systems,447566,4880000,Opex,Health Plan,ERP spend export,SPEND-MH-0219,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0220,2026-05-01,2026-05-28,BU-ACUTE,CC-1040,VEN-EPIC,CON-EPIC-CORE-2027,Clinical Systems,2425333,28600000,Capex,CFO,ERP spend export,SPEND-MH-0220,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0221,2026-06-01,2026-06-28,BU-AMB,CC-1041,VEN-AMS-EPIC,CON-AMS-EPIC-2026,AMS - Epic,1576433,18400000,Opex,CDAO,ERP spend export,SPEND-MH-0221,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0222,2026-07-01,2026-07-28,BU-PLAN,CC-1042,VEN-AMS-DATA,CON-AMS-DATA-2026,AMS - Data Analytics,1094200,12600000,Opex,CTO,ERP spend export,SPEND-MH-0222,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0223,2026-08-01,2026-08-28,BU-IT,CC-1043,VEN-AWS,CON-AWS-EA-2027,Cloud Infrastructure,4061966,48200000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0223,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0224,2026-09-01,2026-09-28,BU-SHARED,CC-1044,VEN-ORACLE,CON-ORACLE-ERP-2028,ERP and Finance,1238066,14300000,Capex,Health Plan,ERP spend export,SPEND-MH-0224,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0225,2026-10-01,2026-10-28,BU-ACUTE,CC-1045,VEN-WORKDAY,CON-WORKDAY-2028,HCM,814166,9200000,Opex,CFO,ERP spend export,SPEND-MH-0225,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0226,2026-11-01,2026-11-28,BU-AMB,CC-1046,VEN-SNOW,CON-SNOW-2028,ITSM / CMDB,640266,7100000,Opex,CDAO,ERP spend export,SPEND-MH-0226,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0227,2026-12-01,2026-12-28,BU-PLAN,CC-1047,VEN-DATABRICKS,CON-DATABRICKS-2028,Data Platform,866366,9800000,Opex,CTO,ERP spend export,SPEND-MH-0227,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0228,2026-01-01,2026-01-28,BU-IT,CC-1048,VEN-MICROSOFT,CON-M365-2028,Productivity and Identity,1867466,22400000,Capex,Revenue Cycle,ERP spend export,SPEND-MH-0228,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0229,2026-02-01,2026-02-28,BU-SHARED,CC-1049,VEN-RHAPSODY,CON-RHAPSODY-2027,Integration,301900,3600000,Opex,Health Plan,ERP spend export,SPEND-MH-0229,IT Finance,2026-06-04,0.86,true,
