wave,module,current_object_or_path,current_authority,current_writers,current_readers,target_operational_owner,provisional_canonical_object_family,mapping_confidence,target_consumption_projection,migration_method,historical_backfill,dual_run_requirement,reconciliation_rule,cutover_dependency,rollback_path,read_only_observation_period,archive_requirement,drop_authorization,status
Module-specific workflow preservation,Source,public.source_pricing_components,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/source/artifact-registry/text-parser.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_reasoning_envelopes,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/app/api/v1/source/[eventId]/artifacts/[artifactCode]/generate/route.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_requirements,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/source/artifact-registry/text-parser.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_stage_guidebooks,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/source/stage-guidebooks/repository.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.source_value_chain,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/source/value-chain.ts,Source until publication,knowledge.value_flow_step,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.source_value_levers,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/source/facts/evaluators/value-lever-write-adapter.ts,Source until publication,knowledge.value_driver_or_lever,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.source_value_lines,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/tower/value-states/__tests__/repository.azure-read.test.ts; src/lib/tower/value-states/repository.ts,Source until publication,to_be_mapped_after_live_profile,unresolved,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.source_value_states,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/source/value-chain.ts,Source until publication,knowledge.value_state_or_readiness,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.source_vendor_commitments,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/source/artifact-registry/text-parser.ts,Source until publication,knowledge.commercial_commitment,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_vendor_proposal_fact_reviews,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/source/vendor-proposals/__tests__/vendor-proposal-facts.test.ts; src/lib/source/vendor-proposals/vendor-proposal-facts.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.source_vendor_proposal_facts,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/source/vendor-proposals/vendor-proposal-facts.ts,Source until publication,knowledge.proposal_fact_assertion,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.telemetry_sources,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.vendor_contracts,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,scripts/audit/demo-question-readiness.mjs; src/lib/source/exports/payloads/renewal-decision-payload.ts,Source until publication,knowledge.contract,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,cio_tower.entities,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,scripts/tower/load-cio-tower-standardized-v1.mjs; scripts/tower/project-meridian-v3-to-cio-tower.mjs; scripts/tower/query-cio-tower-proof.mjs; scripts/tower/validate-cio-tower-quality.mjs; src/lib/cio-tower/answer.ts; src/lib/cio-tower/cxo-view-model.ts; src/lib/tower/tower-budget-rollups.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 5 cross-module consumption,Tower,cio_tower.facts,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,scripts/tower/load-cio-tower-standardized-v1.mjs; scripts/tower/project-meridian-v3-to-cio-tower.mjs; scripts/tower/query-cio-tower-proof.mjs; scripts/tower/validate-cio-tower-quality.mjs; src/lib/cio-tower/answer.ts; src/lib/cio-tower/cxo-view-model.ts; src/lib/cio-tower/mart-projection/merge-facts.ts; src/lib/tower/tower-budget-rollups.ts,Tower until publication,,,consumption.metric_facts,Build/refresh projection from active publications; dual-read compare before switching consumers,Backfill published observations needed for baseline reports and exports,Required: old module read versus new projection read,"Counts, tenant scope, lineage, period, unit, and headline metric parity",Build stable projection; dual-read compare; switch dashboards/aVa after parity.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 5 cross-module consumption,Tower,cio_tower.mart_ai_portfolio,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,scripts/tower/project-meridian-v3-to-cio-tower.mjs; src/lib/cio-tower/tower-mart-view-model.ts,Tower until publication,,,consumption.mart_ai_portfolio,Build/refresh projection from active publications; dual-read compare before switching consumers,Backfill published observations needed for baseline reports and exports,Required: old module read versus new projection read,"Counts, tenant scope, lineage, period, unit, and headline metric parity",Build stable projection; dual-read compare; switch dashboards/aVa after parity.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 5 cross-module consumption,Tower,cio_tower.mart_command_center,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,scripts/tower/project-meridian-v3-to-cio-tower.mjs; src/lib/cio-tower/tower-mart-view-model.ts,Tower until publication,,,consumption.mart_command_center,Build/refresh projection from active publications; dual-read compare before switching consumers,Backfill published observations needed for baseline reports and exports,Required: old module read versus new projection read,"Counts, tenant scope, lineage, period, unit, and headline metric parity",Build stable projection; dual-read compare; switch dashboards/aVa after parity.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 5 cross-module consumption,Tower,cio_tower.mart_cxo_actions,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,scripts/tower/project-meridian-v3-to-cio-tower.mjs; src/lib/cio-tower/tower-mart-view-model.ts,Tower until publication,,,consumption.mart_cxo_actions,Build/refresh projection from active publications; dual-read compare before switching consumers,Backfill published observations needed for baseline reports and exports,Required: old module read versus new projection read,"Counts, tenant scope, lineage, period, unit, and headline metric parity",Build stable projection; dual-read compare; switch dashboards/aVa after parity.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 5 cross-module consumption,Tower,cio_tower.mart_evidence_lineage,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,scripts/tower/project-meridian-v3-to-cio-tower.mjs; src/lib/cio-tower/tower-mart-view-model.ts,Tower until publication,,,consumption.evidence_mart_evidence_lineage,Build/refresh projection from active publications; dual-read compare before switching consumers,Backfill published observations needed for baseline reports and exports,Required: old module read versus new projection read,"Counts, tenant scope, lineage, period, unit, and headline metric parity",Build stable projection; dual-read compare; switch dashboards/aVa after parity.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 5 cross-module consumption,Tower,cio_tower.mart_program_decision_lanes,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,scripts/tower/project-meridian-v3-to-cio-tower.mjs; src/lib/cio-tower/tower-mart-view-model.ts,Tower until publication,,,consumption.program_mart_program_decision_lanes,Build/refresh projection from active publications; dual-read compare before switching consumers,Backfill published observations needed for baseline reports and exports,Required: old module read versus new projection read,"Counts, tenant scope, lineage, period, unit, and headline metric parity",Build stable projection; dual-read compare; switch dashboards/aVa after parity.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 5 cross-module consumption,Tower,cio_tower.mart_required_field_gaps,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,scripts/tower/project-meridian-v3-to-cio-tower.mjs; src/lib/cio-tower/tower-mart-view-model.ts,Tower until publication,,,consumption.mart_required_field_gaps,Build/refresh projection from active publications; dual-read compare before switching consumers,Backfill published observations needed for baseline reports and exports,Required: old module read versus new projection read,"Counts, tenant scope, lineage, period, unit, and headline metric parity",Build stable projection; dual-read compare; switch dashboards/aVa after parity.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 5 cross-module consumption,Tower,cio_tower.mart_value_funnel,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,scripts/tower/project-meridian-v3-to-cio-tower.mjs; src/lib/cio-tower/tower-mart-view-model.ts,Tower until publication,,,consumption.mart_value_funnel,Build/refresh projection from active publications; dual-read compare before switching consumers,Backfill published observations needed for baseline reports and exports,Required: old module read versus new projection read,"Counts, tenant scope, lineage, period, unit, and headline metric parity",Build stable projection; dual-read compare; switch dashboards/aVa after parity.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 5 cross-module consumption,Tower,cio_tower.measure_results,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,scripts/qa/tower-answer-contract-server-runner.ts; scripts/tower/load-cio-tower-standardized-v1.mjs; scripts/tower/project-meridian-v3-to-cio-tower.mjs; scripts/tower/query-cio-tower-proof.mjs; scripts/tower/validate-cio-tower-quality.mjs; src/lib/cio-tower/answer.ts; src/lib/cio-tower/cxo-view-model.ts; src/lib/cio-tower/metric-packet-store.ts,Tower until publication,,,consumption.metric_measure_results,Build/refresh projection from active publications; dual-read compare before switching consumers,Backfill published observations needed for baseline reports and exports,Required: old module read versus new projection read,"Counts, tenant scope, lineage, period, unit, and headline metric parity",Build stable projection; dual-read compare; switch dashboards/aVa after parity.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,cio_tower.measures,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,scripts/qa/tower-answer-contract-server-runner.ts; scripts/tower/load-cio-tower-standardized-v1.mjs; src/lib/cio-tower/answer.ts; src/lib/cio-tower/cxo-view-model.ts; src/lib/cio-tower/metric-packet-store.ts,Tower until publication,knowledge.metric_definition,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,cio_tower.prompt_packages,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,scripts/qa/tower-answer-contract-executor.ts; scripts/tower/query-cio-tower-answer-traces.mjs; src/lib/cio-tower/answer.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,cio_tower.question_contracts,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,scripts/tower/load-cio-tower-standardized-v1.mjs; scripts/tower/validate-cio-tower-quality.mjs; src/lib/cio-tower/answer.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,cio_tower.relationships,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,scripts/tower/load-cio-tower-standardized-v1.mjs; scripts/tower/project-meridian-v3-to-cio-tower.mjs; scripts/tower/query-cio-tower-proof.mjs; scripts/tower/validate-cio-tower-quality.mjs; src/lib/cio-tower/answer.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,cio_tower.source_registry,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,scripts/tower/load-cio-tower-standardized-v1.mjs; scripts/tower/project-meridian-v3-to-cio-tower.mjs; scripts/tower/query-cio-tower-proof.mjs; scripts/tower/validate-cio-tower-quality.mjs; src/lib/cio-tower/cxo-view-model.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,cio_tower.tool_identity_aliases,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower until publication,to_be_mapped_after_live_profile,unresolved,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,cio_tower.validation_results,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,cio_tower.validation_runs,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,intelligence_v7.active_tenant_contract_versions,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,scripts/audit/candidate-invisibility-guard.mjs; src/lib/tower/__tests__/v7-tower-projection.test.ts; src/lib/tower/v7-tower-projection.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,public.ai_control_actions,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower until publication,knowledge.action_or_decision,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,public.ai_control_agent_outcomes,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower until publication,knowledge.outcome,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 5 cross-module consumption,Tower,public.ai_control_atlas_context_packs,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower until publication,,,consumption.context_ai_control_atlas_context_packs,Build/refresh projection from active publications; dual-read compare before switching consumers,Backfill published observations needed for baseline reports and exports,Required: old module read versus new projection read,"Counts, tenant scope, lineage, period, unit, and headline metric parity",Build stable projection; dual-read compare; switch dashboards/aVa after parity.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,public.ai_control_benefit_realization,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower until publication,knowledge.metric_observation,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,public.ai_control_context_facts,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower until publication,knowledge.fact_assertion,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,public.ai_control_context_relationships,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower until publication,knowledge.relationship_assertion,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,public.ai_control_dora_metrics,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower until publication,knowledge.metric_observation,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,public.ai_control_evidence_items,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower until publication,knowledge.evidence,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,public.ai_control_initiatives,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower until publication,knowledge.program,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,public.ai_control_persona_productivity,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower until publication,knowledge.metric_observation,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.ai_control_refresh_runs,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,public.ai_control_risk_governance,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower until publication,knowledge.risk_control,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
