app_id,name,stack_era,criticality,owner_role,system_of_record,business_unit_id,ams_vendor,time_classification,annual_run_cost_usd,regulatory_scope,notes
NST-APP-229,Oracle Capability 229,Oracle,P2,VP Quality,false,BU-DENTAL,Salesforce,invest,16938000,standard,
NST-APP-230,JD Edwards Capability 230,JD Edwards,P2,VP Manufacturing,true,BU-HIS,ServiceNow,tolerate,17010000,standard,
NST-APP-231,Infor Capability 231,Infor,P2,VP HIS,false,BU-STERILE,Microsoft,migrate,17082000,standard,
NST-APP-232,AS/400 Capability 232,AS/400,P1,VP Commercial,false,BU-MONITOR,AWS,invest,17154000,SOX,
NST-APP-233,Mainframe Capability 233,Mainframe,P2,VP Security,false,BU-FILTER,Azure,invest,17226000,standard,
NST-APP-234,Java legacy Capability 234,Java legacy,P0,,false,BU-AWC,SAP,invest,17298000,GxP,
NST-APP-235,.NET Framework Capability 235,.NET Framework,P2,VP Quality,true,BU-DENTAL,Oracle,tolerate,17370000,standard,
NST-APP-236,SaaS Capability 236,SaaS,P1,VP Manufacturing,false,BU-HIS,Cognizant,invest,17442000,SOX,
NST-APP-237,Modern microservice Capability 237,Modern microservice,P2,VP HIS,false,BU-STERILE,Accenture,invest,17514000,standard,
NST-APP-238,Python ML Capability 238,Python ML,P2,VP Commercial,false,BU-MONITOR,Infosys,migrate,17586000,standard,
NST-APP-239,Plant edge Capability 239,Plant edge,P2,VP Security,false,BU-FILTER,Siemens,invest,17658000,standard,
NST-APP-240,SAP Capability 240,SAP,P1,VP ERP,true,BU-AWC,PTC,tolerate,17730000,GxP,
