module,file,classification,replacement_required,blocking_condition
shared/platform,scripts/lakeshore/validate-lakeshore-v6-holdco-pack.mjs,blocked-delete candidate,Replace v6_label in scripts/lakeshore/validate-lakeshore-v6-holdco-pack.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/qa/home-claude-story-report.ts,blocked-delete candidate,Replace v6_label in scripts/qa/home-claude-story-report.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/qa/home-claude-story-report.ts,blocked-delete candidate,Replace v7_label in scripts/qa/home-claude-story-report.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/qa/home-full-smoke-quality.ts,blocked-delete candidate,Replace v6_label in scripts/qa/home-full-smoke-quality.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/qa/home-full-smoke-quality.ts,blocked-delete candidate,Replace v7_label in scripts/qa/home-full-smoke-quality.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/qa/home-v6-backend-correctness-projection.mjs,blocked-delete candidate,Replace v6_csv in scripts/qa/home-v6-backend-correctness-projection.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/qa/home-v6-backend-correctness-projection.mjs,blocked-delete candidate,Replace v6_label in scripts/qa/home-v6-backend-correctness-projection.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/qa/home-v6-critical-gap-report.mjs,blocked-delete candidate,Replace v6_csv in scripts/qa/home-v6-critical-gap-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/qa/home-v6-critical-gap-report.mjs,blocked-delete candidate,Replace v6_label in scripts/qa/home-v6-critical-gap-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/qa/v7-tenant-foundation-live-proof.mjs,blocked-delete candidate,Replace v7_label in scripts/qa/v7-tenant-foundation-live-proof.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/tenant-v3/configs/first-capital.mjs,blocked-delete candidate,Replace v6_v7_dataset in scripts/tenant-v3/configs/first-capital.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/tenant-v3/configs/first-capital.mjs,blocked-delete candidate,Replace v7_label in scripts/tenant-v3/configs/first-capital.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/tenant-v3/configs/meridian-health.mjs,blocked-delete candidate,Replace v6_label in scripts/tenant-v3/configs/meridian-health.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/tenant-v3/configs/meridian-health.mjs,blocked-delete candidate,Replace v6_v7_dataset in scripts/tenant-v3/configs/meridian-health.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/tenant-v3/configs/meridian-health.mjs,blocked-delete candidate,Replace v7_label in scripts/tenant-v3/configs/meridian-health.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/tenant-v3/configs/skyharbor-air.mjs,blocked-delete candidate,Replace v6_v7_dataset in scripts/tenant-v3/configs/skyharbor-air.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/tenant-v3/configs/skyharbor-air.mjs,blocked-delete candidate,Replace v7_label in scripts/tenant-v3/configs/skyharbor-air.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/tenant-v3/generate-tenant-v3-inputs.mjs,blocked-delete candidate,Replace v6_label in scripts/tenant-v3/generate-tenant-v3-inputs.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/tenant-v3/generate-tenant-v3-inputs.mjs,blocked-delete candidate,Replace v6_v7_dataset in scripts/tenant-v3/generate-tenant-v3-inputs.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/tenant-v3/generate-tenant-v3-inputs.mjs,blocked-delete candidate,Replace v7_label in scripts/tenant-v3/generate-tenant-v3-inputs.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,src/app/api/programs/synthesis/__tests__/route.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
shared/platform,src/app/api/programs/synthesis/route.ts,active runtime dependency,Replace v6_label in src/app/api/programs/synthesis/route.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,src/lib/__tests__/client-config-canonical.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
shared/platform,src/lib/agent/__tests__/module-v6-answer-contract.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
shared/platform,src/lib/agent/module-v6-answer-contract.ts,blocked-delete candidate,Replace v6_label in src/lib/agent/module-v6-answer-contract.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,src/lib/ava-answer/__tests__/public-answer-scrub.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
shared/platform,src/lib/enterprise-data/compatibility/skyharbor-compatibility-snapshot.ts,bridge/read-model dependency,Replace v6_label in src/lib/enterprise-data/compatibility/skyharbor-compatibility-snapshot.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,src/lib/enterprise-data/compatibility/skyharbor-compatibility-snapshot.ts,bridge/read-model dependency,Replace v6_v7_dataset in src/lib/enterprise-data/compatibility/skyharbor-compatibility-snapshot.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,src/lib/enterprise-data/compatibility/skyharbor-compatibility-snapshot.ts,bridge/read-model dependency,Replace v7_csv in src/lib/enterprise-data/compatibility/skyharbor-compatibility-snapshot.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,src/lib/enterprise-data/compatibility/skyharbor-compatibility-snapshot.ts,bridge/read-model dependency,Replace v7_label in src/lib/enterprise-data/compatibility/skyharbor-compatibility-snapshot.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,src/lib/enterprise-data/module-context-serving/__tests__/module-context-serving.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
shared/platform,src/lib/module-v6/demo-tenant-packs.ts,blocked-delete candidate,Replace v6_csv in src/lib/module-v6/demo-tenant-packs.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,src/lib/module-v6/demo-tenant-packs.ts,blocked-delete candidate,Replace v6_label in src/lib/module-v6/demo-tenant-packs.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,src/lib/programs/__tests__/move-context-extract.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
shared/platform,src/lib/programs/phase-templates/__tests__/phase-templates.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Source,datasets/tenant-inputs/first-capital/standard-2026-07-v3/13_evidence_sources.csv,generated artifact dependency,"V3 Source readiness/event context view generated from governed V3 facts and approved advisory blocks, with tenant isolation proof.",V3 replacement not live-proven
Source,datasets/tenant-inputs/meridian-health/standard-2026-07-v3/13_evidence_sources.csv,generated artifact dependency,"V3 Source readiness/event context view generated from governed V3 facts and approved advisory blocks, with tenant isolation proof.",V3 replacement not live-proven
Source,datasets/tenant-inputs/skyharbor-air/standard-2026-07-v3/13_evidence_sources.csv,generated artifact dependency,"V3 Source readiness/event context view generated from governed V3 facts and approved advisory blocks, with tenant isolation proof.",V3 replacement not live-proven
Source,scripts/qa/lakeshore-stale-source-inventory.mjs,blocked-delete candidate,"V3 Source readiness/event context view generated from governed V3 facts and approved advisory blocks, with tenant isolation proof.",V3 replacement not live-proven
Source,src/app/api/source/synthesis/__tests__/route.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Source,src/app/api/source/synthesis/route.ts,active runtime dependency,"V3 Source readiness/event context view generated from governed V3 facts and approved advisory blocks, with tenant isolation proof.",V3 replacement not live-proven
Tower,scripts/lakeshore/project-lakeshore-v7-to-tower-standardized.mjs,blocked-delete candidate,V3 Tower fact/projection layer using governed budget/program/metric/value-claim facts; same-or-better latency/quality and signed-in Tower browser proof.,V3 replacement not live-proven
Tower,scripts/lakeshore/sync-lakeshore-v6-to-tower-standardized.mjs,bridge/read-model dependency,V3 Tower fact/projection layer using governed budget/program/metric/value-claim facts; same-or-better latency/quality and signed-in Tower browser proof.,V3 replacement not live-proven
Tower,src/app/api/tower/ask/route.ts,active runtime dependency,V3 Tower fact/projection layer using governed budget/program/metric/value-claim facts; same-or-better latency/quality and signed-in Tower browser proof.,V3 replacement not live-proven
Tower,src/lib/atlas/__tests__/tower-grounding-client-name.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Tower,src/lib/atlas/tower-grounding.ts,active runtime dependency,V3 Tower fact/projection layer using governed budget/program/metric/value-claim facts; same-or-better latency/quality and signed-in Tower browser proof.,V3 replacement not live-proven
Tower,src/lib/cio-tower/cxo-view-model.ts,active runtime dependency,V3 Tower fact/projection layer using governed budget/program/metric/value-claim facts; same-or-better latency/quality and signed-in Tower browser proof.,V3 replacement not live-proven
Tower,src/lib/cio-tower/metric-packet-store.ts,active runtime dependency,V3 Tower fact/projection layer using governed budget/program/metric/value-claim facts; same-or-better latency/quality and signed-in Tower browser proof.,V3 replacement not live-proven
Tower,src/lib/tower/__tests__/v7-tower-projection.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Tower,src/lib/tower/v7-tower-projection.ts,active runtime dependency,V3 Tower fact/projection layer using governed budget/program/metric/value-claim facts; same-or-better latency/quality and signed-in Tower browser proof.,V3 replacement not live-proven
