play_id,metric_id,peer_or_archetype,play_name,metric_moved,delta,enablers,reference_pattern,domain,source_file,source_row,value_source
APEXRETAIL-PLAY-0001,APEXRETAIL-MET-0001,top quartile operator,Apex Retail comparable transformation play 1,Apex Retail benefit realization against committed value metric 1,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,2,tenant_file
APEXRETAIL-PLAY-0090,APEXRETAIL-MET-0090,top quartile operator,Apex Retail comparable transformation play 90,Apex Retail unit cost across served population or customer journey metric 90,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,91,tenant_file
APEXRETAIL-PLAY-0091,APEXRETAIL-MET-0091,top quartile operator,Apex Retail comparable transformation play 91,Apex Retail benefit realization against committed value metric 91,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,92,tenant_file
APEXRETAIL-PLAY-0092,APEXRETAIL-MET-0092,top quartile operator,Apex Retail comparable transformation play 92,Apex Retail elapsed time for target process metric 92,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,93,tenant_file
APEXRETAIL-PLAY-0093,APEXRETAIL-MET-0093,top quartile operator,Apex Retail comparable transformation play 93,Apex Retail open control and governance pressure metric 93,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,94,tenant_file
APEXRETAIL-PLAY-0094,APEXRETAIL-MET-0094,top quartile operator,Apex Retail comparable transformation play 94,Apex Retail active usage of changed workflow metric 94,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,95,tenant_file
APEXRETAIL-PLAY-0095,APEXRETAIL-MET-0095,top quartile operator,Apex Retail comparable transformation play 95,Apex Retail unit cost across served population or customer journey metric 95,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,96,tenant_file
APEXRETAIL-PLAY-0096,APEXRETAIL-MET-0096,top quartile operator,Apex Retail comparable transformation play 96,Apex Retail benefit realization against committed value metric 96,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,97,tenant_file
APEXRETAIL-PLAY-0097,APEXRETAIL-MET-0097,top quartile operator,Apex Retail comparable transformation play 97,Apex Retail elapsed time for target process metric 97,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,98,tenant_file
APEXRETAIL-PLAY-0098,APEXRETAIL-MET-0098,top quartile operator,Apex Retail comparable transformation play 98,Apex Retail open control and governance pressure metric 98,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,99,tenant_file
APEXRETAIL-PLAY-0099,APEXRETAIL-MET-0099,top quartile operator,Apex Retail comparable transformation play 99,Apex Retail active usage of changed workflow metric 99,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,100,tenant_file
APEXRETAIL-PLAY-0100,APEXRETAIL-MET-0100,top quartile operator,Apex Retail comparable transformation play 100,Apex Retail unit cost across served population or customer journey metric 100,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,101,tenant_file
