tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,incident_id,opened_date,severity,affected_service,short_description,resolution_hours,sla_met,root_cause_family,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00103,2027-01-01,P3,SQL mart refresh,Synthetic incident 103: late refresh,21.6,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00104,2027-02-01,P4,Tableau extract,Synthetic incident 104: data mismatch,22.3,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00105,2027-03-01,P4,Power BI gateway,Synthetic incident 105: access issue,23,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00106,2027-04-01,P2,SAS batch,Synthetic incident 106: failed batch,23.7,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00107,2027-05-01,P3,claims feed,Synthetic incident 107: dashboard timeout,24.4,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00108,2027-06-01,P3,provider dashboard,Synthetic incident 108: missing source file,25.1,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00109,2026-07-01,P4,SQL mart refresh,Synthetic incident 109: late refresh,25.8,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00110,2026-08-01,P4,Tableau extract,Synthetic incident 110: data mismatch,26.5,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00111,2026-09-01,P2,Power BI gateway,Synthetic incident 111: access issue,27.2,false,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00112,2026-10-01,P3,SAS batch,Synthetic incident 112: failed batch,2,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00113,2026-11-01,P3,claims feed,Synthetic incident 113: dashboard timeout,2.7,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00114,2026-12-01,P4,provider dashboard,Synthetic incident 114: missing source file,3.4,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00115,2027-01-01,P4,SQL mart refresh,Synthetic incident 115: late refresh,4.1,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00116,2027-02-01,P2,Tableau extract,Synthetic incident 116: data mismatch,4.8,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00117,2027-03-01,P3,Power BI gateway,Synthetic incident 117: access issue,5.5,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00118,2027-04-01,P3,SAS batch,Synthetic incident 118: failed batch,6.2,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00119,2027-05-01,P4,claims feed,Synthetic incident 119: dashboard timeout,6.9,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00120,2027-06-01,P4,provider dashboard,Synthetic incident 120: missing source file,7.6,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00121,2026-07-01,P2,SQL mart refresh,Synthetic incident 121: late refresh,8.3,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00122,2026-08-01,P3,Tableau extract,Synthetic incident 122: data mismatch,9,false,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00123,2026-09-01,P3,Power BI gateway,Synthetic incident 123: access issue,9.7,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00124,2026-10-01,P4,SAS batch,Synthetic incident 124: failed batch,10.4,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00125,2026-11-01,P4,claims feed,Synthetic incident 125: dashboard timeout,11.1,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00126,2026-12-01,P2,provider dashboard,Synthetic incident 126: missing source file,11.8,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00127,2027-01-01,P3,SQL mart refresh,Synthetic incident 127: late refresh,12.5,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00128,2027-02-01,P3,Tableau extract,Synthetic incident 128: data mismatch,13.2,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00129,2027-03-01,P4,Power BI gateway,Synthetic incident 129: access issue,13.9,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00130,2027-04-01,P4,SAS batch,Synthetic incident 130: failed batch,14.6,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00131,2027-05-01,P2,claims feed,Synthetic incident 131: dashboard timeout,15.3,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00132,2027-06-01,P3,provider dashboard,Synthetic incident 132: missing source file,16,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00133,2026-07-01,P3,SQL mart refresh,Synthetic incident 133: late refresh,16.7,false,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00134,2026-08-01,P4,Tableau extract,Synthetic incident 134: data mismatch,17.4,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00135,2026-09-01,P4,Power BI gateway,Synthetic incident 135: access issue,18.1,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00136,2026-10-01,P2,SAS batch,Synthetic incident 136: failed batch,18.8,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00137,2026-11-01,P3,claims feed,Synthetic incident 137: dashboard timeout,19.5,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00138,2026-12-01,P3,provider dashboard,Synthetic incident 138: missing source file,20.2,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00139,2027-01-01,P4,SQL mart refresh,Synthetic incident 139: late refresh,20.9,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00140,2027-02-01,P4,Tableau extract,Synthetic incident 140: data mismatch,21.6,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00141,2027-03-01,P2,Power BI gateway,Synthetic incident 141: access issue,22.3,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00142,2027-04-01,P3,SAS batch,Synthetic incident 142: failed batch,23,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00143,2027-05-01,P3,claims feed,Synthetic incident 143: dashboard timeout,23.7,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00144,2027-06-01,P4,provider dashboard,Synthetic incident 144: missing source file,24.4,false,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00145,2026-07-01,P4,SQL mart refresh,Synthetic incident 145: late refresh,25.1,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00146,2026-08-01,P2,Tableau extract,Synthetic incident 146: data mismatch,25.8,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00147,2026-09-01,P3,Power BI gateway,Synthetic incident 147: access issue,26.5,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00148,2026-10-01,P3,SAS batch,Synthetic incident 148: failed batch,27.2,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00149,2026-11-01,P4,claims feed,Synthetic incident 149: dashboard timeout,2,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00150,2026-12-01,P4,provider dashboard,Synthetic incident 150: missing source file,2.7,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00151,2027-01-01,P2,SQL mart refresh,Synthetic incident 151: late refresh,3.4,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00152,2027-02-01,P3,Tableau extract,Synthetic incident 152: data mismatch,4.1,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00153,2027-03-01,P3,Power BI gateway,Synthetic incident 153: access issue,4.8,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00154,2027-04-01,P4,SAS batch,Synthetic incident 154: failed batch,5.5,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00155,2027-05-01,P4,claims feed,Synthetic incident 155: dashboard timeout,6.2,false,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00156,2027-06-01,P2,provider dashboard,Synthetic incident 156: missing source file,6.9,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00157,2026-07-01,P3,SQL mart refresh,Synthetic incident 157: late refresh,7.6,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00158,2026-08-01,P3,Tableau extract,Synthetic incident 158: data mismatch,8.3,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00159,2026-09-01,P4,Power BI gateway,Synthetic incident 159: access issue,9,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00160,2026-10-01,P4,SAS batch,Synthetic incident 160: failed batch,9.7,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00161,2026-11-01,P2,claims feed,Synthetic incident 161: dashboard timeout,10.4,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00162,2026-12-01,P3,provider dashboard,Synthetic incident 162: missing source file,11.1,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00163,2027-01-01,P3,SQL mart refresh,Synthetic incident 163: late refresh,11.8,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00164,2027-02-01,P4,Tableau extract,Synthetic incident 164: data mismatch,12.5,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00165,2027-03-01,P4,Power BI gateway,Synthetic incident 165: access issue,13.2,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00166,2027-04-01,P2,SAS batch,Synthetic incident 166: failed batch,13.9,false,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00167,2027-05-01,P3,claims feed,Synthetic incident 167: dashboard timeout,14.6,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00168,2027-06-01,P3,provider dashboard,Synthetic incident 168: missing source file,15.3,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00169,2026-07-01,P4,SQL mart refresh,Synthetic incident 169: late refresh,16,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00170,2026-08-01,P4,Tableau extract,Synthetic incident 170: data mismatch,16.7,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00171,2026-09-01,P2,Power BI gateway,Synthetic incident 171: access issue,17.4,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00172,2026-10-01,P3,SAS batch,Synthetic incident 172: failed batch,18.1,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00173,2026-11-01,P3,claims feed,Synthetic incident 173: dashboard timeout,18.8,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00174,2026-12-01,P4,provider dashboard,Synthetic incident 174: missing source file,19.5,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00175,2027-01-01,P4,SQL mart refresh,Synthetic incident 175: late refresh,20.2,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00176,2027-02-01,P2,Tableau extract,Synthetic incident 176: data mismatch,20.9,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00177,2027-03-01,P3,Power BI gateway,Synthetic incident 177: access issue,21.6,false,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00178,2027-04-01,P3,SAS batch,Synthetic incident 178: failed batch,22.3,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00179,2027-05-01,P4,claims feed,Synthetic incident 179: dashboard timeout,23,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00180,2027-06-01,P4,provider dashboard,Synthetic incident 180: missing source file,23.7,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00181,2026-07-01,P2,SQL mart refresh,Synthetic incident 181: late refresh,24.4,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00182,2026-08-01,P3,Tableau extract,Synthetic incident 182: data mismatch,25.1,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00183,2026-09-01,P3,Power BI gateway,Synthetic incident 183: access issue,25.8,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00184,2026-10-01,P4,SAS batch,Synthetic incident 184: failed batch,26.5,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00185,2026-11-01,P4,claims feed,Synthetic incident 185: dashboard timeout,27.2,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00186,2026-12-01,P2,provider dashboard,Synthetic incident 186: missing source file,2,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00187,2027-01-01,P3,SQL mart refresh,Synthetic incident 187: late refresh,2.7,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00188,2027-02-01,P3,Tableau extract,Synthetic incident 188: data mismatch,3.4,false,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00189,2027-03-01,P4,Power BI gateway,Synthetic incident 189: access issue,4.1,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00190,2027-04-01,P4,SAS batch,Synthetic incident 190: failed batch,4.8,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00191,2027-05-01,P2,claims feed,Synthetic incident 191: dashboard timeout,5.5,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00192,2027-06-01,P3,provider dashboard,Synthetic incident 192: missing source file,6.2,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00193,2026-07-01,P3,SQL mart refresh,Synthetic incident 193: late refresh,6.9,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00194,2026-08-01,P4,Tableau extract,Synthetic incident 194: data mismatch,7.6,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00195,2026-09-01,P4,Power BI gateway,Synthetic incident 195: access issue,8.3,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00196,2026-10-01,P2,SAS batch,Synthetic incident 196: failed batch,9,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00197,2026-11-01,P3,claims feed,Synthetic incident 197: dashboard timeout,9.7,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00198,2026-12-01,P3,provider dashboard,Synthetic incident 198: missing source file,10.4,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00199,2027-01-01,P4,SQL mart refresh,Synthetic incident 199: late refresh,11.1,false,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00200,2027-02-01,P4,Tableau extract,Synthetic incident 200: data mismatch,11.8,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00201,2027-03-01,P2,Power BI gateway,Synthetic incident 201: access issue,12.5,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00202,2027-04-01,P3,SAS batch,Synthetic incident 202: failed batch,13.2,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00203,2027-05-01,P3,claims feed,Synthetic incident 203: dashboard timeout,13.9,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00204,2027-06-01,P4,provider dashboard,Synthetic incident 204: missing source file,14.6,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00205,2026-07-01,P4,SQL mart refresh,Synthetic incident 205: late refresh,15.3,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
