tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,invoice_line_id,invoice_number,period_month,line_type,description,amount_usd,cost_center,po_number,matched_to_contract,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0092,INV-2026-03-016,2026-03-01,change_order,change order line for 2026-03-01,9250,Clinical Quality,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0093,INV-2026-04-016,2026-04-01,pass_through,pass through line for 2026-04-01,1250,D&A Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0094,INV-2026-05-016,2026-05-01,credit_memo,credit memo line for 2026-05-01,-4200,Claims Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0095,INV-2026-06-016,2026-06-01,transition_support,transition support line for 2026-06-01,6200,Finance Analytics,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0096,INV-2026-07-016,2026-07-01,surge_pool,surge pool line for 2026-07-01,3800,Clinical Quality,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0097,INV-2026-08-017,2026-08-01,base_fee,base fee line for 2026-08-01,109027.78,D&A Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0098,INV-2026-09-017,2026-09-01,change_order,change order line for 2026-09-01,13750,Claims Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0099,INV-2026-10-017,2026-10-01,pass_through,pass through line for 2026-10-01,1250,Finance Analytics,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0100,INV-2026-11-017,2026-11-01,credit_memo,credit memo line for 2026-11-01,0,Clinical Quality,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0101,INV-2026-12-017,2026-12-01,transition_support,transition support line for 2026-12-01,6200,D&A Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0102,INV-2027-01-017,2027-01-01,surge_pool,surge pool line for 2027-01-01,3800,Claims Ops,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0103,INV-2027-02-018,2027-02-01,base_fee,base fee line for 2027-02-01,109027.78,Finance Analytics,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0104,INV-2027-03-018,2027-03-01,change_order,change order line for 2027-03-01,11500,Clinical Quality,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0105,INV-2027-04-018,2027-04-01,pass_through,pass through line for 2027-04-01,1250,D&A Ops,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0106,INV-2027-05-018,2027-05-01,credit_memo,credit memo line for 2027-05-01,0,Claims Ops,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0107,INV-2027-06-018,2027-06-01,transition_support,transition support line for 2027-06-01,6200,Finance Analytics,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0108,INV-2027-07-018,2027-07-01,surge_pool,surge pool line for 2027-07-01,3800,Clinical Quality,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0109,INV-2024-08-019,2024-08-01,base_fee,base fee line for 2024-08-01,109027.78,D&A Ops,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0110,INV-2024-09-019,2024-09-01,change_order,change order line for 2024-09-01,9250,Claims Ops,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0111,INV-2024-10-019,2024-10-01,pass_through,pass through line for 2024-10-01,1250,Finance Analytics,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0112,INV-2024-11-019,2024-11-01,credit_memo,credit memo line for 2024-11-01,0,Clinical Quality,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0113,INV-2024-12-019,2024-12-01,transition_support,transition support line for 2024-12-01,6200,D&A Ops,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0114,INV-2025-01-019,2025-01-01,surge_pool,surge pool line for 2025-01-01,3800,Claims Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0115,INV-2025-02-020,2025-02-01,base_fee,base fee line for 2025-02-01,109027.78,Finance Analytics,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0116,INV-2025-03-020,2025-03-01,change_order,change order line for 2025-03-01,13750,Clinical Quality,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0117,INV-2025-04-020,2025-04-01,pass_through,pass through line for 2025-04-01,1250,D&A Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0118,INV-2025-05-020,2025-05-01,credit_memo,credit memo line for 2025-05-01,0,Claims Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0119,INV-2025-06-020,2025-06-01,transition_support,transition support line for 2025-06-01,6200,Finance Analytics,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0120,INV-2025-07-020,2025-07-01,surge_pool,surge pool line for 2025-07-01,3800,Clinical Quality,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0121,INV-2025-08-021,2025-08-01,base_fee,base fee line for 2025-08-01,109027.78,D&A Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0122,INV-2025-09-021,2025-09-01,change_order,change order line for 2025-09-01,11500,Claims Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0123,INV-2025-10-021,2025-10-01,pass_through,pass through line for 2025-10-01,1250,Finance Analytics,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0124,INV-2025-11-021,2025-11-01,credit_memo,credit memo line for 2025-11-01,0,Clinical Quality,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0125,INV-2025-12-021,2025-12-01,transition_support,transition support line for 2025-12-01,6200,D&A Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0126,INV-2026-01-021,2026-01-01,surge_pool,surge pool line for 2026-01-01,3800,Claims Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0127,INV-2026-02-022,2026-02-01,base_fee,base fee line for 2026-02-01,109027.78,Finance Analytics,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0128,INV-2026-03-022,2026-03-01,change_order,change order line for 2026-03-01,9250,Clinical Quality,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0129,INV-2026-04-022,2026-04-01,pass_through,pass through line for 2026-04-01,1250,D&A Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0130,INV-2026-05-022,2026-05-01,credit_memo,credit memo line for 2026-05-01,0,Claims Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0131,INV-2026-06-022,2026-06-01,transition_support,transition support line for 2026-06-01,6200,Finance Analytics,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0132,INV-2026-07-022,2026-07-01,surge_pool,surge pool line for 2026-07-01,3800,Clinical Quality,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0133,INV-2026-08-023,2026-08-01,base_fee,base fee line for 2026-08-01,109027.78,D&A Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0134,INV-2026-09-023,2026-09-01,change_order,change order line for 2026-09-01,13750,Claims Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0135,INV-2026-10-023,2026-10-01,pass_through,pass through line for 2026-10-01,1250,Finance Analytics,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0136,INV-2026-11-023,2026-11-01,credit_memo,credit memo line for 2026-11-01,0,Clinical Quality,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0137,INV-2026-12-023,2026-12-01,transition_support,transition support line for 2026-12-01,6200,D&A Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0138,INV-2027-01-023,2027-01-01,surge_pool,surge pool line for 2027-01-01,3800,Claims Ops,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0139,INV-2027-02-024,2027-02-01,base_fee,base fee line for 2027-02-01,109027.78,Finance Analytics,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0140,INV-2027-03-024,2027-03-01,change_order,change order line for 2027-03-01,11500,Clinical Quality,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0141,INV-2027-04-024,2027-04-01,pass_through,pass through line for 2027-04-01,1250,D&A Ops,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0142,INV-2027-05-024,2027-05-01,credit_memo,credit memo line for 2027-05-01,0,Claims Ops,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0143,INV-2027-06-024,2027-06-01,transition_support,transition support line for 2027-06-01,6200,Finance Analytics,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0144,INV-2027-07-024,2027-07-01,surge_pool,surge pool line for 2027-07-01,3800,Clinical Quality,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0145,INV-2024-08-025,2024-08-01,base_fee,base fee line for 2024-08-01,109027.78,D&A Ops,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0146,INV-2024-09-025,2024-09-01,change_order,change order line for 2024-09-01,9250,Claims Ops,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0147,INV-2024-10-025,2024-10-01,pass_through,pass through line for 2024-10-01,1250,Finance Analytics,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0148,INV-2024-11-025,2024-11-01,credit_memo,credit memo line for 2024-11-01,0,Clinical Quality,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0149,INV-2024-12-025,2024-12-01,transition_support,transition support line for 2024-12-01,6200,D&A Ops,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0150,INV-2025-01-025,2025-01-01,surge_pool,surge pool line for 2025-01-01,3800,Claims Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0151,INV-2025-02-026,2025-02-01,base_fee,base fee line for 2025-02-01,109027.78,Finance Analytics,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0152,INV-2025-03-026,2025-03-01,change_order,change order line for 2025-03-01,13750,Clinical Quality,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0153,INV-2025-04-026,2025-04-01,pass_through,pass through line for 2025-04-01,1250,D&A Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0154,INV-2025-05-026,2025-05-01,credit_memo,credit memo line for 2025-05-01,0,Claims Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0155,INV-2025-06-026,2025-06-01,transition_support,transition support line for 2025-06-01,6200,Finance Analytics,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0156,INV-2025-07-026,2025-07-01,surge_pool,surge pool line for 2025-07-01,3800,Clinical Quality,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0157,INV-2025-08-027,2025-08-01,base_fee,base fee line for 2025-08-01,109027.78,D&A Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0158,INV-2025-09-027,2025-09-01,change_order,change order line for 2025-09-01,11500,Claims Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0159,INV-2025-10-027,2025-10-01,pass_through,pass through line for 2025-10-01,1250,Finance Analytics,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0160,INV-2025-11-027,2025-11-01,credit_memo,credit memo line for 2025-11-01,0,Clinical Quality,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0161,INV-2025-12-027,2025-12-01,transition_support,transition support line for 2025-12-01,6200,D&A Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0162,INV-2026-01-027,2026-01-01,surge_pool,surge pool line for 2026-01-01,3800,Claims Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0163,INV-2026-02-028,2026-02-01,base_fee,base fee line for 2026-02-01,109027.78,Finance Analytics,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0164,INV-2026-03-028,2026-03-01,change_order,change order line for 2026-03-01,9250,Clinical Quality,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0165,INV-2026-04-028,2026-04-01,pass_through,pass through line for 2026-04-01,1250,D&A Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0166,INV-2026-05-028,2026-05-01,credit_memo,credit memo line for 2026-05-01,0,Claims Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0167,INV-2026-06-028,2026-06-01,transition_support,transition support line for 2026-06-01,6200,Finance Analytics,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0168,INV-2026-07-028,2026-07-01,surge_pool,surge pool line for 2026-07-01,3800,Clinical Quality,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0169,INV-2026-08-029,2026-08-01,base_fee,base fee line for 2026-08-01,109027.78,D&A Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0170,INV-2026-09-029,2026-09-01,change_order,change order line for 2026-09-01,13750,Claims Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0171,INV-2026-10-029,2026-10-01,pass_through,pass through line for 2026-10-01,1250,Finance Analytics,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0172,INV-2026-11-029,2026-11-01,credit_memo,credit memo line for 2026-11-01,0,Clinical Quality,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0173,INV-2026-12-029,2026-12-01,transition_support,transition support line for 2026-12-01,6200,D&A Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0174,INV-2027-01-029,2027-01-01,surge_pool,surge pool line for 2027-01-01,3800,Claims Ops,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0175,INV-2027-02-030,2027-02-01,base_fee,base fee line for 2027-02-01,109027.78,Finance Analytics,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0176,INV-2027-03-030,2027-03-01,change_order,change order line for 2027-03-01,11500,Clinical Quality,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0177,INV-2027-04-030,2027-04-01,pass_through,pass through line for 2027-04-01,1250,D&A Ops,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0178,INV-2027-05-030,2027-05-01,credit_memo,credit memo line for 2027-05-01,0,Claims Ops,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0179,INV-2027-06-030,2027-06-01,transition_support,transition support line for 2027-06-01,6200,Finance Analytics,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0180,INV-2027-07-030,2027-07-01,surge_pool,surge pool line for 2027-07-01,3800,Clinical Quality,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0181,INV-2024-08-031,2024-08-01,base_fee,base fee line for 2024-08-01,109027.78,D&A Ops,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0182,INV-2024-09-031,2024-09-01,change_order,change order line for 2024-09-01,9250,Claims Ops,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0183,INV-2024-10-031,2024-10-01,pass_through,pass through line for 2024-10-01,1250,Finance Analytics,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
